parameter,scenario,year,value,unit,basis,source_ids,confidence,notes
ssr_pork,SENS-HIGH,2040,0.98,production / consumption,sensitivity: full pork self-sufficiency by 2050,QNT-model,Low,
ssr_pork,SENS-LOW,2050,0.861,production / consumption,sensitivity: more meat imports (10 points lower by 2050),QNT-model,Low,
ssr_pork,SENS-HIGH,2050,1.0,production / consumption,sensitivity: full pork self-sufficiency by 2050,QNT-model,Low,
ssr_poultry,SENS-LOW,2040,0.825,production / consumption,sensitivity: more meat imports (10 points lower by 2050),QNT-model,Low,
ssr_poultry,SENS-HIGH,2040,0.895,production / consumption,sensitivity: 4 points higher by 2050,QNT-model,Low,
ssr_poultry,SENS-LOW,2050,0.775,production / consumption,sensitivity: more meat imports (10 points lower by 2050),QNT-model,Low,
ssr_poultry,SENS-HIGH,2050,0.915,production / consumption,sensitivity: 4 points higher by 2050,QNT-model,Low,
protein_per_kg_meat_cwe,ALL,ALL,0.15,kg protein per kg carcass weight,assumption: carcass includes bone and fat; lean retail cuts are 18 to 21% protein,QNT-model,Low,
sbm_cp,ALL,ALL,0.46,share,convention used in edition 1.0 (46% crude protein),FM-01,High,
fishmeal_cp,ALL,ALL,0.65,share,convention used in edition 1.0 (65% crude protein),FM-01,High,
soy_meal_extraction,ALL,ALL,0.78,t meal per t beans,USDA extraction rate used in the 2025 balance,MAC-04,Medium,
pc_index_pork,S-BASE,2025,1.0,index 2025 = 1,"projection to 2035: OECD-FAO 2026-2035 baseline growth of food per capita, applied as an index to our 2025 base; after 2035 our taper (+0.2% a year 2035 to 2050)",QNT-01,Medium,
pc_index_pork,S-BASE,2030,1.0852,index 2025 = 1,"projection to 2035: OECD-FAO 2026-2035 baseline growth of food per capita, applied as an index to our 2025 base; after 2035 our taper (+0.2% a year 2035 to 2050)",QNT-01,Medium,
pc_index_pork,S-BASE,2035,1.1003,index 2025 = 1,"projection to 2035: OECD-FAO 2026-2035 baseline growth of food per capita, applied as an index to our 2025 base; after 2035 our taper (+0.2% a year 2035 to 2050)",QNT-01,Medium,
pc_index_pork,S-BASE,2040,1.1113,index 2025 = 1,"projection to 2035: OECD-FAO 2026-2035 baseline growth of food per capita, applied as an index to our 2025 base; after 2035 our taper (+0.2% a year 2035 to 2050)",QNT-01,Low,
pc_index_pork,S-BASE,2050,1.1337,index 2025 = 1,"projection to 2035: OECD-FAO 2026-2035 baseline growth of food per capita, applied as an index to our 2025 base; after 2035 our taper (+0.2% a year 2035 to 2050)",QNT-01,Low,
pc_index_poultry,S-BASE,2025,1.0,index 2025 = 1,"projection to 2035: OECD-FAO 2026-2035 baseline growth of food per capita, applied as an index to our 2025 base; after 2035 our taper (+1.0% a year 2035 to 2040, +0.5% a year 2040 to 2050)",QNT-01,Medium,OECD-FAO poultry growth to 2035 (+4.2% a year per person) is fast; see saturation check in notes.
pc_index_poultry,S-BASE,2030,1.2466,index 2025 = 1,"projection to 2035: OECD-FAO 2026-2035 baseline growth of food per capita, applied as an index to our 2025 base; after 2035 our taper (+1.0% a year 2035 to 2040, +0.5% a year 2040 to 2050)",QNT-01,Medium,OECD-FAO poultry growth to 2035 (+4.2% a year per person) is fast; see saturation check in notes.
pc_index_poultry,S-BASE,2035,1.5152,index 2025 = 1,"projection to 2035: OECD-FAO 2026-2035 baseline growth of food per capita, applied as an index to our 2025 base; after 2035 our taper (+1.0% a year 2035 to 2040, +0.5% a year 2040 to 2050)",QNT-01,Medium,OECD-FAO poultry growth to 2035 (+4.2% a year per person) is fast; see saturation check in notes.
pc_index_poultry,S-BASE,2040,1.5925,index 2025 = 1,"projection to 2035: OECD-FAO 2026-2035 baseline growth of food per capita, applied as an index to our 2025 base; after 2035 our taper (+1.0% a year 2035 to 2040, +0.5% a year 2040 to 2050)",QNT-01,Low,OECD-FAO poultry growth to 2035 (+4.2% a year per person) is fast; see saturation check in notes.
pc_index_poultry,S-BASE,2050,1.674,index 2025 = 1,"projection to 2035: OECD-FAO 2026-2035 baseline growth of food per capita, applied as an index to our 2025 base; after 2035 our taper (+1.0% a year 2035 to 2040, +0.5% a year 2040 to 2050)",QNT-01,Low,OECD-FAO poultry growth to 2035 (+4.2% a year per person) is fast; see saturation check in notes.
pc_index_ruminant,S-BASE,2025,1.0,index 2025 = 1,"projection to 2035: OECD-FAO 2026-2035 baseline growth of food per capita, applied as an index to our 2025 base; after 2035 our taper (+1.0% a year 2035 to 2050)",QNT-01,Medium,
pc_index_ruminant,S-BASE,2030,1.0793,index 2025 = 1,"projection to 2035: OECD-FAO 2026-2035 baseline growth of food per capita, applied as an index to our 2025 base; after 2035 our taper (+1.0% a year 2035 to 2050)",QNT-01,Medium,
pc_index_ruminant,S-BASE,2035,1.1518,index 2025 = 1,"projection to 2035: OECD-FAO 2026-2035 baseline growth of food per capita, applied as an index to our 2025 base; after 2035 our taper (+1.0% a year 2035 to 2050)",QNT-01,Medium,
pc_index_ruminant,S-BASE,2040,1.2106,index 2025 = 1,"projection to 2035: OECD-FAO 2026-2035 baseline growth of food per capita, applied as an index to our 2025 base; after 2035 our taper (+1.0% a year 2035 to 2050)",QNT-01,Low,
pc_index_ruminant,S-BASE,2050,1.3372,index 2025 = 1,"projection to 2035: OECD-FAO 2026-2035 baseline growth of food per capita, applied as an index to our 2025 base; after 2035 our taper (+1.0% a year 2035 to 2050)",QNT-01,Low,
pc_index_eggs,S-BASE,2025,1.0,index 2025 = 1,"our estimate: 210.6 eggs per person in 2025 rising to 235 (2030), 260 (2040), 275 (2050); 2025 already above the Decision 1520 2030 target of 220 to 225",MAC-14; MAC-19; MAC-23; QNT-model,Low,No published egg projection found. Recent growth about 4.5% a year per person (2025).
pc_index_eggs,S-BASE,2030,1.116,index 2025 = 1,"our estimate: 210.6 eggs per person in 2025 rising to 235 (2030), 260 (2040), 275 (2050); 2025 already above the Decision 1520 2030 target of 220 to 225",MAC-14; MAC-19; MAC-23; QNT-model,Low,No published egg projection found. Recent growth about 4.5% a year per person (2025).
pc_index_eggs,S-BASE,2035,1.175,index 2025 = 1,"our estimate: 210.6 eggs per person in 2025 rising to 235 (2030), 260 (2040), 275 (2050); 2025 already above the Decision 1520 2030 target of 220 to 225",MAC-14; MAC-19; MAC-23; QNT-model,Low,No published egg projection found. Recent growth about 4.5% a year per person (2025).
pc_index_eggs,S-BASE,2040,1.235,index 2025 = 1,"our estimate: 210.6 eggs per person in 2025 rising to 235 (2030), 260 (2040), 275 (2050); 2025 already above the Decision 1520 2030 target of 220 to 225",MAC-14; MAC-19; MAC-23; QNT-model,Low,No published egg projection found. Recent growth about 4.5% a year per person (2025).
pc_index_eggs,S-BASE,2050,1.306,index 2025 = 1,"our estimate: 210.6 eggs per person in 2025 rising to 235 (2030), 260 (2040), 275 (2050); 2025 already above the Decision 1520 2030 target of 220 to 225",MAC-14; MAC-19; MAC-23; QNT-model,Low,No published egg projection found. Recent growth about 4.5% a year per person (2025).
milk_prod_index,S-BASE,2025,1.0,index 2025 = 1,"projection to 2035: OECD-FAO milk production growth (1,341 to 2,009 kt); then +3% a year to 2040 and +2% a year to 2050 (our taper)",QNT-01,Medium,
milk_prod_index,S-BASE,2030,1.2295,index 2025 = 1,"projection to 2035: OECD-FAO milk production growth (1,341 to 2,009 kt); then +3% a year to 2040 and +2% a year to 2050 (our taper)",QNT-01,Medium,
milk_prod_index,S-BASE,2035,1.4984,index 2025 = 1,"projection to 2035: OECD-FAO milk production growth (1,341 to 2,009 kt); then +3% a year to 2040 and +2% a year to 2050 (our taper)",QNT-01,Medium,
milk_prod_index,S-BASE,2040,1.7371,index 2025 = 1,"projection to 2035: OECD-FAO milk production growth (1,341 to 2,009 kt); then +3% a year to 2040 and +2% a year to 2050 (our taper)",QNT-01,Low,
milk_prod_index,S-BASE,2050,2.1175,index 2025 = 1,"projection to 2035: OECD-FAO milk production growth (1,341 to 2,009 kt); then +3% a year to 2040 and +2% a year to 2050 (our taper)",QNT-01,Low,
aq_index,S-BASE,2025,1.0,index 2025 = 1,"projection to 2035: OECD-FAO aquaculture growth (5,692 to 6,827 kt) applied to NSO 2025 base; then +1.0% a year (our taper)",QNT-01; MAC-15,Medium,BASE 2030 (6.58 Mt) is below the 7.0 Mt official target.
aq_index,S-BASE,2030,1.0758,index 2025 = 1,"projection to 2035: OECD-FAO aquaculture growth (5,692 to 6,827 kt) applied to NSO 2025 base; then +1.0% a year (our taper)",QNT-01; MAC-15,Medium,BASE 2030 (6.58 Mt) is below the 7.0 Mt official target.
aq_index,S-BASE,2035,1.1995,index 2025 = 1,"projection to 2035: OECD-FAO aquaculture growth (5,692 to 6,827 kt) applied to NSO 2025 base; then +1.0% a year (our taper)",QNT-01; MAC-15,Medium,BASE 2030 (6.58 Mt) is below the 7.0 Mt official target.
aq_index,S-BASE,2040,1.2607,index 2025 = 1,"projection to 2035: OECD-FAO aquaculture growth (5,692 to 6,827 kt) applied to NSO 2025 base; then +1.0% a year (our taper)",QNT-01; MAC-15,Low,BASE 2030 (6.58 Mt) is below the 7.0 Mt official target.
aq_index,S-BASE,2050,1.3926,index 2025 = 1,"projection to 2035: OECD-FAO aquaculture growth (5,692 to 6,827 kt) applied to NSO 2025 base; then +1.0% a year (our taper)",QNT-01; MAC-15,Low,BASE 2030 (6.58 Mt) is below the 7.0 Mt official target.
aq_index,S-HIGH,2030,1.1444,index 2025 = 1,official target path: 7.0 Mt in 2030 (Decision 339/QD-TTg); then +1.5% a year to 2040 and +1.0% a year to 2050 (our extension),QNT-06; MAC-15,Low,
aq_index,S-HIGH,2035,1.2328,index 2025 = 1,official target path: 7.0 Mt in 2030 (Decision 339/QD-TTg); then +1.5% a year to 2040 and +1.0% a year to 2050 (our extension),QNT-06; MAC-15,Low,
aq_index,S-HIGH,2040,1.3281,index 2025 = 1,official target path: 7.0 Mt in 2030 (Decision 339/QD-TTg); then +1.5% a year to 2040 and +1.0% a year to 2050 (our extension),QNT-06; MAC-15,Low,
aq_index,S-HIGH,2050,1.4671,index 2025 = 1,official target path: 7.0 Mt in 2030 (Decision 339/QD-TTg); then +1.5% a year to 2040 and +1.0% a year to 2050 (our extension),QNT-06; MAC-15,Low,
aq_index,SENS-LOW,2040,1.1995,index 2025 = 1,sensitivity: no aquaculture growth after 2035,QNT-model,Low,
aq_index,SENS-HIGH,2040,1.3571,index 2025 = 1,sensitivity: +2.5% a year after 2035,QNT-model,Low,
aq_index,SENS-LOW,2050,1.1995,index 2025 = 1,sensitivity: no aquaculture growth after 2035,QNT-model,Low,
aq_index,SENS-HIGH,2050,1.7372,index 2025 = 1,sensitivity: +2.5% a year after 2035,QNT-model,Low,
pc_index_poultry,SENS-LOW,2035,1.3102,index 2025 = 1,"sensitivity: OECD-FAO growth to 2030, then +1.0% a year to 2040 and +0.5% a year to 2050",QNT-model,Low,
pc_index_poultry,SENS-HIGH,2035,1.5152,index 2025 = 1,"sensitivity: OECD-FAO growth to 2035, then +2.5% a year to 2040 and +1.5% a year to 2050",QNT-model,Low,
pc_index_poultry,SENS-LOW,2040,1.3771,index 2025 = 1,"sensitivity: OECD-FAO growth to 2030, then +1.0% a year to 2040 and +0.5% a year to 2050",QNT-model,Low,
pc_index_poultry,SENS-HIGH,2040,1.7143,index 2025 = 1,"sensitivity: OECD-FAO growth to 2035, then +2.5% a year to 2040 and +1.5% a year to 2050",QNT-model,Low,
pc_index_poultry,SENS-LOW,2050,1.4475,index 2025 = 1,"sensitivity: OECD-FAO growth to 2030, then +1.0% a year to 2040 and +0.5% a year to 2050",QNT-model,Low,
pc_index_poultry,SENS-HIGH,2050,1.9895,index 2025 = 1,"sensitivity: OECD-FAO growth to 2035, then +2.5% a year to 2040 and +1.5% a year to 2050",QNT-model,Low,
pc_index_pork,SENS-LOW,2040,1.0557,index 2025 = 1,sensitivity: 5% (2040) and 10% (2050) below BASE,QNT-model,Low,
pc_index_pork,SENS-HIGH,2040,1.1669,index 2025 = 1,sensitivity: 5% (2040) and 10% (2050) above BASE,QNT-model,Low,
pc_index_pork,SENS-LOW,2050,1.0203,index 2025 = 1,sensitivity: 5% (2040) and 10% (2050) below BASE,QNT-model,Low,
pc_index_pork,SENS-HIGH,2050,1.2471,index 2025 = 1,sensitivity: 5% (2040) and 10% (2050) above BASE,QNT-model,Low,
population,SENS-LOW,2040,105.19,million,"sensitivity: 3% (2040) and 5% (2050) below the UN medium variant (illustrative band, not a UN variant)",GT-12; QNT-model,Low,
population,SENS-HIGH,2040,111.69,million,"sensitivity: 3% (2040) and 5% (2050) above the UN medium variant (illustrative band, not a UN variant)",GT-12; QNT-model,Low,
population,SENS-LOW,2050,104.51,million,"sensitivity: 3% (2040) and 5% (2050) below the UN medium variant (illustrative band, not a UN variant)",GT-12; QNT-model,Low,
population,SENS-HIGH,2050,115.51,million,"sensitivity: 3% (2040) and 5% (2050) above the UN medium variant (illustrative band, not a UN variant)",GT-12; QNT-model,Low,
income_multiplier,S-HIGH,2025,1.0,multiplier on per-capita demand,"estimate: (GDP ratio HIGH/BASE) ^ elasticity; HIGH GDP path 10% a year 2026 to 2030 and 7.5% a year to 2050 (PDP8 assumption); BASE 5.7% a year to 2035 (USDA) and 4.5% a year after (our assumption); elasticity 0.30 (2030), 0.25 (2040), 0.20 (2050)",GT-11; QNT-02; QNT-model,Low,"GDP ratio HIGH/BASE: 1.22 (2030), 1.53 (2040), 2.03 (2050). Elasticity declines to reflect saturation (as in IMPACT, QNT-12); Vietnamese household elasticities not extracted."
income_multiplier,S-HIGH,2030,1.0615,multiplier on per-capita demand,"estimate: (GDP ratio HIGH/BASE) ^ elasticity; HIGH GDP path 10% a year 2026 to 2030 and 7.5% a year to 2050 (PDP8 assumption); BASE 5.7% a year to 2035 (USDA) and 4.5% a year after (our assumption); elasticity 0.30 (2030), 0.25 (2040), 0.20 (2050)",GT-11; QNT-02; QNT-model,Low,"GDP ratio HIGH/BASE: 1.22 (2030), 1.53 (2040), 2.03 (2050). Elasticity declines to reflect saturation (as in IMPACT, QNT-12); Vietnamese household elasticities not extracted."
income_multiplier,S-HIGH,2035,1.0811,multiplier on per-capita demand,"estimate: (GDP ratio HIGH/BASE) ^ elasticity; HIGH GDP path 10% a year 2026 to 2030 and 7.5% a year to 2050 (PDP8 assumption); BASE 5.7% a year to 2035 (USDA) and 4.5% a year after (our assumption); elasticity 0.30 (2030), 0.25 (2040), 0.20 (2050)",GT-11; QNT-02; QNT-model,Low,"GDP ratio HIGH/BASE: 1.22 (2030), 1.53 (2040), 2.03 (2050). Elasticity declines to reflect saturation (as in IMPACT, QNT-12); Vietnamese household elasticities not extracted."
income_multiplier,S-HIGH,2040,1.1122,multiplier on per-capita demand,"estimate: (GDP ratio HIGH/BASE) ^ elasticity; HIGH GDP path 10% a year 2026 to 2030 and 7.5% a year to 2050 (PDP8 assumption); BASE 5.7% a year to 2035 (USDA) and 4.5% a year after (our assumption); elasticity 0.30 (2030), 0.25 (2040), 0.20 (2050)",GT-11; QNT-02; QNT-model,Low,"GDP ratio HIGH/BASE: 1.22 (2030), 1.53 (2040), 2.03 (2050). Elasticity declines to reflect saturation (as in IMPACT, QNT-12); Vietnamese household elasticities not extracted."
income_multiplier,S-HIGH,2050,1.1523,multiplier on per-capita demand,"estimate: (GDP ratio HIGH/BASE) ^ elasticity; HIGH GDP path 10% a year 2026 to 2030 and 7.5% a year to 2050 (PDP8 assumption); BASE 5.7% a year to 2035 (USDA) and 4.5% a year after (our assumption); elasticity 0.30 (2030), 0.25 (2040), 0.20 (2050)",GT-11; QNT-02; QNT-model,Low,"GDP ratio HIGH/BASE: 1.22 (2030), 1.53 (2040), 2.03 (2050). Elasticity declines to reflect saturation (as in IMPACT, QNT-12); Vietnamese household elasticities not extracted."
income_multiplier,ALL,ALL,1.0,multiplier,no income effect outside S-HIGH,QNT-model,High,
aq_export_share_pangasius,ALL,ALL,0.9,"share of output, live-weight equivalent","our estimate from 2025 export values and typical product yields; total aquaculture exports about 3.1 Mt live weight, consistent with OECD-FAO fish exports of 4.63 Mt that also include capture and re-exports",MAC-15; MAC-01; QNT-01; QNT-model,Low,Held constant to 2050.
aq_export_share_whiteleg,ALL,ALL,0.75,"share of output, live-weight equivalent","our estimate from 2025 export values and typical product yields; total aquaculture exports about 3.1 Mt live weight, consistent with OECD-FAO fish exports of 4.63 Mt that also include capture and re-exports",MAC-15; MAC-01; QNT-01; QNT-model,Low,Held constant to 2050.
aq_export_share_othershrimp,ALL,ALL,0.6,"share of output, live-weight equivalent","our estimate from 2025 export values and typical product yields; total aquaculture exports about 3.1 Mt live weight, consistent with OECD-FAO fish exports of 4.63 Mt that also include capture and re-exports",MAC-15; MAC-01; QNT-01; QNT-model,Low,Held constant to 2050.
aq_export_share_otherfish,ALL,ALL,0.1,"share of output, live-weight equivalent","our estimate from 2025 export values and typical product yields; total aquaculture exports about 3.1 Mt live weight, consistent with OECD-FAO fish exports of 4.63 Mt that also include capture and re-exports",MAC-15; MAC-01; QNT-01; QNT-model,Low,Held constant to 2050.
aq_export_share_nonfed,ALL,ALL,0.3,"share of output, live-weight equivalent","our estimate from 2025 export values and typical product yields; total aquaculture exports about 3.1 Mt live weight, consistent with OECD-FAO fish exports of 4.63 Mt that also include capture and re-exports",MAC-15; MAC-01; QNT-01; QNT-model,Low,Held constant to 2050.
fcr_pig,ALL,ALL,2.8,kg feed per kg live weight (whole herd),assumption: whole-herd feed conversion including sows; typical range 2.6 to 3.2,QNT-model,Low,With 12.2 Mt of pig compound feed in 2025 this implies 81% of pig feed is compound feed.
fcr_pig,SENS-LOW,ALL,2.6,kg feed per kg live weight,sensitivity,QNT-model,Low,"Implies a higher 2025 compound share (87%), so less room for industrialisation growth."
fcr_pig,SENS-HIGH,ALL,3.2,kg feed per kg live weight,sensitivity,QNT-model,Low,"Implies a lower 2025 compound share (71%), so more room for industrialisation growth."
fcr_poultry_meat,ALL,ALL,2.5,kg feed per kg live weight,"assumption: blend of industrial broilers (about 1.7), coloured and native chickens and ducks (2.5 to 3.2)",QNT-model,Low,
fcr_eggs,ALL,ALL,2.4,kg feed per kg eggs,assumption: layers 2.0 to 2.3 plus ducks,QNT-model,Low,
fcr_pangasius,ALL,ALL,1.5,kg feed per kg fish,assumption; industry feed volumes imply 1.03 to 1.29 (edition 1.0 H3),MAC-06; QNT-model,Low,
fcr_whiteleg,ALL,ALL,1.3,kg feed per kg shrimp,assumption within edition 1.0 sensitivity 1.2 to 1.4,MAC-06; QNT-model,Low,
fcr_othershrimp,ALL,ALL,1.5,kg feed per kg shrimp,assumption,QNT-model,Low,
fcr_otherfish,ALL,ALL,1.5,kg feed per kg fish,assumption,QNT-model,Low,
compound_share_pig,S-BASE,2030,0.88,share of pig feed that is compound feed,our estimate: continued shift from household to industrial farms (2025 calibrated value about 0.81),QNT-model,Low,
compound_share_pig,S-BASE,2035,0.91,share of pig feed that is compound feed,our estimate: continued shift from household to industrial farms (2025 calibrated value about 0.81),QNT-model,Low,
compound_share_pig,S-BASE,2040,0.94,share of pig feed that is compound feed,our estimate: continued shift from household to industrial farms (2025 calibrated value about 0.81),QNT-model,Low,
compound_share_pig,S-BASE,2050,0.97,share of pig feed that is compound feed,our estimate: continued shift from household to industrial farms (2025 calibrated value about 0.81),QNT-model,Low,
compound_share_pig,SENS-LOW,2040,0.91,share,sensitivity: slower industrialisation,QNT-model,Low,
compound_share_pig,SENS-HIGH,2040,0.97,share,sensitivity: complete industrialisation,QNT-model,Low,
compound_share_pig,SENS-LOW,2050,0.9,share,sensitivity: slower industrialisation,QNT-model,Low,
compound_share_pig,SENS-HIGH,2050,1.0,share,sensitivity: complete industrialisation,QNT-model,Low,
compound_share_poultry,S-BASE,2030,0.97,share,our estimate (2025 calibrated value about 0.96),QNT-model,Low,
compound_share_poultry,S-BASE,2035,0.975,share,our estimate (2025 calibrated value about 0.96),QNT-model,Low,
compound_share_poultry,S-BASE,2040,0.98,share,our estimate (2025 calibrated value about 0.96),QNT-model,Low,
compound_share_poultry,S-BASE,2050,0.98,share,our estimate (2025 calibrated value about 0.96),QNT-model,Low,
compound_share_othershrimp,S-BASE,2025,0.3,share,"assumption: black tiger mostly extensive or semi-intensive, slowly intensifying",QNT-model,Low,
compound_share_othershrimp,S-BASE,2030,0.35,share,"assumption: black tiger mostly extensive or semi-intensive, slowly intensifying",QNT-model,Low,
compound_share_othershrimp,S-BASE,2035,0.4,share,"assumption: black tiger mostly extensive or semi-intensive, slowly intensifying",QNT-model,Low,
compound_share_othershrimp,S-BASE,2040,0.45,share,"assumption: black tiger mostly extensive or semi-intensive, slowly intensifying",QNT-model,Low,
compound_share_othershrimp,S-BASE,2050,0.5,share,"assumption: black tiger mostly extensive or semi-intensive, slowly intensifying",QNT-model,Low,
compound_share_otherfish_2025,ALL,ALL,0.68,share,"assumption: share of other fed fish (tilapia, snakehead, carps, marine) on commercial pellets in 2025; set so the aquafeed scale factor is about 1 against the USDA 6.5 Mt",MAC-01; QNT-model,Low,All aquafeed coefficients are then scaled by one factor so the 2025 total equals base_aquafeed_mt.
compound_share_otherfish_index,S-BASE,2025,1.0,index 2025 = 1,"our estimate: more pellet feeding of tilapia, snakehead and carps (2025 calibrated share about 0.68)",QNT-model,Low,
compound_share_otherfish_index,S-BASE,2030,1.07,index 2025 = 1,"our estimate: more pellet feeding of tilapia, snakehead and carps (2025 calibrated share about 0.68)",QNT-model,Low,
compound_share_otherfish_index,S-BASE,2035,1.12,index 2025 = 1,"our estimate: more pellet feeding of tilapia, snakehead and carps (2025 calibrated share about 0.68)",QNT-model,Low,
compound_share_otherfish_index,S-BASE,2040,1.18,index 2025 = 1,"our estimate: more pellet feeding of tilapia, snakehead and carps (2025 calibrated share about 0.68)",QNT-model,Low,
compound_share_otherfish_index,S-BASE,2050,1.25,index 2025 = 1,"our estimate: more pellet feeding of tilapia, snakehead and carps (2025 calibrated share about 0.68)",QNT-model,Low,
