record_id,hs_code,description,year,value_usd,quantity_t,quantity_status,reporter,partner,unit_value_usd_per_kg,source_ids,evidence_label,confidence,demand_evidence_type,notes
IMP-014,040811,"Egg yolks, dried",2022,2367640,307.4,estimated by UN Comtrade,"Vietnam (importer-reported, CIF)",World,7.7,BUY-01,VN-direct,Medium,revealed,Classification H6. Value reliable; quantity imputed so unit value is weak.
IMP-015,040811,"Egg yolks, dried",2023,2758275,259.6,estimated by UN Comtrade,"Vietnam (importer-reported, CIF)",World,10.62,BUY-01,VN-direct,Medium,revealed,Classification H6. Value reliable; quantity imputed so unit value is weak.
IMP-016,040891,"Birds eggs not in shell, dried (whole egg powder)",2019,3564497,732.4,estimated by UN Comtrade,"Vietnam (importer-reported, CIF)",World,4.87,BUY-01,VN-direct,Medium,revealed,Classification H5. Value reliable; quantity imputed so unit value is weak.
IMP-017,040891,"Birds eggs not in shell, dried (whole egg powder)",2020,3143113,648.0,estimated by UN Comtrade,"Vietnam (importer-reported, CIF)",World,4.85,BUY-01,VN-direct,Medium,revealed,Classification H5. Value reliable; quantity imputed so unit value is weak.
IMP-018,040891,"Birds eggs not in shell, dried (whole egg powder)",2021,3953519,741.5,estimated by UN Comtrade,"Vietnam (importer-reported, CIF)",World,5.33,BUY-01,VN-direct,Medium,revealed,Classification H5. Value reliable; quantity imputed so unit value is weak.
IMP-019,040891,"Birds eggs not in shell, dried (whole egg powder)",2022,4558605,615.5,estimated by UN Comtrade,"Vietnam (importer-reported, CIF)",World,7.41,BUY-01,VN-direct,Medium,revealed,Classification H6. Value reliable; quantity imputed so unit value is weak.
IMP-020,040891,"Birds eggs not in shell, dried (whole egg powder)",2023,5016699,546.7,estimated by UN Comtrade,"Vietnam (importer-reported, CIF)",World,9.18,BUY-01,VN-direct,Medium,revealed,Classification H6. Value reliable; quantity imputed so unit value is weak.
IMP-021,110900,Wheat gluten,2019,15205880,9608.3,estimated by UN Comtrade,"Vietnam (importer-reported, CIF)",World,1.58,BUY-01,VN-direct,Medium,revealed,Classification H5. Value reliable; quantity imputed so unit value is weak.
IMP-022,110900,Wheat gluten,2020,16145037,11253.2,estimated by UN Comtrade,"Vietnam (importer-reported, CIF)",World,1.43,BUY-01,VN-direct,Medium,revealed,Classification H5. Value reliable; quantity imputed so unit value is weak.
IMP-023,110900,Wheat gluten,2021,23750771,14912.4,estimated by UN Comtrade,"Vietnam (importer-reported, CIF)",World,1.59,BUY-01,VN-direct,Medium,revealed,Classification H5. Value reliable; quantity imputed so unit value is weak.
IMP-024,110900,Wheat gluten,2022,36563009,19056.6,estimated by UN Comtrade,"Vietnam (importer-reported, CIF)",World,1.92,BUY-01,VN-direct,Medium,revealed,Classification H6. Value reliable; quantity imputed so unit value is weak.
IMP-025,110900,Wheat gluten,2023,31057349,12336.6,estimated by UN Comtrade,"Vietnam (importer-reported, CIF)",World,2.52,BUY-01,VN-direct,Medium,revealed,Classification H6. Value reliable; quantity imputed so unit value is weak.
IMP-026,210610,"Protein concentrates and textured protein substances (incl. TVP, soy protein concentrate, some isolates as declared, protein supplement premixes)",2019,37032217,8168.6,estimated by UN Comtrade,"Vietnam (importer-reported, CIF)",World,4.53,BUY-01,VN-direct,Medium,revealed,Classification H5. Value reliable; quantity imputed so unit value is weak.
IMP-027,210610,"Protein concentrates and textured protein substances (incl. TVP, soy protein concentrate, some isolates as declared, protein supplement premixes)",2020,32525144,6453.7,estimated by UN Comtrade,"Vietnam (importer-reported, CIF)",World,5.04,BUY-01,VN-direct,Medium,revealed,Classification H5. Value reliable; quantity imputed so unit value is weak.
IMP-028,210610,"Protein concentrates and textured protein substances (incl. TVP, soy protein concentrate, some isolates as declared, protein supplement premixes)",2021,46798193,8815.6,estimated by UN Comtrade,"Vietnam (importer-reported, CIF)",World,5.31,BUY-01,VN-direct,Medium,revealed,Classification H5. Value reliable; quantity imputed so unit value is weak.
IMP-029,210610,"Protein concentrates and textured protein substances (incl. TVP, soy protein concentrate, some isolates as declared, protein supplement premixes)",2022,31639228,5549.1,estimated by UN Comtrade,"Vietnam (importer-reported, CIF)",World,5.7,BUY-01,VN-direct,Medium,revealed,Classification H6. Value reliable; quantity imputed so unit value is weak.
IMP-030,210610,"Protein concentrates and textured protein substances (incl. TVP, soy protein concentrate, some isolates as declared, protein supplement premixes)",2023,33981552,5763.4,estimated by UN Comtrade,"Vietnam (importer-reported, CIF)",World,5.9,BUY-01,VN-direct,Medium,revealed,Classification H6. Value reliable; quantity imputed so unit value is weak.
IMP-031,350110,Casein,2019,1987970,337.6,estimated by UN Comtrade,"Vietnam (importer-reported, CIF)",World,5.89,BUY-01,VN-direct,Medium,revealed,Classification H5. Value reliable; quantity imputed so unit value is weak.
IMP-032,350110,Casein,2020,1710567,,not available,"Vietnam (importer-reported, CIF)",World,,BUY-01,VN-direct,Medium,revealed,Classification H5. Value reliable; quantity imputed so unit value is weak. Casein 2020 net weight not given; supplementary quantity 226 t.
IMP-033,350110,Casein,2021,3904960,453.0,estimated by UN Comtrade,"Vietnam (importer-reported, CIF)",World,8.62,BUY-01,VN-direct,Medium,revealed,Classification H5. Value reliable; quantity imputed so unit value is weak.
IMP-034,350110,Casein,2022,9341070,819.1,estimated by UN Comtrade,"Vietnam (importer-reported, CIF)",World,11.4,BUY-01,VN-direct,Medium,revealed,Classification H6. Value reliable; quantity imputed so unit value is weak.
IMP-035,350110,Casein,2023,5839872,539.7,estimated by UN Comtrade,"Vietnam (importer-reported, CIF)",World,10.82,BUY-01,VN-direct,Medium,revealed,Classification H6. Value reliable; quantity imputed so unit value is weak.
IMP-036,350190,Caseinates and other casein derivatives,2019,15770053,2154.0,estimated by UN Comtrade,"Vietnam (importer-reported, CIF)",World,7.32,BUY-01,VN-direct,Medium,revealed,Classification H5. Value reliable; quantity imputed so unit value is weak.
IMP-037,350190,Caseinates and other casein derivatives,2020,16609739,1948.8,estimated by UN Comtrade,"Vietnam (importer-reported, CIF)",World,8.52,BUY-01,VN-direct,Medium,revealed,Classification H5. Value reliable; quantity imputed so unit value is weak.
IMP-038,350190,Caseinates and other casein derivatives,2021,20347663,2067.0,estimated by UN Comtrade,"Vietnam (importer-reported, CIF)",World,9.84,BUY-01,VN-direct,Medium,revealed,Classification H5. Value reliable; quantity imputed so unit value is weak.
IMP-039,350190,Caseinates and other casein derivatives,2022,32424756,2382.6,estimated by UN Comtrade,"Vietnam (importer-reported, CIF)",World,13.61,BUY-01,VN-direct,Medium,revealed,Classification H6. Value reliable; quantity imputed so unit value is weak.
IMP-040,350190,Caseinates and other casein derivatives,2023,27829702,2029.9,estimated by UN Comtrade,"Vietnam (importer-reported, CIF)",World,13.71,BUY-01,VN-direct,Medium,revealed,Classification H6. Value reliable; quantity imputed so unit value is weak.
IMP-041,350211,"Egg albumin, dried (egg white powder)",2019,4697410,722.0,estimated by UN Comtrade,"Vietnam (importer-reported, CIF)",World,6.51,BUY-01,VN-direct,Medium,revealed,Classification H5. Value reliable; quantity imputed so unit value is weak.
IMP-042,350211,"Egg albumin, dried (egg white powder)",2020,5520718,832.6,estimated by UN Comtrade,"Vietnam (importer-reported, CIF)",World,6.63,BUY-01,VN-direct,Medium,revealed,Classification H5. Value reliable; quantity imputed so unit value is weak.
IMP-043,350211,"Egg albumin, dried (egg white powder)",2021,7170321,914.0,estimated by UN Comtrade,"Vietnam (importer-reported, CIF)",World,7.85,BUY-01,VN-direct,Medium,revealed,Classification H5. Value reliable; quantity imputed so unit value is weak.
IMP-044,350211,"Egg albumin, dried (egg white powder)",2022,14707449,1077.0,estimated by UN Comtrade,"Vietnam (importer-reported, CIF)",World,13.66,BUY-01,VN-direct,Medium,revealed,Classification H6. Value reliable; quantity imputed so unit value is weak.
IMP-045,350211,"Egg albumin, dried (egg white powder)",2023,8094019,470.5,estimated by UN Comtrade,"Vietnam (importer-reported, CIF)",World,17.2,BUY-01,VN-direct,Medium,revealed,Classification H6. Value reliable; quantity imputed so unit value is weak.
IMP-046,350219,"Egg albumin, other",2019,5500,,not available,"Vietnam (importer-reported, CIF)",World,,BUY-01,VN-direct,Medium,revealed,Classification H5. Value reliable; quantity imputed so unit value is weak.
IMP-047,350219,"Egg albumin, other",2020,18560,15.6,estimated by UN Comtrade,"Vietnam (importer-reported, CIF)",World,1.19,BUY-01,VN-direct,Medium,revealed,Classification H5. Value reliable; quantity imputed so unit value is weak.
IMP-048,350219,"Egg albumin, other",2021,291152,200.2,estimated by UN Comtrade,"Vietnam (importer-reported, CIF)",World,1.45,BUY-01,VN-direct,Medium,revealed,Classification H5. Value reliable; quantity imputed so unit value is weak.
IMP-049,350219,"Egg albumin, other",2022,292670,151.3,estimated by UN Comtrade,"Vietnam (importer-reported, CIF)",World,1.93,BUY-01,VN-direct,Medium,revealed,Classification H6. Value reliable; quantity imputed so unit value is weak.
IMP-050,350219,"Egg albumin, other",2023,331765,159.8,estimated by UN Comtrade,"Vietnam (importer-reported, CIF)",World,2.08,BUY-01,VN-direct,Medium,revealed,Classification H6. Value reliable; quantity imputed so unit value is weak.
IMP-051,350220,Milk albumin incl. concentrates of two or more whey proteins (whey protein concentrate above 80% protein),2019,10665064,1463.1,estimated by UN Comtrade,"Vietnam (importer-reported, CIF)",World,7.29,BUY-01,VN-direct,Medium,revealed,Classification H5. Value reliable; quantity imputed so unit value is weak.
IMP-052,350220,Milk albumin incl. concentrates of two or more whey proteins (whey protein concentrate above 80% protein),2020,10995283,1568.3,estimated by UN Comtrade,"Vietnam (importer-reported, CIF)",World,7.01,BUY-01,VN-direct,Medium,revealed,Classification H5. Value reliable; quantity imputed so unit value is weak.
IMP-053,350220,Milk albumin incl. concentrates of two or more whey proteins (whey protein concentrate above 80% protein),2021,15923541,1963.9,estimated by UN Comtrade,"Vietnam (importer-reported, CIF)",World,8.11,BUY-01,VN-direct,Medium,revealed,Classification H5. Value reliable; quantity imputed so unit value is weak.
IMP-054,350220,Milk albumin incl. concentrates of two or more whey proteins (whey protein concentrate above 80% protein),2022,16677371,1351.7,estimated by UN Comtrade,"Vietnam (importer-reported, CIF)",World,12.34,BUY-01,VN-direct,Medium,revealed,Classification H6. Value reliable; quantity imputed so unit value is weak.
IMP-055,350220,Milk albumin incl. concentrates of two or more whey proteins (whey protein concentrate above 80% protein),2023,10783173,1248.6,estimated by UN Comtrade,"Vietnam (importer-reported, CIF)",World,8.64,BUY-01,VN-direct,Medium,revealed,Classification H6. Value reliable; quantity imputed so unit value is weak.
IMP-056,350300,"Gelatin and gelatin derivatives (food, pharmaceutical capsule and technical uses)",2019,40631594,6896.7,estimated by UN Comtrade,"Vietnam (importer-reported, CIF)",World,5.89,BUY-01,VN-direct,Medium,revealed,Classification H5. Value reliable; quantity imputed so unit value is weak.
IMP-057,350300,"Gelatin and gelatin derivatives (food, pharmaceutical capsule and technical uses)",2020,45006279,6350.2,estimated by UN Comtrade,"Vietnam (importer-reported, CIF)",World,7.09,BUY-01,VN-direct,Medium,revealed,Classification H5. Value reliable; quantity imputed so unit value is weak.
IMP-058,350300,"Gelatin and gelatin derivatives (food, pharmaceutical capsule and technical uses)",2021,39787609,6214.1,estimated by UN Comtrade,"Vietnam (importer-reported, CIF)",World,6.4,BUY-01,VN-direct,Medium,revealed,Classification H5. Value reliable; quantity imputed so unit value is weak.
IMP-059,350300,"Gelatin and gelatin derivatives (food, pharmaceutical capsule and technical uses)",2022,55030485,6869.5,estimated by UN Comtrade,"Vietnam (importer-reported, CIF)",World,8.01,BUY-01,VN-direct,Medium,revealed,Classification H6. Value reliable; quantity imputed so unit value is weak.
IMP-060,350300,"Gelatin and gelatin derivatives (food, pharmaceutical capsule and technical uses)",2023,62214027,6519.2,estimated by UN Comtrade,"Vietnam (importer-reported, CIF)",World,9.54,BUY-01,VN-direct,Medium,revealed,Classification H6. Value reliable; quantity imputed so unit value is weak.
IMP-061,350400,"Peptones; other protein substances n.e.s. (incl. soy and pea protein isolates, hydrolysates, collagen peptides; some feed-grade proteins)",2019,7431704,1291.8,estimated by UN Comtrade,"Vietnam (importer-reported, CIF)",World,5.75,BUY-01,VN-direct,Medium,revealed,Classification H5. Value reliable; quantity imputed so unit value is weak.
IMP-062,350400,"Peptones; other protein substances n.e.s. (incl. soy and pea protein isolates, hydrolysates, collagen peptides; some feed-grade proteins)",2020,11820941,1666.9,estimated by UN Comtrade,"Vietnam (importer-reported, CIF)",World,7.09,BUY-01,VN-direct,Medium,revealed,Classification H5. Value reliable; quantity imputed so unit value is weak.
IMP-063,350400,"Peptones; other protein substances n.e.s. (incl. soy and pea protein isolates, hydrolysates, collagen peptides; some feed-grade proteins)",2021,15042809,2127.3,estimated by UN Comtrade,"Vietnam (importer-reported, CIF)",World,7.07,BUY-01,VN-direct,Medium,revealed,Classification H5. Value reliable; quantity imputed so unit value is weak.
IMP-064,350400,"Peptones; other protein substances n.e.s. (incl. soy and pea protein isolates, hydrolysates, collagen peptides; some feed-grade proteins)",2022,29841522,3431.9,estimated by UN Comtrade,"Vietnam (importer-reported, CIF)",World,8.7,BUY-01,VN-direct,Medium,revealed,Classification H6. Value reliable; quantity imputed so unit value is weak.
IMP-065,350400,"Peptones; other protein substances n.e.s. (incl. soy and pea protein isolates, hydrolysates, collagen peptides; some feed-grade proteins)",2023,22184267,2421.5,estimated by UN Comtrade,"Vietnam (importer-reported, CIF)",World,9.16,BUY-01,VN-direct,Medium,revealed,Classification H6. Value reliable; quantity imputed so unit value is weak.
IMP-066,040410,Whey and modified whey (feed-grade sweet whey and food-grade demineralised whey mixed),2019,40468919,41215.3,mostly reported by exporters,"All partners (mirror exports to Vietnam, FOB)",USA USD 15.90 M; Spain USD 5.70 M; Germany USD 3.70 M; Poland USD 2.87 M,0.98,BUY-02,VN-direct,Medium,revealed,Partner-reported FOB exports; 25 reporters; 0% of value has estimated quantity. Unit value near USD 1/kg indicates mostly feed-grade whey powder.
IMP-067,040410,Whey and modified whey (feed-grade sweet whey and food-grade demineralised whey mixed),2020,53073099,58380.4,mostly reported by exporters,"All partners (mirror exports to Vietnam, FOB)",USA USD 22.19 M; Spain USD 4.95 M; Poland USD 4.30 M; Turkiye USD 4.16 M,0.91,BUY-02,VN-direct,Medium,revealed,Partner-reported FOB exports; 29 reporters; 0% of value has estimated quantity. Unit value near USD 1/kg indicates mostly feed-grade whey powder.
IMP-068,040410,Whey and modified whey (feed-grade sweet whey and food-grade demineralised whey mixed),2021,79366597,73846.2,mostly reported by exporters,"All partners (mirror exports to Vietnam, FOB)",USA USD 34.04 M; Spain USD 8.46 M; Poland USD 5.87 M; Turkiye USD 4.51 M,1.07,BUY-02,VN-direct,Medium,revealed,Partner-reported FOB exports; 28 reporters; 0% of value has estimated quantity. Unit value near USD 1/kg indicates mostly feed-grade whey powder.
IMP-069,040410,Whey and modified whey (feed-grade sweet whey and food-grade demineralised whey mixed),2022,70945957,64433.2,mostly reported by exporters,"All partners (mirror exports to Vietnam, FOB)",USA USD 30.31 M; Poland USD 6.99 M; Spain USD 6.75 M; Canada USD 4.80 M,1.1,BUY-02,VN-direct,Medium,revealed,Partner-reported FOB exports; 25 reporters; 0% of value has estimated quantity. Unit value near USD 1/kg indicates mostly feed-grade whey powder.
IMP-070,040410,Whey and modified whey (feed-grade sweet whey and food-grade demineralised whey mixed),2023,54719816,67052.7,mostly reported by exporters,"All partners (mirror exports to Vietnam, FOB)",USA USD 20.78 M; Poland USD 7.23 M; Spain USD 5.40 M; Italy USD 3.77 M,0.82,BUY-02,VN-direct,Medium,revealed,Partner-reported FOB exports; 27 reporters; 0% of value has estimated quantity. Unit value near USD 1/kg indicates mostly feed-grade whey powder.
IMP-071,040410,Whey and modified whey (feed-grade sweet whey and food-grade demineralised whey mixed),2024,60029848,72062.6,mostly reported by exporters,"All partners (mirror exports to Vietnam, FOB)",USA USD 24.36 M; Turkiye USD 7.63 M; Spain USD 5.62 M; Italy USD 4.46 M,0.83,BUY-02,VN-direct,Medium,revealed,Partner-reported FOB exports; 30 reporters; 0% of value has estimated quantity. Unit value near USD 1/kg indicates mostly feed-grade whey powder.
IMP-072,040410,Whey and modified whey (feed-grade sweet whey and food-grade demineralised whey mixed),2025,78715936,64003.0,mostly reported by exporters,"All partners (mirror exports to Vietnam, FOB)",USA USD 31.06 M; Turkiye USD 9.87 M; Spain USD 9.44 M; Italy USD 7.48 M,1.23,BUY-02,VN-direct,Medium,revealed,Partner-reported FOB exports; 25 reporters; 39% of value has estimated quantity. 2025 may be incomplete. Unit value near USD 1/kg indicates mostly feed-grade whey powder.
IMP-073,040490,Products of natural milk constituents n.e.s. (may include milk protein concentrates),2019,3454035,1237.7,mostly reported by exporters,"All partners (mirror exports to Vietnam, FOB)",USA USD 1.15 M; New Zealand USD 1.03 M; Japan USD 0.31 M; Belarus USD 0.27 M,2.79,BUY-02,VN-direct,Medium,revealed,Partner-reported FOB exports; 12 reporters; 6% of value has estimated quantity.
IMP-074,040490,Products of natural milk constituents n.e.s. (may include milk protein concentrates),2020,6359092,3786.9,mostly reported by exporters,"All partners (mirror exports to Vietnam, FOB)",USA USD 1.53 M; New Zealand USD 1.44 M; Denmark USD 0.96 M; Switzerland USD 0.66 M,1.68,BUY-02,VN-direct,Medium,revealed,Partner-reported FOB exports; 16 reporters; 0% of value has estimated quantity.
IMP-075,040490,Products of natural milk constituents n.e.s. (may include milk protein concentrates),2021,8611716,2983.6,mostly reported by exporters,"All partners (mirror exports to Vietnam, FOB)",USA USD 3.70 M; New Zealand USD 2.13 M; Japan USD 1.61 M; Norway USD 0.64 M,2.89,BUY-02,VN-direct,Medium,revealed,Partner-reported FOB exports; 11 reporters; 0% of value has estimated quantity.
IMP-076,040490,Products of natural milk constituents n.e.s. (may include milk protein concentrates),2022,8691449,1804.1,mostly reported by exporters,"All partners (mirror exports to Vietnam, FOB)",USA USD 4.54 M; New Zealand USD 2.44 M; Germany USD 0.57 M; Singapore USD 0.50 M,4.82,BUY-02,VN-direct,Medium,revealed,Partner-reported FOB exports; 12 reporters; 0% of value has estimated quantity.
IMP-077,040490,Products of natural milk constituents n.e.s. (may include milk protein concentrates),2023,5992305,1662.3,mostly reported by exporters,"All partners (mirror exports to Vietnam, FOB)",New Zealand USD 2.80 M; USA USD 2.65 M; Japan USD 0.20 M; Switzerland USD 0.11 M,3.6,BUY-02,VN-direct,Medium,revealed,Partner-reported FOB exports; 11 reporters; 0% of value has estimated quantity.
IMP-078,040490,Products of natural milk constituents n.e.s. (may include milk protein concentrates),2024,7569391,1370.6,mostly reported by exporters,"All partners (mirror exports to Vietnam, FOB)",USA USD 3.57 M; New Zealand USD 2.90 M; France USD 0.46 M; Germany USD 0.20 M,5.52,BUY-02,VN-direct,Medium,revealed,Partner-reported FOB exports; 10 reporters; 0% of value has estimated quantity.
IMP-079,040490,Products of natural milk constituents n.e.s. (may include milk protein concentrates),2025,10510272,2148.6,mostly reported by exporters,"All partners (mirror exports to Vietnam, FOB)",USA USD 5.96 M; New Zealand USD 4.05 M; Netherlands USD 0.26 M; Germany USD 0.13 M,4.89,BUY-02,VN-direct,Medium,revealed,Partner-reported FOB exports; 10 reporters; 57% of value has estimated quantity. 2025 may be incomplete.
IMP-080,040811,"Egg yolks, dried",2019,1368937,284.5,mostly reported by exporters,"All partners (mirror exports to Vietnam, FOB)",India USD 1.30 M; USA USD 0.07 M; Thailand USD 0.00 M,4.81,BUY-02,VN-direct,Medium,revealed,Partner-reported FOB exports; 3 reporters; 0% of value has estimated quantity.
IMP-081,040811,"Egg yolks, dried",2020,2140836,415.4,mostly reported by exporters,"All partners (mirror exports to Vietnam, FOB)",India USD 2.02 M; USA USD 0.10 M; Ukraine USD 0.01 M; Italy USD 0.00 M,5.15,BUY-02,VN-direct,Medium,revealed,Partner-reported FOB exports; 5 reporters; 0% of value has estimated quantity.
IMP-082,040811,"Egg yolks, dried",2021,2186299,425.6,mostly reported by exporters,"All partners (mirror exports to Vietnam, FOB)",India USD 2.02 M; USA USD 0.06 M; Lithuania USD 0.04 M; Belgium USD 0.04 M,5.14,BUY-02,VN-direct,Medium,revealed,Partner-reported FOB exports; 7 reporters; 0% of value has estimated quantity.
IMP-083,040811,"Egg yolks, dried",2022,2219330,403.0,mostly reported by exporters,"All partners (mirror exports to Vietnam, FOB)",India USD 2.19 M; France USD 0.01 M; USA USD 0.01 M; Italy USD 0.00 M,5.51,BUY-02,VN-direct,Medium,revealed,Partner-reported FOB exports; 5 reporters; 0% of value has estimated quantity.
IMP-084,040811,"Egg yolks, dried",2023,2566621,410.2,mostly reported by exporters,"All partners (mirror exports to Vietnam, FOB)",India USD 2.45 M; USA USD 0.11 M; Japan USD 0.00 M; Italy USD 0.00 M,6.26,BUY-02,VN-direct,Medium,revealed,Partner-reported FOB exports; 5 reporters; 0% of value has estimated quantity.
IMP-085,040811,"Egg yolks, dried",2024,3277380,502.5,mostly reported by exporters,"All partners (mirror exports to Vietnam, FOB)",India USD 3.26 M; France USD 0.01 M; Italy USD 0.01 M,6.52,BUY-02,VN-direct,Medium,revealed,Partner-reported FOB exports; 3 reporters; 0% of value has estimated quantity.
IMP-086,040811,"Egg yolks, dried",2025,4656974,581.8,mostly reported by exporters,"All partners (mirror exports to Vietnam, FOB)",India USD 4.64 M; France USD 0.01 M; China USD 0.00 M,8.0,BUY-02,VN-direct,Medium,revealed,Partner-reported FOB exports; 3 reporters; 0% of value has estimated quantity. 2025 may be incomplete.
IMP-087,040891,"Birds eggs not in shell, dried (whole egg powder)",2019,3462861,622.8,mostly reported by exporters,"All partners (mirror exports to Vietnam, FOB)",India USD 3.45 M; China USD 0.01 M; Lithuania USD 0.00 M; France USD 0.00 M,5.56,BUY-02,VN-direct,Medium,revealed,Partner-reported FOB exports; 5 reporters; 0% of value has estimated quantity.
IMP-088,040891,"Birds eggs not in shell, dried (whole egg powder)",2020,3219090,613.5,mostly reported by exporters,"All partners (mirror exports to Vietnam, FOB)",India USD 3.11 M; Lithuania USD 0.04 M; Italy USD 0.03 M; USA USD 0.02 M,5.25,BUY-02,VN-direct,Medium,revealed,Partner-reported FOB exports; 6 reporters; 0% of value has estimated quantity.
IMP-089,040891,"Birds eggs not in shell, dried (whole egg powder)",2021,4204948,865.1,mostly reported by exporters,"All partners (mirror exports to Vietnam, FOB)",India USD 3.76 M; USA USD 0.28 M; Japan USD 0.07 M; Italy USD 0.05 M,4.86,BUY-02,VN-direct,Medium,revealed,Partner-reported FOB exports; 6 reporters; 0% of value has estimated quantity.
IMP-090,040891,"Birds eggs not in shell, dried (whole egg powder)",2022,4769625,798.8,mostly reported by exporters,"All partners (mirror exports to Vietnam, FOB)",India USD 4.20 M; Japan USD 0.26 M; Italy USD 0.19 M; France USD 0.10 M,5.97,BUY-02,VN-direct,Medium,revealed,Partner-reported FOB exports; 7 reporters; 0% of value has estimated quantity.
IMP-091,040891,"Birds eggs not in shell, dried (whole egg powder)",2023,4588235,706.3,mostly reported by exporters,"All partners (mirror exports to Vietnam, FOB)",India USD 4.30 M; Japan USD 0.17 M; Italy USD 0.06 M; France USD 0.05 M,6.5,BUY-02,VN-direct,Medium,revealed,Partner-reported FOB exports; 4 reporters; 0% of value has estimated quantity.
IMP-092,040891,"Birds eggs not in shell, dried (whole egg powder)",2024,4225942,643.2,mostly reported by exporters,"All partners (mirror exports to Vietnam, FOB)",India USD 3.85 M; Japan USD 0.21 M; Italy USD 0.10 M; France USD 0.06 M,6.57,BUY-02,VN-direct,Medium,revealed,Partner-reported FOB exports; 7 reporters; 0% of value has estimated quantity.
IMP-093,040891,"Birds eggs not in shell, dried (whole egg powder)",2025,4313118,649.4,mostly reported by exporters,"All partners (mirror exports to Vietnam, FOB)",India USD 3.69 M; Japan USD 0.22 M; France USD 0.21 M; Lithuania USD 0.13 M,6.64,BUY-02,VN-direct,Medium,revealed,Partner-reported FOB exports; 7 reporters; 0% of value has estimated quantity. 2025 may be incomplete.
IMP-094,110900,Wheat gluten,2019,14447199,11327.3,mostly reported by exporters,"All partners (mirror exports to Vietnam, FOB)",China USD 11.77 M; Belgium USD 1.02 M; Germany USD 0.81 M; France USD 0.52 M,1.28,BUY-02,VN-direct,Medium,revealed,Partner-reported FOB exports; 10 reporters; 0% of value has estimated quantity.
