record_id,buyer,segment,ownership,protein_ingredients_used,evidence_of_use,scale_indicator,statements_on_plant_protein_or_sustainability,likely_first_novel_product,switching_likelihood,ease_of_first_trial,source_ids,evidence_label,confidence,demand_evidence_type,notes
BM-11,Nutifood,"Nutrition powders and drinks, medical nutrition, dairy",Private (Vietnam; Sweden research arm),"Dairy proteins (imported, inferred); nut-based medical nutrition (Varna Life Sua Hat)","Clinical study announcement, Jun 2026",Six plants in Vietnam and one in Sweden; tax paid VND 915 billion in FY2025,Research institute NNRIS; MOU with Military Hospital 175 (20 Jun 2026) for clinical trials of Varna Gentle Care and Varna Life Sua Hat (for people with diabetes),"Plant protein isolates for medical and diabetic nutrition; specialty dairy proteins (lactoferrin type) from fermentation, later",Medium,Medium: clinical-evidence culture favours documented ingredients,BUY-18; BUY-19,VN-direct,Medium,stated,Advertorial sources.
BM-12,TH Group (TH true NUT),Dairy and nut milks,Private (Vietnam),"Nuts, fresh milk (supply study)",Supply study label read,About 250 SKUs (supply study); revenue not found in this wave,None found in this wave,"Plant protein to lift nut-milk protein (1 g per 100 ml in walnut variant, supply study)",Low,Low,ECO-45,VN-direct,Low,revealed,Not researched further.
BM-13,Orion Vina,Confectionery and snacks,Orion (Korea),"Milk powder, egg (inferred for cakes)",Not verified,"Revenue KRW 475.5 billion (about VND 8,760 billion) in 2023; Chocopie more than 67% share; third plant in the north under construction (2024)",None found,"Egg-replacer functionality (fungal or plant protein) in cakes, not protein claims",Low,Low,BUY-29,VN-direct,Medium,revealed,Bakery protein demand is mostly egg and dairy.
BM-14,Ajinomoto Vietnam,"Seasonings, frozen dumplings, medical food, amino acids",Ajinomoto (Japan),Meat and bone extracts in Aji-ngon; mushroom seasoning for chay dishes,"Product pages, Sep 2026","Revenue about VND 7,600 to 8,700 billion (2017 to 2019); about 60% MSG share",Parent partners with Solar Foods (supply study RGN-40); no Vietnam alt-protein activity found,Fungal or microbial protein as flavour-active ingredient or in frozen gyoza; fermentation partner,Medium,Medium,BUY-25; BUY-26; RGN-40,VN-direct,Medium,stated,Also a potential supplier of fermentation capacity (supply study).
BM-15,Cholimex Food,"Sauces, seasonings, frozen spring rolls and dumplings incl. chay",Vietnamese JSC,Chay seasoning kits and frozen chay products (supply study FORM-27),Supply study labels,"Revenue VND 2,513 billion (2021); Ben Luc plant, Tay Ninh (former Long An), VND 850 billion, frozen food 10,000 t/yr with EU code (2025)",None found,Domestic TVP for frozen chay dim sum and export spring rolls,Medium,Medium,BUY-27; BUY-28,VN-direct,Medium,revealed,New EU-coded frozen capacity suits export chay.
BM-16,"CJ Foods Vietnam (CJ Cau Tre, bibigo)",Frozen dumplings and spring rolls incl. chay,CJ CheilJedang (Korea),Soy protein in bibigo mandu chay; vegetables in ha cao chay (supply study),Supply study labels,Not disclosed,Parent co-invested in Shiok Meats alongside Vinh Hoan (supply study),Domestic TVP for chay mandu,Medium,Medium,ECO-33; CAP-16,VN-direct,Low,revealed,Korean parent decisions dominate.
BM-17,An Nhien Foods (Pham Gia Phat),Chay (dried and frozen TVP analogues),Vietnamese SME,"Imported soy protein concentrate (label: Serbia), TVP; non-GMO claims; Halal",Supply study labels,Not disclosed; exports claimed,Positions on NON GMO soy,"Domestic TVP and SPC, if price and spec match",High,"High: SME, fast trials, but small volumes",FORM-01; ECO-28,VN-direct,Medium,revealed,"Serbia also appears in 2025 mirror data (259 t, USD 0.85/kg)."
BM-18,"Au Lac, Thoai An, LC Foods, SG Food, Thanh Dung and other chay makers","Chay (gluten and TVP analogues, filled wrappers)",Vietnamese SMEs,"Wheat gluten (Thoai An cha lua chay 35%), TVP granules 4 to 7 mm (LC Foods), imported TVP",Supply study labels,Capacities not published,Au Lac exports with certifications (supply study),Domestic TVP granules and slices; gluten-TVP blends,High,High,FORM-26; FORM-28; ECO-26,VN-direct,Medium,revealed,The largest single cluster of import-dependent plant-protein buyers.
BM-19,"Sports-nutrition importers (e.g., Vietnam BOCCI, Nutri Sport)",Sports nutrition,Vietnamese importers,Finished whey and isolate supplements,Shipment records,Tens of shipments per importer (commercial database),None,Not an ingredient buyer; imports finished goods,Low,Low,BUY-08,VN-direct,Low,revealed,Explains part of the high unit values in HS 210610 and 3504.
BM-20,"Brenntag Vietnam, VMC Group, TDGIMEX, Barentz Vietnam",Ingredient distributors,Mixed,"Soy protein isolate (Brenntag listed among SPI importers), gluten, TVP",Shipment and listing evidence,VMC claims 19 branches (supply study ingredient supplier table),n/a,Channel partner for a domestic ingredient; not the end buyer,n/a,n/a,BUY-08; BUY-33; BUY-35; BUY-36; BUY-37,VN-direct,Medium,revealed,Prices on request; distributors control SME access.
