actor_id,actor,audience,type,country_or_region,stated_interests,key_quote,vietnam_or_sea_focus,demand_relevance,source_ids,evidence_label,confidence,notes
AFN-A11,Humane World for Animals (formerly Humane Society International),international,animal protection NGO,"United States; global, with a Viet Nam office","In Viet Nam: dog and cat meat trade, wildlife, cage-free hens (90,000 hens in 2024), disasters. Globally: Forward Food chef training and plant-based menu commitments; in 2025 new commitments to transition 2.3 million meals a year to plant-based and training of 370+ chefs and 570+ nutritionists in seven countries including Viet Nam.","trained over 370 chefs, as well as more than 570 nutritionists and other professionals across Brazil, Canada, India, South Africa, Thailand, the UK and Viet Nam","Active in Viet Nam. The Viet Nam page lists no plant-based programme and Forward Food lists no Viet Nam location, but the 2025 summary includes Viet Nam in plant-based training.",Medium. Measures meals shifted; the one international diet-change implementer with staff in Vietnam that we found.,AFN-22; AFN-23; AFN-24,VN-direct,Medium,Corrects the wave-6 note (CHY-63) that it has no plant-based work in Vietnam; the Viet Nam detail is not published.
AFN-A12,Lever Foundation,international,corporate engagement NGO,Hong Kong; Asia,"Corporate sourcing policies in Asia: 175+ commitments by early 2025 (cage-free, improved production, plant-based); hotel plant-based menu targets in China (IHG Greater China 30% by 2025, Orange Hotels 70% across 750 hotels); claims 29 million corporate meals shifted to plant-based. In 2026 expanded plant-based policy work to India and Thailand, 'shifting protein procurement ratios' with hotels, foodservice and retailers.",Our role isn't to introduce a new way of eating; it's to help institutions formalise and expand something that's already culturally present,"Hong Kong, China, Malaysia, Singapore, Philippines, Korea, India, Thailand. Vietnam not named.",High. Shows the corporate-commitment route working in Asian hospitality; measures meals shifted. Accor's own policy (50% vegetarian or plant-based dishes by 2030 in all hotels) already covers its 43 Vietnamese hotels.,AFN-38; AFN-39; AFN-40; AFN-41,VN-adjacent,Medium,Lever figures are organisation claims reported by trade press.
AFN-A13,"Animal Charity Evaluators and its recommended diet-change charities (Sinergia Animal, Good Food Fund)",international,charity evaluator and grantmaker,United States; global,"2025 recommendations include Sinergia Animal (institutional meat reduction in schools and universities; 998,000 meals replaced in 2023 across Argentina, Colombia and Indonesia) and Good Food Fund (China; certifies institutions at least 60% plant-based). Movement Grants fund smaller groups.",3.4 meals replaced per dollar (ACE estimate for Sinergia's institutional programme),"Asian diet-change work in China, Indonesia and Thailand only. No Vietnamese grantee in the July 2025 Movement Grants round.","High for metrics. Allocates on cost per meal replaced and suffering averted, units Part VI does not report.",AFN-25; AFN-26; AFN-27; AFN-28,general,Medium,
AFN-A14,"Animal Alliance Asia (ReRoot Asia Fund, supported by Stray Dog Institute)",international,regranting network,Asia,"2026 fund for 'projects that will bring diet change', including institutional menu offerings, through local advocates.",transform individual food choices or institutional menu offerings,"Eligible countries in 2026: Taiwan, Philippines, Indonesia, Nepal, Pakistan, Japan. Vietnam not eligible.","Medium. Would fund institutional menu work of the kind Part VI proposes, but not in Vietnam.",AFN-29,VN-adjacent,Medium,
AFN-A15,Giving Green and Founders Pledge (climate recommenders),international,donor advisers,United States; United Kingdom,"Giving Green's 2025 to 2026 top climate nonprofits include GFI, for public R&D funding, fair labelling and cultivated-meat market access. Founders Pledge Climate Fund impact page shows only energy-policy grants.",Livestock production is responsible for at least 10% of global emissions,None found for Southeast Asia or Vietnam food work.,"Low to Medium. A climate case needs tonnes of CO2e avoided per USD, which Part VI does not give.",AFN-30; AFN-31,general,Medium,Founders Pledge result is a clean negative from one page.
AFN-A16,Rockefeller Foundation (school meals) and the School Meals Coalition,international,foundation and intergovernmental coalition,United States; Bangkok office; global,USD 100 million pledge (March 2025) towards nutritious school meals for 100 million children; climate-conscious and regenerative school meals linked to public procurement; School Meals Coalition membership and financing initiatives.,connecting local farmers practicing regenerative agriculture with public procurement systems,"Vietnam not named in the school meals work. Vietnam not listed among School Meals Coalition members, while Cambodia, Indonesia, Lao PDR, Philippines, Thailand and Timor-Leste are.","Medium. School-meal procurement is a demand lever, but these funders favour local and regenerative sourcing, not novel protein.",AFN-32; AFN-33,VN-direct,Medium,Negative findings from the pages read.
AFN-A17,WWF (Planet-Based Diets; WWF-Viet Nam),international,conservation NGO,Global,"Retailer methodology (November 2025) for measuring the ratio of plant to animal protein-rich food sales by weight, towards 60% plant; counts legumes, tofu, tempeh, seitan and meat alternatives; designed for countries where animal food intake exceeds health recommendations.",This methodology is for retailers in countries where consumption of animal-based food exceeds health recommendations and planetary boundaries.,Global. WWF-Viet Nam's home page shows no diets or protein work.,"Medium. Offers the metric a Vietnamese retailer ratio target would likely use; weight-based, so tofu and low-protein chay would count fully.",AFN-34; AFN-35,general,Medium,
AFN-A18,Dharma Voices for Animals (Vietnam Project),international,Buddhist animal advocacy NGO,United States; Vietnam (Hanoi),"Pagoda-based programme with Phap Van Pagoda: film screenings, plant-based cooking classes, dharma talks, free plant-based lunches, a donation-based vegan restaurant; plans to expand to the centre and south.","convert[ing] five restaurants into going vegan, including a dog meat restaurant","Vietnam-specific; aims at 15,000 pagodas and about 60 million lay Buddhists (organisation's framing).",Medium. The only organised attempt we found to add chay or vegan occasions through pagodas; no measured outcomes or dates.,AFN-36,VN-direct,Low,
AFN-A19,Vietnam Animal Welfare Watch,international,corporate accountability NGO,Vietnam,Tracks company animal welfare (cage-free egg) pledges in Vietnam and publicises inaction.,We hold food companies accountable for their animal welfare commitments,Vietnam-specific.,Low for protein. Shows that a commitments-tracking capacity exists that could extend to protein commitments.,AFN-37,VN-direct,Medium,
AFN-A20,"School-meal field-builders in Vietnam: Ajinomoto Vietnam with NIN and MOET; MOET, NIN and TH Group model scaled by Decision 973/QĐ-TTg",manufacturers,corporate programmes with government,Vietnam,"Ajinomoto, NIN and MOET School Meal Project: 120+ balanced menus, 360+ dishes, nutrition education. MOET, NIN and TH Group school meal model: 400 standard menus and one carton of fresh milk a day, piloted in 10 provinces in 2020 to 2021, now to be scaled nationally under the School Health Programme 2026 to 2035 (Decision 973/QĐ-TTg, 1 June 2026), which targets food-safety and nutrition management in all schools serving meals by 2030.",Nhân rộng mô hình bữa ăn học đường đảm bảo dinh dưỡng hợp lý (scale up school meal models ensuring balanced nutrition),Vietnam-specific.,High. Menu templates decide which protein dishes public schools serve; both templates are built with a food company and one includes daily dairy.,AFN-44; AFN-45; AFN-46,VN-direct,Medium,Corporate field-builders rather than funders; also relevant to the incumbents group. School counts using each menu set were not published on the pages read.
