doi,title,year,vn_institutions,topic,key_result,relevance,source_ids,evidence_label,confidence,notes
10.1111/ijfs.16966,"Development of dairy‐free soybean‐based yoghurt by active dry starter culture from kombucha: an investigation into microencapsulation, curd formation, protein and texture profiles during storage",2024,not established,plant-based dairy,"Soy-based dairy-free yoghurt with kombucha-derived dry starter; curd, protein and texture during storage",med,RD-01,VN-direct,Medium,key result from Scite abstract/record read 2026-09-23
10.3390/foods15132295,"Physicochemical, Structural, and Nutritional Properties of Termite Mushroom-Fortified Tofu and Its Antioxidant Activity During In Vitro Digestion",2026,not established,tofu fortification,Termite mushroom (Termitomyces) fortified tofu: physicochemical and in vitro digestion,low,RD-01,VN-direct,Medium,key result from Scite abstract/record read 2026-09-23
10.1111/jfpe.70365,"Plant‐Based Fish Analogues: Advances in Formulation, Processing, Nutrition, and Market Dynamics",2026,first author with Vietnamese name; affiliation not established,review: plant-based fish analogues,"Review 2020-2025: nutritional trade-off (lower protein quality, inconsistent fortification) and processing gaps in plant-based fish",med,RD-01,VN-direct,Medium,possible diaspora or VN author; verify affiliation; key result from Scite abstract/record read 2026-09-23
10.15625/1811-4989/14/3/9876,Isolation of a methane-oxydizing bacterium for the study on single cell protein production from methane,2016,"VNU Hanoi, Institute of Microbiology and Biotechnology (probable)",bacterial SCP (methanotroph),Isolation of a methane-oxidising bacterium as a candidate for single cell protein from methane,high,RD-01,VN-direct,Medium,only VN methanotroph-SCP paper found; no follow-up scale-up found; key result from Scite abstract/record read 2026-09-23
10.20944/preprints202503.1319.v1,Improving Nutrition Facts of Cassava and Soybean Residue through Solid-State Fermentation by Pleurotus ostreatus Mycelium: A Pathway to Safety Animal Feed Production,2025,not established,fungal SSF of cassava residue and okara (feed),"P. ostreatus mycelium on 80:20 cassava:soy residue covered substrate in 9 days; protein up 1.84x, polysaccharide up 2.1x vs substrate",high,RD-01,VN-direct,Medium,preprint; closest VN paper to cassava-pulp fungal protein; key result from Scite abstract/record read 2026-09-23
10.1051/e3sconf/202340501009,Circular Economy Approach: Cultivating Grey Oyster Mushroom using Cassava (Manihot esculenta) Peel Waste from Starch Production,2023,not established (HCMC probable),mushroom on cassava peel,Grey oyster mushroom cultivated on cassava peel waste from starch production,med,RD-01,VN-direct,Medium,conference paper; key result from Scite abstract/record read 2026-09-23
10.1051/e3sconf/202342009003,RETRACTED: Bamboo cellulose based single cell protein and nanocellulose by dilute sulfuric acid hydrolysis and fermentation,2023,not established,bacterial/yeast SCP from bamboo cellulose,RETRACTED (2023). Claimed SCP and nanocellulose from bamboo,low,RD-01,VN-direct,High,EXCLUDED from counts: retracted; key result from Scite abstract/record read 2026-09-23
10.15625/2525-2518/55/5a/12192,INFLUENCES OF TECHOLOGICAL HYDROLYSIS CONDITION ON NUCLEIC ACID CONTENT OF SPENT BREWER’S YEAST HYDROLYSATE,2018,HUST (probable),yeast protein: nucleic acid (RNA) reduction,"Compared heat shock, autolysis and hydrolysis modes (batch, continuous overflow) for lowering nucleic acid in spent brewer's yeast hydrolysate",high,RD-01,VN-direct,Medium,contradicts prior-draft claim that no VN study addressed RNA reduction; key result from Scite abstract/record read 2026-09-23
10.15625/1811-4989/14/4/12308,Optimization for continuous overflow proteolytic hydrolysis of spent brewer’s yeast by using proteases,2018,HUST (probable),yeast protein hydrolysate,Continuous overflow proteolytic hydrolysis of spent brewer's yeast optimised,med,RD-01,VN-direct,Medium,key result from Scite abstract/record read 2026-09-23
10.31276/vjste.65(3).91-96,Assessment of growth and fermentation of some yeasts on soybean residue hydrolysate,2023,HUST,yeast growth on okara hydrolysate,Growth and fermentation of yeasts on soybean residue hydrolysate,med,RD-01,VN-direct,High,key result from Scite abstract/record read 2026-09-23
10.1007/s11274-021-03060-z,Development of a new Agrobacterium-mediated transformation system based on a dual auxotrophic approach in the filamentous fungus Aspergillus oryzae,2021,VNU Hanoi University of Science (probable; Van-Tuan Tran group),fungal genetic tools (Aspergillus oryzae),New Agrobacterium-mediated transformation system based on dual auxotrophy in A. oryzae,high,RD-01,VN-direct,Medium,koji chassis engineering capacity; key result from Scite abstract/record read 2026-09-23
10.1007/s11274-017-2275-9,A new and efficient approach for construction of uridine/uracil auxotrophic mutants in the filamentous fungus Aspergillus oryzae using Agrobacterium tumefaciens-mediated transformation,2017,VNU Hanoi University of Science (probable),fungal genetic tools (A. oryzae),Efficient construction of uridine/uracil auxotrophic mutants in A. oryzae via ATMT,high,RD-01,VN-direct,Medium,key result from Scite abstract/record read 2026-09-23
10.47371/mycosci.2024.10.003,Efficient generation of uridine/uracil auxotrophic mutants in homokaryotic &lt;i&gt;Cordyceps militaris&lt;/i&gt; strains for constructing a food-grade expression platform,2024,VNU Hanoi University of Science (probable),food-grade fungal expression platform (Cordyceps militaris),"pyrG deletion by homologous recombination at 100% efficiency in five homokaryotic strains, as base for food-grade expression",high,RD-01,VN-direct,Medium,key result from Scite abstract/record read 2026-09-23
10.1002/leg3.165,Enhancement of antioxidant activity and improvement of the bright color of fermented soybean using ergothioneine biosynthesized by Aspergillus oryzae,2022,not established,koji / fermented soybean,Ergothioneine extract from A. oryzae improved antioxidant activity and colour of fermented soybean,med,RD-01,VN-direct,Medium,key result from Scite abstract/record read 2026-09-23
10.47866/2615-9252/vjfc.4588,Quality evaluation of Vietnam traditional soy sauce concerning nutritional composition and aflatoxin criteria,2025,not established (published in NIFC journal),traditional fermented soy (tuong) safety,35 of 38 tuong samples below aflatoxin LOD (0.74 ug/kg); 3 small-producer samples detectable but within QCVN 8-1:2011/BYT; soluble protein 5.05-6.61%,med,RD-01,VN-direct,Medium,mycotoxin testing capacity evidence; key result from Scite abstract/record read 2026-09-23
10.1371/journal.pone.0202695,A unique fungal strain collection from Vietnam characterized for high performance degraders of bioecological important biopolymers and lipids,2018,VAST with German partners (probable),fungal strain collection,Unique fungal strain collection from Vietnam screened for degradation of biopolymers and lipids,med,RD-01,VN-direct,Medium,indigenous strain resource; key result from Scite abstract/record read 2026-09-23
10.3389/fmicb.2018.02278,"Prospects for Food Fermentation in South-East Asia, Topics From the Tropical Fermentation and Biotechnology Network at the End of the AsiFood Erasmus+Project",2018,HUST and partners (AsiFood Erasmus+),fermentation research network,"Tropical Fermentation Network across Vietnam, Cambodia, Thailand, China and EU (Agreenium); names spent yeast and shrimp heads as by-products to valorise",med,RD-01,VN-direct,High,collaboration evidence; key result from Scite abstract/record read 2026-09-23
10.15625/vjbt-21940,Development of a &lt;i&gt;Pichia pastoris &lt;/i&gt; strain for secretory production of recombinant alkaline phytase,2025,VNU-HCM University of Science (probable),recombinant enzyme (Pichia) for aquafeed,"Alkaline phytase from B. subtilis secreted by P. pastoris X33 (Mut+), active on phytate at pH 7.5, aimed at aquafeed",high,RD-01,VN-direct,Medium,feed-relevant precision fermentation; key result from Scite abstract/record read 2026-09-23
10.32508/stdj.v23i2.1746,Secretory expression of the recombinant FGF-2 protein in Pichia pastoris carrying multiple copies of target gene,2020,VNU-HCM University of Science,recombinant growth factor (FGF-2) in Pichia,Secretory FGF-2 in P. pastoris carrying multiple gene copies,high,RD-01,VN-direct,High,FGF-2 is a cost driver in cultivated-meat media; key result from Scite abstract/record read 2026-09-23
10.32508/stdjet.v4i3.858,Study of glycerol-methanol and sorbitol-methanol mixed feed strategies for recombinant hPDGF-BB production in Pichia pastoris,2021,VNU-HCM (HCMUT / University of Science),recombinant growth factor (PDGF-BB) in Pichia,Glycerol-methanol and sorbitol-methanol mixed-feed strategies for hPDGF-BB production,high,RD-01,VN-direct,High,fed-batch process development; key result from Scite abstract/record read 2026-09-23
10.32508/stdjns.v4i3.900,Heterologous expression of human KGF/FGF7 (Keratinocyte growth factor) in Pichia pastoris,2020,VNU-HCM University of Science,recombinant growth factor (KGF/FGF7) in Pichia,Heterologous expression of human KGF/FGF7 in P. pastoris,high,RD-01,VN-direct,High,key result from Scite abstract/record read 2026-09-23
10.1007/s42770-024-01388-w,"Heterologous expression of pediocin PA-1 in Pichia pastoris: cloning, expression, characterization, and application in pork bologna preservation",2024,VNU-HCM University of Science (probable),recombinant food protein (bacteriocin) in Pichia,Pediocin PA-1 expressed in P. pastoris and applied in pork bologna preservation,med,RD-01,VN-direct,Medium,key result from Scite abstract/record read 2026-09-23
10.1186/s13104-017-2471-6,Pichia pastoris versus Saccharomyces cerevisiae: a case study on the recombinant production of human granulocyte-macrophage colony-stimulating factor,2017,VNU-HCM (probable),recombinant protein host comparison,P. pastoris vs S. cerevisiae for human GM-CSF production,med,RD-01,VN-direct,Medium,key result from Scite abstract/record read 2026-09-23
10.1021/acs.jafc.5c00550,Development of CRISPR/Cas9-Mediated Saccharomyces cerevisiae Strains for the Cell-Surface Display of a Novel Fusion Acid-Alkaline Phytase,2025,VNU-HCM University of Science (probable),CRISPR yeast engineering,CRISPR/Cas9 S. cerevisiae strains displaying a fusion acid-alkaline phytase on the cell surface,med,RD-01,VN-direct,Medium,key result from Scite abstract/record read 2026-09-23
10.15625/1811-4989/17659,Investigation of culture conditions for recombinant xylanase a production and its enzymatic hydrolysis of agricultural wastes,2023,"Institute of Biotechnology, VAST",recombinant enzyme (Pichia) for agro-waste,Xylanase A (A. niger) in P. pastoris GS115; hydrolysis of agricultural wastes,med,RD-01,VN-direct,High,key result from Scite abstract/record read 2026-09-23
10.1155/2021/8840038,"Cloning, Expression, and Characterization of Xylanase G2 from Aspergillus oryzae VTCC‐F187 in Aspergillus niger VTCC‐F017",2021,"Institute of Biotechnology, VAST",fungal expression host (A. niger),Xylanase G2 of A. oryzae VTCC-F187 expressed in A. niger VTCC-F017,med,RD-01,VN-direct,High,uses VTCC strains; key result from Scite abstract/record read 2026-09-23
10.1016/j.biteb.2021.100803,Arthrospira production in Vietnam: Current status and prospects,2021,Vietnam National University of Agriculture (VNUA),microalgae: Spirulina industry status,Review of Arthrospira production in Vietnam: current status and prospects,high,RD-01,VN-direct,Medium,closed access; content not read beyond metadata; key result from Scite abstract/record read 2026-09-23
10.3390/su151511906,Transcriptome Analysis of Spirulina platensis sp. at Different Salinity and Nutrient Compositions for Sustainable Cultivation in Vietnam,2023,"Institute of Biotechnology, VAST",microalgae: salt-tolerant Spirulina,Salt-tolerant S. platensis ST in 25% SOT medium (42 ppt): protein 48.73% of dry weight after 15 days; transcriptome of salt response,high,RD-01,VN-direct,High,"measured, lab scale; key result from Scite abstract/record read 2026-09-23"
10.9734/ajb2t/2026/v12i2296,Comparative Evaluation of Arthrospira platensis Cultivation in Closed Tubular Photobioreactors Versus Open Systems,2026,not established,microalgae: Spirulina cultivation systems,Closed tubular photobioreactors vs open systems for Arthrospira,med,RD-01,VN-direct,Medium,key result from Scite abstract/record read 2026-09-23
10.15625/2525-2518/55/5/9374,"Experimental cultivation of Spirulina platensis using My An mineral water, Thua Thien Hue province",2017,Hue (institution not established),microalgae: Spirulina on mineral water,"Experimental cultivation of Spirulina using My An mineral water, Thua Thien Hue (now Hue city)",med,RD-01,VN-direct,Medium,matches prior lead on My An pilot; key result from Scite abstract/record read 2026-09-23
10.1186/s13568-016-0270-4,Growth promotion of Spirulina by steelmaking slag: application of solubility diagram to understand its mechanism,2016,"Institute of Biotechnology, VAST with Japanese partners",microalgae: Spirulina growth,Steelmaking slag promotes Spirulina growth,low,RD-01,VN-direct,High,key result from Scite abstract/record read 2026-09-23
10.3390/w14223645,Removal of Nutrients and COD in Wastewater from Vietnamese Piggery Farm by the Culture of Chlorella vulgaris in a Pilot-Scaled Membrane Photobioreactor,2022,not established,microalgae: Chlorella on piggery wastewater (pilot),Nutrient and COD removal from piggery wastewater by Chlorella vulgaris in pilot-scale membrane photobioreactor,med,RD-01,VN-direct,Medium,wastewater-grown biomass: feed/food safety unresolved; key result from Scite abstract/record read 2026-09-23
10.3390/en13040898,"Isolation and Characterization of Two Microalgal Isolates from Vietnam with Potential for Food, Feed, and Biodiesel Production",2020,not established (with Belgian partners),microalgae isolates for food/feed,Nannochloropsis salina and lutein-rich Desmodesmus isolated from shrimp ponds; tolerate 10-35 ppt,med,RD-01,VN-direct,Medium,key result from Scite abstract/record read 2026-09-23
10.18174/566553,Seaweed cultivation in Vietnam for livestock methane reduction : A Top Sector Agri &amp; Food SMP (Seed Money Project) report,2022,Wageningen Research (VN partners not named in record),seaweed,Seed-money study on seaweed cultivation in Vietnam for livestock methane reduction,low,RD-01,VN-direct,High,international collaboration evidence; key result from Scite abstract/record read 2026-09-23
10.1007/s10811-018-1457-7,Effects of partial replacement of fishmeal protein with green seaweed (Cladophora spp.) protein in practical diets for the black tiger shrimp (Penaeus monodon) postlarvae,2018,Can Tho University,seaweed protein in shrimp feed,Partial replacement of fishmeal protein with green seaweed (Cladophora) protein in P. monodon postlarvae diets,high,RD-01,VN-direct,Medium,result values not in record; key result from Scite abstract/record read 2026-09-23
10.1016/j.ejar.2022.11.003,Evaluating Artemia biomass and gut weed (Ulva intestinalis) meal as a dietary protein source for black tiger shrimp (Penaeus monodon) postlarvae,2023,Can Tho University,seaweed and Artemia protein in shrimp feed,Artemia biomass and gut weed (Ulva intestinalis) meal evaluated as protein source for P. monodon postlarvae,high,RD-01,VN-direct,High,key result from Scite abstract/record read 2026-09-23
10.22144/ctu.jen.2022.029,"Morphological variation, chromosome number, and DNA barcoding of Giant Duckweed (Spirodela polyrhiza) in Vietnam",2022,Can Tho University journal; authors incl. Hoang Thi Nhu Phuong (institution not established),duckweed biodiversity,"First systematic survey: over 100 Spirodela, Lemna and Wolffia samples collected across Vietnam and maintained in lab",high,RD-01,VN-direct,Medium,living germplasm = VN advantage; no protein work yet; key result from Scite abstract/record read 2026-09-23
10.1038/s41598-020-75728-9,"Chromosome-scale genome assembly for the duckweed Spirodela intermedia, integrating cytogenetic maps, PacBio and Oxford Nanopore libraries",2020,Vietnamese first author with IPK Gatersleben (Germany),duckweed genomics,Chromosome-scale genome assembly of Spirodela intermedia,med,RD-01,VN-direct,High,"genomics capacity, not protein; key result from Scite abstract/record read 2026-09-23"
10.1016/j.scitotenv.2020.137854,Nutrient removal by duckweed from anaerobically treated swine wastewater in lab-scale stabilization ponds in Vietnam,2020,Vietnamese and Japanese authors (institutions not established),duckweed on swine wastewater,Nutrient removal by duckweed from anaerobically treated swine wastewater in lab stabilisation ponds,med,RD-01,VN-direct,Medium,key result from Scite abstract/record read 2026-09-23
10.5296/jas.v3i1.6867,Regeneration and Transformation of Gene Encoding the Hemagglutinin Antigen of the H5N1 Virus in Frond of Duckweed (Spirodela polyrhiza L.),2015,"Agricultural Genetics Institute, VAAS (probable)",duckweed as expression host,Regeneration and transformation of Spirodela polyrhiza with H5N1 haemagglutinin gene,med,RD-01,VN-direct,Medium,molecular farming in duckweed; key result from Scite abstract/record read 2026-09-23
10.1016/j.fochx.2025.103310,Sustainable valorization of Pleurotus pulmonarius via green dual-enzyme technology: Novel optimization for functional protein hydrolysates,2025,not established,mushroom protein hydrolysate,Dual-enzyme optimisation for functional protein hydrolysates from Pleurotus pulmonarius,high,RD-01,VN-direct,Medium,key result from Scite abstract/record read 2026-09-23
10.31817/vjas.2018.1.2.01,Identification of Optimal Culture Conditions for Mycelial Growth and Cultivation of Monkey Head Mushrooms (Hericium erinaceus (Bull.: fr.) Pers),2018,VNUA,mushroom cultivation,Optimal culture conditions for mycelial growth and cultivation of Hericium erinaceus,med,RD-01,VN-direct,High,VNUA mushroom group; key result from Scite abstract/record read 2026-09-23
10.31817/vjas.2023.6.4.06,Optimal Culture Conditions for the Enhanced Mycelial Growth and Cultivation of Shiitake Mushroom (Lentinula edodes),2023,VNUA,mushroom cultivation,Culture conditions for mycelial growth and cultivation of shiitake,med,RD-01,VN-direct,High,key result from Scite abstract/record read 2026-09-23
10.5114/bta.2020.94772,Cultural characteristics and cordycepin production of some Cordyceps militaris strains under artificial cultivation conditions,2020,VNUA,mushroom (Cordyceps militaris),Cultural characteristics and cordycepin production of C. militaris strains,low,RD-01,VN-direct,High,key result from Scite abstract/record read 2026-09-23
10.1186/s13287-021-02694-y,Optimization of human umbilical cord blood-derived mesenchymal stem cell isolation and culture methods in serum- and xeno-free conditions,2022,Vinmec (Research Institute of Stem Cell and Gene Technology),cell culture: serum/xeno-free media,"Of four commercial serum/xeno-free kits, only StemMACS MSC Expansion Media supported cord-blood MSC isolation and culture",high,RD-01,VN-direct,High,serum-free know-how transferable to cultivated meat; key result from Scite abstract/record read 2026-09-23
10.1089/cell.2021.0050,Differential Development of Umbilical Cord-Derived Mesenchymal Stem Cells During Long-Term Maintenance in Fetal Bovine Serum-Supplemented Medium and Xeno- and Serum-Free Culture Medium,2021,Vinmec (probable),cell culture: FBS vs serum-free long-term culture,Differential development of UC-MSCs under long-term FBS vs xeno- and serum-free media,high,RD-01,VN-direct,Medium,key result from Scite abstract/record read 2026-09-23
10.15419/psc.v3i02.123,In vitro expansion of mesenchymal stem cells for clinical use,2016,"Stem Cell Institute, VNU-HCM University of Science",cell culture: MSC expansion,In vitro expansion of MSCs for clinical use,med,RD-01,VN-direct,High,key result from Scite abstract/record read 2026-09-23
10.15419/bmrat.v7i12.652,A simple and scalable method to generate spheroids from human mesenchymal stem cells for use in tissue engineering,2020,"Stem Cell Institute, VNU-HCM University of Science",cell culture: scalable spheroids,Simple scalable method to generate MSC spheroids for tissue engineering,med,RD-01,VN-direct,High,key result from Scite abstract/record read 2026-09-23
10.1262/jrd.2019-050,Isolation of female germline stem cells from porcine ovarian tissue and differentiation into oocyte-like cells,2019,"International University, VNU-HCM (probable)",livestock stem cells (pig),Female germline stem cells isolated from porcine ovary and differentiated to oocyte-like cells,high,RD-01,VN-direct,Medium,only livestock stem-cell line work found; key result from Scite abstract/record read 2026-09-23
10.2478/vjls-2024-0013,From Lab to Table: Food Safety Regulations for Cell-Cultured Meat in the European Union and Singapore - Implications for Vietnam,2024,not established (legal scholars),cultivated meat regulation,Analysis of EU and Singapore food safety rules for cell-cultured meat and implications for Vietnam,med,RD-01,VN-direct,Medium,"only VN cultivated-meat paper found; legal, not technical; key result from Scite abstract/record read 2026-09-23"
10.48048/tis.2026.11874,Advances and Challenges in Serum-Free Culture Systems for Mesenchymal Stem Cells: Toward Clinical-Grade Expansion,2026,not established,cell culture: serum-free systems review,Review of serum-free culture systems for clinical-grade MSC expansion,med,RD-01,VN-direct,Medium,key result from Scite abstract/record read 2026-09-23
10.3390/aquacj5010007,Black Soldier Fly Larvae Meal as a Sustainable Alternative to Fishmeal in Juvenile Swamp Eel Diets: Effects on Growth and Meat Quality,2025,VNUA,insect: BSF in swamp eel feed,30% BSFL meal gave best growth and lowest FCR (2.33) in juvenile swamp eel over 3 months,med,RD-01,VN-direct,High,benchmark only; key result from Scite abstract/record read 2026-09-23
10.46989/001c.92338,Effect of Inclusion of Fresh or dried black soldier fly larvae in Diets on Snakehead Fish’s Growth Performance and Chemical Composition ( Channa sp. ),2024,not established,insect: BSF in snakehead feed,Fresh or dried BSFL inclusion in snakehead diets; growth and composition,med,RD-01,VN-direct,Medium,benchmark only; key result from Scite abstract/record read 2026-09-23
10.13057/biodiv/d241235,Genetic diversity of black soldier flies in Vietnam based on DNA COI sequence,2024,VNUA,insect: BSF genetics,Genetic diversity of Vietnamese BSF populations (COI),low,RD-01,VN-direct,High,benchmark only; key result from Scite abstract/record read 2026-09-23
10.1111/anu.12648,Utilization of fermented soybean meal for fishmeal substitution in diets of Pacific white shrimp ( Litopenaeus vannamei ),2018,Nha Trang University (probable),aquafeed: fermented soybean meal in shrimp,"FSBM crude protein ADC 88.8%, equal to local fishmeal; optimum fishmeal replacement 253.6 g/kg without growth loss in L. vannamei",high,RD-01,VN-direct,Medium,key result from Scite abstract/record read 2026-09-23
10.1111/are.13147,"Effects of replacing fish meal with soya protein concentrate on growth, feed efficiency and digestibility in diets for snakehead, Channa striata",2016,Can Tho University,aquafeed: soy protein concentrate in snakehead,SPC replaced 40% of fishmeal protein with no loss; 60-100% replacement cut growth and digestibility,high,RD-01,VN-direct,High,key result from Scite abstract/record read 2026-09-23
10.1016/j.aquaculture.2015.06.020,Development of formulated diets for snakehead (Channa striata and Channa micropeltes): Can phytase and taurine supplementation increase use of soybean meal to replace fish meal?,2015,Can Tho University,aquafeed: soybean meal in snakehead,Formulated snakehead diets; phytase and taurine to raise soybean meal use,high,RD-01,VN-direct,High,key result from Scite abstract/record read 2026-09-23
10.1111/anu.12915,"Spent brewer's yeast as a replacement for fishmeal in diets for giant freshwater prawn (Macrobrachium rosenbergii), reared in either clear water or a biofloc environment",2019,Can Tho University (with Swedish partners),aquafeed: spent brewer's yeast in prawn,Spent brewer's yeast replaced up to 60% of fishmeal protein in giant freshwater prawn without growth or survival loss,high,RD-01,VN-direct,High,key result from Scite abstract/record read 2026-09-23
10.3390/aquacj4040019,"Gradual Replacement of Soybean Meal with Brewer’s Yeast in Fingerling Nile Tilapia (Oreochromis niloticus) Diet, Resulting in a Polynomial Growth Pattern, Independent of Whether Reared in a Biofloc or Clear-Water System",2024,Can Tho University (with SLU Sweden),aquafeed: brewer's yeast replacing soybean meal in tilapia,SBM protein replaced by spent brewer's yeast; polynomial growth response; biofloc improved growth,high,RD-01,VN-direct,High,key result from Scite abstract/record read 2026-09-23
10.3390/foods11111531,Protein Recovery of Tra Catfish (Pangasius hypophthalmus) Protein-Rich Side Streams by the pH-Shift Method,2022,Nha Trang University,fish side-stream protein,pH-shift recovered 83.0-88.9% protein from Tra catfish side streams; isolates <10% of raw fat,med,RD-01,VN-direct,High,"side-stream protein, not alternative protein; key result from Scite abstract/record read 2026-09-23"
10.1111/anu.13404,"Dietary supplementation of fish protein hydrolysate in high plant protein diets modulates growth, liver and kidney health, and immunity of barramundi ( Lates calcarifer )",2021,Nha Trang University (with Deakin University),aquafeed: high plant protein diets,Fish protein hydrolysate in high plant protein diets modulated growth and health of barramundi,med,RD-01,VN-direct,High,key result from Scite abstract/record read 2026-09-23
10.1111/anu.12632,Effect of ingredient particle sizes and dietary viscosity on digestion and faecal waste of striped catfish (Pangasianodon hypophthalmus ),2017,Can Tho University (with Wageningen),aquafeed: digestion in striped catfish,Ingredient particle size and dietary viscosity alter digestion and faecal waste in striped catfish,med,RD-01,VN-direct,High,Nuffic-era collaboration; key result from Scite abstract/record read 2026-09-23
10.1007/s40071-016-0144-z,"Growth performance, feed utilisation and biological indices of Tra catfish (Pangasianodon hypophthalmus) cultured in net cages in pond fed diets based on locally available feed resources",2016,Can Tho University,aquafeed: local feed resources for Tra catfish,Growth of Tra catfish in net cages fed diets from locally available resources,med,RD-01,VN-direct,High,key result from Scite abstract/record read 2026-09-23
10.15625/1811-4989/18102,The growth and probiotic characteristics of Bacillus velezensis BS in soybean meal used as synbiotic-like preparations for Litopenaeus vannamei culture,2023,not established (Hanoi),fermented soybean meal / probiotic,Bacillus velezensis BS grown in soybean meal as synbiotic-like preparation for L. vannamei,med,RD-01,VN-direct,Medium,key result from Scite abstract/record read 2026-09-23
10.13141/jve.vol9.no2.pp99-105,Isolation and selection of probiotic bacteria capable of forming biofilm for fermenting soybean meal,2018,not established (Hanoi),fermented soybean meal,Isolation of biofilm-forming probiotic bacteria for fermenting soybean meal,low,RD-01,VN-direct,Medium,key result from Scite abstract/record read 2026-09-23
10.3390/pr7060347,"Manufacturing Process, In Vivo and In Vitro Digestibility Assessment of an Enteral Feeding Product Hydrolyzed from Locally Available Ingredients Using Commercial Enzymes",2019,not established,protein digestibility method,In vivo and in vitro digestibility assessment of an enteral feeding product hydrolysed from local ingredients,low,RD-01,VN-direct,Medium,evidence of digestibility assay capacity; key result from Scite abstract/record read 2026-09-23
