name,vn_name,type,city_province_current,relevant_units,capabilities,relevant_topics,example_outputs,public_contact_url,source_ids,evidence_label,confidence,notes
"Field Crops Research Institute (FCRI), VAAS, incl. Legumes Research and Development Centre",Viện Cây lương thực và Cây thực phẩm; Trung tâm Nghiên cứu và Phát triển Đậu đỗ,institute,Hai Phong (former Hai Duong) for FCRI headquarters; Legume centre location not verified,"Soybean, mung bean, peanut breeding",Varietal development; agronomy. Protein functionality work not found,Legume supply for plant protein,none found in Scite for protein functionality,https://vaas.vn,RD-01,VN-direct,Low,No peer-reviewed protein-ingredient output found. Location and province merger mapping from agent knowledge; verify. VAAS now under Ministry of Agriculture and Environment (MAE)
"Agricultural Genetics Institute (AGI), VAAS",Viện Di truyền Nông nghiệp,institute,Hanoi,Plant molecular biology; duckweed transformation,Duckweed (Spirodela) regeneration and transformation for vaccine antigen,Duckweed as expression host,10.5296/jas.v3i1.6867,https://vaas.vn (parent),RD-01,VN-direct,Low,Attribution probable (author Le Huy Ham). URL not re-verified
Food Industries Research Institute (FIRI),Viện Công nghiệp Thực phẩm,institute,Hanoi,"National Center for Food Analysis and Testing (NACEFA); Industrial Microbiology Center (CIM); Oil, Flavoring and Food Additives Center; Food Biochemistry Center; Pilot-scale Food Production and Technology Transfer Center (FTET); departments of Microbial Biotechnology, Starch, Fermentation, Enzyme and Protein Technology, Food Technology and Nutrition",Microbial culture collection (online repository); pilot-scale production and technology transfer centre; analysis and certification services (accreditation scope not stated on page),"Fermentation, enzymes, yeast, starch, protein technology, food analysis",none retrieved in this Scite search,https://firi.vn,RD-07,VN-direct,High,Under Ministry of Industry and Trade (MOIT); founded 21 July 1967; director PGS.TS. Vu Nguyen Thanh (per website). Pilot equipment sizes not published on homepage
Nong Lam University Ho Chi Minh City,Trường Đại học Nông Lâm TP.HCM,university,Ho Chi Minh City,Faculty of Food Science and Technology; Faculty of Fisheries; Faculty of Animal Science,Not verified in this wave,Food processing; aquafeed; animal nutrition,none confidently attributed,https://hcmuaf.edu.vn,RD-01,VN-direct,Low,Named in brief; Scite affiliation search not run for NLU. Next wave
Can Tho University (CTU),Trường Đại học Cần Thơ,university,Can Tho City (merged 2025 with former Hau Giang and Soc Trang),"College of Aquaculture and Fisheries (7 units incl. Freshwater Aquaculture Technology, Aquaculture Processing Science and Technology); Institute of Food and Biotechnology; College of Agriculture",Fish and shrimp nutrition and digestibility trials; seaweed and Artemia protein trials; duckweed germplasm survey,"Aquafeed alternative proteins (SPC, SBM, brewer's yeast, seaweed, BSF); duckweed; animal feed",10.1111/are.13147; 10.1111/anu.12915; 10.3390/aquacj4040019; 10.1007/s10811-018-1457-7; 10.1016/j.ejar.2022.11.003; 10.22144/ctu.jen.2022.029; 10.1111/anu.12632,https://caf.ctu.edu.vn,RD-01; RD-10; RD-47; RD-48; RD-49; RD-50; RD-51; RD-58,VN-direct,High,"Strongest VN aquafeed-alternative-protein publisher found. Website mentions JICA-funded work and Thai partners. Partners seen in papers: Wageningen, SLU Sweden"
Hue University,Đại học Huế,university,Hue City,University of Agriculture and Forestry; University of Sciences,Not verified,Spirulina on My An mineral water (institution not confirmed); feed,10.15625/2525-2518/55/5/9374 (attribution not confirmed),https://hueuni.edu.vn,RD-01,VN-direct,Low,Next wave: affiliation search
University of Danang - University of Science and Technology,Đại học Đà Nẵng - Trường Đại học Bách khoa,university,Da Nang City (merged 2025 with former Quang Nam),Food technology; chemical engineering,Not verified,Food processing,none found,https://dut.udn.vn,RD-01,VN-direct,Low,No relevant output retrieved
Nha Trang University (NTU),Trường Đại học Nha Trang,university,Khanh Hoa (merged 2025 with former Ninh Thuan); Nha Trang city,Faculty of Food Technology; Institute of Aquaculture,"Fish side-stream protein recovery (pH-shift), protein hydrolysates, marine fish nutrition trials, live-feed microalgae",Aquafeed; fish protein side streams; seaweed biomass,10.3390/foods11111531; 10.3390/foods11244102; 10.1111/anu.13404; 10.1111/anu.12648 (probable),https://ntu.edu.vn,RD-01; RD-46; RD-52; RD-53,VN-direct,Medium,Affiliation confirmed via Scite affiliation filter (183 records). Partners seen: Deakin University (Australia)
Industrial University of Ho Chi Minh City (IUH) - Institute of Biotechnology and Food Technology,Trường Đại học Công nghiệp TP.HCM,university,Ho Chi Minh City,Institute of Biotechnology and Food Technology (name from agent knowledge),Not verified,Food technology training,none found,https://iuh.edu.vn,RD-01,VN-direct,Low,Likely large food technology intake; not quantified
Van Lang University,Trường Đại học Văn Lang,university,Ho Chi Minh City,Faculty of Biotechnology / food technology (from agent knowledge),Not verified,Food technology,none found,https://vlu.edu.vn,RD-01,VN-direct,Low,
VinUniversity,Trường Đại học VinUni,university,Hanoi,College of Health Sciences; engineering,Not verified,No alt-protein output found,none found,https://vinuni.edu.vn,RD-01,VN-direct,Low,Linked to Vingroup ecosystem (VINIF funder; Vinmec)
Vinmec Research Institute of Stem Cell and Gene Technology,Viện Nghiên cứu Tế bào gốc và Công nghệ Gen Vinmec,company R&D,Hanoi,"Stem cell manufacturing and research (Nguyen Thanh Liem, Than Uyen Thi Trang, Hoang Diem Huong and co-authors)",GMP-oriented MSC culture; testing of serum- and xeno-free media; exosome manufacturing media comparison,Serum-free media know-how transferable to cultivated meat,10.1186/s13287-021-02694-y; 10.1089/cell.2021.0050; 10.1371/journal.pone.0313697,https://vinmec.com,RD-01; RD-39; RD-40,VN-direct,Medium,Private hospital group R&D (Vingroup). No food/animal-cell work found
RMIT University Vietnam,Đại học RMIT Việt Nam,university,Ho Chi Minh City; Hanoi,Food technology and nutrition programme (from agent knowledge),Not verified,Food technology training,none found,https://www.rmit.edu.vn,RD-01,VN-direct,Low,Verify programme and intake
Fulbright University Vietnam,Đại học Fulbright Việt Nam,university,Ho Chi Minh City,Liberal arts and sciences,None relevant found,None,none found,https://fulbright.edu.vn,RD-01,VN-direct,Low,
Phenikaa University,Trường Đại học Phenikaa,university,Hanoi,"Biotechnology, pharmacy (from agent knowledge)",Not verified,None found,none found,https://phenikaa-uni.edu.vn,RD-01,VN-direct,Low,
Ho Chi Minh City Biotechnology Center,Trung tâm Công nghệ Sinh học TP.HCM,centre,Ho Chi Minh City,"Microbial, plant, animal biotechnology departments (from agent knowledge)",Claimed pilot-scale fermentation and incubation services; NOT verified,Fermentation scale-up services,none found,https://hcmbiotech.com.vn,RD-01,VN-direct,Low,Could be a public pilot-fermentation partner; verify equipment list by call
Pasteur Institutes (Ho Chi Minh City; Nha Trang),Viện Pasteur TP.HCM; Viện Pasteur Nha Trang,institute,Ho Chi Minh City; Khanh Hoa,Virology and cell culture laboratories (from agent knowledge),Mammalian cell culture for virology; biosafety labs. Not verified for food use,Cell culture infrastructure,none found,not verified,RD-01,VN-direct,Low,Under Ministry of Health
National Institute for Food Control (NIFC),Viện Kiểm nghiệm An toàn Vệ sinh Thực phẩm Quốc gia,institute,Hanoi,Reference food testing laboratory; publishes Vietnam Journal of Food Control,"Mycotoxin, contaminant and nutritional analysis (e.g. aflatoxin LOD 0.74 ug/kg reported in its journal)",Food safety dossiers for novel foods,10.47866/2615-9252/vjfc.4588 (published in NIFC journal),https://nifc.gov.vn,RD-01; RD-61,VN-direct,Medium,Under Ministry of Health. Accreditation scope not read
Research Institute for Aquaculture No.1 (RIA1),Viện Nghiên cứu Nuôi trồng Thủy sản I,institute,Bac Ninh (merged 2025 with former Bac Giang),Freshwater aquaculture; nutrition (from agent knowledge),Not verified,Aquafeed,none found in Scite search,https://ria1.org,RD-01,VN-direct,Low,Under MAE. Affiliation-specific search not run
Research Institute for Aquaculture No.2 (RIA2),Viện Nghiên cứu Nuôi trồng Thủy sản II,institute,Ho Chi Minh City,Pangasius and shrimp research (from agent knowledge),Not verified,Aquafeed for pangasius,none found in Scite search,https://ria2.org.vn,RD-01,VN-direct,Low,Under MAE. Gap: no RIA2 aquafeed-replacement paper surfaced; likely publishes in Vietnamese journals not indexed
Research Institute for Aquaculture No.3 (RIA3),Viện Nghiên cứu Nuôi trồng Thủy sản III,institute,Khanh Hoa (Nha Trang),Marine aquaculture and shrimp (from agent knowledge),Not verified,Shrimp feed,none found in Scite search,not verified,RD-01,VN-direct,Low,Under MAE
