driver,indicator,value,unit,horizon_year,scenario_or_source_model,foresight_type,source_ids,evidence_label,confidence,notes
demography,Urban share of population,45.2,%,2045,"UN World Urbanization Prospects (national definitions), via OWID",projection,GEO-32,VN-direct,Medium,Our calculation from urban and rural counts; totals match WPP 2024. GSO 2025 = 38.6% (MI-084). Definition may change after 2025 administrative reform.
demography,Urban share of population,46.5,%,2050,"UN World Urbanization Prospects (national definitions), via OWID",projection,GEO-32,VN-direct,Medium,Our calculation from urban and rural counts; totals match WPP 2024. GSO 2025 = 38.6% (MI-084). Definition may change after 2025 administrative reform.
demography,Rural population,62.1,million,2025,UN World Urbanization Prospects via OWID,projection,GEO-32,VN-direct,Medium,Rural population declines slowly; Vietnam remains majority rural on national definitions to 2050.
demography,Rural population,62.0,million,2030,UN World Urbanization Prospects via OWID,projection,GEO-32,VN-direct,Medium,Rural population declines slowly; Vietnam remains majority rural on national definitions to 2050.
demography,Rural population,61.1,million,2040,UN World Urbanization Prospects via OWID,projection,GEO-32,VN-direct,Medium,Rural population declines slowly; Vietnam remains majority rural on national definitions to 2050.
demography,Rural population,58.8,million,2050,UN World Urbanization Prospects via OWID,projection,GEO-32,VN-direct,Medium,Rural population declines slowly; Vietnam remains majority rural on national definitions to 2050.
income,"Real GDP growth target, average 2026 to 2030",10 or more,% a year,2030,14th Party Congress resolution (official target),projection,GEO-33,VN-direct,High,"Official target, not a model projection."
income,GDP per capita target,"about 8,500",USD (current),2030,14th Party Congress resolution (official target),projection,GEO-33,VN-direct,High,Nominal USD; includes price and exchange-rate effects.
income,"Real GDP growth assumption, 2031 to 2050",about 7.5,% a year,2031 to 2050,"Revised PDP8, Decision 768/QD-TTg (planning assumption)",projection,GEO-26; FTG-15,VN-direct,High,Planning assumption for power demand; 10% a year assumed for 2026 to 2030.
income,"Real GDP growth, average 2026 to 2035",5.7,% a year,2026 to 2035,USDA Agricultural Projections to 2035 (Feb 2026),projection,QNT-02,VN-direct,Medium,Read by QNT; used as QNT base path.
income,Per-capita GDP growth needed for high income by 2045,about 6,% a year,2025 to 2045,"World Bank, Viet Nam 2045: Trading Up (Nov 2024)",projection,GEO-34; GEO-35,VN-direct,High,'More than tripling' current income.
income,"Real GDP per capita, illustrative",7900,"USD (constant 2025, rounded)",2030,"Official-type path (10% GDP growth to 2030, 7.5% after)",estimate,GEO-33; GEO-26; QNT-02; MI-081 (edition 1.0),VN-direct,Low,"Our arithmetic from USD 5,026 in 2025 and UN WPP 2024 population. Not a forecast; no exchange-rate effect."
income,"Real GDP per capita, illustrative",15600,"USD (constant 2025, rounded)",2040,"Official-type path (10% GDP growth to 2030, 7.5% after)",estimate,GEO-33; GEO-26; QNT-02; MI-081 (edition 1.0),VN-direct,Low,"Our arithmetic from USD 5,026 in 2025 and UN WPP 2024 population. Not a forecast; no exchange-rate effect."
income,"Real GDP per capita, illustrative",31800,"USD (constant 2025, rounded)",2050,"Official-type path (10% GDP growth to 2030, 7.5% after)",estimate,GEO-33; GEO-26; QNT-02; MI-081 (edition 1.0),VN-direct,Low,"Our arithmetic from USD 5,026 in 2025 and UN WPP 2024 population. Not a forecast; no exchange-rate effect."
income,"Real GDP per capita, illustrative",6500,"USD (constant 2025, rounded)",2030,"USDA-type path (5.7% to 2035, 4.5% after)",estimate,GEO-33; GEO-26; QNT-02; MI-081 (edition 1.0),VN-direct,Low,"Our arithmetic from USD 5,026 in 2025 and UN WPP 2024 population. Not a forecast; no exchange-rate effect."
income,"Real GDP per capita, illustrative",10200,"USD (constant 2025, rounded)",2040,"USDA-type path (5.7% to 2035, 4.5% after)",estimate,GEO-33; GEO-26; QNT-02; MI-081 (edition 1.0),VN-direct,Low,"Our arithmetic from USD 5,026 in 2025 and UN WPP 2024 population. Not a forecast; no exchange-rate effect."
income,"Real GDP per capita, illustrative",15600,"USD (constant 2025, rounded)",2050,"USDA-type path (5.7% to 2035, 4.5% after)",estimate,GEO-33; GEO-26; QNT-02; MI-081 (edition 1.0),VN-direct,Low,"Our arithmetic from USD 5,026 in 2025 and UN WPP 2024 population. Not a forecast; no exchange-rate effect."
income,"Real GDP per capita, illustrative",6300,"USD (constant 2025, rounded)",2030,"Slow path (5%, then 4% to 2040, then 3%)",estimate,GEO-33; GEO-26; QNT-02; MI-081 (edition 1.0),VN-direct,Low,"Our arithmetic from USD 5,026 in 2025 and UN WPP 2024 population. Not a forecast; no exchange-rate effect."
income,"Real GDP per capita, illustrative",8900,"USD (constant 2025, rounded)",2040,"Slow path (5%, then 4% to 2040, then 3%)",estimate,GEO-33; GEO-26; QNT-02; MI-081 (edition 1.0),VN-direct,Low,"Our arithmetic from USD 5,026 in 2025 and UN WPP 2024 population. Not a forecast; no exchange-rate effect."
income,"Real GDP per capita, illustrative",11800,"USD (constant 2025, rounded)",2050,"Slow path (5%, then 4% to 2040, then 3%)",estimate,GEO-33; GEO-26; QNT-02; MI-081 (edition 1.0),VN-direct,Low,"Our arithmetic from USD 5,026 in 2025 and UN WPP 2024 population. Not a forecast; no exchange-rate effect."
trade,"US tariff on products of Vietnam (Section 301, forced-labour import ban investigation)",12.5,% ad valorem,2026 (from 24 Jul),"USTR notice, Federal Register 2026-15181",trend,GEO-04,VN-direct,High,Economies with forced-labour import bans or trade-agreement commitments get 10%. Replaced 10% Section 122 surcharge (24 Feb to 24 Jul 2026) and 20% IEEPA rate (Aug 2025 to Feb 2026).
trade,Vietnamese MOUs to buy US farm commodities,over 2.9,USD billion,2025 to 2026,"US-Vietnam joint statement, 26 Oct 2025",signal,GEO-02,VN-direct,High,"20 MOUs; products not named. Politically anchored share of US soy, maize, DDGS, wheat."
trade,China commitment to buy US soybeans,at least 25,Mt a year,2026 to 2028,"US White House fact sheet, 1 Nov 2025",projection,GEO-06,general,High,Plus 12 Mt in Nov to Dec 2025. Managed trade; compliance not verified.
trade,China soybean imports,111.8,Mt,2025,OECD-FAO Agricultural Outlook 2026-2035 baseline,projection,GEO-37,general,Medium,Read from OECD SDMX API. Minus 12% 2025 to 2035; Chinese output 20.9 to 30.7 Mt.
trade,China soybean imports,98.4,Mt,2030,OECD-FAO Agricultural Outlook 2026-2035 baseline,projection,GEO-37,general,Medium,Read from OECD SDMX API. Minus 12% 2025 to 2035; Chinese output 20.9 to 30.7 Mt.
trade,China soybean imports,98.3,Mt,2035,OECD-FAO Agricultural Outlook 2026-2035 baseline,projection,GEO-37,general,Medium,Read from OECD SDMX API. Minus 12% 2025 to 2035; Chinese output 20.9 to 30.7 Mt.
trade,Brazil soybean exports,108.5,Mt,2025,OECD-FAO Agricultural Outlook 2026-2035 baseline,projection,GEO-37,general,Medium,Flat; production 177.7 Mt (2025) to 185.9 Mt (2035).
trade,Brazil soybean exports,106.1,Mt,2030,OECD-FAO Agricultural Outlook 2026-2035 baseline,projection,GEO-37,general,Medium,Flat; production 177.7 Mt (2025) to 185.9 Mt (2035).
trade,Brazil soybean exports,107.2,Mt,2035,OECD-FAO Agricultural Outlook 2026-2035 baseline,projection,GEO-37,general,Medium,Flat; production 177.7 Mt (2025) to 185.9 Mt (2035).
trade,Argentina protein-meal exports,30.5,Mt,2025,OECD-FAO Agricultural Outlook 2026-2035 baseline,projection,GEO-37,general,Medium,Argentina is Vietnam's main soybean-meal origin.
trade,Argentina protein-meal exports,32.8,Mt,2030,OECD-FAO Agricultural Outlook 2026-2035 baseline,projection,GEO-37,general,Medium,Argentina is Vietnam's main soybean-meal origin.
trade,Argentina protein-meal exports,35.6,Mt,2035,OECD-FAO Agricultural Outlook 2026-2035 baseline,projection,GEO-37,general,Medium,Argentina is Vietnam's main soybean-meal origin.
trade,Brazil maize exports,43.8,Mt,2025,OECD-FAO Agricultural Outlook 2026-2035 baseline,projection,GEO-37,general,Medium,Brazil supplied 34.8% of Vietnam's maize imports in 2025 (MAC-08).
trade,Brazil maize exports,48.5,Mt,2030,OECD-FAO Agricultural Outlook 2026-2035 baseline,projection,GEO-37,general,Medium,Brazil supplied 34.8% of Vietnam's maize imports in 2025 (MAC-08).
trade,Brazil maize exports,57.2,Mt,2035,OECD-FAO Agricultural Outlook 2026-2035 baseline,projection,GEO-37,general,Medium,Brazil supplied 34.8% of Vietnam's maize imports in 2025 (MAC-08).
trade,Argentina maize exports,33.3,Mt,2030,OECD-FAO Agricultural Outlook 2026-2035 baseline,projection,GEO-37,general,Medium,35.1 Mt in 2025. Argentina supplied 46.5% of Vietnam's maize imports in 2025.
trade,"Argentina export duty, soybeans",24,%,2026,Decree 423/2026 (official schedule),projection,GEO-38,general,Medium,Soybean meal and oil: 22.5% to 19.5% to 14%. Maize 8.5% to 5.5% by Dec 2028.
trade,"Argentina export duty, soybeans",21,%,Dec 2027,Decree 423/2026 (official schedule),projection,GEO-38,general,Medium,Soybean meal and oil: 22.5% to 19.5% to 14%. Maize 8.5% to 5.5% by Dec 2028.
trade,"Argentina export duty, soybeans",15,%,Dec 2028,Decree 423/2026 (official schedule),projection,GEO-38,general,Medium,Soybean meal and oil: 22.5% to 19.5% to 14%. Maize 8.5% to 5.5% by Dec 2028.
trade,China target share of soybean meal in feed,10,%,2030,MARA three-year action plan (2023),projection,GEO-10; GEO-11,general,Medium,2025 target below 13% missed (13.4% reported); USDA and industry estimate about 16% in 2024.
trade,China grain production capacity target,above 725 (1.45 trillion jin),Mt,2030,15th Five-Year Plan (binding target),projection,GEO-12,general,Low,Read via encyclopaedia summary; primary text not read.
trade,"EUDR application date, large and medium operators",30 Dec 2026,date,2026,EU Regulation 2023/1115 as amended Dec 2025,projection,GEO-07; GEO-08,general,High,Micro and small: 30 Jun 2027. Does not cover meat or fish from soy-fed animals.
trade,CBAM: sectors covered,"cement, iron and steel, aluminium, fertilisers, electricity, hydrogen",list,2026,EU CBAM Regulation; Council general approach 12 Jun 2026,trend,GEO-09,general,High,Downstream extension about 180 to 457 metal-intensive goods under negotiation; annual review from 2028. No agriculture or food.
trade,Share of traded grain and fertiliser passing at least one maritime chokepoint,54,%,2015 (vs 43% in 2000),Chatham House (Bailey and Wellesley 2017),trend,GEO-40,general,Medium,Over a quarter of global soybean exports pass the Strait of Malacca.
disease,"Share of ASF outbreaks caused by recombinant genotype I/II virus, northern and central Vietnam",14.1 to 42.2,%,2023 to 2024,Molecular surveillance (peer-reviewed),trend,GEO-17,VN-direct,Medium,Abstract read. Commercial genotype II vaccines do not fully protect (GEO-18).
disease,ASF outbreaks reported,1669,outbreaks,2024,Department of Animal Health data in peer-reviewed review,trend,GEO-15,VN-direct,Medium,"952 (2023), 1,229 (2022), 3,029 (2021), 1,569 (2020). ASF returned strongly from Q3 2025 (1.2 to 1.3 M pigs culled, edition 1.0)."
disease,Prophylactic antibiotic use in livestock,banned,status,2026 (from 1 Jan),Decree 13/2020/ND-CP timeline,trend,GEO-24,VN-direct,Medium,Growth promoters banned from 1 Jan 2018. Treatment only on diagnosis.
disease,Global antimicrobial use in food animals,107472,t,2030,Mulchandani et al. 2023 model (current trends),projection,GEO-25,general,High,"+8.0% from 99,502 t in 2020; 67% of hotspots in Asia."
disease,Annual growth in high-consequence zoonotic spillover events,4.98 (CI 3.22 to 6.76),% a year,1963 to 2019 (trend),Meadows et al. 2023,trend,GEO-43,general,High,Deaths +8.7% a year. Excludes COVID-19.
disease,Yearly probability of extreme epidemics,up to 3 times current,multiplier,coming decades,Marani et al. 2021,projection,GEO-44,general,Medium,Published estimate based on rising zoonotic emergence rates.
energy,LNG-fired power capacity,22524,MW,2030,"Revised PDP8, Decision 768/QD-TTg",projection,GEO-26,VN-direct,High,"9.5 to 12.3% of capacity. Domestic gas 10,861 to 14,930 MW."
energy,Coal-fired power capacity,31055,MW,2030,"Revised PDP8, Decision 768/QD-TTg",projection,GEO-26,VN-direct,High,"13.1 to 16.9% of capacity. 25,798 MW converted to biomass or ammonia by 2050."
energy,LNG power co-firing hydrogen,"18,200 to 26,123",MW,2050,"Revised PDP8, Decision 768/QD-TTg",projection,GEO-26; FTG-15,VN-direct,High,Continued gas exposure to 2050.
energy,"Electricity imports capacity (Laos, China)","9,360 to 12,100",MW,2030,"Revised PDP8, Decision 768/QD-TTg",projection,GEO-26,VN-direct,High,4.0 to 5.1% of capacity.
energy,"Nuclear: Ninh Thuan 1 (2 x VVER-1200, Russia)",2400,MW,2030 to 2035,Intergovernmental agreement 23 Mar 2026; PDP8 window 2030 to 2035,signal,GEO-27; GEO-28,VN-direct,Medium,PM target end-2030; WNA 'by 2035'. Ninh Thuan 2 partner after Japan's Jan 2026 exit to be chosen Q3 2026. Khanh Hoa (former Ninh Thuan).
energy,Generation mix: coal share,45,%,2023,World Nuclear Association country profile,trend,GEO-27,VN-direct,Medium,"274 TWh total; hydro 29%, solar 10%, gas 10%, wind 4%."
energy,Average retail electricity price,2204.07,VND per kWh excl. VAT,2025,MOIT Decision 1279/QD-BCT (from 10 May 2025),trend,GEO-30,VN-direct,High,"+4.8%. EVN: 75% of output from costly coal, gas and LNG; generation 83% of cost."
energy,"LNG import capacity, Thi Vai terminal phase 1",1,Mt a year,2026,Global Energy Monitor,trend,GEO-29,VN-direct,Medium,First cargo July 2023; phase 2 (2 Mt a year) expected 2029.
workforce,"Rural workers in agriculture, forestry and fishery",16.5,million,2025,2025 Rural and Agricultural Census (official results),trend,GEO-36,VN-direct,High,Down 2.84 M (14.66%) since 2016; 51.93% of rural workers.
workforce,"Households with agriculture, forestry or fishery as main activity",8.01,million,2025,2025 Rural and Agricultural Census,trend,GEO-36,VN-direct,High,50.57% of 15.84 M rural households (53.66% in 2016).
workforce,Share of households raising 50 or more pigs,4.16,%,2025,2025 Rural and Agricultural Census,trend,GEO-36,VN-direct,High,2.55% in 2016. Chickens 100 or more: 8.20% (4.61%). Aquaculture 5 ha or more: 1.27% (0.74%).
workforce,Small household farms' share of pig output,35 to 40,%,2023 to 2024,Industry and ministry data in peer-reviewed review and press,trend,GEO-15; GEO-47,VN-direct,Medium,"Once about 80%. Household livestock share falling 5 to 7% a year (GEO-47). 2022 to 2023 market share: FDI firms 43%, households 38%, domestic firms 19%."
workforce,"Rural agricultural, forestry and fishery workers, trend extrapolation",13.8,million,2035,Our extrapolation of 2016 to 2025 decline (minus 1.75% a year),estimate,GEO-36,VN-direct,Low,"Mechanical trend, not a forecast; ignores urban agricultural workers and reclassification."
workforce,"Rural agricultural, forestry and fishery workers, trend extrapolation",10.6,million,2050,Our extrapolation of 2016 to 2025 decline (minus 1.75% a year),estimate,GEO-36,VN-direct,Low,"Mechanical trend, not a forecast; ignores urban agricultural workers and reclassification."
