record_id,market,category,metric,value,unit,year,trend,data_provider,source_ids,evidence_label,confidence,demand_evidence_type,notes
DM-16,Germany,Plant-based meat,Retail sales value,750.8,EUR million,2025,Value +0.2%; volume -1.7%,Circana via GFI Europe,EXP-05,general,High,revealed,31% of households bought plant-based meat in 2025.
DM-17,Germany,Plant-based seafood,Retail sales value,14.1,EUR million,2025,Value -22.0% (2024 to 2025) and -41.4% (2023 to 2025); volume -29.4%,Circana via GFI Europe,EXP-05,general,High,revealed,GFI Europe notes early research that the category does not meet taste and texture expectations.
DM-18,Germany and Netherlands,"Tofu, tempeh and seitan",Volume growth,almost 30,%,2025,Growing,Circana via GFI Europe,EXP-05,general,High,revealed,"Not counted in GFI plant-based totals. Dutch consumers still bought 3.6 times more plant-based meat than tofu, tempeh and seitan combined."
DM-19,United Kingdom,All plant-based (excluding discounters),Retail sales value,848 (EUR 993.4 million),GBP million,2025,Value -1.2% (in EUR); plant-based meat volume -9.4%,Circana via GFI Europe,EXP-05,general,High,revealed,"Discounters not covered, so decline may be overstated."
DM-20,France,Plant-based meat,Volume growth,+16.8,%,2025,Growing as prices fell 2.8%,Circana via GFI Europe,EXP-05,general,High,revealed,Plant-based meat 25% dearer per kg than animal meat; plant milk 68% dearer per litre than dairy.
DM-21,Spain,Plant-based meat,Volume growth,-7.0,%,2025,Falling; plant-based meat more than twice the price of animal meat,Circana via GFI Europe,EXP-05,general,High,revealed,Plant milk private label only 7% dearer than private-label dairy milk.
DM-22,Netherlands,Plant-based meat (branded vs private label),Volume growth,branded -15.8; private label -2,%,2025,Private label resilient,Circana via GFI Europe,EXP-05,general,High,revealed,Indicates price-led private-label demand.
DM-23,Japan,Plant-based meat alternatives,Market size,18 (2022); 29 forecast (2025),USD million,2022; 2025,Growing from small base; less than 0.5% of meat product market,Industry sources via USDA FAS,EXP-07; XBA-17,general,Medium,revealed,"USD 1 = JPY 140 (USDA). Version 0.4: Otsuka Foods ended production of its three listed Zero Meat products between January and July 2025 (XBA-17): small finished market, now shrinking at the top."
DM-24,Japan,Plant-derived protein ingredients (incl. isolated soy protein),Imports,"35,059 t; 149",USD million,2022,Volume up 66% since 2010,Trade Data Monitor via USDA FAS,EXP-07; XBA-18; XBA-28,general,Medium,revealed,"Japan's isolated soy protein production 36,703 t (2022). Version 0.4: Japan's imports of textured protein from Vietnam were USD 0.14 to 0.25 million in 2024 to 2025 against USD 11.5 to 12.8 million from China, despite a 6.6 point edge over China; Fuji Oil, Japan's leading soy protein maker, has added textured soy capacity in Chiba (XBA-18). Ingredient route downgraded to specified fungal or fermented proteins with a named buyer."
DM-25,Korea,Alternative meat,Market size,21.2 (USD 16.9 million),KRW billion,2022,Up 28.3%; forecast KRW 32.1bn in 2025,Euromonitor via Food Journal,EXP-09,general,Medium,revealed,2021: KRW 16.5bn (USD 13.1m).
DM-26,Korea,Alternative meat,Market size,25.2,KRW billion,2023,Forecast KRW 29.5bn in 2025 (about +17%),aT via Maeil Ilbo,EXP-08,general,Medium,revealed,Differs from Euromonitor series; see disagreements.
DM-27,Thailand,Alternative protein (exports),Export value,384,THB million,January 2025,Described as growing,Thai Future Food Trade Association via The Nation,EXP-12,VN-adjacent,Low,revealed,"Future food exports went 50% ASEAN, 21% China, 18% US, 10% EU."
DM-28,Thailand,"Future food (functional, medical, alternative protein, organic)",Export value,144,THB billion,2023,Target THB 500bn by 2027,NXPO via The Nation,EXP-13,VN-adjacent,Medium,revealed,89% functional foods.
DM-29,Southeast Asia (six countries incl. Vietnam),Plant-based meat,Share wanting to try or eat more,42,%,2023,n/a,"GFI APAC consumer study, about 6,000 respondents",ECO-23,VN-adjacent,Medium,stated,Stated intention; overstates behaviour. Vietnam and Indonesia were the most common locations of the 'Curious' segment (34% of respondents).
DM-30,"China, Singapore, Australia, Gulf states",Plant-based meat and dairy alternatives,Retail sales,not found,n/a,2023 to 2026,unknown,n/a,,general,Low,revealed,We found no retrievable revealed sales data; Food Frontier (Australia) blocked. Logged as open question.
DM-31,Netherlands,Plant share of protein sales (Lidl Nederland),Share of protein sales,43.1,%,2024,Up 0.4 points from 42.7% (2023); target 60% by 2030 needs about 2.8 points a year,Lidl Nederland (Eiweet method),XBA-02,general,High,revealed,"Version 0.4: added from the export buyer line. Retailer targets are met with pulses, price parity and European-made hybrids, not Asian imports."
DM-32,Netherlands,"Plant share of protein sales (six chains: Albert Heijn, Jumbo, Lidl, Aldi, Dirk, Plus)",Target,60,% (target),2030,All six target 50% in 2025 and 60% in 2030; shares 'changed little since 2023',Protein Tracker (GPA and ProVeg),XBA-13; XBA-14,general,Medium,revealed,Version 0.4: added. Albert Heijn launched 15 hybrid meat and dairy products at price parity in 2025 (XBA-01).
DM-33,"Netherlands, Belgium, Central and South-East Europe",Plant-based share of protein sales (Ahold Delhaize European brands),Share of protein sales,45,%,2025,Target 50% by 2030 (about 1 point a year needed),Ahold Delhaize,XBA-01,general,High,revealed,Version 0.4: added.
DM-34,Germany,Plant-based food share of total volume (Rewe),Share of food volume,54,%,2024,Target 60% by 2035; baseline year,WWF method via retailer,XBA-12; XBA-13,general,Medium,revealed,"Version 0.4: added. Lidl Germany plant share of protein-rich foods 11% (2024), target 20% by 2030 (XBA-12)."
DM-35,United Kingdom,Plant share of protein sales (Sainsbury's),Share of protein sales,13,%,2025/26,"Flat: 14% (2022/23), then 13% in each year to 2025/26; no split target",Sainsbury's (WWF basket),XBA-08,general,High,revealed,Version 0.4: added. Tesco 9% of protein-rich foods (2024/25) with only a sales-growth goal (XBA-12); Lidl GB is the exception with 25% of protein tonnage plant-based by 2030 (XBA-05).
DM-36,Europe (Carrefour group),Sales of plant-based alternatives (excluding legumes),Retail sales,664,EUR million,2025,Up 6.9% from EUR 621 million (2024); target EUR 1 billion by 2030 needs about 8.5% a year,Carrefour,XBA-11,general,High,revealed,Version 0.4: added. No protein split target.
DM-37,"US, EU27, Japan, UK, Korea, Australia",Stuffed pasta (HS 1902.20) imported from Vietnam,Imports from Vietnam (partner-reported),US 48.1; EU27 32.4; Japan 15.5; UK 14.8; Korea 13.3; Australia 10.6,USD million,2025,"Vietnam out-supplies China and Thailand in the UK, US and Korea",UN Comtrade mirror data,XBA-28,VN-direct,High,revealed,Version 0.4: added. The real export base for plant-protein wrapped foods (EB-30).
DM-38,"EU27, Japan, Korea",Textured protein and concentrates (HS 2106.10) imported from Vietnam,Imports from Vietnam against China (partner-reported),EU27 0.01 (3 t) against 42.6 from China; Japan and Korea under 0.35 each against 11.5 to 32.0 from China,USD million,2024 to 2025,Duty-free access unused,UN Comtrade mirror data,XBA-28,VN-direct,High,revealed,Version 0.4: added. Clean negative on export demand for Vietnamese textured soy.
