move_id,class,move,what_it_involves,lead_actors,start_by,cost_scale,pays_off_in,trigger_or_signpost,related_plays,evidence_basis,source_ids,foresight_type,confidence,score_A,score_B,score_C,score_D
RM-11,option,Small permanent protein-innovation fund,"USD 5 to 15 M a year for protein and feed innovation, reviewed each five-year plan",MOST; MAE; MOF,2027,Medium,A; C (useful in all),None needed,T2; T6; T9; T10,"Peer budgets: Denmark about USD 12 M, Germany about EUR 6 M, Canada about USD 22 M a year",VIS-01; VIS-04; VIS-24; VIS-06,estimate,Medium,2,1,2,1
RM-12,option,Concessional finance window for first plants,"DFI co-finance and guarantees with a feed-mill offtake, on the Entobel model; ready to open when a signpost trips",MOF; State Bank; DFIs,2028 (ready),Medium,C; D,SP-01 or SP-02,T3; T2,Cutting the capital charge from 12% to 9% does as much as the cost learning expected by 2030,RGN-01; ECO-01,estimate,Low,0,0,2,2
RM-13,option,Join regional approval and statistics networks,Take part in any ASEAN reliance work and in the EU-style balance-sheet method,MOH; MAE; MOIT,2027,Low,A; C,SP-12,T7; P1,Reliance is how smaller regulators keep pace,REG-63; VIS-15,estimate,Medium,2,1,2,1
RM-14,option,Seed research on cultivated seafood cells and gas fermentation,Small programmes with foreign partners on Vietnamese species and on gas-fermentation strains,MOST; VAST; universities,2028,Low,A; C,None needed,T8,Vietnam has 2 of 494 gas-fermentation papers and 1 cultivated-meat paper,FTG-14; HSC-01,estimate,Medium,2,0,2,0
RM-15,option,Clear rules for second-hand fermentation equipment,Customs and tax treatment and a register of available used tanks for 2027 to 2030,MOF; MOIT,2027,Low,C (A and D partly),Distressed-asset sales abroad,T3; T5,"Meati assets sold for USD 75,000 against a USD 15 to 20 M valuation",FTB-38,estimate,Low,1,0,2,1
RM-16,bet,Bulk microbial feed-protein capacity,Plants beyond about 1% of high-protein feed protein,Investors; feed mills; DFIs,On signpost,High,C (D partly),SP-01 sustained and pilot cost within 1.2 times fishmeal-protein parity,T3,No national feed system has reached 1% novel protein,VIS-18; VIS-20,estimate,Low,0,0,2,1
RM-17,bet,Power-to-protein demonstration on the Mekong shrimp coast,A demonstration plant co-located with a hydrogen project and aquafeed buyers,Investors; hydrogen developers; MOIT,2032 to 2035 at the earliest,High,C (A partly),Delivered green hydrogen below USD 2 per kg; firm renewable power below USD 45 per MWh,none (new),Five conditions in chapter 21; no Vietnamese research base yet,FTG-01; HUB-05,estimate,Low,1,0,2,0
RM-18,bet,Contract precision-fermentation plant for export,A GMP plant making high-value proteins for regional brands,Investors; foreign partners,2030 to 2035,High,A (C partly),"New-food route, SP-12 or SP-13, and an anchor customer",T7,Works today only for high-value proteins,FTB-18; FTB-41,estimate,Low,2,0,1,0
RM-19,bet,Cellulosic sugar from rice straw,A first plant supplying sugar to fermenters,Investors; MOIT; provinces,On signpost,High,C (A partly),An Asian straw plant above 80% of design capacity for a full year,T4,Every Western commercial plant has shut; Panipat reached 62%,NGF-10; NGF-11; NGF-33,estimate,Low,1,0,2,0
RM-20,hedge,Diversified feed-protein sourcing and stocks,"Multi-origin contracts, formulation flexibility and working stocks of soybean meal and fishmeal sized to recent shocks",Feed mills; integrators; MOIT,2027,Medium,C; D (protects A and B against later shocks),SP-05,none (new),The 2026 Middle East conflict helped raise feed prices 10 to 14% between January and April 2026,MAC-24; COST-33; GEO-40,estimate,Low,1,1,2,2
RM-21,hedge,Import monitoring and equal standards for protein imports,Track volumes and unit values of microbial and fermented protein imports and apply the same feed-safety and quality rules to imports and domestic products,MOF (customs); MAE,2027,Low,B; D,SP-10; SP-16,P4,No baseline series for these imports exists,,estimate,Low,1,2,1,2
