record_id,product,hog_scenario,live_hog_vnd_per_kg,lean_trim_vnd_per_kg,extender,extender_dry_usd_per_kg,extender_protein_share_dry,hydration_kg_per_kg_dry,extender_hydrated_vnd_per_kg,replacement_share_of_lean,base_raw_material_cost_vnd_per_kg_product,extended_raw_material_cost_vnd_per_kg_product,saving_vnd_per_kg_product,saving_pct_of_raw_material_cost,saving_usd_per_t_product,saving_vnd_million_per_t_product,protein_g_per_100g_product,breakeven_extender_dry_usd_per_kg,breakeven_multiple_of_extender_price,source_ids,evidence_label,confidence,demand_evidence_type,notes
HSG-011,cha lua or gio lua (HCMUT best-liked recipe C1),"low (2019 annual, FAOSTAT)",46076,82937,fungal biomass at soy isolate protein parity,1.0,0.45,2.5,10400,0.2,66022,56624,9398,14.2,361,9.4,12.2,7.97,8.0,BUY-02 (ch16.2 break-even); HXE-01; DIE-25; AIB-15; HXE-10,VN-direct,Low,inferred,"Our calculation. Lean trimming = 1.8 x live hog (assumption bracketed by 1.38 carcass basis and 2.26 retail); extender hydrated to 18% protein and swapped 1:1 for lean; raw materials only, no processing, packaging or compensation ingredients."
HSG-012,cha lua or gio lua (HCMUT best-liked recipe C1),"low (2019 annual, FAOSTAT)",46076,82937,fungal biomass at soy isolate protein parity,1.0,0.45,2.5,10400,0.3,66022,51925,14097,21.4,542,14.1,12.1,7.97,8.0,BUY-02 (ch16.2 break-even); HXE-01; DIE-25; AIB-15; HXE-10,VN-direct,Low,inferred,"Our calculation. Lean trimming = 1.8 x live hog (assumption bracketed by 1.38 carcass basis and 2.26 retail); extender hydrated to 18% protein and swapped 1:1 for lean; raw materials only, no processing, packaging or compensation ingredients."
HSG-013,cha lua or gio lua (HCMUT best-liked recipe C1),"low (2019 annual, FAOSTAT)",46076,82937,fungal biomass at egg white parity,3.3,0.45,2.5,34320,0.1,66022,62873,3150,4.8,121,3.1,12.2,7.97,2.4,BUY-02 (ch16.2 break-even); HXE-01; DIE-25; AIB-15; HXE-10,VN-direct,Low,inferred,"Our calculation. Lean trimming = 1.8 x live hog (assumption bracketed by 1.38 carcass basis and 2.26 retail); extender hydrated to 18% protein and swapped 1:1 for lean; raw materials only, no processing, packaging or compensation ingredients."
HSG-014,cha lua or gio lua (HCMUT best-liked recipe C1),"low (2019 annual, FAOSTAT)",46076,82937,fungal biomass at egg white parity,3.3,0.45,2.5,34320,0.2,66022,59723,6299,9.5,242,6.3,12.2,7.97,2.4,BUY-02 (ch16.2 break-even); HXE-01; DIE-25; AIB-15; HXE-10,VN-direct,Low,inferred,"Our calculation. Lean trimming = 1.8 x live hog (assumption bracketed by 1.38 carcass basis and 2.26 retail); extender hydrated to 18% protein and swapped 1:1 for lean; raw materials only, no processing, packaging or compensation ingredients."
HSG-015,cha lua or gio lua (HCMUT best-liked recipe C1),"low (2019 annual, FAOSTAT)",46076,82937,fungal biomass at egg white parity,3.3,0.45,2.5,34320,0.3,66022,56574,9449,14.3,363,9.4,12.1,7.97,2.4,BUY-02 (ch16.2 break-even); HXE-01; DIE-25; AIB-15; HXE-10,VN-direct,Low,inferred,"Our calculation. Lean trimming = 1.8 x live hog (assumption bracketed by 1.38 carcass basis and 2.26 retail); extender hydrated to 18% protein and swapped 1:1 for lean; raw materials only, no processing, packaging or compensation ingredients."
HSG-016,cha lua or gio lua (HCMUT best-liked recipe C1),"low (2019 annual, FAOSTAT)",46076,82937,fungal biomass at casein or whey parity,4.25,0.45,2.5,44200,0.1,66022,63513,2509,3.8,97,2.5,12.2,7.97,1.9,BUY-02 (ch16.2 break-even); HXE-01; DIE-25; AIB-15; HXE-10,VN-direct,Low,inferred,"Our calculation. Lean trimming = 1.8 x live hog (assumption bracketed by 1.38 carcass basis and 2.26 retail); extender hydrated to 18% protein and swapped 1:1 for lean; raw materials only, no processing, packaging or compensation ingredients."
HSG-017,cha lua or gio lua (HCMUT best-liked recipe C1),"low (2019 annual, FAOSTAT)",46076,82937,fungal biomass at casein or whey parity,4.25,0.45,2.5,44200,0.2,66022,61003,5019,7.6,193,5.0,12.2,7.97,1.9,BUY-02 (ch16.2 break-even); HXE-01; DIE-25; AIB-15; HXE-10,VN-direct,Low,inferred,"Our calculation. Lean trimming = 1.8 x live hog (assumption bracketed by 1.38 carcass basis and 2.26 retail); extender hydrated to 18% protein and swapped 1:1 for lean; raw materials only, no processing, packaging or compensation ingredients."
HSG-018,cha lua or gio lua (HCMUT best-liked recipe C1),"low (2019 annual, FAOSTAT)",46076,82937,fungal biomass at casein or whey parity,4.25,0.45,2.5,44200,0.3,66022,58494,7528,11.4,290,7.5,12.1,7.97,1.9,BUY-02 (ch16.2 break-even); HXE-01; DIE-25; AIB-15; HXE-10,VN-direct,Low,inferred,"Our calculation. Lean trimming = 1.8 x live hog (assumption bracketed by 1.38 carcass basis and 2.26 retail); extender hydrated to 18% protein and swapped 1:1 for lean; raw materials only, no processing, packaging or compensation ingredients."
HSG-019,cha lua or gio lua (HCMUT best-liked recipe C1),"median (2019 to 2024 annual, FAOSTAT)",58576,105436,domestic textured soy (T1 cost),1.03,0.5,2.78,9641,0.1,83490,77284,6206,7.4,239,6.2,12.2,11.26,10.9,TIC-12; TIC-13; HXE-01; DIE-25; AIB-15; HXE-10,VN-direct,Low,inferred,"Our calculation. Lean trimming = 1.8 x live hog (assumption bracketed by 1.38 carcass basis and 2.26 retail); extender hydrated to 18% protein and swapped 1:1 for lean; raw materials only, no processing, packaging or compensation ingredients."
HSG-020,cha lua or gio lua (HCMUT best-liked recipe C1),"median (2019 to 2024 annual, FAOSTAT)",58576,105436,domestic textured soy (T1 cost),1.03,0.5,2.78,9641,0.2,83490,71078,12412,14.9,477,12.4,12.2,11.26,10.9,TIC-12; TIC-13; HXE-01; DIE-25; AIB-15; HXE-10,VN-direct,Low,inferred,"Our calculation. Lean trimming = 1.8 x live hog (assumption bracketed by 1.38 carcass basis and 2.26 retail); extender hydrated to 18% protein and swapped 1:1 for lean; raw materials only, no processing, packaging or compensation ingredients."
HSG-021,cha lua or gio lua (HCMUT best-liked recipe C1),"median (2019 to 2024 annual, FAOSTAT)",58576,105436,domestic textured soy (T1 cost),1.03,0.5,2.78,9641,0.3,83490,64872,18618,22.3,716,18.6,12.1,11.26,10.9,TIC-12; TIC-13; HXE-01; DIE-25; AIB-15; HXE-10,VN-direct,Low,inferred,"Our calculation. Lean trimming = 1.8 x live hog (assumption bracketed by 1.38 carcass basis and 2.26 retail); extender hydrated to 18% protein and swapped 1:1 for lean; raw materials only, no processing, packaging or compensation ingredients."
HSG-022,cha lua or gio lua (HCMUT best-liked recipe C1),"median (2019 to 2024 annual, FAOSTAT)",58576,105436,"Chinese textured soy, landed 0% duty",1.365,0.5,2.78,12776,0.1,83490,77487,6003,7.2,231,6.0,12.2,11.26,8.3,TIC-12; BUY-02; FTR-32; HXE-01; DIE-25; AIB-15; HXE-10,VN-direct,Low,inferred,"Our calculation. Lean trimming = 1.8 x live hog (assumption bracketed by 1.38 carcass basis and 2.26 retail); extender hydrated to 18% protein and swapped 1:1 for lean; raw materials only, no processing, packaging or compensation ingredients."
HSG-023,cha lua or gio lua (HCMUT best-liked recipe C1),"median (2019 to 2024 annual, FAOSTAT)",58576,105436,"Chinese textured soy, landed 0% duty",1.365,0.5,2.78,12776,0.2,83490,71485,12006,14.4,462,12.0,12.2,11.26,8.3,TIC-12; BUY-02; FTR-32; HXE-01; DIE-25; AIB-15; HXE-10,VN-direct,Low,inferred,"Our calculation. Lean trimming = 1.8 x live hog (assumption bracketed by 1.38 carcass basis and 2.26 retail); extender hydrated to 18% protein and swapped 1:1 for lean; raw materials only, no processing, packaging or compensation ingredients."
HSG-024,cha lua or gio lua (HCMUT best-liked recipe C1),"median (2019 to 2024 annual, FAOSTAT)",58576,105436,"Chinese textured soy, landed 0% duty",1.365,0.5,2.78,12776,0.3,83490,65482,18008,21.6,693,18.0,12.1,11.26,8.3,TIC-12; BUY-02; FTR-32; HXE-01; DIE-25; AIB-15; HXE-10,VN-direct,Low,inferred,"Our calculation. Lean trimming = 1.8 x live hog (assumption bracketed by 1.38 carcass basis and 2.26 retail); extender hydrated to 18% protein and swapped 1:1 for lean; raw materials only, no processing, packaging or compensation ingredients."
HSG-025,cha lua or gio lua (HCMUT best-liked recipe C1),"median (2019 to 2024 annual, FAOSTAT)",58576,105436,"Chinese soy protein isolate, landed",2.22,0.9,5.0,11544,0.1,83490,77407,6083,7.3,234,6.1,12.2,20.28,9.1,BUY-07; FTR-32 (our landing add-on); HXE-01; DIE-25; AIB-15; HXE-10,VN-direct,Low,inferred,"Our calculation. Lean trimming = 1.8 x live hog (assumption bracketed by 1.38 carcass basis and 2.26 retail); extender hydrated to 18% protein and swapped 1:1 for lean; raw materials only, no processing, packaging or compensation ingredients."
HSG-026,cha lua or gio lua (HCMUT best-liked recipe C1),"median (2019 to 2024 annual, FAOSTAT)",58576,105436,"Chinese soy protein isolate, landed",2.22,0.9,5.0,11544,0.2,83490,71325,12165,14.6,468,12.2,12.2,20.28,9.1,BUY-07; FTR-32 (our landing add-on); HXE-01; DIE-25; AIB-15; HXE-10,VN-direct,Low,inferred,"Our calculation. Lean trimming = 1.8 x live hog (assumption bracketed by 1.38 carcass basis and 2.26 retail); extender hydrated to 18% protein and swapped 1:1 for lean; raw materials only, no processing, packaging or compensation ingredients."
HSG-027,cha lua or gio lua (HCMUT best-liked recipe C1),"median (2019 to 2024 annual, FAOSTAT)",58576,105436,"Chinese soy protein isolate, landed",2.22,0.9,5.0,11544,0.3,83490,65242,18248,21.9,702,18.2,12.1,20.28,9.1,BUY-07; FTR-32 (our landing add-on); HXE-01; DIE-25; AIB-15; HXE-10,VN-direct,Low,inferred,"Our calculation. Lean trimming = 1.8 x live hog (assumption bracketed by 1.38 carcass basis and 2.26 retail); extender hydrated to 18% protein and swapped 1:1 for lean; raw materials only, no processing, packaging or compensation ingredients."
HSG-028,cha lua or gio lua (HCMUT best-liked recipe C1),"median (2019 to 2024 annual, FAOSTAT)",58576,105436,fungal biomass at soy isolate protein parity,1.0,0.45,2.5,10400,0.1,83490,77333,6157,7.4,237,6.2,12.2,10.14,10.1,BUY-02 (ch16.2 break-even); HXE-01; DIE-25; AIB-15; HXE-10,VN-direct,Low,inferred,"Our calculation. Lean trimming = 1.8 x live hog (assumption bracketed by 1.38 carcass basis and 2.26 retail); extender hydrated to 18% protein and swapped 1:1 for lean; raw materials only, no processing, packaging or compensation ingredients."
HSG-029,cha lua or gio lua (HCMUT best-liked recipe C1),"median (2019 to 2024 annual, FAOSTAT)",58576,105436,fungal biomass at soy isolate protein parity,1.0,0.45,2.5,10400,0.2,83490,71177,12313,14.7,474,12.3,12.2,10.14,10.1,BUY-02 (ch16.2 break-even); HXE-01; DIE-25; AIB-15; HXE-10,VN-direct,Low,inferred,"Our calculation. Lean trimming = 1.8 x live hog (assumption bracketed by 1.38 carcass basis and 2.26 retail); extender hydrated to 18% protein and swapped 1:1 for lean; raw materials only, no processing, packaging or compensation ingredients."
HSG-030,cha lua or gio lua (HCMUT best-liked recipe C1),"median (2019 to 2024 annual, FAOSTAT)",58576,105436,fungal biomass at soy isolate protein parity,1.0,0.45,2.5,10400,0.3,83490,65020,18470,22.1,710,18.5,12.1,10.14,10.1,BUY-02 (ch16.2 break-even); HXE-01; DIE-25; AIB-15; HXE-10,VN-direct,Low,inferred,"Our calculation. Lean trimming = 1.8 x live hog (assumption bracketed by 1.38 carcass basis and 2.26 retail); extender hydrated to 18% protein and swapped 1:1 for lean; raw materials only, no processing, packaging or compensation ingredients."
HSG-031,cha lua or gio lua (HCMUT best-liked recipe C1),"median (2019 to 2024 annual, FAOSTAT)",58576,105436,fungal biomass at egg white parity,3.3,0.45,2.5,34320,0.1,83490,78883,4607,5.5,177,4.6,12.2,10.14,3.1,BUY-02 (ch16.2 break-even); HXE-01; DIE-25; AIB-15; HXE-10,VN-direct,Low,inferred,"Our calculation. Lean trimming = 1.8 x live hog (assumption bracketed by 1.38 carcass basis and 2.26 retail); extender hydrated to 18% protein and swapped 1:1 for lean; raw materials only, no processing, packaging or compensation ingredients."
HSG-032,cha lua or gio lua (HCMUT best-liked recipe C1),"median (2019 to 2024 annual, FAOSTAT)",58576,105436,fungal biomass at egg white parity,3.3,0.45,2.5,34320,0.2,83490,74276,9214,11.0,354,9.2,12.2,10.14,3.1,BUY-02 (ch16.2 break-even); HXE-01; DIE-25; AIB-15; HXE-10,VN-direct,Low,inferred,"Our calculation. Lean trimming = 1.8 x live hog (assumption bracketed by 1.38 carcass basis and 2.26 retail); extender hydrated to 18% protein and swapped 1:1 for lean; raw materials only, no processing, packaging or compensation ingredients."
HSG-033,cha lua or gio lua (HCMUT best-liked recipe C1),"median (2019 to 2024 annual, FAOSTAT)",58576,105436,fungal biomass at egg white parity,3.3,0.45,2.5,34320,0.3,83490,69669,13821,16.6,532,13.8,12.1,10.14,3.1,BUY-02 (ch16.2 break-even); HXE-01; DIE-25; AIB-15; HXE-10,VN-direct,Low,inferred,"Our calculation. Lean trimming = 1.8 x live hog (assumption bracketed by 1.38 carcass basis and 2.26 retail); extender hydrated to 18% protein and swapped 1:1 for lean; raw materials only, no processing, packaging or compensation ingredients."
HSG-034,cha lua or gio lua (HCMUT best-liked recipe C1),"median (2019 to 2024 annual, FAOSTAT)",58576,105436,fungal biomass at casein or whey parity,4.25,0.45,2.5,44200,0.1,83490,79523,3967,4.8,153,4.0,12.2,10.14,2.4,BUY-02 (ch16.2 break-even); HXE-01; DIE-25; AIB-15; HXE-10,VN-direct,Low,inferred,"Our calculation. Lean trimming = 1.8 x live hog (assumption bracketed by 1.38 carcass basis and 2.26 retail); extender hydrated to 18% protein and swapped 1:1 for lean; raw materials only, no processing, packaging or compensation ingredients."
HSG-035,cha lua or gio lua (HCMUT best-liked recipe C1),"median (2019 to 2024 annual, FAOSTAT)",58576,105436,fungal biomass at casein or whey parity,4.25,0.45,2.5,44200,0.2,83490,75556,7934,9.5,305,7.9,12.2,10.14,2.4,BUY-02 (ch16.2 break-even); HXE-01; DIE-25; AIB-15; HXE-10,VN-direct,Low,inferred,"Our calculation. Lean trimming = 1.8 x live hog (assumption bracketed by 1.38 carcass basis and 2.26 retail); extender hydrated to 18% protein and swapped 1:1 for lean; raw materials only, no processing, packaging or compensation ingredients."
HSG-036,cha lua or gio lua (HCMUT best-liked recipe C1),"median (2019 to 2024 annual, FAOSTAT)",58576,105436,fungal biomass at casein or whey parity,4.25,0.45,2.5,44200,0.3,83490,71589,11901,14.3,458,11.9,12.1,10.14,2.4,BUY-02 (ch16.2 break-even); HXE-01; DIE-25; AIB-15; HXE-10,VN-direct,Low,inferred,"Our calculation. Lean trimming = 1.8 x live hog (assumption bracketed by 1.38 carcass basis and 2.26 retail); extender hydrated to 18% protein and swapped 1:1 for lean; raw materials only, no processing, packaging or compensation ingredients."
HSG-037,cha lua or gio lua (HCMUT best-liked recipe C1),"high (2020 annual, FAOSTAT)",78138,140648,domestic textured soy (T1 cost),1.03,0.5,2.78,9641,0.1,110828,102341,8487,7.7,326,8.5,12.2,15.03,14.6,TIC-12; TIC-13; HXE-01; DIE-25; AIB-15; HXE-10,VN-direct,Low,inferred,"Our calculation. Lean trimming = 1.8 x live hog (assumption bracketed by 1.38 carcass basis and 2.26 retail); extender hydrated to 18% protein and swapped 1:1 for lean; raw materials only, no processing, packaging or compensation ingredients."
HSG-038,cha lua or gio lua (HCMUT best-liked recipe C1),"high (2020 annual, FAOSTAT)",78138,140648,domestic textured soy (T1 cost),1.03,0.5,2.78,9641,0.2,110828,93854,16974,15.3,653,17.0,12.2,15.03,14.6,TIC-12; TIC-13; HXE-01; DIE-25; AIB-15; HXE-10,VN-direct,Low,inferred,"Our calculation. Lean trimming = 1.8 x live hog (assumption bracketed by 1.38 carcass basis and 2.26 retail); extender hydrated to 18% protein and swapped 1:1 for lean; raw materials only, no processing, packaging or compensation ingredients."
HSG-039,cha lua or gio lua (HCMUT best-liked recipe C1),"high (2020 annual, FAOSTAT)",78138,140648,domestic textured soy (T1 cost),1.03,0.5,2.78,9641,0.3,110828,85367,25461,23.0,979,25.5,12.1,15.03,14.6,TIC-12; TIC-13; HXE-01; DIE-25; AIB-15; HXE-10,VN-direct,Low,inferred,"Our calculation. Lean trimming = 1.8 x live hog (assumption bracketed by 1.38 carcass basis and 2.26 retail); extender hydrated to 18% protein and swapped 1:1 for lean; raw materials only, no processing, packaging or compensation ingredients."
HSG-040,cha lua or gio lua (HCMUT best-liked recipe C1),"high (2020 annual, FAOSTAT)",78138,140648,"Chinese textured soy, landed 0% duty",1.365,0.5,2.78,12776,0.1,110828,102544,8284,7.5,319,8.3,12.2,15.03,11.0,TIC-12; BUY-02; FTR-32; HXE-01; DIE-25; AIB-15; HXE-10,VN-direct,Low,inferred,"Our calculation. Lean trimming = 1.8 x live hog (assumption bracketed by 1.38 carcass basis and 2.26 retail); extender hydrated to 18% protein and swapped 1:1 for lean; raw materials only, no processing, packaging or compensation ingredients."
HSG-041,cha lua or gio lua (HCMUT best-liked recipe C1),"high (2020 annual, FAOSTAT)",78138,140648,"Chinese textured soy, landed 0% duty",1.365,0.5,2.78,12776,0.2,110828,94260,16568,14.9,637,16.6,12.2,15.03,11.0,TIC-12; BUY-02; FTR-32; HXE-01; DIE-25; AIB-15; HXE-10,VN-direct,Low,inferred,"Our calculation. Lean trimming = 1.8 x live hog (assumption bracketed by 1.38 carcass basis and 2.26 retail); extender hydrated to 18% protein and swapped 1:1 for lean; raw materials only, no processing, packaging or compensation ingredients."
HSG-042,cha lua or gio lua (HCMUT best-liked recipe C1),"high (2020 annual, FAOSTAT)",78138,140648,"Chinese textured soy, landed 0% duty",1.365,0.5,2.78,12776,0.3,110828,85976,24852,22.4,956,24.9,12.1,15.03,11.0,TIC-12; BUY-02; FTR-32; HXE-01; DIE-25; AIB-15; HXE-10,VN-direct,Low,inferred,"Our calculation. Lean trimming = 1.8 x live hog (assumption bracketed by 1.38 carcass basis and 2.26 retail); extender hydrated to 18% protein and swapped 1:1 for lean; raw materials only, no processing, packaging or compensation ingredients."
HSG-043,cha lua or gio lua (HCMUT best-liked recipe C1),"high (2020 annual, FAOSTAT)",78138,140648,"Chinese soy protein isolate, landed",2.22,0.9,5.0,11544,0.1,110828,102464,8364,7.5,322,8.4,12.2,27.05,12.2,BUY-07; FTR-32 (our landing add-on); HXE-01; DIE-25; AIB-15; HXE-10,VN-direct,Low,inferred,"Our calculation. Lean trimming = 1.8 x live hog (assumption bracketed by 1.38 carcass basis and 2.26 retail); extender hydrated to 18% protein and swapped 1:1 for lean; raw materials only, no processing, packaging or compensation ingredients."
HSG-044,cha lua or gio lua (HCMUT best-liked recipe C1),"high (2020 annual, FAOSTAT)",78138,140648,"Chinese soy protein isolate, landed",2.22,0.9,5.0,11544,0.2,110828,94100,16728,15.1,643,16.7,12.2,27.05,12.2,BUY-07; FTR-32 (our landing add-on); HXE-01; DIE-25; AIB-15; HXE-10,VN-direct,Low,inferred,"Our calculation. Lean trimming = 1.8 x live hog (assumption bracketed by 1.38 carcass basis and 2.26 retail); extender hydrated to 18% protein and swapped 1:1 for lean; raw materials only, no processing, packaging or compensation ingredients."
HSG-045,cha lua or gio lua (HCMUT best-liked recipe C1),"high (2020 annual, FAOSTAT)",78138,140648,"Chinese soy protein isolate, landed",2.22,0.9,5.0,11544,0.3,110828,85737,25091,22.6,965,25.1,12.1,27.05,12.2,BUY-07; FTR-32 (our landing add-on); HXE-01; DIE-25; AIB-15; HXE-10,VN-direct,Low,inferred,"Our calculation. Lean trimming = 1.8 x live hog (assumption bracketed by 1.38 carcass basis and 2.26 retail); extender hydrated to 18% protein and swapped 1:1 for lean; raw materials only, no processing, packaging or compensation ingredients."
HSG-046,cha lua or gio lua (HCMUT best-liked recipe C1),"high (2020 annual, FAOSTAT)",78138,140648,fungal biomass at soy isolate protein parity,1.0,0.45,2.5,10400,0.1,110828,102390,8438,7.6,325,8.4,12.2,13.52,13.5,BUY-02 (ch16.2 break-even); HXE-01; DIE-25; AIB-15; HXE-10,VN-direct,Low,inferred,"Our calculation. Lean trimming = 1.8 x live hog (assumption bracketed by 1.38 carcass basis and 2.26 retail); extender hydrated to 18% protein and swapped 1:1 for lean; raw materials only, no processing, packaging or compensation ingredients."
HSG-047,cha lua or gio lua (HCMUT best-liked recipe C1),"high (2020 annual, FAOSTAT)",78138,140648,fungal biomass at soy isolate protein parity,1.0,0.45,2.5,10400,0.2,110828,93952,16876,15.2,649,16.9,12.2,13.52,13.5,BUY-02 (ch16.2 break-even); HXE-01; DIE-25; AIB-15; HXE-10,VN-direct,Low,inferred,"Our calculation. Lean trimming = 1.8 x live hog (assumption bracketed by 1.38 carcass basis and 2.26 retail); extender hydrated to 18% protein and swapped 1:1 for lean; raw materials only, no processing, packaging or compensation ingredients."
HSG-048,cha lua or gio lua (HCMUT best-liked recipe C1),"high (2020 annual, FAOSTAT)",78138,140648,fungal biomass at soy isolate protein parity,1.0,0.45,2.5,10400,0.3,110828,85514,25314,22.8,974,25.3,12.1,13.52,13.5,BUY-02 (ch16.2 break-even); HXE-01; DIE-25; AIB-15; HXE-10,VN-direct,Low,inferred,"Our calculation. Lean trimming = 1.8 x live hog (assumption bracketed by 1.38 carcass basis and 2.26 retail); extender hydrated to 18% protein and swapped 1:1 for lean; raw materials only, no processing, packaging or compensation ingredients."
