record_id,ingredient,price_basis,origin,period,price_usd_per_kg,price_vnd_per_kg_at_26000,protein_share_assumed,price_usd_per_kg_protein,source_ids,evidence_label,confidence,demand_evidence_type,notes
IPR-014,Soy protein isolate (declared HS 21061000),Sample import shipment (declared value / quantity),China,16 Jun 2025,1.95,50700,0.9,2.17,BUY-07,VN-direct,Low,revealed,"12 t for USD 23,400. Snippet from commercial database summary; importer not named."
IPR-015,Soy protein isolate (declared HS 21061000),Sample import shipment,China,10 Jun 2025,2.2,57200,0.9,2.44,BUY-07,VN-direct,Low,revealed,"6,000 kg for USD 13,200."
IPR-016,Soy protein isolate (declared HS 2106100000),Sample import shipment,China,13 May 2025,2.0,52000,0.9,2.22,BUY-07,VN-direct,Low,revealed,"50 t for USD 100,000."
IPR-017,Pea protein (declared HS 35040000),Sample import shipment,China,24 Jun 2025,2.0,52000,0.8,2.5,BUY-09,VN-direct,Low,revealed,"16,000 kg for USD 32,000. Grade not stated; price low for isolate."
IPR-018,Pea protein (declared HS 35040000),Sample import shipment,China,11 Jun 2025,3.0,78000,0.8,3.75,BUY-09,VN-direct,Low,revealed,"16,000 kg for USD 48,000."
IPR-019,Pea protein (declared HS 35040000),Sample import shipment,United States,30 Jun 2025,6.75,175500,0.8,8.44,BUY-09,VN-direct,Low,revealed,"16,000 kg for USD 108,000."
IPR-020,Pea protein (declared HS 35040000),Sample import shipment,France,7 Jun 2025,8.5,221000,0.8,10.62,BUY-09,VN-direct,Low,revealed,"1 t for USD 8,500."
IPR-021,Whey and modified whey (HS 040410),Export unit value to Vietnam (FOB),USA,2024,0.77,20020,0.12,6.42,BUY-02,VN-direct,Medium,revealed,"31,837 t. Unit value consistent with sweet whey powder (about 11 to 13% protein), much of it feed grade (inference)."
IPR-022,Whey and modified whey (HS 040410),Export unit value to Vietnam (FOB),USA,2025,1.44,37440,0.12,12.0,BUY-02,VN-direct,Medium,revealed,"21,565 t (quantity partly estimated)."
IPR-023,Whey protein concentrate 80% (HS 350220),Export unit value to Vietnam (FOB),USA,2025,8.13,211380,0.8,10.16,BUY-02,VN-direct,Medium,revealed,"1,207 t."
IPR-024,Whey protein concentrate 80% (HS 350220),Export unit value to Vietnam (FOB),Germany,2025,14.05,365300,0.8,17.56,BUY-02,VN-direct,Medium,revealed,332 t. May include isolates or specialty fractions.
IPR-025,Casein (HS 350110),Export unit value to Vietnam (FOB),New Zealand,2025,7.59,197340,0.88,8.62,BUY-02,VN-direct,Medium,revealed,502 t.
IPR-026,Caseinates (HS 350190),Export unit value to Vietnam (FOB),Germany,2025,9.87,256620,0.88,11.22,BUY-02,VN-direct,Medium,revealed,434 t.
IPR-027,Egg white powder (HS 350211),Export unit value to Vietnam (FOB),India,2025,5.9,153400,0.8,7.38,BUY-02,VN-direct,Medium,revealed,"1,131 t. India supplies most Vietnamese egg powder."
IPR-028,Egg white powder (HS 350211),Export unit value to Vietnam (FOB),India,2023,11.51,299260,0.8,14.39,BUY-02,VN-direct,Medium,revealed,502 t. Egg powder prices swing with avian influenza cycles.
IPR-029,Whole egg powder (HS 040891),Export unit value to Vietnam (FOB),India,2025,6.09,158340,0.46,13.24,BUY-02,VN-direct,Medium,revealed,606 t.
IPR-030,Egg yolk powder (HS 040811),Export unit value to Vietnam (FOB),India,2025,7.99,207740,0.32,24.97,BUY-02,VN-direct,Medium,revealed,581 t.
IPR-031,Gelatin (HS 350300),Export unit value to Vietnam (FOB),China,2025,6.0,156000,0.85,7.06,BUY-02,VN-direct,Medium,revealed,"1,998 t. Food, capsule and technical grades mixed."
IPR-032,Gelatin (HS 350300),Export unit value to Vietnam (FOB),France,2024,7.58,197080,0.85,8.92,BUY-02,VN-direct,Medium,revealed,"1,378 t."
IPR-033,"Vital wheat gluten, China origin (25 kg bags)",Distributor web listing,China,Sep 2026,,,,,BUY-36; BUY-37,VN-direct,High,revealed,"No price published (""Lien he"", price on request) by VMC Group Da Nang and TDGIMEX; VMC notes prices vary by region. B2B prices are negotiated, not listed."
