record_id,year,date,country,category,count_or_item,event_type,source_ids,evidence_label,confidence,notes
FTBA-101,2019,,Singapore,microalgae,1 approval(s),aggregated count,edition 1.0 approvals.csv (RGN-03; RGN-04; RGN-18 to RGN-20),VN-adjacent,High,"Derived by FTB from edition 1.0 data for trend charts. Excludes applications, fatwas and undated items. Singapore dates are SFA ""date allowed to be used as food""; 2026 to 14 Aug 2026 only."
FTBA-102,2020,,Singapore,cultivated,1 approval(s),aggregated count,edition 1.0 approvals.csv (RGN-03; RGN-04; RGN-18 to RGN-20),VN-adjacent,High,"Derived by FTB from edition 1.0 data for trend charts. Excludes applications, fatwas and undated items. Singapore dates are SFA ""date allowed to be used as food""; 2026 to 14 Aug 2026 only."
FTBA-103,2021,,Singapore,biomass,1 approval(s),aggregated count,edition 1.0 approvals.csv (RGN-03; RGN-04; RGN-18 to RGN-20),VN-adjacent,High,"Derived by FTB from edition 1.0 data for trend charts. Excludes applications, fatwas and undated items. Singapore dates are SFA ""date allowed to be used as food""; 2026 to 14 Aug 2026 only."
FTBA-104,2022,,Singapore,biomass,1 approval(s),aggregated count,edition 1.0 approvals.csv (RGN-03; RGN-04; RGN-18 to RGN-20),VN-adjacent,High,"Derived by FTB from edition 1.0 data for trend charts. Excludes applications, fatwas and undated items. Singapore dates are SFA ""date allowed to be used as food""; 2026 to 14 Aug 2026 only."
FTBA-105,2022,,Singapore,microalgae,1 approval(s),aggregated count,edition 1.0 approvals.csv (RGN-03; RGN-04; RGN-18 to RGN-20),VN-adjacent,High,"Derived by FTB from edition 1.0 data for trend charts. Excludes applications, fatwas and undated items. Singapore dates are SFA ""date allowed to be used as food""; 2026 to 14 Aug 2026 only."
FTBA-106,2022,,United States,cultivated,1 approval(s),aggregated count,edition 1.0 approvals.csv (RGN-03; RGN-04; RGN-18 to RGN-20),general,High,"Derived by FTB from edition 1.0 data for trend charts. Excludes applications, fatwas and undated items. Singapore dates are SFA ""date allowed to be used as food""; 2026 to 14 Aug 2026 only."
FTBA-107,2023,,Israel,cultivated,1 approval(s),aggregated count,edition 1.0 approvals.csv (RGN-03; RGN-04; RGN-18 to RGN-20),general,Medium,"Derived by FTB from edition 1.0 data for trend charts. Excludes applications, fatwas and undated items. Singapore dates are SFA ""date allowed to be used as food""; 2026 to 14 Aug 2026 only."
FTBA-108,2023,,Singapore,precision fermentation,1 approval(s),aggregated count,edition 1.0 approvals.csv (RGN-03; RGN-04; RGN-18 to RGN-20),VN-adjacent,High,"Derived by FTB from edition 1.0 data for trend charts. Excludes applications, fatwas and undated items. Singapore dates are SFA ""date allowed to be used as food""; 2026 to 14 Aug 2026 only."
FTBA-109,2023,,Singapore,cultivated,1 approval(s),aggregated count,edition 1.0 approvals.csv (RGN-03; RGN-04; RGN-18 to RGN-20),VN-adjacent,High,"Derived by FTB from edition 1.0 data for trend charts. Excludes applications, fatwas and undated items. Singapore dates are SFA ""date allowed to be used as food""; 2026 to 14 Aug 2026 only."
FTBA-110,2023,,United States,cultivated,1 approval(s),aggregated count,edition 1.0 approvals.csv (RGN-03; RGN-04; RGN-18 to RGN-20),general,High,"Derived by FTB from edition 1.0 data for trend charts. Excludes applications, fatwas and undated items. Singapore dates are SFA ""date allowed to be used as food""; 2026 to 14 Aug 2026 only."
FTBA-111,2024,,Singapore,biomass,2 approval(s),aggregated count,edition 1.0 approvals.csv (RGN-03; RGN-04; RGN-18 to RGN-20),VN-adjacent,High,"Derived by FTB from edition 1.0 data for trend charts. Excludes applications, fatwas and undated items. Singapore dates are SFA ""date allowed to be used as food""; 2026 to 14 Aug 2026 only."
FTBA-112,2024,,Singapore,cultivated,1 approval(s),aggregated count,edition 1.0 approvals.csv (RGN-03; RGN-04; RGN-18 to RGN-20),VN-adjacent,High,"Derived by FTB from edition 1.0 data for trend charts. Excludes applications, fatwas and undated items. Singapore dates are SFA ""date allowed to be used as food""; 2026 to 14 Aug 2026 only."
FTBA-113,2025,,Australia/New Zealand,cultivated,1 approval(s),aggregated count,edition 1.0 approvals.csv (RGN-03; RGN-04; RGN-18 to RGN-20),VN-adjacent,Medium,"Derived by FTB from edition 1.0 data for trend charts. Excludes applications, fatwas and undated items. Singapore dates are SFA ""date allowed to be used as food""; 2026 to 14 Aug 2026 only."
FTBA-114,2025,,China,biomass,1 approval(s),aggregated count,edition 1.0 approvals.csv (RGN-03; RGN-04; RGN-18 to RGN-20),general,Medium,"Derived by FTB from edition 1.0 data for trend charts. Excludes applications, fatwas and undated items. Singapore dates are SFA ""date allowed to be used as food""; 2026 to 14 Aug 2026 only."
FTBA-115,2025,,Singapore,precision fermentation,2 approval(s),aggregated count,edition 1.0 approvals.csv (RGN-03; RGN-04; RGN-18 to RGN-20),VN-adjacent,High,"Derived by FTB from edition 1.0 data for trend charts. Excludes applications, fatwas and undated items. Singapore dates are SFA ""date allowed to be used as food""; 2026 to 14 Aug 2026 only."
FTBA-116,2025,,Singapore,biomass,1 approval(s),aggregated count,edition 1.0 approvals.csv (RGN-03; RGN-04; RGN-18 to RGN-20),VN-adjacent,High,"Derived by FTB from edition 1.0 data for trend charts. Excludes applications, fatwas and undated items. Singapore dates are SFA ""date allowed to be used as food""; 2026 to 14 Aug 2026 only."
FTBA-117,2025,,Singapore,cultivated,1 approval(s),aggregated count,edition 1.0 approvals.csv (RGN-03; RGN-04; RGN-18 to RGN-20),VN-adjacent,High,"Derived by FTB from edition 1.0 data for trend charts. Excludes applications, fatwas and undated items. Singapore dates are SFA ""date allowed to be used as food""; 2026 to 14 Aug 2026 only."
FTBA-118,2025,,United States,cultivated,3 approval(s),aggregated count,edition 1.0 approvals.csv (RGN-03; RGN-04; RGN-18 to RGN-20),general,High,"Derived by FTB from edition 1.0 data for trend charts. Excludes applications, fatwas and undated items. Singapore dates are SFA ""date allowed to be used as food""; 2026 to 14 Aug 2026 only."
FTBA-119,2026,,Singapore,biomass,1 approval(s),aggregated count,edition 1.0 approvals.csv (RGN-03; RGN-04; RGN-18 to RGN-20),VN-adjacent,High,"Derived by FTB from edition 1.0 data for trend charts. Excludes applications, fatwas and undated items. Singapore dates are SFA ""date allowed to be used as food""; 2026 to 14 Aug 2026 only."
FTBA-120,2026,,Singapore,cultivated,2 approval(s),aggregated count,edition 1.0 approvals.csv (RGN-03; RGN-04; RGN-18 to RGN-20),VN-adjacent,High,"Derived by FTB from edition 1.0 data for trend charts. Excludes applications, fatwas and undated items. Singapore dates are SFA ""date allowed to be used as food""; 2026 to 14 Aug 2026 only."
