record_id,item_id,item,funder_id,funder,fit,reason,source_ids,evidence_label,confidence,demand_evidence_type,notes
FFT-029,TPP-10,Cultivated meat or seafood,F01,Nova Vista Foundation (Protein Innovation RFP),partial,"Cultivated meat is a named class and pathway work fits, but Part III finds no domestic demand before the mid-2030s.",AFN-04; AFN-05; target_product_profiles.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-030,DMV-01,Chay-day question in a probability survey,F02,Coefficient Giving (Alternative Protein R&D RFP),outside remit,"The RFP funds ingredient R&D on taste and price, not measurement, menus or policy.",AFN-01; AFN-02; AFN-03; demand_moves.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-031,DMV-02,"Declaration-level customs analysis (food vs feed, named buyers)",F02,Coefficient Giving (Alternative Protein R&D RFP),outside remit,"The RFP funds ingredient R&D on taste and price, not measurement, menus or policy.",AFN-01; AFN-02; AFN-03; demand_moves.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-032,DMV-03,Vietnamese sensory and choice-test capacity,F02,Coefficient Giving (Alternative Protein R&D RFP),partial,"Sensory tests in Vietnamese dishes could be the 'pathway to industry uptake' inside an R&D grant, not a stand-alone grant.",AFN-01; AFN-02; AFN-03; demand_moves.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-033,DMV-04,Randomised label and name test,F02,Coefficient Giving (Alternative Protein R&D RFP),outside remit,"The RFP funds ingredient R&D on taste and price, not measurement, menus or policy.",AFN-01; AFN-02; AFN-03; demand_moves.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-034,DMV-05,Canteen trial with one large caterer (chay days or protein extender),F02,Coefficient Giving (Alternative Protein R&D RFP),outside remit,"The RFP funds ingredient R&D on taste and price, not measurement, menus or policy.",AFN-01; AFN-02; AFN-03; demand_moves.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-035,DMV-06,In-store test of protein-upgraded chay in 20 minimarts,F02,Coefficient Giving (Alternative Protein R&D RFP),outside remit,"The RFP funds ingredient R&D on taste and price, not measurement, menus or policy.",AFN-01; AFN-02; AFN-03; demand_moves.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-036,DMV-07,Chay composition and authenticity survey,F02,Coefficient Giving (Alternative Protein R&D RFP),outside remit,"The RFP funds ingredient R&D on taste and price, not measurement, menus or policy.",AFN-01; AFN-02; AFN-03; demand_moves.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-037,DMV-08,Standing panel of research and procurement buyers,F02,Coefficient Giving (Alternative Protein R&D RFP),partial,Named buyers and qualification times are the uptake evidence applicants must show.,AFN-01; AFN-02; AFN-03; demand_moves.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-038,DMV-09,Share of meat eaten as processed products,F02,Coefficient Giving (Alternative Protein R&D RFP),outside remit,"The RFP funds ingredient R&D on taste and price, not measurement, menus or policy.",AFN-01; AFN-02; AFN-03; demand_moves.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-039,DMV-10,Nha Trang hotel and menu audit,F02,Coefficient Giving (Alternative Protein R&D RFP),outside remit,"The RFP funds ingredient R&D on taste and price, not measurement, menus or policy.",AFN-01; AFN-02; AFN-03; demand_moves.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-040,DMV-11,Survey of EU and UK private-label and seafood buyers,F02,Coefficient Giving (Alternative Protein R&D RFP),outside remit,"The RFP funds ingredient R&D on taste and price, not measurement, menus or policy.",AFN-01; AFN-02; AFN-03; demand_moves.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-041,DMV-12,Feed carbon-footprint benchmark for shrimp and pangasius feed,F02,Coefficient Giving (Alternative Protein R&D RFP),outside remit,"The RFP funds ingredient R&D on taste and price, not measurement, menus or policy.",AFN-01; AFN-02; AFN-03; demand_moves.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-042,DMV-13,Define chay and vegetarian claims (TCVN 13625),F02,Coefficient Giving (Alternative Protein R&D RFP),outside remit,"The RFP funds ingredient R&D on taste and price, not measurement, menus or policy.",AFN-01; AFN-02; AFN-03; demand_moves.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-043,DMV-14,Honest percentage labelling of blended meat,F02,Coefficient Giving (Alternative Protein R&D RFP),outside remit,"The RFP funds ingredient R&D on taste and price, not measurement, menus or policy.",AFN-01; AFN-02; AFN-03; demand_moves.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-044,DMV-15,Neutral naming guidance avoiding nhan tao,F02,Coefficient Giving (Alternative Protein R&D RFP),outside remit,"The RFP funds ingredient R&D on taste and price, not measurement, menus or policy.",AFN-01; AFN-02; AFN-03; demand_moves.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-045,DMV-16,GMO declaration status of purified precision-fermented proteins,F02,Coefficient Giving (Alternative Protein R&D RFP),outside remit,"The RFP funds ingredient R&D on taste and price, not measurement, menus or policy.",AFN-01; AFN-02; AFN-03; demand_moves.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-046,DMV-17,Public-meal protein guidance on quality and cost; Dispatch 64 supplier documents,F02,Coefficient Giving (Alternative Protein R&D RFP),outside remit,"The RFP funds ingredient R&D on taste and price, not measurement, menus or policy.",AFN-01; AFN-02; AFN-03; demand_moves.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-047,DMV-18,Eight-digit customs subheadings for plant proteins,F02,Coefficient Giving (Alternative Protein R&D RFP),outside remit,"The RFP funds ingredient R&D on taste and price, not measurement, menus or policy.",AFN-01; AFN-02; AFN-03; demand_moves.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-048,DMV-19,"Use and protect EU, UK and Japanese tariff preferences",F02,Coefficient Giving (Alternative Protein R&D RFP),outside remit,"The RFP funds ingredient R&D on taste and price, not measurement, menus or policy.",AFN-01; AFN-02; AFN-03; demand_moves.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-049,TPP-01,Domestic textured soy or soy-gluten protein,F02,Coefficient Giving (Alternative Protein R&D RFP),partial,Fits only where framed as off-flavour reduction or fat alternatives.,AFN-01; AFN-02; AFN-03; target_product_profiles.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-050,TPP-02,Higher-protein chay foods,F02,Coefficient Giving (Alternative Protein R&D RFP),outside remit,"The RFP funds ingredient R&D on taste and price, not measurement, menus or policy.",AFN-01; AFN-02; AFN-03; target_product_profiles.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-051,TPP-03,Hybrid extender for processed meat,F02,Coefficient Giving (Alternative Protein R&D RFP),partial,Fits only where framed as off-flavour reduction or fat alternatives.,AFN-01; AFN-02; AFN-03; target_product_profiles.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-052,TPP-04,Canteen protein ingredient and dish base,F02,Coefficient Giving (Alternative Protein R&D RFP),outside remit,"The RFP funds ingredient R&D on taste and price, not measurement, menus or policy.",AFN-01; AFN-02; AFN-03; target_product_profiles.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-053,TPP-05,Rice or mung bean isolate for plant milks,F02,Coefficient Giving (Alternative Protein R&D RFP),fits,Off-flavour reduction and functionality of plant and fungal proteins are named topics (round closed; decisions by 31 Dec 2026).,AFN-01; AFN-02; AFN-03; target_product_profiles.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-054,TPP-06,Fungal biomass functional ingredient,F02,Coefficient Giving (Alternative Protein R&D RFP),fits,Off-flavour reduction and functionality of plant and fungal proteins are named topics (round closed; decisions by 31 Dec 2026).,AFN-01; AFN-02; AFN-03; target_product_profiles.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-055,TPP-07,Precision-fermented specialty protein,F02,Coefficient Giving (Alternative Protein R&D RFP),partial,Egg replacement is a named topic; specialty dairy proteins are not.,AFN-01; AFN-02; AFN-03; target_product_profiles.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-056,TPP-08,"Export private-label plant foods (EU, UK)",F02,Coefficient Giving (Alternative Protein R&D RFP),partial,"Fish-flavour characterisation of catfish and tilapia is a named topic, but Part III finds plant-based seafood the weakest export bet.",AFN-01; AFN-02; AFN-03; target_product_profiles.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-057,TPP-09,Diaspora protein-upgraded chay,F02,Coefficient Giving (Alternative Protein R&D RFP),outside remit,"The RFP funds ingredient R&D on taste and price, not measurement, menus or policy.",AFN-01; AFN-02; AFN-03; target_product_profiles.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-058,TPP-10,Cultivated meat or seafood,F02,Coefficient Giving (Alternative Protein R&D RFP),outside remit,"The RFP funds ingredient R&D on taste and price, not measurement, menus or policy.",AFN-01; AFN-02; AFN-03; target_product_profiles.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-059,DMV-01,Chay-day question in a probability survey,F03,Good Food Institute (Research Grant Program),outside remit,Not an open-access supply-side research topic; programme closed with no reopening date.,AFN-08; AFN-09; demand_moves.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-060,DMV-02,"Declaration-level customs analysis (food vs feed, named buyers)",F03,Good Food Institute (Research Grant Program),outside remit,Not an open-access supply-side research topic; programme closed with no reopening date.,AFN-08; AFN-09; demand_moves.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-061,DMV-03,Vietnamese sensory and choice-test capacity,F03,Good Food Institute (Research Grant Program),partial,Organoleptic research is a priority; a Vietnamese sensory platform fits only inside an open-access research project.,AFN-08; AFN-09; demand_moves.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-062,DMV-04,Randomised label and name test,F03,Good Food Institute (Research Grant Program),outside remit,Not an open-access supply-side research topic; programme closed with no reopening date.,AFN-08; AFN-09; demand_moves.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-063,DMV-05,Canteen trial with one large caterer (chay days or protein extender),F03,Good Food Institute (Research Grant Program),outside remit,Not an open-access supply-side research topic; programme closed with no reopening date.,AFN-08; AFN-09; demand_moves.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-064,DMV-06,In-store test of protein-upgraded chay in 20 minimarts,F03,Good Food Institute (Research Grant Program),outside remit,Not an open-access supply-side research topic; programme closed with no reopening date.,AFN-08; AFN-09; demand_moves.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-065,DMV-07,Chay composition and authenticity survey,F03,Good Food Institute (Research Grant Program),outside remit,Not an open-access supply-side research topic; programme closed with no reopening date.,AFN-08; AFN-09; demand_moves.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-066,DMV-08,Standing panel of research and procurement buyers,F03,Good Food Institute (Research Grant Program),outside remit,Not an open-access supply-side research topic; programme closed with no reopening date.,AFN-08; AFN-09; demand_moves.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-067,DMV-09,Share of meat eaten as processed products,F03,Good Food Institute (Research Grant Program),outside remit,Not an open-access supply-side research topic; programme closed with no reopening date.,AFN-08; AFN-09; demand_moves.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-068,DMV-10,Nha Trang hotel and menu audit,F03,Good Food Institute (Research Grant Program),outside remit,Not an open-access supply-side research topic; programme closed with no reopening date.,AFN-08; AFN-09; demand_moves.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-069,DMV-11,Survey of EU and UK private-label and seafood buyers,F03,Good Food Institute (Research Grant Program),outside remit,Not an open-access supply-side research topic; programme closed with no reopening date.,AFN-08; AFN-09; demand_moves.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-070,DMV-12,Feed carbon-footprint benchmark for shrimp and pangasius feed,F03,Good Food Institute (Research Grant Program),outside remit,Not an open-access supply-side research topic; programme closed with no reopening date.,AFN-08; AFN-09; demand_moves.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-071,DMV-13,Define chay and vegetarian claims (TCVN 13625),F03,Good Food Institute (Research Grant Program),outside remit,Not an open-access supply-side research topic; programme closed with no reopening date.,AFN-08; AFN-09; demand_moves.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-072,DMV-14,Honest percentage labelling of blended meat,F03,Good Food Institute (Research Grant Program),outside remit,Not an open-access supply-side research topic; programme closed with no reopening date.,AFN-08; AFN-09; demand_moves.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-073,DMV-15,Neutral naming guidance avoiding nhan tao,F03,Good Food Institute (Research Grant Program),outside remit,Not an open-access supply-side research topic; programme closed with no reopening date.,AFN-08; AFN-09; demand_moves.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-074,DMV-16,GMO declaration status of purified precision-fermented proteins,F03,Good Food Institute (Research Grant Program),outside remit,Not an open-access supply-side research topic; programme closed with no reopening date.,AFN-08; AFN-09; demand_moves.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-075,DMV-17,Public-meal protein guidance on quality and cost; Dispatch 64 supplier documents,F03,Good Food Institute (Research Grant Program),outside remit,Not an open-access supply-side research topic; programme closed with no reopening date.,AFN-08; AFN-09; demand_moves.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-076,DMV-18,Eight-digit customs subheadings for plant proteins,F03,Good Food Institute (Research Grant Program),outside remit,Not an open-access supply-side research topic; programme closed with no reopening date.,AFN-08; AFN-09; demand_moves.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-077,DMV-19,"Use and protect EU, UK and Japanese tariff preferences",F03,Good Food Institute (Research Grant Program),outside remit,Not an open-access supply-side research topic; programme closed with no reopening date.,AFN-08; AFN-09; demand_moves.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-078,TPP-01,Domestic textured soy or soy-gluten protein,F03,Good Food Institute (Research Grant Program),partial,"Cost, scale-up and functionality research fits in principle; programme closed with no reopening date.",AFN-08; AFN-09; target_product_profiles.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-079,TPP-02,Higher-protein chay foods,F03,Good Food Institute (Research Grant Program),outside remit,Not an open-access supply-side research topic; programme closed with no reopening date.,AFN-08; AFN-09; target_product_profiles.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-080,TPP-03,Hybrid extender for processed meat,F03,Good Food Institute (Research Grant Program),partial,"Cost, scale-up and functionality research fits in principle; programme closed with no reopening date.",AFN-08; AFN-09; target_product_profiles.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-081,TPP-04,Canteen protein ingredient and dish base,F03,Good Food Institute (Research Grant Program),outside remit,Not an open-access supply-side research topic; programme closed with no reopening date.,AFN-08; AFN-09; target_product_profiles.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-082,TPP-05,Rice or mung bean isolate for plant milks,F03,Good Food Institute (Research Grant Program),fits,Plant-protein functionality and fermentation-derived functionality are core priorities (2025 round); programme now closed.,AFN-08; AFN-09; target_product_profiles.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-083,TPP-06,Fungal biomass functional ingredient,F03,Good Food Institute (Research Grant Program),fits,Plant-protein functionality and fermentation-derived functionality are core priorities (2025 round); programme now closed.,AFN-08; AFN-09; target_product_profiles.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
