term_id,category,term_en,term_vi,abbreviation,definition_en,definition_vi
GL-012,Protein and nutrition,wheat gluten,gluten lúa mì (nguyên liệu làm mì căn),,Wheat protein used to make seitan-type meat analogues.,Protein lúa mì dùng làm các sản phẩm giả thịt dạng mì căn.
GL-013,Protein and nutrition,mung bean,đậu xanh,,A pulse widely used in Vietnamese vegetarian fillings.,Loại đậu dùng phổ biến trong nhân đồ chay.
GL-014,Protein and nutrition,okara,bã đậu nành,,The fibre-rich residue from soy milk and tofu making.,Phần bã giàu chất xơ còn lại sau khi làm sữa đậu nành và đậu phụ.
GL-015,Protein and nutrition,tofu,đậu phụ (đậu hũ),,Curdled soy milk pressed into blocks.,"Sữa đậu nành đông tụ, ép thành bánh."
GL-016,Protein and nutrition,plant milk,sữa thực vật (sữa hạt),,"Soy, oat, nut or grain drinks used like dairy milk.","Đồ uống từ đậu nành, yến mạch, các loại hạt hoặc ngũ cốc, dùng thay sữa bò."
GL-017,Protein and nutrition,meat analogue,"sản phẩm giả thịt (thịt chay, thịt thực vật)",,"A product made to replace meat in taste, texture or use.","Sản phẩm thay thế thịt về hương vị, kết cấu hoặc cách dùng."
GL-018,Protein and nutrition,traditional vegetarian food,đồ chay,,"Vegetarian food in the Vietnamese Buddhist tradition, including mock meats; not always vegan.","Thực phẩm chay theo truyền thống Phật giáo Việt Nam, gồm cả đồ giả thịt; không phải lúc nào cũng thuần chay."
GL-019,Protein and nutrition,hybrid product,sản phẩm lai,,A product combining animal and alternative protein.,Sản phẩm kết hợp đạm động vật và đạm thay thế.
GL-020,Technologies,plant-based,có nguồn gốc thực vật,,Made from plant ingredients.,Làm từ nguyên liệu thực vật.
GL-021,Technologies,fermentation,lên men,,Growing microorganisms to make or transform a product.,Nuôi vi sinh vật để tạo ra hoặc biến đổi sản phẩm.
GL-022,Technologies,biomass fermentation,lên men sinh khối,,Growing microorganisms whose cells are the protein product.,Nuôi vi sinh vật để thu chính sinh khối tế bào làm sản phẩm protein.
GL-023,Technologies,precision fermentation,lên men chính xác,PF,Using engineered microorganisms to make a specific protein or ingredient.,Dùng vi sinh vật được chỉnh sửa gen để sản xuất một protein hoặc thành phần cụ thể.
GL-024,Technologies,submerged fermentation,lên men chìm,,Fermentation in liquid medium inside tanks.,Lên men trong môi trường lỏng trong bồn.
GL-025,Technologies,solid-state fermentation,lên men trên cơ chất rắn,,"Fermentation on moist solid substrates, as in koji making.","Lên men trên cơ chất rắn có độ ẩm, như khi làm koji."
GL-026,Technologies,aerobic fermentation,lên men hiếu khí,,Fermentation that needs oxygen supplied by aeration.,Lên men cần cung cấp oxy bằng sục khí.
GL-027,Technologies,gas fermentation,lên men khí,,"Growing microorganisms on gases such as hydrogen and CO2, methane or industrial off-gas.","Nuôi vi sinh vật bằng khí như hydro và CO2, mêtan hoặc khí thải công nghiệp."
GL-028,Technologies,single-cell protein,protein đơn bào,SCP,"Protein-rich biomass of bacteria, yeast, fungi or algae.","Sinh khối giàu protein từ vi khuẩn, nấm men, nấm sợi hoặc tảo."
GL-029,Technologies,mycoprotein,mycoprotein (đạm từ sợi nấm),,Protein food made from fungal mycelium grown by fermentation.,Thực phẩm protein làm từ hệ sợi nấm nuôi bằng lên men.
GL-030,Technologies,mycelium,hệ sợi nấm,,The thread-like body of a fungus.,Phần thân dạng sợi của nấm.
GL-031,Technologies,koji mould,"mốc koji (Aspergillus oryzae), mốc tương",,"The food mould used for soy sauce, miso and Vietnamese tương.","Loại mốc dùng làm nước tương, miso và tương Việt Nam."
GL-032,Technologies,tương,tương (tương đậu nành lên men),,Vietnamese fermented soybean paste.,Tương đậu nành lên men truyền thống Việt Nam.
GL-033,Technologies,yeast,nấm men,,"Single-celled fungi used in baking, brewing and feed.","Nấm đơn bào dùng trong làm bánh, nấu bia và thức ăn chăn nuôi."
GL-034,Technologies,inactivated yeast,nấm men bất hoạt,,"Yeast killed by heat, used as a feed ingredient.","Nấm men đã bất hoạt bằng nhiệt, dùng làm nguyên liệu thức ăn chăn nuôi."
GL-035,Technologies,microalgae,vi tảo,,Microscopic algae such as spirulina and chlorella.,Tảo cực nhỏ như tảo xoắn spirulina và chlorella.
GL-036,Technologies,spirulina,tảo xoắn spirulina,,A blue-green microalga sold as a supplement.,"Vi tảo lam, bán làm thực phẩm bổ sung."
GL-037,Technologies,duckweed,bèo tấm,,"Small floating aquatic plants (Lemna, Wolffia, Spirodela) with high protein.","Thực vật thủy sinh nổi cỡ nhỏ (Lemna, Wolffia, Spirodela), giàu protein."
GL-038,Technologies,cultivated meat,thịt nuôi cấy,,Meat grown from animal cells in bioreactors.,Thịt được nuôi từ tế bào động vật trong thiết bị nuôi cấy.
GL-039,Technologies,cultivated seafood,hải sản nuôi cấy,,Fish or shellfish grown from cells.,Cá hoặc giáp xác được nuôi từ tế bào.
GL-040,Technologies,cell line,dòng tế bào,,A population of cells that can be grown continuously.,Quần thể tế bào có thể nuôi cấy liên tục.
GL-041,Technologies,growth factor,yếu tố tăng trưởng,,A signalling protein that makes cells grow; a major cost in cultivated meat.,Protein tín hiệu kích thích tế bào phát triển; là chi phí lớn của thịt nuôi cấy.
GL-042,Technologies,serum-free medium,môi trường nuôi cấy không huyết thanh,,Cell-culture medium without animal serum.,Môi trường nuôi cấy tế bào không dùng huyết thanh động vật.
GL-043,Technologies,titer,nồng độ sản phẩm (titer),,"Amount of product per litre of broth, in grams per litre.","Lượng sản phẩm trên mỗi lít dịch lên men, tính bằng gam/lít."
GL-044,Technologies,extrusion,ép đùn,,Cooking and shaping under heat and pressure to give texture.,Nấu và định hình dưới nhiệt độ và áp suất để tạo kết cấu.
GL-045,Technologies,high-moisture extrusion,ép đùn độ ẩm cao,HME,"Extrusion that makes whole-cut, fibrous meat analogues.","Ép đùn tạo sản phẩm giả thịt nguyên miếng, có thớ."
GL-046,Technologies,downstream processing,"công đoạn sau lên men (thu hồi, tinh sạch)",DSP,"Separating, purifying and drying a fermentation product.","Tách, tinh sạch và sấy sản phẩm lên men."
GL-047,Technologies,thermotolerant strain,chủng chịu nhiệt,,"A microorganism that grows at 40 to 45 °C, reducing cooling needs.","Vi sinh vật phát triển ở 40 đến 45 °C, giúp giảm nhu cầu làm mát."
GL-048,Technologies,fermenter,thiết bị lên men (bồn lên men),,"A vessel for fermentation, also called a bioreactor.","Thiết bị chứa quá trình lên men, còn gọi là bioreactor."
GL-049,Technologies,pilot plant,xưởng thử nghiệm (quy mô pilot),,A small plant used to test and scale up a process.,Xưởng quy mô nhỏ để thử nghiệm và nâng quy mô quy trình.
GL-050,Technologies,tolling,gia công lên men,,Using another company's plant to make your product for a fee.,Thuê nhà máy của doanh nghiệp khác sản xuất sản phẩm của mình.
GL-051,Technologies,contract development and manufacturing organisation,đơn vị phát triển và sản xuất theo hợp đồng,CDMO,A company that develops and makes products for clients.,Doanh nghiệp phát triển quy trình và sản xuất sản phẩm cho khách hàng.
GL-052,Technologies,techno-economic analysis,phân tích kinh tế kỹ thuật,TEA,A cost model of a process at a given scale.,Mô hình chi phí của một quy trình ở quy mô nhất định.
GL-053,Technologies,insect meal,bột côn trùng,,"Protein meal from insect larvae, such as black soldier fly.",Bột protein từ ấu trùng côn trùng như ruồi lính đen.
GL-054,Technologies,black soldier fly,ruồi lính đen,BSF,The insect most used for feed protein.,Loài côn trùng dùng nhiều nhất để làm đạm thức ăn chăn nuôi.
GL-055,Feed and aquaculture,compound feed,thức ăn hỗn hợp,,Manufactured feed made from several ingredients.,Thức ăn công nghiệp phối trộn từ nhiều nguyên liệu.
GL-056,Feed and aquaculture,aquafeed,thức ăn thủy sản,,Feed for farmed fish and shrimp.,Thức ăn cho cá và tôm nuôi.
GL-057,Feed and aquaculture,feed mill,nhà máy thức ăn chăn nuôi,,A factory that makes compound feed.,Nhà máy sản xuất thức ăn hỗn hợp.
GL-058,Feed and aquaculture,fishmeal,bột cá,,Protein meal made from whole fish or fish by-products.,Bột protein làm từ cá nguyên con hoặc phụ phẩm cá.
GL-059,Feed and aquaculture,soybean meal,khô đậu tương (khô đậu nành),SBM,The protein-rich residue after soybean oil is extracted.,Phần bã giàu protein còn lại sau khi ép dầu đậu tương.
GL-060,Feed and aquaculture,distillers' dried grains with solubles,bã rượu khô (DDGS),DDGS,A feed co-product of grain ethanol.,Phụ phẩm làm thức ăn chăn nuôi từ sản xuất cồn ngũ cốc.
GL-061,Feed and aquaculture,inclusion rate,tỷ lệ phối trộn,,The share of an ingredient in a diet.,Tỷ lệ một nguyên liệu trong khẩu phần.
GL-062,Feed and aquaculture,feed conversion ratio,hệ số chuyển hóa thức ăn,FCR,Kilograms of feed per kilogram of weight gain.,Số kg thức ăn cần để tăng 1 kg khối lượng.
GL-063,Feed and aquaculture,whiteleg shrimp,tôm thẻ chân trắng,,"Penaeus vannamei, Vietnam's main farmed shrimp.","Penaeus vannamei, loài tôm nuôi chủ lực của Việt Nam."
GL-064,Feed and aquaculture,black tiger shrimp,tôm sú,,Penaeus monodon.,Penaeus monodon.
GL-065,Feed and aquaculture,striped catfish (pangasius),cá tra,,"Pangasianodon hypophthalmus, farmed in the Mekong Delta.","Pangasianodon hypophthalmus, nuôi ở Đồng bằng sông Cửu Long."
GL-066,Feed and aquaculture,snakehead,cá lóc,,A carnivorous farmed fish.,Loài cá nuôi ăn thịt.
GL-067,Feed and aquaculture,tilapia,cá rô phi,,A widely farmed freshwater fish.,Loài cá nước ngọt được nuôi phổ biến.
GL-068,Feed and aquaculture,feed trial,khảo nghiệm thức ăn chăn nuôi,,A required test of a new feed or ingredient before it can be used.,Thử nghiệm bắt buộc đối với thức ăn hoặc nguyên liệu mới trước khi được sử dụng.
GL-069,Feed and aquaculture,permitted list,danh mục nguyên liệu được phép sử dụng,,The official list of feed raw materials allowed without a trial.,Danh mục chính thức các nguyên liệu thức ăn chăn nuôi được dùng mà không cần khảo nghiệm.
GL-070,Feed and aquaculture,offtake agreement,hợp đồng bao tiêu,,A buyer's commitment to purchase a producer's output.,Cam kết của bên mua về việc mua sản phẩm của nhà sản xuất.
GL-071,Feedstocks,cassava,sắn (khoai mì),,A starchy root crop; Vietnam's main fermentable carbohydrate.,Cây lấy củ nhiều tinh bột; nguồn carbohydrate lên men chính của Việt Nam.
GL-072,Feedstocks,cassava starch,tinh bột sắn,,Refined starch from cassava roots.,Tinh bột tinh chế từ củ sắn.
GL-073,Feedstocks,cassava pulp,bã sắn,,The wet fibrous residue from starch extraction.,Phần bã ướt nhiều xơ còn lại sau khi tách tinh bột.
GL-074,Feedstocks,molasses,rỉ đường (mật rỉ),,The syrup left after sugar crystallisation.,Phần siro còn lại sau khi kết tinh đường.
GL-075,Feedstocks,rice bran,cám gạo,,The outer layer removed when milling rice.,Lớp ngoài của hạt gạo được tách ra khi xay xát.
GL-076,Feedstocks,broken rice,tấm,,Fragments of rice grains from milling.,Hạt gạo vỡ trong quá trình xay xát.
GL-077,Feedstocks,brewer's spent grain,bã bia,BSG,The residue of malted grain after brewing.,Phần bã hạt mạch nha còn lại sau khi nấu bia.
GL-078,Feedstocks,side stream (by-product),phụ phẩm,,"A secondary output of a process, often sold or used as feed.","Sản phẩm phụ của một quá trình, thường được bán hoặc dùng làm thức ăn chăn nuôi."
GL-079,Feedstocks,glucose syrup,siro glucose (đường glucose),,Sugar made from starch; the usual carbon source for fermentation.,Đường sản xuất từ tinh bột; nguồn carbon thông dụng cho lên men.
GL-080,Feedstocks,vinasse,dịch hèm (vinasse),,The liquid residue after distilling ethanol.,Phần dịch còn lại sau khi chưng cất cồn.
GL-081,Feedstocks,E10,xăng sinh học E10,,"Petrol with 10% ethanol, mandatory in Vietnam from 1 June 2026.","Xăng pha 10% cồn sinh học, bắt buộc tại Việt Nam từ 1/6/2026."
GL-082,Regulation and institutions,novel food,thực phẩm mới,,"A food without a history of safe use, subject to pre-market assessment in many countries.","Thực phẩm chưa có lịch sử sử dụng an toàn, ở nhiều nước phải được đánh giá trước khi lưu hành."
GL-083,Regulation and institutions,new food ingredient,nguyên liệu thực phẩm mới,,An ingredient without a history of safe use.,Nguyên liệu chưa có lịch sử sử dụng an toàn.
GL-084,Regulation and institutions,self-declaration,tự công bố sản phẩm,,The route by which most Vietnamese food products are placed on the market.,Thủ tục mà phần lớn sản phẩm thực phẩm tại Việt Nam dùng để lưu hành.
GL-085,Regulation and institutions,product declaration registration,đăng ký bản công bố sản phẩm,,The registration route for higher-risk foods such as health supplements.,Thủ tục đăng ký cho nhóm thực phẩm rủi ro cao hơn như thực phẩm bảo vệ sức khỏe.
GL-086,Regulation and institutions,genetically modified organism,sinh vật biến đổi gen,GMO,An organism whose genes have been modified by genetic engineering.,Sinh vật có gen bị thay đổi bằng kỹ thuật di truyền.
GL-087,Regulation and institutions,closed (contained) production,sản xuất trong hệ thống khép kín,,"Use of a GMO in a closed facility with containment, such as a fermentation plant.","Sử dụng sinh vật biến đổi gen trong cơ sở khép kín có kiểm soát, như nhà máy lên men."
GL-088,Regulation and institutions,controlled testing mechanism (sandbox),cơ chế thử nghiệm có kiểm soát (sandbox),,A legal mechanism to test new products or services under supervision.,"Cơ chế pháp lý cho phép thử nghiệm sản phẩm, dịch vụ mới dưới sự giám sát."
GL-089,Regulation and institutions,reliance,công nhận kết quả thẩm định của nước ngoài,,Accepting another regulator's assessment to speed approval.,Chấp nhận kết quả đánh giá của cơ quan quản lý nước khác để rút ngắn thủ tục.
GL-090,Regulation and institutions,recognised assessment unit,đơn vị thẩm định được công nhận,,An expert body designated to assess dossiers for a regulator.,Tổ chức chuyên môn được chỉ định thẩm định hồ sơ cho cơ quan quản lý.
GL-091,Regulation and institutions,allergen,chất gây dị ứng,,A food component that can cause allergic reactions.,Thành phần thực phẩm có thể gây phản ứng dị ứng.
GL-092,Regulation and institutions,labelling,ghi nhãn,,Rules for information on product packaging.,Quy định về thông tin trên bao bì sản phẩm.
GL-093,Regulation and institutions,Food Safety Law,Luật An toàn thực phẩm,,"Vietnam's main food law (2010), being revised in 2026.","Luật chính về thực phẩm của Việt Nam (2010), đang được sửa đổi năm 2026."
GL-094,Regulation and institutions,Law on Animal Husbandry,Luật Chăn nuôi,,The 2018 law governing livestock feed.,Luật năm 2018 điều chỉnh thức ăn chăn nuôi.
GL-095,Regulation and institutions,Law on Fisheries,Luật Thủy sản,,The 2017 law governing aquafeed.,Luật năm 2017 điều chỉnh thức ăn thủy sản.
GL-096,Regulation and institutions,decree / circular / decision / resolution,nghị định / thông tư / quyết định / nghị quyết,,"Government, ministerial, executive and Party or National Assembly instruments.","Văn bản của Chính phủ, của bộ, quyết định hành chính, và nghị quyết của Đảng hoặc Quốc hội."
GL-097,Regulation and institutions,National Assembly,Quốc hội,,Vietnam's legislature.,Cơ quan lập pháp của Việt Nam.
GL-098,Regulation and institutions,Ministry of Agriculture and Environment,Bộ Nông nghiệp và Môi trường,MAE,Formed on 1 March 2025 from MARD and MONRE.,Thành lập ngày 1/3/2025 trên cơ sở hợp nhất Bộ NN&PTNT và Bộ TN&MT.
GL-099,Regulation and institutions,Ministry of Health,Bộ Y tế,MOH,Responsible for food safety.,Phụ trách an toàn thực phẩm.
GL-100,Regulation and institutions,Vietnam Food Administration,Cục An toàn thực phẩm,VFA,The food-safety agency under MOH.,Cơ quan an toàn thực phẩm trực thuộc Bộ Y tế.
GL-101,Regulation and institutions,Ministry of Science and Technology,Bộ Khoa học và Công nghệ,MOST,"Science, standards, high-tech status, IP and sandboxes; absorbed the Ministry of Information and Communications in 2025.","Phụ trách khoa học, tiêu chuẩn, công nghệ cao, sở hữu trí tuệ và thử nghiệm có kiểm soát; hợp nhất với Bộ Thông tin và Truyền thông năm 2025."
GL-102,Regulation and institutions,Ministry of Finance,Bộ Tài chính,MOF,Tax and investment; absorbed the Ministry of Planning and Investment in 2025.,Phụ trách thuế và đầu tư; hợp nhất với Bộ Kế hoạch và Đầu tư năm 2025.
GL-103,Regulation and institutions,Ministry of Industry and Trade,Bộ Công Thương,MOIT,"Industry, trade and electricity tariffs.","Phụ trách công nghiệp, thương mại và giá điện."
GL-104,Regulation and institutions,Department of Livestock Production and Animal Health,Cục Chăn nuôi và Thú y,DLPAH,The MAE department for livestock feed.,Cục thuộc Bộ NN&MT quản lý thức ăn chăn nuôi.
GL-105,Regulation and institutions,Department of Fisheries and Fisheries Surveillance,Cục Thủy sản và Kiểm ngư,DFFI,The MAE department for aquafeed.,Cục thuộc Bộ NN&MT quản lý thức ăn thủy sản.
GL-106,Regulation and institutions,Department of Nature Conservation and Biodiversity,Cục Bảo tồn thiên nhiên và Đa dạng sinh học,,The MAE department for GMO biosafety and genetic resources.,Cục thuộc Bộ NN&MT quản lý an toàn sinh học và nguồn gen.
GL-107,Regulation and institutions,National Institute for Food Control,Viện Kiểm nghiệm an toàn vệ sinh thực phẩm quốc gia,NIFC,MOH's reference food laboratory.,Phòng kiểm nghiệm thực phẩm tham chiếu của Bộ Y tế.
GL-108,Regulation and institutions,Food Industries Research Institute,Viện Công nghiệp Thực phẩm,FIRI,A research institute with a pilot centre and the NACEFA laboratory.,Viện nghiên cứu có trung tâm thử nghiệm và phòng thí nghiệm NACEFA.
GL-109,Regulation and institutions,Vietnam Academy of Science and Technology,Viện Hàn lâm Khoa học và Công nghệ Việt Nam,VAST,The national science academy.,Viện hàn lâm khoa học quốc gia.
GL-110,Regulation and institutions,high-technology project,dự án ứng dụng công nghệ cao,,A project eligible for preferential tax treatment.,Dự án được hưởng ưu đãi thuế.
GL-111,Regulation and institutions,corporate income tax,thuế thu nhập doanh nghiệp,CIT,Tax on company profits.,Thuế đánh trên lợi nhuận doanh nghiệp.
GL-112,Regulation and institutions,not subject to VAT,không chịu thuế giá trị gia tăng,,"The VAT status of animal feed, which prevents input-VAT credit.","Tình trạng thuế GTGT của thức ăn chăn nuôi, khiến doanh nghiệp không được khấu trừ thuế GTGT đầu vào."
GL-113,Places and administration,province,tỉnh,,Vietnam has 28 provinces and 6 centrally governed cities from 1 July 2025.,"Từ 1/7/2025, Việt Nam có 28 tỉnh và 6 thành phố trực thuộc trung ương."
GL-114,Places and administration,centrally governed city,thành phố trực thuộc trung ương,,"Hanoi, Hue, Hai Phong, Da Nang, Ho Chi Minh City and Can Tho.","Hà Nội, Huế, Hải Phòng, Đà Nẵng, TP. Hồ Chí Minh và Cần Thơ."
GL-115,Places and administration,commune / ward,xã / phường,,The lower tier of local government after the district tier was abolished in 2025.,Cấp chính quyền cơ sở sau khi bỏ cấp huyện năm 2025.
GL-116,Places and administration,former (unit),"(tỉnh, thành) cũ",,"Used for pre-merger names, for example Tay Ninh (former Long An).","Dùng cho tên trước sáp nhập, ví dụ Tây Ninh (Long An cũ)."
GL-117,Places and administration,industrial park,khu công nghiệp,,A zone for manufacturing plants with shared infrastructure.,Khu vực dành cho nhà máy sản xuất với hạ tầng dùng chung.
GL-118,Places and administration,hi-tech park,khu công nghệ cao,,For example Saigon Hi-Tech Park and Hoa Lac Hi-Tech Park.,Ví dụ Khu Công nghệ cao TP. Hồ Chí Minh và Khu Công nghệ cao Hòa Lạc.
GL-119,Places and administration,Mekong Delta,Đồng bằng sông Cửu Long,,The southern region where most pangasius and much shrimp are farmed.,"Vùng phía Nam, nơi nuôi phần lớn cá tra và nhiều tôm."
GL-120,Finance,venture capital,vốn đầu tư mạo hiểm,VC,"Equity investment in young, high-growth companies.",Vốn cổ phần đầu tư vào doanh nghiệp trẻ có tiềm năng tăng trưởng cao.
GL-121,Finance,private equity,quỹ đầu tư tư nhân (PE),PE,Equity investment in established companies.,Vốn cổ phần đầu tư vào doanh nghiệp đã hoạt động ổn định.
GL-122,Finance,development finance institution,tổ chức tài chính phát triển,DFI,"A public-backed lender or investor with a development mandate, such as the IFC.","Tổ chức cho vay hoặc đầu tư có vốn công và mục tiêu phát triển, như IFC."
GL-123,Finance,first-loss capital,vốn chịu lỗ trước,,"Capital that absorbs the first losses, to attract other investors.",Phần vốn chịu tổn thất đầu tiên để thu hút nhà đầu tư khác.
GL-124,Finance,capital expenditure,chi phí đầu tư (capex),capex,Money spent on plant and equipment.,Chi phí xây dựng nhà xưởng và mua thiết bị.
GL-125,Finance,operating expenditure,chi phí vận hành (opex),opex,"Running costs: inputs, energy, labour, maintenance.","Chi phí hoạt động: nguyên liệu, năng lượng, nhân công, bảo trì."
GL-126,Finance,trade sale,bán lại cho nhà đầu tư chiến lược,,An exit by selling a company to a strategic buyer.,Thoái vốn bằng cách bán công ty cho nhà đầu tư chiến lược.
GL-127,Finance,fund of funds,quỹ đầu tư vào các quỹ,,A fund that invests in other funds.,Quỹ đầu tư vào các quỹ khác.
GL-128,Terms used in this report,play,hướng đi (cơ hội cụ thể),,"A specific business or programme someone could start, with a product, buyer and partner.","Một mô hình kinh doanh hoặc chương trình cụ thể có thể triển khai, với sản phẩm, người mua và đối tác rõ ràng."
GL-129,Terms used in this report,must be true,điều kiện cần đúng,,The conditions a play needs in order to work.,Các điều kiện cần có để một hướng đi thành công.
GL-130,Terms used in this report,kill test,phép thử để dừng,,An observable result that should stop or redirect a play.,Kết quả quan sát được cho thấy nên dừng hoặc điều chỉnh một hướng đi.
GL-131,Terms used in this report,price to beat,mức giá cần vượt qua,,The price of the incumbent product a new protein must match.,Giá của sản phẩm hiện hữu mà protein mới phải cạnh tranh được.
GL-132,Terms used in this report,signpost,dấu hiệu nhận biết,,An event that shows which scenario is unfolding.,Sự kiện cho thấy kịch bản nào đang diễn ra.
GL-133,Terms used in this report,evidence label,nhãn bằng chứng,,"VN-direct, VN-adjacent or general, attached to each claim.","Nhãn VN-direct (trực tiếp tại Việt Nam), VN-adjacent (tương đồng với nước hoặc loài tương tự) hoặc general (chung) gắn với mỗi nhận định."
GL-134,Terms used in this report,public good,hàng hóa công,,"Something that benefits all actors and that no single firm will pay for, such as shared data or test facilities.","Thứ mang lại lợi ích cho mọi bên mà không doanh nghiệp nào tự chi trả, như dữ liệu dùng chung hay cơ sở thử nghiệm."
GL-135,Futures and foresight (edition 1.1),foresight,nghiên cứu tương lai (foresight),,A structured way of exploring several possible futures in order to make better decisions now; it does not predict one future.,Cách tiếp cận có hệ thống để khám phá nhiều khả năng tương lai khác nhau nhằm ra quyết định tốt hơn ở hiện tại; không nhằm dự đoán một tương lai duy nhất.
GL-136,Futures and foresight (edition 1.1),scenario,kịch bản,,An internally consistent picture of how the future could unfold. Scenarios in this report are not forecasts and carry no probabilities.,Một bức tranh nhất quán về cách tương lai có thể diễn ra. Các kịch bản trong báo cáo không phải là dự báo và không gắn xác suất.
GL-137,Futures and foresight (edition 1.1),critical uncertainty (scenario axis),yếu tố bất định then chốt (trục kịch bản),,A driver that matters a great deal and could go either way; two of them form the axes of the 2050 scenarios.,Yếu tố có tác động lớn và có thể diễn biến theo hai chiều ngược nhau; hai yếu tố như vậy tạo thành hai trục của các kịch bản năm 2050.
GL-138,Futures and foresight (edition 1.1),signpost,dấu hiệu nhận biết (chỉ báo sớm),,An observable event or threshold that shows which scenario is unfolding.,"Sự kiện hoặc ngưỡng có thể quan sát được, cho biết kịch bản nào đang diễn ra."
GL-139,Futures and foresight (edition 1.1),weak signal,tín hiệu sớm (tín hiệu yếu),,"An early development, such as a pilot, paper, patent or draft policy, that may or may not scale.","Một diễn biến ban đầu như dự án thí điểm, bài báo khoa học, bằng sáng chế hay dự thảo chính sách, có thể phát triển hoặc không."
GL-140,Futures and foresight (edition 1.1),wildcard,"sự kiện bất ngờ (ít khả năng, tác động lớn)",,"A low-probability, high-impact event, such as a multi-year fishmeal collapse or a shipping blockade.","Sự kiện ít khả năng xảy ra nhưng tác động lớn, ví dụ nguồn bột cá sụp đổ nhiều năm liền hoặc tuyến hàng hải bị phong tỏa."
GL-141,Futures and foresight (edition 1.1),trend,xu hướng,,"An observed, measured change that we expect to continue.","Thay đổi đã được quan sát, đo lường và dự kiến sẽ tiếp diễn."
GL-142,Futures and foresight (edition 1.1),projection,dự phóng (từ mô hình đã công bố) hoặc mục tiêu chính thức,,"A number from a published model, such as the OECD-FAO outlook, or an official target; the report says which.","Con số từ một mô hình đã công bố, như triển vọng OECD-FAO, hoặc một mục tiêu chính thức; báo cáo nêu rõ là loại nào."
GL-143,Futures and foresight (edition 1.1),normative vision,tầm nhìn mong muốn (mang tính chuẩn tắc),,"A statement of what could be aimed for, as opposed to what is expected; used only in chapter 19.","Tuyên bố về điều có thể hướng tới, khác với điều được dự kiến sẽ xảy ra; chỉ dùng trong chương 19."
GL-144,Futures and foresight (edition 1.1),backcasting,hoạch định ngược,,Working back from a desired future to the milestones and actions needed to reach it.,Đi ngược từ tương lai mong muốn về hiện tại để xác định các mốc và hành động cần thiết.
GL-145,Futures and foresight (edition 1.1),no-regret move,biện pháp không hối tiếc,,An action that pays off in every scenario.,Hành động mang lại lợi ích trong mọi kịch bản.
GL-146,Futures and foresight (edition 1.1),stress test,kiểm tra sức chịu đựng (stress test),,"Scoring a plan, play or move in each scenario to see where it holds and where it fails.","Chấm điểm một kế hoạch, hướng đi hay biện pháp trong từng kịch bản để xem nó đứng vững hay thất bại ở đâu."
GL-147,Futures and foresight (edition 1.1),horizon year,năm mốc,,"The year a forward-looking number refers to, for example 2030, 2040 or 2050.","Năm mà một con số hướng tới tương lai đề cập, ví dụ 2030, 2040 hoặc 2050."
