record_id,name,type,owner,location_current,location_former,capabilities,scale,food_grade,accreditation,access_model,url,source_ids,evidence_label,confidence,notes,province_current,province_former
PL-011,ShrimpVet Laboratory,contract aquafeed and shrimp trial lab,Private (Vietnamese),Ho Chi Minh City (exact site not verified),not verified,"Shrimp challenge and feed-additive trials; example: yeast additive trial with Vibrio challenge (+42.86% survival vs control, company-reported)",not published,n/a,not verified,Contract trials for feed and additive companies,https://shrimpvet.com,INF-20; ECO-70 (wave 1),VN-direct,Low,shrimpvet.com failed TLS verification on 2026-09-23. Location and tank capacity from wave-1 trade press only,Ho Chi Minh City,
PL-012,Eurofins Sac Ky Hai Dang,testing lab,Eurofins Scientific (JV formed May 2015),Ho Chi Minh City,Ho Chi Minh City,"Nutrition (proximate), mycotoxins, heavy metals, microbiology, pesticide and veterinary drug residues; agricultural field trials and product registration support; sister units for consumer goods, environment (ETM) and certification (Eurofins Assurance)",n/a,n/a,Site states international certifications and ministry designations; VILAS number not shown,"Fee-for-service (VN_CS@eurofinsasia.com, +84 28 7107 7879)",https://www.eurofins.vn,INF-11; INF-12,VN-direct,Medium,"Amino acid profile, allergens and GMO not listed on the pages read; Eurofins group runs them abroad, so samples may be routed overseas. Confirm locally",Ho Chi Minh City,Ho Chi Minh City
PL-013,"QUATEST 3 (Centre for Technical Standards, Metrology and Quality 3)",testing and certification body,"National Standards, Metrology and Quality body (Ministry of Science and Technology)","Ho Chi Minh City (Sai Gon ward, 49 Pasteur); new branch Dong Nai (Tran Bien ward, 31 Vo Thi Sau) opened 14 Sep 2026",Ho Chi Minh City (District 1); Dong Nai (Bien Hoa city),"Testing of agricultural products, food, chemicals; product and management-system certification; calibration; proficiency testing; training",n/a,n/a,VILAS number not shown on homepage,Fee-for-service,https://www.quatest3.com.vn,INF-13,VN-direct,Medium,QUATEST 1 (Hanoi) and QUATEST 2 (Da Nang) not read,Ho Chi Minh City; Dong Nai,Ho Chi Minh City; Dong Nai
PL-014,CASE - Center of Analytical Services and Experimentation HCMC,testing lab,HCMC Department of Science and Technology (public),Ho Chi Minh City (Tan Dinh ward area; 02 Nguyen Van Thu); offices in Can Tho and a Central office (Khanh Hoa area code 0258),"Ho Chi Minh City (District 1, Da Kao ward)","Food testing (aquatic products, agricultural goods, beverages), biochemical analysis, metals, dioxins, melamine, heavy metals, composition identification",n/a,n/a,not shown on homepage,Fee-for-service (casehcm@case.vn),https://www.case.vn,INF-14,VN-direct,Medium,Founded 18 Feb 1985. Post-2025 ward for 02 Nguyen Van Thu assumed Tan Dinh; verify. Parent body from agent knowledge,Ho Chi Minh City; Can Tho,
PL-015,"Aquatic Products Trial, Testing and Inspection Centre (national) - Trung tam Khao nghiem, Kiem nghiem, Kiem dinh thuy san",aquafeed trial and testing centre,"Department of Fisheries and Fisheries Control (Cuc Thuy san va Kiem ngu), MAE",Hanoi (HQ); Region I sub-centre in Can Tho; Region II sub-centre in Ho Chi Minh City,"Hanoi; Can Tho (former Can Tho city, now merged with Hau Giang and Soc Trang); HCMC","Trials (khao nghiem) of aquaculture seed, aquafeed, environmental treatment products, drugs and chemicals; testing; certification; conformity assessment services to state and to clients",n/a,n/a,not stated,"Services to external clients (conformity assessment, testing, certification)",https://thuvienphapluat.vn/van-ban/Bo-may-hanh-chinh/Quyet-dinh-1109-QD-BNNMT-2025-chuc-nang-Trung-tam-Khao-nghiem-Kiem-dinh-thuy-san-654760.aspx,INF-28; INF-19,VN-direct,High,Decision 1109/QD-BNNMT of 25 Apr 2025 replaced Decision 215 of 2024. The Can Tho sub-centre is the natural public entry point for pangasius and shrimp feed trials in the Mekong,Ha Noi; Can Tho; Ho Chi Minh City,Ha Noi; Can Tho (city); Ho Chi Minh City
PL-016,Saigon Hi-Tech Park (SHTP),hi-tech park,HCMC People's Committee (SHTP Management Board),Ho Chi Minh City (Tang Nhon Phu ward and neighbouring wards),Ho Chi Minh City (former Thu Duc City / District 9),"913 ha; 165 projects; USD 14.08 bn registered; encouraged sectors include biotechnology for agriculture, health and environment; hosts SHTP Labs, SHTP-IC incubator, Training Centre; Biotech Center is off-site in Trung My Tay ward",913 ha,n/a,n/a,Land lease for high-tech projects; incubation; lab services,https://shtp.hochiminhcity.gov.vn,INF-06; IND-57; IND-58,VN-direct,High,Best-documented southern location for a food-biotech R&D or pilot site,Ho Chi Minh City,Ho Chi Minh City
PL-017,Hoa Lac Hi-Tech Park,hi-tech park,Hanoi Management Board for Hi-Tech Parks and Industrial Zones (Ban Quan ly cac Khu cong nghe cao va Khu cong nghiep),"Hanoi (park in the former Thach That / Quoc Oai area west of Hanoi; board office at 4 Vu Trong Khanh, Ha Dong ward)",Hanoi (Thach That district; board office in Ha Dong district),"Zones: R&D 263.15 ha; high-tech industry 391.01 ha; software 55.93 ha; mixed 80.14 ha; central 43.14 ha; housing 75.50 ha; recreation 32.92 ha; education zone (area not stated). Tenants named: Viettel, FPT University, VinSmart, Nidec, Nissan Techno. Has an incubation and training centre",listed zones sum to 941.79 ha excluding the education zone,n/a,n/a,Land lease; incubation,https://hhtp.gov.vn/vi/zone.html,INF-08; INF-25,VN-direct,Medium,"No biotech or food tenant named on pages read. Managing body now under Hanoi (was under MOST); transfer date not verified. Commonly cited total area about 1,586 ha is agent knowledge, not verified. Exact post-2025 commune name of the park not verified",Ha Noi,Ha Noi
PL-018,Da Nang Hi-Tech Park,hi-tech park,Da Nang Hi-Tech Park and Industrial Zones Authority,Da Nang (north-west of city; commune not verified),Da Nang (Hoa Vang / Lien Chieu area),not verified,not verified,n/a,n/a,Land lease,https://dhpiza.danang.gov.vn,INF-29,VN-direct,Low,Official site failed DNS on 2026-09-23. Kept as a placeholder only,Da Nang,Da Nang (city)
PL-019,Quang Ninh Hi-Tech Agriculture Zone,hi-tech agriculture zone,Quang Ninh Provincial People's Committee,Quang Ninh,Quang Ninh (unchanged),Established by Prime Minister Decision 2263/QD-TTg (31 Dec 2021),not read,n/a,n/a,Land lease and incentives,https://thuvienphapluat.vn/van-ban/Bo-may-hanh-chinh/Quyet-dinh-2263-QD-TTg-2021-thanh-lap-Khu-nong-nghiep-ung-dung-cong-nghe-cao-Quang-Ninh-499361.aspx,INF-22,VN-direct,Medium,Existence from decision title; area and focus not read,Quang Ninh,Quang Ninh
PL-020,Thai Nguyen Hi-Tech Agriculture Zone,hi-tech agriculture zone,Thai Nguyen Provincial People's Committee,Thai Nguyen,Thai Nguyen (merged 2025 with Bac Kan),Established with operating rules by Prime Minister Decision 70/QD-TTg (15 Jan 2021),not read,n/a,n/a,Land lease and incentives,https://thuvienphapluat.vn/van-ban/Linh-vuc-khac/Quyet-dinh-70-QD-TTg-2021-Quy-che-hoat-dong-Khu-nong-nghiep-ung-dung-cong-nghe-cao-Thai-Nguyen-462874.aspx,INF-22,VN-direct,Medium,Existence from decision title; area and focus not read,Thai Nguyen,Thai Nguyen
PL-021,"Binh Phuoc hi-tech agriculture zones (5 established 2019, 2 added 2020)",hi-tech agriculture zone (provincial),Dong Nai Provincial People's Committee (inherited from Binh Phuoc),Dong Nai,Binh Phuoc,"Provincial resolutions 24/NQ-HDND (2019, five zones) and 20/NQ-HDND (2020, two more)",not read,n/a,n/a,Land lease,https://thuvienphapluat.vn/van-ban/Cong-nghe-thong-tin/Nghi-quyet-24-NQ-HDND-2019-thanh-lap-05-Khu-Nong-nghiep-ung-dung-cong-nghe-cao-Binh-Phuoc-435364.aspx,INF-22,VN-direct,Medium,Provincially established zones; status after the 2025 merger not verified. Near cassava and cashew feedstock,Dong Nai,Binh Phuoc
PL-022,Lam Dong Hi-Tech Agriculture Zone (proposal),hi-tech agriculture zone (proposed),Lam Dong Provincial People's Committee,Lam Dong,Lam Dong (merged 2025 with Dak Nong and Binh Thuan),Proposal approved by provincial council Resolution 35/NQ-HDND (8 Dec 2016); establishment status not verified,not read,n/a,n/a,n/a,https://thuvienphapluat.vn/van-ban/Linh-vuc-khac/Nghi-quyet-35-NQ-HDND-2016-De-an-thanh-lap-Khu-Nong-nghiep-ung-dung-cong-nghe-cao-Lam-Dong-366370.aspx,INF-22,VN-direct,Low,"Also: Dak Nong provincial coordination rules for hi-tech agriculture zones (QD 33/2023) and a Binh Thuan hi-tech agriculture area proposal (QD 2059/2018), both now inside Lam Dong",Lam Dong,Lam Dong
PL-023,Phu Yen Hi-Tech Agriculture Zone,hi-tech agriculture zone,Dak Lak Provincial People's Committee (inherited from Phu Yen),Dak Lak,Phu Yen,Investment procedures published by Decision 1734/QD-UBND (5 Jun 2026) of Dak Lak Department of Finance,not read,n/a,n/a,Investment procedure published 2026,https://thuvienphapluat.vn/van-ban/Dau-tu/Quyet-dinh-1734-QD-UBND-2026-cong-bo-thu-tuc-hanh-chinh-Dau-tu-tai-Viet-Nam-So-Tai-chinh-Dak-Lak-709456.aspx,INF-22,VN-direct,Low,Zone name inferred from search listing summary; verify,Dak Lak,Phu Yen
PL-024,North-Central Hi-Tech Forestry Zone,hi-tech forestry zone,MAE / province (not read),Nghe An (probable; not verified),not verified,Established by Decision 509/QD-TTg (31 Mar 2021); construction master plan to 2045 by Decision 746/QD-TTg (10 Apr 2025),not read,n/a,n/a,n/a,https://thuvienphapluat.vn/van-ban/Tai-nguyen-Moi-truong/Quyet-dinh-509-QD-TTg-2021-thanh-lap-Khu-lam-nghiep-ung-dung-cong-nghe-cao-vung-Bac-Trung-Bo-469528.aspx,INF-22,VN-direct,Low,Forestry focus; low relevance except for mushroom/mycelium on wood side streams,,
PL-025,Can Tho University - College of Aquaculture and Fisheries (wet labs) and Institute of Food and Biotechnology,university lab and wet-lab trial facility,Can Tho University (MOET),Can Tho,Can Tho (former Can Tho city),"Fish and shrimp nutrition and digestibility trials; alternative aquafeed proteins (SPC, SBM, brewer's yeast, seaweed, BSF); duckweed germplasm",tank scale (sizes not published),n/a,not verified,Research collaboration and contract trials (terms not published),https://caf.ctu.edu.vn,RD-01; RD-10; RD-47 (wave 1),VN-direct,High,Strongest publisher on aquafeed alternative proteins (wave 1). Not re-fetched in wave 2,Can Tho,Can Tho (city)
PL-026,Nha Trang University - Faculty of Food Technology and Institute of Aquaculture,university lab,Nha Trang University (MOET),Khanh Hoa (Nha Trang),Khanh Hoa (merged 2025 with Ninh Thuan),"Fish side-stream protein (pH-shift), hydrolysates, marine fish nutrition trials, live-feed microalgae",lab and tank scale,n/a,not verified,Research collaboration,https://ntu.edu.vn,RD-01; RD-46 (wave 1),VN-direct,Medium,Near RIA3 and Pasteur Institute Nha Trang,Khanh Hoa,Khanh Hoa
PL-027,Hanoi University of Science and Technology - food technology and biotechnology groups,university lab,HUST (MOET),Hanoi,Hanoi,"Protein extraction and characterisation (SDS-PAGE, DSC, in vitro digestibility reported 2025); enzymatic hydrolysis; yeast fermentation",lab scale; pilot fermenters or extruders not verified,n/a,not verified,Research collaboration,https://hust.edu.vn,RD-01; RD-23 (wave 1),VN-direct,Medium,Only VN group found reporting in vitro protein digestibility on a side-stream protein. Unit renamed in restructuring; admissions site timed out in wave 2,Ha Noi,Ha Noi
PL-028,"Institute of Biotechnology (IBT), Vietnam Academy of Science and Technology",research institute,VAST,Hanoi,Hanoi,"Microalgae strain collection and cultivation (Spirulina, Schizochytrium); Pichia and A. niger expression; enzymes",lab and small pilot (not verified),n/a,not verified,Research collaboration,https://ibt.ac.vn,RD-01; RD-21 (wave 1),VN-direct,Medium,"A National Key Laboratory of Gene Technology is reported at IBT (agent knowledge, unverified)",Ha Noi,Ha Noi
PL-029,Vietnam National University of Agriculture (VNUA),university lab,VNUA (MAE),Hanoi (Gia Lam area),Hanoi (Gia Lam district),Mushroom strain and cultivation research; Spirulina; fish and poultry feeding trials; food science faculty,lab and farm scale,n/a,not verified,Research collaboration,https://vnua.edu.vn,RD-01; RD-20 (wave 1),VN-direct,High,"8,284 admission quota in 2026 (INF-21)",Ha Noi,Ha Noi
PL-030,Nong Lam University HCMC,university lab,Nong Lam University (MOET),Ho Chi Minh City (Linh Trung / Thu Duc area),Ho Chi Minh City (Thu Duc City),"Food science, fisheries and animal science faculties; capabilities not verified",not verified,n/a,not verified,Research collaboration,https://hcmuaf.edu.vn,RD-01 (wave 1),VN-direct,Low,Admissions site failed or showed no quotas in wave 2,Ho Chi Minh City,Ho Chi Minh City
PL-031,Pasteur Institutes (Ho Chi Minh City; Nha Trang),research institute (MOH),Ministry of Health,Ho Chi Minh City; Khanh Hoa (Nha Trang),Ho Chi Minh City; Khanh Hoa,"Virology, microbiology, cell culture and biosafety labs; food microbiology testing not verified",n/a,n/a,not verified,Fee-for-service testing (scope not verified),not verified,RD-01 (wave 1),VN-direct,Low,Not fetched in wave 2,Ho Chi Minh City; Khanh Hoa,Ho Chi Minh City; Khanh Hoa
PL-032,SGS Vietnam,testing lab (multinational),SGS SA,not verified (HCMC and Hanoi expected),not verified,Food and agriculture testing in Vietnam since 1989 (scope not listed on page read),n/a,n/a,not shown,Fee-for-service,https://www.sgs.com/vi-vn,INF-26,VN-direct,Low,"Intertek, Bureau Veritas, Vinacontrol and Warrantek not verified in wave 2 (Warrantek site failed DNS)",,
