dg_id,topic,claim_a,claim_b,position_taken,from_note,notes
DG-045,TH true NUT as plant-based,Sold in the plant-milk aisle,"Contains fresh cow's milk (ECO-40, ECO-45)",Classify as hybrid.,wave1/ecosystem/ecosystem.md,
DG-046,Status of Decree 15/2018,"thuvienphapluat compendium page lists it as ""expired 16/4/2026"" (REG-17, via extraction)","Resolution 15/2026/NQ-CP says Decree 15/2018 ""continues to have effect"" until the new law and decree (REG-06, government press)",Decree 15/2018 applies. Government resolution text beats a database status tag.,wave1/regulation/regulation.md,
DG-047,Status of Resolution 66.13/2026,"thuvienphapluat page extraction: ""in effect"" until replaced, no later than 28 Feb 2027 (REG-07)",Resolution 15/2026 suspends it with Decree 46/2026 (REG-06; Nhân Dân headline),Suspended.,wave1/regulation/regulation.md,
DG-048,Decree 46/2026: replace or amend Decree 15/2018,"Several sources say ""replaces"" (REG-03, REG-04)","thuvienphapluat title fragment says ""sửa đổi"" (amends)",Designed as a replacement. Moot while suspended.,wave1/regulation/regulation.md,
DG-049,GMO certificate timelines,USDA: 45 working days (5-country route) and 90 (standard) (REG-19),thuvienphapluat Q&A: 5 + 17 + 5 = 27 and 5 + 67 + 5 = 77 working days of agency steps (REG-23),Both may be right: the USDA figure likely includes the 20-day public comment. Use 27/77 for agency steps and about 45/90 end to end.,wave1/regulation/regulation.md,
DG-050,Refined GM products excluded,"USDA and ISAAA: explicitly excluded (REG-19, REG-20)",Decree text extraction: no explicit exclusion visible (REG-18),"Excluded in effect, through the definition (no GM DNA or protein). Precision-fermented proteins are not excluded.",wave1/regulation/regulation.md,
DG-051,Feed trial article and duration,Prior lead: Decree 13/2020 Art 11 requires a trial; 12 to 18 months,"Art 11 is factory assessment; trials are Law Art 37 and Circular 94/2025 Ch. III; agency time about 40 working days, trial length case by case",Prior lead wrong on the article. Duration undocumented; our estimate is 6 to 18 months.,wave1/regulation/regulation.md,
DG-052,"Feed ""5 working days"" recognition",Decree 32/2026 extraction mentions 5 working days for recognition under Art 31 (REG-35),"Art 31 of Decree 13/2020 covers livestock waste-treatment products, not feed",The 5-day figure is not a feed figure. Use Circular 94/2025 (15 + 5).,wave1/regulation/regulation.md,
DG-053,Decree 182/2024 thresholds,"Prior lead: VND 12,000 bn / 20,000 bn; 3,000 bn R&D","Primary text: same, plus 1,000 bn within 3 years for R&D, and a semiconductor/AI tier",Confirmed.,wave1/regulation/regulation.md,
DG-054,Carbon inventory scope,Decree 119/2025 extraction: agriculture and food processing not in mandatory inventory,Background: inventory facility lists (Decision 13/2024/QĐ-TTg) may include some large facilities across sectors,"Unresolved. Pilot quotas are clearly limited to power, steel and cement.",wave1/regulation/regulation.md,
DG-055,ISAAA authority name,ISAAA says MARD handles notifications,MARD no longer exists; MAE since 1 Mar 2025,MAE.,wave1/regulation/regulation.md,
DG-056,"Vietnamese studies on RNA reduction, mycotoxin testing and amino-acid digestibility","Prior drafts (RD-13): ""No Vietnamese study has reported RNA reduction protocols, mycotoxin testing or amino acid digestibility""","HUST 2018 nucleic acid reduction in spent-yeast hydrolysate (RD-31); aflatoxin in 38 *tương* samples, 2025 (RD-61); in vitro digestibility of rice DDG protein 77.1%, 2025 (RD-23)","Prior claim is too strong. Correct version: such methods exist in Vietnam for yeast, traditional soy and rice DDG, but not for any novel fungal or bacterial biomass, and no DIAAS/PDCAAS study was found",wave1/rnd/m6-rnd-capacity.md,
DG-057,Number of Vietnamese fishmeal-replacement papers (Scite affiliation filter vs term search),Scite affiliation filter: 3 Vietnamese fishmeal-replacement papers,Term search: at least 10 Vietnamese fishmeal/SBM replacement papers,"Use the higher, manually screened count, and label all counts as lower bounds. The affiliation metadata is incomplete",wave1/rnd/m6-rnd-capacity.md,Same or related disagreement: DG-140.
DG-058,Outcome of the FiBL duckweed project with Binca Seafoods,"Prior lead: FiBL duckweed project with Binca Seafoods (2019), ""outcome unpublished""","Scite: 9 Stadtlander duckweed records, none from Vietnam (RD-59)",Consistent. The outcome is still unpublished in indexed literature. Ask FiBL directly,wave1/rnd/m6-rnd-capacity.md,
DG-059,Southeast Asian grantees on the GFI grants page,GFI grants page shows no Southeast Asian grantee (RD-03),The page may be paginated or filtered,"""No Vietnam grantee found"" is held at Medium confidence, not High",wave1/rnd/m6-rnd-capacity.md,
DG-060,Effective date of Law 93/2025/QH15,Law 93/2025/QH15 effective date: not shown on the fetched page (RD-08),Widely reported as 1 October 2025 (agent knowledge),Record the issue date (27 June 2025) as verified and the effective date as unverified,wave1/rnd/m6-rnd-capacity.md,
DG-061,FIRI Pichia enzyme-expression capability,Prior lead: FIRI does Pichia enzyme expression,FIRI site confirms an Enzyme and Protein Technology department but not Pichia work. Pichia outputs found are from VNU-HCM US and IBT VAST,Treat FIRI Pichia capability as unconfirmed,wave1/rnd/m6-rnd-capacity.md,
DG-062,Entobel total raised,"~USD 36M (prior lead, no source)","USD 33M Series B (Entobel, CAP-08); USD 32.5M project cost (IFC via EWS, CAP-04); USD 30M (Mekong/The Investor, CAP-01, CAP-02)",USD 32.5M to 33M = USD 30M (Mekong + Dragon) + USD 2.5M (IFC). Earlier rounds undisclosed. Reject USD 36M.,wave1/capital/capital.md,"Same or related disagreement: DG-037, DG-063."
DG-063,IFC ticket in Entobel,"~USD 10M (Petfood Industry, CAP-07); USD 10M equity proposed (IFC 45769, CAP-03)","USD 2.5M (IFC 46903, CAP-04)","USD 2.5M. The USD 10M proposal (January 2022) predates the final round, and the company's USD 33M total leaves room for only about USD 3M from IFC.",wave1/capital/capital.md,"Same or related disagreement: DG-062, DG-037."
DG-064,Vietnam VC deal count 2024,"118 (2025 report, CAP-20)","122 (2026 report, per TNGlobal, CAP-22)",Use 122 (later revision); totals unchanged at USD 398M.,wave1/capital/capital.md,
DG-065,Climate tech VC 2024,"USD 23M in 10 deals (Do Ventures, CAP-20)","~USD 98M to 100M in 55 deals (CT-FE 2025, CAP-25, CAP-26)",Definitional. CT-FE counts Techcoop (USD 70M including debt) as climate; Do Ventures counts it as agriculture. Always name the source.,wave1/capital/capital.md,
DG-066,Techcoop year,Announced 28 February 2025 (CAP-19),Counted in 2024 data (CAP-20),Probably closed in late 2024 and announced in 2025. Year-on-year agritech swings (USD 74M to USD 1M) reflect this one deal.,wave1/capital/capital.md,
DG-067,GFI H1 2026 total,"USD 359M (CAP-51, first sentence)","USD 197M ""in H1 2026"" (CAP-51, later sentence)",H1 = USD 359M; USD 197M is almost certainly Q2 2026 (the Q2 pillar figures add up to USD 198M).,wave1/capital/capital.md,
DG-068,Coefficient Giving RFP size,"""up to $10 million"" (fund page, CAP-56)","""up to $30 million across two rounds"" (RFP page, CAP-57)",USD 30M (the RFP page is specific and was updated when Round 2 was added in July 2026).,wave1/capital/capital.md,
DG-069,Shiok Meats round,"""Series B ~USD 18M"" (VN press, CAP-16, CAP-17)",not checked against primary,Unresolved; Low confidence.,wave1/capital/capital.md,
DG-070,Vietnam VC 2026 YTD,"USD 13.7M to March (Tracxn, CAP-27)",">USD 273.78M (StartupBlink via blog, CAP-28)",No position. Wait for the NIC/Do Ventures mid-year data.,wave1/capital/capital.md,
DG-071,Aleph Farms Singapore approval date,"22 Jul 2026 (SFA list, RGN-04)","4 Aug 2026 (press, RGN-29, RGN-30, RGN-31)",SFA date is the approval; 4 Aug is the announcement,wave1/regional/regional.md,
DG-072,Aleph Farms Thailand filing,"5 Dec 2024 (company release, RGN-32)","2025 (GFI India, RGN-17)",Company release,wave1/regional/regional.md,
DG-073,Malaysia framework,"No novel food framework, score 0 (Hawkwood, RGN-01)","Novel food provision exists (Reg. 3A, GFI State of Play, RGN-19)","A general provision exists, but there is no fermentation or cultivated guidance. Hawkwood's 0 overstates the gap. Not verified at source (FSQD site unreachable)",wave1/regional/regional.md,
DG-074,Solein category,"""Precision fermentation"" (Green Queen, RGN-06)","Bacterial protein powder from *Xanthobacter* (SFA, RGN-04)",Biomass (gas fermentation),wave1/regional/regional.md,
DG-075,Vietnam protein-ingredient import tonnage,"2,421 t (3504) and 5,763 t (2106.10) in 2023, Vietnam-reported via WITS","China alone shipped 10,028 t (3504) and 7,957 t (2106.10) to Vietnam in 2023","Vietnam weights are WITS estimates (uniform unit value). Use China's mirror for tonnage. Values also differ (VN USD 10.1 M vs CN USD 16.3 M for 3504 from China); cause unknown (classification, valuation, timing)",wave1/regional/regional.md,Same or related disagreement: DG-098.
DG-076,Hawkwood cost structure,Representative model: feedstock 10% (biomass) and 18% (PF) of cost,Text: feedstock ~35-65% (biomass) and ~30-45% (PF) across other TEAs,"Both printed in the same report. For Vietnam, the point stands either way: labour and utilities are a minor share",wave1/regional/regional.md,
DG-077,Angel Yeast expansion,"20,000 t planned (GFI China report, RGN-24)","30,000+ t (GFI article, RGN-25)",Unresolved; record both,wave1/regional/regional.md,
DG-078,Vow ANZ approval,7 Apr 2025 (RGN-18),June 2025 (RGN-20),Approval by FSANZ in April; in force about June,wave1/regional/regional.md,
DG-079,Singapore funding,"S$144 M (2019 programme, RGN-22)","S$165 M ""Food Story 2.0"" (RGN-19); S$42 M for 11 projects (RGN-09)","Different programmes and calls, not a conflict; do not add them",wave1/regional/regional.md,
DG-080,China's share of world fermentation capacity,"""70%"" (widely repeated)","GFI China report author: source ""hard to locate and verify"" (RGN-24)",Do not use the 70% figure,wave1/regional/regional.md,
DG-081,Hawkwood scores for other countries,"First machine read: Indonesia sugar 100, Australia sugar 0","Verbatim Figure 18 read: Indonesia 14, Australia 60",Verbatim read used; it matches the text (Australia 'strong sugar'; Indonesia a large importer),wave1/regional/regional.md,
DG-082,Vietnam sugar in Hawkwood,"Imports 110 kt, exports 0; ""region's highest sugar yield per hectare"" 2024",Not cross-checked against USDA Vietnam Sugar Annual,Treat as unverified; feedstock agent to check,wave1/regional/regional.md,
DG-083,Minimum wage 2026,Prior lead: 4.96 M VND (Region I),Decree 293/2025: 5.31 M VND from 1 Jan 2026,Use 5.31 M. 4.96 M was the 2024 to 2025 level.,wave1/costs/costs.md,
DG-084,"Fishmeal price, Nov 2025","Prior lead: USD 1,600/t (unsourced)","World Bank Peru 65% CIF: USD 1,794/t",Use the World Bank figure for 65% CIF. The lead may be a lower-grade or domestic price; unverified.,wave1/costs/costs.md,"Same or related disagreement: DG-115, DG-116, DG-126, DG-127."
DG-085,Blended 22 kV EVN price,"Consultancy example: about 2,128 VND/kWh","My calculation from the tariff and the April 2026 windows: 1,952 VND/kWh for 24/7 load","Both can be right for different load profiles (the consultancy may assume more peak-hour use). For continuous plants use 1,952. The claimed DPPA saving shrinks if the baseline is 1,952.",wave1/costs/costs.md,
DG-086,"World urea, March 2026",CafeF: USD 674/t,World Bank series: USD 726/t,Different series and origins. Record both; the direction (a sharp rise) agrees.,wave1/costs/costs.md,
DG-087,Capex per m3 of fermentation,"Vlaeminck: about USD 51,000/m3","Risner: about USD 350,000/m3","Not averaged. They reflect different designs, grades and estimation methods. Use equipment-level estimates.",wave1/costs/costs.md,
DG-088,"Cooling ""offsets"" the power advantage (prior draft)",Prior draft implied a large offset,"My estimate: USD 70 to 180/t, about 2 to 4% of feed-SCP cost","Partly true, but the offset is modest and avoidable with thermotolerant strains.",wave1/costs/costs.md,
DG-089,Comtrade unit values for protein ingredients,2.52 to 9.16 USD/kg,Identical unit values across all partners suggest imputed quantities,Values are usable; unit values are Low confidence.,wave1/costs/costs.md,Same or related disagreement: DG-119.
DG-090,CJ acquisition of Cầu Tre,Collector notes: CJ bought Cầu Tre in 2006 (FORM-01),Analyst recollection: CJ CheilJedang took a majority stake in 2016,Unresolved. Lean to 2016 (Low). Not verified this wave; web search budget exhausted.,wave1/formulation/formulation.md,
DG-091,Ông Chà Và / NOSA canned soy meat origin,"Nha Trang OSINT: made in China, imported (FORM-01)",HCMC log row: Vietnam (local) (FORM-01),"Unresolved. Brand owner may be Vietnamese with contract manufacture in China. Check ""Xuất xứ"" on the can.",wave1/formulation/formulation.md,
DG-092,137 Degrees origin,Nha Trang rows: Vietnam (local),HCMC rows: imported; brand site is Simple Foods (believed Thailand) (FORM-38),"Imported (Thailand), Medium-Low.",wave1/formulation/formulation.md,
DG-093,Veyo ownership,One log row: Nutifood,QNS site lists VEYO as its nut-milk brand (FORM-33),"Vinasoy/QNS, High.",wave1/formulation/formulation.md,
DG-094,An Nhiên dried-slice prices,"Field log online reference: VND 49,000/150 g","AEON eShop 23 Sep 2026: VND 60,000 to 65,000/150 g (FORM-19)","Both recorded. Calculations use the field value; with AEON prices, price per 100 g protein is 22 to 33% higher (still the cheapest non-tofu protein).",wave1/formulation/formulation.md,
DG-095,An Nhiên gà viên chay recipe,"Label: soy protein concentrate, from Serbia (FORM-01)","Retailer listing: SPI, corn starch, wheat fiber, soybean oil (FORM-18)",Prefer the photographed label; listing may be an older or different recipe.,wave1/formulation/formulation.md,
DG-096,Vissan bò nấu đậu chay,"Nha Trang (brand site): vegan beef slices 55%, white beans 17%","HCMC label photo: slices 30%, beans 20%","Prefer the HCMC label (primary, current). Possible reformulation.",wave1/formulation/formulation.md,
DG-097,Cầu Tre chả giò bánh rế chay đặc biệt,Nha Trang listing: contains tàu hũ ky,"CJ site 2026: mung bean only, no tofu skin (FORM-22)",Prefer CJ site as current; possible reformulation away from soy.,wave1/formulation/formulation.md,
DG-098,"HS 2106.10 China to Vietnam, 2023 tonnage","Vietnam-reported 1,551 t (FORM-02)","China-reported 7,957 t (FORM-05)",China figure. Vietnam-side quantities are imputed (uniform unit value). Values agree more closely (USD 9.1 million vs 12.6 million).,wave1/formulation/formulation.md,Same or related disagreement: DG-075.
DG-099,Wheat gluten imports 2023,"Vietnam-reported 12,337 t total, 7,314 t from China (FORM-03)","China-reported 10,338 t to Vietnam (FORM-07)","China figure for China tonnage; total imports are probably above 12,000 t.",wave1/formulation/formulation.md,
DG-100,Soybean imports,Prior lead: about 3.2 Mt,"USDA GAIN VM2025-0011: 2.5 Mt MY2024/25, 2.8 Mt MY2025/26 (FORM-09)",Not averaged. Different marketing years and report editions; GAIN VM2025-0011 used here. Macro agent should reconcile.,wave1/formulation/formulation.md,
DG-101,Thoại An đậu hũ hải sản chay 500 g price,"Co.opmart Nha Trang: VND 71,500","Co.opmart Nguyễn Kiệm: VND 43,700",One read is probably wrong; the HCMC tag is a clear read.,wave1/formulation/formulation.md,
DG-102,Same-SKU price spread across stores,"bibigo Healthy Mandu Chay 300 g: VND 43,000 (promotion) to 56,700; Vissan chả giò chay: VND 44,900 to 60,000",n/a,Real price variation plus low-confidence reads. Do not use single-store prices as market prices.,wave1/formulation/formulation.md,
DG-103,Chay cheaper than meat,Field notes: 17 to 38% cheaper,This analysis: only the Vissan pair (-38%) is high confidence; others -52% to +19% on low-confidence reads,Directionally supported for spring rolls; not established across categories.,wave1/formulation/formulation.md,
DG-104,Growth-factor share of media cost,"Up to 95% of serum-free medium cost (SCI-15, current prices)","USD 3 to 4/kg wet cells at 100 kt/yr (SCI-14, scaled prices)",Both valid; report both with their price assumptions.,wave2/science/science.md,
DG-105,Karimi A. oryzae biomass,118.5 g DM/L as printed (SCI-18),Mass balance on 21 g/L COD,Treat as per litre of undiluted vinasse (about 5.9 g/L broth).,wave2/science/science.md,
DG-106,Karimi medium COD,21 g/L stated for 5% vinasse,835 g/L x 5% = 42 g/L,Internal inconsistency in the paper; unresolved.,wave2/science/science.md,
DG-107,Mycoprotein RNA target,"""about 2%"" of DW (SCI-20)","""less than 1% to be considered safe"" (SCI-21)",Use SCI-20 (primary study text); SCI-21 is a secondary review.,wave2/science/science.md,
DG-108,Wolffia EU status,"Safety not established, 2021 (SCI-28)","Authorised by Reg. (EU) 2022/2223 (SCI-31, review)",Unresolved; check EUR-Lex / Union list.,wave2/science/science.md,
DG-109,Duckweed productivity,~30 t DM/ha/yr average (SCI-36),up to 100 t DM/ha/yr (SCI-37),Use 10 to 30 for planning; 100 is an extrapolated ceiling.,wave2/science/science.md,
DG-110,Mung bean protein quality,Pig DIAAS 86 (older pattern) (SCI-41),Human ileal digestibility about 20% lower than pigs (SCI-42),Prefer human data for food claims.,wave2/science/science.md,
DG-111,Who issues the closed-production GMO certificate,"Decree 43/2026 Art 37a: MAE issues, re-issues, revokes (REG2-11)",Decision 375/QĐ-BNNMT extract places the procedure in a provincial-level section (REG2-12),"MAE, per the decree. The listing may reflect delegation or an extraction error. Ask MAE",wave2/regulation2/regulation2.md,
DG-112,Aquafeed trial trigger,Fisheries Law Art 35(1): trial for any raw material not on the list (REG2-02),"Appendix II lists no raw materials at all, yet conventional feeds are sold without trials (REG2-01)",The law is literally broader than practice. Unresolved; treat as a risk for new ingredients,wave2/regulation2/regulation2.md,
DG-113,Draft law product declaration,"Wave 1: MOH 2025 submission proposed three risk tiers (low, medium, high) (REG-16)","July 2026 press describes two groups: register or declare applied standard, and no declaration (REG2-05, REG2-06)","The July 2026 description is later and is used here. The tiers may survive inside the ""declare"" group",wave2/regulation2/regulation2.md,
DG-114,Soybean meal MFN before March 2025,"Extract: ""1 to 2%"" for 2304.00.29 (REG2-21)",Wave 1 prior leads did not give a rate,Minor. The 2025 rate of 0% is what matters,wave2/regulation2/regulation2.md,
