record_id,signal,date,place,type,domain,direction,relevance_to_vn,strength,source_ids,evidence_label,confidence,notes
SIG-011,Alternative-protein patent filings peaked in 2022 and fell in 2023 (US plant-based filings minus 37%); Japan and Korea raised cultivated-meat filings in 2023,2025-11,Global,patent,all,down,Low,moderate,HSC-04,general,Medium,Appleyard Lees analysis via trade press; five companies held 46.9% of 2023 cultivated filings.
SIG-012,US assignees file about 30% of alternative-protein patents in mainland China and 50% of those in Europe,2024-06,Global,patent,all,flat,Low: freedom to operate in Vietnam is usually wider than in China or the EU,weak,HSC-05,general,Low,Law-firm insight; method not disclosed.
SIG-013,First-generation precision-fermentation patent families expire from about 2033 to 2036,2033 to 2036,Global,patent,precision fermentation,up,"Medium: late entrants, including Asian contract makers, can enter",moderate,FTB-21,general,Low,Cross-reference; not re-researched.
SIG-014,"Only Vietnam-linked filing found: US application for high-protein yeast biomass from starch-containing cereals (US 2020/0109428 A1, filed 2019-10-04, individual applicant, application status)",2019-10,United States (Vietnamese applicant),patent,single-cell protein (feed),up,High: matches a Vietnamese feed-company project (HSC-07),weak,HSC-06; HSC-07,VN-direct,Low,Scite patent index; grant not found. No Vietnamese national filings could be searched.
SIG-015,Vietnamese feed company (Thai Duong Feed JSC) ran a 2016 to 2019 state-registered project producing yeast protein (dry product above 46% protein) from cereals and molasses to replace soybean meal; 120 t of liquid product made; line investment VND 167 billion,2016 to 2019 (notice 2021-10-07),Vietnam,plant,single-cell protein (feed),up,High: a domestic yeast-protein feed line not in edition 1.0's directory,moderate,HSC-07,VN-direct,Medium,"Report code 16724/2019 at NASATI. Published installed capacity '15,000 tonnes liquid per day and night' is implausible against 120 t produced; treat as unverified. 2026 status unknown."
SIG-016,"Angel Yeast opens an 11,000 t a year yeast-protein plant in Yichang (Hubei)",2025-11,China,plant,yeast protein,up,High: a large regional supplier that sets landed prices for Vietnamese yeast-protein ventures,strong,HSC-14; RGN-24,VN-adjacent,Medium,Targets sports nutrition and weight management; global sales.
SIG-017,"China repurposes pharmaceutical fermentation plants for novel foods: Cabio with Nourish about 170,000 t finished-product capacity; Fushine mycoprotein 1,200 t expanding to a 20,000 t plant; a USD 100 M US facility costs about USD 15 M in China",2026-07 (approx.),China,plant,fermentation capacity,up,High: Chinese cost base is the benchmark Vietnam must approach (ch13 uncertainty 3),strong,HSC-13,VN-adjacent,Medium,GFI APAC China Biomanufacturing Study Report; date from page metadata.
SIG-018,"Calysseo's 20,000 t methane-protein plant in Chongqing halted",2026,China,plant,gas fermentation,down,Medium: warns against capital-heavy gas-protein bets,strong,FTG-06,VN-adjacent,Medium,Cross-reference.
SIG-019,"Meati's fermentation assets (300,000 L) sold for USD 75,000 and shipped to India",2026-09,United States to India,plant,biomass fermentation,mixed,High: cheap second-hand tanks available to Asian feed-protein ventures,moderate,FTB-38,general,Medium,Cross-reference.
SIG-020,"Unibio with a Saudi state-linked investor plans 50,000 t a year of gas-fermentation protein from 2028; Solar Foods' 3,200 t plant awaits investment decision",2025 to 2028,Saudi Arabia; Finland,plant,gas fermentation,up,Low to Medium: state-backed survivors only,moderate,FTG-03; FTG-04; FTG-10; FTG-11,general,Medium,Cross-reference.
SIG-021,"Cultivated-meat closures in 2025: Meatable (Netherlands), CellRev (UK), Upstream Foods (Netherlands), Believer Meats (US plant, December 2025), all citing funding",2025,Europe; United States,startup,cultivated meat,down,Low: Vietnam has no cultivated-meat company exposed,strong,HSC-08; FTB-24,general,Medium,Believer failed after FDA clearance.
SIG-022,"Consolidation: Umami Bioworks merged with Shiok Meats (Singapore, 2024); Gourmey and Vital Meat formed Parima (2025); Meatable bought Uncommon Bio; Fork and Good bought Orbillion",2024 to 2026,Singapore; France; global,startup,cultivated meat,down,Low,moderate,HSC-08; HSC-09,general,Medium,Asia's only cultivated-seafood pioneer absorbed by a merger.
SIG-023,"More than 40 alternative-protein closures, mergers and acquisitions September 2024 to August 2025 (11 closures, 24 acquisitions; 5 in Asia-Pacific)",2025-09,Global,startup,all,down,Low,moderate,FTB-32,general,Medium,Cross-reference.
SIG-024,"Alternative-protein funding USD 881 M in 2025, down 20% and below USD 1 billion for the first time in 7 years; fermentation USD 357 M (minus 43.5%), cultivated USD 74 M (minus 49%), plant-based USD 450 M (plus 31.5%); Europe USD 418 M above North America USD 347 M",2026-02-17,Global,finance,all,down,Medium: little capital will reach Vietnam without public or DFI anchors,strong,HSC-10,general,Medium,GFI analysis of Net Zero Insights data; no Asia-Pacific figure given.
SIG-025,Precision fermentation's share of fermentation funding rose to 66% in 2025,2025,Global,finance,precision fermentation,up,Medium,moderate,FTB-17,general,Medium,Cross-reference.
SIG-026,Cradle (Netherlands) raised USD 73 M Series B for AI protein engineering,2024 to 2025 (date not verified),Netherlands,finance,AI protein design,up,Low to Medium: AI design tools become a service Vietnamese labs can buy,weak,HSC-15,general,Low,Newsletter; date not given.
SIG-027,"Singapore approves cultivated beef (Aleph Farms thin-cut steak), the first cultivated beef approval anywhere",2026-08-04,Singapore,policy,cultivated meat,up,Medium: reference regulator for a Vietnamese reliance route,strong,HSC-12,VN-adjacent,Medium,Trade press listing; SFA list not re-read.
SIG-028,Singapore approves Parima cultivated duck (first company with two species) after cultivated chicken,2026-04-17 and 2025-10-28,Singapore,policy,cultivated meat,up,Medium,moderate,HSC-12; HSC-17,VN-adjacent,Medium,
SIG-029,Singapore drops the '30 by 30' goal; Singapore Food Story 2 targets 30% local protein and 20% local fibre by 2035; alternative proteins 'not part of the national food security strategy in the short term',2025-11-06,Singapore,policy,all,down,"High: weakens the regional-hub pull that Scenario 3 relies on, while approvals continue",strong,HSC-36,VN-adjacent,Medium,Minister cited 'higher production costs and weaker-than-expected consumer acceptance'.
SIG-030,Japan's Consumer Affairs Agency releases draft safety guidelines for cultivated meat and seafood,2026-06-04,Japan,policy,cultivated meat,up,Low to Medium,moderate,HSC-12; RGN-33,VN-adjacent,Medium,Edition 1.0 dates draft safety checkpoints 28 May 2026; see disagreements log.
SIG-031,Korea's MFDS sets standards for 'cell-cultured processed foods'; Food Tech Industry Promotion Act in force,2025 to 2026-06,South Korea,policy,cultivated meat; all,up,Low to Medium,moderate,FTB-20,VN-adjacent,Medium,Cross-reference.
SIG-032,"China's NHC approved Fusarium venenatum mycoprotein and 15 new food ingredients in 2025, including the first ingredient from a genetically modified microorganism; precision-fermented beta-lactoglobulin under review; cell-cultured meat guidelines in development",2025 to 2026,China,policy,mycoprotein; precision fermentation,up,High: China becomes a fast follower regulator next door with large capacity,strong,HSC-11; RGN-20,VN-adjacent,Medium,Law-firm review.
SIG-033,China approves precision-fermented lactoferrin from an Australian start-up (All G),2025 (date not verified),China,policy,precision fermentation,up,Medium,weak,HSC-15,VN-adjacent,Low,Company claim via newsletter.
SIG-034,Thailand: first cultivated-meat application (Aleph Farms) still not approved,filed 2024-12; status 2026-09,Thailand,policy,cultivated meat,flat,Medium,moderate,RGN-32,VN-adjacent,High,Edition 1.0 data.
SIG-035,Malaysia national fatwa: cultivated meat can be halal under conditions,2025-12,Malaysia,policy,cultivated meat,up,Medium: halal certainty for ASEAN export products,moderate,RGN-20; RGN-21,VN-adjacent,Medium,Edition 1.0 data; not a food-safety approval.
SIG-036,"Seven US states ban or pause cultivated meat (Alabama, Florida, Indiana to 2027, Mississippi, Montana, Nebraska, Texas to 2027); 21 states have labelling laws",updated 2026-04-07,United States,policy,cultivated meat,down,Low: political backlash risk for the category,strong,HSC-35,general,High,Statute citations in source.
SIG-037,US proposed rule would end self-affirmed GRAS,2025 to 2028,United States,policy,precision fermentation,mixed,Medium: slower US approvals but a public list others can rely on,moderate,FTB-18,general,Medium,Cross-reference.
SIG-038,"EU CBAM definitive phase began 1 January 2026, covering fertilisers and hydrogen among six sectors; food not covered",2026-01-01,European Union,policy,trade and carbon,mixed,Low now; Medium if extended to downstream agri-food,moderate,HSC-32,general,High,Official page.
SIG-039,NOAA El Nino Advisory: greater than 90% chance of a very strong El Nino in northern autumn and winter 2026-27; 75% chance that Nino-3.4 exceeds +2.5 C in October to December 2026 (historic),2026-09-10,Pacific,shock,climate (ENSO),up,"High: fishmeal supply, Mekong dry-season salinity in 2027, maize and soy yields",strong,HSC-28,general,High,Published probabilities; next update 8 October 2026.
SIG-040,"Peru's 2026 first anchovy season: quota 1.9 Mt (36% below 2025, lowest in a decade), 471,000 t landed (about 25% of quota), closed 21 August 2026 with 65% juveniles",2026-06 to 2026-08,Peru,shock,fishmeal,up,High: aquafeed cost; case for microbial feed protein,strong,HSC-29; HSC-30,general,Medium,Trade press quoting PRODUCE and IFFO.
SIG-041,Global fishmeal production down 26% year on year in January to April 2026 (IFFO),2026-06,Global,shock,fishmeal,up,High,strong,HSC-29,general,Medium,Edition 1.0 records fishmeal at 6.2 times soybean meal price in August 2026 (GT-15).
SIG-042,"H5N1: 12 human cases worldwide August 2025 to June 2026 (Cambodia 8 with 2 deaths, Bangladesh 3, India 1), none in Vietnam, no person-to-person spread; 71 US human cases since February 2024; CDC risk 'low'",2026-03 to 2026-06,Cambodia; Bangladesh; United States,shock,animal disease,flat,High: Cambodia clade 2.3.2.1e is next door,moderate,HSC-26; HSC-27,VN-adjacent,High,Official CDC pages.
SIG-043,"Middle East conflict raises energy, shipping and fertiliser costs; Singapore warns of lower future yields if fertiliser use falls",2026-05-05,Middle East; global,shock,inputs,up,Medium: feed-crop and fermentation input costs,moderate,HSC-37,general,Low,Few specifics in the source.
