record_id,category,metric,value,unit,year,geography,method_quality,source_ids,evidence_label,confidence,demand_evidence_type,notes
CMK-043,demand spike,Chay Garden buffet surcharge on holy days (lunch; dinner),12.6; 8.3,percent,2026,Ho Chi Minh City,Medium: booking platform price list; our derivation,CHY-33,VN-direct,Medium,revealed,"Lunch 239,000 vs 269,000; dinner 350,000 vs 379,000 VND"
CMK-044,restaurants,"Foody 'An chay' listings, Ho Chi Minh City (old boundary)","more than 1,873",listings,2026 (September),Ho Chi Minh City,"Medium: platform count; cumulative, includes closed venues",CHY-31,VN-direct,Medium,revealed,Former Binh Duong adds 138 and Vung Tau 43 (now in Ho Chi Minh City)
CMK-045,restaurants,"Foody 'An chay' listings, Hanoi",more than 401,listings,2026 (September),Hanoi,Medium,CHY-31,VN-direct,Medium,revealed,
CMK-046,restaurants,"Foody 'An chay' listings, Da Nang (old boundary)",more than 201,listings,2026 (September),Da Nang,Medium,CHY-31,VN-direct,Medium,revealed,Former Quang Nam adds 27
CMK-047,restaurants,"Foody 'An chay' listings, Hue",more than 31,listings,2026 (September),Hue,Low: Foody coverage of Hue appears thin,CHY-31,VN-direct,Low,revealed,Hue is a Buddhist centre; count is surely an undercount
CMK-048,restaurants,"Foody 'An chay' listings, Can Tho (old boundary)",more than 132,listings,2026 (September),Can Tho,Medium,CHY-31,VN-direct,Medium,revealed,
CMK-049,restaurants,"Foody 'An chay' listings, Khanh Hoa (old boundary)",more than 64,listings,2026 (September),Khanh Hoa,Medium,CHY-31,VN-direct,Medium,revealed,Nha Trang field site
CMK-050,restaurants,"Foody 'An chay' listings, sum of 23 former provinces showing a count","at least 3,275",listings,2026 (September),Vietnam (23 of 63 former provinces),Medium: our sum of platform counts,CHY-31,VN-direct,Medium,revealed,Other former provinces show no count on page
CMK-051,restaurants,Foody vegetarian stores nationwide (as reported by B-Company),"2,737 in 51 provinces",stores,2024 (May),Vietnam,Low: secondary report of platform,CHY-14,VN-direct,Low,revealed,Definition may differ from our read
CMK-052,restaurants,Loving Hut outlets,14,outlets,2026,Vietnam,Medium: company site,CHY-32,VN-direct,Medium,revealed,"4 in Ho Chi Minh City, 2 Hanoi, 2 Ha Long, others"
CMK-053,restaurants,Hum Vegetarian: outlets; customers a year; average spend,"3; about 150,000; 350,000",outlets; customers; VND per customer,2018,Ho Chi Minh City,Low: company self-report,CHY-36,VN-direct,Low,revealed,Margins lower than meat restaurants
CMK-054,restaurants,Chay Garden locations,2,outlets,2025,Ho Chi Minh City,Medium: review,CHY-34,VN-direct,Medium,revealed,Bib Gourmand 2024
CMK-055,price,"Street chay rice plate, Ho Chi Minh City","15,000",VND per plate,2026,Ho Chi Minh City,Low: single shop,CHY-38,VN-direct,Low,revealed,6 of about 30 dishes are mock meat
CMK-056,price,"Street chay dishes, Quang Tri","20,000 (single dish); 30,000 (meal)",VND,2026,Quang Tri,Low: single shop,CHY-39,VN-direct,Low,revealed,"Tofu, mushrooms, vegetables"
CMK-057,price,Central Ho Chi Minh City chay rice; chay buffet,"30,000; 45,000",VND,2024,Ho Chi Minh City,Low: press listicle,CHY-42,VN-direct,Low,revealed,
CMK-058,price,"Self-serve chay buffet plate, Long Xuyen","17,000 to 20,000",VND per plate,2022,An Giang,Low: press,CHY-43,VN-direct,Low,revealed,
CMK-059,price,"Chay dish, Nha Trang restaurants","25,000 to 60,000",VND per dish,2025,Nha Trang,Low: promotional listicle,CHY-44,VN-direct,Low,revealed,
CMK-060,price,"Meat rice plate, Ho Chi Minh City street","29,000 to 35,000",VND per plate,2026,Ho Chi Minh City,Low: press,CHY-40,VN-direct,Low,revealed,Several vendors raised prices at Tet 2026
CMK-061,price,"Student rice meal average, Ho Chi Minh City","30,000",VND per meal,2025,Ho Chi Minh City,Low: press,CHY-41,VN-direct,Low,revealed,"Office meal 40,000"
CMK-062,price,Premium chay restaurant average spend (Hum),"350,000 to 400,000",VND per bill,2022,Ho Chi Minh City,Low: press,CHY-37,VN-direct,Low,revealed,
CMK-063,price,Chay Garden buffet (weekday lunch to holy-day dinner),"239,000 to 379,000",VND per person,2026,Ho Chi Minh City,Medium: booking platform,CHY-33,VN-direct,Medium,revealed,
CMK-064,price,"Chay buffet, mainstream restaurants and hotels","100,000 to 200,000",VND per person,2025,Ho Chi Minh City,Low: press,CHY-18,VN-direct,Low,revealed,Same range reported in 2020 (CHY-28)
CMK-065,price,"Pre-made chay offering tray, basic to premium","380,000 to 2,000,000",VND per tray,2026,Hanoi and Ho Chi Minh City,Low: press,CHY-20; CHY-22,VN-direct,Low,revealed,
CMK-066,religion base,Buddhist places of worship,"18,544",facilities,2023,Vietnam,Medium: government White Paper as reported,CHY-07,VN-direct,Medium,revealed,Potential institutional kitchens; meal volumes unknown
