record_id,application,claim_or_result,magnitude,study_or_source,demonstrated_or_claimed,source_ids,evidence_label,confidence,foresight_type,horizon_year,notes
AIB-011,Media cost reduction with AI contribution,Clever Carnivore reports medium at USD 0.07 per litre and cites AI as contributing,USD 0.07 per litre (claim),Company statement relayed by Rethink Priorities 2026,claimed,FTB-01,general,Low,signal,2026 to 2030,No published data. AI share of the reduction not stated.
AIB-012,Media cost reduction,"Meatly reports medium at GBP 0.22 per litre, target GBP 0.015 at scale",GBP 0.22 per litre now; 1.5p target (claim),Company statement relayed by Rethink Priorities 2026,claimed,FTB-01,general,Low,signal,2026 to 2030,Not AI-specific.
AIB-013,Media cost reduction (industry),Several companies announced media at USD 0.20 per litre or below in 2025,Over 99% decrease from a few years ago (GFI wording),"GFI 2026 State of the Industry: cultivated meat, seafood and ingredients","claimed, partly validated by a GFI-commissioned analysis",FTB-24,general,Low,signal,2026 to 2030,Advocacy source; validation report not read. Compare Pasitka et al. 2024 peer-reviewed USD 0.63 per litre (v0.1 SCI-16).
AIB-014,Media formulation platform,Multus MediOP machine-learning media formulation from thousands of automated parallel experiments,Not quantified,Company platform relayed by Rethink Priorities 2026,claimed,FTB-01,general,Low,signal,2026 to 2030,
AIB-015,Digital twin of avian cells,Gourmey (now PARIMA) with DeepLife digital twin said to inform commercial-scale production,Not quantified,Company statement relayed by Rethink Priorities 2026,claimed,FTB-01,general,Low,signal,2026 to 2030,
AIB-016,Bioprocess AI,"Magic Valley with Pythag Tech reports less waste, lower per-kg cost and shorter R&D",Not quantified,Company statement relayed by Rethink Priorities 2026,claimed,FTB-01,general,Low,signal,2026 to 2030,
AIB-017,Cell density estimation,Hoxton Farms BrightQuant model estimates cell density from unstained images across cell lines,Not quantified,Company tool relayed by Rethink Priorities 2026,claimed,FTB-01,general,Low,signal,2026 to 2030,A measurement tool; useful for data generation.
AIB-018,Growth factor engineering,Machine learning identified as an emerging approach to improve growth factor thermostability for cultivated meat,No quantified result,"Mainali et al. 2025, cited by Rethink Priorities 2026",claimed (review statement),FTB-01,general,Low,signal,2026 to 2030,"Relevant to Vietnam: VNU-HCM already expresses FGF-2, KGF and PDGF-BB in Pichia (v0.1)."
AIB-019,Automated DBTL service claim,K-Biofoundry (KRIBB) says AI plus robotics cuts years-long studies to weeks,"""Years to weeks"" (claim)",K-Biofoundry website,claimed,FTB-12,VN-adjacent,Low,signal,2026 to 2030,"Open platform for industry, academia and startups via collaboration; no fee schedule published."
AIB-020,Research activity trend,Publications combining AI or ML with alternative protein topics,"375 works 2016 to Sept 2026: 11 (2022), 23 (2023), 35 (2024), 120 (2025), 172 (2026 to date); US 69, China 54, India 48, Singapore 11, Thailand 7; Vietnam 2 (reviews only)","OpenAlex query by FTB, 24 Sept 2026",measured (bibliometric count),FTB-10,general,Medium,trend,2020 to 2026 (observed),"Keyword query, lower bound, includes reviews. Vietnam count is VN-direct."
AIB-021,Protein design research base in Southeast Asia,"Publications mentioning AlphaFold, protein language models, protein design, ESM-2, RFdiffusion, enzyme engineering or directed evolution, 2019 to Sept 2026","Singapore 208, Thailand 130, Malaysia 113, Indonesia 76, Vietnam 46, Philippines 25; Vietnam 2 (2020) to 19 (2026 to date)","OpenAlex query by FTB, 24 Sept 2026",measured (bibliometric count),FTB-10,VN-direct,Medium,trend,2020 to 2026 (observed),"Not screened for food relevance. Leading VN affiliations: VNU-HCM, FPT University, VNU Hanoi, Hue University, Thai Nguyen University, Can Tho University."
