record_id,name,vn_name,category,hq_province_current,plant_location,founded,ownership_country,stage,products,key_protein_inputs,scale_indicators,funding_known,website,status,source_ids,evidence_label,confidence,notes,origin,last_verified,change_log,province_current,province_former
CO-016,Impossible Foods,Impossible Foods,plant-based meat,n/a (USA),n/a,2011,USA,multinational,Impossible Burger,"Soy protein, leghemoglobin (precision fermentation)",No evidence of VN launch found,n/a,,no VN presence found (checked 2026-09-23),ECO-15,VN-direct,Low,"Absence of evidence only; Asian launches found were HK, Singapore, Macau (not re-verified this wave).",wave 1 ECOSYSTEM,"2026-09-23 (wave 1, ECOSYSTEM)",,,
CO-017,Zhenmeat,Zhenmeat,plant-based meat,n/a (China),n/a,2019,China,startup,Plant-based meat,Soy/pea (typical),No VN evidence found,n/a,,unverified for VN (checked 2026-09-23),,general,Low,Named in brief; could not verify any VN presence (web search budget exhausted).,wave 1 ECOSYSTEM,"2026-09-23 (wave 1, ECOSYSTEM)",,,
CO-018,Unconventional (brand named in brief),Unconventional,plant-based meat,unknown,n/a,unknown,unknown,unknown,unknown,unknown,No VN evidence found,n/a,,unverified for VN (checked 2026-09-23),,general,Low,Could not identify brand owner or VN presence.,wave 1 ECOSYSTEM,"2026-09-23 (wave 1, ECOSYSTEM)",,,
CO-019,INNOHAS,INNOHAS,plant-based meat,n/a (South Korea),Korea; VN production/distribution planned,unknown,South Korea,startup,Plant-based meat alternatives,Not stated,Plans products tailored to VN/SE Asia with local production and distribution (2024 statement),"Investment by VinaCapital Ventures, amount undisclosed (Jul 2024)",,"no evidence of VN launch yet (checked 2026-09-23) | Company website (Korean) has no mention of Vietnam, VinaCapital or a Vietnamese partner (checked 23 Sep 2026)",ECO-65; VCO-31,VN-direct,Low,Only VN-VC alt-protein deal found.,wave 1 ECOSYSTEM,"2026-09-23 (wave 2, VERIFY-CO)","[wave 2 VERIFY-CO, VCO-31, Low] VN status: was ""No evidence of VN launch (2024 plan)""; wave 2: ""Company website (Korean) has no mention of Vietnam, VinaCapital or a Vietnamese partner (checked 23 Sep 2026)"" (appended to status). Supports 'no Vietnam launch yet'.",,
CO-020,SaladStop! Vietnam,SaladStop!,other,Ho Chi Minh City,Restaurants,unknown (Singapore 2013),Singapore,corporate,Plant-based patties in salad chain,Chickpea and other plant protein,HCMC outlets (2022),n/a,,unknown (checked 2026-09-23),ECO-15,VN-direct,Low,Foodservice channel only.,wave 1 ECOSYSTEM,"2026-09-23 (wave 1, ECOSYSTEM)",,Ho Chi Minh City,
CO-021,Bewina,Bewina,distributor,Ho Chi Minh City,"n/a (importer, Le Quang Dinh / District 7 per sources)",unknown,Vietnam,SME,"Imported plant-based kielbasa, bratwurst, mince",n/a,No data,None found,,unknown (checked 2026-09-23),ECO-17; ECO-19,VN-direct,Low,Sources conflict: founder Ho Thanh Nhien importing Taiwan/US brands (NCDT 2022) vs 'Romania' products (DNT 2022).,wave 1 ECOSYSTEM,"2026-09-23 (wave 1, ECOSYSTEM)",,Ho Chi Minh City,
CO-022,BiaCraft,BiaCraft,distributor,Ho Chi Minh City,3 HCMC venues (2019),unknown,Vietnam,SME,Craft beer bar chain; first to serve Beyond Burger in VN (Aug 2019),n/a,3 venues,n/a,,unknown (checked 2026-09-23),ECO-16,VN-direct,Medium,HoReCa entry point for imported plant-based meat.,wave 1 ECOSYSTEM,"2026-09-23 (wave 1, ECOSYSTEM)",,Ho Chi Minh City,
CO-023,Annam Gourmet,Annam Gourmet,distributor,Ho Chi Minh City,Retail stores,unknown,Vietnam,corporate,"Gourmet importer-retailer carrying Beyond, Omni, Heura, Dairy-Free Down Under (2022)",n/a,Multiple stores,n/a,,active retailer; alt-protein range 2026 unverified (checked 2026-09-23),ECO-15,VN-direct,Low,,wave 1 ECOSYSTEM,"2026-09-23 (wave 1, ECOSYSTEM)",,Ho Chi Minh City,
CO-024,Nam An Market,Nam An Market,distributor,Ho Chi Minh City,Retail stores,unknown,Vietnam,corporate,"Gourmet retailer carrying Beyond, Omni, Heura, CK Foods, Verdino; sells tempeh",n/a,Multiple stores,n/a,namanmarket.com,active retailer (checked 2026-09-23),ECO-15,VN-direct,Low,,wave 1 ECOSYSTEM,"2026-09-23 (wave 1, ECOSYSTEM)",,Ho Chi Minh City,
CO-025,Classic Fine Foods Vietnam (Classic Food Deli),Classic Fine Foods,distributor,Ho Chi Minh City,n/a,unknown,UK/Singapore group (Metro heritage; not verified),multinational,Foodservice importer; sold Next Meats (2022),n/a,n/a,n/a,,unknown for alt protein (checked 2026-09-23),ECO-15,VN-direct,Low,,wave 1 ECOSYSTEM,"2026-09-23 (wave 1, ECOSYSTEM)",,Ho Chi Minh City,
CO-026,Starbucks Vietnam,Starbucks Viet Nam,distributor,Ho Chi Minh City,Cafes,2013 in VN,USA brand (local licensee),multinational,"Ran OmniFoods plant-based meatball sandwich and luncheon bake, summer 2023",n/a,Limited-time menu,n/a,,promotion ended 2023 (assumed) (checked 2026-09-23),ECO-20,VN-direct,Medium,HoReCa trial channel.,wave 1 ECOSYSTEM,"2026-09-23 (wave 1, ECOSYSTEM)",,Ho Chi Minh City,
CO-027,Saigon Co.op (Coop Select private label),Saigon Co.op / Co.opmart,distributor,Ho Chi Minh City,"Co-manufactured: GN Foods JSC makes all five Co.op Select frozen chay dishes (Long Hau Extended Industrial Park, Tay Ninh (former Long An)); Thai Corp Inter.VN and Vi Nguyen make Co.op Select tofu (Co.op Online, verified 2026-09-25)",1989,Vietnam,corporate,"Private-label chay dumplings, buns, gyoza noodle meal","Mushroom, jicama, tofu, soy protein (gyoza meal)",Nationwide Co.opmart chain; one chay SKU labelled 4.2 g protein/100 g (prior lead),n/a,,on shelf 2026-09-06,ECO-40; CPC-15,VN-direct,Medium,Retailer private labels show chay is mainstream mass retail. Version 0.4 (W7-L4): the co-packer is verified on Co.op Online product pages; private label is a route for a protein upgrade through the co-packer.,wave 1 ECOSYSTEM,"2026-09-25 (v0.4, CPC-15)","[v0.4] plant_location: GN Foods verified as maker of all five Co.op Select frozen chay dishes (was ""GN Foods named in prior lead; unverified"").",Ho Chi Minh City,
CO-028,Lotte Mart Vietnam (Choice L private label),Lotte Mart,distributor,Ho Chi Minh City,Co-manufactured (maker not identified),2008 in VN,South Korea,multinational,"Private-label cha gio chay, ha cao chay",Not published,Nationwide hypermarkets; dedicated frozen 'Thuc pham chay' section in Nha Trang,n/a,,on shelf 2026-09-06,ECO-40,VN-direct,Medium,,wave 1 ECOSYSTEM,"2026-09-23 (wave 1, ECOSYSTEM)",,Ho Chi Minh City,
CO-029,"Au Lac Vegan Food Trade and Manufacture Co., Ltd",Cong ty TNHH SX KD Thuc pham chay Au Lac,traditional chay industrial,Ho Chi Minh City,"HCMC (32 Ta17A St, Thoi An ward, former District 12)",c.1990s ('30+ years'),Vietnam,SME,"Seven categories: spices, instant, sterilised, canned, frozen, dry, beverages","Not published (soy protein, gluten, tofu skin typical; unverified)","Exports to USA, Canada, Australia, Germany, UK (claimed)",None,aulac-vegan.com,active (checked 2026-09-23),ECO-25; ECO-26,VN-direct,Medium,"Certifications claimed: Halal, ISO 9001/22000, FSSC 22000, HACCP. No capacity data.",wave 1 ECOSYSTEM,"2026-09-23 (wave 1, ECOSYSTEM)",,Ho Chi Minh City,Ho Chi Minh City
CO-030,"An Nhien Foods (Pham Gia Phat Trading Import-Export Co., Ltd)",Thuc pham chay An Nhien / Cong ty TNHH TM XNK Pham Gia Phat,traditional chay industrial,Ho Chi Minh City,"HCMC (40/2/19 Tran Thi Do, Hiep Thanh, former District 12)",2014,Vietnam,SME,"TVP-based vegetarian pork/beef/chicken, ribs, ready meals, pickles, frozen meals","Soy (TVP), barley-based 'ribs', plant ingredients","Distributed in Saigon Co.op, Big C/GO!, Lotte, Aeon, Vinmart/WinMart, Shopee, Lazada, Tiki; exports to Korea, Europe, North America (claimed) | Confirmed: brand founded late 2014; company Cong ty TNHH TM XNK Pham Gia Phat (tax code 0312857463), 40/2/19 Tran Thi Do, Hiep Thanh ward (former District 12), HCMC; soy TVP and barley-based chay; Halal; exports to South Korea, Europe, North America (claimed); sold in Co.op, Big C (GO!), Lotte Mart, Aeon, WinMart, Bach Hoa Xanh and e-commerce",None found,annhienfood.com.vn,active (checked 2026-09-23),ECO-28; ECO-38; VCO-26,VN-direct,Medium,Field SKU brand 'P.G.P' (Lotte Nha Trang) may be Pham Gia Phat; unconfirmed.,wave 1 ECOSYSTEM,"2026-09-23 (wave 2, VERIFY-CO)","[wave 2 VERIFY-CO, VCO-26, Medium] founded / scale: was ""Founded 2014; TVP meats""; wave 2: ""Confirmed: brand founded late 2014; company Cong ty TNHH TM XNK Pham Gia Phat (tax code 0312857463), 40/2/19 Tran Thi Do, Hiep Thanh ward (former District 12), HCMC; soy TVP and barley-based chay; Halal; exports to South Korea, Europe, North America (claimed); sold in Co.op, Big C (GO!), Lotte Mart, Aeon, WinMart, Bach Hoa Xanh and e-commerce"" (appended to scale_indicators). Page also gives a 28 May 2019 date for the company (probably a re-registration). Factory location and capacity not disclosed.",Ho Chi Minh City,Ho Chi Minh City
CO-031,"Thoai An Trading Co., Ltd",Cong ty TNHH Thuong mai Thoai An,traditional chay industrial,Ho Chi Minh City,"HCMC (Lot 21-23 Road 8, Tan Tao Industrial Park)",2005,Vietnam,SME,"Yuba (tau hu ky) rolls, ring patties, chilli sausage, tofu-skin sausage, chay shrimp cake, chay seafood tofu","Tofu skin (tau hu ky), soy","Nationwide distribution claimed; on Co.opmart shelf (VND 41,800/400 g shrimp cake; VND 71,500/500 g seafood tofu)",None,thoaian.vn,active (checked 2026-09-23),ECO-27; ECO-40,VN-direct,Medium,HACCP. Specialises in chay seafood analogues.,wave 1 ECOSYSTEM,"2026-09-23 (wave 1, ECOSYSTEM)",,Ho Chi Minh City,Ho Chi Minh City
CO-032,Sai Gon Food JSC (SG Food),Cong ty CP Sai Gon Food,traditional chay industrial,Ho Chi Minh City,"HCMC (Vinh Loc Industrial Park, Lots C24-24B/II, C25/II)",c.2003 ('20+ years'),Vietnam,corporate,"Chay fried rice, chay Thai hotpot kit, frozen ready meals; supplies 7-Eleven VN fresh food (per field notes)","Chay hotpot: mock fish balls, mock beef slices, chay cha lua, fried tofu (50% of kit)","About 2,000 staff (field notes OSINT, unverified); exports to Japan",None found,sgfoods.com.vn,active (checked 2026-09-23),ECO-25; ECO-29; ECO-40,VN-direct,Medium,Japanese technology transfer claimed. Chay is a line within a general frozen-food maker.,wave 1 ECOSYSTEM,"2026-09-23 (wave 1, ECOSYSTEM)",,Ho Chi Minh City,Ho Chi Minh City
CO-033,VISSAN (Vietnam Livestock Technology JSC),Cong ty CP Viet Nam Ky nghe Suc san (VISSAN),traditional chay industrial,Ho Chi Minh City,HCMC (420 No Trang Long HQ; plants not listed),1970,Vietnam,corporate,"8 chay SKUs: ha cao chay, hoanh thanh chay (both launched 27 Aug 2026), cha gio chay, cha gio re chay, canned heo ham chay, ca-ri ga chay, ragu bo chay, bo nau dau chay","Cha gio chay: jicama, taro, carrot, mung bean, tau hu ky, mushrooms, soy protein; canned bo nau dau chay: 55% chay beef slices, white beans","Whole-company 2026 target 20,350 t processed food (all lines); chay volumes not disclosed | Adds: about 100 t of livestock and poultry per day to the domestic market (Vietstock profile); market cap VND 1,092 bn (23 Sep 2026)",n/a,vissan.com.vn; vissanmart.com,active (checked 2026-09-23),ECO-30; ECO-31; ECO-32; ECO-40; VCO-13; VCO-15,VN-direct,High,"Meat processor with a growing chay line; chay versions 17-38% cheaper than meat equivalents (field audit). Ownership (state/Vinamilk-linked) not confirmed this wave. | SATRA (Saigon Trading Group) 54,829,878 shares (67.8% of 80,914,300; data updated 3 Aug 2020); Masan MEATLife 20,180,026 shares (24.9%; updated 7 Dec 2021). UPCoM: VSN since 21 Oct 2016. Charter capital VND 809.05 bn after reduction on 28 May 2024",wave 1 ECOSYSTEM,"2026-09-23 (wave 2, VERIFY-CO)","[wave 2 VERIFY-CO, VCO-13, Medium] ownership: was ""State-linked; SATRA major shareholder (not verified)""; wave 2: ""SATRA (Saigon Trading Group) 54,829,878 shares (67.8% of 80,914,300; data updated 3 Aug 2020); Masan MEATLife 20,180,026 shares (24.9%; updated 7 Dec 2021). UPCoM: VSN since 21 Oct 2016. Charter capital VND 809.05 bn after reduction on 28 May 2024"" (appended to notes). Aggregator of filings; percentages computed by VERIFY-CO. Shareholding dates are 2020-2021: check the 2025 annual report. || [wave 2 VERIFY-CO, VCO-13, Low] founded: was ""1970""; wave 2: ""1974 (Vietstock history); 1989 renamed; 2016 equitised"" (logged only (position: keep existing value)). Conflict with company homepage (1970, ECO-32). Not material. || [wave 2 VERIFY-CO, VCO-13; VCO-15, Low] scale_indicators: was ""2026 target 20,350 t processed food""; wave 2: ""Adds: about 100 t of livestock and poultry per day to the domestic market (Vietstock profile); market cap VND 1,092 bn (23 Sep 2026)"" (appended to scale_indicators). Plant list and locations still not published on the company site (VCO-14).",Ho Chi Minh City,
CO-034,CJ Foods Vietnam (CJ Cau Tre; bibigo),Cong ty CP Thuc pham CJ Cau Tre / CJ Foods Viet Nam,traditional chay industrial,Ho Chi Minh City,Plants in HCMC (former Ba Ria-Vung Tau) and Tay Ninh (former Long An); Hiep Phuoc branch HCMC,CJ in VN 1999; Cau Tre brand 40+ years,South Korea (CJ CheilJedang),multinational,"Cha gio chay, ha cao chay, bibigo Healthy Mandu chay","Ha cao chay: wrapper 54% (wheat, rice, tapioca), jicama, mung bean, taro, mushrooms, glass noodle (no concentrated protein listed); Mandu chay: king oyster and shiitake mushroom, soy protein",Nationwide retail; volumes not disclosed,n/a,cjfoods.com.vn (not fetched),active (checked 2026-09-23),ECO-33; ECO-34; ECO-40; VCO-12,VN-direct,Medium,"Korean-owned since 2006 acquisition of Cau Tre (date from field notes, unverified). Kizuna plant location from prior lead, unverified. | Still not verified this wave. CJ Foods Vietnam describes itself as a business unit of CJ CheilJedang with brands bibigo, Cau Tre, Ong Kim's, Ohya!, Beksul, Hetbahn, Dasida. HQ: CJ Building, 2 Bis 4-6 Le Thanh Ton, HCMC",wave 1 ECOSYSTEM,"2026-09-23 (wave 2, VERIFY-CO)","[wave 2 VERIFY-CO, VCO-12, Low] history (Cau Tre acquisition): was ""CJ in Vietnam since 1999; Cau Tre acquisition date not verified""; wave 2: ""Still not verified this wave. CJ Foods Vietnam describes itself as a business unit of CJ CheilJedang with brands bibigo, Cau Tre, Ong Kim's, Ohya!, Beksul, Hetbahn, Dasida. HQ: CJ Building, 2 Bis 4-6 Le Thanh Ton, HCMC"" (appended to notes). Acquisition year commonly reported as 2016 (analyst recollection, unsourced). Close with CJ CheilJedang 2016 disclosure (DART) or HOSE/UPCoM filing.",Ho Chi Minh City,
CO-035,GN Foods JSC,Cong ty CP GN Foods,traditional chay industrial,Tay Ninh (former Long An),"Long Hau Extended IP, Can Giuoc commune, Tay Ninh (former Long An)",2009,Vietnam,corporate,"Frozen Vietnamese foods (pancakes, noodles, rolls); prior lead says it makes Coop Select chay SKUs",Not published,"Factory 20,415 m2, processing plant 35,107 m2, 2,000 employees (company)",None found,gnfoods.com.vn,active (checked 2026-09-23),ECO-35,VN-direct,Medium,"Chay production for Coop Select is a prior lead, not confirmed. Certifications BRCGS, ISO 22000, HACCP, Halal, BAP.",wave 1 ECOSYSTEM,"2026-09-23 (wave 1, ECOSYSTEM)",,Tay Ninh,Long An
CO-036,"Agrex Saigon Foodstuffs JSC (Top V, AS Food)",Cong ty CP Thuc pham Agrex Saigon,traditional chay industrial,Ho Chi Minh City,"HCMC (10 Ben Nghe St, Tan Thuan Dong, former District 7)",unknown,Vietnam,corporate,"Export dumplings and dim sum incl. 'sui cao nam chay' (vegetarian shiitake dumpling, AG0106); Top V domestic brand (wontons, dumplings, seafood)",Shiitake mushroom,Export-oriented; volumes not disclosed,n/a,agrexsaigon.com.vn,active (checked 2026-09-23),ECO-36,VN-direct,Medium,Brief lead 'Top.V chay/plant-based line' not confirmed: only one chay export SKU found.,wave 1 ECOSYSTEM,"2026-09-23 (wave 1, ECOSYSTEM)",,Ho Chi Minh City,Ho Chi Minh City
CO-037,Cholimex Food JSC,Cong ty CP Thuc pham Cholimex,traditional chay industrial,Ho Chi Minh City,"HCMC (Vinh Loc IP, Lots C40-43/I, C51-55/II)",2006 (registration),Vietnam (foreign shareholder not verified),corporate,"Sauces and seasonings incl. vegetarian seasoning kits; frozen spring rolls, dumplings, meatballs",n/a (condiments),n/a,n/a,cholimexfood.com.vn,active (checked 2026-09-23),ECO-37,VN-direct,Medium,"Chay role is condiments/seasoning, not protein.",wave 1 ECOSYSTEM,"2026-09-23 (wave 1, ECOSYSTEM)",,Ho Chi Minh City,Ho Chi Minh City
CO-038,Vifon (chay instant noodles),Vifon,traditional chay industrial,Ho Chi Minh City,not verified,1963,Vietnam,corporate,Mi chay instant noodle cups,Wheat noodles (negligible protein role),One of 10+ chay noodle brands on Co.opmart shelf,n/a,,on shelf 2026-09-06,ECO-40,VN-direct,Low,Included for completeness of the chay shelf; not a protein supplier.,wave 1 ECOSYSTEM,"2026-09-23 (wave 1, ECOSYSTEM)",,Ho Chi Minh City,
CO-039,P.G.P (unidentified chay brand),P.G.P,traditional chay industrial,unknown,unknown,unknown,Vietnam (presumed),unknown,"Cha que chay, cha ca chay, 500 g at VND 75,900",Not found,On Lotte Mart Nha Trang shelf,n/a,,on shelf 2026-09-06,ECO-40,VN-direct,Low,Possibly Pham Gia Phat (An Nhien Foods); unconfirmed.,wave 1 ECOSYSTEM,"2026-09-23 (wave 1, ECOSYSTEM)",,,
CO-040,Vegan 24H,Vegan 24H,traditional chay industrial,Ha Noi,Ha Noi,unknown,Vietnam,SME,"Mock chicken, fish, pork, sausage, dried chay foods, seaweed",Not stated,Directory listing only,n/a,,unknown (checked 2026-09-23),ECO-38,VN-direct,Low,Directory entry; no independent verification.,wave 1 ECOSYSTEM,"2026-09-23 (wave 1, ECOSYSTEM)",,Ha Noi,Ha Noi
CO-041,Happy Farm,Happy Farm,traditional chay industrial,Ho Chi Minh City,HCMC,unknown,Vietnam,SME,"Mock meats, tofu products, mushrooms, vegetables (VietGAP)","Soy (tofu), mushrooms",Directory listing only,n/a,,unknown (checked 2026-09-23),ECO-38,VN-direct,Low,Directory entry only.,wave 1 ECOSYSTEM,"2026-09-23 (wave 1, ECOSYSTEM)",,Ho Chi Minh City,
