record_id,doi,title,year,institutions,topic,key_result,relevance,cited_by,origin,source_ids,evidence_label,confidence,notes
PUB-014,10.15625/1811-4989/14/3/9876,Isolation of a methane-oxydizing bacterium for the study on single cell protein production from methane,2016,"VNU Hanoi, Institute of Microbiology and Biotechnology (probable)",bacterial SCP (methanotroph) | T07 Single cell protein,Isolation of a methane-oxidising bacterium as a candidate for single cell protein from methane,high,1,wave 1 RND; wave 2 BIBLIO (top-cited),RD-01; BIB-01; BIB-06,VN-direct,Medium,only VN methanotroph-SCP paper found; no follow-up scale-up found; key result from Scite abstract/record read 2026-09-23 | Institutions per wave 2 OpenAIRE: VNU Hanoi IMBT (wave 1) | Wave 2 biblio: No follow-up found. Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23.
PUB-015,10.20944/preprints202503.1319.v1,Improving Nutrition Facts of Cassava and Soybean Residue through Solid-State Fermentation by Pleurotus ostreatus Mycelium: A Pathway to Safety Animal Feed Production,2025,not established,fungal SSF of cassava residue and okara (feed),"P. ostreatus mycelium on 80:20 cassava:soy residue covered substrate in 9 days; protein up 1.84x, polysaccharide up 2.1x vs substrate",high,,wave 1 RND,RD-01,VN-direct,Medium,preprint; closest VN paper to cassava-pulp fungal protein; key result from Scite abstract/record read 2026-09-23
PUB-016,10.1051/e3sconf/202340501009,Circular Economy Approach: Cultivating Grey Oyster Mushroom using Cassava (Manihot esculenta) Peel Waste from Starch Production,2023,not established (HCMC probable),mushroom on cassava peel,Grey oyster mushroom cultivated on cassava peel waste from starch production,med,,wave 1 RND,RD-01,VN-direct,Medium,conference paper; key result from Scite abstract/record read 2026-09-23
PUB-017,10.1051/e3sconf/202342009003,RETRACTED: Bamboo cellulose based single cell protein and nanocellulose by dilute sulfuric acid hydrolysis and fermentation,2023,not established,bacterial/yeast SCP from bamboo cellulose | T07 Single cell protein,RETRACTED (2023). Claimed SCP and nanocellulose from bamboo,low,0,wave 1 RND; wave 2 BIBLIO (top-cited),RD-01; BIB-01,VN-direct,High,EXCLUDED from counts: retracted; key result from Scite abstract/record read 2026-09-23 | Institutions per wave 2 OpenAIRE: not verified | Wave 2 biblio: RETRACTED. A duplicate record (10.60692/0q29a-9j360) also exists. Exclude from any capability count. Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23.
PUB-018,10.15625/2525-2518/55/5a/12192,INFLUENCES OF TECHOLOGICAL HYDROLYSIS CONDITION ON NUCLEIC ACID CONTENT OF SPENT BREWER’S YEAST HYDROLYSATE,2018,HUST (probable),yeast protein: nucleic acid (RNA) reduction,"Compared heat shock, autolysis and hydrolysis modes (batch, continuous overflow) for lowering nucleic acid in spent brewer's yeast hydrolysate",high,,wave 1 RND,RD-01,VN-direct,Medium,contradicts prior-draft claim that no VN study addressed RNA reduction; key result from Scite abstract/record read 2026-09-23
PUB-019,10.15625/1811-4989/14/4/12308,Optimization for continuous overflow proteolytic hydrolysis of spent brewer’s yeast by using proteases,2018,HUST (probable),yeast protein hydrolysate,Continuous overflow proteolytic hydrolysis of spent brewer's yeast optimised,med,,wave 1 RND,RD-01,VN-direct,Medium,key result from Scite abstract/record read 2026-09-23
PUB-020,10.31276/vjste.65(3).91-96,Assessment of growth and fermentation of some yeasts on soybean residue hydrolysate,2023,HUST,yeast growth on okara hydrolysate,Growth and fermentation of yeasts on soybean residue hydrolysate,med,,wave 1 RND,RD-01,VN-direct,High,key result from Scite abstract/record read 2026-09-23
PUB-021,10.1007/s11274-021-03060-z,Development of a new Agrobacterium-mediated transformation system based on a dual auxotrophic approach in the filamentous fungus Aspergillus oryzae,2021,VNU Hanoi University of Science (probable; Van-Tuan Tran group),fungal genetic tools (Aspergillus oryzae) | T08 Aspergillus oryzae,New Agrobacterium-mediated transformation system based on dual auxotrophy in A. oryzae,high,13,wave 1 RND; wave 2 BIBLIO (top-cited),RD-01; BIB-01; BIB-06,VN-direct,Medium,koji chassis engineering capacity; key result from Scite abstract/record read 2026-09-23 | Institutions per wave 2 OpenAIRE: VNU Hanoi HUS (wave 1) | Wave 2 biblio: Matches wave 1. Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23.
PUB-022,10.1007/s11274-017-2275-9,A new and efficient approach for construction of uridine/uracil auxotrophic mutants in the filamentous fungus Aspergillus oryzae using Agrobacterium tumefaciens-mediated transformation,2017,VNU Hanoi University of Science (probable),fungal genetic tools (A. oryzae) | T08 Aspergillus oryzae,Efficient construction of uridine/uracil auxotrophic mutants in A. oryzae via ATMT,high,43,wave 1 RND; wave 2 BIBLIO (top-cited),RD-01; BIB-01; BIB-06,VN-direct,Medium,"key result from Scite abstract/record read 2026-09-23 | Institutions per wave 2 OpenAIRE: VNU Hanoi HUS (probable, wave 1) | Wave 2 biblio: Fungal genetic tools. Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23."
PUB-023,10.47371/mycosci.2024.10.003,Efficient generation of uridine/uracil auxotrophic mutants in homokaryotic &lt;i&gt;Cordyceps militaris&lt;/i&gt; strains for constructing a food-grade expression platform,2024,VNU Hanoi University of Science (probable),food-grade fungal expression platform (Cordyceps militaris),"pyrG deletion by homologous recombination at 100% efficiency in five homokaryotic strains, as base for food-grade expression",high,,wave 1 RND,RD-01,VN-direct,Medium,key result from Scite abstract/record read 2026-09-23
PUB-024,10.1002/leg3.165,Enhancement of antioxidant activity and improvement of the bright color of fermented soybean using ergothioneine biosynthesized by Aspergillus oryzae,2022,not established,koji / fermented soybean,Ergothioneine extract from A. oryzae improved antioxidant activity and colour of fermented soybean,med,,wave 1 RND,RD-01,VN-direct,Medium,key result from Scite abstract/record read 2026-09-23
PUB-025,10.47866/2615-9252/vjfc.4588,Quality evaluation of Vietnam traditional soy sauce concerning nutritional composition and aflatoxin criteria,2025,not established (published in NIFC journal),traditional fermented soy (tuong) safety,35 of 38 tuong samples below aflatoxin LOD (0.74 ug/kg); 3 small-producer samples detectable but within QCVN 8-1:2011/BYT; soluble protein 5.05-6.61%,med,,wave 1 RND,RD-01,VN-direct,Medium,mycotoxin testing capacity evidence; key result from Scite abstract/record read 2026-09-23
PUB-026,10.1371/journal.pone.0202695,A unique fungal strain collection from Vietnam characterized for high performance degraders of bioecological important biopolymers and lipids,2018,VAST with German partners (probable),fungal strain collection,Unique fungal strain collection from Vietnam screened for degradation of biopolymers and lipids,med,,wave 1 RND,RD-01,VN-direct,Medium,indigenous strain resource; key result from Scite abstract/record read 2026-09-23
PUB-027,10.3389/fmicb.2018.02278,"Prospects for Food Fermentation in South-East Asia, Topics From the Tropical Fermentation and Biotechnology Network at the End of the AsiFood Erasmus+Project",2018,HUST and partners (AsiFood Erasmus+),fermentation research network,"Tropical Fermentation Network across Vietnam, Cambodia, Thailand, China and EU (Agreenium); names spent yeast and shrimp heads as by-products to valorise",med,,wave 1 RND,RD-01,VN-direct,High,collaboration evidence; key result from Scite abstract/record read 2026-09-23
PUB-028,10.15625/vjbt-21940,Development of a &lt;i&gt;Pichia pastoris &lt;/i&gt; strain for secretory production of recombinant alkaline phytase,2025,VNU-HCM University of Science (probable),recombinant enzyme (Pichia) for aquafeed,"Alkaline phytase from B. subtilis secreted by P. pastoris X33 (Mut+), active on phytate at pH 7.5, aimed at aquafeed",high,,wave 1 RND,RD-01,VN-direct,Medium,feed-relevant precision fermentation; key result from Scite abstract/record read 2026-09-23
PUB-029,10.32508/stdj.v23i2.1746,Secretory expression of the recombinant FGF-2 protein in Pichia pastoris carrying multiple copies of target gene,2020,VNU-HCM University of Science,recombinant growth factor (FGF-2) in Pichia,Secretory FGF-2 in P. pastoris carrying multiple gene copies,high,,wave 1 RND,RD-01,VN-direct,High,FGF-2 is a cost driver in cultivated-meat media; key result from Scite abstract/record read 2026-09-23
PUB-030,10.32508/stdjet.v4i3.858,Study of glycerol-methanol and sorbitol-methanol mixed feed strategies for recombinant hPDGF-BB production in Pichia pastoris,2021,VNU-HCM (HCMUT / University of Science),recombinant growth factor (PDGF-BB) in Pichia,Glycerol-methanol and sorbitol-methanol mixed-feed strategies for hPDGF-BB production,high,,wave 1 RND,RD-01,VN-direct,High,fed-batch process development; key result from Scite abstract/record read 2026-09-23
PUB-031,10.32508/stdjns.v4i3.900,Heterologous expression of human KGF/FGF7 (Keratinocyte growth factor) in Pichia pastoris,2020,VNU-HCM University of Science,recombinant growth factor (KGF/FGF7) in Pichia,Heterologous expression of human KGF/FGF7 in P. pastoris,high,,wave 1 RND,RD-01,VN-direct,High,key result from Scite abstract/record read 2026-09-23
PUB-032,10.1007/s42770-024-01388-w,"Heterologous expression of pediocin PA-1 in Pichia pastoris: cloning, expression, characterization, and application in pork bologna preservation",2024,VNU-HCM University of Science (probable),recombinant food protein (bacteriocin) in Pichia,Pediocin PA-1 expressed in P. pastoris and applied in pork bologna preservation,med,,wave 1 RND,RD-01,VN-direct,Medium,key result from Scite abstract/record read 2026-09-23
PUB-033,10.1186/s13104-017-2471-6,Pichia pastoris versus Saccharomyces cerevisiae: a case study on the recombinant production of human granulocyte-macrophage colony-stimulating factor,2017,VNU-HCM (probable),recombinant protein host comparison | T11 Pichia pastoris,P. pastoris vs S. cerevisiae for human GM-CSF production,med,42,wave 1 RND; wave 2 BIBLIO (top-cited),RD-01; BIB-01,VN-direct,Medium,key result from Scite abstract/record read 2026-09-23 | Institutions per wave 2 OpenAIRE: not verified | Wave 2 biblio: Expression-host comparison. Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23.
PUB-034,10.1021/acs.jafc.5c00550,Development of CRISPR/Cas9-Mediated Saccharomyces cerevisiae Strains for the Cell-Surface Display of a Novel Fusion Acid-Alkaline Phytase,2025,VNU-HCM University of Science (probable),CRISPR yeast engineering,CRISPR/Cas9 S. cerevisiae strains displaying a fusion acid-alkaline phytase on the cell surface,med,,wave 1 RND,RD-01,VN-direct,Medium,key result from Scite abstract/record read 2026-09-23
PUB-035,10.15625/1811-4989/17659,Investigation of culture conditions for recombinant xylanase a production and its enzymatic hydrolysis of agricultural wastes,2023,"Institute of Biotechnology, VAST",recombinant enzyme (Pichia) for agro-waste,Xylanase A (A. niger) in P. pastoris GS115; hydrolysis of agricultural wastes,med,,wave 1 RND,RD-01,VN-direct,High,key result from Scite abstract/record read 2026-09-23
PUB-036,10.1155/2021/8840038,"Cloning, Expression, and Characterization of Xylanase G2 from Aspergillus oryzae VTCC‐F187 in Aspergillus niger VTCC‐F017",2021,"Institute of Biotechnology, VAST",fungal expression host (A. niger),Xylanase G2 of A. oryzae VTCC-F187 expressed in A. niger VTCC-F017,med,,wave 1 RND,RD-01,VN-direct,High,uses VTCC strains; key result from Scite abstract/record read 2026-09-23
PUB-037,10.1016/j.biteb.2021.100803,Arthrospira production in Vietnam: Current status and prospects,2021,Vietnam National University of Agriculture (VNUA),microalgae: Spirulina industry status,Review of Arthrospira production in Vietnam: current status and prospects,high,,wave 1 RND,RD-01,VN-direct,Medium,closed access; content not read beyond metadata; key result from Scite abstract/record read 2026-09-23
PUB-038,10.3390/su151511906,Transcriptome Analysis of Spirulina platensis sp. at Different Salinity and Nutrient Compositions for Sustainable Cultivation in Vietnam,2023,"Institute of Biotechnology, VAST",microalgae: salt-tolerant Spirulina,Salt-tolerant S. platensis ST in 25% SOT medium (42 ppt): protein 48.73% of dry weight after 15 days; transcriptome of salt response,high,,wave 1 RND,RD-01,VN-direct,High,"measured, lab scale; key result from Scite abstract/record read 2026-09-23"
PUB-039,10.9734/ajb2t/2026/v12i2296,Comparative Evaluation of Arthrospira platensis Cultivation in Closed Tubular Photobioreactors Versus Open Systems,2026,not established,microalgae: Spirulina cultivation systems,Closed tubular photobioreactors vs open systems for Arthrospira,med,,wave 1 RND,RD-01,VN-direct,Medium,key result from Scite abstract/record read 2026-09-23
PUB-040,10.15625/2525-2518/55/5/9374,"Experimental cultivation of Spirulina platensis using My An mineral water, Thua Thien Hue province",2017,Hue (institution not established),microalgae: Spirulina on mineral water,"Experimental cultivation of Spirulina using My An mineral water, Thua Thien Hue (now Hue city)",med,,wave 1 RND,RD-01,VN-direct,Medium,matches prior lead on My An pilot; key result from Scite abstract/record read 2026-09-23
PUB-041,10.1186/s13568-016-0270-4,Growth promotion of Spirulina by steelmaking slag: application of solubility diagram to understand its mechanism,2016,"Institute of Biotechnology, VAST with Japanese partners",microalgae: Spirulina growth,Steelmaking slag promotes Spirulina growth,low,,wave 1 RND,RD-01,VN-direct,High,key result from Scite abstract/record read 2026-09-23
PUB-042,10.3390/w14223645,Removal of Nutrients and COD in Wastewater from Vietnamese Piggery Farm by the Culture of Chlorella vulgaris in a Pilot-Scaled Membrane Photobioreactor,2022,not established,microalgae: Chlorella on piggery wastewater (pilot),Nutrient and COD removal from piggery wastewater by Chlorella vulgaris in pilot-scale membrane photobioreactor,med,,wave 1 RND,RD-01,VN-direct,Medium,wastewater-grown biomass: feed/food safety unresolved; key result from Scite abstract/record read 2026-09-23
PUB-043,10.3390/en13040898,"Isolation and Characterization of Two Microalgal Isolates from Vietnam with Potential for Food, Feed, and Biodiesel Production",2020,not established (with Belgian partners),microalgae isolates for food/feed,Nannochloropsis salina and lutein-rich Desmodesmus isolated from shrimp ponds; tolerate 10-35 ppt,med,,wave 1 RND,RD-01,VN-direct,Medium,key result from Scite abstract/record read 2026-09-23
PUB-044,10.18174/566553,Seaweed cultivation in Vietnam for livestock methane reduction : A Top Sector Agri &amp; Food SMP (Seed Money Project) report,2022,Wageningen Research (VN partners not named in record),seaweed,Seed-money study on seaweed cultivation in Vietnam for livestock methane reduction,low,,wave 1 RND,RD-01,VN-direct,High,international collaboration evidence; key result from Scite abstract/record read 2026-09-23
PUB-045,10.1007/s10811-018-1457-7,Effects of partial replacement of fishmeal protein with green seaweed (Cladophora spp.) protein in practical diets for the black tiger shrimp (Penaeus monodon) postlarvae,2018,Can Tho University,seaweed protein in shrimp feed | T16 Seaweed protein,Partial replacement of fishmeal protein with green seaweed (Cladophora) protein in P. monodon postlarvae diets,high,25,wave 1 RND; wave 2 BIBLIO (top-cited),RD-01; BIB-01; BIB-06,VN-direct,Medium,result values not in record; key result from Scite abstract/record read 2026-09-23 | Institutions per wave 2 OpenAIRE: Can Tho University (wave 1) | Wave 2 biblio: Matches wave 1. Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23.
PUB-046,10.1016/j.ejar.2022.11.003,Evaluating Artemia biomass and gut weed (Ulva intestinalis) meal as a dietary protein source for black tiger shrimp (Penaeus monodon) postlarvae,2023,Can Tho University,seaweed and Artemia protein in shrimp feed,Artemia biomass and gut weed (Ulva intestinalis) meal evaluated as protein source for P. monodon postlarvae,high,,wave 1 RND,RD-01,VN-direct,High,key result from Scite abstract/record read 2026-09-23
PUB-047,10.22144/ctu.jen.2022.029,"Morphological variation, chromosome number, and DNA barcoding of Giant Duckweed (Spirodela polyrhiza) in Vietnam",2022,Can Tho University journal; authors incl. Hoang Thi Nhu Phuong (institution not established),duckweed biodiversity,"First systematic survey: over 100 Spirodela, Lemna and Wolffia samples collected across Vietnam and maintained in lab",high,,wave 1 RND,RD-01,VN-direct,Medium,living germplasm = VN advantage; no protein work yet; key result from Scite abstract/record read 2026-09-23
PUB-048,10.1038/s41598-020-75728-9,"Chromosome-scale genome assembly for the duckweed Spirodela intermedia, integrating cytogenetic maps, PacBio and Oxford Nanopore libraries",2020,Vietnamese first author with IPK Gatersleben (Germany),duckweed genomics | T17 Duckweed,Chromosome-scale genome assembly of Spirodela intermedia,med,37,wave 1 RND; wave 2 BIBLIO (top-cited),RD-01; BIB-01; BIB-06,VN-direct,High,"genomics capacity, not protein; key result from Scite abstract/record read 2026-09-23 | Institutions per wave 2 OpenAIRE: VN authors with IPK Gatersleben (wave 1) | Wave 2 biblio: Matches wave 1. Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23."
PUB-049,10.1016/j.scitotenv.2020.137854,Nutrient removal by duckweed from anaerobically treated swine wastewater in lab-scale stabilization ponds in Vietnam,2020,Vietnamese and Japanese authors (institutions not established),duckweed on swine wastewater,Nutrient removal by duckweed from anaerobically treated swine wastewater in lab stabilisation ponds,med,,wave 1 RND,RD-01,VN-direct,Medium,key result from Scite abstract/record read 2026-09-23
PUB-050,10.5296/jas.v3i1.6867,Regeneration and Transformation of Gene Encoding the Hemagglutinin Antigen of the H5N1 Virus in Frond of Duckweed (Spirodela polyrhiza L.),2015,"Agricultural Genetics Institute, VAAS (probable)",duckweed as expression host,Regeneration and transformation of Spirodela polyrhiza with H5N1 haemagglutinin gene,med,,wave 1 RND,RD-01,VN-direct,Medium,molecular farming in duckweed; key result from Scite abstract/record read 2026-09-23
PUB-051,10.1016/j.fochx.2025.103310,Sustainable valorization of Pleurotus pulmonarius via green dual-enzyme technology: Novel optimization for functional protein hydrolysates,2025,not established,mushroom protein hydrolysate,Dual-enzyme optimisation for functional protein hydrolysates from Pleurotus pulmonarius,high,,wave 1 RND,RD-01,VN-direct,Medium,key result from Scite abstract/record read 2026-09-23
PUB-052,10.31817/vjas.2018.1.2.01,Identification of Optimal Culture Conditions for Mycelial Growth and Cultivation of Monkey Head Mushrooms (Hericium erinaceus (Bull.: fr.) Pers),2018,VNUA,mushroom cultivation,Optimal culture conditions for mycelial growth and cultivation of Hericium erinaceus,med,,wave 1 RND,RD-01,VN-direct,High,VNUA mushroom group; key result from Scite abstract/record read 2026-09-23
PUB-053,10.31817/vjas.2023.6.4.06,Optimal Culture Conditions for the Enhanced Mycelial Growth and Cultivation of Shiitake Mushroom (Lentinula edodes),2023,VNUA,mushroom cultivation,Culture conditions for mycelial growth and cultivation of shiitake,med,,wave 1 RND,RD-01,VN-direct,High,key result from Scite abstract/record read 2026-09-23
PUB-054,10.5114/bta.2020.94772,Cultural characteristics and cordycepin production of some Cordyceps militaris strains under artificial cultivation conditions,2020,VNUA,mushroom (Cordyceps militaris),Cultural characteristics and cordycepin production of C. militaris strains,low,,wave 1 RND,RD-01,VN-direct,High,key result from Scite abstract/record read 2026-09-23
PUB-055,10.1186/s13287-021-02694-y,Optimization of human umbilical cord blood-derived mesenchymal stem cell isolation and culture methods in serum- and xeno-free conditions,2022,Vinmec (Research Institute of Stem Cell and Gene Technology),cell culture: serum/xeno-free media,"Of four commercial serum/xeno-free kits, only StemMACS MSC Expansion Media supported cord-blood MSC isolation and culture",high,,wave 1 RND,RD-01,VN-direct,High,serum-free know-how transferable to cultivated meat; key result from Scite abstract/record read 2026-09-23
PUB-056,10.1089/cell.2021.0050,Differential Development of Umbilical Cord-Derived Mesenchymal Stem Cells During Long-Term Maintenance in Fetal Bovine Serum-Supplemented Medium and Xeno- and Serum-Free Culture Medium,2021,Vinmec (probable),cell culture: FBS vs serum-free long-term culture,Differential development of UC-MSCs under long-term FBS vs xeno- and serum-free media,high,,wave 1 RND,RD-01,VN-direct,Medium,key result from Scite abstract/record read 2026-09-23
PUB-057,10.15419/psc.v3i02.123,In vitro expansion of mesenchymal stem cells for clinical use,2016,"Stem Cell Institute, VNU-HCM University of Science",cell culture: MSC expansion,In vitro expansion of MSCs for clinical use,med,,wave 1 RND,RD-01,VN-direct,High,key result from Scite abstract/record read 2026-09-23
PUB-058,10.15419/bmrat.v7i12.652,A simple and scalable method to generate spheroids from human mesenchymal stem cells for use in tissue engineering,2020,"Stem Cell Institute, VNU-HCM University of Science",cell culture: scalable spheroids,Simple scalable method to generate MSC spheroids for tissue engineering,med,,wave 1 RND,RD-01,VN-direct,High,key result from Scite abstract/record read 2026-09-23
PUB-059,10.1262/jrd.2019-050,Isolation of female germline stem cells from porcine ovarian tissue and differentiation into oocyte-like cells,2019,"International University, VNU-HCM (probable)",livestock stem cells (pig),Female germline stem cells isolated from porcine ovary and differentiated to oocyte-like cells,high,,wave 1 RND,RD-01,VN-direct,Medium,only livestock stem-cell line work found; key result from Scite abstract/record read 2026-09-23
PUB-060,10.2478/vjls-2024-0013,From Lab to Table: Food Safety Regulations for Cell-Cultured Meat in the European Union and Singapore - Implications for Vietnam,2024,not established (legal scholars),cultivated meat regulation | T12 Cultivated meat,Analysis of EU and Singapore food safety rules for cell-cultured meat and implications for Vietnam,med,0,wave 1 RND; wave 2 BIBLIO (top-cited),RD-01; BIB-01,VN-direct,Medium,"only VN cultivated-meat paper found; legal, not technical; key result from Scite abstract/record read 2026-09-23 | Institutions per wave 2 OpenAIRE: not verified | Wave 2 biblio: Only VN cultivated meat item; legal, not technical. Matches wave 1 RD-43. Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23."
PUB-061,10.48048/tis.2026.11874,Advances and Challenges in Serum-Free Culture Systems for Mesenchymal Stem Cells: Toward Clinical-Grade Expansion,2026,not established,cell culture: serum-free systems review,Review of serum-free culture systems for clinical-grade MSC expansion,med,,wave 1 RND,RD-01,VN-direct,Medium,key result from Scite abstract/record read 2026-09-23
PUB-062,10.3390/aquacj5010007,Black Soldier Fly Larvae Meal as a Sustainable Alternative to Fishmeal in Juvenile Swamp Eel Diets: Effects on Growth and Meat Quality,2025,VNUA,insect: BSF in swamp eel feed,30% BSFL meal gave best growth and lowest FCR (2.33) in juvenile swamp eel over 3 months,med,,wave 1 RND,RD-01,VN-direct,High,benchmark only; key result from Scite abstract/record read 2026-09-23
