record_id,metric,value,unit,year,scope,source_ids,evidence_label,confidence,demand_evidence_type,notes
RST-025,wincommerce_revenue,39000,VND billion,2025,Vietnam,CHN-14,VN-direct,Medium,revealed,up 18%; about USD 1.5 bn (our calculation)
RST-026,wincommerce_revenue_h1,23000,VND billion,2026,Vietnam,CHN-15,VN-direct,Medium,revealed,about 30% growth
RST-027,wincommerce_target_stores_2030,13000,stores,2030,Vietnam,AIB-12; AIB-13,VN-direct,Medium,stated,"Company target at the 2026 AGM: about 6,100 stores by end 2026 and 13,000 by 2030, adding at least 1,500 a year. Version 0.4: replaces 15,000."
RST-028,winmart_plus_stores,3692,stores,2025-03,Vietnam,CHN-06,VN-direct,Medium,revealed,Q&Me enumeration
RST-029,coop_food_stores,579,stores,2025-03,Vietnam,CHN-06,VN-direct,Medium,revealed,Q&Me
RST-030,coopmart_stores,128,stores,2025-03,Vietnam,CHN-06,VN-direct,Medium,revealed,Q&Me
RST-031,winmart_supermarkets,136,stores,2025-03,Vietnam,CHN-06,VN-direct,Medium,revealed,Q&Me
RST-032,kingfood_mart_stores,96,stores,2025-03,Vietnam,CHN-06,VN-direct,Medium,revealed,Q&Me
RST-033,go_big_c_stores,43,stores,2026,Vietnam,CHN-06; AIB-31,VN-direct,Medium,revealed,"Q&Me; Central Retail. Version 0.4: Central Retail runs 43 GO! hypermarkets, 16 mini go!, 9 Tops and 23 Lan Chi (AIB-31); 39 in March 2025 (CHN-06)."
RST-034,tops_market_stores,9,stores,2025-03,Vietnam,CHN-06; AIB-31,VN-direct,Medium,revealed,Q&Me. Version 0.4: still 9 in 2026 (AIB-31).
RST-035,mm_mega_market_stores,21,stores,2025-03,Vietnam,CHN-06,VN-direct,Medium,revealed,Q&Me
RST-036,aeon_maxvalu_stores,23,stores,2025-03,Vietnam,CHN-06,VN-direct,Medium,revealed,Q&Me
RST-037,aeon_citimart_stores,13,stores,2025-03,Vietnam,CHN-06,VN-direct,Medium,revealed,Q&Me
RST-038,aeon_malls,9,malls,2026,Vietnam,CHN-01; AIB-33,VN-direct,Medium,revealed,eighth mall opened Sept 2025 in Tan An. Version 0.4: 9 malls in 2026; plan of 30 by fiscal 2030 (RST-060).
RST-039,lotte_mart_stores,17,stores,2026,Vietnam,CHN-01; AIB-34,VN-direct,Medium,revealed,Version 0.4: 17 stores (15 in 2025); strategy moving into industrial towns.
RST-040,emart_stores,3,stores,2025-03,Vietnam,CHN-06,VN-direct,Medium,revealed,2024 plan: 20 new stores in five years (CHN-02)
RST-041,satrafoods_stores,226,stores,2025-03,Vietnam,CHN-06,VN-direct,Medium,revealed,
RST-042,circle_k_stores,499,stores,2025-03,Vietnam,CHN-06,VN-direct,Medium,revealed,SHS gives about 447 in Nov 2025 (CHN-08); disagreement
RST-043,gs25_stores,318,stores,2026,Vietnam,CHN-07,VN-direct,Medium,revealed,up 82 (about 35%)
RST-044,familymart_stores,172,stores,2026,Vietnam,CHN-07,VN-direct,Medium,revealed,up about 23%
RST-045,seven_eleven_stores,148,stores,2026,Vietnam,CHN-07,VN-direct,Medium,revealed,up about 14%; northern entry June 2025
RST-046,ministop_stores,197,stores,2025-03,Vietnam,CHN-06,VN-direct,Medium,revealed,
RST-047,convenience_and_minimart_outlets_enumerated,7806,outlets,2025-03,"Vietnam, chains enumerated",CHN-06,VN-direct,Medium,revealed,"HCMC 2,483; Hanoi 1,382; others 3,941"
RST-048,convenience_and_minimart_outlets_enumerated,9671,outlets,2026,"Vietnam, chains enumerated",CHN-07,VN-direct,Medium,revealed,"up 23.89%; others 4,933; HCMC 3,062; Hanoi 1,676; reported as forecast but matches enumeration growth"
RST-049,supermarket_outlets_enumerated,615,outlets,2025-03,"Vietnam, chains enumerated",CHN-06,VN-direct,Medium,revealed,
RST-050,stores_reached_by_bhx_plus_wincommerce_listing,8753,stores,2026-08,Vietnam,CHN-12; CHN-15,VN-direct,Medium,inferred,"our calculation: 3,612 + 5,141"
RST-051,fresh_meat_traditional_share,80,percent of fresh meat market,not stated,Vietnam,CHN-18,VN-direct,Low,revealed,Euromonitor via B&Company; premium traceable about 10%
RST-052,pork_retailers_at_wet_markets,95,"percent of pork retailers, lower bound",2018 study,"Vietnam, study areas",CHN-19,VN-direct,Medium,revealed,Unger et al. 2018 via systematic review
RST-053,beef_buyers_preferring_wet_markets,90,"percent of respondents, approx",2022 study,Dien Bien province,CHN-20,VN-direct,Medium,stated,Kinh and Thai households; rural north
RST-054,cp_vietnam_fresh_shops,1000,"shops, lower bound",2025,Vietnam,CHN-17,VN-direct,Low,revealed,"C.P. Fresh Shop, Fresh Mart, Five Star"
RST-055,households_using_refrigerator,59.0,percent of households,2014,Vietnam,CHN-21,VN-direct,Low,revealed,GSO 2015 via Ha-Duong 2021; refrigerators not freezers; dated
RST-056,food_delivery_spending,1.4,USD billion,2023,Vietnam,CHN-04,VN-direct,Low,revealed,Momentum Works via GAIN; up 30%
RST-057,prefer_cook_at_home,62,percent of surveyed consumers,2024-Q1,Vietnam,CHN-02,VN-direct,Low,stated,NielsenIQ via GAIN; sample not reported
RST-058,middle_class_share,17,percent of population,2024,Vietnam,CHN-05,VN-direct,Low,inferred,MOLISA via GAIN; projected 26% in 2026
RST-059,wincommerce_target_stores_end_2026,6100,stores,2026,Vietnam,AIB-12; AIB-13,VN-direct,Medium,stated,Version 0.4: added; company target at the 2026 AGM.
RST-060,aeon_target_malls_2030,30,malls,2030,Vietnam,AIB-33,VN-direct,Medium,stated,Version 0.4: added; AEON plans revenue over JPY 300 billion and puts 60% of its ASEAN investment in Vietnam.
RST-061,mini_go_stores,16,stores,2026,Vietnam,AIB-31,VN-direct,Medium,revealed,Version 0.4: added; Central Retail.
RST-062,lan_chi_stores,23,stores,2026,Vietnam,AIB-31,VN-direct,Medium,revealed,Version 0.4: added; Central Retail.
RST-063,coop_private_label_skus,2500,"SKUs, lower bound",2026,Saigon Co.op,AIB-28; AIB-29,VN-direct,Medium,stated,"Version 0.4: added; more than 2,500 private-label SKUs from more than 100 Vietnamese makers, 15 to 30% below comparable products, including Co.op Select chay made by GN Foods (CPC-15)."
RST-064,wincommerce_house_brand_target,25 to 50,Mega House Brands,2026,WinCommerce,AIB-12,VN-direct,Medium,stated,Version 0.4: added; we found no chay private label at WinCommerce (one store checked online).
