record_id,topic,query_string,query_url,country,count_2015_2026,country_total_2015_2026,per_10k,source_ids,evidence_label,confidence,notes
BC-011,T11 Pichia pastoris / Komagataella,"""Pichia pastoris"" OR Komagataella",https://api.openaire.eu/graph/v1/researchProducts?search=%22Pichia+pastoris%22+OR+Komagataella&countryCode=VN&fromPublicationDate=2015-01-01&type=publication,VN,25,240387,1.04,BIB-01,VN-direct,Medium,"Top 10 by citations: vaccine antigens, enzymes, yeast display, lipidomics methods. No food protein expression found."
BC-012,T12 Cultivated / cultured / cell-based meat,"""cultured meat"" OR ""cultivated meat"" OR ""cell-based meat"" OR ""lab-grown meat""",https://api.openaire.eu/graph/v1/researchProducts?search=%22cultured+meat%22+OR+%22cultivated+meat%22+OR+%22cell-based+meat%22+OR+%22lab-grown+meat%22&countryCode=VN&fromPublicationDate=2015-01-01&type=publication,VN,1,240387,0.042,BIB-01,VN-direct,High,Only hit is the 2024 legal analysis 10.2478/vjls-2024-0013 (matches wave 1).
BC-013,T13 Fish / shrimp cell line,"""fish cell line"" OR ""shrimp cell line""",https://api.openaire.eu/graph/v1/researchProducts?search=%22fish+cell+line%22+OR+%22shrimp+cell+line%22&countryCode=VN&fromPublicationDate=2015-01-01&type=publication,VN,1,240387,0.042,BIB-01,VN-direct,Medium,Single hit is a toxicology paper using a fish cell line (10.1016/j.jhazmat.2025.140003). No VN cell line development for food.
BC-014,T14 Spirulina / Arthrospira,spirulina OR Arthrospira,https://api.openaire.eu/graph/v1/researchProducts?search=spirulina+OR+Arthrospira&countryCode=VN&fromPublicationDate=2015-01-01&type=publication,VN,87,240387,3.619,BIB-01,VN-direct,Medium,"'spirulina' alone = 78. Top 10 cited are wastewater, biofuel/diesel-engine and nanoparticle papers with VN co-authors; protein-as-ingredient papers are not among the most cited."
BC-015,T15 Microalgae protein,"""microalgae protein"" OR ""microalgal protein"" OR ""algal protein""",https://api.openaire.eu/graph/v1/researchProducts?search=%22microalgae+protein%22+OR+%22microalgal+protein%22+OR+%22algal+protein%22&countryCode=VN&fromPublicationDate=2015-01-01&type=publication,VN,3,240387,0.125,BIB-01,VN-direct,Medium,"All 3 read: 2019 review 'Microalgae: a potential alternative to health supplementation' (821 citations, Malaysia-led network with a VN co-author, attribution not verified); Chlorella protein extraction 2019; pretreatment study 2021."
BC-016,T16 Seaweed protein,"""seaweed protein"" OR ""macroalgae protein""",https://api.openaire.eu/graph/v1/researchProducts?search=%22seaweed+protein%22+OR+%22macroalgae+protein%22&countryCode=VN&fromPublicationDate=2015-01-01&type=publication,VN,1,240387,0.042,BIB-01,VN-direct,Medium,Only 10.1007/s10811-018-1457-7 (Cladophora protein in shrimp postlarvae feed).
BC-017,T17 Duckweed / Lemna / Wolffia,duckweed OR Lemna OR Wolffia,https://api.openaire.eu/graph/v1/researchProducts?search=duckweed+OR+Lemna+OR+Wolffia&countryCode=VN&fromPublicationDate=2015-01-01&type=publication,VN,23,240387,0.957,BIB-01,VN-direct,Medium,Top 10 are genomics/taxonomy (IPK Gatersleben network) plus one nanoparticle paper. No protein extraction or feed/food trial in top 10.
BC-018,T18 Black soldier fly (benchmark),"""black soldier fly"" OR ""Hermetia illucens""",https://api.openaire.eu/graph/v1/researchProducts?search=%22black+soldier+fly%22+OR+%22Hermetia+illucens%22&countryCode=VN&fromPublicationDate=2015-01-01&type=publication,VN,34,240387,1.414,BIB-01,VN-direct,Medium,Top 4 cited are biodiesel from BSF larval fat (Taiwan-based network with VN co-authors); feed trials follow (e.g. 10.3390/ani10101876).
BC-019,T19 Fishmeal replacement,"""fishmeal replacement"" OR ""fish meal replacement"" OR ""replacing fishmeal"" OR ""replacing fish meal""",https://api.openaire.eu/graph/v1/researchProducts?search=%22fishmeal+replacement%22+OR+%22fish+meal+replacement%22+OR+%22replacing+fishmeal%22+OR+%22replacing+fish+meal%22&countryCode=VN&fromPublicationDate=2015-01-01&type=publication,VN,10,240387,0.416,BIB-01,VN-direct,Medium,All 10 read: about 7 VN-relevant aquafeed trials; 2 look like false VN tags (Indian journal Leucaena trial; Azolla in Etroplus preprint). Wave 1 counted about 20 VN aquafeed alt-protein papers with broader terms.
BC-020,T20 Alternative protein (umbrella term),"""alternative protein""",https://api.openaire.eu/graph/v1/researchProducts?search=%22alternative+protein%22&countryCode=VN&fromPublicationDate=2015-01-01&type=publication,VN,20,240387,0.832,BIB-01,VN-direct,Medium,"Top 10 dominated by feed (insect meal, earthworm, complete fishmeal replacement, SCP); 1 consumer-choice paper."
BC-021,B1 Novel-food basket (plant-based meat + cultivated meat),"""plant-based meat"" OR ""meat analogue"" OR ""cultured meat"" OR ""cultivated meat""",https://api.openaire.eu/graph/v1/researchProducts?search=%22plant-based+meat%22+OR+%22meat+analogue%22+OR+%22cultured+meat%22+OR+%22cultivated+meat%22&countryCode=VN&fromPublicationDate=2015-01-01&type=publication,VN,9,240387,0.374,BIB-01,VN-direct,Medium,Count only; titles not screened except VN.
BC-022,B1 Novel-food basket (plant-based meat + cultivated meat),"""plant-based meat"" OR ""meat analogue"" OR ""cultured meat"" OR ""cultivated meat""",https://api.openaire.eu/graph/v1/researchProducts?search=%22plant-based+meat%22+OR+%22meat+analogue%22+OR+%22cultured+meat%22+OR+%22cultivated+meat%22&countryCode=TH&fromPublicationDate=2015-01-01&type=publication,TH,49,310198,1.58,BIB-01,VN-adjacent,Medium,Count only; titles not screened except VN.
BC-023,B1 Novel-food basket (plant-based meat + cultivated meat),"""plant-based meat"" OR ""meat analogue"" OR ""cultured meat"" OR ""cultivated meat""",https://api.openaire.eu/graph/v1/researchProducts?search=%22plant-based+meat%22+OR+%22meat+analogue%22+OR+%22cultured+meat%22+OR+%22cultivated+meat%22&countryCode=MY&fromPublicationDate=2015-01-01&type=publication,MY,61,598148,1.02,BIB-01,VN-adjacent,Medium,Count only; titles not screened except VN.
BC-024,B1 Novel-food basket (plant-based meat + cultivated meat),"""plant-based meat"" OR ""meat analogue"" OR ""cultured meat"" OR ""cultivated meat""",https://api.openaire.eu/graph/v1/researchProducts?search=%22plant-based+meat%22+OR+%22meat+analogue%22+OR+%22cultured+meat%22+OR+%22cultivated+meat%22&countryCode=ID&fromPublicationDate=2015-01-01&type=publication,ID,47,2667071,0.176,BIB-01,VN-adjacent,Medium,Count only; titles not screened except VN. ID denominator inflated by national OJS journals indexed in OpenAIRE; per-10k not comparable.
BC-025,B1 Novel-food basket (plant-based meat + cultivated meat),"""plant-based meat"" OR ""meat analogue"" OR ""cultured meat"" OR ""cultivated meat""",https://api.openaire.eu/graph/v1/researchProducts?search=%22plant-based+meat%22+OR+%22meat+analogue%22+OR+%22cultured+meat%22+OR+%22cultivated+meat%22&countryCode=PH&fromPublicationDate=2015-01-01&type=publication,PH,10,161138,0.621,BIB-01,VN-adjacent,Medium,Count only; titles not screened except VN.
BC-026,B1 Novel-food basket (plant-based meat + cultivated meat),"""plant-based meat"" OR ""meat analogue"" OR ""cultured meat"" OR ""cultivated meat""",https://api.openaire.eu/graph/v1/researchProducts?search=%22plant-based+meat%22+OR+%22meat+analogue%22+OR+%22cultured+meat%22+OR+%22cultivated+meat%22&countryCode=SG&fromPublicationDate=2015-01-01&type=publication,SG,112,380453,2.944,BIB-01,VN-adjacent,Medium,Count only; titles not screened except VN.
BC-027,T14 Spirulina / Arthrospira,spirulina OR Arthrospira,https://api.openaire.eu/graph/v1/researchProducts?search=spirulina+OR+Arthrospira&countryCode=TH&fromPublicationDate=2015-01-01&type=publication,TH,164,310198,5.287,BIB-01,VN-adjacent,Medium,Count only; titles not screened.
BC-028,T14 Spirulina / Arthrospira,spirulina OR Arthrospira,https://api.openaire.eu/graph/v1/researchProducts?search=spirulina+OR+Arthrospira&countryCode=MY&fromPublicationDate=2015-01-01&type=publication,MY,178,598148,2.976,BIB-01,VN-adjacent,Medium,Count only; titles not screened.
BC-029,T14 Spirulina / Arthrospira,spirulina OR Arthrospira,https://api.openaire.eu/graph/v1/researchProducts?search=spirulina+OR+Arthrospira&countryCode=ID&fromPublicationDate=2015-01-01&type=publication,ID,928,2667071,3.479,BIB-01,VN-adjacent,Medium,Count only; titles not screened. ID denominator inflated by national OJS journals; per-10k not comparable.
BC-030,T14 Spirulina / Arthrospira,spirulina OR Arthrospira,https://api.openaire.eu/graph/v1/researchProducts?search=spirulina+OR+Arthrospira&countryCode=PH&fromPublicationDate=2015-01-01&type=publication,PH,36,161138,2.234,BIB-01,VN-adjacent,Medium,Count only; titles not screened.
BC-031,T14 Spirulina / Arthrospira,spirulina OR Arthrospira,https://api.openaire.eu/graph/v1/researchProducts?search=spirulina+OR+Arthrospira&countryCode=SG&fromPublicationDate=2015-01-01&type=publication,SG,28,380453,0.736,BIB-01,VN-adjacent,Medium,Count only; titles not screened.
BC-032,T19 Fishmeal replacement,"""fishmeal replacement"" OR ""fish meal replacement"" OR ""replacing fishmeal"" OR ""replacing fish meal""",https://api.openaire.eu/graph/v1/researchProducts?search=%22fishmeal+replacement%22+OR+%22fish+meal+replacement%22+OR+%22replacing+fishmeal%22+OR+%22replacing+fish+meal%22&countryCode=TH&fromPublicationDate=2015-01-01&type=publication,TH,14,310198,0.451,BIB-01,VN-adjacent,Medium,Count only; titles not screened.
BC-033,T19 Fishmeal replacement,"""fishmeal replacement"" OR ""fish meal replacement"" OR ""replacing fishmeal"" OR ""replacing fish meal""",https://api.openaire.eu/graph/v1/researchProducts?search=%22fishmeal+replacement%22+OR+%22fish+meal+replacement%22+OR+%22replacing+fishmeal%22+OR+%22replacing+fish+meal%22&countryCode=MY&fromPublicationDate=2015-01-01&type=publication,MY,28,598148,0.468,BIB-01,VN-adjacent,Medium,Count only; titles not screened.
BC-034,T19 Fishmeal replacement,"""fishmeal replacement"" OR ""fish meal replacement"" OR ""replacing fishmeal"" OR ""replacing fish meal""",https://api.openaire.eu/graph/v1/researchProducts?search=%22fishmeal+replacement%22+OR+%22fish+meal+replacement%22+OR+%22replacing+fishmeal%22+OR+%22replacing+fish+meal%22&countryCode=ID&fromPublicationDate=2015-01-01&type=publication,ID,27,2667071,0.101,BIB-01,VN-adjacent,Medium,Count only; titles not screened. ID denominator inflated by national OJS journals; per-10k not comparable.
BC-035,T19 Fishmeal replacement,"""fishmeal replacement"" OR ""fish meal replacement"" OR ""replacing fishmeal"" OR ""replacing fish meal""",https://api.openaire.eu/graph/v1/researchProducts?search=%22fishmeal+replacement%22+OR+%22fish+meal+replacement%22+OR+%22replacing+fishmeal%22+OR+%22replacing+fish+meal%22&countryCode=PH&fromPublicationDate=2015-01-01&type=publication,PH,11,161138,0.683,BIB-01,VN-adjacent,Medium,Count only; titles not screened. PH/SG page summaries show on-topic aquafeed trials.
BC-036,T19 Fishmeal replacement,"""fishmeal replacement"" OR ""fish meal replacement"" OR ""replacing fishmeal"" OR ""replacing fish meal""",https://api.openaire.eu/graph/v1/researchProducts?search=%22fishmeal+replacement%22+OR+%22fish+meal+replacement%22+OR+%22replacing+fishmeal%22+OR+%22replacing+fish+meal%22&countryCode=SG&fromPublicationDate=2015-01-01&type=publication,SG,6,380453,0.158,BIB-01,VN-adjacent,Medium,Count only; titles not screened. PH/SG page summaries show on-topic aquafeed trials.
BC-037,TOTAL all fields (type=publication),(no search term),https://api.openaire.eu/graph/v1/researchProducts?countryCode=VN&fromPublicationDate=2015-01-01&type=publication&pageSize=1,VN,240387,240387,10000,BIB-01,VN-direct,Medium,Denominator. OpenAIRE 'publication' type includes non-peer-reviewed items and duplicates; ID is inflated by national journal indexing.
BC-038,TOTAL all fields (type=publication),(no search term),https://api.openaire.eu/graph/v1/researchProducts?countryCode=TH&fromPublicationDate=2015-01-01&type=publication&pageSize=1,TH,310198,310198,10000,BIB-01,VN-adjacent,Medium,Denominator. OpenAIRE 'publication' type includes non-peer-reviewed items and duplicates; ID is inflated by national journal indexing.
BC-039,TOTAL all fields (type=publication),(no search term),https://api.openaire.eu/graph/v1/researchProducts?countryCode=MY&fromPublicationDate=2015-01-01&type=publication&pageSize=1,MY,598148,598148,10000,BIB-01,VN-adjacent,Medium,Denominator. OpenAIRE 'publication' type includes non-peer-reviewed items and duplicates; ID is inflated by national journal indexing.
BC-040,TOTAL all fields (type=publication),(no search term),https://api.openaire.eu/graph/v1/researchProducts?countryCode=ID&fromPublicationDate=2015-01-01&type=publication&pageSize=1,ID,2667071,2667071,10000,BIB-01,VN-adjacent,Medium,Denominator. OpenAIRE 'publication' type includes non-peer-reviewed items and duplicates; ID is inflated by national journal indexing.
BC-041,TOTAL all fields (type=publication),(no search term),https://api.openaire.eu/graph/v1/researchProducts?countryCode=PH&fromPublicationDate=2015-01-01&type=publication&pageSize=1,PH,161138,161138,10000,BIB-01,VN-adjacent,Medium,Denominator. OpenAIRE 'publication' type includes non-peer-reviewed items and duplicates; ID is inflated by national journal indexing.
BC-042,TOTAL all fields (type=publication),(no search term),https://api.openaire.eu/graph/v1/researchProducts?countryCode=SG&fromPublicationDate=2015-01-01&type=publication&pageSize=1,SG,380453,380453,10000,BIB-01,VN-adjacent,Medium,Denominator. OpenAIRE 'publication' type includes non-peer-reviewed items and duplicates; ID is inflated by national journal indexing.
