record_id,programme_or_channel,people_served,people_served_unit,meals_per_year,meals_per_year_basis,price_per_meal_vnd,rules,year,source_ids,evidence_label,confidence,demand_evidence_type,notes
INS-011,Hanoi school milk tender,,over 90% of preschool and primary children,,,6286 per 180 ml box,"State 30% (50% disadvantaged), supplier 23%, parents about 47%; milk made entirely in Vietnam; public tender won by Vinamilk",2019 to 2020,CHN-34,VN-direct,Medium,revealed,"Contract over VND 3,828 billion"
INS-012,Hospitals (one public hospital patient-meal tender),,,102303,"tender quantity: about 81,842 rice meals and 20,461 porridge meals a year (Hospital for Tropical Diseases, Ho Chi Minh City)",,"At least 1,800 kcal (rice) or 1,200 kcal (porridge) and 60 g of protein a day; per meal at least 60 g of meat, fish or poultry, or at least 120 g of tofu as a full replacement; seafood at most one third of a day's menu; sealed labelled containers; at least three sample menus with photos (meat, seafood and tofu versions)",2025,AIB-44,VN-direct,Medium,revealed,Version 0.4: replaces the open placeholder. 120 g of tofu gives about 13.1 g of protein against 11.4 g for 60 g of meat (our calculation). Patient meal budgets were not in the page; one tender only.
INS-013,Military (basic infantry food allowance),,,,,72000 per soldier per day,"Circular 96/2025/TT-BQP (25 August 2025): basic infantry food allowance VND 72,000 (USD 2.77) per person per day, up from VND 65,000 under Circular 168/2021; ration composition and procurement not retrieved",2025,AIB-45,VN-direct,Medium,revealed,"Version 0.4: replaces the open placeholder; the circular text was not found, only the allowance."
INS-014,School meal nutrition guidance (Decision 3958/QĐ-BYT),,,,,,"MOH guidance of 25 Dec 2025 for general, boarding and semi-boarding schools (preschools excluded): protein 13 to 20% of energy; lunch 30 to 40% of daily energy; animal protein on at least 4 to 5 days a week alternating with plant protein (legumes, tofu) at least twice a week; fish or seafood 2 to 3 times a week; no animal share of protein; limit processed meat and sausages; food table lists tofu, soybeans and soy milk but no textured soy or analogue; no sanction",2025,AIB-39; APR-04,VN-direct,High,revealed,Version 0.4: added. Audited menus meet the twice-weekly plant rule in only 9 of 48 school-weeks and fill it with tofu beside meat; plant protein appears on 15.1% of 239 lunch days (PMR-10; PMR-31).
INS-015,School Health Programme 2026 to 2035 (Decision 973/QĐ-TTg),,,,,,"Prime Minister, 1 June 2026: MOET circular on school nutrition education and bán trú meal organisation (due 2026); scale up the school meal model (ongoing); MOET digital tools to build balanced menus (2027 to 2028); MOF to revise Circular 14/2007 on school health funding (2026); 100% of schools serving meals meet food-safety conditions by 2030 (93.1% in 2026); funding may include enterprises and international aid",2026,PMR-01; APR-12,VN-direct,High,revealed,"Version 0.4: added. The text names no company, menu count or milk; press reports of 400 menus and a daily milk carton come from coverage, not the decision (AFN-45). This is the rule window for school menus."
INS-016,Food safety in education institutions (Directive 33/CT-TTg),,,,,,"Prime Minister, 14 Aug 2026: provinces list and evaluate all suppliers by September 2026; check legal status, food-safety certificates and food quality; daily public disclosure of caterer, ingredients, purchase invoices, menus and tray photos; MOET to finish meal-organisation rules in Q4 2026; restricts no food type",2026,PMR-02; AIB-42,VN-direct,Medium,revealed,Version 0.4: added. Ho Chi Minh City Document 9632 implements it and bars a supplier from serving more schools than its capacity. Read through a fetch summary.
INS-017,"Hanoi public primary school lunch, 2026 to 2027 (Resolution 84/2026/NQ-HĐND)",,,,,40000,"VND 40,000 per pupil per meal (lunch and snack): city pays VND 28,000, parents VND 12,000; care fee VND 235,000 a month; ward evaluation councils list capable suppliers and assign caterers, food, milk and water suppliers school by school; caterer writes the menu and the principal co-signs",2026 to 2027,PMR-05; PMR-06,VN-direct,High,revealed,Version 0.4: added. One Bo De ward notice covers 14 public schools; one caterer wrote near-identical menus for three schools.
INS-018,Ho Chi Minh City primary school lunch,,,,,35000,"School kitchen or a caterer approved by the principal; schools ask for quotes with a price plan and capability dossier, and the commune appraises the chosen supplier",2025 to 2026,PMR-32; PMR-33; PMR-08,VN-direct,High,revealed,Version 0.4: added.
INS-019,Hai Phong school meal tender (Chu Van An Primary),2157,pupils,405900,"our calculation: about 45,100 meals a month x 9 months",regulated norm,"Price at the regulated norm; bidders compete on the extra portion value they add; business registration, food-safety certificate, revenue of at least VND 3 billion, catering contracts with at least 3 schools or industrial zones, certified food suppliers; ready-processed foods only with clear origin, compliant packaging and a use-by date; caterer writes a 20-day menu (rice, main protein dish, vegetable, soup, dessert and a milk or cake snack)",2026,PMR-07,VN-direct,High,revealed,"Version 0.4: added. Shows the documents a caterer, and so an ingredient supplier, must hold."
INS-020,Semi-boarding pupil food support (Decree 66/2025/ND-CP),,,,,40700 to 46800 per school day,"VND 936,000 a month plus 15 kg of rice; VND 360,000 more a month if housing is self-arranged; up to 9 months a year; covers two or three meals a day for boarders in ethnic minority and mountain areas; in force 1 May 2025",2025,UPL-20; UPL-12; UPL-23,VN-direct,High,revealed,"Version 0.4: added. Per school day: VND 46,800 over 20 days or about VND 40,700 to 42,500 over 22 to 23 days (our calculation). Schools state boarding meal costs of VND 17,000 to 27,500 a meal (UPL-23; UPL-17)."
INS-021,New boarding schools including land-border communes (Decree 188/2026/ND-CP),,,,,45000 to 53200 per day (full boarder),"Full boarder VND 1,170,000 a month plus 15 kg of rice; midday boarder VND 450,000 plus 8 kg; up to 9 months; signed 27 May 2026, in force 15 July 2026",2026,UPL-21,VN-direct,High,revealed,"Version 0.4: added. Per day: about VND 45,000 over 26 days or 53,200 over 22 days (our calculation). Upland boarding lunches and dinners carried meat, fish or egg in 240 of 242 meals (UPL-01; UPL-09)."
INS-022,Nuoi Em charity lunch,143,pupils (one example site),,,8000,"Charity-funded lunch at preschool and primary satellite sites: VND 8,000 a lunch (VND 1,144,000 for 143 pupils); 34 g pork and 82 g tofu, or 1.7 duck eggs, a pupil",2026,UPL-08,VN-direct,High,revealed,Version 0.4: added.
INS-023,Hope Foundation and De Heus Vietnam school meal top-up,,,108000,"86,000 breakfasts and 22,000 lunches in 2024 to 2025",about 10000 extra,"A feed company funding breakfasts and an extra dish at three boarding schools (Son La, Thanh Hoa, Nghe An): about VND 10,000 more a meal; VND 1.2 billion since 1 October 2024",2024 to 2025,UPL-25,VN-direct,High,revealed,Version 0.4: added.
INS-024,"School menu software standard (MOET, Ajinomoto Vietnam and NIN)",4262,schools (coverage by November 2022),,,asks each school for its lunch fee,"Balanced-menu software and menu bank (120+ menus, 360+ dishes behind a school login); nutrition sheets print a standard of animal protein at least 48% of protein per lunch; not enforced (9 of 25 published days fall below it)",2026,PMR-26; AFN-46; AIB-24,VN-direct,Medium,revealed,"Version 0.4: added. A software default, not law: national guidance (INS-014) sets no animal share. MOET is asked to update the software to Decision 3958."
