record_id,actor,home_market,actor_type,stated_target,metric_and_method,latest_reported_value,latest_year,progress_assessment,private_label_or_range,supplier_requirements,sourcing_evidence_asia_vietnam,vietnam_link,route_relevance,source_ids,evidence_label,confidence,demand_evidence_type,notes
XR-11,Marks and Spencer,United Kingdom,retailer,Not checked,n/a,n/a,n/a,n/a,Not checked,100% of first-tier food production sites disclosed on Open Supply Hub,Not readable (Open Supply Hub API requires authentication),not determinable,Cheapest place to count Vietnamese food sites supplying a UK private label,XBA-16,general,High,n/a,Disclosure exists; content not read.
XR-12,Waitrose,United Kingdom,retailer,Not checked,n/a,n/a,n/a,n/a,Menyū katsu curry vegetable steamed buns (5.2 g protein per 100 g) with Vietnam origin (Open Food Facts),Not checked,One Vietnam-origin vegetable bun SKU (crowd-sourced record),product (Low),"Wrapped vegetable format, low protein",XBA-26,VN-direct,Low,revealed,Brand owner of Menyū not identified.
XR-13,Fuji Oil Holdings,Japan,ingredient maker (soy protein),No plant-protein sourcing target found,n/a,No. 1 in Japan in soy protein ingredients,2025,"Added a textured soy protein plant in Chiba, Japan; transferred a soy protein foods plant in 2024","Granulated and textured soy protein; applications ham and sausages, frozen and prepared foods, food service and school lunches",n/a,"No Vietnamese group company; soy ingredient units in Japan, Singapore and China. Japan's imports of textured protein (2106.10) from Vietnam USD 0.14 to 0.25 million a year (2024 to 2025) against USD 11.5 to 12.8 million from China",none,"Incumbent supplier and competitor, not a buyer of Vietnamese textured protein",XBA-18; XBA-19; XBA-28,general,High,revealed,"Japan admits Vietnamese textured protein free against 6.6% for China (EXP-41), yet trade is negligible."
XR-14,Otsuka Foods,Japan,branded food maker,n/a,n/a,"Zero Meat hamburg ended January 2025, sausage June 2025, ham July 2025",2025,Exit from finished plant-based meat,Zero Meat (discontinued),n/a,None,none,Revealed exit of a leading Japanese finished analogue brand,XBA-17,general,High,revealed,Former Zero Meat URL redirects to the discontinued products page.
XR-15,Marukome,Japan,branded food maker,n/a,n/a,"Daizu Labo soy-meat range still listed (dried, retort, seasoned)",2026,Continuing,Daizu Labo 大豆のお肉,n/a,Country of manufacture and ingredient origin not published on pages read,not determinable,Clean negative on origin evidence,XBA-31,general,Low,revealed,Would need Japanese label (原産国) photos or a buyer interview.
XR-16,CJ CheilJedang,"Korea; plants in Vietnam, US, Germany, Hungary (from H2 2026)",food maker and brand owner,PlanTable plant-based sales KRW 200 billion by 2025 (AIB-17); Europe food sales KRW 500 billion by 2027,Sales value,"PlanTable exported to 30 countries incl. Germany and UK (2022); nine items, about 8 million units cumulative (Nov 2023)",2023,No newsroom item on PlanTable after November 2023 found by site search (weak),"bibigo dumplings incl. plant-based versions; PlanTable (own TVP, V-Label)","Kizuna plant: FSSC 22000, HACCP, halal (MUI, JAKIM)","Kizuna plant (Can Giuoc, Tay Ninh) opened February 2022 as the first 'Global to Global' export base for dumplings and rolls to Japan, the EU, Australia and Southeast Asia; but a Hungary plant will supply bibigo dumplings to Europe from H2 2026; bibigo vegetable dumplings at Coles are made in Australia",plant (buyer-owned),Proves the wrapped-food export model from Vietnam; also shows near-shoring risk for EU supply,XBA-20; XBA-21; XBA-22; XBA-23; XBA-24; XBA-25; XBA-33; AIB-17; AFN-18,VN-direct,Medium,stated; revealed,APB 100 Tier 3 (AFN-18).
XR-17,Daesang,Korea,food maker,Not found,n/a,n/a,n/a,n/a,Not found,n/a,Affiliate Miwon Vietnam; no plant-based sourcing from Vietnam found,affiliate (not plant-based),Clean negative (Low),XBA-32,general,Low,n/a,Pulmuone and Nissin sites could not be read (connection errors).
XR-18,Weee! (online Asian grocer),United States,importer and grocer,n/a,n/a,"Vietnam-made vegetarian rolls, jerky, soups, bao, sauces at USD 3.50 to 10 a pack; none marketed on protein",2026,n/a,Brands of Vietnamese makers,n/a,Revealed diaspora listings,product,TPP-09 channel,EXP-37,VN-direct,High,revealed,From the package; not re-checked.
XR-19,Coles and the Mr Chen's brand,Australia,retailer and brand owner,n/a,n/a,Mr Chen's Prawn Hargow labelled 'Made in Vietnam'; several Mr Chen's and Chan's Yum Cha SKUs carry Vietnamese GS1 prefixes,2026,A Mr Chen's vegetable dumpling SKU with a Vietnamese barcode was recorded in 2018 but no vegetable SKU appeared in Coles search in September 2026,Mr Chen's (Australian brand); Coles Nature's Kitchen vegetable gyoza and Coles vegetable spring rolls (origin not read),Not retrieved,"Vietnam co-packs wrapped foods for an Australian brand sold in Coles, Woolworths and Aldi",product (co-pack),Existing co-pack relationship a plant-based SKU could extend,XBA-25; XBA-26; XBA-27,VN-direct,High (label); Low (barcode records),revealed,Coles bot check stopped further label reads.
XR-20,Costco (Royal Asia brand),Canada; United States,retailer and brand,n/a,n/a,"Royal Asia vegetable spring rolls with edamame, wheat protein and soy protein: origin Vietnam",2026,n/a,Royal Asia,Not retrieved,One Vietnam-origin vegetable spring roll SKU (crowd-sourced record updated August 2026),product (Low),Club-store wrapped vegetable format,XBA-26,VN-direct,Low,revealed,Brand owner not identified.
