record_id,product,company,country,category,channel,launch_date,price,composition_or_protein,volume_or_status,source_ids,evidence_label,confidence,demand_evidence_type,notes
FSL-011,"Cultivated meat, any",All companies,Vietnam,cultivated meat,n/a,n/a,n/a,n/a,"No product, no approval route; only university research (University of Science, VNU Ho Chi Minh City, from about 2020)",NOV-66,VN-direct,Medium,revealed,Supply study: no novel-food approval route in Vietnam.
FSL-012,Upside Foods cultivated chicken (restaurant),Upside Foods,United States,cultivated meat,Restaurant,2023,not retrieved,Cultivated chicken,About 1 pound per month sold in 2023 against 50000 pounds per year capacity (Bloomberg via CafeF),NOV-71,general,Low,revealed,Secondary relay; Bloomberg original not read.
FSL-013,Very Dairy animal-free milk,Perfect Day,Singapore,precision fermentation (whey protein),"Supermarkets (FairPrice, Cold Storage, Giant, RedMart)",November 2022,not retrieved,Recombinant beta-lactoglobulin milk drink,Sales and current availability not found,NOV-43,VN-adjacent,Low,revealed,Only PF consumer launch in Southeast Asian supermarkets we found.
FSL-014,Recombinant beta-lactoglobulin (B2B),Perfect Day (with Zydus in Gujarat),India (serving global buyers),precision fermentation,"B2B: sports and active nutrition, medical nutrition, clear high-protein drinks, lactose-free dairy","Gujarat plant H2 2026, ramp-up 2027",not disclosed,Whey protein BLG,Company says existing output sold out and demand outpaces supply,NOV-44,general,Low,revealed,Company statement.
FSL-015,Bovine lactoferrin (B2B),All G,China,precision fermentation,"B2B: functional foods, sports, adult and elderly nutrition (not infant formula)",Approval November 2024; launch targeted H2 2025,Conventional lactoferrin about US$800 per kg (company CEO),Recombinant bovine lactoferrin,Approval; sales not disclosed,NOV-45; NOV-46,VN-adjacent,Low,revealed,Price is a single company claim.
FSL-016,Sweelin sweet protein (B2B),Amai Proteins,Singapore,precision fermentation (sweet protein),B2B food and beverage makers,SFA approval May 2026,not disclosed,Sweet protein,Approval; sales not disclosed,NOV-47,VN-adjacent,Medium,revealed,Status only.
FSL-017,Mellia brazzein (B2B),Bestzyme (GenScript),China,precision fermentation (sweet protein),B2B beverages; US sparkling water partner,Production line opened September 2026; NHC approval pending,not disclosed,Brazzein,100 tonnes per year capacity at launch,NOV-48,VN-adjacent,Medium,revealed,"Capacity, not sales."
FSL-018,"ChangingPRO (whipped cream, parmesan powder)",Changing Bio,China,"biomass fermentation (yeast protein), hybrid with dairy or plant","B2B, debuted at Bakery China expo",May 2023,not disclosed,Microbial protein combined with plant or conventional dairy,Sales not disclosed,NOV-42,VN-adjacent,Low,revealed,Hybrid and B2B bakery channel.
FSL-019,FuNext mycoprotein (B2B),Fushine Bio,China,mycoprotein,"B2B ingredient for meat analogues, bakery, snacks, pet food",NHC approval December 2025,not disclosed,Fusarium venenatum protein,1200 t per year now; 200000 t per year planned,NOV-49,VN-adjacent,Medium,revealed,First mycoprotein approval in China.
FSL-020,Quorn and Cauldron,Monde Nissin (Quorn Foods),UK mainly; rest of world 15.8 percent of segment sales (2024),mycoprotein,Retail and foodservice,Long established,n/a,Mycoprotein,"Segment net sales about PHP 15.4 billion (2022), 14.2 billion (2023), 13.6 billion (2024) (our calculation from shares); UK 78.6 percent of 2024 segment sales; H1 2026 PHP 7.38 billion, +2.2 percent",NOV-50; NOV-51,general,High,revealed,Philippine owner; no Asian sales breakdown published.
FSL-021,Half-and-half sausage,Ginga Foods with Mama Foods,Japan,blended meat,"B2B: restaurants, hotels, school lunches, canteens, manufacturers",August 2026,not disclosed,"50 percent pork, 50 percent plant-based meat",Sales not disclosed,NOV-41,VN-adjacent,Medium,revealed,"Blend sold through institutional channels, not retail."
FSL-022,Xuc xich Dinh Duong Heo (sausage),Vissan,Vietnam,existing Vietnamese blend,Modern retail and online,Long established,"VND 20,500 per 175 g pack (about VND 117,000 per kg)","Lean pork 58 percent, pork fat, soy protein, starch, fibre, DHA",On sale (listing showed out of stock on 24 September 2026),NOV-56,VN-direct,High,revealed,Beef version also 58 percent lean beef plus soy protein.
FSL-023,Gio lua 500 g (pork roll),Vissan,Vietnam,existing Vietnamese blend,Modern retail and online,Long established,"VND 103,100 per 500 g (about VND 206,000 per kg)","Pork, pork fat, milk protein, soy protein and other ingredients",On sale,NOV-57,VN-direct,High,revealed,Soy and milk protein are functional binders; inclusion rate not shown.
FSL-024,TH true NUT walnut milk,TH Group,Vietnam,existing Vietnamese blend (nut plus dairy),Modern retail,About 2020,"VND 48,500 (pack size ambiguous on listing)","Water, fresh cow's milk, walnut and others; 1.0 g protein per 100 ml",On sale,NOV-58,VN-direct,Medium,revealed,A blend marketed as a nut milk; low protein.
FSL-025,ColosBaby Lactoferrin 3+; GrowPLUS+ Colostrum Lactoferrin; Morinaga formulas,VitaDairy; Nutifood; Morinaga,Vietnam,conventional lactoferrin in formula (a PF target ingredient),"Modern retail, pharmacies, mother and baby stores",2025 to 2026 campaigns,not retrieved,Lactoferrin from bovine milk or colostrum,Heavily advertised through sponsored articles in 2026,NOV-59; NOV-60; NOV-61,VN-direct,Medium,revealed,Shows Vietnamese formula makers already pay for lactoferrin. We found no Vietnamese buyer interest in PF versions.
FSL-026,Stakes and R&D ties in cultivated seafood,"Vinh Hoan (Avant Meats, Shiok Meats); Minh Phu (Shiok Meats)",Vietnam and Singapore,cultivated seafood (corporate interest),Corporate investment and R&D MOU,January 2021; July 2021; July 2022,n/a,Cultivated fish and shrimp,Current status of these ties not found,NOV-74; NOV-75; NOV-76,VN-direct,Medium,revealed,"Strategic, not consumer, demand."
