record_id,topic,country,year,count,per_10k_country_output,query_or_oql,source_ids,notes
BTF-034,single_cell_protein,World,2024,174,,"OpenAlex title_and_abstract.search; type article or review; retracted excluded; ""single cell protein"" OR ""single-cell protein""",HSC-01,
BTF-035,single_cell_protein,World,2025,235,,"OpenAlex title_and_abstract.search; type article or review; retracted excluded; ""single cell protein"" OR ""single-cell protein""",HSC-01,
BTF-036,single_cell_protein,World,2026,221,,"OpenAlex title_and_abstract.search; type article or review; retracted excluded; ""single cell protein"" OR ""single-cell protein""",HSC-01,2026 partial year (to 24 Sep 2026)
BTF-037,precision_fermentation,World,2015,8,,"OpenAlex title_and_abstract.search; type article or review; retracted excluded; ""precision fermentation"" OR ""animal-free dairy"" OR ""animal-free protein"" OR ""recombinant milk protein"" OR ""recombinant casein"" OR ""recombinant beta-lactoglobulin"" OR ""recombinant ovalbumin"" OR ""recombinant egg white"" OR ""recombinant food protein"" OR ""recombinant leghemoglobin"" OR ""recombinant lactoferrin"" OR ""recombinant myoglobin""",HSC-01,
BTF-038,precision_fermentation,World,2016,5,,"OpenAlex title_and_abstract.search; type article or review; retracted excluded; ""precision fermentation"" OR ""animal-free dairy"" OR ""animal-free protein"" OR ""recombinant milk protein"" OR ""recombinant casein"" OR ""recombinant beta-lactoglobulin"" OR ""recombinant ovalbumin"" OR ""recombinant egg white"" OR ""recombinant food protein"" OR ""recombinant leghemoglobin"" OR ""recombinant lactoferrin"" OR ""recombinant myoglobin""",HSC-01,
BTF-039,precision_fermentation,World,2017,3,,"OpenAlex title_and_abstract.search; type article or review; retracted excluded; ""precision fermentation"" OR ""animal-free dairy"" OR ""animal-free protein"" OR ""recombinant milk protein"" OR ""recombinant casein"" OR ""recombinant beta-lactoglobulin"" OR ""recombinant ovalbumin"" OR ""recombinant egg white"" OR ""recombinant food protein"" OR ""recombinant leghemoglobin"" OR ""recombinant lactoferrin"" OR ""recombinant myoglobin""",HSC-01,
BTF-040,precision_fermentation,World,2018,5,,"OpenAlex title_and_abstract.search; type article or review; retracted excluded; ""precision fermentation"" OR ""animal-free dairy"" OR ""animal-free protein"" OR ""recombinant milk protein"" OR ""recombinant casein"" OR ""recombinant beta-lactoglobulin"" OR ""recombinant ovalbumin"" OR ""recombinant egg white"" OR ""recombinant food protein"" OR ""recombinant leghemoglobin"" OR ""recombinant lactoferrin"" OR ""recombinant myoglobin""",HSC-01,
BTF-041,precision_fermentation,World,2019,6,,"OpenAlex title_and_abstract.search; type article or review; retracted excluded; ""precision fermentation"" OR ""animal-free dairy"" OR ""animal-free protein"" OR ""recombinant milk protein"" OR ""recombinant casein"" OR ""recombinant beta-lactoglobulin"" OR ""recombinant ovalbumin"" OR ""recombinant egg white"" OR ""recombinant food protein"" OR ""recombinant leghemoglobin"" OR ""recombinant lactoferrin"" OR ""recombinant myoglobin""",HSC-01,
BTF-042,precision_fermentation,World,2020,9,,"OpenAlex title_and_abstract.search; type article or review; retracted excluded; ""precision fermentation"" OR ""animal-free dairy"" OR ""animal-free protein"" OR ""recombinant milk protein"" OR ""recombinant casein"" OR ""recombinant beta-lactoglobulin"" OR ""recombinant ovalbumin"" OR ""recombinant egg white"" OR ""recombinant food protein"" OR ""recombinant leghemoglobin"" OR ""recombinant lactoferrin"" OR ""recombinant myoglobin""",HSC-01,
BTF-043,precision_fermentation,World,2021,15,,"OpenAlex title_and_abstract.search; type article or review; retracted excluded; ""precision fermentation"" OR ""animal-free dairy"" OR ""animal-free protein"" OR ""recombinant milk protein"" OR ""recombinant casein"" OR ""recombinant beta-lactoglobulin"" OR ""recombinant ovalbumin"" OR ""recombinant egg white"" OR ""recombinant food protein"" OR ""recombinant leghemoglobin"" OR ""recombinant lactoferrin"" OR ""recombinant myoglobin""",HSC-01,
BTF-044,precision_fermentation,World,2022,22,,"OpenAlex title_and_abstract.search; type article or review; retracted excluded; ""precision fermentation"" OR ""animal-free dairy"" OR ""animal-free protein"" OR ""recombinant milk protein"" OR ""recombinant casein"" OR ""recombinant beta-lactoglobulin"" OR ""recombinant ovalbumin"" OR ""recombinant egg white"" OR ""recombinant food protein"" OR ""recombinant leghemoglobin"" OR ""recombinant lactoferrin"" OR ""recombinant myoglobin""",HSC-01,
BTF-045,precision_fermentation,World,2023,43,,"OpenAlex title_and_abstract.search; type article or review; retracted excluded; ""precision fermentation"" OR ""animal-free dairy"" OR ""animal-free protein"" OR ""recombinant milk protein"" OR ""recombinant casein"" OR ""recombinant beta-lactoglobulin"" OR ""recombinant ovalbumin"" OR ""recombinant egg white"" OR ""recombinant food protein"" OR ""recombinant leghemoglobin"" OR ""recombinant lactoferrin"" OR ""recombinant myoglobin""",HSC-01,
BTF-046,precision_fermentation,World,2024,62,,"OpenAlex title_and_abstract.search; type article or review; retracted excluded; ""precision fermentation"" OR ""animal-free dairy"" OR ""animal-free protein"" OR ""recombinant milk protein"" OR ""recombinant casein"" OR ""recombinant beta-lactoglobulin"" OR ""recombinant ovalbumin"" OR ""recombinant egg white"" OR ""recombinant food protein"" OR ""recombinant leghemoglobin"" OR ""recombinant lactoferrin"" OR ""recombinant myoglobin""",HSC-01,
BTF-047,precision_fermentation,World,2025,188,,"OpenAlex title_and_abstract.search; type article or review; retracted excluded; ""precision fermentation"" OR ""animal-free dairy"" OR ""animal-free protein"" OR ""recombinant milk protein"" OR ""recombinant casein"" OR ""recombinant beta-lactoglobulin"" OR ""recombinant ovalbumin"" OR ""recombinant egg white"" OR ""recombinant food protein"" OR ""recombinant leghemoglobin"" OR ""recombinant lactoferrin"" OR ""recombinant myoglobin""",HSC-01,
BTF-048,precision_fermentation,World,2026,234,,"OpenAlex title_and_abstract.search; type article or review; retracted excluded; ""precision fermentation"" OR ""animal-free dairy"" OR ""animal-free protein"" OR ""recombinant milk protein"" OR ""recombinant casein"" OR ""recombinant beta-lactoglobulin"" OR ""recombinant ovalbumin"" OR ""recombinant egg white"" OR ""recombinant food protein"" OR ""recombinant leghemoglobin"" OR ""recombinant lactoferrin"" OR ""recombinant myoglobin""",HSC-01,2026 partial year (to 24 Sep 2026)
BTF-049,molecular_farming_food_narrow,World,2024,3,,"OpenAlex title_and_abstract.search; type article or review; retracted excluded; (""molecular farming"" OR ""molecular pharming"" OR ""plant molecular farming"") AND (""alternative protein"" OR ""casein"" OR ""milk protein"" OR ""cellular agriculture"" OR ""animal protein"" OR ""food protein"" OR ""food ingredient"" OR ""meat"")",HSC-01,
BTF-050,molecular_farming_food_narrow,World,2025,3,,"OpenAlex title_and_abstract.search; type article or review; retracted excluded; (""molecular farming"" OR ""molecular pharming"" OR ""plant molecular farming"") AND (""alternative protein"" OR ""casein"" OR ""milk protein"" OR ""cellular agriculture"" OR ""animal protein"" OR ""food protein"" OR ""food ingredient"" OR ""meat"")",HSC-01,
BTF-051,molecular_farming_food_narrow,World,2026,2,,"OpenAlex title_and_abstract.search; type article or review; retracted excluded; (""molecular farming"" OR ""molecular pharming"" OR ""plant molecular farming"") AND (""alternative protein"" OR ""casein"" OR ""milk protein"" OR ""cellular agriculture"" OR ""animal protein"" OR ""food protein"" OR ""food ingredient"" OR ""meat"")",HSC-01,2026 partial year (to 24 Sep 2026)
BTF-052,ai_food_protein,World,2017,1,,"OpenAlex title_and_abstract.search; type article or review; retracted excluded; (""machine learning"" OR ""artificial intelligence"" OR ""deep learning"" OR ""Bayesian optimization"" OR ""protein language model"") AND (""cultivated meat"" OR ""cultured meat"" OR ""precision fermentation"" OR ""alternative protein"" OR ""alternative proteins"" OR ""meat analogue"" OR ""meat analog"" OR ""plant-based meat"" OR ""mycoprotein"" OR ""single cell protein"" OR ""food protein"" OR ""food proteins"")",HSC-01,
BTF-053,ai_food_protein,World,2019,1,,"OpenAlex title_and_abstract.search; type article or review; retracted excluded; (""machine learning"" OR ""artificial intelligence"" OR ""deep learning"" OR ""Bayesian optimization"" OR ""protein language model"") AND (""cultivated meat"" OR ""cultured meat"" OR ""precision fermentation"" OR ""alternative protein"" OR ""alternative proteins"" OR ""meat analogue"" OR ""meat analog"" OR ""plant-based meat"" OR ""mycoprotein"" OR ""single cell protein"" OR ""food protein"" OR ""food proteins"")",HSC-01,
BTF-054,ai_food_protein,World,2020,4,,"OpenAlex title_and_abstract.search; type article or review; retracted excluded; (""machine learning"" OR ""artificial intelligence"" OR ""deep learning"" OR ""Bayesian optimization"" OR ""protein language model"") AND (""cultivated meat"" OR ""cultured meat"" OR ""precision fermentation"" OR ""alternative protein"" OR ""alternative proteins"" OR ""meat analogue"" OR ""meat analog"" OR ""plant-based meat"" OR ""mycoprotein"" OR ""single cell protein"" OR ""food protein"" OR ""food proteins"")",HSC-01,
BTF-055,ai_food_protein,World,2021,7,,"OpenAlex title_and_abstract.search; type article or review; retracted excluded; (""machine learning"" OR ""artificial intelligence"" OR ""deep learning"" OR ""Bayesian optimization"" OR ""protein language model"") AND (""cultivated meat"" OR ""cultured meat"" OR ""precision fermentation"" OR ""alternative protein"" OR ""alternative proteins"" OR ""meat analogue"" OR ""meat analog"" OR ""plant-based meat"" OR ""mycoprotein"" OR ""single cell protein"" OR ""food protein"" OR ""food proteins"")",HSC-01,
BTF-056,ai_food_protein,World,2022,10,,"OpenAlex title_and_abstract.search; type article or review; retracted excluded; (""machine learning"" OR ""artificial intelligence"" OR ""deep learning"" OR ""Bayesian optimization"" OR ""protein language model"") AND (""cultivated meat"" OR ""cultured meat"" OR ""precision fermentation"" OR ""alternative protein"" OR ""alternative proteins"" OR ""meat analogue"" OR ""meat analog"" OR ""plant-based meat"" OR ""mycoprotein"" OR ""single cell protein"" OR ""food protein"" OR ""food proteins"")",HSC-01,
BTF-057,ai_food_protein,World,2023,19,,"OpenAlex title_and_abstract.search; type article or review; retracted excluded; (""machine learning"" OR ""artificial intelligence"" OR ""deep learning"" OR ""Bayesian optimization"" OR ""protein language model"") AND (""cultivated meat"" OR ""cultured meat"" OR ""precision fermentation"" OR ""alternative protein"" OR ""alternative proteins"" OR ""meat analogue"" OR ""meat analog"" OR ""plant-based meat"" OR ""mycoprotein"" OR ""single cell protein"" OR ""food protein"" OR ""food proteins"")",HSC-01,
BTF-058,ai_food_protein,World,2024,30,,"OpenAlex title_and_abstract.search; type article or review; retracted excluded; (""machine learning"" OR ""artificial intelligence"" OR ""deep learning"" OR ""Bayesian optimization"" OR ""protein language model"") AND (""cultivated meat"" OR ""cultured meat"" OR ""precision fermentation"" OR ""alternative protein"" OR ""alternative proteins"" OR ""meat analogue"" OR ""meat analog"" OR ""plant-based meat"" OR ""mycoprotein"" OR ""single cell protein"" OR ""food protein"" OR ""food proteins"")",HSC-01,
BTF-059,ai_food_protein,World,2025,89,,"OpenAlex title_and_abstract.search; type article or review; retracted excluded; (""machine learning"" OR ""artificial intelligence"" OR ""deep learning"" OR ""Bayesian optimization"" OR ""protein language model"") AND (""cultivated meat"" OR ""cultured meat"" OR ""precision fermentation"" OR ""alternative protein"" OR ""alternative proteins"" OR ""meat analogue"" OR ""meat analog"" OR ""plant-based meat"" OR ""mycoprotein"" OR ""single cell protein"" OR ""food protein"" OR ""food proteins"")",HSC-01,
BTF-060,ai_food_protein,World,2026,127,,"OpenAlex title_and_abstract.search; type article or review; retracted excluded; (""machine learning"" OR ""artificial intelligence"" OR ""deep learning"" OR ""Bayesian optimization"" OR ""protein language model"") AND (""cultivated meat"" OR ""cultured meat"" OR ""precision fermentation"" OR ""alternative protein"" OR ""alternative proteins"" OR ""meat analogue"" OR ""meat analog"" OR ""plant-based meat"" OR ""mycoprotein"" OR ""single cell protein"" OR ""food protein"" OR ""food proteins"")",HSC-01,2026 partial year (to 24 Sep 2026)
BTF-061,mycoprotein,World,2015,10,,"OpenAlex title_and_abstract.search; type article or review; retracted excluded; ""mycoprotein"" OR ""myco-protein"" OR ""mycelial protein"" OR ""mycelium protein"" OR ""fungal biomass protein"" OR ""mycelium-based meat"" OR ""mycelium-based food"" OR ""fungal-based meat""",HSC-01,
BTF-062,mycoprotein,World,2016,9,,"OpenAlex title_and_abstract.search; type article or review; retracted excluded; ""mycoprotein"" OR ""myco-protein"" OR ""mycelial protein"" OR ""mycelium protein"" OR ""fungal biomass protein"" OR ""mycelium-based meat"" OR ""mycelium-based food"" OR ""fungal-based meat""",HSC-01,
BTF-063,mycoprotein,World,2017,11,,"OpenAlex title_and_abstract.search; type article or review; retracted excluded; ""mycoprotein"" OR ""myco-protein"" OR ""mycelial protein"" OR ""mycelium protein"" OR ""fungal biomass protein"" OR ""mycelium-based meat"" OR ""mycelium-based food"" OR ""fungal-based meat""",HSC-01,
BTF-064,mycoprotein,World,2018,13,,"OpenAlex title_and_abstract.search; type article or review; retracted excluded; ""mycoprotein"" OR ""myco-protein"" OR ""mycelial protein"" OR ""mycelium protein"" OR ""fungal biomass protein"" OR ""mycelium-based meat"" OR ""mycelium-based food"" OR ""fungal-based meat""",HSC-01,
BTF-065,mycoprotein,World,2019,17,,"OpenAlex title_and_abstract.search; type article or review; retracted excluded; ""mycoprotein"" OR ""myco-protein"" OR ""mycelial protein"" OR ""mycelium protein"" OR ""fungal biomass protein"" OR ""mycelium-based meat"" OR ""mycelium-based food"" OR ""fungal-based meat""",HSC-01,
BTF-066,mycoprotein,World,2020,23,,"OpenAlex title_and_abstract.search; type article or review; retracted excluded; ""mycoprotein"" OR ""myco-protein"" OR ""mycelial protein"" OR ""mycelium protein"" OR ""fungal biomass protein"" OR ""mycelium-based meat"" OR ""mycelium-based food"" OR ""fungal-based meat""",HSC-01,
BTF-067,mycoprotein,World,2021,30,,"OpenAlex title_and_abstract.search; type article or review; retracted excluded; ""mycoprotein"" OR ""myco-protein"" OR ""mycelial protein"" OR ""mycelium protein"" OR ""fungal biomass protein"" OR ""mycelium-based meat"" OR ""mycelium-based food"" OR ""fungal-based meat""",HSC-01,
BTF-068,mycoprotein,World,2022,42,,"OpenAlex title_and_abstract.search; type article or review; retracted excluded; ""mycoprotein"" OR ""myco-protein"" OR ""mycelial protein"" OR ""mycelium protein"" OR ""fungal biomass protein"" OR ""mycelium-based meat"" OR ""mycelium-based food"" OR ""fungal-based meat""",HSC-01,
BTF-069,mycoprotein,World,2023,55,,"OpenAlex title_and_abstract.search; type article or review; retracted excluded; ""mycoprotein"" OR ""myco-protein"" OR ""mycelial protein"" OR ""mycelium protein"" OR ""fungal biomass protein"" OR ""mycelium-based meat"" OR ""mycelium-based food"" OR ""fungal-based meat""",HSC-01,
BTF-070,mycoprotein,World,2024,71,,"OpenAlex title_and_abstract.search; type article or review; retracted excluded; ""mycoprotein"" OR ""myco-protein"" OR ""mycelial protein"" OR ""mycelium protein"" OR ""fungal biomass protein"" OR ""mycelium-based meat"" OR ""mycelium-based food"" OR ""fungal-based meat""",HSC-01,
BTF-071,mycoprotein,World,2025,100,,"OpenAlex title_and_abstract.search; type article or review; retracted excluded; ""mycoprotein"" OR ""myco-protein"" OR ""mycelial protein"" OR ""mycelium protein"" OR ""fungal biomass protein"" OR ""mycelium-based meat"" OR ""mycelium-based food"" OR ""fungal-based meat""",HSC-01,
BTF-072,mycoprotein,World,2026,101,,"OpenAlex title_and_abstract.search; type article or review; retracted excluded; ""mycoprotein"" OR ""myco-protein"" OR ""mycelial protein"" OR ""mycelium protein"" OR ""fungal biomass protein"" OR ""mycelium-based meat"" OR ""mycelium-based food"" OR ""fungal-based meat""",HSC-01,2026 partial year (to 24 Sep 2026)
BTF-073,microalgae_protein,World,2015,22,,"OpenAlex title_and_abstract.search; type article or review; retracted excluded; ""microalgae protein"" OR ""microalgal protein"" OR ""algal protein"" OR ""algae protein"" OR ""spirulina protein"" OR ""chlorella protein"" OR ""Arthrospira protein"" OR ""microalgal proteins"" OR ""microalgae proteins""",HSC-01,
