record_id,driver,indicator,value,unit,year,basis,source_ids,evidence_label,confidence,demand_evidence_type,notes
DDD-040,diet,Rice food use per person,132.84,kg per year,2025,OECD-FAO Outlook 2026 to 2035,DIE-11,VN-direct,Medium,revealed,VHLSS home rice consumption fell from 9.68 to 6.45 kg per person per month between 2010 and 2024 (DIE-05); the two bases differ.
DDD-041,diet,Rice food use per person,123.21,kg per year,2035,OECD-FAO Outlook 2026 to 2035,DIE-11,VN-direct,Medium,inferred,VHLSS home rice consumption fell from 9.68 to 6.45 kg per person per month between 2010 and 2024 (DIE-05); the two bases differ.
DDD-042,diet,Eating out as share of household food spending,22.5,%,2024,NSO VHLSS 2024,DIE-05,VN-direct,High,revealed,"Urban 29.6%, rural 16.1%; peak 26.7% in 2018."
DDD-043,health,"Adult overweight prevalence (BMI 25 or more, age-standardised, 18+)",8.4,%,2010,"WHO GHO, NCD-RisC estimates",DIE-28,VN-direct,Medium,revealed,Modelled estimate. Obesity (BMI 30+) 2.4% in 2024; Asian cut-offs would give higher figures.
DDD-044,health,"Adult overweight prevalence (BMI 25 or more, age-standardised, 18+)",16.3,%,2020,"WHO GHO, NCD-RisC estimates",DIE-28,VN-direct,Medium,revealed,Modelled estimate. Obesity (BMI 30+) 2.4% in 2024; Asian cut-offs would give higher figures.
DDD-045,health,"Adult overweight prevalence (BMI 25 or more, age-standardised, 18+)",20.0,%,2024,"WHO GHO, NCD-RisC estimates",DIE-28,VN-direct,Medium,revealed,Modelled estimate. Obesity (BMI 30+) 2.4% in 2024; Asian cut-offs would give higher figures.
DDD-046,health,"Diabetes prevalence (age-standardised, 18+)",10.9,%,2022,"WHO GHO, NCD-RisC estimates",DIE-28,VN-direct,Medium,revealed,5.3% in 2010. Modelled.
DDD-047,health,"Hypertension prevalence (age-standardised, 30 to 79)",29.7,%,2019,"WHO GHO, NCD-RisC estimates",DIE-28,VN-direct,Medium,revealed,28.6% in 2010.
DDD-048,health,"Stunting, children under 5",19.6,%,2020,NIN General Nutrition Survey 2019 to 2020,DIE-01; DIE-03,VN-direct,Medium,revealed,"29.3% in 2010. JME modelled series: 20.3% (2020), 19.2% (2024) (DIE-28). Over 30% in former Ha Giang, Cao Bang, Kon Tum and Gia Lai provinces (2020)."
DDD-049,health,"Stunting, ages 5 to 19",14.8,%,2020,NIN General Nutrition Survey 2019 to 2020,DIE-01,VN-direct,Medium,revealed,
DDD-050,health,"Overweight and obesity, ages 5 to 19",19.0,%,2020,NIN General Nutrition Survey 2019 to 2020,DIE-01; DIE-03,VN-direct,Medium,revealed,"8.5% in 2010; urban 26.8%, rural 18.3%, mountainous 6.9%."
DDD-051,price,Pig producer price (annual average),78138,VND per kg,2020,FAOSTAT producer prices,DIE-25,VN-direct,Medium,revealed,"46,076 (2019), 59,176 (2021), 56,299 (2023), 61,051 (2024). Chicken producer price about flat: 98,956 (2019), 98,642 (2020)."
DDD-052,price,Live hog price,"57,000 to 60,000",VND per kg live weight,2026-09-24,Daily market report,DIE-26,VN-direct,Low,revealed,"72,000 to 80,000 on 26 Feb 2025 (DIE-27); 65,000 in April 2026 (supply study COST-35)."
DDD-053,food safety,Consumers worried about contaminated pork,more than 90,% of respondents,2023 (publication; fieldwork year not recorded by us),"BDM auction study, 152 respondents in two provinces",DIE-30,VN-direct,Medium,stated,Same study found a 20% premium in an incentive-compatible auction (tested).
DDD-054,food safety,Stated premium for pork from certified abattoirs,70,% above market price,2024 (publication),"Discrete choice experiment, Hanoi and Haiphong",DIE-29,VN-direct,Medium,tested,Hypothetical choice experiment; up to 102% for hormone- and drug-free pork among consumers who see contamination as life-threatening. Overstates what people pay.
