record_id,wave,line,kind,method,question,yield_class,what_changed,key_finding,next_step_needs,further_desk_work,source_prefix,working_paper,evidence_label,confidence,source_ids,notes
W8-L1,8,"Label, claim and product-standard rules",different kind,"desk: laws, decrees, national standards",Do Vietnamese rules already settle Part III's label moves and product claims?,changed a conclusion,DMV-13 to DMV-16; TPP-02 and TPP-03 labels; GMO collision (ch14),High-protein claim at 10 g per 100 g; no minimum meat content; meat share already declared when named; vegetarian allows egg and milk; GMO label only above 5%,Agency ruling on detectability; chay label compliance audit,noise (legal texts),LBL,working-papers/wave8/lines/L1-labels-standards/L1-labels-standards.md,VN-direct,High,LBL-03; LBL-06; LBL-15,
W8-L2,8,Feed buyers as actors (T2 demand check),different kind,"desk: company reports, ASC register, trade data",Do feed mills and standards pull microbial feed protein?,added a constraint; correction,T2 evidence and kill test; ch17.5 standards reading; new TPP-11 for feed,"Vietnam imports about 9,200 t of inactive yeast for food and feed, 95% at about USD 1.1 per kg; ASC, BAP and GLOBALG.A.P. neither require nor reward microbial protein",Importer names; mill nutritionist interviews,noise (company reports),FBA,working-papers/wave8/lines/L2-feed-buyers/L2-feed-buyers.md,VN-direct,Medium,FBA-01; FBA-17; FBA-04,
W8-L3,8,Export buyers as actors,different kind,"desk: retailer reports, supplier lists, mirror trade data",Do foreign buyers' targets and sourcing pull plant-based products from Vietnam?,added a constraint; added a route; clean negatives,Export base (stuffed pasta); TPP-08 buyers and requirements; Japan and Korea route downgraded,Retailer protein targets are flat and met in Europe; wrapped foods (USD 128 million) are the real base; textured protein exports negligible,Exporter-level customs data; importer quote test,noise (retailer targets),XBA,working-papers/wave8/lines/L3-export-buyers/L3-export-buyers.md,VN-direct,High,XBA-28; XBA-29; XBA-02,
W8-L4,8,Nutrition route: protein quality and micronutrients,different kind,"desk: literature, rules, cost tables",What must a plant or blended protein meet for children and public meals?,changed a conclusion; added a constraint (candidate later withdrawn),ch11.2 and ch11.8 framing; TPP-04 school variant; DIAAS table,Protein is not the school-age gap; blends keep DIAAS high; no trial of textured soy in children,School trial; phytate and zinc lab tests,noise (DIAAS values),NQR,working-papers/wave8/lines/L4-nutrition-quality/L4-nutrition-quality.md,general,Medium,NQR-05; NQR-22; APR-04,Its proposed zinc-fortified dish profile was withdrawn after W9-L2
W8-L5,8,E-commerce as revealed demand (desk tools),different kind,desk fetch of marketplaces and reports,What do marketplace sales counters show?,clean negative; noise,E-commerce as an incumbents' channel (ch15.1),"Shopee, Lazada, Tiki and TikTok Shop unreadable with desk tools; kitchen counters agree with Part III",Browser collector (run in W9-L3),noise,ECR,working-papers/wave8/lines/L5-ecommerce/L5-ecommerce.md,VN-direct,Low,ECR-02; ECR-06,
W8-L6,8,Hybrid extender economics over the pork cycle,different kind,"desk: cost model, formulations, sensory literature",When do blends pay a processor?,changed a conclusion; added a constraint,TPP-03 price and replacement caps; T9 kill test; ch14.4,"Soy extension pays at every hog price since 2019; soy, not lean, is the benchmark; cap 10 to 20% in fine emulsions",Processor interviews; equal-saving blind test,"noise (prices, sensory)",HXE,working-papers/wave8/lines/L6-hybrid-economics/L6-hybrid-economics.md,VN-direct,Low,HXE-01; DIE-25; TIC-12,
W9-L1,9,"Fillers, fakes and trust",different kind,browser and desk: press record 2015 to 2026,"How do Vietnamese publics react to fillers, blends and fake chay?",added a constraint,TPP-03 naming (avoid độn); DMV-07 test order; TPP-02 trust,Hidden filler reads as cheating; declared soy draws no penalty; no confirmed case of meat in chay,Informed label test,noise (press),TRU,working-papers/wave9/lines/L1-fillers-trust/L1-fillers-trust.md,VN-direct,Medium,TRU-02; TRU-18; TRU-27,
W9-L2,9,Plates outside the big cities and in factory canteens,deeper (new places),"browser and desk: 22 upland school-weeks, 172 canteen dishes",What is on upland school and canteen plates?,corrected a wave 8 proposal; added a route,Upland framing (ch11.2); wave 8's proposed zinc-fortified dish withdrawn; canteen species mix; funder-unit ranges,"240 of 242 upland main meals had meat, fish or egg; kitchens stretch pork with tofu; canteen dishes pork 33%, fish 26%, chicken 13%",Served against planned meals; breakfast nutrition,noise (more menus),UPL,working-papers/wave9/lines/L2-upland-canteen-plates/L2-upland-canteen-plates.md,VN-direct,High,UPL-01; UPL-27; UPL-04,
W9-L3,9,Marketplace counters through the browser,deeper (method retry),browser: 96 SKUs on Lazada and Tiki,Do consumer marketplaces change the consumer picture?,minor route; clean negative on two platforms,Plant-milk and dry-piece evidence strengthened; no conclusion changed,Best plant milk sells 60 to 79% of the best dairy SKU's litres; high-protein nut milk a niche; dry soy-gluten pieces sell by the tonne online,Re-read counters in 4 to 6 weeks,noise,MKT,working-papers/wave9/lines/L3-marketplace-browser/L3-marketplace-browser.md,VN-direct,Low,MKT-03; MKT-05,
W9-L4,9,Rules of origin and export recipes,different kind,"browser and desk: EVFTA, UKVFTA, CPTPP, RCEP texts",Does export origin give domestic textured soy a customer?,clean negative,ch17.3 origin paragraph; TPP-08 recipe advice; T1 evidence note,Dumplings are indifferent to the origin of textured soy; the binding item is imported flour or starch in EU wrappers,EU preference-use data,noise,ORG,working-papers/wave9/lines/L4-origin-recipes/L4-origin-recipes.md,VN-direct,High,ORG-01; ORG-05,
