record_id,platform,channel_type,category,subcategory,plant_or_animal,product_name_vi,product_name_en,origin,sold_unit,quantity_per_sold_unit,quantity_unit,listed_price_vnd,vnd_per_l_or_kg,in_stock,orderable,units_sold_counter,counter_basis,volume_sold_l_or_kg,protein_claim_in_name,protein_g_per_100,protein_basis,vnd_per_100g_protein,protein_sold_kg,url,source_ids,evidence_label,confidence,demand_evidence_type,notes
ECR-K034,Kamereo,HoReCa B2B platform (Ho Chi Minh City and Hanoi),milk,dairy fresh milk,animal,Sữa Tươi Thanh Trùng Moo Milk 950ml,Moo Pasteurized Fresh Milk 950ml,Vietnam,bottle,0.95,L,34500,36316,no,no,5,cumulative platform counter (totalSold field in page data); period and start date not stated,4.8,no,3.9,"FCT 10001 fresh cow milk (DIE-12), as the package uses in DPP-022; product label not on page",93117,0.2,https://kamereo.vn/products/sua-tuoi-thanh-trung-moo-milk-950ml-PRO013,ECR-06; DIE-12,VN-direct,Low,revealed,
ECR-K035,Kamereo,HoReCa B2B platform (Ho Chi Minh City and Hanoi),milk,dairy fresh milk,animal,Sữa Tươi Thanh Trùng Dalat Milk 450ml,Dalat Milk Pasteurized Fresh Milk 450ml,Vietnam,box,0.45,L,18500,41111,no,no,0,cumulative platform counter (totalSold field in page data); period and start date not stated,0.0,no,3.9,"FCT 10001 fresh cow milk (DIE-12), as the package uses in DPP-022; product label not on page",105413,0.0,https://kamereo.vn/products/sua-tuoi-thanh-trung-dalat-milk-450ml-D495,ECR-06; DIE-12,VN-direct,Low,revealed,
ECR-K036,Kamereo,HoReCa B2B platform (Ho Chi Minh City and Hanoi),milk,dairy fresh milk,animal,Sữa Tươi Tiệt Trùng Vinamilk 100% Không Đường (48*180ml),Vinamilk 100% Milk - No Sugar (48*180ml),Vietnam,case,8.64,L,360000,41667,no,no,0,cumulative platform counter (totalSold field in page data); period and start date not stated,0.0,no,3.9,"FCT 10001 fresh cow milk (DIE-12), as the package uses in DPP-022; product label not on page",106838,0.0,https://kamereo.vn/products/sua-tuoi-tiet-trung-vinamilk-100-khong-duong-48180ml-D362,ECR-06; DIE-12,VN-direct,Low,revealed,
ECR-K037,Kamereo,HoReCa B2B platform (Ho Chi Minh City and Hanoi),milk,plant milk: nut or seed,plant,Sữa Hạnh Nhân Milklab 1L,Milklab Almond Milk 1L,Australia,box,1.0,L,62640,62640,yes,yes,390,cumulative platform counter (totalSold field in page data); period and start date not stated,390.0,no,1.0,TH true NUT label in the shelf audit (FORM-01 P037); borrowed for other nut milks,626400,3.9,https://kamereo.vn/products/sua-hanh-nhan-milklab-1l-DAI086,ECR-06; FORM-01,VN-direct,Low,revealed,
ECR-K038,Kamereo,HoReCa B2B platform (Ho Chi Minh City and Hanoi),milk,plant milk: nut or seed,plant,Sữa Hạnh Nhân Barista The Alternative Dairy Co. 1L,The Alternative Dairy Co. Barista Almond Milk 1L,Australia,box,1.0,L,65880,65880,yes,yes,282,cumulative platform counter (totalSold field in page data); period and start date not stated,282.0,no,1.0,TH true NUT label in the shelf audit (FORM-01 P037); borrowed for other nut milks,658800,2.8,https://kamereo.vn/products/sua-hanh-nhan-barista-the-alternative-dairy-co-1l-DAI049,ECR-06; FORM-01,VN-direct,Low,revealed,
ECR-K039,Kamereo,HoReCa B2B platform (Ho Chi Minh City and Hanoi),milk,plant milk: nut or seed,plant,Sữa hạt Hạnh Nhân TH True NUT 180mlx48,TH True Nut 180mlx48 - almonds,Vietnam,case,8.64,L,,,no,no,3,cumulative platform counter (totalSold field in page data); period and start date not stated,25.9,no,1.0,TH true NUT label in the shelf audit (FORM-01 P037); borrowed for other nut milks,,0.3,https://kamereo.vn/products/sua-hat-hanh-nhan-th-true-nut-180mlx48-D210,ECR-06; FORM-01,VN-direct,Low,revealed,no price shown
ECR-K040,Kamereo,HoReCa B2B platform (Ho Chi Minh City and Hanoi),milk,plant milk: nut or seed,plant,Sữa Hạt Macca TH True Nut 180mlx48,TH True Nut 180mlx48 - macca,Vietnam,case,8.64,L,,,no,no,3,cumulative platform counter (totalSold field in page data); period and start date not stated,25.9,no,1.0,TH true NUT label in the shelf audit (FORM-01 P037); borrowed for other nut milks,,0.3,https://kamereo.vn/products/sua-hat-macca-th-true-nut-180mlx48-D209,ECR-06; FORM-01,VN-direct,Low,revealed,no price shown
ECR-K041,Kamereo,HoReCa B2B platform (Ho Chi Minh City and Hanoi),milk,plant milk: nut or seed,plant,Sữa Hạt Óc Chó TH True Nut 180mlx48,TH True Nut 180mlx48 - walnuts,Vietnam,case,8.64,L,,,no,no,3,cumulative platform counter (totalSold field in page data); period and start date not stated,25.9,no,1.0,TH true NUT label in the shelf audit (FORM-01 P037); borrowed for other nut milks,,0.3,https://kamereo.vn/products/sua-hat-oc-cho-th-true-nut-180mlx48-D208,ECR-06; FORM-01,VN-direct,Low,revealed,no price shown
ECR-K042,Kamereo,HoReCa B2B platform (Ho Chi Minh City and Hanoi),milk,plant milk: nut or seed,plant,Sữa Hạt và Gấc TH True NUT 180mlx48,TH True Nut 180mlx48 - gac,Vietnam,case,8.64,L,,,no,no,3,cumulative platform counter (totalSold field in page data); period and start date not stated,25.9,no,1.0,TH true NUT label in the shelf audit (FORM-01 P037); borrowed for other nut milks,,0.3,https://kamereo.vn/products/sua-hat-va-gac-th-true-nut-180mlx48-D211,ECR-06; FORM-01,VN-direct,Low,revealed,no price shown
ECR-K043,Kamereo,HoReCa B2B platform (Ho Chi Minh City and Hanoi),milk,plant milk: nut or seed,plant,SỮA HẠT DẺ CƯỜI TH TRUE NUT 180MLX48,TH True Nut 180mlx48 - pistachio,Vietnam,case,8.64,L,,,no,no,0,cumulative platform counter (totalSold field in page data); period and start date not stated,0.0,no,1.0,TH true NUT label in the shelf audit (FORM-01 P037); borrowed for other nut milks,,0.0,https://kamereo.vn/products/sua-hat-de-cuoi-th-true-nut-180mlx48-D217,ECR-06; FORM-01,VN-direct,Low,revealed,no price shown
ECR-K044,Kamereo,HoReCa B2B platform (Ho Chi Minh City and Hanoi),milk,plant milk: nut or seed,plant,SỮA HẠT HẠNH NHÂN TH TRUE NUT 1LX12,TH True Nut 1Lx12 - almonds,Vietnam,case,12.0,L,,,no,no,0,cumulative platform counter (totalSold field in page data); period and start date not stated,0.0,no,1.0,TH true NUT label in the shelf audit (FORM-01 P037); borrowed for other nut milks,,0.0,https://kamereo.vn/products/sua-hat-hanh-nhan-th-true-nut-1lx12-D214,ECR-06; FORM-01,VN-direct,Low,revealed,no price shown
ECR-K045,Kamereo,HoReCa B2B platform (Ho Chi Minh City and Hanoi),milk,plant milk: nut or seed,plant,SỮA HẠT MẮC CA TH TRUE NUT 1LX12,TH True Nut 1Lx12 - macca,Vietnam,case,12.0,L,,,no,no,0,cumulative platform counter (totalSold field in page data); period and start date not stated,0.0,no,1.0,TH true NUT label in the shelf audit (FORM-01 P037); borrowed for other nut milks,,0.0,https://kamereo.vn/products/sua-hat-mac-ca-th-true-nut-1lx12-D213,ECR-06; FORM-01,VN-direct,Low,revealed,no price shown
ECR-K046,Kamereo,HoReCa B2B platform (Ho Chi Minh City and Hanoi),milk,plant milk: nut or seed,plant,SỮA HẠT ÓC CHÓ TH TRUE NUT 1LX12,TH True Nut 1Lx12 - walnuts,Vietnam,case,12.0,L,,,no,no,0,cumulative platform counter (totalSold field in page data); period and start date not stated,0.0,no,1.0,TH true NUT label in the shelf audit (FORM-01 P037); borrowed for other nut milks,,0.0,https://kamereo.vn/products/sua-hat-oc-cho-th-true-nut-1lx12-D212,ECR-06; FORM-01,VN-direct,Low,revealed,no price shown
ECR-K047,Kamereo,HoReCa B2B platform (Ho Chi Minh City and Hanoi),milk,plant milk: nut or seed,plant,SỮA HẠT VÀ GẤC TH TRUE NUT 1LX12,TH True Nut 1Lx12 - Nut and Gac,Vietnam,case,12.0,L,,,no,no,0,cumulative platform counter (totalSold field in page data); period and start date not stated,0.0,no,1.0,TH true NUT label in the shelf audit (FORM-01 P037); borrowed for other nut milks,,0.0,https://kamereo.vn/products/sua-hat-va-gac-th-true-nut-1lx12-D215,ECR-06; FORM-01,VN-direct,Low,revealed,no price shown
