record_id,name,type,owner,owner_country,location_province_current,location_province_former,capacity,capacity_unit,year,relevant_capability,open_to_third_parties,source_ids,evidence_label,confidence,notes,last_verified,change_log,province_current,province_former
FAC-021,Fuel ethanol sector (national aggregate),fermentation,various,Vietnam,multiple,,450000-490000,m3/yr design (6-7 plants),2025-2026,"Anaerobic, non-aseptic fermentation; 3 plants operating mid-2026 at ~22,000-25,000 m3/month vs E10 demand 92,000-100,000 m3/month",N,IND-18; IND-19; IND-20,VN-direct,Medium,"Prior lead of ~600,000 m3/yr not supported by 2025-2026 sources. July 2026: 22,200 m3 domestic vs 81,500 m3 imported.","2026-09-23 (wave 1, INDUSTRY)",,,
FAC-022,Sabeco breweries (26 plants),brewery,Saigon Beer-Alcohol-Beverage Corp. (Sabeco),"Vietnam (listed; foreign-controlled, verify)","multiple (4 North/North-Central, 9 Central/Highlands, 13 South)",,2.4,billion L/yr design,2024,Large anaerobic fermentation and maturation tank farms; brewer's spent grain and yeast side streams,unknown,IND-23; IND-24,VN-direct,Medium,Utilisation about 60% (FPTS 2024). Plan to control Saigon Binh Tay brewery group would take capacity to 3.01 bn L/yr.,"2026-09-23 (wave 1, INDUSTRY)",,,
FAC-023,Heineken Vietnam Vung Tau brewery,brewery,Heineken Vietnam Brewery,Netherlands,Ho Chi Minh City,Ba Ria-Vung Tau,1.1 (approved 1.6),billion L/yr,2024,"Largest brewery in SE Asia per press; spent grain supplier to Entobel (prior lead, unverified here)",unknown,IND-25; IND-26,VN-direct,Medium,"Expansion approved July 2024 from 1,100 to 1,600 million L/yr; total project USD ~540 m.","2026-09-23 (wave 1, INDUSTRY)",,Ho Chi Minh City,Ba Ria-Vung Tau
FAC-024,Heineken Vietnam HCMC brewery,brewery,Heineken Vietnam Brewery,Netherlands,Ho Chi Minh City,Ho Chi Minh City,not published,,1991,Brewing,unknown,IND-25; IND-26,VN-direct,Medium,12.7 ha.,"2026-09-23 (wave 1, INDUSTRY)",,Ho Chi Minh City,Ho Chi Minh City
FAC-025,Heineken Vietnam Hanoi brewery,brewery,Heineken Vietnam Brewery,Netherlands,Hanoi,Hanoi,not published,,1996,Brewing,unknown,IND-25; IND-26,VN-direct,Medium,33 ha.,"2026-09-23 (wave 1, INDUSTRY)",,Ha Noi,Ha Noi
FAC-026,Heineken Vietnam Da Nang brewery,brewery,Heineken Vietnam Brewery,Netherlands,Da Nang,Da Nang,not published,,2007,Brewing,unknown,IND-25,VN-direct,Medium,,"2026-09-23 (wave 1, INDUSTRY)",,Da Nang,Da Nang (city)
FAC-027,Heineken Vietnam Tien Giang brewery,brewery,Heineken Vietnam Brewery,Netherlands,Dong Thap,Tien Giang,not published,,2007,Brewing,unknown,IND-25,VN-direct,Medium,Smallest operating site (6.6 ha).,"2026-09-23 (wave 1, INDUSTRY)",,Dong Thap,Tien Giang
FAC-028,Heineken Vietnam Quang Nam brewery (suspended),brewery,Heineken Vietnam Brewery,Netherlands,Da Nang,Quang Nam,about one-tenth of Vung Tau (press),,2024,Idle brewery: possible site for reuse,unknown,IND-25,VN-direct,Low,Suspended June 2024; province sought restart in 2025. Current status not verified.,"2026-09-23 (wave 1, INDUSTRY)",,Da Nang,Quang Nam
FAC-029,Carlsberg Vietnam Phu Bai brewery,brewery,Carlsberg Vietnam,Denmark,Hue,Thua Thien Hue (Phu Bai IZ),600,million L/yr,2025,Brewing; Carlsberg's largest brewery in Asia after expansion,unknown,IND-27; IND-28,VN-direct,Medium,"Up from 360 m L/yr; inaugurated 26 Aug 2025; investment reported as VND 3,406 bn (~USD 169 m) in Feb 2025 and ~USD 90 m in Aug 2025 (different scopes or error).","2026-09-23 (wave 1, INDUSTRY)",,Hue,Hue
FAC-030,Habeco breweries (Me Linh and network),brewery,Hanoi Beer-Alcohol-Beverage Corp. (Habeco),Vietnam,Hanoi (Me Linh) and northern/central provinces,,"~400 (group, 2010); Me Linh 200",million L/yr,2010,Brewing; 24 member companies incl. alcohol and packaging units,unknown,IND-29,VN-direct,Low,Capacity figure is from company history (2010); current capacity not published on page.,"2026-09-23 (wave 1, INDUSTRY)",,,
FAC-031,Masan Brewery Hau Giang,brewery,Masan Group,Vietnam,Can Tho,Hau Giang,100 (expandable to 150),million L/yr,2015,Brewing,unknown,IND-30,VN-direct,Low,2015 data; current status and ownership not verified.,"2026-09-23 (wave 1, INDUSTRY)",,Can Tho,Hau Giang
FAC-032,Masan Consumer sauce and noodle plants,other,Masan Consumer (Masan Group),Vietnam,"multiple (HCMC, Dong Nai, Hai Phong, Nghe An, Lam Dong, An Giang, Quang Ninh)","Binh Duong, Tan Binh, Phu Quoc (Kien Giang), Hai Duong, Bien Hoa, Long Thanh, Binh Thuan, Nghe An, Quang Ninh",120 m L fish sauce; 600 m packs noodles,per yr,2015,"Soy sauce (Chin-su, Tam Thai Tu), fish sauce fermentation, instant noodles; large food-grade packing",unknown,IND-30,VN-direct,Low,2015 figures from 2016 press; certainly changed. Plant list mapped to current provinces by this agent.,"2026-09-23 (wave 1, INDUSTRY)",,,
FAC-033,Acecook Vietnam,other,Acecook Vietnam JSC,Japan,multiple (not mapped),,not published,,2025,"Instant noodles incl. several vegan (thuan chay) SKUs; frying, drying, seasoning",unknown,IND-56,VN-direct,Low,Plant count and capacity not found this wave.,"2026-09-23 (wave 1, INDUSTRY)",,,
FAC-034,"Vinasoy soy milk plants (Quang Ngai, Bac Ninh, Binh Duong)",soy,"Vinasoy (Quang Ngai Sugar JSC, QNS)",Vietnam,Quang Ngai; Bac Ninh; Ho Chi Minh City,Quang Ngai; Bac Ninh; Binh Duong,390,million L/yr soy milk (3 plants),2022,"Soybean receiving, dehulling, grinding, UHT and aseptic packing; soy okara side stream",unknown,IND-49; IND-50; IND-48; VCO-17,VN-direct,Medium,"Binh Duong plant: 180 m L/yr design, phase 1 90 m L (2017). Soy milk revenue > VND 4,100 bn (2024). Market share claims 80% to >90% depending on segment.","2026-09-23 (wave 2, VERIFY-CO)","[wave 2 VERIFY-CO, VCO-17, Low] No 2025 capacity figure found; 390 million L/yr (2022) stands.",Quang Ngai; Bac Ninh; Ho Chi Minh City,Quang Ngai; Bac Ninh; Binh Duong
FAC-035,ToFu House,soy,ToFu House (Tran Viet Bach),Vietnam,Hung Yen,Hung Yen (Van Giang),150-500,t/month tofu products,2021,"Industrial tofu, silken tofu, tofu skin; non-GMO soy; ISO 22000; exports",unknown,IND-51,VN-direct,Low,Company-reported via state news agency feature.,"2026-09-23 (wave 1, INDUSTRY)",,Hung Yen,Hung Yen
FAC-036,Vinamilk dairy plants,dairy,Vietnam Dairy Products JSC (Vinamilk),Vietnam,"multiple (9+ plants incl. HCMC, Dong Nai, Gia Lai, Da Nang, Nghe An, Can Tho, Bac Ninh, Thanh Hoa)",,400 (Mega factory phase 1),million L/yr,2013,"UHT, powder (spray drying), yoghurt; plant-based milk, yoghurt and creamer lines on shelf (2026)",unknown,IND-52; IND-53,VN-direct,Low,Plant list from Wikipedia; capacity 2013. 17 Vinamilk plant-based SKUs logged in Sept 2026 field audit.,"2026-09-23 (wave 1, INDUSTRY)",,,
FAC-037,Vissan,meat,Vissan JSC,Vietnam,Ho Chi Minh City,Ho Chi Minh City,not published,,2026,"Meat processing; chay (vegetarian) spring rolls, canned chay beef-and-tofu",unknown,IND-55; IND-53; VCO-13; VCO-14,VN-direct,Medium,Chay lines observed in field audit; website lists only meat. Candidate co-packer.,"2026-09-23 (wave 2, VERIFY-CO)","[wave 2 VERIFY-CO, VCO-13; VCO-14, Low] Plant list and locations still not published on the company site.",Ho Chi Minh City,Ho Chi Minh City
FAC-038,CJ Cau Tre (CJ Foods Vietnam),meat,CJ Foods Vietnam (CJ CheilJedang),South Korea,Ho Chi Minh City; Tay Ninh (Kizuna plant per label lead),Ho Chi Minh City; Long An,not published,,2026,Frozen foods incl. chay spring rolls and bibigo lines,unknown,IND-53; VCO-12,VN-direct,Low,Plant locations not verified this wave (CJ story page gave no plant data).,"2026-09-23 (wave 2, VERIFY-CO)","[wave 2 VERIFY-CO, VCO-12, Low] HQ: CJ Building, 2 Bis 4-6 Le Thanh Ton, HCMC. Cau Tre acquisition year still not verified.",Ho Chi Minh City; Tay Ninh,Ho Chi Minh City; Long An
FAC-039,Cholimex Foods,meat,Cholimex Food JSC,Vietnam,Ho Chi Minh City,Ho Chi Minh City,not published,,2026,Frozen dim sum incl. chay; sauces,unknown,IND-53,VN-direct,Low,Chay SKU observed in field audit.,"2026-09-23 (wave 1, INDUSTRY)",,Ho Chi Minh City,Ho Chi Minh City
FAC-040,SG Food (Sai Gon Food),plant-based,Sai Gon Food JSC,Vietnam,Ho Chi Minh City,Ho Chi Minh City,not published,,2026,Frozen ready meals incl. chay; supplies 7-Eleven fresh food,unknown,IND-53,VN-direct,Low,"About 2,000 staff (field log OSINT).","2026-09-23 (wave 1, INDUSTRY)",,Ho Chi Minh City,Ho Chi Minh City
FAC-041,An Nhien (do chay brand),plant-based,An Nhien,Vietnam,not verified,,not published,,2026,"Soy-based chay meats (e.g., vegan soy chops)",unknown,IND-53,VN-direct,Low,12 SKUs logged in HCMC field audit.,"2026-09-23 (wave 1, INDUSTRY)",,,
FAC-042,Anlac / Au Lac Vegan Food,plant-based,Au Lac,Vietnam,not verified,,not published,,2026,Chay sausages and meat analogues,unknown,IND-53,VN-direct,Low,,"2026-09-23 (wave 1, INDUSTRY)",,,
FAC-043,Thoai An,plant-based,Thoai An,Vietnam,not verified,,not published,,2026,Vegetarian seafood analogues,unknown,IND-53,VN-direct,Low,Little public footprint.,"2026-09-23 (wave 1, INDUSTRY)",,,
FAC-044,Top.V (Agrex Saigon),plant-based,Agrex Saigon,Vietnam,not verified,,not published,,2026,Chay wontons and analogues,unknown,IND-53,VN-direct,Low,,"2026-09-23 (wave 1, INDUSTRY)",,,
FAC-045,Song Huong Foods,plant-based,Song Huong Foods,Vietnam,Ho Chi Minh City,Ho Chi Minh City (Binh Chanh),not published,,2026,"Hue-style foods, chay line; ISO, HACCP, FDA registration claimed",unknown,IND-54; IND-53,VN-direct,Low,,"2026-09-23 (wave 1, INDUSTRY)",,Ho Chi Minh City,Ho Chi Minh City
FAC-046,GN Foods (Coop Select chay maker),plant-based,GN Foods,Vietnam,Tay Ninh,Tay Ninh,not published,,2026,Private-label chay for Saigon Co.op: an existing OEM model,Y (private label for retailer),IND-53,VN-direct,Low,Manufacturer attribution from prior field lead; not re-verified.,"2026-09-23 (wave 1, INDUSTRY)",,Tay Ninh,Tay Ninh
FAC-047,Industrial feed mills (national aggregate),feed mill,"various (90 FDI, 179 domestic)",mixed,national,,43.2,million t/yr design capacity (269 mills),2023,"Pelleting, grinding, mixing; output 20.8 Mt in 2022 (about 48% utilisation)",unknown,IND-39; IND-40,VN-direct,Medium,"FDI mills: 33.5% of count, 51.3% of capacity, 62.5% of output (2022).","2026-09-23 (wave 1, INDUSTRY)",,,
FAC-048,Aquafeed mills (national aggregate),aquafeed,various,mixed,"national (mainly Mekong Delta, Dong Nai, Tay Ninh)",,up to 5.5,million t/yr installed,2025,Extrusion (floating fish feed) and shrimp pellet lines; 60-70% utilisation,unknown,IND-41,VN-direct,Medium,2025 output: shrimp feed up to 920 kt; fish feed 3.0-3.9 Mt (pangasius 2.0-2.5 Mt).,"2026-09-23 (wave 1, INDUSTRY)",,,
FAC-049,C.P. Vietnam Ca Mau aquafeed plant,aquafeed,C.P. Vietnam (Charoen Pokphand Foods),Thailand,Ca Mau,Ca Mau (Khanh An IZ),124800,t/yr shrimp feed,2026,"Shrimp feed; C.P.'s 4th VN aquafeed plant; C.P. aquafeed total > 650,000 t/yr",unknown,IND-42,VN-direct,Medium,"Inaugurated 7 Aug 2026; investment VND 1,725 bn.","2026-09-23 (wave 1, INDUSTRY)",[wave 2 VERIFY-CO] Not re-verified (sites unavailable or not reached).,Ca Mau,Ca Mau
FAC-050,C.P. Vietnam (all feed plants),feed mill,C.P. Vietnam,Thailand,multiple,,21 plants (2026) / 9 plants (2023),plants,2026,"Integrated feed-farm-food; revenue ~VND 85,000 bn (2025)",unknown,IND-43; IND-47,VN-direct,Low,Plant counts conflict; 21 may include food/processing plants.,"2026-09-23 (wave 1, INDUSTRY)",[wave 2 VERIFY-CO] Not re-verified (sites unavailable or not reached).,,
FAC-051,De Heus Vinh Long 4 marine and coldwater fish feed plant,aquafeed,De Heus Vietnam (Royal De Heus),Netherlands,Vinh Long,Vinh Long,168000,t/yr,2026,First De Heus VN plant for high-protein (40-50%) marine and coldwater fish feed,unknown,IND-45; VCO-10,VN-direct,Medium,Commissioned July 2026. Premium protein demand node.,"2026-09-23 (wave 2, VERIFY-CO)","[wave 2 VERIFY-CO, VCO-10, Medium] capacity: ""84000"" -> ""168000"". Company-stated design capacity (De Heus global release, 22 Jul 2026). Wave 1 trade press gave 84,000 t/yr; may be phase 1. Conflict unresolved (see disagreements.csv).",Vinh Long,Vinh Long
FAC-052,De Heus Can Tho aquafeed plant,aquafeed,De Heus Vietnam,Netherlands,Can Tho,Can Tho,240000,t/yr catfish feed,2023,Fish feed extrusion,unknown,IND-47,VN-direct,Medium,USD 20.5 m.,"2026-09-23 (wave 1, INDUSTRY)",,Can Tho,Can Tho (city)
FAC-053,De Heus Vietnam (group),feed mill,De Heus Vietnam,Netherlands,"multiple incl. Vinh Long, Ca Mau (Bac Lieu), Can Tho",,"21 plants (14 livestock feed, 6 aquafeed, 1 premix) (Sept 2026); ~4 Mt/yr all feeds (earlier claim)",,2023-2026,Livestock and aquafeed; R&D centre Vinh Long (6 ha); acquired Masan MNS Feed (2021); reportedly acquired CJ Feed and Care plants (early 2026),unknown,IND-43; IND-46; IND-47; VCO-09; VCO-07; VCO-08,VN-direct,Low,"CJ acquisition reported by trade press only; verify. Revenue ~VND 39,000 bn (2025).; Royal De Heus acquired CJ Feed & Care (announced 1 Oct 2025, completed 3 Mar 2026): 17 feed mills across Vietnam, Indonesia, Cambodia, South Korea and the Philippines; Vietnam mill count not disclosed.","2026-09-23 (wave 2, VERIFY-CO)","[wave 2 VERIFY-CO, VCO-09, Medium] capacity: ""23 facilities (2023); ~4 Mt/yr all feeds (claim)"" -> ""21 plants (14 livestock feed, 6 aquafeed, 1 premix) (Sept 2026); ~4 Mt/yr all feeds (earlier claim)"". Unclear whether the 21 include former CJ Feed & Care Vietnam mills. || [wave 2 VERIFY-CO, VCO-07; VCO-08, High] notes appended: ""Royal De Heus acquired CJ Feed & Care (announced 1 Oct 2025, completed 3 Mar 2026): 17 feed mills across Vietnam, Indonesia, Cambodia, South Korea and the Philippines; Vietnam mill count not disclosed."". Corrects the wave 1 reading that De Heus gained 17 plants in Vietnam.",,
FAC-054,Haid Group / Thang Long (Sheng Long) Vinh Long complex,aquafeed,Guangdong Haid Group,China,Vinh Long,Vinh Long (Hoa Phu IZ),650000,"t/yr (2023; 15 shrimp lines, 7 fish-feed extruders)",2023,Shrimp and fish feed; largest shrimp feed maker (Sheng Long),unknown,IND-46; IND-43; IND-41,VN-direct,Medium,Group VN capacity > 1.3 Mt/yr and Thang Long output 830 kt (2025) per trade press.,"2026-09-23 (wave 1, INDUSTRY)",[wave 2 VERIFY-CO] Not re-verified (sites unavailable or not reached).,Vinh Long,Vinh Long
FAC-055,Haid Hai Duong feed plant,aquafeed,Guangdong Haid Group,China,Hai Phong,Hai Duong,700000,t/yr (claimed),2026,Fish and livestock feed in the North,unknown,IND-43; IND-46,VN-direct,Low,Planned in 2023; capacity from 2026 trade press.,"2026-09-23 (wave 1, INDUSTRY)",[wave 2 VERIFY-CO] Not re-verified (sites unavailable or not reached).,Hai Phong,Hai Duong
FAC-056,Sunjin Vina Hau Giang feed plant,feed mill,Sunjin Vina,South Korea,Can Tho,Hau Giang (Tan Phu Thanh IZ),126000,t/yr,2023,Feed mill (registered 2023),unknown,IND-46,VN-direct,Low,USD 23.6 m; operating status not verified.,"2026-09-23 (wave 1, INDUSTRY)",,Can Tho,Hau Giang
FAC-057,Cargill Provimi premix plant,feed mill,Cargill Vietnam,USA,Dong Nai,Dong Nai,40000,t/yr premix,2023,Premix and additive blending: route for micro-inclusion novel ingredients,unknown,IND-47,VN-direct,Medium,USD 28 m.,"2026-09-23 (wave 1, INDUSTRY)",,Dong Nai,Dong Nai
