record_id,food,product,retailer,channel_city,date_observed,pack_price_vnd,pack_size,price_vnd_per_kg,protein_g_per_100g,protein_basis,edible_share,vnd_per_100g_protein,usd_per_100g_protein,sources,source_ids,evidence_label,confidence,demand_evidence_type,notes
DPP-011,"Shrimp, whiteleg, whole","Tom the C.P, 200 g",Bach Hoa Xanh online,online; default store (HCMC assumed),2026-09-24,33000,200 g,165000,17.6,FCT 8051 tom bien (sea shrimp); FCT waste 54% applied,0.46,203804,7.84,DIE-15; DIE-12,DIE-15; DIE-12,VN-direct,Medium,revealed,"Promotional price (-11%). Waste share for head-on whiteleg shrimp may be lower than the FCT sea-shrimp value; at 40% waste: 156,250 VND."
DPP-012,"Shrimp, peeled meat","Thit tom Minh Phu, 200 g",Bach Hoa Xanh online,online; default store (HCMC assumed),2026-09-24,70000,200 g,350000,17.6,"FCT 8051 tom bien (sea shrimp), edible portion",1.0,198864,7.65,DIE-15; DIE-12,DIE-15; DIE-12,VN-direct,Medium,revealed,Frozen peeled product; glaze water not accounted for.
DPP-013,"Beef, leg (dui bo)","Dui bo, 200 g",Bach Hoa Xanh online,online; default store (HCMC assumed),2026-09-24,58962,200 g,294810,21.0,FCT 7003 thit bo loai I (beef grade I),0.98,143251,5.51,DIE-16; DIE-12,DIE-16; DIE-12,VN-direct,Medium,revealed,Promotional price (-7%). Domestic fresh beef as listed.
DPP-014,"Beef, shank (bap bo)","Bap bo, 200 g",Bach Hoa Xanh online,online; default store (HCMC assumed),2026-09-24,53568,200 g,267840,21.0,FCT 7003 thit bo loai I (beef grade I),0.98,130146,5.01,DIE-16; DIE-12,DIE-16; DIE-12,VN-direct,Medium,revealed,Promotional price (-4%).
DPP-015,"Beef, flank or brisket (nam bo)","Nam bo, 200 g",Bach Hoa Xanh online,online; default store (HCMC assumed),2026-09-24,49000,200 g,245000,18.0,FCT 7004 thit bo loai II (beef grade II),0.98,138889,5.34,DIE-16; DIE-12,DIE-16; DIE-12,VN-direct,Medium,revealed,
DPP-016,"Tofu, fresh","Dau phu tuoi Lang Mo, box 400 g",WinMart online,online; default store not stated,2026-09-24,13100,400 g,32750,10.9,FCT 3025 dau phu (tofu),1.0,30046,1.16,DIE-23; DIE-12,DIE-23; DIE-12,VN-direct,Medium,revealed,"On label protein values seen in the retail audit (3.8 to 9.3 g) the same price gives 35,215 to 86,184 VND. See disagreement on tofu protein."
DPP-017,"Tofu, fresh (audit, label basis)","Five tofu SKUs, Co.opmart HCMC, Sept 2026",Retail audit (FORM-01),"Ho Chi Minh City, store shelf",2026-09-16 to 2026-09-20,,280 to 330 g,,,Label protein 3.8 to 9.3 g per 100 g,1.0,66265,2.55,FORM-01,FORM-01,VN-direct,Medium,revealed,"Median 66,265 VND per 100 g protein; range 39,171 to 121,053. Reported by the supply study; not recomputed here."
DPP-018,"Soy milk, packaged","Fami nguyen chat, carton 36 x 200 ml",Bach Hoa Xanh online,online; default store (HCMC assumed),2026-09-24,150000,7.2 L,20833,1.9,"Label 1.9 g per 100 ml (Fami Nguyen Chat, FORM-01 SKU-032); density 1 kg per L assumed",1.0,109647,4.22,DIE-17; FORM-01,DIE-17; FORM-01,VN-direct,Medium,revealed,"Price per litre 20,833 VND. With FCT 3032 value for home-style soy milk (3.1 g): 67,203 VND. Co.op 6 x 200 ml pack at 29,000 VND (DIE-24) gives 127,193 VND at 1.9 g."
DPP-019,"Peanuts, shelled",Dau phong Xuan Hong 500 g,Co.op Online,online; default store not stated,2026-09-24,52200,500 g,104400,27.5,FCT 3017 lac hat (dried peanut seed),0.98,38738,1.49,DIE-21; DIE-12,DIE-21; DIE-12,VN-direct,Medium,revealed,Dry weight; also high in fat (FCT 573 kcal per 100 g).
DPP-020,"Mung beans, dehulled",Dau xanh khong vo Xuan Hong 500 g,Co.op Online,online; default store not stated,2026-09-24,42300,500 g,84600,23.4,"FCT 3010 dau xanh (mung bean seeds, dried)",0.98,36892,1.42,DIE-20; DIE-12,DIE-20; DIE-12,VN-direct,Medium,revealed,Dry weight; FCT value is for whole seeds.
DPP-021,"Soybeans, dry",Dau nanh Xuan Hong 500 g,Co.op Online,online; default store not stated,2026-09-24,24200,500 g,48400,34.0,"FCT 3007 dau tuong (yellow soybean, dried)",0.98,14526,0.56,DIE-22; DIE-12,DIE-22; DIE-12,VN-direct,Medium,revealed,Raw material for home soy milk and tofu; not eaten as purchased.
DPP-022,"Milk, fresh UHT","Vinamilk 100% khong duong, 12 x 1 L",Bach Hoa Xanh online,online; default store (HCMC assumed),2026-09-24,430000,12 L,35833,3.9,FCT 10001 sua bo tuoi (fresh cow milk); density 1 kg per L assumed,1.0,91879,3.53,DIE-18; DIE-12,DIE-18; DIE-12,VN-direct,Low,revealed,"Label protein not retrieved; UHT labels are often near 3.0 to 3.2 g per 100 ml (not verified), which would raise cost to about 112,000 to 119,000 VND."
DPP-023,"Meat, all types (household average)","VHLSS 2024: meat spending 349,800 VND and 2.60 kg per person per month",National household average (all channels),"Vietnam, households",2024,,per person per month,134538,16.5,FCT 7018 medium-fat pork used as proxy for the mix,0.98,83202,3.20,DIE-05; DIE-12,DIE-05; DIE-12,VN-direct,Low,revealed,"Implied unit value (our derivation) of all meat bought or produced for home use. Mix of pork, poultry, beef and processed meat; protein proxy is rough."
DPP-024,Tofu (household average),"VHLSS 2024: tofu spending 9,200 VND and 0.43 kg per person per month",National household average (all channels),"Vietnam, households",2024,,per person per month,21395,10.9,FCT 3025 dau phu (tofu),1.0,19628,0.75,DIE-05; DIE-12,DIE-05; DIE-12,VN-direct,Low,revealed,Implied unit value (our derivation). Mostly fresh market tofu; shows households pay less than modern-retail tofu.
DPP-025,Rice (household average),"VHLSS 2024: rice spending 118,500 VND and 6.45 kg per person per month",National household average (all channels),"Vietnam, households",2024,,per person per month,18372,7.9,FCT 1004 gao te (ordinary polished rice),1.0,23256,0.89,DIE-05; DIE-12,DIE-05; DIE-12,VN-direct,Low,revealed,Implied unit value (our derivation). Rice protein is incomplete (low lysine) and not a like-for-like substitute; shown because rice still supplies about a quarter of protein.
