record_id,actor_id,actor,audience,type,country_or_region,stated_interests,key_quote,vietnam_or_sea_focus,demand_relevance,source_ids,evidence_label,confidence,notes
AFN-A19,AFN-A19,Vietnam Animal Welfare Watch,international,corporate accountability NGO,Vietnam,Tracks company animal welfare (cage-free egg) pledges in Vietnam and publicises inaction.,We hold food companies accountable for their animal welfare commitments,Vietnam-specific.,Low for protein. Shows that a commitments-tracking capacity exists that could extend to protein commitments.,AFN-37,VN-direct,Medium,
AFN-A20,AFN-A20,"School-meal field-builders in Vietnam: Ajinomoto Vietnam with NIN and MOET; MOET, NIN and TH Group model scaled by Decision 973/QĐ-TTg",manufacturers,corporate programmes with government,Vietnam,"Ajinomoto, NIN and MOET School Meal Project: 120+ balanced menus, 360+ dishes, nutrition education. MOET, NIN and TH Group school meal model: 400 standard menus and one carton of fresh milk a day, piloted in 10 provinces in 2020 to 2021, now to be scaled nationally under the School Health Programme 2026 to 2035 (Decision 973/QĐ-TTg, 1 June 2026), which targets food-safety and nutrition management in all schools serving meals by 2030.",Nhân rộng mô hình bữa ăn học đường đảm bảo dinh dưỡng hợp lý (scale up school meal models ensuring balanced nutrition),Vietnam-specific.,High. Menu templates decide which protein dishes public schools serve; both templates are built with a food company and one includes daily dairy.,AFN-44; AFN-45; AFN-46,VN-direct,Medium,Corporate field-builders rather than funders; also relevant to the incumbents group. School counts using each menu set were not published on the pages read.
AIS-A01,AIS-A01,Temasek and Nurasa (Asia Sustainable Foods Platform),investors,sovereign investor and food-tech platform,Singapore; Asia,"ASFP (2021) set up to commercialise sustainable foods in Asia through pilot infrastructure (FTIC; ScaleUp Bio JV with ADM; CREMER JV for plant protein) and investments. In Sep 2025 Nurasa co-developed Q Protein, soy-enhanced beef and chicken sold through a meat importer's retail channels in Singapore. The Temasek Review 2025 briefing says nothing on food.","Our TPCs also see opportunities to invest in Southeast Asia, such as in Vietnam and Malaysia. (Temasek Review 2025; not about food)",Asia-wide; Vietnam named only generically,"High for the blend route (TPP-03): the Temasek food arm now backs protein-enhanced meat inside a meat brand, not a stand-alone analogue. Would need a Vietnamese processor partner and blend acceptance data.",AIS-07; AIS-08; AIS-09; AIS-10,VN-adjacent,Medium,A 2020 Temasek article on consumer-led demand was found but not used (pre-2024). A DealStreetAsia headline tags Nurasa with Growthwell (Jul 2026) but is paywalled and not used as a fact.
AIS-A02,AIS-A02,Big Idea Ventures,investors,accelerator and venture fund,New York; Paris; Singapore,"Invests in alternative proteins, ingredients, fats, sweeteners, flavourings and new crops; accelerator ticket USD 200,000 (125,000 cash, 75,000 in kind), follow-on up to USD 2.5 to 3.5 million; cohorts every January and July; asks for a minimum viable product.","Minimum Viable Product in the alternative protein, ingredients or new crops space",Singapore programme; no Vietnam mention on its 2026 site,"Medium: the realistic seed route for a Vietnamese ingredient founder; its entry bar is product, not market proof, so demand evidence matters more at follow-on.",AIS-11,VN-adjacent,Medium,Package INV-018 records a 2021 statement that Vietnam was a target market; not re-verified. Latest dated portfolio item is December 2025.
AIS-A03,AIS-A03,AgFunder (research and venture capital),investors,venture capital and research publisher,Global; Asia-Pacific portfolio,"Global report 2026: agrifoodtech funding USD 16.2 billion in 2025; capital directed to companies with real unit economics and paths to revenue. Invests in Green Rebel (Southeast Asian, locally inspired meat alternatives) and Meatiply (B2B co-development with manufacturers). No Asia-Pacific report after the 2024 edition.","Investors are writing checks more selectively, directing capital towards companies with tangible science, real unit economics, and clear paths to revenue.",Southeast Asia portfolio; no Vietnam deal found,"High: its screen (unit economics, path to revenue) is exactly what Part III does not quantify for its target product profiles.",AIS-02; AIS-03; AIS-32; AIS-46,general,Medium,Clean negative: no AgFunder Asia-Pacific agrifoodtech report for 2025 or 2026 on the research index (25 Sep 2026).
AIS-A04,AIS-A04,Better Bite Ventures,investors,pre-seed and seed venture capital,Singapore; Asia-Pacific,"Backs early-stage Asia-Pacific food and alternative-protein startups; says investors want stronger fundamentals, diligence is longer and valuations lower (2023); thesis that Asia will become the manufacturing base for alternative protein (2022); avoids locally focused brands that cannot scale regionally.",investors are looking for companies with stronger fundamentals,Asia-Pacific; no Vietnam deal found,High: a Vietnam-only chay ingredient business may fail its regional-scale test; it would ask for evidence of regional or export buyers.,AIS-12; AIS-13,VN-adjacent,Medium,"No 2024 to 2026 statement retrieved; package INV-019 lists portfolio (Green Rebel, TiNDLE, Meatiply)."
AIS-A05,AIS-A05,Openspace Ventures,investors,Southeast Asian venture capital and multi-strategy manager,Singapore; Southeast Asia,"Backed Nutrition Technologies (insect feed made in Johor, sold across Asia including Vietnam) because it delivers at scale at a globally competitive price. We found no food-protein deal.",Nutrition Technologies has led the way in delivering black soldier fly solutions at scale and at a price that is competitive on the global markets.,Southeast Asia; Vietnam is a customer market of its portfolio company,Medium: revealed preference for B2B feed ingredients priced against incumbents; insect is a benchmark only in this package.,AIS-14,VN-adjacent,Medium,Statement is from 2022; no 2024 to 2026 food statement found.
AIS-A06,AIS-A06,"Do Ventures (Vietnam Innovation and Private Capital Report, with NIC and VPCA)",investors,Vietnamese venture capital and report publisher,Vietnam,Tracks Vietnamese private capital: USD 4.5 billion across 149 deals and USD 509 million of venture capital in 2025; AI funding up 13 times from 2023 to 2025; says capital is available for stronger founders with clearer unit economics. No food or protein theme on the report page.,"capital is still available, but investors are concentrating on stronger founders, clearer unit economics, and more mature opportunities.",Vietnam,High: sets the evidence bar a Vietnamese protein venture must clear; no alternative-protein deal in its data.,AIS-15,VN-direct,Medium,Package CAP-21 records agriculture at about USD 1 million of 2025 venture capital.
AIS-A07,AIS-A07,"VinaCapital Ventures (and HCM VIF, which VinaCapital operates)",investors,venture capital arm; manager of a public-private city venture fund,Vietnam (Ho Chi Minh City),"Invested in INNOHAS (Korean plant-based OEM) in July 2024 to bring its products to Vietnam and Southeast Asia. VinaCapital is founding shareholder and operating unit of the VND 500 billion HCM VIF (Series A and B; core technology, green solutions; biotechnology among 2035 sectors); Hoang Duc Trung, the VinaCapital partner quoted on INNOHAS, is its CEO; about 50 proposals; 1 to 2 investments planned in Q4 2026.",We are proud to invest in INNOHAS and help them introduce their healthy and delicious products to Vietnam.,Vietnam,High: the only Vietnamese VC with a plant-based deal now steers the largest new public-private fund; its INNOHAS thesis (localised OEM products) shows no Vietnam launch two years on.,AIS-16; AIS-17; AIS-18,VN-direct,Medium,Package notes INNOHAS's site did not mention Vietnam on 23 Sep 2026.
AIS-A08,AIS-A08,Mekong Capital,investors,growth private equity,Vietnam,"Growth capital in large minority stakes; sectors consumer, education, healthcare, biotechnology and agricultural technology; led Entobel's USD 25 million round (2022) with a seafood exporter as customer; 2025 to 2026 activity is listings of consumer and finance holdings.",primarily a growth capital firm specializing in large minority investments,Vietnam,"High: the Entobel template (B2B product, named anchor buyer) is what it backs; it would need revenue scale and offtake, not surveys.",AIS-19,VN-direct,Medium,No 2024 to 2026 food-protein deal found.
AIS-A09,AIS-A09,International Finance Corporation (IFC),investors,development finance institution,Global; Vietnam office,"Co-invested USD 2.5 million in Entobel (2023, package); latest alternative-protein rationale found (ProNuvo, 2024) cites a USD 11 billion aquafeed and pet-food opportunity, lower footprint and circularity. We found no 2024 to 2026 Vietnam alternative-protein statement.",(none demand-specific found),Global; Vietnam precedent is Entobel only,Medium: needs an anchor feed buyer and a competitiveness case; the insect sector's 2024 to 2025 failures raise the bar.,AIS-20; AIS-21,general,Medium,"Feed, not food. Insect is a benchmark only."
AIS-A10,AIS-A10,ADB Ventures,investors,development finance venture arm,Emerging Asia (Manila),"Sustainable Agriculture and Food is one of six sectors; expects 80% of investments to have strong climate impact, 75% strong female participation and 100% to crowd in capital. 2025 to 2026 news covers energy and fintech.",80% of the investments are expected to have a strong climate mitigation and/or adaptation impact,Emerging Asia; no Vietnamese agrifood deal (package),High: its impact tests make meat or emissions displaced per tonne decisive; by Part III's own model import substitution displaces no meat.,AIS-22,VN-adjacent,Medium,Ticket USD 0.1 to 4 million per package CAP-45.
AIS-A11,AIS-A11,Thai Union,investors,corporate venture and seafood incumbent,Thailand; global,"Strategy 2030 (Nov 2024) grows pet care, frozen, culinary and ingredients; alternative proteins sit in the third pillar, exploring new frontiers.",new technologies and ideas like new aquaculture ecosystems or alternative proteins,Southeast Asia; no Vietnam alternative-protein activity found,Medium: a regional strategic that has moved alternative protein out of its growth pillars narrows the trade-sale exit the supply chapters assume.,AIS-23,VN-adjacent,Medium,Status of its 2019 venture fund in 2024 to 2026 not found.
AIS-A12,AIS-A12,Charoen Pokphand Foods (Meat Zero),investors,corporate incumbent with alternative-protein brand and partnerships,Thailand; Vietnam operations (C.P. Vietnam),"Launched Meat Zero and a cultured-meat partnership with Future Meat for Asian markets (2021 to 2022). In Vietnam, seven Meat Zero chay SKUs (minced, roast pork, bologna; 90 g to 1 kg) are listed on Kamereo, a B2B supplier to restaurants, cafes and hotels: 1 kg minced at VND 244,000, 200 g roast at VND 35,000.","We are catching up with healthy food trend and nutrition foods in accordance with consumer needs (CPF, 2022)",Vietnam (imported chay SKUs on a B2B platform),"High: a regional incumbent sells analogues into Vietnam labelled chay through a HoReCa channel, competing with TPP-02 and TPP-04 and with any domestic textured-protein customer.",AIS-24; AIS-25; AIS-26,VN-direct,Low,"Kamereo pages show metadata only: listing date, stock and protein content not visible. Part III launches_exits.csv LE-09 records Meat Zero as not found."
AIS-A13,AIS-A13,CJ CheilJedang,investors,corporate incumbent and strategic investor,"South Korea; Vietnam (CJ Foods Vietnam, CJ Cau Tre)","Co-invested in Shiok Meats (2021, package); sells bibigo chay dumplings in Vietnam (package LE-25); April 2026 partnership with Bach Hoa Xanh (2,700+ stores) to make bibigo a national brand; Vietnam sales about sevenfold since 2016 (company figure). No plant-based mention in 2026.",will serve as an important stepping stone for Bibigo to become a 'national brand' in Vietnam,Vietnam,"Medium: buyer, co-packer or competitor for chay and plant-protein products; now concentrating on K-food volume through modern trade.",AIS-27,VN-direct,Medium,Overlaps with the incumbents group; included here as a corporate investor.
AIS-A14,AIS-A14,Next Gen Foods (TiNDLE Foods),startups,plant-based chicken scale-up,Singapore HQ and R&D; sells in US and Europe,Raised a USD 100 million Series A (2022). In July 2025 its CEO said products were still 50% dearer than meat; in November 2025 it announced private label only from 2026 and the divestment of its US business and focused on Europe to cut marketing cost and improve unit economics.,"The fundamental issue is that there is no real underlying consumer demand to shift away from meat (co-founder Andre Menezes, 2025)",Singapore base; no Vietnam; not selling in Southeast Asia in 2025,"High: a Singapore-founded scale-up abandoned the consumer-brand model for private label, the same logic Part III reaches for Vietnam.",AIS-28; AIS-29,general,Medium,
AIS-A15,AIS-A15,Green Rebel Foods,startups,plant-based meat startup,Indonesia (domiciled Singapore); Southeast Asia,"Makes plant-based meat for regional dishes (rendang, satay) and grows through foodservice partners (Starbucks, IKEA, Domino's); raised USD 12.5 million (PPTI, Feb 2026) or USD 10.5 million (DealStreetAsia, Jan 2026) from existing backers; AgFunder is an investor.",Foodservice partnerships have played a central role in the company's expansion,"Indonesia, Singapore; no Vietnam operations reported","High: the one Southeast Asian plant-meat startup that raised in 2026 did so on foodservice volume and local cuisines, the model Part III recommends.",AIS-30; AIS-31; AIS-32,VN-adjacent,Medium,Two amounts recorded; not averaged.
AIS-A16,AIS-A16,Growthwell Foods,startups,plant-based food maker with traditional vegetarian roots,"Singapore; Johor, Malaysia","Plant-based nutrition for Asian palates, 'accessible and affordable'; manufacturing in Johor since 1989 (Growth Well Industry) plus Singapore; own brands include traditional vegetarian lines; supplies chefs and F&B makers; sells in Singapore, Malaysia, Australia, Indonesia with planned Southeast Asian expansion.",plant-based nutrition for Asian palates,Southeast Asia; Vietnam not named,High: a regional analogue of a Vietnamese chay maker turned alternative-protein supplier; a competitor or partner for Vietnamese chay and textured-protein buyers.,AIS-33,VN-adjacent,Medium,2026 shareholder changes reported behind a paywall; not used.
AIS-A17,AIS-A17,INNOHAS,startups,plant-based meat OEM and brand,South Korea,Makes OEM and private-label products for food companies and retailers plus its own brand; claims 90% revenue growth in 2023 and profitability since 2021 (company claims); planned Vietnam and Southeast Asia products with local production after the VinaCapital investment (2024).,(none demand-specific found),Vietnam planned (2024); no launch found by 2026,Medium: shows the OEM model investors backed for Vietnam; the missing launch is itself a demand signal worth explaining.,AIS-16,VN-direct,Low,Package ECO-65 and VCO-31 cover the same deal.
AIS-A18,AIS-A18,Avant Meats and Umami Bioworks (cultivated seafood; Vinh Hoan-linked),startups,cultivated seafood startups,Hong Kong; Singapore,"Avant's Singapore unit declared voluntary winding-up in January 2026; the Hong Kong parent remains registered and sells Zellulin skincare peptides from fish cells. Umami Bioworks (merged with Shiok Meats in 2024) sells cultivated seafood as pet food (EU registration; Singapore launch, 2025) and signed a skincare and supplements partnership with Nippon Barrier Free (Japan) at the end of 2025. Vow, a comparator, moved to co-manufacturing in 2026.","As the cultivated meat industry has evolved, so have we (Avant, Jan 2026)","Singapore, Hong Kong, Japan; Vinh Hoan holds or held stakes; Minh Phu signed an MOU with Shiok (package)","Medium: first revenues come from skincare and pet food, not seafood buyers; the Vietnamese exporters' options look stale.",AIS-34; AIS-35; AIS-36; AIS-37,VN-adjacent,Medium,Vinh Hoan's current holdings not verified (Part III OQ-206).
AIS-A19,AIS-A19,"Angel Yeast, with its Vietnamese distributor ACC (Asia Ingredients Group)",manufacturers,Chinese yeast-protein maker and Vietnamese ingredient distributor,China; Vietnam,"ACC and Angel Yeast held a seminar in May 2025 introducing yeast protein to Vietnamese food and nutrition makers for bakery, beverages, dairy and plant-based foods, with sampling and planned Innovation Days at customer sites.",Yeast Protein as a breakthrough ingredient that supports product innovation and sustainable growth for the domestic food industry,Vietnam (direct B2B marketing),"High: a novel fermentation protein from a Chinese incumbent is already being pushed into the Vietnamese buyers Part III names for TPP-06; no buyer, price or volume disclosed.",AIS-38,VN-direct,Medium,"Supplier, not a startup; included as the ingredient competitor Part III does not name."
AIS-A20,AIS-A20,"Vietnamese founder cohort: Emmay (Nam Tuoi Cuoi), VMEAT, Kashew, Ong Tempeh",startups,domestic alternative-protein and plant-food startups,Vietnam,"Emmay: mushroom and mycelium foods (pate, banh mi filling, floss), 30+ products, 1.5 to 2 t a month, exports about 10% of revenue (UK, Australia, India, Netherlands); in 2022, 80% of revenue came from wholesale distribution and supermarkets. VMEAT (2021): 70% of revenue from F&B (its founders also run a chay noodle chain), over 90% of raw materials imported, VND 4 billion for 49% from two Shark Tank investors. Kashew: wholesale to restaurants, hotels, cafes and caterers. Ong Tempeh: founded 2023, Hanoi branch September 2025, sells to Sheraton, iVegan and restaurants and online.","What we lacked were advisers ... in target import countries ... as well as the capital needed to execute our plans (Emmay founder, 2025)",Vietnam; small exports,"High: revealed founder channel choices (foodservice and wholesale first, exports small, imported inputs) that Part III does not use; these are the domestic deal pipeline investors would see.",AIS-39; AIS-40; AIS-41; AIS-42; AIS-43,VN-direct,Low,Company-reported figures. ThinkZone hosted Emmay's 2021 pitch (package CAP-15); outcome unknown. VMEAT shows no activity after 2022 (package).
