record_id,brand,owner_country,product,category,channel,entry_year,current_status,status_as_of,evidence,source_ids,evidence_label,confidence,demand_evidence_type,notes
LE-18,137 Degrees,Thailand (Simple Foods),"Almond, walnut, pistachio, macadamia, oat milks",plant milk (imported),Modern and premium retail,unknown,On shelf; 9 SKUs across Nha Trang and Ho Chi Minh City stores,2026-09,"VND 139,900 to 158,900 per litre at Nam An; VND 93,000 to 133,500 per pack elsewhere (pack size not always recorded)",ECO-46; FORM-01,VN-direct,High,revealed,Most widely stocked premium import in the audit
LE-19,MilkLab; Alternative Dairy Co; Almond Breeze; So Good,Australia; Australia; USA; Indonesia,Barista and retail plant milks,plant milk (imported),Premium and modern retail,unknown,On shelf,2026-09,"MilkLab VND 90,000 to 94,900 per litre; Alternative Dairy Co VND 58,000 per litre",FORM-01,VN-direct,High,revealed,
LE-20,Fami and Vinasoy (QNS),Vietnam,"Soy milk (incl. calcium, green soy, walnut)",plant milk (local incumbent),Mass traditional and modern trade nationwide,"by 2014 (82.7% share then, per ECO-42)","Active and growing: soy milk revenue VND 3,596 billion in 9M 2025 (+13%), about VND 1,200 billion in Q4 2025 (+22%); 90.6% of branded soy milk (2024)",2026-09,"Fami 1.2 L at VND 27,500 (about VND 22,900 per litre); 8 SKUs in audit; capacity 390 million litres per year",CON-26; CON-27; CON-28; ECO-41; FORM-01; ECO-42,VN-direct,Medium,revealed,Promotion spend rose 13-fold in 2025 (CON-29): growth partly bought
LE-21,Veyo (Vinasoy),Vietnam,Oat milk; nut milk; postbiotic nut milk,plant milk (local),Modern trade,unknown,On shelf; 4 SKUs,2026-09,"VND 24,500 to 28,600 per pack",FORM-01; FORM-33,VN-direct,Medium,revealed,
LE-22,Vinamilk plant milks and plant yoghurt,Vietnam,"Soy milk, 9-nut milk, oat milk, soy-walnut, high-protein nut milk (5 g per 100 ml), plant yoghurt",plant milk (local incumbent),Mass traditional and modern trade nationwide,"unknown for soy and nut milks; high-protein nut milk about 2024 (inferred from first search interest, August 2024)",Active and growing: nut milk double-digit growth in Q1 2026; 10 plant-milk SKUs plus plant yoghurts in audit,2026-09,"High-protein nut milk VND 80,600 to 93,800 per litre; search for sữa hạt cao đạm Vinamilk appears from August 2024",ECO-43; ECO-44; FORM-01; CON-37,VN-direct,Medium,revealed,Several products blend in fresh cow milk (hybrid)
LE-23,TH true NUT,Vietnam,"Walnut, macadamia, almond, oat milks sweetened with dates",plant milk (hybrid with cow milk),Mass modern trade and TH stores,2018,Active; on shelf,2026-09,"Launched 17 March 2018; walnut variant contains fresh cow milk; VND 49,500 to 58,900 per pack",ECO-45; FORM-01; CON-33,VN-direct,Medium,revealed,
LE-24,Nutifood plant milks,Vietnam,"Brown rice milk, corn milk, soy milk",plant milk (local),Mass modern trade,unknown,On shelf,2026-09,"VND 8,900 to 24,800 per pack",FORM-01,VN-direct,Medium,revealed,
LE-25,bibigo Healthy Mandu Chay (CJ Foods Vietnam),"South Korea brand, made in Vietnam",Vegetable and plant-protein dumplings,đồ chay modernised,Mass modern trade,unknown,On shelf,2026-09,Pack claims 100% protein from plants (100% Protein từ thực vật) and 0% cholesterol,FORM-01,VN-direct,Medium,revealed,Example of a multinational using plant-protein language on a chay product
LE-26,Kashew; Deep Blue Island,Vietnam,Cultured cashew cheese; coconut yoghurt,plant dairy (local startups),Premium retail in Ho Chi Minh City,unknown,On shelf,2026-09,"Cashew cheese VND 859,000 to 892,000 per 100 g of protein",FORM-01,VN-direct,Medium,revealed,Niche premium
LE-27,"Angel Yeast yeast protein (via ACC, Asia Ingredients Group)",China,"Yeast protein ingredient (55 to 90% protein, company claim)",fermentation-derived protein ingredient,Ingredient distributor seminars and sampling to Vietnamese food and nutrition makers,2025,Marketed; no catalogue SKU or price online; no named Vietnamese user,2026-09-25,Seminar 23 May 2025 with nearly 100 participants; R&D article 18 June 2025; planned Innovation Days at customer sites,AIS-38; CPC-21; CPC-22,VN-direct,Medium,revealed,First fermentation-derived protein ingredient we found marketed to Vietnamese makers; competitor for TPP-05 and TPP-06. Version 0.4: added from the wave 7 competitor line.
LE-28,Co.op Select chay line (Saigon Co.op private label),Vietnam,"Frozen chay dumplings, sui cao, spring rolls, rice rolls and a dumpling-noodle meal",do chay (private label),Co.opmart and Co.op Online,unknown,"Active: 3 SKUs in stock, 2 out of stock online",2026-09-25,"All five made by GN Foods (Tay Ninh); VND 112,048 to 141,500 per kg; no protein claim; protein ingredients wheat protein, soybean or none",CPC-15; CPC-16; FORM-01; ECO-35,VN-direct,High,revealed,"The retailer private-label route for chay already exists at Co.op with one certified co-packer; it is starch and vegetable led, not protein led. Version 0.4: added from the wave 7 competitor line."
LE-29,Choice L chay (Lotte Mart private label),Korea (retailer); made in Vietnam,Frozen chay spring rolls and dumplings,do chay (private label),Lotte Mart,unknown,On shelf,2026-09-06,"VND 107,800 to 117,250 per kg; maker not recorded; no protein value found",FORM-01,VN-direct,Low,revealed,From the package's audit rows SKU-007 to SKU-009. Version 0.4: added from the wave 7 competitor line.
LE-30,Panko suon mieng chay (dry vegetarian rib pieces),"Vietnam (Sumimoto, per the listing)","Dry soy-isolate and gluten pieces, 1 kg and cartons of 10","do chay (dry, domestic)","Kamereo (HoReCa); marketed to chay eateries, school kitchens and restaurants",unknown,Active: in stock,2026-09-25,"VND 135,000 per kg (VND 118,692 per kg by the carton); 170 packs and 7 cartons on the sold counter; about VND 20,000 to 25,000 per 100 g protein if 53 to 67 g protein (borrowed range)",CPC-12; FORM-01,VN-direct,Low,revealed,The domestic dry chay product already sold into foodservice; the price a canteen protein ingredient has to beat. Version 0.4: added from the wave 7 competitor line.
LE-31,Emmay (brand Nam Tuoi Cuoi),Vietnam,"Mushroom and mycelium foods (floss, pate, fillings); 30+ products; profile describes shiitake mycoprotein made by fermentation",mushroom and mycelium foods (local startup),"Own consumer brand through distributors and supermarkets (about 230 points of sale, 7 distributors; 80% of revenue from wholesale and supermarket chains in 2022); small exports",2017,Active,2025-12,"Donor case study dated December 2025: 1.5 to 2 t a month, 30+ products, exports about 10% of revenue to the UK, Australia, India and the Netherlands since Q3 2023; CEO said plant-based meat cost 50 to 70% more than meat",AIS-39; AIS-40,VN-direct,Low,revealed,Version 0.4: added from the base-rate line. All volumes company-reported. First channel class: own consumer brand (b2c). Qualifies the Part III finding that no Vietnamese food company pilots mycoprotein.
LE-32,Ong Tempeh,Vietnam,Tempeh (fungal fermented legumes),fermented plant protein (local small maker),"Direct to the vegetarian community, then e-commerce (Lazada, Shopee) and foodservice (Sheraton, Vindo restaurant, iVegan)",2023,Active; Hanoi branch opened September 2025,2025-09,"Company history page names business customers Sheraton, Vindo and iVegan; storefronts on Lazada and Shopee",AIS-43,VN-direct,Medium,revealed,Version 0.4: added from the base-rate line. First channel class: own consumer brand (b2c) plus foodservice. A traditional-format maker; all three such Vietnamese makers found are active.
