record_id,record_type,subject,metric,value,unit,year,scope,source_ids,evidence_label,confidence,demand_evidence_type,notes
FSV-029,chain_outlets,Starbucks,outlets,127,outlets,2025-03,Vietnam,CHN-06,VN-direct,Medium,revealed,up 22%
FSV-030,chain_outlets,Katinat,outlets,93,outlets,2025-03,Vietnam,CHN-06,VN-direct,Medium,revealed,up 35%
FSV-031,chain_outlets,The Coffee House,outlets,93,outlets,2025-03,Vietnam,CHN-06,VN-direct,Medium,revealed,down 34%; nearly 40% of outlets closed
FSV-032,chain_outlets,Trung Nguyen,outlets,464,outlets,2025-03,Vietnam,CHN-06,VN-direct,Medium,revealed,
FSV-033,chain_outlets,GoGi House,outlets,146,outlets,2025-03,Vietnam,CHN-06,VN-direct,Medium,revealed,Golden Gate group
FSV-034,chain_outlets,Kichi-Kichi,outlets,116,outlets,2025-03,Vietnam,CHN-06,VN-direct,Medium,revealed,Golden Gate group; hotpot
FSV-035,chain_outlets,Manwah,outlets,55,outlets,2025-03,Vietnam,CHN-06,VN-direct,Medium,revealed,Golden Gate group; hotpot
FSV-036,chain_outlets,Pizza 4P's,outlets,33,outlets,2025-03,Vietnam,CHN-06,VN-direct,Medium,revealed,
FSV-037,chain_outlets,Pho 24,outlets,13,outlets,2025-03,Vietnam,CHN-06,VN-direct,Medium,revealed,
FSV-038,plant_based_trial,KFC Vietnam,chay chicken burger price,39000,VND,2018,"all stores, 26 Jul to end of lunar July",CHN-22; CHN-23,VN-direct,Medium,revealed,"also seaweed rice with chay chicken floss VND 39,000 and salad VND 15,000; no outcome published; no repeat found"
FSV-039,plant_based_trial,BiaCraft,Beyond Burger,,,2019,"3 venues, Ho Chi Minh City",supply study ECO-16,VN-direct,Medium,revealed,context from supply study; first documented modern plant-based meat in Vietnamese HoReCa
FSV-040,plant_based_trial,Burger King,plant-based Whopper in Vietnam,0,launches found,2021,"Asia rollout: Japan, Philippines, China",CHN-26,general,Medium,revealed,clean negative: Vietnam not included; no Vietnam launch found
FSV-041,plant_based_trial,Starbucks Vietnam,OmniFoods items,,,2023,limited-time summer menu,supply study ECO-20,VN-direct,Medium,revealed,context from supply study; ended
FSV-042,plant_based_trial,Lotteria Vietnam,Burger Zero Meat price,39000,VND,2025,"HCMC, Hanoi, Hai Phong, Hue, Da Nang, Nha Trang, Can Tho",CHN-24; CHN-25,VN-direct,Medium,revealed,vegetable patty; launched 25 Jul 2025; no time limit stated; no sales data; current listing not verified
FSV-043,plant_based_trial,Pizza 4P's,vegetarian menu,,,2025,all restaurants,CHN-27,VN-direct,Low,revealed,"cheese, vegetable and mushroom dishes; no analogues"
FSV-044,behaviour,dining choice factors,top three factors,,,2024,Vietnam,CHN-04,VN-direct,Low,stated,"Decision Lab F&B Trends 2024: value for money, taste, ingredient quality"
FSV-045,behaviour,"food away from home, Mekong Delta",change in share of food spending,6,percentage points,2020,"Mekong Delta, 2010 to 2020",CHN-56,VN-direct,Medium,revealed,VHLSS; paper has a 2026 correction
