record_id,indicator,value,unit,year,geography,measured_or_estimated,source_ids,evidence_label,confidence,notes
MI-047,Corn feed and residual use,14.4,million t,MY2024/25,Vietnam,estimated,MAC-01,VN-direct,Medium,USDA PSD. Industrial feed ingredient table gives 9.2 Mt corn for CY2025 (different scope).
MI-048,Corn import share of supply,74,%,2025,Vietnam,derived,MAC-08; MAC-01,VN-direct,High,11.91 / (11.91 + 4.1).
MI-049,Soybean production,42-43,thousand t,2025,Vietnam,estimated,MAC-04,VN-direct,Medium,"26,300 ha. MY2025/26 forecast 41 kt on 25,000 ha."
MI-050,Soybean import share of supply,98.4,%,2025,Vietnam,derived,MAC-04; MAC-09,VN-direct,High,2.61 / (2.61 + 0.043).
MI-051,Soybean crush,1.9,million t,2025,Vietnam,estimated,MAC-04,VN-direct,Medium,1.4 Mt in 2024; forecast 2.5 Mt 2026 and 3.0 Mt 2027. Domestic beans equal at most about 2% of crush.
MI-052,Soybean meal production,1.48,million t,2025,Vietnam,estimated,MAC-04,VN-direct,Medium,78% extraction on 1.9 Mt crush. Forecast 1.95 Mt 2026.
MI-053,Soybean meal feed use,7.2,million t,2025,Vietnam,estimated,MAC-04; MAC-01,VN-direct,Medium,"Forecast 7.4 Mt 2026, 7.8 Mt 2027."
MI-054,Imported meal share of soybean meal supply,79,%,2025,Vietnam,derived,MAC-04,VN-direct,High,"5.703 / (1.482 + 5.703). Domestic meal is crushed from imported beans, so soy protein in feed is about 99% import-derived."
MI-055,Rice bran and broken rice used in feed,545,thousand t,2025,Vietnam,estimated,MAC-01,VN-direct,Medium,USDA industrial feed ingredient demand table.
MI-056,Rice paddy production,43.54,million t,2025,Vietnam,measured (official estimate),MAC-19,VN-direct,High,"NSO. USDA MY2025/26: 41.92 Mt paddy, 26.2 Mt milled."
MI-057,Pork consumption per capita,about 39,kg/person/yr,2025,Vietnam,reported,MAC-21,VN-direct,Low,"MOIT market bureau via VTV; about 37 kg 2024, about 30 kg 2021. Weight basis not stated."
MI-058,Pork consumption per capita,37.04,kg/person/yr,2024,Vietnam,reported,MAC-22,VN-direct,Low,"33.8 (2023), 32 (2022), about 30 (2021)."
MI-059,Live-weight pork produced per capita,52.7,kg/person,2025,Vietnam,derived,MAC-14; MAC-19,VN-direct,High,"5,389.2 kt / 102.3 M people. At 75% carcass yield = 39.5 kg, consistent with the 39 kg consumption figure."
MI-060,Eggs produced per capita,209,eggs/person,2025,Vietnam,derived,MAC-14; MAC-19,VN-direct,High,Decision 1520 targets 180-190 (2025) and 220-225 (2030).
MI-061,Fresh milk produced per capita,12.7,kg/person,2025,Vietnam,derived,MAC-14; MAC-19,VN-direct,High,Domestic fresh milk only; excludes imported milk powder. 1520 per-capita milk targets (16-18 kg 2025; 24-26 kg 2030) basis unclear.
MI-062,Meat per capita target,58-62,kg/person/yr,2030,Vietnam,target,MAC-23,VN-direct,High,Decision 1520/QD-TTg; 50-55 kg for 2025.
MI-063,Meat output target (carcass),6.0-6.5,million t,2030,Vietnam,target,MAC-23,VN-direct,High,"Pork 59-61%, poultry 29-31%, ruminant 10-11%."
MI-064,Industrial feed output target,30-32,million t,2030,Vietnam,target,MAC-23,VN-direct,High,Design capacity target 40-45 Mt. Whether aquafeed is included is not stated in the extract.
MI-065,Seafood exports,11.3,billion USD,2025,Vietnam,measured (official estimate),MAC-15,VN-direct,High,+12.4% y/y (NSO).
MI-066,Shrimp exports,4.6,billion USD,2025,Vietnam,reported,MAC-01,VN-direct,Medium,+19% (USDA citing trade data).
MI-067,Pangasius exports,2.2,billion USD,2025,Vietnam,reported,MAC-01,VN-direct,Medium,+8% (USDA).
MI-068,Seafood exports,8.00,billion USD,2026 Jan-Aug,Vietnam,reported,MAC-34,VN-direct,Medium,+11.8% y/y. Shrimp 3.29 bn; pangasius 1.5 bn; tuna 0.62 bn. China-HK 25.35% share.
MI-069,US tariff on Vietnamese shrimp (Section 301),12.5,%,from July 2026,Vietnam,reported,MAC-35,VN-direct,Low,"VASEP report; Ecuador, India, Indonesia at 10%. Verify against USTR."
MI-070,Livestock sector exports (incl. feed),more than 2.1,billion USD,2025,Vietnam,reported,MAC-12,VN-direct,Medium,+17.4%. Livestock products about 628 M; animal feed about 1.5 bn.
MI-071,Animal feed exports,1.44,billion USD,2025,Vietnam,reported,MAC-01,VN-direct,Medium,+40%; mainly to China and Southeast Asia. Plus 1.2 Mt rice bran and 4 Mt cassava exported.
MI-072,Pork imports,292,thousand t,2024,Vietnam,reported,MAC-22,VN-direct,Low,USD 460 M. 2025 total meat imports not found.
MI-073,Rice exports,8.07,million t,MY2024/25,Vietnam,estimated,MAC-01,VN-direct,Medium,USD 4.1 bn.
MI-074,Agriculture GHG emissions,104.5,MtCO2e,2020,Vietnam,estimated,MAC-32,VN-direct,High,19.8% of national total 528.4 MtCO2e (NDC 2022). 2014: 89.8 MtCO2e (31.6%).
MI-075,"Agriculture GHG emissions, BAU",112.1,MtCO2e,2030,Vietnam,projected,MAC-32,VN-direct,High,12.1% of BAU total 927.9 MtCO2e.
MI-076,Agriculture NDC reduction vs BAU (unconditional),12.4,MtCO2e,2030,Vietnam,target,MAC-32,VN-direct,High,"Equal to 1.3% of national BAU; conditional 50.9 MtCO2e (5.5%). Economy-wide 15.8% unconditional, 43.5% conditional."
MI-077,Livestock GHG (enteric + manure),18.5,MtCO2e,2016,Vietnam,estimated,MAC-33,VN-direct,Medium,Enteric 12.42 + manure 6.09 = 5.8% of national 316.7 MtCO2e. Rice cultivation 49.69 MtCO2e (15.7%). Old inventory; newer BTR not checked.
MI-078,Methane reduction commitment,30,% below 2020,2030,Vietnam,target,MAC-32,VN-direct,High,"Global Methane Pledge, cited in NDC 2022."
MI-079,Share of national antimicrobial use in animals,71.7,%,2015,Vietnam,estimated,MAC-36,VN-direct,Medium,"3,838 t total; pigs 41.7%, aquaculture 21.9%, chickens 4.8%."
MI-080,GDP growth,8.02,%,2025,Vietnam,measured (official estimate),MAC-19,VN-direct,High,H1 2026: 8.18% (MAC-17).
MI-081,GDP per capita,5026,USD,2025,Vietnam,measured (official estimate),MAC-19,VN-direct,High,"USDA gives 5,048 (MAC-31)."
MI-082,GDP,514,billion USD,2025,Vietnam,measured (official estimate),MAC-19,VN-direct,High,
MI-083,Population (average),102.3,million,2025,Vietnam,measured (official estimate),MAC-19,VN-direct,High,USDA uses 101.9 M.
MI-084,Urban population share,38.6,%,2025,Vietnam,measured (official estimate),MAC-19,VN-direct,High,
MI-085,"Agriculture, forestry, fishery share of GDP",11.64,%,2025,Vietnam,measured (official estimate),MAC-19,VN-direct,High,Sector growth 3.78%.
MI-086,FDI disbursed,27.62,billion USD,2025,Vietnam,measured (official estimate),MAC-19,VN-direct,High,Registered 38.42 bn. Food-processing FDI not found.
MI-087,Food processing industry revenue,88,billion USD,2025,Vietnam,reported,MAC-31,VN-direct,Medium,"USDA FPI Annual, +11%. Underlying source not stated in extract."
