record_id,question_id,actor_ids,audience,question,decision_it_informs,part_vi_coverage,where_in_part_vi,evidence_strength,better_answer_changes_decision,decision_value,notes
AFN-Q17,AFN-Q17,AFN-A20,policy,"Who writes and revises school menu templates (MOET, NIN, TH Group's 400 menus; Ajinomoto's 120+ menus), and would they add a protein-dense blended or chay dish inside a VND 20,000 to 35,000 meal?",The actual entry route into school meals,not answered,"none (ch15.3 discusses tenders and Dispatch 64, not menu templates)",none,yes,High,
AFN-Q18,AFN-Q18,AFN-A06; AFN-A16,international,"Can a low-cost plant or fermented protein (soy-rice, mung bean) meet protein-quality and cost targets for institutional feeding in stunting hotspots, and which public programme would buy it?","Whether a nutrition-funded demand route exists, with development funders rather than alternative-protein funders",partly,ch11.2; ch11.8; brief-international (PO-027 protein-quality laboratory); OQ-160,weak,yes,High,India's ORF and GFI India roundtable frames exactly this (AFN-14). Stunting may now be 18.2% nationally (AFN-47).
AFN-Q19,AFN-Q19,AFN-A17; AFN-A09,manufacturers,"If a Vietnamese retailer adopted a plant-to-animal protein-rich foods ratio by weight (WWF method), how much would tofu, soy milk and low-protein chay already count, and what would a protein-weighted ratio show?",Whether ratio targets would reward novel protein or only incumbents,partly,ch12.3; ch11.4; app-d3 (inputs exist: tofu 0.43 kg per person a month; chay median 4.7 g protein per 100 g),moderate,maybe,Medium,Part III has the inputs but has not run the calculation.
AFN-Q20,AFN-Q20,AFN-A12; AFN-A11,startups,"Do global hotel groups' plant-based menu targets (Accor 50% by 2030) apply in their Vietnamese hotels, including Nha Trang, and what protein products do those kitchens buy?",Whether hotels are a committed first B2B buyer for premium or protein-upgraded chay products,not answered,ch15.4; DMV-10; OQ-218,none,maybe,Medium,"The volume verdict (showcase, not volume) would stand; the buyer map would gain a named buyer."
AFN-Q21,AFN-Q21,AFN-A18; AFN-A13,international,"Is chay practice rising or falling among lay Buddhists and young urban people, and do pagoda programmes change it?",Whether diet-change funders back chay promotion as a displacement route,partly,ch12.1; ch25.6; DMV-01; OQ-168; OQ-176,none,yes,Medium,
AFN-Q22,AFN-Q22,AFN-A14; AFN-A13; AFN-A03; AFN-A11,international,"Which Vietnamese organisations could implement institutional menu, trial or corporate protein work, and with what capacity?",Whether funders can deploy money in Vietnam at all,out of scope,"app-m5 (organised vegan movement small; CHY-62, CHY-63)",weak,yes,Medium,
AFN-Q23,AFN-Q23,AFN-A19; AFN-A11,international,"Would Vietnamese food companies that made cage-free commitments accept a protein-diversification ask, and do the same buyers decide both?",Bundling protein asks into existing corporate campaigns,not answered,none,none,maybe,Low,
AFN-Q24,AFN-Q24,AFN-A15; AFN-A04,international,"How many tonnes of CO2e would the benchmark and stretch paths avoid in Vietnam, and at what cost per tonne?",Climate recommenders' interest in Vietnamese food routes,not answered,ch18 reports protein tonnes only; brief-international (livestock 5.8% of GHG in 2016),none,maybe,Medium,
AFN-Q25,AFN-Q25,AFN-A01; AFN-A13; AFN-A02,international,"How many animals, by species, would each displacement route spare, given that poultry leads Vietnam's projected meat growth to 2035?",Welfare funders' cost-effectiveness ranking; eligibility under exclusions on shifting to smaller animals,not answered,ch11.1 (poultry leads growth); ch18.4 (displacement in protein tonnes only),none,yes,High,
AFN-Q26,AFN-Q26,AFN-A02; AFN-A05,policy,"Which demand argument (import substitution of about 26,000 t of protein a year, feed security, food safety) best persuades MOST, MOH and MAE to fund R&D and a novel-food route?",Framing of policy advocacy grants,partly,ch18.3; ch16.1; ch18.6; ch27 (supply side),moderate,maybe,Medium,
AFN-Q27,AFN-Q27,AFN-A09; AFN-A10,investors,"Could Vietnamese listed buyers disclose alternative protein as a share of protein sales, given no eight-digit customs codes or B2B price data?",Feasibility of investor disclosure asks,partly,ch16.1; ch16.2; DMV-18,weak,maybe,Low,
AFN-Q28,AFN-Q28,AFN-A08; AFN-A07,investors,"Do Vietnamese ingredient buyers give pilot orders or letters of intent that an accelerator would accept as market validation, and how long does qualification take?",Investment readiness of Vietnamese ingredient startups,partly,ch16.4 to 16.7; DMV-08; OQ-236,weak,maybe,Medium,
AFN-Q29,AFN-Q29,AFN-A16,policy,Would Vietnam join the School Meals Coalition or seek school-meal financing under the School Health Programme 2026 to 2035?,Funder entry point for school meals in Vietnam,not answered,none,none,maybe,Low,
AFN-Q30,AFN-Q30,AFN-A02; AFN-A05; AFN-A07; AFN-A14,international,"What Vietnam-specific demand fact would lead funders that now prioritise Japan, Korea, Singapore, Thailand and India to add Vietnam?",Country prioritisation by alternative-protein and diet-change funders,not answered,none,none,yes,High,
AIS-Q01,AIS-Q01,AIS-A03; AIS-A04; AIS-A06; AIS-A07; AIS-A08,investors,"Priced at Chinese landed textured protein (about USD 1.24 per kg FOB in 2025), what gross margin, capex per line and payback does a 1 t per hour domestic textured-protein line earn?","Whether T1 is a venture, private-equity, strategic or debt deal, or not investable",partly,"ch16.2 price ladder; ch18.3 (USD 57 million pool, about 3.5 lines by 2035); ch25.3 T1 kill test; cost only in ch09.4 (capex assumed)",weak,yes,High,"Part III raises T1 market pull to 5 without margin evidence. The supply chapters' ex-factory cost of USD 792 to 2,065 per t straddles the Chinese border price; 'no verified extrusion capex found'. A line needs about 7,000 t a year of offtake, about USD 8.7 million of revenue at the Chinese border price (our calculation)."
AIS-Q02,AIS-Q02,AIS-A04; AIS-A06; AIS-A07; AIS-A08; AIS-A09; AIS-A20,investors,"Will at least three named buyers (chay makers, meat processors or plant-milk makers) sign a conditional trial order or letter of intent for a domestic ingredient at a stated price and volume?",Go or no-go on a first plant; which customers a founder targets first,not answered,"ch16.7 (first customers inferred); ch25.3 kill test; demand_moves.csv DMV-08; open questions OQ-231, OQ-234",none,yes,High,Investors in 2025 to 2026 ask for 'strong offtake agreements' and 'contracted revenue' (AIS-01). Part III names plausible customers from labels and trade data only.
AIS-Q03,AIS-Q03,AIS-A14; AIS-A15; AIS-A16; AIS-A17; AIS-A20,startups,"How long does ingredient qualification take at Vietnamese processors, chay makers and dairy firms, and what minimum order, shelf life and documents apply?","Runway, working capital and round size for a founder",not answered,ch16.4 (qualification time 'the most important unknown'); OQ-233; DMV-08,none,yes,High,Part III is candid that no buyer published these.
AIS-Q04,AIS-Q04,AIS-A07; AIS-A08; AIS-A11; AIS-A12; AIS-A13,investors,"Which strategic buyers have acquired or invested in protein-ingredient or alternative-protein firms in Vietnam or the region since 2020, and are any still doing so?",Exit route and fund fit (venture versus private equity versus strategic joint venture),out of scope,Not in Part III; ch08 lists deals and assumes trade-sale exits,weak,yes,High,Thai Union moved alternative proteins to 'exploring new frontiers' (AIS-23); Monde Nissin halted a fermentation plant (AIS-44); CJ's 2026 Vietnam push is K-food (AIS-27).
AIS-Q05,AIS-Q05,AIS-A14; AIS-A15; AIS-A16; AIS-A17,startups,"Do Vietnamese modern retailers and foodservice chains commission private-label or OEM chay and plant-protein products, from which makers, and at what price and volume?",Whether a startup should be an OEM or private-label supplier (the TiNDLE and INNOHAS model) rather than a brand,partly,ch15.1 (frozen chay sections include private labels); ch15.5 (channel economics absent); ch05 (Co.op Select chay made under contract); OQ-213,weak,yes,High,
AIS-Q06,AIS-Q06,AIS-A12; AIS-A16; AIS-A17; AIS-A19,startups,"Which regional suppliers (Thai, Malaysian, Korean, Chinese) already sell finished chay or plant-protein products and novel protein ingredients into Vietnamese B2B channels, and at what prices?","Price and positioning of TPP-01, TPP-02, TPP-04 and TPP-06; whether domestic production has an edge",partly,ch16.1 to 16.2 (Chinese commodity ingredients only); ch16.5 (Fi Vietnam exhibitors); launches_exits.csv LE-09 (Meat Zero not found),weak,yes,High,New facts: Meat Zero chay SKUs on a HoReCa platform (AIS-25); Angel Yeast yeast protein marketed to Vietnamese makers (AIS-38).
AIS-Q07,AIS-Q07,AIS-A04; AIS-A14; AIS-A15; AIS-A16; AIS-A20,startups,"Which first channel (foodservice, chay makers, own-brand retail, export) produced repeat revenue for alternative-protein startups that entered Vietnam and Southeast Asia since 2019, and what share of revenue did it carry?",A founder's first channel; an investor's channel diligence,partly,"ch13.5 and launches_exits.csv (brand presence on shelves, not firm revenue); ch15.6 (ranking by judgement); ch02 (Emmay volumes)",weak,maybe,Medium,"Founder evidence exists but is not used: VMEAT 70% of revenue from F&B (2021), Emmay 80% from wholesale and supermarkets (2022), Green Rebel's growth through foodservice (2026)."
AIS-Q08,AIS-Q08,AIS-A14; AIS-A15; AIS-A20,startups,"Would Vietnamese foodservice chains (hotpot, com tam, banh mi, cafe, quick service) list a plant or blended protein item at meat parity, and what volumes and repeat did past items achieve?",Foodservice-first go-to-market,partly,ch15.2 (trials 2018 to 2025 without disclosed outcomes); OQ-217,weak,yes,High,
AIS-Q09,AIS-Q09,AIS-A01; AIS-A12; AIS-A13,investors,"Will a Vietnamese meat processor or retailer co-develop and sell a blended meat product under its own brand, as Nurasa and a meat importer did with Q Protein in Singapore?",Whether to back hybrid-extender ventures and with which partner,partly,ch14.4; ch16.6 (no processor interest found); TPP-03; OQ-197; OQ-232,weak,yes,High,
AIS-Q10,AIS-Q10,AIS-A11; AIS-A13; AIS-A18,investors,"Do Vietnamese seafood exporters still hold, value or fund their cultivated-seafood stakes and memoranda, and would they pay for co-development?",Whether cultivated-seafood research (T8) has strategic co-investors in Vietnam,partly,"ch14.1 ('options, not product'; no later news); ch14.6 investors bullet; OQ-206",weak,maybe,Medium,Avant's Singapore unit wound up in January 2026 (AIS-34).
AIS-Q11,AIS-Q11,AIS-A04; AIS-A16; AIS-A19,investors,"Is any Vietnamese food maker trialling yeast, fungal or mycelium protein as a functional ingredient, and at what price relative to egg and dairy proteins?","Whether T9 and TPP-06 are investable, and whether Chinese suppliers will occupy the slot first",partly,ch16.2 (price rungs); ch16.6 (clean negative on buyers); ch14.3,weak,yes,High,Supplier push exists (AIS-38); buyer pilots unknown.
AIS-Q12,AIS-Q12,AIS-A02; AIS-A03; AIS-A04; AIS-A05; AIS-A07,investors,"Can a Vietnam-first alternative-protein company reach venture-scale revenue from domestic demand alone, or must it sell regionally or export from the start?",Fund fit and domicile (Vietnam company or Singapore holding),partly,ch18.3 (about USD 57 million ingredient pool in 2035 for all makers; exports 2.5 kt of protein); ch17,moderate,yes,High,The whole 2035 benchmark pool is about USD 57 million a year; one line earns about USD 9 million of revenue (our calculation). Better Bite avoids locally focused brands (AIS-13).
AIS-Q13,AIS-Q13,AIS-A06; AIS-A07; AIS-A10,investors,"What revenue, growth, margins and funding do Vietnam's existing alternative-protein startups show, and does any meet a seed or Series A bar?",Whether a Vietnamese deal pipeline exists at all,not answered,Not in Part III; ch02 and Appendix S1 list startups,weak,maybe,Medium,
AIS-Q14,AIS-Q14,AIS-A05; AIS-A08; AIS-A09; AIS-A10,investors,"Is there an anchor feed buyer, like Vinh Hoan for Entobel, for a non-insect microbial feed ingredient, at a price and trial result that supports a DFI co-investment?",DFI ticket and structure for T2 and T3,partly,ch17.5 (export feed standards pull); ch25.3 T2 and T3 rows; feed demand mainly in Appendix S6,weak,yes,High,Part III's demand work is food-led; ch18 puts feed outside its scope.
AIS-Q15,AIS-Q15,AIS-A09; AIS-A10,investors,"How much meat protein, and how much CO2e, does each target product profile displace per tonne sold in Vietnam?",Whether a venture passes DFI or climate-VC impact screens (ADB Ventures: 80% strong climate impact),answered,ch18.2 displacement factors by route; ch18.4; ch18.6,weak,yes,High,"Part III answers the meat part: import substitution (R1, most benchmark demand) displaces no meat; hybrids 0.9; canteens 0.8. It gives no emissions per tonne, and brief-investors does not draw the implication that T1 may fail impact screens."
AIS-Q16,AIS-Q16,AIS-A09; AIS-A10,investors,"Is there an institutional nutrition buyer (school meals in stunting provinces, public programmes) that would anchor a low-cost plant or blended protein product?",Design of a blended-finance or DFI programme,partly,"ch15.3 (schools price-capped, animal-protein target); ch11.2 (child stunting); OQ-160; OQ-219",moderate,maybe,Medium,
AIS-Q17,AIS-Q17,AIS-A14; AIS-A15; AIS-A20,startups,"How seasonal are B2B orders from chay makers and chay foodservice around the lunar calendar, and how much stock and working capital must a supplier carry?",Cash planning and launch timing,partly,"ch12.2 (retail uplift 2 to 3 times in specialist channels, 15 to 40% in mainstream retail in lunar month 7)",weak,maybe,Medium,No B2B order data. Monthly trade data could also help split food from feed (feed has no lunar cycle).
AIS-Q18,AIS-Q18,AIS-A01; AIS-A02; AIS-A03; AIS-A04,investors,"Which alternative-protein categories show revealed, repeat demand in Southeast Asia (plant milk, blends, yeast protein, textured protein) rather than stated interest?",Regional thesis and portfolio allocation,partly,ch13.5 to 13.7; ch14.2 to 14.4; Appendix D7,moderate,maybe,Medium,Part III is strong on plant milk and on analogue plateaus abroad; thin on B2B ingredient repeat.
AIS-Q19,AIS-Q19,AIS-A11; AIS-A12; AIS-A13,investors,"Do incumbents with Vietnamese operations (C.P. Vietnam, CJ Foods Vietnam, Thai Union partners) plan plant or hybrid lines in Vietnam, and would they buy from startups or make in-house?",Corporate partnership and co-investment,partly,ch16.3 (no plant product from Masan or C.P. found); ch16.6; launches_exits.csv (bibigo chay; Meat Zero not found),weak,yes,Medium,
AIS-Q20,AIS-Q20,AIS-A14; AIS-A16; AIS-A20,startups,"Would EU and UK private-label buyers source plant-based foods from Vietnamese startups or co-packers at private-label prices, given that Emmay already exports about 10% of revenue?","Export-first strategy (TPP-08, TPP-09)",partly,ch17.2; ch17.6; TPP-08; DMV-11,weak,yes,Medium,"TiNDLE's move to private label in Europe (AIS-28) confirms private label is where European volume is, and that it is price-driven."
AIS-Q21,AIS-Q21,AIS-A01; AIS-A02; AIS-A04; AIS-A06; AIS-A20,startups,"What demand proof (contracted revenue, repeat orders, letters of intent, pilot volumes) do regional seed and Series A investors require in 2025 to 2026, and which Vietnamese ventures meet it?","Which investors a founder approaches, and when",out of scope,Not in Part III; ch08 lists investors without thresholds,none,yes,Medium,
AIS-Q22,AIS-Q22,AIS-A15; AIS-A16; AIS-A20,startups,"Do Vietnamese buyers accept domestic mushroom or mycelium ingredients in familiar dishes at the same price as imported textured soy, and do they reorder?",Product choice for fungal startups,partly,ch14.3 (clean label requirement); OQ-173,weak,yes,Medium,A deeper version of a wave-6 question.
AIS-Q23,AIS-Q23,AIS-A04; AIS-A20,startups,"Which certificates (non-GMO, halal, food-safety systems) do buyers require before a first order, and what do they cost a small supplier?",Pre-revenue budget,partly,ch16.4 (requirements listed; costs absent),moderate,maybe,Low,
AIS-Q24,AIS-Q24,AIS-A07; AIS-A17,investors,"What happened to INNOHAS's planned Vietnamese products and local production, and did the investor's local network produce a buyer?",Whether OEM partnerships work as a Vietnam entry route,partly,ch13.5 (no launch found),weak,maybe,Low,
AIS-Q25,AIS-Q25,AIS-A03; AIS-A04; AIS-A08; AIS-A20,investors,"What duty do Chinese and ASEAN textured protein, soy isolate and gluten actually pay into Vietnam under ACFTA and ATIGA, as opposed to the 3 to 10% MFN rates?",Whether a domestic line has any tariff protection; T1 margin,partly,ch16.2 (MFN rates only); Appendix S9 and tariffs.csv (ATIGA and ACFTA 'not verified'),moderate,yes,High,"If preferential rates are zero, the protection Part III cites does not exist for the main competitor."
AIB-Q01,AIB-Q01,AIB-A01,manufacturers,"At what price, specification and documentation would Vinamilk trial a Vietnamese rice or mung bean isolate instead of imported pea protein in its high-protein nut milk, and how long would supplier qualification take?",Whether Vinamilk would switch or add a local isolate; whether a startup builds TPP-05 for this buyer,partly,ch16.3; ch16.4; ch16.7; TPP-05; OQ-234; OQ-236,weak,yes,High,Price band inferred from 2025 shipments; spec from product page; no buyer interview. Vinamilk AR 2025 gives supplier criteria only in general terms (AIB-01).
AIB-Q02,AIB-Q02,AIB-A01,manufacturers,"Is Vinamilk's high-protein nut milk a growth platform or a niche beside its dairy high-protein lines, given that it promotes milk protein as more absorbable than plant protein?",How much isolate volume the named first buyer can take; whether to pitch on function and supply security rather than protein quality,not answered,ch16.3 notes the product only,none,yes,High,New: AIB-03 (Green Farm Cao Đạm) and AIB-01 (plant milk as health solution).
AIB-Q03,AIB-Q03,AIB-A01; AIB-A02; AIB-A03,manufacturers,"Which plant-milk sub-categories (soy, nut, oat) and protein levels are growing, by volume and value, and in which channels?",Which isolate to develop and which buyer to target first,partly,ch12.3; ch13; launches_exits.csv LE-20 to LE-24; OQ-184,moderate,maybe,Medium,QNS 2025 figures now add revealed growth by sub-line (AIB-05); no category panel data.
AIB-Q04,AIB-Q04,AIB-A02,manufacturers,"Is Vinasoy a buyer, a partner or a competitor for a domestic protein ingredient, given its own non-GMO soybean breeding, whole-bean process and three plants?","Whom a T10 or T1 startup approaches, and whether as supplier, co-developer or licensee",not answered,ch16.7 lists Vinasoy as a plausible isolate buyer (inferred),weak,yes,Medium,AIB-06 shows vertical integration into soybean breeding.
AIB-Q05,AIB-Q05,AIB-A02; AIB-A01,manufacturers,"Would a paid school soy-milk or plant-milk programme follow the December 2025 school-meal guidance, given Vinasoy's donations (1 million boxes in 2026 to 2027)?",Whether plant milk becomes a public-meal protein route,not answered,ch15.3 says the school-milk precedent points to animal protein,none,maybe,Medium,AIB-08; AIB-39. Successor to the 2016 school milk programme not checked.
AIB-Q06,AIB-Q06,AIB-A04; AIB-A01,manufacturers,"What clinical and regulatory dossier, and how much time, does a medical or specialised nutrition maker need to add a new protein source (plant isolate or precision-fermented)?",Timing and cost of first revenue for T7 and for medical-grade plant isolates,partly,ch14.2; ch16.3; TPP-07; OQ-233; OQ-240,weak,yes,Medium,
AIB-Q07,AIB-Q07,AIB-A05; AIB-A07; AIB-A10,manufacturers,"Would an integrated meat processor pilot a declared 20 to 30% plant or fungal extender in a value line, given 2026 strategies of vertical integration and branded meat, and what would it need to see first?",Whether TPP-03 and play T9 have a first buyer,partly,ch14.4; ch16.6; TPP-03; OQ-203; OQ-232,weak,yes,High,2026 AGM material states no interest (AIB-12; AIB-14; AIB-15).
AIB-Q08,AIB-Q08,AIB-A05; AIB-A07,manufacturers,"At what live-hog or lean-pork price does an extender save a processor money, and how often has pork crossed that price since 2019?",Price target for TPP-03; timing of processor pilots,partly,ch11.5; ch14.4; OQ-164,weak,yes,Medium,"Vissan Q1 2026 hog price VND 71,000 to 74,000 per kg (AIB-15)."
AIB-Q09,AIB-Q09,AIB-A17; AIB-A06; AIB-A16,manufacturers,"Would a retailer private-label programme (Co.op 2,500+ SKUs; WinCommerce 25 to 50 house brands) list a higher-protein chay or blended SKU from a co-packer, and at what specification, margin and minimum volume?",Route to shelf for TPP-02 and TPP-03 without building a brand,not answered,"ch15.6 and D4.6 omit private label; private label appears only for export (TPP-08, ch17)",none,yes,High,AIB-28; AIB-29; AIB-30; AIB-12.
AIB-Q10,AIB-Q10,AIB-A06; AIB-A05,manufacturers,Does WinCommerce's link with Masan MEATLife (about 61% of its protein category) close the chain to third-party protein products or offer a fast in-house test route?,"Whether an independent maker can list at WinCommerce, or must partner with MML",not answered,ch15.1; D5.3,none,maybe,Medium,
AIB-Q11,AIB-Q11,AIB-A06; AIB-A16; AIB-A17; AIB-A18,manufacturers,"What listing fees, trade margins, promotion contributions and payment terms do the chains charge for frozen chay and processed meat?",Retail pricing and viability of any consumer product,not answered,ch15.5; OQ-213,none,yes,Medium,Deeper version of a known Part III gap.
AIB-Q12,AIB-Q12,AIB-A06; AIB-A16,manufacturers,"Does the rural minimart expansion (WinCommerce 70% rural openings; Bach Hoa Xanh 3,612 stores) carry frozen chay and freezer space into rural areas?",Whether frozen chay reaches rural buyers or only dry formats do,partly,ch15.1,weak,maybe,Medium,
AIB-Q13,AIB-Q13,AIB-A07; AIB-A12; AIB-A08; AIB-A11,manufacturers,"What are chay-line volumes by maker, and what did 2026 Vu Lan launches (Vissan há cảo chay and hoành thánh chay) sell?",Size of the B2B textured-protein opportunity (TPP-01),partly,ch12.3; OQ-170; OQ-181,weak,maybe,Medium,OQ-181 can close: no chay target at Vissan 2026 AGM (AIB-14; AIB-15).
AIB-Q14,AIB-Q14,AIB-A08; AIB-A12; AIB-A07,manufacturers,"Do animal-health import rules in Japan, Korea, the US, the EU and Australia make chay versions the easier exportable format for Vietnamese frozen dumplings and spring rolls?",Whether export pull gives incumbents a revealed reason to scale chay lines,not answered,ch17.3 covers tariffs and labels only,none,maybe,Medium,CJ's parent cited animal-disease limits on meat exports as a plant-based rationale (AIB-17).
AIB-Q15,AIB-Q15,AIB-A09; AIB-A05,manufacturers,Will noodle and convenience-food makers add protein to ready-to-eat lines as they diversify (Acecook's 2025 strategy; Masan Consumer)?,Whether noodles become a protein ingredient market,partly,ch16.3; OQ-237,moderate,no,Low,AIB-18 shows diversification without protein claims.
AIB-Q16,AIB-Q16,AIB-A10,manufacturers,"Will C.P. Vietnam localise Meat Zero or PLANT-TEC soy texturing, or use its Vietnamese caterer (Dzine) and shops to test blends?",Whether a vertically integrated multinational becomes a hybrid maker in Vietnam,partly,launches_exits.csv LE-09; ch16.3,weak,maybe,Medium,AIB-19.
