record_id,hs_code,product,reporter,year,flow,partner,value_usd_million,net_weight_t,source_ids,evidence_label,confidence,demand_evidence_type,notes
WFT-016,190220,"Stuffed pasta (dumplings, wontons and similar)",United Kingdom,2025,import,Vietnam,14.83,1758,XBA-28,VN-direct,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-017,190220,"Stuffed pasta (dumplings, wontons and similar)",United Kingdom,2025,import,Thailand,6.74,893,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-018,190220,"Stuffed pasta (dumplings, wontons and similar)",United Kingdom,2025,import,China,14.63,3489,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-019,190220,"Stuffed pasta (dumplings, wontons and similar)",Germany,2024,import,Vietnam,3.01,546,XBA-28,VN-direct,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-020,190220,"Stuffed pasta (dumplings, wontons and similar)",Germany,2024,import,Thailand,2.41,426,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-021,190220,"Stuffed pasta (dumplings, wontons and similar)",Germany,2024,import,China,6.35,1725,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-022,190220,"Stuffed pasta (dumplings, wontons and similar)",Germany,2025,import,Vietnam,3.66,691,XBA-28,VN-direct,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-023,190220,"Stuffed pasta (dumplings, wontons and similar)",Germany,2025,import,Thailand,2.65,365,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-024,190220,"Stuffed pasta (dumplings, wontons and similar)",Germany,2025,import,China,7.31,1908,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-025,190220,"Stuffed pasta (dumplings, wontons and similar)",Netherlands,2024,import,Vietnam,5.71,1035,XBA-28,VN-direct,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-026,190220,"Stuffed pasta (dumplings, wontons and similar)",Netherlands,2024,import,Thailand,0.55,83,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-027,190220,"Stuffed pasta (dumplings, wontons and similar)",Netherlands,2024,import,China,9.79,3394,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-028,190220,"Stuffed pasta (dumplings, wontons and similar)",Netherlands,2025,import,Vietnam,8.23,1682,XBA-28,VN-direct,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-029,190220,"Stuffed pasta (dumplings, wontons and similar)",Netherlands,2025,import,Thailand,0.52,69,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-030,190220,"Stuffed pasta (dumplings, wontons and similar)",Netherlands,2025,import,China,12.98,4408,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-031,190220,"Stuffed pasta (dumplings, wontons and similar)",France,2024,import,Vietnam,8.90,1340,XBA-28,VN-direct,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-032,190220,"Stuffed pasta (dumplings, wontons and similar)",France,2024,import,Thailand,10.45,1804,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-033,190220,"Stuffed pasta (dumplings, wontons and similar)",France,2024,import,China,7.93,2133,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-034,190220,"Stuffed pasta (dumplings, wontons and similar)",France,2025,import,Vietnam,8.63,1319,XBA-28,VN-direct,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-035,190220,"Stuffed pasta (dumplings, wontons and similar)",France,2025,import,Thailand,9.80,1570,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-036,190220,"Stuffed pasta (dumplings, wontons and similar)",France,2025,import,China,8.08,2297,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-037,190220,"Stuffed pasta (dumplings, wontons and similar)",United States,2024,import,Vietnam,28.08,4395,XBA-28,VN-direct,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-038,190220,"Stuffed pasta (dumplings, wontons and similar)",United States,2024,import,Thailand,35.32,6278,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-039,190220,"Stuffed pasta (dumplings, wontons and similar)",United States,2024,import,China,4.02,1195,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-040,190220,"Stuffed pasta (dumplings, wontons and similar)",United States,2025,import,Vietnam,48.08,7609,XBA-28,VN-direct,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-041,190220,"Stuffed pasta (dumplings, wontons and similar)",United States,2025,import,Thailand,13.95,2651,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-042,190220,"Stuffed pasta (dumplings, wontons and similar)",United States,2025,import,China,4.32,1354,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-043,190220,"Stuffed pasta (dumplings, wontons and similar)",Australia,2024,import,Vietnam,12.22,2062,XBA-28,VN-direct,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-044,190220,"Stuffed pasta (dumplings, wontons and similar)",Australia,2024,import,Thailand,0.50,58,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-045,190220,"Stuffed pasta (dumplings, wontons and similar)",Australia,2024,import,China,17.38,6432,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-046,190220,"Stuffed pasta (dumplings, wontons and similar)",Australia,2025,import,Vietnam,10.63,,XBA-28,VN-direct,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes. Net weight not reported."
WFT-047,190220,"Stuffed pasta (dumplings, wontons and similar)",Australia,2025,import,Thailand,0.80,110,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-048,190220,"Stuffed pasta (dumplings, wontons and similar)",Australia,2025,import,China,16.68,6211,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-049,190220,"Stuffed pasta (dumplings, wontons and similar)",EU27 (extra-EU imports),2024,import,Vietnam,29.59,4884,XBA-28,VN-direct,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-050,190220,"Stuffed pasta (dumplings, wontons and similar)",EU27 (extra-EU imports),2024,import,Thailand,15.59,2693,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-051,190220,"Stuffed pasta (dumplings, wontons and similar)",EU27 (extra-EU imports),2024,import,China,40.99,13795,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-052,190220,"Stuffed pasta (dumplings, wontons and similar)",EU27 (extra-EU imports),2025,import,Vietnam,32.44,5526,XBA-28,VN-direct,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-053,190220,"Stuffed pasta (dumplings, wontons and similar)",EU27 (extra-EU imports),2025,import,Thailand,14.20,2248,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-054,190220,"Stuffed pasta (dumplings, wontons and similar)",EU27 (extra-EU imports),2025,import,China,47.38,16232,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-055,210610,Protein concentrates and textured protein substances,Japan,2024,import,Vietnam,0.25,55,XBA-28,VN-direct,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-056,210610,Protein concentrates and textured protein substances,Japan,2024,import,Thailand,0.09,13,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-057,210610,Protein concentrates and textured protein substances,Japan,2024,import,China,12.79,5024,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-058,210610,Protein concentrates and textured protein substances,Japan,2025,import,Vietnam,0.14,30,XBA-28,VN-direct,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-059,210610,Protein concentrates and textured protein substances,Japan,2025,import,Thailand,0.03,6,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-060,210610,Protein concentrates and textured protein substances,Japan,2025,import,China,11.52,5329,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-061,210610,Protein concentrates and textured protein substances,Korea,2024,import,Vietnam,0.27,72,XBA-28,VN-direct,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-062,210610,Protein concentrates and textured protein substances,Korea,2024,import,Thailand,0.06,10,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-063,210610,Protein concentrates and textured protein substances,Korea,2024,import,China,31.96,14855,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-064,210610,Protein concentrates and textured protein substances,Korea,2025,import,Vietnam,0.32,73,XBA-28,VN-direct,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-065,210610,Protein concentrates and textured protein substances,Korea,2025,import,Thailand,0.04,7,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-066,210610,Protein concentrates and textured protein substances,Korea,2025,import,China,29.93,15107,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-067,210610,Protein concentrates and textured protein substances,United Kingdom,2024,import,Vietnam,0.00,0,XBA-28,VN-direct,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-068,210610,Protein concentrates and textured protein substances,United Kingdom,2024,import,Thailand,0.54,99,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-069,210610,Protein concentrates and textured protein substances,United Kingdom,2024,import,China,16.10,4812,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-070,210610,Protein concentrates and textured protein substances,United Kingdom,2025,import,Vietnam,0.01,1,XBA-28,VN-direct,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-071,210610,Protein concentrates and textured protein substances,United Kingdom,2025,import,Thailand,0.55,161,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-072,210610,Protein concentrates and textured protein substances,United Kingdom,2025,import,China,23.46,8067,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-073,210610,Protein concentrates and textured protein substances,Germany,2024,import,Vietnam,0.01,3,XBA-28,VN-direct,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-074,210610,Protein concentrates and textured protein substances,Germany,2024,import,Thailand,0.01,2,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-075,210610,Protein concentrates and textured protein substances,Germany,2024,import,China,10.36,3978,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-076,210610,Protein concentrates and textured protein substances,Germany,2025,import,Vietnam,0.00,0,XBA-28,VN-direct,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-077,210610,Protein concentrates and textured protein substances,Germany,2025,import,Thailand,0.02,2,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-078,210610,Protein concentrates and textured protein substances,Germany,2025,import,China,10.99,4055,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-079,210610,Protein concentrates and textured protein substances,Netherlands,2024,import,Vietnam,0.01,2,XBA-28,VN-direct,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-080,210610,Protein concentrates and textured protein substances,Netherlands,2024,import,Thailand,0.07,13,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-081,210610,Protein concentrates and textured protein substances,Netherlands,2024,import,China,10.57,3130,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-082,210610,Protein concentrates and textured protein substances,Netherlands,2025,import,Vietnam,0.00,0,XBA-28,VN-direct,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-083,210610,Protein concentrates and textured protein substances,Netherlands,2025,import,Thailand,0.16,33,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-084,210610,Protein concentrates and textured protein substances,Netherlands,2025,import,China,9.77,3197,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-085,210610,Protein concentrates and textured protein substances,France,2024,import,Vietnam,0.01,3,XBA-28,VN-direct,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-086,210610,Protein concentrates and textured protein substances,France,2024,import,Thailand,0.02,2,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-087,210610,Protein concentrates and textured protein substances,France,2024,import,China,3.50,986,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-088,210610,Protein concentrates and textured protein substances,France,2025,import,Vietnam,0.01,3,XBA-28,VN-direct,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-089,210610,Protein concentrates and textured protein substances,France,2025,import,Thailand,0.07,66,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-090,210610,Protein concentrates and textured protein substances,France,2025,import,China,6.39,2407,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-091,210610,Protein concentrates and textured protein substances,United States,2024,import,Vietnam,1.45,195,XBA-28,VN-direct,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-092,210610,Protein concentrates and textured protein substances,United States,2024,import,Thailand,3.78,861,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-093,210610,Protein concentrates and textured protein substances,United States,2024,import,China,8.68,2186,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-094,210610,Protein concentrates and textured protein substances,United States,2025,import,Vietnam,1.49,134,XBA-28,VN-direct,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-095,210610,Protein concentrates and textured protein substances,United States,2025,import,Thailand,1.84,382,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-096,210610,Protein concentrates and textured protein substances,United States,2025,import,China,17.03,6750,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-097,210610,Protein concentrates and textured protein substances,Australia,2024,import,Vietnam,0.00,1,XBA-28,VN-direct,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-098,210610,Protein concentrates and textured protein substances,Australia,2024,import,Thailand,,,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes. No record returned by the API for this cell."
WFT-099,210610,Protein concentrates and textured protein substances,Australia,2024,import,China,12.35,3892,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-100,210610,Protein concentrates and textured protein substances,Australia,2025,import,Vietnam,,,XBA-28,VN-direct,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes. No record returned by the API for this cell."
WFT-101,210610,Protein concentrates and textured protein substances,Australia,2025,import,Thailand,,,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes. No record returned by the API for this cell."
WFT-102,210610,Protein concentrates and textured protein substances,Australia,2025,import,China,13.38,4251,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-103,210610,Protein concentrates and textured protein substances,EU27 (extra-EU imports),2024,import,Vietnam,0.03,7,XBA-28,VN-direct,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-104,210610,Protein concentrates and textured protein substances,EU27 (extra-EU imports),2024,import,Thailand,0.31,48,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-105,210610,Protein concentrates and textured protein substances,EU27 (extra-EU imports),2024,import,China,35.84,12118,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-106,210610,Protein concentrates and textured protein substances,EU27 (extra-EU imports),2025,import,Vietnam,0.01,3,XBA-28,VN-direct,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-107,210610,Protein concentrates and textured protein substances,EU27 (extra-EU imports),2025,import,Thailand,0.41,122,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-108,210610,Protein concentrates and textured protein substances,EU27 (extra-EU imports),2025,import,China,42.58,16381,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-109,210690,Food preparations n.e.s.,Japan,2024,import,Vietnam,15.39,11632,XBA-28,VN-direct,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-110,210690,Food preparations n.e.s.,Japan,2024,import,Thailand,79.60,78632,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-111,210690,Food preparations n.e.s.,Japan,2024,import,China,117.91,39238,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-112,210690,Food preparations n.e.s.,Japan,2025,import,Vietnam,23.04,15457,XBA-28,VN-direct,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-113,210690,Food preparations n.e.s.,Japan,2025,import,Thailand,76.28,82843,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-114,210690,Food preparations n.e.s.,Japan,2025,import,China,122.60,42068,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-115,210690,Food preparations n.e.s.,Korea,2024,import,Vietnam,15.99,7641,XBA-28,VN-direct,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-116,210690,Food preparations n.e.s.,Korea,2024,import,Thailand,38.81,20227,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-117,210690,Food preparations n.e.s.,Korea,2024,import,China,113.52,15962,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-118,210690,Food preparations n.e.s.,Korea,2025,import,Vietnam,14.50,6864,XBA-28,VN-direct,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-119,210690,Food preparations n.e.s.,Korea,2025,import,Thailand,38.95,20559,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-120,210690,Food preparations n.e.s.,Korea,2025,import,China,119.59,17484,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-121,210690,Food preparations n.e.s.,United Kingdom,2024,import,Vietnam,6.23,3640,XBA-28,VN-direct,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-122,210690,Food preparations n.e.s.,United Kingdom,2024,import,Thailand,30.36,21278,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-123,210690,Food preparations n.e.s.,United Kingdom,2024,import,China,84.33,12238,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-124,210690,Food preparations n.e.s.,United Kingdom,2025,import,Vietnam,6.66,3991,XBA-28,VN-direct,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-125,210690,Food preparations n.e.s.,United Kingdom,2025,import,Thailand,27.78,17666,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-126,210690,Food preparations n.e.s.,United Kingdom,2025,import,China,97.93,13072,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-127,210690,Food preparations n.e.s.,Germany,2024,import,Vietnam,10.28,7306,XBA-28,VN-direct,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-128,210690,Food preparations n.e.s.,Germany,2024,import,Thailand,15.99,5478,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-129,210690,Food preparations n.e.s.,Germany,2024,import,China,100.34,8568,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-130,210690,Food preparations n.e.s.,Germany,2025,import,Vietnam,24.69,14159,XBA-28,VN-direct,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-131,210690,Food preparations n.e.s.,Germany,2025,import,Thailand,16.38,5273,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-132,210690,Food preparations n.e.s.,Germany,2025,import,China,114.65,10378,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-133,210690,Food preparations n.e.s.,Netherlands,2024,import,Vietnam,4.77,3180,XBA-28,VN-direct,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-134,210690,Food preparations n.e.s.,Netherlands,2024,import,Thailand,12.70,6165,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-135,210690,Food preparations n.e.s.,Netherlands,2024,import,China,90.19,12467,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-136,210690,Food preparations n.e.s.,Netherlands,2025,import,Vietnam,7.85,4513,XBA-28,VN-direct,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-137,210690,Food preparations n.e.s.,Netherlands,2025,import,Thailand,13.38,6013,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-138,210690,Food preparations n.e.s.,Netherlands,2025,import,China,104.72,14671,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-139,210690,Food preparations n.e.s.,France,2024,import,Vietnam,7.36,3581,XBA-28,VN-direct,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-140,210690,Food preparations n.e.s.,France,2024,import,Thailand,15.27,7725,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-141,210690,Food preparations n.e.s.,France,2024,import,China,31.08,2403,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-142,210690,Food preparations n.e.s.,France,2025,import,Vietnam,13.68,6397,XBA-28,VN-direct,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-143,210690,Food preparations n.e.s.,France,2025,import,Thailand,15.96,7738,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
WFT-144,210690,Food preparations n.e.s.,France,2025,import,China,33.78,2867,XBA-28,general,High,revealed,"Partner-reported imports (mirror data); CIF values; customs code C00, all transport modes."
