record_id,market,product_type,hs_code,rule,requirement,mfn_tariff,vietnam_tariff,competitor_tariff,legal_basis,source_ids,evidence_label,confidence,demand_evidence_type,notes
MA-11,UK,Textured protein; food preparations; plant drinks; prepared nuts; stuffed pasta; rice noodles; soy sauce,2106 10 20; 2106 90 92 85; 2106 90 98 30; 2202 99 11 to 19; 2008 19 12 80; 2008 19 92 80; 1902 20 99 20; 1902 30 10 20; 2103 10,Tariff,Import duty,12%; 12%; 8%; 8%; 6%; 8%; 8% + GBP 14 per 100 kg; 6% + GBP 20 per 100 kg; 6%,0% on all lines checked,Thailand and China pay UK Global Tariff; Malaysia may use CPTPP (not checked),UKVFTA,EXP-24; ORG-03,VN-direct,High,"n/a (rule or tariff, not demand)","Version 0.4: Vietnamese goods can also claim UK-CPTPP, whose origin rules for 1902 and 2106.90 are looser (MA-30)."
MA-12,Japan,Textured vegetable protein (other than retail protein concentrates),2106.10-222,Tariff,Import duty,10.6% (WTO),Free (Japan-Viet Nam EPA; also CPTPP free),Thailand free; China 6.6% (RCEP); Korea no RCEP concession,"JVEPA, AJCEP, CPTPP, RCEP",EXP-41; XBA-28,VN-direct,Medium,"n/a (rule or tariff, not demand)",Parsed from customs schedule table; verify line with Japan Customs before use. Version 0.4: the edge is unused: Japan imported USD 0.14 to 0.25 million of textured protein from Vietnam in 2024 to 2025 against USD 11.5 to 12.8 million from China (XBA-28).
MA-13,Japan,Non-alcoholic beverages without added sugar (plant drinks),2202.99-200,Tariff,Import duty,9.6% (WTO),Free,Thailand free; RCEP ASEAN 6%; China no RCEP concession listed,"JVEPA, CPTPP",EXP-41,VN-direct,Medium,"n/a (rule or tariff, not demand)",Parsed from customs schedule table.
MA-14,Japan,Roasted cashew nuts,2008.19-191,Tariff,Import duty,"11% (WTO, heading A)",Free,Thailand free; China 5% (RCEP),"JVEPA, CPTPP",EXP-41,VN-direct,Medium,"n/a (rule or tariff, not demand)",Parsed from customs schedule table.
MA-15,US,"All Vietnamese goods except exempt list (incl. plant-based foods, instant noodles, shrimp)",all,Tariff,Additional Section 301 duty from 24 Jul 2026,MFN (varies),MFN + 12.5%,"Thailand +12.5%; Malaysia, Indonesia, India, Ecuador +10%; EU and Taiwan capped at 10% total; Japan and Korea capped at 12.5% total",Section 301 (forced labour import prohibition investigations),EXP-22,VN-direct,High,"n/a (rule or tariff, not demand)","Annex II Part A exempts cashews (0801.31, 0801.32) and coconuts (0801.11 to 0801.19) for all investigated economies."
MA-16,US,All imports (2026 history),all,Tariff,IEEPA tariffs struck down 20 Feb 2026; Section 122 10% surcharge 24 Feb to 24 Jul 2026,n/a,n/a,n/a,Learning Resources v. Trump; Proclamation 11012,EXP-21,general,High,"n/a (rule or tariff, not demand)",CIT ruled Section 122 tariffs unlawful for three plaintiffs on 7 May 2026.
MA-17,EU,Plant-based meat products (and future cultivated meat),n/a,Labelling,"32 terms restricted: meat, beef, veal, pork, poultry, chicken, turkey, duck, goose, lamb, mutton, ovine, goat, drumstick, tenderloin, sirloin, flank, loin, steak, ribs, shoulder, shank, chop, wing, breast, liver, thigh, brisket, ribeye, T-bone, rump, bacon",n/a,n/a,Applies to all products sold in the EU (inferred),"Targeted CMO revision (March 2026 trilogue), effective 19 Aug 2026",EXP-25,general,High,"n/a (rule or tariff, not demand)","Burger, sausage and nuggets allowed as of September 2026; new amendments to restrict them and blended products: AGRI vote December 2026, plenary early 2027. Seafood terms not on the list."
MA-18,EU,Plant-based dairy alternatives,n/a,Labelling,"Dairy designations (milk, cream, butter, cheese, yoghurt) reserved for milk products",n/a,n/a,Applies to all,"CJEU C-422/16 TofuTown, 14 Jun 2017",EXP-26; EXP-25,general,Medium,"n/a (rule or tariff, not demand)",Exception list for traditional names (Decision 2010/791) not retrieved; whether coconut milk can use the name in each language should be checked.
MA-19,EU,"Mycoprotein from new strains, precision-fermented proteins, cultivated meat, microalgae new to EU",n/a,Novel food,Pre-market authorisation if not consumed to a significant degree in the EU before 15 May 1997; consultation procedure to check status,n/a,n/a,Same for all origins,Regulation (EU) 2015/2283; Implementing Regulation (EU) 2018/456,EXP-46,general,High,"n/a (rule or tariff, not demand)","Plant-based products made from conventional ingredients (soy, gluten, cashew, coconut, rice) need no authorisation (inferred)."
MA-20,Singapore,Novel foods incl. cultivated meat and precision-fermentation proteins,n/a,Novel food,Pre-market safety assessment for foods without at least 20 years of safe use,n/a,n/a,Same for all origins,SFA novel food framework (page updated 27 Aug 2026),EXP-34,general,High,"n/a (rule or tariff, not demand)",SFA approved novel food list dated 14 Aug 2026.
MA-21,US,New food ingredients,n/a,Food additive or GRAS,"GRAS via scientific procedures or history of use; FDA proposed rule to enhance oversight of GRAS uses, 10 Aug 2026",n/a,n/a,Same for all origins,"FD&C Act 201(s), 409; 21 CFR 170.30; docket FDA-2025-N-3262",EXP-45,general,High,"n/a (rule or tariff, not demand)",Tightening of self-affirmed GRAS would lengthen US entry for novel proteins.
MA-22,EU,Soy and derived products listed in EUDR Annex I,Annex I (not retrieved),Deforestation due diligence,"Due diligence, geolocation and deforestation-free proof",n/a,n/a,Same for all origins,Regulation (EU) 2023/1115 as amended Dec 2024 and Dec 2025; Delegated Regulation (EU) 2026/2102,EXP-27; EXP-28,general,Medium,"n/a (rule or tariff, not demand)","Applies 30 Dec 2026 (large, medium) and 30 Jun 2027 (micro, small). July 2026 update did not add soy protein or food preparations; whether textured soy protein is outside Annex I should be confirmed."
MA-23,Aquaculture buyers (ASC-certified supply chains),Aquafeed for ASC-certified shrimp and pangasius,n/a,Private standard,"Feed mill commitment to deforestation- and conversion-free soy and palm (cutoff no later than 31 Dec 2020); marine ingredient improvement; GHG per tonne of feed, species-specific disclosure",n/a,n/a,Same for all origins,ASC Feed Standard v1.1 (text read); v1.2 mandatory from 2 Feb 2026,EXP-29; EXP-30; FBA-01; FBA-02; FBA-04,general,High,"n/a (rule or tariff, not demand)","20 Vietnamese feed mills in ASC programme, 13 certified (EXP-32). Version 0.4: on 25 Sep 2026, 15 Vietnamese feed mills were ASC-certified and 6 in initial audit (FBA-04); v1.2 neither requires nor rewards microbial protein (FBA-01); from 1 May 2028 ASC farm audits need compound feed from an ASC-certified mill (FBA-02)."
MA-24,UK retail,"Products containing or raised on soy, incl. farmed seafood feed",n/a,Private commitment,"Deforestation- and conversion-free soy (cutoff 2020 or earlier), fully implemented by end 2025, incl. soy embedded in aquaculture feed",n/a,n/a,Same for all origins,UK Soy Manifesto,EXP-33,general,High,"n/a (rule or tariff, not demand)","Signatories include Tesco, Sainsbury's, M&S, Waitrose, Morrisons, Co-op, Aldi, Lidl, Iceland, Ocado, Seafresh, Lyons Seafoods."
MA-25,"Muslim-majority markets (GCC, Malaysia, Indonesia)",Plant-based and cultivated foods,n/a,Halal certification,Importer-recognised halal certification,n/a,n/a,Malaysia declared cultivated meat halal (Dec 2025),National halal schemes (not retrieved),EXP-11; EXP-38,general,Low,"n/a (rule or tariff, not demand)",Au Lac and An Nhien claim halal certification; Vietnam's national halal scheme and GCC recognition not verified.
MA-26,"Korea, China",Plant-based foods and ingredients,2106.10; 2106.90; 2202.99,Tariff,"Preferential duty under VKFTA, ACFTA, RCEP",not verified,not verified,not verified,VKFTA; ACFTA; RCEP,,VN-direct,Low,"n/a (rule or tariff, not demand)",Not checked in this stream; open question.
MA-27,EU (and UK under UKVFTA),"Stuffed pasta and other chapter 19 foods (dumplings, gyoza, bao, pasta-wrapper spring rolls)",1902; 1905,Rules of origin,"Change of heading, with non-originating materials of headings 1006 and 1101 to 1108 (rice, flours, starches) at most 20% of product weight; chapters 2, 3 and 16 (meat, fish) at most 20%; chapter 4 at most 20%; sugar at most 40%; the general tolerance cannot lift these caps. Flour milled in Vietnam from imported wheat is non-originating; Vietnamese rice flour and cassava starch are originating. Imported textured soy (2106.10), soy isolate (3504) and wheat gluten (1109) are not capped",n/a,n/a,n/a,"EVFTA Protocol 1, Article 5 and Annex II; UK-Vietnam Origin Reference Document (identical)",ORG-01; XBA-30; ORG-04,VN-direct,High,"n/a (rule or tariff, not demand)","Version 0.4: added. The binding EU recipe item is the wrapper, not soy: design EU wrappers around rice flour or cassava starch, or keep imported wheat flour at or below 20% of weight."
MA-28,EU (and UK under UKVFTA),Chay food preparations and textured soy (chapter 21),2106.10; 2106.90,Rules of origin,"Manufacture from materials of any heading except that of the product; chapter 4 at most 20% of weight; sugar at most 40%. Imported textured soy (also heading 2106) may be used up to 10% of product weight or ex-works price (general tolerance); soy isolate, wheat gluten and soy flour are other headings and pass without limit",n/a,n/a,n/a,"EVFTA Protocol 1, Article 5 and Annex II; UK-Vietnam Origin Reference Document",ORG-01; XBA-30,VN-direct,High,"n/a (rule or tariff, not demand)","Version 0.4: added. On our reading of the value option, Chinese textured soy at USD 1.27 to 1.34 per kg CIF could make up about 32 to 46% of the weight of a product selling at USD 4.27 to 5.87 per kg (Medium confidence). Seasoning imported textured soy never confers origin."
MA-29,"EU, UK, CPTPP members",Domestic textured soy (T1),2106.10,Rules of origin,"Originating only if extruded from soy flour or meal (1208, 2304), or soybeans milled in Vietnam; textured soy extruded from imported concentrate (2106.10) is non-originating",n/a,n/a,n/a,EVFTA Protocol 1; UKVFTA; CPTPP Annex 3-D,ORG-01; ORG-04; ORG-06,VN-direct,High,"n/a (rule or tariff, not demand)","Version 0.4: added. A design condition for T1, not a demand: dumplings are indifferent to the origin of their textured soy under every agreement, so origin rules create no customer for domestic textured soy."
MA-30,"UK (CPTPP route); Japan, Canada, Australia (CPTPP)",Stuffed pasta; chay food preparations,1902.20; 2106.90,Rules of origin,"1902 to 1904: change from any other chapter (imported wheat flour allowed); 2106.90: change from any other subheading, or regional value content of 30% (build-up) or 40% (build-down); tolerance 10% of value",UK: 8% + GBP 5.10 or 14.00 per 100 kg (stuffed pasta); 8% (chay preparations),"UK-CPTPP: 0% stuffed pasta, 0% prawn and meat dumplings, 1.6% chay preparations (2026); UKVFTA: 0%, 1%, GBP 5.60 per 100 kg and 0%",UK Global Tariff for China and Thailand,UK-CPTPP Origin Reference Document; CPTPP Annex 3-D,ORG-03; ORG-04; XBA-30,VN-direct,High,"n/a (rule or tariff, not demand)",Version 0.4: added. For the UK the UKVFTA recipe limits can be avoided by claiming CPTPP.
MA-31,EU,"Stuffed pasta by filling (meat, fish, vegetable)",1902 20 10; 1902 20 30; 1902 20 91; 1902 20 99,Tariff,Import duty,Meat-filled EUR 54.30 per 100 kg; fish-filled 8.5%; other 8.3% + EUR 6.10 (cooked) or 17.10 (uncooked) per 100 kg,"Meat-filled EUR 6.787 per 100 kg (2026, staged); fish-filled 1.0% (2026, staged); vegetable or plant-protein 0% since 1 Aug 2020",MFN for China and Thailand,EVFTA,ORG-02; ORG-15,VN-direct,High,"n/a (rule or tariff, not demand)",Version 0.4: added. The duty at stake on a vegetable or plant-protein dumpling is 9.5 to 12.9% of value at USD 4.27 to 5.87 per kg (our calculation).
MA-32,EU,"Meat products, including meat-filled wrapped foods",1602; 1902 20 30,Sanitary listing,Third country must be listed for entry of meat products; Vietnam is not on the list (Implementing Regulation 2021/404 Annex XV as adopted) but is listed for fishery products,n/a,n/a,n/a,Implementing Regulation (EU) 2021/404,ORG-10; ORG-11,VN-direct,Medium,"n/a (rule or tariff, not demand)","Version 0.4: added. EU-bound Vietnamese wrapped foods are seafood or plant-filled, so a plant-protein filling is the practical substitute for pork in EU lines."
MA-33,Japan,"Stuffed pasta, other (no added sugar)",1902.20-220,Tariff,Import duty,25% general; 21.3% WTO,"3.8% (CPTPP, FY2026); no Japan-Viet Nam EPA concession",China 21.3% (no RCEP concession); Thailand 21.3%,CPTPP,ORG-05,VN-direct,High,"n/a (rule or tariff, not demand)","Version 0.4: added. A 17.5 point edge over China and Thailand, with no recipe condition beyond a change of chapter. Prawn-led line 1902.20-210: 5.1% WTO against 0.9% for Vietnam."
MA-34,Canada,Stuffed pasta; food preparations n.e.s.,1902.20.00; 2106.90.99,Tariff,Import duty,11% (stuffed pasta); 10.5% (food preparations),Free (CPTPP),MFN or GPT (China and Thailand eligibility not checked),CPTPP,ORG-07,VN-direct,High,"n/a (rule or tariff, not demand)",Version 0.4: added. An 11 point edge on dumplings.
MA-35,"RCEP members (Japan, Korea, China, Australia, New Zealand, ASEAN)",Stuffed pasta; chay food preparations; textured soy,1902; 2106.10; 2106.90,Rules of origin,1902: change of chapter; 2106.10: change of chapter or 40% regional value content; 2106.90: change of heading or 40% regional value content,n/a,n/a,n/a,RCEP Annex 3A,ORG-06,VN-direct,High,"n/a (rule or tariff, not demand)",Version 0.4: added. The recipe does not bind for 1902 under RCEP.
MA-36,US,Stuffed pasta,1902.20.00,Tariff,Import duty,6.4%,6.4% plus the Section 301 surcharge (MA-15),6.4% plus other US measures (not checked),US MFN; Section 301,ORG-09; EXP-22,VN-direct,High,"n/a (rule or tariff, not demand)","Version 0.4: added. No preference, so the recipe does not matter; the US is the largest market for Vietnamese stuffed pasta (USD 48.1 million in 2025, XBA-28)."
