record_id,sku_id,date,city,store,channel_type,product_name,brand_raw,brand,origin_raw,category_raw,format_raw,product_type,as_sold_form,formulation_archetype,primary_protein_source,secondary_protein_sources,non_vegan_flag,key_ingredients,protein_g_per_100,protein_unit,protein_value_basis,energy_kcal_per_100,fat_g_per_100,carbs_g_per_100,sodium_mg_per_100,price_vnd,pack_size,pack_unit,price_per_100g_vnd,price_per_100g_protein_vnd,price_confidence,conv_equiv_price_per_100g_vnd,chay_vs_conv_price_diff_pct,likely_imported_protein_ingredient,brand_owner,ownership_country,manufacturer,plant_location,product_group,data_confidence,source_ids,evidence_label,confidence,notes,field_notes_original
SKU-011,P011,2026-09-06,Nha Trang,Lotte Mart Nha Trang,Modern Retail,Chả Giò Rế Chay (net-wrapped vegetarian spring rolls),Vissan; confirmed via OSINT,Vissan,Vietnam (local),"Traditional / Do Chay (mock-meat, tofu)",Net-wrapped spring rolls,dumpling/spring roll/bun with vegetable filling,ready-to-cook,A1,mung bean,tofu skin; soy protein,,"Bánh tráng (gạo, nước, bột năng, muối), củ sắn, khoai môn, cà rốt, đậu xanh, tàu hũ ky, nấm mèo, nấm đông cô, protein đậu nành, hành, đường, muối i-ốt, tiêu, chất điều vị (621); Vissan's standard chả giò chay recipe; the rế (net-wrapped) variant likely shares this core filling with a different wrapper.",,per 100 g,"excluded: "">=3.5"" regulatory minimum, not a label value",,,,,40900,500,g,8180,,High,13180,-37.9,partial,"Vissan JSC (Công ty CP Việt Nam Kỹ Nghệ Súc Sản); state-linked (major shareholding by Saigon Trading Group, SATRA, not verified this wave)",Vietnam,Vissan,"Ho Chi Minh City, 420 Nơ Trang Long (former Bình Thạnh district); other plants not verified",VIS-chagio-re,Medium,FORM-01; FORM-25; FORM-02; FORM-03; FORM-05; FORM-07,VN-direct,Medium,"Protein field on log is "">=3.5"" (regulatory minimum quoted by a price site, not a label value); excluded from protein statistics.","Brand confirmed: Vissan sells exactly this product nationally; market price references ~31,350-60,500đ. Conv. equivalent = Chả Giò Rế Thịt Vissan 500g, 65,900đ, from Lotte Mart's own online store."
SKU-012,P012,2026-09-06,Nha Trang,Lotte Mart Nha Trang,Modern Retail,Hà Cảo Chay Củ Sen (lotus-root vegetarian dumpling),brand not legible,unbranded/illegible,Vietnam (local),"Traditional / Do Chay (mock-meat, tofu)",Dumplings,dumpling/spring roll/bun with vegetable filling,ready-to-cook,A1,unknown,,,Not found,,per 100 g,field log (label or collector OSINT),,,,,27900,500,g,5580,,High,,,unknown,n/a,n/a,Not verified,Not verified,UNB-hacao-cusen,Low,FORM-01,VN-direct,Low,,"Tagged ""MỚI"" (New). No brand or conventional-equivalent match found via search."
SKU-013,P013,2026-09-06,Nha Trang,Lotte Mart Nha Trang,Modern Retail,Healthy Mandu Chay (vegetarian dumplings),bibigo (CJ Cầu Tre),bibigo (CJ Foods Vietnam),Vietnam (local),"Traditional / Do Chay (mock-meat, tofu)",Dumplings,dumpling/spring roll/bun with vegetable filling,ready-to-cook,A2,soy protein/TVP,wheat flour (wrapper 29.2%); lotus seed; mushroom,,"Da bánh 29.2% (bột mì, nước, muối, bột năng), củ sắn, nấm đùi gà, cà rốt, nấm đông cô, đạm đậu nành, hạt sen, nấm kim châm, hành tây, bột chiên xù, nấm mèo, khoai môn, mè, dầu hào chay vị nấm hương, đường, nước tương, ngò rí, hành boa rô, dầu cọ, hành tím, chiết xuất nấm men, dầu mè, dầu nành, hành lá, tỏi, tiêu, muối, giấm gạo lên men, bột ớt, tinh bột bắp, ớt (mushroom variant, 300g pack; your photographed SKU's exact size/flavor not confirmed).",,per 100 g,field log (label or collector OSINT),,,,,52900,,g,,,High,,,Y,CJ CheilJedang (South Korea),South Korea,"CJ Foods Vietnam Co., Ltd","Made in Vietnam (collector OSINT names Kizuna IP, Tây Ninh (former Long An); not verified)",BIB-mandu,Medium,FORM-01; FORM-02; FORM-03; FORM-05; FORM-07,VN-direct,Medium,"Marketing claim ""100% protein từ thực vật""; no numeric panel.","OSINT resolves origin: bibigo mandu sold in VN is made locally by CJ Cầu Tre (Kizuna Tây Ninh plant). Marketing claims ""100% Protein từ thực vật"" (100% plant protein) and ""0% Cholesterol""; no numeric nutrition table found though. Still a taxonomy boundary case; large branded line, closer to 'Plant-based (modern/branded)' in positioning, but shelved as Do Chay."
SKU-014,P014,2026-09-06,Nha Trang,Co.opmart Nha Trang,Modern Retail,Hà Cảo Chay (vegetarian dumplings),Cầu Tre,Cầu Tre (CJ Foods Vietnam),Vietnam (local),"Traditional / Do Chay (mock-meat, tofu)",Dumplings,dumpling/spring roll/bun with vegetable filling,ready-to-cook,A1,mung bean,wheat flour (wrapper 54%),,"Da bột bánh (nước, bột mì, bột gạo, tinh bột khoai mì) 54%, củ sắn, đậu xanh, khoai môn, nấm mèo, miến sợi, cà rốt, đường cát, nấm đông cô, boa rô, dầu cọ, tinh bột bắp, chất điều vị, hạt mè, muối, tiêu (Cầu Tre's ""há cảo chay thập cẩm"" line; closest published match, exact shelf SKU not fully confirmed).",,per 100 g,field log (label or collector OSINT),,,,,41500,500,g,8300,,Low,,,partial,"CJ CheilJedang (South Korea) via CJ Foods Vietnam Co., Ltd",South Korea,"CJ Foods Vietnam Co., Ltd","HQ CJ Building, 2 Bis 4-6 Lê Thánh Tôn, Ho Chi Minh City; plant claimed at Kizuna IP, Tây Ninh (former Long An) by collector OSINT, not verified",CT-hacao-thapcam,Medium,FORM-01,VN-direct,Medium,Closest published match; exact shelf SKU not confirmed.,VERIFY price: read off a shared price-tag row for several adjacent SKUs. No numeric nutrition table found.
SKU-015,P015,2026-09-06,Nha Trang,Co.opmart Nha Trang,Modern Retail,Healthy Mandu Chay (vegetarian dumplings),bibigo (CJ Cầu Tre),bibigo (CJ Foods Vietnam),Vietnam (local),"Traditional / Do Chay (mock-meat, tofu)",Dumplings,dumpling/spring roll/bun with vegetable filling,ready-to-cook,A2,soy protein/TVP,wheat flour (wrapper); lotus seed; mushroom,,Same product line as the Lotte Mart Healthy Mandu Chay row; see that row for the full ingredients list.,,per 100 g,field log (label or collector OSINT),,,,,,,g,,,High,,,Y,CJ CheilJedang (South Korea),South Korea,"CJ Foods Vietnam Co., Ltd","Made in Vietnam (collector OSINT names Kizuna IP, Tây Ninh (former Long An); not verified)",BIB-mandu,Medium,FORM-01; FORM-02; FORM-03; FORM-05; FORM-07,VN-direct,Medium,,"Price not clearly legible in this photo; same SKU logged at Lotte Mart Nha Trang for ~52,900đ, plausibly similar here; left blank rather than guess. Size unclear too."
SKU-016,P016,2026-09-06,Nha Trang,Co.opmart Nha Trang,Modern Retail,Bánh Bao Nhân Chay (vegetarian filled steamed buns),Coop Select (Saigon Co-op private label),Co.op Select,Vietnam (local),"Traditional / Do Chay (mock-meat, tofu)",Steamed buns,dumpling/spring roll/bun with vegetable filling,ready-to-cook,A2,wheat flour (bun dough; filling not published),unknown,,Not found,,per 100 g,field log (label or collector OSINT),,,,,41500,240,g,17292,,Low,,,Y,"Saigon Co.op (Liên hiệp HTX Thương mại TP.HCM), cooperative",Vietnam,GN Foods JSC (Công ty CP Thực phẩm GN) for the noodle-gyoza meal (label); other SKUs not disclosed,GN Foods: Tây Ninh province (label; whether former Long An or former Tây Ninh not stated),CS-banhbao,Low,FORM-01,VN-direct,Low,Bánh bao dough is wheat flour by definition; filling unknown.,"VERIFY price: shared price-tag row with adjacent SKUs, pack size read as 240g off the bag. No published ingredients/nutrition found for this Coop Select SKU."
SKU-017,P017,2026-09-06,Nha Trang,Co.opmart Nha Trang,Modern Retail,Hà Cảo Chay (vegetarian dumplings),Coop Select (Saigon Co-op private label),Co.op Select,Vietnam (local),"Traditional / Do Chay (mock-meat, tofu)",Dumplings,dumpling/spring roll/bun with vegetable filling,ready-to-cook,A1,unknown,,,Not found,,per 100 g,field log (label or collector OSINT),,,,,32800,275,g,11927,,Low,,,unknown,"Saigon Co.op (Liên hiệp HTX Thương mại TP.HCM), cooperative",Vietnam,GN Foods JSC (Công ty CP Thực phẩm GN) for the noodle-gyoza meal (label); other SKUs not disclosed,GN Foods: Tây Ninh province (label; whether former Long An or former Tây Ninh not stated),CS-hacao,Low,FORM-01,VN-direct,Low,,VERIFY price: pack size read as 275g off the bag. No published ingredients/nutrition found.
SKU-018,P018,2026-09-06,Nha Trang,Co.opmart Nha Trang,Modern Retail,Mì Sủi Cảo Chay / Vegetarian Gyoza with Noodles,Coop Select (Saigon Co-op private label),Co.op Select,Vietnam (local),"Traditional / Do Chay (mock-meat, tofu)",Noodle + dumpling ready meal,ready meal,ready-to-cook,A1,wheat flour (noodles 38% + wrapper 25%),tofu; soy protein; soybean; edamame; peanut; egg (in noodles),EGG,"Mì (38%): bột mì, nước, trứng gà, muối, phẩm màu tổng hợp (INS 160a(i)). Vỏ sủi cảo (25%): bột mì, nước, tinh bột khoai mì, muối. Nhân (37%): nấm đùi gà (11%), bắp cải, đậu Hà Lan, củ sắn, măng, đậu hũ, đạm đậu nành, cà rốt, đậu nành, mè đen/mè trắng, đậu Edamame, đậu phộng, muối, tỏi, gừng, nước tương, tinh bột khoai mì, chất điều vị (INS 621), chất ổn định (INS 1442).",4.2,per 100 g,field log (label or collector OSINT),146,5.1,20.8,581,61000,500,g,12200,290476,Low,,,Y,"Saigon Co.op (Liên hiệp HTX Thương mại TP.HCM), cooperative",Vietnam,GN Foods JSC (Công ty CP Thực phẩm GN) for Saigon Co.op (label),Tây Ninh province (label),CS-misuicao,High,FORM-01; FORM-02; FORM-03; FORM-05; FORM-07,VN-direct,High,"Label read directly (High). Contains hen egg in noodles: not vegan. Made by GN Foods JSC for Saigon Co.op, Tây Ninh.","HIGH CONFIDENCE; you photographed the back label directly, so ingredients and nutrition are both taken straight from the pack (per 100g: 146 kcal, 4.2g protein, 5.1g fat, 20.8g carbs [3.2g sugars], 581mg sodium). Made by Công ty CP Thực phẩm GN for Saigon Co-op, Tây Ninh province. Mfg 21.05.2026, best before 21.11.2027. Price is the one figure still worth double-checking (read off a shared tag row, not the item itself)."
SKU-019,P019,2026-09-06,Nha Trang,Co.opmart Nha Trang,Modern Retail,Chả Giò Bánh Tráng Chay (rice-paper vegetarian spring rolls),Cầu Tre,Cầu Tre (CJ Foods Vietnam),Vietnam (local),"Traditional / Do Chay (mock-meat, tofu)",Spring rolls,dumpling/spring roll/bun with vegetable filling,ready-to-cook,A1,mung bean,none,,"Bánh tráng, củ sắn, khoai môn, đậu xanh, bún tàu, nấm mèo, đường, muối, chất điều vị, tiêu (Cầu Tre's standard chả giò chay recipe).",,per 100 g,field log (label or collector OSINT),,,,,41000,500,g,8200,,Low,,,N,"CJ CheilJedang (South Korea) via CJ Foods Vietnam Co., Ltd",South Korea,"CJ Foods Vietnam Co., Ltd","HQ CJ Building, 2 Bis 4-6 Lê Thánh Tôn, Ho Chi Minh City; plant claimed at Kizuna IP, Tây Ninh (former Long An) by collector OSINT, not verified",CT-chagio-std,Medium,FORM-01,VN-direct,Medium,,VERIFY price: shared tag row. No numeric nutrition table found.
SKU-020,P020,2026-09-06,Nha Trang,Co.opmart Nha Trang,Modern Retail,Chả Giò Bánh Rế Chay Đặc Biệt (special net-wrapped vegetarian spring rolls),Cầu Tre,Cầu Tre (CJ Foods Vietnam),Vietnam (local),"Traditional / Do Chay (mock-meat, tofu)",Net-wrapped spring rolls,dumpling/spring roll/bun with vegetable filling,ready-to-cook,A1,mung bean,tofu skin,,"Bánh tráng rế, củ sắn, khoai môn, đậu xanh, nấm mèo, tàu hũ ky, nấm đông cô, bún tàu, tiêu, chất điều vị (E621).",,per 100 g,field log (label or collector OSINT),,,,,53000,600,g,8833,,Low,,,partial,"CJ CheilJedang (South Korea) via CJ Foods Vietnam Co., Ltd",South Korea,"CJ Foods Vietnam Co., Ltd","HQ CJ Building, 2 Bis 4-6 Lê Thánh Tôn, Ho Chi Minh City; plant claimed at Kizuna IP, Tây Ninh (former Long An) by collector OSINT, not verified",CT-chagio-re-db,Medium,FORM-01; FORM-22,VN-direct,Medium,This older/alternate ingredient list includes tàu hũ ky; the current CJ page (FORM-22) lists mung bean only.,VERIFY price: premium/larger variant vs. the standard Cầu Tre line; 600g here vs. 500g elsewhere. No numeric nutrition table found.
SKU-021,P021,2026-09-06,Nha Trang,Co.opmart Nha Trang,Modern Retail,Chả Giò Chay (vegetarian spring rolls),Vissan,Vissan,Vietnam (local),"Traditional / Do Chay (mock-meat, tofu)",Spring rolls,dumpling/spring roll/bun with vegetable filling,ready-to-cook,A1,mung bean,tofu skin; soy protein,,"Bánh tráng (gạo, nước, bột năng, muối), củ sắn, khoai môn, cà rốt, đậu xanh, tàu hũ ky, nấm mèo, nấm đông cô, protein đậu nành, hành, đường, muối i-ốt, tiêu, chất điều vị (621).",4.26,per 100 g,borrowed from same product label (P116),,,,,44900,500,g,8980,210798,Low,,,partial,"Vissan JSC (Công ty CP Việt Nam Kỹ Nghệ Súc Sản); state-linked (major shareholding by Saigon Trading Group, SATRA, not verified this wave)",Vietnam,Vissan,"Ho Chi Minh City, 420 Nơ Trang Long (former Bình Thạnh district); other plants not verified",VIS-chagio,Medium,FORM-01; FORM-25; FORM-02; FORM-03; FORM-05; FORM-07,VN-direct,Medium,"Log protein "">=3.5"" is not a label value; same product label 4.26 g (P116) used.","VERIFY price: consistent with the ~44,900-75,900đ market range found via OSINT."
SKU-022,P022,2026-09-06,Nha Trang,Co.opmart Nha Trang,Modern Retail,Chả Tôm Chay (vegetarian shrimp cake),Thoại An,Thoại An,Vietnam (local),"Traditional / Do Chay (mock-meat, tofu)",Seafood-analog cake,frozen meat/seafood analog,ready-to-cook,A4,unknown (brand analogs are wheat-gluten based),,,Not found,,per 100 g,field log (label or collector OSINT),,,,,41800,400,g,10450,,High,,,unknown,"Thoai An Trading Co., Ltd (Công ty TNHH Thương mại Thoại An), tax code 0303800622",Vietnam,Thoại An,"Ho Chi Minh City, Tân Tạo Industrial Park, Tân Tạo ward (former Bình Tân district)",TA-chatom,Low,FORM-01; FORM-26,VN-direct,Low,,"New brand, not seen at Lotte Mart; Thoại An appears to specialize in vegetarian seafood analogs, but has little public footprint I could find; no ingredients/nutrition located."
SKU-023,P023,2026-09-06,Nha Trang,Co.opmart Nha Trang,Modern Retail,Đậu Hũ Hải Sản Chay (vegetarian seafood tofu),Thoại An,Thoại An,Vietnam (local),"Traditional / Do Chay (mock-meat, tofu)",Tofu / seafood-analog,frozen meat/seafood analog,ready-to-cook,A4,soybean (soy milk 30%),wheat gluten,,Not found,3.03,per 100 g,borrowed from same product label (P094),,,,,71500,500,g,14300,471947,High,,,Y,"Thoai An Trading Co., Ltd (Công ty TNHH Thương mại Thoại An), tax code 0303800622",Vietnam,Thoại An,"Ho Chi Minh City, Tân Tạo Industrial Park, Tân Tạo ward (former Bình Tân district)",TA-dauhu-haisan,Low,FORM-01; FORM-26; FORM-09; FORM-02; FORM-03; FORM-05; FORM-07,VN-direct,Low,"Same product as P094 (label 3.03 g). Price here 71,500 vs 43,700 at P094: one read likely wrong.",Notably higher price tier than most other SKUs in this basket. Same brand-footprint caveat as the row above.
SKU-024,P024,2026-09-06,Nha Trang,Co.opmart Nha Trang,Modern Retail,Bò Nấu Đậu Chay (canned vegetarian beef & bean stew),Vissan,Vissan,Vietnam (local),"Traditional / Do Chay (mock-meat, tofu)",Canned meat analog,canned analog,ready-to-eat,A6,"soy protein/TVP (vegan beef slices 55%, inferred)",white beans 17%,,"Bò lát chay (55%), đậu trắng (17%), nước, dầu đậu nành, hành, gừng, bột cà chua, đường, muối i-ốt, tiêu, chất ổn định (1422), chất điều vị (621).",,per 100 g,field log (label or collector OSINT),,,,,17900,170,g,10529,,High,,,Y,"Vissan JSC (Công ty CP Việt Nam Kỹ Nghệ Súc Sản); state-linked (major shareholding by Saigon Trading Group, SATRA, not verified this wave)",Vietnam,Vissan,"Ho Chi Minh City, 420 Nơ Trang Long (former Bình Thạnh district); other plants not verified",VIS-bonaudau,Medium,FORM-01; FORM-02; FORM-03; FORM-05; FORM-07,VN-direct,Medium,"Composition of ""bò lát chay"" not stated; inferred soy/TVP. HCMC label (P091) gives 30% slices, 20% beans: formula or label version differs.","HIGH CONFIDENCE on price; clear, unambiguous tag. Ingredients confirmed via Vissan's own site. No numeric nutrition table published for this SKU specifically (a conventional Vissan pork analog, ""sườn nấu đậu,"" runs 121 kcal/100g, for rough scale only; not the same product)."
SKU-025,P025,2026-09-06,Nha Trang,Co.opmart Nha Trang,Modern Retail,"Thịt Nguội Chay Đậu Nành, Vị Hun Khói / Vị Nguyên Bản (canned soy luncheon meat, smoky / original)",Ông Chà Và,Ông Chà Và / NOSAFOOD,Imported,Plant-based (modern/branded),Canned meat analog,canned analog,ready-to-eat,A6,soy protein (91.5% main group),none,,"Smoky flavor; main (91.5%): đạm nành, nước, dầu thực vật, muối; other (8.5%): bột bắp, chiết xuất nấm men, chất ổn định (407), men đỏ, hương khói tự nhiên.",,per 100 g,field log (label or collector OSINT),,,,,70000,200,g,35000,,High,,,Y,"NOSAFOOD (brand owner; Vietnamese spice brand owner per analyst recollection, unverified)",Vietnam brand owner (unverified); product origin disputed (China vs Vietnam),Not verified,Not verified,OCV-luncheon,Medium,FORM-01; FORM-02; FORM-03; FORM-05; FORM-07,VN-direct,Medium,Origin reported as China in Nha Trang OSINT; see disagreement log.,"OSINT-confirmed: brand is Ông Chà Và, origin China. Packaging explicitly says ""Plant Based"" in English; the closest thing to modern-branded plant-based found in Nha Trang so far, and it's a Chinese import via canned goods. No numeric nutrition table found in my searches."
