record_id,instrument_name,number,type,issuer,date_issued,effective_date,status,topic,relevance_to_alt_protein,key_provisions,url,source_ids,evidence_label,confidence,notes,origin,change_log
INS-011,Circular on management and use of food additives,24/2019/TT-BYT,circular,Ministry of Health,2019-08-30,2019-10-16,in force (later amendments not verified),food additives,Medium: route for new additives/enzymes from fermentation,Permitted list (Appendix 1) based on CAC/JECFA; new-use or unlisted additives need registration at VFA (Art 11(2)); proposals with safety evidence (Art 17(3)(d)); no GM-specific provision seen,https://thuvienphapluat.vn/van-ban/The-thao-Y-te/Thong-tu-24-2019-TT-BYT-quy-dinh-ve-quan-ly-va-su-dung-phu-gia-thuc-pham-360857.aspx,REG-25,VN-direct,Medium,Enzyme/processing aid pathway not visible in extract,wave 1 REGULATION,
INS-012,Decree on goods labelling (as amended),43/2017/ND-CP amended by 111/2021/ND-CP,decree,Government,2017-04-14 (43/2017); 2021-12-09 (111/2021),2022-02-15 (111/2021),in force,labelling,Medium: plant-based naming and allergen/GM information,"Food labels: name, ingredients, nutrition (if any), warnings, dates, storage, use; no rule found on meat/milk terms for plant-based products",https://thuvienphapluat.vn/van-ban/Thuong-mai/Nghi-dinh-111-2021-ND-CP-sua-doi-Nghi-dinh-43-2017-ND-CP-497099.aspx,REG-26,VN-direct,Medium,Absence of naming rules based on texts read; allergen specifics not verified,wave 1 REGULATION,
INS-013,Decree on quality management and development policy for Halal products and services,127/2026/ND-CP,decree,Government,2026-04-06,2026-06-01,in force,halal certification,Medium: export route to Muslim-majority markets,Voluntary certification; certifiers register with MOST; >=2 Muslim assessors; TCVN/international standards; budget support for export-oriented testing/certification; mutual recognition,https://thuvienphapluat.vn/van-ban/Thuong-mai/Nghi-dinh-127-2026-ND-CP-quan-ly-chat-luong-va-chinh-sach-phat-trien-san-pham-dich-vu-Halal-700477.aspx,REG-27,VN-direct,High,"Silent on GM, fermentation or cell-based ingredients",wave 1 REGULATION,
INS-014,Scheme to strengthen international cooperation to build the Halal industry to 2030,10/QD-TTg,decision,Prime Minister,2024 (date not verified),2024,in force (not read),halal industry,Low-Medium,Strategic scheme; content not read in this wave,https://thuvienphapluat.vn/van-ban/,REG-28,VN-direct,Low,Identified via database listing only,wave 1 REGULATION,
INS-015,National standard on halal certification bodies,TCVN 13888:2023,standard,MOST (announced by Decision 2018/QD-BKHCN),2023-09-11,2023,in force,halal,Low-Medium,Requirements for halal certification bodies,https://thuvienphapluat.vn/page/tim-van-ban.aspx?keyword=Halal&sort=1,REG-28; REG-27,VN-direct,Medium,Referenced in Decree 127/2026,wave 1 REGULATION,
INS-016,Law on Animal Husbandry,32/2018/QH14 (amended by 146/2025/QH15),law,National Assembly,2018-11-19,2020-01-01,in force (amended from 2026-01-01),livestock feed,"High: feed market entry, feed trials",Art 32 pre-circulation requirements; Art 33-34 information publication (compound self; supplement appraised); Art 36 MAE publishes traditional feeds and single raw materials; Art 37 feed trials for 'new substances' and certain first imports; Art 41 imports,https://thuvienphapluat.vn/van-ban/Linh-vuc-khac/Luat-Chan-nuoi-2018-353242.aspx,REG-29; REG-43,VN-direct,High,Effective date from background knowledge,wave 1 REGULATION,
INS-017,Law amending 15 laws in agriculture and environment,146/2025/QH15,law,National Assembly,2025-12-11,2026-01-01,in force,"husbandry, fisheries, biodiversity, environment amendments","Medium: amended feed information rules, gene-edited definition, ABS permit article","Amends Law on Animal Husbandry, Fisheries, Biodiversity (gene-edited organism definition; Art 57 access permits), Environmental Protection, and 11 others",https://thuvienphapluat.vn/van-ban/Tai-nguyen-Moi-truong/Luat-sua-doi-15-Luat-trong-linh-vuc-Nong-nghiep-Moi-truong-2025-146-2025-QH15-675259.aspx,REG-43,VN-direct,Medium,Fisheries changes not visible in extract,wave 1 REGULATION,
INS-018,Decree guiding the Law on Animal Husbandry,"13/2020/ND-CP (amended by 46/2022, 32/2026)",decree,Government,2020-01-21,2020-03-05,amended,"feed factory conditions, imports, quality inspection",High,"Art 9-11 factory conditions/certificates (Art 11 = on-site assessment, NOT feed trials); Art 13 import of unpublished feed; Art 15 recognition of foreign trial procedures; Art 17-18 inspection",https://thuvienphapluat.vn/van-ban/Linh-vuc-khac/Nghi-dinh-13-2020-ND-CP-huong-dan-Luat-Chan-nuoi-433295.aspx,REG-30,VN-direct,High,Corrects prior lead that Art 11 requires khao nghiem,wave 1 REGULATION,
INS-019,Decree amending Decree 13/2020,46/2022/ND-CP,decree,Government,2022-07-13,2022-07-13 (not verified),in force (amended),feed,Low,Not read,https://thuvienphapluat.vn/van-ban/Linh-vuc-khac/Nghi-dinh-46-2022-ND-CP-sua-doi-Nghi-dinh-13-2020-ND-CP-465918.aspx,REG-31,VN-direct,Low,Identified only,wave 1 REGULATION,
INS-020,Decree amending decrees on livestock and veterinary,32/2026/ND-CP,decree,Government,2026-01-21,2026-01-21,in force,feed procedures decentralised,High: provinces now handle key feed procedures,Provincial chair: feed factory certificates; supplement feed appraisal 15 working days; import licence for unpublished feed 10 working days; import quality inspection,https://thuvienphapluat.vn/van-ban/Linh-vuc-khac/Nghi-dinh-32-2026-ND-CP-sua-doi-cac-Nghi-dinh-linh-vuc-chan-nuoi-thu-y-690743.aspx,REG-35,VN-direct,High,"Its 5-working-day recognition figure relates to waste-treatment products (Art 31), not feed",wave 1 REGULATION,
INS-021,Circular guiding the Law on Animal Husbandry on feed,21/2019/TT-BNNPTNT (amended by 31/2022/TT-BNNPTNT),circular,MARD (now MAE),2019-11-28,2020-01-01 (not verified),in force (as amended),feed permitted raw-material list,High: decides which new proteins need no trial,"Art 6: permitted list Appendix VI, updated annually by DLPAH; App VI I.1.2 includes 'con trung' (insects) and invertebrates; I.2 aquatic plants 'rong, reu, tao, beo'; II probiotics incl. S. cerevisiae",https://thuvienphapluat.vn/van-ban/Linh-vuc-khac/Thong-tu-21-2019-TT-BNNPTNT-huong-dan-Luat-Chan-nuoi-ve-thuc-an-chan-nuoi-429679.aspx,REG-32,VN-direct,High,Whether still the operative list after Circular 94/2025 not confirmed,wave 1 REGULATION,
INS-022,Circular amending Circular 21/2019,31/2022/TT-BNNPTNT,circular,MARD,2022-12-30,2023-02-20,in force,feed permitted list,High: added yeast and fermentation by-products,"Adds inactive yeasts (irradiated, hydrolysed, Torula/Candida, molasses-grown, dried) and amino-acid production by-products; minerals; microorganisms",https://thuvienphapluat.vn/van-ban/Linh-vuc-khac/Thong-tu-31-2022-TT-BNNPTNT-sua-doi-Thong-tu-21-2019-TT-BNNPTNT-huong-dan-Luat-Chan-nuoi-549081.aspx,REG-33,VN-direct,High,Precedent for listing fermentation-derived feed materials,wave 1 REGULATION,
INS-023,Circular guiding the Law on Animal Husbandry,94/2025/TT-BNNMT,circular,MAE,2025-12-31,2026-01-01,in force,feed trials (khao nghiem),High: the procedure for new feed raw materials,"Ch. III Art 13-14: protocol approval by DLPAH (council within 15 working days, decision 5 working days); trial duration per protocol; result recognition 15+5 working days; recognised result is basis to add to permitted list",https://thuvienphapluat.vn/van-ban/Linh-vuc-khac/Thong-tu-94-2025-TT-BNNMT-huong-dan-Luat-Chan-nuoi-688796.aspx,REG-34,VN-direct,High,"Replaces parts of Circulars 22/2019, 21/2024, 09/2025",wave 1 REGULATION,
INS-024,National technical regulation on feed safety,"QCVN 01-190:2020/BNNPTNT (Circular 04/2020; amended 08/2020, 05/2021)",standard,MARD,2020,2020-07-01,in force,feed contaminant limits,High: conformity basis for any feed raw material,"Max limits: As, Cd, Pb, Hg, aflatoxin B1, E. coli, Salmonella, HCN, gossypol etc.; conformity declaration for traditional single raw materials",https://thuvienphapluat.vn/van-ban/Linh-vuc-khac/Van-ban-hop-nhat-12-VBHN-BNNPTNT-2023-Thong-tu-Quy-chuan-ky-thuat-thuc-an-chan-nuoi-597118.aspx,REG-36,VN-direct,High,Consolidated as 12/VBHN-BNNPTNT (2023-12-25),wave 1 REGULATION,
INS-025,"Law on Fisheries, Art 35(1) (aquafeed trial trigger)",18/2017/QH14,law,National Assembly,2017-11-21,2019-01-01,in force (amended by Law 146/2025/QH15; fisheries amendments not visible),aquafeed,High: literal trigger for trials of any unlisted aquafeed raw material | Wave 1 text: High,"Art 35(1): aquafeed must be trialled where it contains 'hóa chất, chế phẩm sinh học, vi sinh vật, nguyên liệu sản xuất thức ăn thủy sản không có tên trong danh mục quy định' | Wave 1 text: Art 31 pre-circulation requirements and MAE permitted list; Art 35 trials for items not on list; Art 36 import licence only for unlisted items for trial/research/fairs",https://thuvienphapluat.vn/van-ban/Tai-nguyen-Moi-truong/Luat-Thuy-san-338490.aspx,REG2-02; REG-37,VN-direct,High,"Read with Circular 16/2026 (no raw-material section), this literally catches every raw material, including conventional ones; practice evidently differs. Needs DFFI written interpretation | Wave 1 text: 2025 amendments to aquafeed articles not visible",wave 1 REGULATION; updated wave 2 REG2,"[wave 2 REG2 supersedes wave 1 where they differ] instrument_name: wave 1 ""Law on Fisheries"" -> wave 2 ""Law on Fisheries, Art 35(1) (aquafeed trial trigger)""; number: wave 1 ""18/2017/QH14 (amended by 146/2025/QH15)"" -> wave 2 ""18/2017/QH14""; status: wave 1 ""in force"" -> wave 2 ""in force (amended by Law 146/2025/QH15; fisheries amendments not visible)""; relevance_to_alt_protein: wave 2 text placed first; wave 1 text kept after it; key_provisions: wave 2 text placed first; wave 1 text kept after it; notes: wave 2 text placed first; wave 1 text kept after it"
INS-026,Decree guiding the Law on Fisheries,"26/2019/ND-CP (amended by 37/2024, 309/2025)",decree,Government,2019-03-08,2019-03-08 (not verified),amended,"aquafeed trials, factory conditions",High,"Art 27-28 factory conditions/certificates; Art 31 trial facility conditions; Art 32 trial dossier (forms 17.NT-19.NT), 20-day appraisal, recognition within 10 working days",https://thuvienphapluat.vn/van-ban/Linh-vuc-khac/Nghi-dinh-26-2019-ND-CP-huong-dan-Luat-Thuy-san-356284.aspx,REG-38; REG-39,VN-direct,High,Decree 309/2025 only suspends minimum catch sizes,wave 1 REGULATION,
INS-027,"Circular on aquaculture breeds, aquafeed and environment-treatment products (aquafeed permitted list, re-read)",16/2026/TT-BNNMT,circular,Ministry of Agriculture and Environment,2026-03-09,2026-03-09,in force,aquafeed,"High: the aquafeed permitted list has no raw-material section, so the status of insect meal, SCP, microalgae, duckweed and fermented soybean meal in aquafeed is legally ambiguous | Wave 1 text: High: decides which proteins need aquafeed trials","Art 12(2): Appendix II is the list of 'chemicals, biological products, microorganisms and feed raw materials' permitted in aquaculture. Appendix II has only I Chemicals (minerals; environment chemicals; preservatives and antioxidants) and II Biological products, microorganisms, vitamins, amino acids (II.1 bioactives and extracts, 17 entries incl. chitosan-oligosaccharide, FOS, low-MW chitosan, beta-glucan; II.2 microorganisms, 30 entries incl. Aspergillus niger/oryzae, many Bacillus spp., Candida utilis (no. 8), Pichia farinosa (no. 22), Saccharomyces boulardii/cerevisiae (no. 27); II.3 vitamins; II.4 enzymes). Art 18(2)(c): feed imported for research needs an approved research outline. Art 19(1)(d): DFFI reviews, updates and submits the list. Art 20(2) repeals Circular 26/2018, Circular 01/2022 Art 8 and Annexes XX to XXII, Circular 10/2025 Art 3 to 6 | Wave 1 text: Appendix II permitted list (chemicals, biologicals/microorganisms, vitamins, enzymes, raw materials); DFFI updates list (Art 19(1)(d)); replaces Circular 26/2018 and parts of 01/2022 and 10/2025",https://thuvienphapluat.vn/van-ban/Linh-vuc-khac/Thong-tu-16-2026-TT-BNNMT-quan-ly-giong-thuy-san-san-pham-xu-ly-moi-truong-nuoi-trong-thuy-san-697177.aspx,REG2-01; REG-40,VN-direct,High,"Updates wave 1 row (REG-40). No entry for insect meal, yeast protein, SCP, microalgae biomass, duckweed or fermented soybean meal. No body article says livestock-list materials may be used in aquafeed | Wave 1 text: Raw-material section not readable; insect/SCP listing unknown",wave 1 REGULATION; updated wave 2 REG2,"[wave 2 REG2 supersedes wave 1 where they differ] instrument_name: wave 1 ""Circular on management of aquatic breeds, aquafeed and environmental treatment products"" -> wave 2 ""Circular on aquaculture breeds, aquafeed and environment-treatment products (aquafeed permitted list, re-read)""; issuer: wave 1 ""MAE"" -> wave 2 ""Ministry of Agriculture and Environment""; topic: wave 1 ""aquafeed permitted list"" -> wave 2 ""aquafeed""; relevance_to_alt_protein: wave 2 text placed first; wave 1 text kept after it; key_provisions: wave 2 text placed first; wave 1 text kept after it; confidence: wave 1 ""Medium"" -> wave 2 ""High""; notes: wave 2 text placed first; wave 1 text kept after it"
INS-028,Decree on decentralisation in agriculture and environment,136/2025/ND-CP,decree,Government,2025-06-12,2025-07-01,in force,allocation of feed/aquafeed powers,High,Provincial chair: feed factory certificates (Art 10(3)); import licence unpublished feed (Art 10(7)); imported feed inspection (Art 12(1)); aquafeed trial result recognition (Art 19(2)); aquafeed import licences (Art 18(2)),https://thuvienphapluat.vn/van-ban/Bo-may-hanh-chinh/Nghi-dinh-136-2025-ND-CP-phan-quyen-phan-cap-trong-linh-vuc-nong-nghiep-va-moi-truong-660612.aspx,REG-41,VN-direct,High,,wave 1 REGULATION,
INS-029,Decree on functions and organisation of MAE,35/2025/ND-CP,decree,Government,2025-02-25,2025-03-01,in force,institutions,"Medium: who owns feed, fisheries, GMO, carbon","30 units incl. Dept of Livestock Production and Animal Health; Dept of Fisheries and Fisheries Surveillance; Dept of Quality, Processing and Market Development; Dept of Nature Conservation and Biodiversity; Dept of Climate Change",https://thuvienphapluat.vn/van-ban/Bo-may-hanh-chinh/Nghi-dinh-35-2025-ND-CP-nhiem-vu-quyen-han-co-cau-to-chuc-Bo-Nong-nghiep-va-Moi-truong-645010.aspx,REG-42,VN-direct,High,,wave 1 REGULATION,
INS-030,Law on Corporate Income Tax,67/2025/QH15,law,National Assembly,2025-06-14,2025-10-01 (applies from 2025 tax period),in force,tax incentives,High for PF/high-tech plants; Medium for agri-processing,"Art 12(2) incentive sectors incl. high-tech application, high-tech (agri) enterprises, agri/aquatic processing; Art 13 10% for 15 years; Art 14 4-year exemption + 50% for 9 years; Art 4 exempt income",https://thuvienphapluat.vn/van-ban/Doanh-nghiep/Luat-Thue-thu-nhap-doanh-nghiep-2025-so-67-2025-QH15-580594.aspx,REG-45,VN-direct,Medium,Guided by Decree 320/2025/ND-CP (not read),wave 1 REGULATION,
INS-031,Law on Investment,143/2025/QH15,law,National Assembly,2025-12-11,2026-03-01,in force,investment incentives and procedures,Medium,"Art 15 incentive sectors incl. science, technology and innovation; Art 16 Investment Support Fund; Art 28 special investment procedure in high-tech and special economic zones",https://thuvienphapluat.vn/van-ban/Dau-tu/Luat-Dau-tu-2025-so-143-2025-QH15-681550.aspx,REG-57,VN-direct,Medium,Guiding decree not read,wave 1 REGULATION,
INS-032,Decree on the Investment Support Fund,182/2024/ND-CP,decree,Government,2024-12-31,2024-12-31,in force,investment support,Low: thresholds far above any alt-protein project,"Art 18: high-tech projects >= VND 12,000 bn capital or >= VND 20,000 bn revenue/yr (semiconductor/AI 6,000/10,000); R&D centres >= VND 3,000 bn with 1,000 bn in 3 years; support rates Art 19-26",https://thuvienphapluat.vn/van-ban/Doanh-nghiep/Nghi-dinh-182-2024-ND-CP-quan-ly-su-dung-Quy-Ho-tro-dau-tu-638056.aspx,REG-46,VN-direct,High,Prior thresholds confirmed,wave 1 REGULATION,
INS-033,Law on High Technology (amended),133/2025/QH15,law,National Assembly,2025 (date not verified),2026-07-01 (inferred),in force (not read),high-tech status,Medium,Legal basis for Decisions 21/2026 and 23/2026,https://thuvienphapluat.vn/page/tim-van-ban.aspx?keyword=133/2025/QH15,REG-47; REG-56,VN-direct,Low,Not read; effective date inferred,wave 1 REGULATION,
INS-034,List of high technologies prioritised for investment and high-tech products encouraged,23/2026/QD-TTg,decision,Prime Minister,2026-05-15,2026-07-01,in force,high-tech lists,High: precision fermentation and microbial products are listed,"Items 49 synthetic biology, 51 new-generation microbial tech, 52 tissue/cell tech in agriculture, 60 recombinant protein/enzyme production; products 92 recombinant proteins/enzymes, 100 microbial strains/products for agriculture",https://thuvienphapluat.vn/van-ban/Linh-vuc-khac/Quyet-dinh-23-2026-QD-TTg-Danh-muc-cong-nghe-cao-duoc-uu-tien-dau-tu-phat-trien-701169.aspx,REG-47,VN-direct,High,Replaces Decision 38/2020/QD-TTg; no explicit alt-protein item,wave 1 REGULATION,
INS-035,Former list of prioritised high technologies,38/2020/QD-TTg,decision,Prime Minister,2020-12-30,2021,replaced (by 23/2026 from 2026-07-01),high-tech lists,Low,Superseded,https://thuvienphapluat.vn/page/tim-van-ban.aspx?keyword=Danh%20m%E1%BB%A5c%20c%C3%B4ng%20ngh%E1%BB%87%20cao,REG-47,VN-direct,High,,wave 1 REGULATION,
INS-036,List of strategic technologies and products,21/2026/QD-TTg,decision,Prime Minister,2026-04-30,2026-07-01,in force,strategic technology,"Low-Medium: biotech listed, no food/feed protein item",Strategic tech item 4 advanced biotechnology and biomedicine; products item 14 new biologics for livestock/aquaculture; item 16 varieties from cell tech and gene editing,https://thuvienphapluat.vn/van-ban/Linh-vuc-khac/Quyet-dinh-21-2026-Q%c3%90-TTg-Danh-muc-cong-nghe-chien-luoc-704380.aspx,REG-56,VN-direct,High,Replaces Decision 1131/QD-TTg (2025-06-12),wave 1 REGULATION,
