record_id,origin,report_rank,report_tier,rank_wave2,option,owner_agency,instrument_to_amend,precedent,effort,impact,timeline,related_options,status_in_wave2,source_ids,evidence_label,confidence,notes
PO-011,wave 1 REGULATION,21,3,,Simplified ABS procedure and model material transfer and benefit-sharing contracts for public microbial culture collections,"MAE (biodiversity); VAST, VNU, FIRI collections",,Decree 59/2017; Law 146/2025 Art 57 restructuring,Low,Medium,,,not restated in wave 2 ranking (still a wave 1 option),REG-60; REG-43,VN-direct,Medium,Lowers friction for startups using Vietnamese strains
PO-012,wave 1 REGULATION,,superseded,,"Labelling guidance for plant-based and fermentation-based analogues (use of 'chay', 'thuc vat', 'sua hat', qualifiers)",MOST (labelling decree owner) with MOH,,Decree 43/2017/111/2021 silent; foreign rules differ (EU dairy terms; Singapore qualifiers) (not re-verified),Low,Low,,PO-024,restated or refined by wave 2 option(s): PO-024,REG-26,VN-direct,Low,Pre-empts disputes; low priority now
PO-013,wave 1 REGULATION,19,3,,Transition rules in the new Food Safety Law: grandfather existing self-declarations and set realistic deadlines,MOH/VFA,,EuroCham submission; Decree 46/2026 disruption (port congestion),Low,Medium,,,not restated in wave 2 ranking (still a wave 1 option),REG-08; REG-13,VN-direct,Medium,Avoids repeat of Jan-Feb 2026 disruption
PO-014,wave 1 REGULATION,23,3,,Vietnam to co-lead ASEAN work on common principles and reliance for novel foods,MOH; MOST (ASEAN ACCSQ),,ASEAN harmonised cosmetics regime (background); Singapore framework,High,Medium,,,not restated in wave 2 ranking (still a wave 1 option),REG-63,general,Low,ASEAN status not verified this wave
PO-015,wave 2 REG2 (ranked),1,1,1,"Put a short delegation clause in the new Food Safety Law: ""The Government shall regulate the management of new foods and new food ingredients"" (thực phẩm mới, nguyên liệu thực phẩm mới), with a definition based on history of use. This keeps the law short and lets the decree carry the detail","MOH/VFA (drafter); National Assembly Committee on Science, Technology and Environment (review)","Draft Law on Food Safety (amended), product-declaration chapter",Singapore FSSA 2025; Thai Notification 376; EU 2015/2283,Low,High,First comments at the October 2026 National Assembly session; passage considered at the May 2027 session; the window for the clause runs into early 2027,PO-001,current (wave 2 ranking),REG2-04; REG2-05; REG2-06; REG-08; REG-10; REG-11; REG-12; REG-13; REG-14; REG-16; REG-63; REG2-26; REG2-27; APR-07; APR-08,VN-direct,Medium,"Ranked by impact on investability x feasibility x time-criticality (regulation2.md). Effort: Low = a letter, guidance or list update; Medium = a circular or decree amendment; High = a new law chapter or regime. source_ids inferred from the instruments the option names; confidence set by the consolidation step (not given in the source table). Version 0.4: timing corrected (National Assembly Standing Committee, 24 September 2026: two readings, not passage in October to November 2026; the 1 January 2027 start date cannot hold)."
PO-016,wave 2 REG2 (ranked),2,1,2,"Joint MAE and MOH guidance on precision-fermented proteins: no GMO food-use certificate is needed for a purified protein made in contained use with no viable GMO or recombinant DNA in the product; and state whether a recombinant protein identical to the native protein is a detectable product of the modified gene (Joint Circular 45/2015 Art 1(2)(a)), which decides whether the GM label applies above 5% of ingredients, and whether a product with such a protein below 5% may still claim non-GMO",MAE Department of Nature Conservation and Biodiversity and Department of Science and Technology; MOH/VFA,Official letter now; later an amendment to Decree 69/2010 Art 5 (definitions),"Decree 43/2026 already separates organisms from products; EU practice on food made ""with"" GM microorganisms (not verified)",Low,High,3 to 6 months,PO-004,current (wave 2 ranking),REG-18; REG-21; REG-23; REG2-11; REG-19; REG-20; REG-22; REG-24; LBL-10; LBL-25,VN-direct,Medium,"Ranked by impact on investability x feasibility x time-criticality (regulation2.md). Effort: Low = a letter, guidance or list update; Medium = a circular or decree amendment; High = a new law chapter or regime. source_ids inferred from the instruments the option names; confidence set by the consolidation step (not given in the source table). Version 0.4 (W8-L1): the mandatory GM label applies only when a GM ingredient exceeds 5% of total ingredients and not where neither the gene nor its product is detectable; lactoferrin-type uses (about 0.08%) are below the trigger, so the labelling half narrows to the detectability question."
PO-017,wave 2 REG2 (ranked),3,1,3,"Add a raw-material section to the aquafeed list, or state that raw materials on the livestock list (Circular 21/2019 App VI) are permitted in aquafeed. Add insect meal, inactivated yeast biomass, microalgae biomass, duckweed and fermented soybean meal",MAE DFFI,"Circular amending Circular 16/2026 Appendix II (DFFI review power, Art 19(1)(d))",Circular 31/2022 added yeasts to the livestock list,Low,High,Next list update (2027),PO-005,current (wave 2 ranking),REG-32; REG2-01; REG-40; REG-33,VN-direct,Medium,"Ranked by impact on investability x feasibility x time-criticality (regulation2.md). Effort: Low = a letter, guidance or list update; Medium = a circular or decree amendment; High = a new law chapter or regime. source_ids inferred from the instruments the option names; confidence set by the consolidation step (not given in the source table)."
PO-018,wave 2 REG2 (ranked),4,1,4,"Add generic entries to the livestock list for inactivated microbial biomass from safe strains (bacterial SCP, fungal biomass, microalgae), relying on foreign feed authorisations. This matters more now that Decree 211/2026 fines unlisted use",MAE DLPAH,Circular amending Circular 21/2019 Appendix VI,Circular 31/2022; EU Feed Materials Catalogue entries for bacterial and yeast proteins (not verified),Low,Medium,Next annual update (2027),PO-005,current (wave 2 ranking),REG2-10; REG2-07; REG-32; REG-33,VN-direct,Medium,"Ranked by impact on investability x feasibility x time-criticality (regulation2.md). Effort: Low = a letter, guidance or list update; Medium = a circular or decree amendment; High = a new law chapter or regime. source_ids inferred from the instruments the option names; confidence set by the consolidation step (not given in the source table)."
PO-019,wave 2 REG2 (ranked),5,1,5,"Novel-food procedure in the implementing decree of the new law: (a) a ""not novel"" determination on request; (b) a traditional-food notification lane for foods with long safe use abroad, with a fixed objection window; (c) a reliance lane for foods approved by 2 or more reference regulators (Singapore, US, EU, Australia/New Zealand, Thailand); (d) full assessment by recognised assessment units, with a public positive list",MOH/VFA; Government,Government decree replacing Decree 15/2018 (to take effect with the new law),Thai recognised assessment units; EU traditional-food notification; Vietnam's own Decree 43/2026 5-country GMO fast-track,Medium,High,Drafting from 2026; in force 2027 to 2028 (after the law is voted at the May 2027 session),PO-002; PO-003,current (wave 2 ranking),REG-02; REG-05; REG-06; REG2-11; REG-18; REG-19; REG-20; REG-21; REG-22; REG-23; REG-24,VN-direct,Medium,"Ranked by impact on investability x feasibility x time-criticality (regulation2.md). Effort: Low = a letter, guidance or list update; Medium = a circular or decree amendment; High = a new law chapter or regime. source_ids inferred from the instruments the option names; confidence set by the consolidation step (not given in the source table)."
PO-020,wave 2 REG2 (ranked),6,2,6,"Use the Hanoi sandbox for one supervised novel-food pilot (e.g. precision-fermented dairy protein or cultivated seafood tasting), with MOH in the appraisal. In parallel, a Government decree under Law 93/2025 Art 21(6) naming MOH as the approving agency for food tests",Hanoi People's Committee and Hanoi Department of Science and Technology; MOST; MOH,Hanoi decision under Resolution 29/2025/NQ-HĐND; new Government decree under Law 93/2025 Art 21(6),Decision 6150/QĐ-UBND lists biotech; banking sandbox Decree 94/2025,Medium,Medium,6 to 12 months (Hanoi); 12 to 24 months (national),PO-008,current (wave 2 ranking),REG2-13; REG-48; REG2-16; REG2-17; REG-34,VN-direct,Medium,"Ranked by impact on investability x feasibility x time-criticality (regulation2.md). Effort: Low = a letter, guidance or list update; Medium = a circular or decree amendment; High = a new law chapter or regime. source_ids inferred from the instruments the option names; confidence set by the consolidation step (not given in the source table)."
PO-021,wave 2 REG2 (ranked),7,2,7,"Publicly funded feed trials of SCP in whiteleg shrimp, pangasius, broilers and pigs, run as state S&T tasks so results qualify for the state-research exemption from separate trials","MAE (DLPAH, DFFI, research institutes); MOST",S&T task under Decree 267/2025; Law on Animal Husbandry Art 37(2),Law Art 37(2) exemption,Medium,High,12 to 24 months,PO-006,current (wave 2 ranking),REG2-14; REG2-15,VN-direct,Medium,"Ranked by impact on investability x feasibility x time-criticality (regulation2.md). Effort: Low = a letter, guidance or list update; Medium = a circular or decree amendment; High = a new law chapter or regime. source_ids inferred from the instruments the option names; confidence set by the consolidation step (not given in the source table)."
PO-022,wave 2 REG2 (ranked),8,2,8,"Publish the closed-production certificate timeline, fee and issuing level, and a model Form 33 for industrial fermentation strains",MAE Department of Nature Conservation and Biodiversity,Update of Decision 375/QĐ-BNNMT; guidance note,Decree 43/2026 food/feed certificate timelines (27 or 77 working days),Low,Medium,3 months,PO-004,current (wave 2 ranking),REG2-12; REG2-11; REG-18; REG-19; REG-20; REG-21; REG-22; REG-23; REG-24,VN-direct,Medium,"Ranked by impact on investability x feasibility x time-criticality (regulation2.md). Effort: Low = a letter, guidance or list update; Medium = a circular or decree amendment; High = a new law chapter or regime. source_ids inferred from the instruments the option names; confidence set by the consolidation step (not given in the source table)."
PO-023,wave 2 REG2 (ranked),9,2,9,"Tax guidance confirming that precision-fermentation and biomass-fermentation plants qualify as ""new projects applying high technology"" (Decision 23/2026 items 60, 92, 100) and for the 3-year first-technology exemption (Decree 320/2025 Art 4(4)(b)); clarify the 30% agri raw-material test for fermentation on agricultural sugars or cassava",MOF (Tax Department); MOST,"Guidance letter; if needed, amendment to Decree 320/2025",CIT Law 67/2025; Decision 23/2026,Low,Medium,3 to 6 months,PO-010,current (wave 2 ranking),REG-47; REG2-18; REG-45,VN-direct,Medium,"Ranked by impact on investability x feasibility x time-criticality (regulation2.md). Effort: Low = a letter, guidance or list update; Medium = a circular or decree amendment; High = a new law chapter or regime. source_ids inferred from the instruments the option names; confidence set by the consolidation step (not given in the source table)."
PO-024,wave 2 REG2 (ranked),16,3,10,"Adopt the Codex list of priority allergens for food labels; on names, no new rule: no rule reserves thịt, sữa or phô mai and names must only not mislead, so keep this permissive regime in the new Food Safety Law decree and issue guidance (not a rule) on neutral state and media vocabulary for new foods (a 2025 provincial scheme uses thịt nhân tạo for cultivated meat)",MOST (labelling decree owner) with MOH,Decree 37/2026/ND-CP (replaced Decree 43/2017 and 111/2021) or labelling provisions of the new Food Safety Law's decree; guidance note for names,Codex General Standard for the Labelling of Prepackaged Foods (not verified this wave),Low,Low,2027,PO-012,current (wave 2 ranking),REG2-04; REG2-05; REG2-06; REG-08; REG-10; REG-11; REG-12; REG-13; REG-14; REG-16; REG-26; LBL-06; LBL-07; LBL-08; LBL-09; LBL-16; LBL-20; LBL-21; BUY-05,VN-direct,Medium,"Ranked by impact on investability x feasibility x time-criticality (regulation2.md). Effort: Low = a letter, guidance or list update; Medium = a circular or decree amendment; High = a new law chapter or regime. source_ids inferred from the instruments the option names; confidence set by the consolidation step (not given in the source table). Version 0.4 (W8-L1): the naming half is recast as guidance, because no rule reserves meat or milk words and makers already qualify them (Heo hầm chay); Decree 37/2026 replaced the goods-label decree."
PO-025,wave 2 REG2 (ranked),24,3,11,"Review MFN duties on food protein inputs not made in Vietnam at scale (wheat gluten 10%, protein concentrates 5%), while weighing the effect on local producers of SCP and yeast (2102.20 at 7%)",MOF,Decree amending Decree 26/2023 Appendix II,Decree 73/2025 cut soybean meal and maize to 0%,Low,Low,Next MFN amendment,,current (wave 2 ranking),REG2-22; REG2-23; REG2-28; REG2-21,VN-direct,Medium,"Ranked by impact on investability x feasibility x time-criticality (regulation2.md). Effort: Low = a letter, guidance or list update; Medium = a circular or decree amendment; High = a new law chapter or regime. source_ids inferred from the instruments the option names; confidence set by the consolidation step (not given in the source table)."
PO-026,synthesis (report chapters 2 to 10 and 26),10,2,,"Shared food-grade pilot fermentation line plus a tolling programme on existing industrial tanks, open to startups and researchers",MOST; MAE; Ho Chi Minh City People's Committee; Saigon Hi-Tech Park or FIRI as host,State S&T programme or city investment decision,Thailand EECi Biorefinery Pilot Plant; Singapore ScaleUp Bio,High,High,24 to 36 months,,current (synthesis),INF-02; INF-06; RGN-01; RGN-10; RGN-36,VN-direct,Medium,Play T5; largest single infrastructure gap
PO-027,synthesis (report chapters 2 to 10 and 26),13,3,,Accredit amino-acid profiling and protein-digestibility (DIAAS or PDCAAS) testing at a national reference laboratory,MOH (NIFC); MAE (FIRI NACEFA),Laboratory accreditation scope (VILAS),None in Vietnam,Medium,Medium,12 to 24 months,,current (synthesis),INF-03; INF-10; SCI-40; SCI-42,VN-direct,Medium,Public good P4; needed for protein claims and any novel-food dossier
PO-028,synthesis (report chapters 2 to 10 and 26),14,3,,"Publish a yearly national by-product atlas (volume, location, price, composition of cassava pulp, bran, okara, spent grain, seafood by-products)",MAE with the National Statistics Office; provincial departments,Statistical programme,None found,Low,Medium,12 months,,current (synthesis),FS-02; FS-03; FS-17; FS-23,VN-direct,Medium,Public good P5
PO-029,synthesis (report chapters 2 to 10 and 26),15,3,,"Input-VAT neutrality for new feed ingredients: allow input-VAT credit for makers of feed ingredients, or offset through duty and CIT incentives",MOF,"VAT Law 48/2024 (Art 5(3)) at next amendment, or implementing guidance",Earlier 0% or 5% treatment of feed-related goods (not verified),Medium,Medium,Next VAT amendment,,current (synthesis),COST-24; COST-25,VN-direct,Low,"Feed is not subject to VAT, so feed-protein makers cannot reclaim input VAT (estimated 5 to 10% of taxed inputs)"
PO-030,synthesis (report chapters 2 to 10 and 26),12,2,,"Name alternative protein and biomanufacturing as priorities in the rules of the national, Ho Chi Minh City and Hanoi venture funds, and add a first-loss window for pre-revenue pilot plants",MOF; MOST; Ho Chi Minh City and Hanoi People's Committees,Fund charters and investment policies under Decree 264/2025,Decree 264/2025 already allows up to 50% portfolio loss,Low,Medium,6 to 12 months,,current (synthesis),CAP-29; CAP-30; CAP-32; CAP-34; CAP-37,VN-direct,Medium,Fund tickets fit pilot plants; NATIF's profit test excludes pre-revenue firms
PO-031,synthesis (report chapters 2 to 10 and 26),11,2,,"Shift biomanufacturing incentives towards capital grants, loan guarantees and feedstock-cost support rather than further tax holidays",MOF; MOST; MPI functions now in MOF,Investment-support decrees for high-tech and biotechnology projects,GFI APAC and Hawkwood incentive modelling (2025),Medium,High,12 to 24 months,,current (synthesis),RGN-01,general,High,The regional study found a 50% capex grant raised project value most; tax holidays ranked near the bottom
PO-032,synthesis (report chapters 2 to 10 and 26),20,3,,"Publish official grid emission factors for 2024 and 2025, and signal capacity-charge levels of the two-part power tariff early",MAE (Department of Climate Change); MOIT,Official letters; tariff decisions,Official 2023 factor published 3 December 2024,Low,Low,3 to 6 months,,current (synthesis),COST-05; COST-08; COST-09,VN-direct,High,Carbon claims and continuous-plant power budgets depend on both
PO-033,synthesis (report chapters 2 to 10 and 26),22,3,,Negotiate pilot-plant access and regulatory cooperation with Thailand and Singapore (EECi access for Vietnamese firms; observer role in regional novel-food and cultivated-food safety work),MOST; MOH; Ministry of Foreign Affairs,Bilateral MOUs; ASEAN food-safety cooperation,"SFA regulator MOUs with FSANZ, ANSES and SAMR",Low,Medium,12 months,,current (synthesis),RGN-35; RGN-36; RGN-44,VN-adjacent,Medium,Complements PO-014 (ASEAN reliance)
