record_id,scenario,year,route,indicator,value,low,high,unit,source_ids,evidence_label,confidence,demand_evidence_type,notes
DFU-030,D-BENCH,2030,R1,import_value_replaced_usd_m,5.9,4.8,7.0,USD million a year (gross),BUY-02; demand_outputs.csv,VN-direct,Low,inferred,"5.4 kt product at 65% protein x USD 0.9 to 1.3 per kg (unit values of Chinese shipments, package ch16); value is the midpoint, low and high are the price bounds. Gross; net of imported soybean feedstock is lower."
DFU-031,D-BENCH,2030,R1,domestic_share_of_food_plant_protein_pool,10,,,%,demand_assumptions.csv,VN-direct,Low,inferred,Scenario assumption (DMA-014 to DMA-023).
DFU-032,D-BENCH,2035,R2,added_chay_person_days,38.4,,,million person-days a year,demand_outputs.csv; demand_assumptions.csv,VN-direct,Low,inferred,Meat-free person-days added by extra chay days (displaced / (meat protein per person-day x 0.7)). Each day holds two to three meat meals.
DFU-033,D-BENCH,2035,R2,meat_protein_displaced_t,904,,,t protein a year,demand_outputs.csv,VN-direct,Low,inferred,Model output (added chay days).
DFU-034,D-BENCH,2035,R2,pigs_spared,48956,48226,49710,head a year,FUF-03; demand_outputs.csv; balance_outputs.csv,VN-direct,Low,inferred,Slaughter count avoided; includes animals raised abroad for imported meat.
DFU-035,D-BENCH,2035,R2,poultry_spared,1182127,1053725,1322255,head a year,FUF-03; demand_outputs.csv; balance_outputs.csv,VN-direct,Low,inferred,Chickens and ducks; range from FAOSTAT carcass yield per bird 2022 to 2024.
DFU-036,D-BENCH,2035,R2,cattle_and_buffalo_spared,3299,3299,3535,head a year,FUF-03; demand_outputs.csv; balance_outputs.csv,VN-direct,Low,inferred,"Vietnamese carcass yields; imported beef comes from heavier animals, so this overstates head."
DFU-037,D-BENCH,2035,R2,co2e_avoided_net_t,55861,38437,94253,t CO2e a year,FUF-04; FUF-05; FUF-07; FUF-08; demand_outputs.csv; balance_outputs.csv,VN-adjacent,Low,inferred,"Gross (GLEAM E and SE Asia humid-zone intensities x carcass displaced) minus replacement protein at 8.36 kg CO2e per kg protein. Low: GLEAM 10% lowest minus tofu-level replacement. High: higher of GLEAM 10% highest and Poore and Nemecek per-protein means, minus soy concentrate-level replacement."
DFU-038,D-BENCH,2035,R3,meat_protein_displaced_t,707,,,t protein a year,demand_outputs.csv,VN-direct,Low,inferred,Model output (hybrid processed meat).
DFU-039,D-BENCH,2035,R3,pigs_spared,53561,52761,54385,head a year,FUF-03; demand_outputs.csv; balance_outputs.csv,VN-direct,Low,inferred,Slaughter count avoided; includes animals raised abroad for imported meat.
DFU-040,D-BENCH,2035,R3,poultry_spared,365864,326124,409233,head a year,FUF-03; demand_outputs.csv; balance_outputs.csv,VN-direct,Low,inferred,Chickens and ducks; range from FAOSTAT carcass yield per bird 2022 to 2024.
DFU-041,D-BENCH,2035,R3,cattle_and_buffalo_spared,3026,3026,3243,head a year,FUF-03; demand_outputs.csv; balance_outputs.csv,VN-direct,Low,inferred,"Vietnamese carcass yields; imported beef comes from heavier animals, so this overstates head."
DFU-042,D-BENCH,2035,R3,co2e_avoided_net_t,44523,25330,80628,t CO2e a year,FUF-04; FUF-05; FUF-07; FUF-08; demand_outputs.csv; balance_outputs.csv,VN-adjacent,Low,inferred,"Gross (GLEAM E and SE Asia humid-zone intensities x carcass displaced) minus replacement protein at 8.36 kg CO2e per kg protein. Low: GLEAM 10% lowest minus tofu-level replacement. High: higher of GLEAM 10% highest and Poore and Nemecek per-protein means, minus soy concentrate-level replacement."
DFU-043,D-BENCH,2035,R4,meat_protein_displaced_t,649,,,t protein a year,demand_outputs.csv,VN-direct,Low,inferred,Model output (canteens and schools).
DFU-044,D-BENCH,2035,R4,pigs_spared,35137,34612,35677,head a year,FUF-03; demand_outputs.csv; balance_outputs.csv,VN-direct,Low,inferred,Slaughter count avoided; includes animals raised abroad for imported meat.
DFU-045,D-BENCH,2035,R4,poultry_spared,848428,756272,949000,head a year,FUF-03; demand_outputs.csv; balance_outputs.csv,VN-direct,Low,inferred,Chickens and ducks; range from FAOSTAT carcass yield per bird 2022 to 2024.
DFU-046,D-BENCH,2035,R4,cattle_and_buffalo_spared,2368,2368,2537,head a year,FUF-03; demand_outputs.csv; balance_outputs.csv,VN-direct,Low,inferred,"Vietnamese carcass yields; imported beef comes from heavier animals, so this overstates head."
DFU-047,D-BENCH,2035,R4,co2e_avoided_net_t,36071,18086,67016,t CO2e a year,FUF-04; FUF-05; FUF-07; FUF-08; demand_outputs.csv; balance_outputs.csv,VN-adjacent,Low,inferred,"Gross (GLEAM E and SE Asia humid-zone intensities x carcass displaced) minus replacement protein at 8.36 kg CO2e per kg protein. Low: GLEAM 10% lowest minus tofu-level replacement. High: higher of GLEAM 10% highest and Poore and Nemecek per-protein means, minus soy concentrate-level replacement."
DFU-048,D-BENCH,2035,R5,meat_protein_displaced_t,85,,,t protein a year,demand_outputs.csv,VN-direct,Low,inferred,Model output (household analogues).
DFU-049,D-BENCH,2035,R5,pigs_spared,4617,4548,4688,head a year,FUF-03; demand_outputs.csv; balance_outputs.csv,VN-direct,Low,inferred,Slaughter count avoided; includes animals raised abroad for imported meat.
DFU-050,D-BENCH,2035,R5,poultry_spared,111494,99384,124711,head a year,FUF-03; demand_outputs.csv; balance_outputs.csv,VN-direct,Low,inferred,Chickens and ducks; range from FAOSTAT carcass yield per bird 2022 to 2024.
DFU-051,D-BENCH,2035,R5,cattle_and_buffalo_spared,311,311,333,head a year,FUF-03; demand_outputs.csv; balance_outputs.csv,VN-direct,Low,inferred,"Vietnamese carcass yields; imported beef comes from heavier animals, so this overstates head."
DFU-052,D-BENCH,2035,R5,co2e_avoided_net_t,2066,-3941,8388,t CO2e a year,FUF-04; FUF-05; FUF-07; FUF-08; demand_outputs.csv; balance_outputs.csv,VN-adjacent,Low,inferred,"Gross (GLEAM E and SE Asia humid-zone intensities x carcass displaced) minus replacement protein at 8.36 kg CO2e per kg protein. Low: GLEAM 10% lowest minus tofu-level replacement. High: higher of GLEAM 10% highest and Poore and Nemecek per-protein means, minus soy concentrate-level replacement."
DFU-053,D-BENCH,2035,R2 to R5,animals_spared_total,2659189,2384657,2959307,head a year,FUF-03; demand_outputs.csv; balance_outputs.csv,VN-direct,Low,inferred,"Pigs, poultry, cattle and buffalo. Fish not counted: the model counts meat only, though added chay days would also avoid fish."
DFU-054,D-BENCH,2035,R2 to R5,poultry_share_of_animals_spared,94.3,,,%,FUF-03; demand_outputs.csv; balance_outputs.csv,VN-direct,Low,inferred,
DFU-055,D-BENCH,2035,R2 to R5,co2e_avoided_net_t,138521,77913,250285,t CO2e a year,FUF-04; FUF-05; FUF-07; FUF-08; demand_outputs.csv; balance_outputs.csv,VN-adjacent,Low,inferred,"Sum of R2 to R5. Routes R1, R6 and R7 displace no Vietnamese meat in the model."
DFU-056,D-BENCH,2035,R4,canteen_meals_shifted,36.6,,,million meal-equivalents a year,"demand_assumptions.csv (DMA-079, DMA-080, DMA-089 to DMA-098)",VN-direct,Low,inferred,A meal-equivalent is one protein dish of 20 g protein supplied by plant or novel protein instead of meat.
DFU-057,D-BENCH,2035,R4,school_meals_shifted,4.0,,,million meal-equivalents a year,"demand_assumptions.csv (DMA-081, DMA-082, DMA-104 to DMA-113)",VN-direct,Low,inferred,"MOH school-meal guidance (APR-04) asks for animal protein at least 4 to 5 days a week, which caps animal-free school days at about 1 in 5."
DFU-058,D-BENCH,2035,R1,meat_protein_displaced_t,0,,,t protein a year,demand_outputs.csv,VN-direct,Low,inferred,Import substitution replaces imported plant protein with domestic plant protein; no meat displaced.
DFU-059,D-BENCH,2035,R1,animals_spared_total,0,,,head a year,demand_outputs.csv,VN-direct,Low,inferred,
DFU-060,D-BENCH,2035,R1,co2e_avoided_net_t,about 0 (sign unknown),,,t CO2e a year,MAC-04; MAC-09,VN-adjacent,Low,inferred,Soy protein replaces soy protein; the feedstock would still be imported soybeans. Only freight and process energy differ; not computed.
DFU-061,D-BENCH,2035,R1,import_value_replaced_usd_m,19.7,16.1,23.3,USD million a year (gross),BUY-02; demand_outputs.csv,VN-direct,Low,inferred,"17.9 kt product at 65% protein x USD 0.9 to 1.3 per kg (unit values of Chinese shipments, package ch16); value is the midpoint, low and high are the price bounds. Gross; net of imported soybean feedstock is lower."
DFU-062,D-BENCH,2035,R1,domestic_share_of_food_plant_protein_pool,25,,,%,demand_assumptions.csv,VN-direct,Low,inferred,Scenario assumption (DMA-014 to DMA-023).
DFU-063,D-BENCH,2050,R2,added_chay_person_days,79.3,,,million person-days a year,demand_outputs.csv; demand_assumptions.csv,VN-direct,Low,inferred,Meat-free person-days added by extra chay days (displaced / (meat protein per person-day x 0.7)). Each day holds two to three meat meals.
DFU-064,D-BENCH,2050,R2,meat_protein_displaced_t,2000,,,t protein a year,demand_outputs.csv,VN-direct,Low,inferred,Model output (added chay days).
DFU-065,D-BENCH,2050,R2,pigs_spared,104283,102727,105888,head a year,FUF-03; demand_outputs.csv; balance_outputs.csv,VN-direct,Low,inferred,Slaughter count avoided; includes animals raised abroad for imported meat.
DFU-066,D-BENCH,2050,R2,poultry_spared,2699980,2406709,3020033,head a year,FUF-03; demand_outputs.csv; balance_outputs.csv,VN-direct,Low,inferred,Chickens and ducks; range from FAOSTAT carcass yield per bird 2022 to 2024.
DFU-067,D-BENCH,2050,R2,cattle_and_buffalo_spared,7917,7917,8484,head a year,FUF-03; demand_outputs.csv; balance_outputs.csv,VN-direct,Low,inferred,"Vietnamese carcass yields; imported beef comes from heavier animals, so this overstates head."
DFU-068,D-BENCH,2050,R2,co2e_avoided_net_t,128605,89472,214184,t CO2e a year,FUF-04; FUF-05; FUF-07; FUF-08; demand_outputs.csv; balance_outputs.csv,VN-adjacent,Low,inferred,"Gross (GLEAM E and SE Asia humid-zone intensities x carcass displaced) minus replacement protein at 8.36 kg CO2e per kg protein. Low: GLEAM 10% lowest minus tofu-level replacement. High: higher of GLEAM 10% highest and Poore and Nemecek per-protein means, minus soy concentrate-level replacement."
DFU-069,D-BENCH,2050,R3,meat_protein_displaced_t,1950,,,t protein a year,demand_outputs.csv,VN-direct,Low,inferred,Model output (hybrid processed meat).
DFU-070,D-BENCH,2050,R3,pigs_spared,147727,145522,150000,head a year,FUF-03; demand_outputs.csv; balance_outputs.csv,VN-direct,Low,inferred,Slaughter count avoided; includes animals raised abroad for imported meat.
DFU-071,D-BENCH,2050,R3,poultry_spared,1009102,899494,1128720,head a year,FUF-03; demand_outputs.csv; balance_outputs.csv,VN-direct,Low,inferred,Chickens and ducks; range from FAOSTAT carcass yield per bird 2022 to 2024.
DFU-072,D-BENCH,2050,R3,cattle_and_buffalo_spared,8346,8346,8943,head a year,FUF-03; demand_outputs.csv; balance_outputs.csv,VN-direct,Low,inferred,"Vietnamese carcass yields; imported beef comes from heavier animals, so this overstates head."
DFU-073,D-BENCH,2050,R3,co2e_avoided_net_t,122772,69800,222379,t CO2e a year,FUF-04; FUF-05; FUF-07; FUF-08; demand_outputs.csv; balance_outputs.csv,VN-adjacent,Low,inferred,"Gross (GLEAM E and SE Asia humid-zone intensities x carcass displaced) minus replacement protein at 8.36 kg CO2e per kg protein. Low: GLEAM 10% lowest minus tofu-level replacement. High: higher of GLEAM 10% highest and Poore and Nemecek per-protein means, minus soy concentrate-level replacement."
DFU-074,D-BENCH,2050,R4,meat_protein_displaced_t,1830,,,t protein a year,demand_outputs.csv,VN-direct,Low,inferred,Model output (canteens and schools).
DFU-075,D-BENCH,2050,R4,pigs_spared,95419,93995,96887,head a year,FUF-03; demand_outputs.csv; balance_outputs.csv,VN-direct,Low,inferred,Slaughter count avoided; includes animals raised abroad for imported meat.
DFU-076,D-BENCH,2050,R4,poultry_spared,2470482,2202139,2763330,head a year,FUF-03; demand_outputs.csv; balance_outputs.csv,VN-direct,Low,inferred,Chickens and ducks; range from FAOSTAT carcass yield per bird 2022 to 2024.
DFU-077,D-BENCH,2050,R4,cattle_and_buffalo_spared,7244,7244,7763,head a year,FUF-03; demand_outputs.csv; balance_outputs.csv,VN-direct,Low,inferred,"Vietnamese carcass yields; imported beef comes from heavier animals, so this overstates head."
DFU-078,D-BENCH,2050,R4,co2e_avoided_net_t,105811,53841,194120,t CO2e a year,FUF-04; FUF-05; FUF-07; FUF-08; demand_outputs.csv; balance_outputs.csv,VN-adjacent,Low,inferred,"Gross (GLEAM E and SE Asia humid-zone intensities x carcass displaced) minus replacement protein at 8.36 kg CO2e per kg protein. Low: GLEAM 10% lowest minus tofu-level replacement. High: higher of GLEAM 10% highest and Poore and Nemecek per-protein means, minus soy concentrate-level replacement."
DFU-079,D-BENCH,2050,R5,meat_protein_displaced_t,210,,,t protein a year,demand_outputs.csv,VN-direct,Low,inferred,Model output (household analogues).
DFU-080,D-BENCH,2050,R5,pigs_spared,10955,10791,11123,head a year,FUF-03; demand_outputs.csv; balance_outputs.csv,VN-direct,Low,inferred,Slaughter count avoided; includes animals raised abroad for imported meat.
DFU-081,D-BENCH,2050,R5,poultry_spared,283633,252825,317254,head a year,FUF-03; demand_outputs.csv; balance_outputs.csv,VN-direct,Low,inferred,Chickens and ducks; range from FAOSTAT carcass yield per bird 2022 to 2024.
DFU-082,D-BENCH,2050,R5,cattle_and_buffalo_spared,832,832,891,head a year,FUF-03; demand_outputs.csv; balance_outputs.csv,VN-direct,Low,inferred,"Vietnamese carcass yields; imported beef comes from heavier animals, so this overstates head."
DFU-083,D-BENCH,2050,R5,co2e_avoided_net_t,5568,-9364,21256,t CO2e a year,FUF-04; FUF-05; FUF-07; FUF-08; demand_outputs.csv; balance_outputs.csv,VN-adjacent,Low,inferred,"Gross (GLEAM E and SE Asia humid-zone intensities x carcass displaced) minus replacement protein at 8.36 kg CO2e per kg protein. Low: GLEAM 10% lowest minus tofu-level replacement. High: higher of GLEAM 10% highest and Poore and Nemecek per-protein means, minus soy concentrate-level replacement."
DFU-084,D-BENCH,2050,R2 to R5,animals_spared_total,6845922,6138542,7619317,head a year,FUF-03; demand_outputs.csv; balance_outputs.csv,VN-direct,Low,inferred,"Pigs, poultry, cattle and buffalo. Fish not counted: the model counts meat only, though added chay days would also avoid fish."
DFU-085,D-BENCH,2050,R2 to R5,poultry_share_of_animals_spared,94.4,,,%,FUF-03; demand_outputs.csv; balance_outputs.csv,VN-direct,Low,inferred,
DFU-086,D-BENCH,2050,R2 to R5,co2e_avoided_net_t,362756,203750,651939,t CO2e a year,FUF-04; FUF-05; FUF-07; FUF-08; demand_outputs.csv; balance_outputs.csv,VN-adjacent,Low,inferred,"Sum of R2 to R5. Routes R1, R6 and R7 displace no Vietnamese meat in the model."
DFU-087,D-BENCH,2050,R4,canteen_meals_shifted,98.4,,,million meal-equivalents a year,"demand_assumptions.csv (DMA-079, DMA-080, DMA-089 to DMA-098)",VN-direct,Low,inferred,A meal-equivalent is one protein dish of 20 g protein supplied by plant or novel protein instead of meat.
DFU-088,D-BENCH,2050,R4,school_meals_shifted,16.0,,,million meal-equivalents a year,"demand_assumptions.csv (DMA-081, DMA-082, DMA-104 to DMA-113)",VN-direct,Low,inferred,"MOH school-meal guidance (APR-04) asks for animal protein at least 4 to 5 days a week, which caps animal-free school days at about 1 in 5."
DFU-089,D-BENCH,2050,R1,meat_protein_displaced_t,0,,,t protein a year,demand_outputs.csv,VN-direct,Low,inferred,Import substitution replaces imported plant protein with domestic plant protein; no meat displaced.
DFU-090,D-BENCH,2050,R1,animals_spared_total,0,,,head a year,demand_outputs.csv,VN-direct,Low,inferred,
DFU-091,D-BENCH,2050,R1,co2e_avoided_net_t,about 0 (sign unknown),,,t CO2e a year,MAC-04; MAC-09,VN-adjacent,Low,inferred,Soy protein replaces soy protein; the feedstock would still be imported soybeans. Only freight and process energy differ; not computed.
DFU-092,D-BENCH,2050,R1,import_value_replaced_usd_m,75.5,61.8,89.3,USD million a year (gross),BUY-02; demand_outputs.csv,VN-direct,Low,inferred,"68.7 kt product at 65% protein x USD 0.9 to 1.3 per kg (unit values of Chinese shipments, package ch16); value is the midpoint, low and high are the price bounds. Gross; net of imported soybean feedstock is lower."
DFU-093,D-BENCH,2050,R1,domestic_share_of_food_plant_protein_pool,40,,,%,demand_assumptions.csv,VN-direct,Low,inferred,Scenario assumption (DMA-014 to DMA-023).
DFU-094,D-STRETCH,2030,R2,added_chay_person_days,75.1,,,million person-days a year,demand_outputs.csv; demand_assumptions.csv,VN-direct,Low,inferred,Meat-free person-days added by extra chay days (displaced / (meat protein per person-day x 0.7)). Each day holds two to three meat meals.
DFU-095,D-STRETCH,2030,R2,meat_protein_displaced_t,1630,,,t protein a year,demand_outputs.csv,VN-direct,Low,inferred,Model output (added chay days).
DFU-096,D-STRETCH,2030,R2,pigs_spared,94579,93168,96035,head a year,FUF-03; demand_outputs.csv; balance_outputs.csv,VN-direct,Low,inferred,Slaughter count avoided; includes animals raised abroad for imported meat.
DFU-097,D-STRETCH,2030,R2,poultry_spared,1905040,1698115,2130861,head a year,FUF-03; demand_outputs.csv; balance_outputs.csv,VN-direct,Low,inferred,Chickens and ducks; range from FAOSTAT carcass yield per bird 2022 to 2024.
DFU-098,D-STRETCH,2030,R2,cattle_and_buffalo_spared,6055,6055,6488,head a year,FUF-03; demand_outputs.csv; balance_outputs.csv,VN-direct,Low,inferred,"Vietnamese carcass yields; imported beef comes from heavier animals, so this overstates head."
DFU-099,D-STRETCH,2030,R2,co2e_avoided_net_t,101323,68962,172103,t CO2e a year,FUF-04; FUF-05; FUF-07; FUF-08; demand_outputs.csv; balance_outputs.csv,VN-adjacent,Low,inferred,"Gross (GLEAM E and SE Asia humid-zone intensities x carcass displaced) minus replacement protein at 8.36 kg CO2e per kg protein. Low: GLEAM 10% lowest minus tofu-level replacement. High: higher of GLEAM 10% highest and Poore and Nemecek per-protein means, minus soy concentrate-level replacement."
DFU-100,D-STRETCH,2030,R3,meat_protein_displaced_t,796,,,t protein a year,demand_outputs.csv,VN-direct,Low,inferred,Model output (hybrid processed meat).
DFU-101,D-STRETCH,2030,R3,pigs_spared,60288,59388,61215,head a year,FUF-03; demand_outputs.csv; balance_outputs.csv,VN-direct,Low,inferred,Slaughter count avoided; includes animals raised abroad for imported meat.
DFU-102,D-STRETCH,2030,R3,poultry_spared,411817,367086,460634,head a year,FUF-03; demand_outputs.csv; balance_outputs.csv,VN-direct,Low,inferred,Chickens and ducks; range from FAOSTAT carcass yield per bird 2022 to 2024.
DFU-103,D-STRETCH,2030,R3,cattle_and_buffalo_spared,3406,3406,3650,head a year,FUF-03; demand_outputs.csv; balance_outputs.csv,VN-direct,Low,inferred,"Vietnamese carcass yields; imported beef comes from heavier animals, so this overstates head."
DFU-104,D-STRETCH,2030,R3,co2e_avoided_net_t,50115,28513,90755,t CO2e a year,FUF-04; FUF-05; FUF-07; FUF-08; demand_outputs.csv; balance_outputs.csv,VN-adjacent,Low,inferred,"Gross (GLEAM E and SE Asia humid-zone intensities x carcass displaced) minus replacement protein at 8.36 kg CO2e per kg protein. Low: GLEAM 10% lowest minus tofu-level replacement. High: higher of GLEAM 10% highest and Poore and Nemecek per-protein means, minus soy concentrate-level replacement."
DFU-105,D-STRETCH,2030,R4,meat_protein_displaced_t,594,,,t protein a year,demand_outputs.csv,VN-direct,Low,inferred,Model output (canteens and schools).
DFU-106,D-STRETCH,2030,R4,pigs_spared,34466,33952,34997,head a year,FUF-03; demand_outputs.csv; balance_outputs.csv,VN-direct,Low,inferred,Slaughter count avoided; includes animals raised abroad for imported meat.
DFU-107,D-STRETCH,2030,R4,poultry_spared,694229,618822,776522,head a year,FUF-03; demand_outputs.csv; balance_outputs.csv,VN-direct,Low,inferred,Chickens and ducks; range from FAOSTAT carcass yield per bird 2022 to 2024.
DFU-108,D-STRETCH,2030,R4,cattle_and_buffalo_spared,2207,2207,2364,head a year,FUF-03; demand_outputs.csv; balance_outputs.csv,VN-direct,Low,inferred,"Vietnamese carcass yields; imported beef comes from heavier animals, so this overstates head."
DFU-109,D-STRETCH,2030,R4,co2e_avoided_net_t,33463,16956,62175,t CO2e a year,FUF-04; FUF-05; FUF-07; FUF-08; demand_outputs.csv; balance_outputs.csv,VN-adjacent,Low,inferred,"Gross (GLEAM E and SE Asia humid-zone intensities x carcass displaced) minus replacement protein at 8.36 kg CO2e per kg protein. Low: GLEAM 10% lowest minus tofu-level replacement. High: higher of GLEAM 10% highest and Poore and Nemecek per-protein means, minus soy concentrate-level replacement."
