record_id,product,hs_code,year,value_usd,volume_t,main_markets,relevance_to_alt_protein,source_ids,evidence_label,confidence,demand_evidence_type,notes
EB-11,Rice flour,1102.90,2023,"13,260,000","13,296",Philippines 34.5%; US 30.0%; Australia 11.1%; New Zealand 6.3%,Minor; ingredient exports exist but small,EXP-39,VN-direct,High,revealed,Weight estimated by Comtrade.
EB-12,Cassava starch,1108.14,2023,"1,063,360,000","2,152,181",China 93.5%; Taiwan 2.5%; Philippines 0.9%; Malaysia 0.7%,Fermentation feedstock sold as starch; converting to protein at home would redirect an existing export,EXP-39,VN-direct,High,revealed,Same data as supply study TF-008.
EB-13,Food preparations n.e.s.,2106.90,2023,"378,730,000","52,037",China 31.2%; Philippines 20.3%; Thailand 15.3%; US 5.5%; Japan 3.8%; Korea 2.6%; Germany 2.3%,Code under which many plant-based meat analogues and prepared chay foods are classified; cannot be separated,EXP-39,VN-direct,High,revealed,Broad code; includes many non-protein preparations. Weight estimated.
EB-14,Protein concentrates and textured protein substances,2106.10,2023,"520,000",67,Japan 35.0%; US 27.7%; Korea 25.5%; Taiwan 4.8%; Australia 2.3%,Direct alternative protein ingredient export: negligible,EXP-39; XBA-28,VN-direct,High,revealed,"Imports of the same code about USD 34 million in 2023 (supply study TF-002). US-reported imports from Vietnam in 2024: USD 1.45 million, 195 t (EXP-40). Version 0.4: the tariff edge is unused: EU27 imports of textured protein from Vietnam were USD 0.01 million (3 t) in 2025 against USD 42.6 million from China; Japan and Korea took under USD 0.35 million a year from Vietnam against USD 11.5 to 32.0 million from China (XBA-28)."
EB-15,Peptones and other protein substances,3504,2023,"13,010,000","1,428",Spain 28.7%; UK 21.8%; Korea 13.2%; Denmark 7.9%; Netherlands 6.0%; Japan 4.4%,"Existing B2B protein ingredient export, probably largely fish collagen peptides from pangasius by-products (inferred)",EXP-39; EXP-49,VN-direct,Medium,revealed,Composition inferred from Vinh Wellness product line; not confirmed at 8-digit level.
EB-16,"Non-alcoholic beverages n.e.s. (incl. soy, nut and coconut drinks)",2202.99,2023,"160,730,000","109,663",US 19.7%; Cambodia 18.2%; Philippines 15.7%; China 10.8%; Hong Kong 6.5%; Australia 2.6%,Plant milk export platform; plant drinks cannot be separated from other beverages at HS6,EXP-39,VN-direct,High,revealed,EU duty on Vietnamese 2202.99 fell to 0% on 1 January 2025 (EXP-23).
EB-17,"Instant noodles (other pasta, prepared)",1902.30,2023,"268,080,000","90,831",US 23.6%; Cambodia 19.5%; Germany 8.1%; Poland 7.2%; Korea 4.6%; Taiwan 4.5%; Canada 4.5%; Russia 3.9%,Diaspora and Asian-grocer channel; vegetarian variants listed in US (EXP-37),EXP-39,VN-direct,High,revealed,Weight estimated by Comtrade.
EB-18,"Bread, pastry and other bakers' wares n.e.s. (incl. rice paper)",1905.90,2023,"302,310,000","75,150",US 13.4%; Japan 11.0%; Australia 9.7%; China 8.8%; Korea 8.3%; UK 6.7%,Rice paper and snacks: wrapper formats for protein-upgraded chay rolls,EXP-39,VN-direct,Medium,revealed,Rice paper classification under 1905.90 assumed; code is broad.
EB-19,"Sauces and condiments n.e.s. (incl. fish sauce, vegetarian sauces)",2103.90,2023,"112,760,000","32,583",Japan 27.4%; US 14.4%; Philippines 8.4%; Taiwan 5.8%; Germany 5.6%; Cambodia 4.1%; Korea 4.1%,Vegan fish sauce and vegetarian oyster sauce would sit here; not separable,EXP-39,VN-direct,High,revealed,Weight estimated by Comtrade.
EB-20,Desiccated coconut,0801.11,2023,"38,020,000","26,360",Egypt 25.4%; China 12.6%; Thailand 10.3%; South Africa 7.5%; Algeria 4.4%; Saudi Arabia 3.4%; Turkey 3.3%,Coconut-based dairy alternatives; shows existing trade with Muslim-majority markets,EXP-39,VN-direct,High,revealed,Coconut milk and cream lines are not separable at HS6 (may fall in 2106.90 or 2008.19).
EB-21,"Coconuts, fresh, not in inner shell",0801.19,2023,"32,270,000","28,745",Thailand 38.6%; China 14.1%; UAE 7.4%; Netherlands 6.5%; Korea 5.6%,Raw material for coconut drinks and dairy alternatives,EXP-39,VN-direct,High,revealed,Weight estimated by Comtrade.
EB-22,"Mushrooms, dried (other than Agaricus, shiitake, wood ear)",0712.39,2023,"810,000",23,US 87.5%; Japan 6.2%; Taiwan 4.3%,Mushroom-based products: negligible export base,EXP-39,VN-direct,High,revealed,Weight estimated by Comtrade.
EB-23,"Mushrooms, prepared or preserved",2003.90,2023,"7,510,000",,US 86.4%; Japan 4.3%; Hong Kong 3.9%; Singapore 3.9%,Mushroom-based products: small export base,EXP-39,VN-direct,High,revealed,Net weight not reported.
EB-24,Glutamic acid and its salts (mainly MSG),2922.42,2023,"106,490,000","62,875",Japan 45.6%; US 19.9%; Cambodia 18.0%; Philippines 6.6%; Netherlands 2.4%,Evidence of export-scale industrial fermentation (starch and molasses based) that a fermentation protein industry could build on,EXP-39,VN-direct,Medium,revealed,Producers not identified in this source.
EB-25,L-lysine and its salts,2922.41,2023,"1,270,000",933,Cambodia 83.6%; Laos 14.0%,Feed amino acid fermentation: negligible export,EXP-39,VN-direct,High,revealed,Weight estimated by Comtrade.
EB-26,Active yeasts,2102.10,2023,"13,330,000","4,042",Malaysia 32.0%; Indonesia 23.3%; Thailand 16.1%; Korea 7.1%; India 5.3%,Yeast fermentation capacity; regional B2B buyers,EXP-39,VN-direct,High,revealed,Weight estimated by Comtrade.
EB-27,Inactive yeasts and dead single-cell micro-organisms,2102.20,2023,"11,160,000","2,204",Japan 21.4%; US 18.9%; Singapore 13.1%; Finland 11.0%; Thailand 7.7%,Closest HS code to single-cell protein; small existing exports to demanding markets,EXP-39; FBA-19; FBA-17,VN-direct,High,revealed,"Weight estimated by Comtrade; composition not known. Version 0.4: partner-reported 2025 exports from Vietnam were 8,166 t at USD 1.39 per kg, mostly to the US and Japan (FBA-19); Vietnam also imported 9,193 t at about USD 1.1 per kg (FBA-17), the revealed price a microbial feed ingredient must beat."
EB-28,Animal feed preparations,2309.90,2023,"350,270,000","196,323",Malaysia 33.3%; Cambodia 16.7%; Philippines 9.1%; Taiwan 5.7%; Thailand 5.5%,Feed export channel into which a domestic novel feed protein could flow,EXP-39,VN-direct,High,revealed,Supply study reports total feed exports of about USD 1.4 to 1.5 billion in 2025 (different scope).
EB-29,"Fishmeal (flours, meals and pellets of fish)",2301.20,2023,"430,470,000","226,644",China 93.5%; Korea 1.5%; Thailand 1.5%; Japan 1.4%,Vietnam is a net fishmeal exporter by value; export demand is price-driven Chinese demand,EXP-39,VN-direct,High,revealed,Consistent with supply study (USD 430 million exported in 2023).
EB-30,"Stuffed pasta (dumplings, wontons and similar)",1902.20,2023,"128,200,000","30,013",US 22.7%; Australia 21.8%; UK 7.6%; Korea 7.1%; Canada 6.1%; Japan 5.8%; Netherlands 5.6%,"The existing export base for TPP-08 formats (vegetable or plant-protein dumplings and buns), about 250 times textured-protein exports; vegetarian share not identifiable at six digits",XBA-29; XBA-28,VN-direct,High,revealed,"Version 0.4: added. Partner-reported 2025 imports from Vietnam: US USD 48.1 million, EU27 32.4 million, Japan 15.5 million, UK 14.8 million, Korea 13.3 million, Australia 10.6 million (XBA-28). Vietnam out-supplies China and Thailand in the UK, US and Korea."
