record_id,indicator,vietnam_item_wording,subgroup,value,lower_95_ci,upper_95_ci,unit,n,fieldwork,derived,source_ids,evidence_label,confidence,demand_evidence_type,notes
DQV-011,"At least one pulse, nut, or seed",Q4 or Q21,All,46.95,42.03,51.9,% of adults 15+ on the previous day,1007,13 Nov to 12 Dec 2021,no,APR-36; BRD-01; BRD-02; BRD-03,VN-direct,Medium,revealed,"Weighted estimate; Gallup World Poll, mobile telephone, n = 1,007, design effect 2.56."
DQV-012,"At least one pulse, nut, or seed",Q4 or Q21,Female,48.48,41.34,55.68,% of adults 15+ on the previous day,460,13 Nov to 12 Dec 2021,no,APR-36; BRD-01; BRD-02; BRD-03,VN-direct,Medium,revealed,"Weighted estimate; Gallup World Poll, mobile telephone, n = 1,007, design effect 2.56."
DQV-013,"At least one pulse, nut, or seed",Q4 or Q21,Male,45.41,38.79,52.19,% of adults 15+ on the previous day,547,13 Nov to 12 Dec 2021,no,APR-36; BRD-01; BRD-02; BRD-03,VN-direct,Medium,revealed,"Weighted estimate; Gallup World Poll, mobile telephone, n = 1,007, design effect 2.56."
DQV-014,"At least one pulse, nut, or seed",Q4 or Q21,Urban,47.86,42.13,53.66,% of adults 15+ on the previous day,768,13 Nov to 12 Dec 2021,no,APR-36; BRD-01; BRD-02; BRD-03,VN-direct,Medium,revealed,"Weighted estimate; Gallup World Poll, mobile telephone, n = 1,007, design effect 2.56."
DQV-015,"At least one pulse, nut, or seed",Q4 or Q21,Rural,45.14,36.13,54.47,% of adults 15+ on the previous day,238,13 Nov to 12 Dec 2021,no,APR-36; BRD-01; BRD-02; BRD-03,VN-direct,Low,revealed,"Weighted estimate; Gallup World Poll, mobile telephone, n = 1,007, design effect 2.56."
DQV-016,Processed meats,"Q16: lạp xưởng, xúc xích heo, thịt hộp, pate hoặc xúc xích Ý (Chinese-style sausage, pork sausage, canned meat, pate, bologna or salami); giò and chả not named",All,18.1,14.44,22.09,% of adults 15+ on the previous day,1007,13 Nov to 12 Dec 2021,no,APR-36; BRD-01; BRD-02; BRD-03,VN-direct,Medium,revealed,"Weighted estimate; Gallup World Poll, mobile telephone, n = 1,007, design effect 2.56. The Vietnam item omits giò, chả and nem chua, the main Vietnamese processed meats, so this is a floor for processed-meat days."
DQV-017,Processed meats,"Q16: lạp xưởng, xúc xích heo, thịt hộp, pate hoặc xúc xích Ý (Chinese-style sausage, pork sausage, canned meat, pate, bologna or salami); giò and chả not named",Female,16.47,11.78,22.54,% of adults 15+ on the previous day,460,13 Nov to 12 Dec 2021,no,APR-36; BRD-01; BRD-02; BRD-03,VN-direct,Medium,revealed,"Weighted estimate; Gallup World Poll, mobile telephone, n = 1,007, design effect 2.56. The Vietnam item omits giò, chả and nem chua, the main Vietnamese processed meats, so this is a floor for processed-meat days."
DQV-018,Processed meats,"Q16: lạp xưởng, xúc xích heo, thịt hộp, pate hoặc xúc xích Ý (Chinese-style sausage, pork sausage, canned meat, pate, bologna or salami); giò and chả not named",Male,19.75,14.83,25.8,% of adults 15+ on the previous day,547,13 Nov to 12 Dec 2021,no,APR-36; BRD-01; BRD-02; BRD-03,VN-direct,Medium,revealed,"Weighted estimate; Gallup World Poll, mobile telephone, n = 1,007, design effect 2.56. The Vietnam item omits giò, chả and nem chua, the main Vietnamese processed meats, so this is a floor for processed-meat days."
DQV-019,Processed meats,"Q16: lạp xưởng, xúc xích heo, thịt hộp, pate hoặc xúc xích Ý (Chinese-style sausage, pork sausage, canned meat, pate, bologna or salami); giò and chả not named",Urban,17.17,13.28,21.91,% of adults 15+ on the previous day,768,13 Nov to 12 Dec 2021,no,APR-36; BRD-01; BRD-02; BRD-03,VN-direct,Medium,revealed,"Weighted estimate; Gallup World Poll, mobile telephone, n = 1,007, design effect 2.56. The Vietnam item omits giò, chả and nem chua, the main Vietnamese processed meats, so this is a floor for processed-meat days."
DQV-020,Processed meats,"Q16: lạp xưởng, xúc xích heo, thịt hộp, pate hoặc xúc xích Ý (Chinese-style sausage, pork sausage, canned meat, pate, bologna or salami); giò and chả not named",Rural,19.98,13.43,28.66,% of adults 15+ on the previous day,238,13 Nov to 12 Dec 2021,no,APR-36; BRD-01; BRD-02; BRD-03,VN-direct,Low,revealed,"Weighted estimate; Gallup World Poll, mobile telephone, n = 1,007, design effect 2.56. The Vietnam item omits giò, chả and nem chua, the main Vietnamese processed meats, so this is a floor for processed-meat days."
DQV-021,Unprocessed red meat,Q17 or Q18,All,76.07,71.63,80.25,% of adults 15+ on the previous day,1007,13 Nov to 12 Dec 2021,no,APR-36; BRD-01; BRD-02; BRD-03,VN-direct,Medium,revealed,"Weighted estimate; Gallup World Poll, mobile telephone, n = 1,007, design effect 2.56."
DQV-022,Unprocessed red meat,Q17 or Q18,Female,71.04,63.9,77.27,% of adults 15+ on the previous day,460,13 Nov to 12 Dec 2021,no,APR-36; BRD-01; BRD-02; BRD-03,VN-direct,Medium,revealed,"Weighted estimate; Gallup World Poll, mobile telephone, n = 1,007, design effect 2.56."
DQV-023,Unprocessed red meat,Q17 or Q18,Male,81.14,75.22,85.9,% of adults 15+ on the previous day,547,13 Nov to 12 Dec 2021,no,APR-36; BRD-01; BRD-02; BRD-03,VN-direct,Medium,revealed,"Weighted estimate; Gallup World Poll, mobile telephone, n = 1,007, design effect 2.56."
DQV-024,Unprocessed red meat,Q17 or Q18,Urban,74.74,69.13,79.62,% of adults 15+ on the previous day,768,13 Nov to 12 Dec 2021,no,APR-36; BRD-01; BRD-02; BRD-03,VN-direct,Medium,revealed,"Weighted estimate; Gallup World Poll, mobile telephone, n = 1,007, design effect 2.56."
DQV-025,Unprocessed red meat,Q17 or Q18,Rural,78.77,70.23,85.38,% of adults 15+ on the previous day,238,13 Nov to 12 Dec 2021,no,APR-36; BRD-01; BRD-02; BRD-03,VN-direct,Low,revealed,"Weighted estimate; Gallup World Poll, mobile telephone, n = 1,007, design effect 2.56."
DQV-026,Unprocessed red meat (non-ruminants),"Q18: pork, frog, or dog",All,70.73,66.15,75.1,% of adults 15+ on the previous day,1007,13 Nov to 12 Dec 2021,no,APR-36; BRD-01; BRD-02; BRD-03,VN-direct,Medium,revealed,"Weighted estimate; Gallup World Poll, mobile telephone, n = 1,007, design effect 2.56."
DQV-027,Unprocessed red meat (non-ruminants),"Q18: pork, frog, or dog",Female,66.5,59.38,72.94,% of adults 15+ on the previous day,460,13 Nov to 12 Dec 2021,no,APR-36; BRD-01; BRD-02; BRD-03,VN-direct,Medium,revealed,"Weighted estimate; Gallup World Poll, mobile telephone, n = 1,007, design effect 2.56."
DQV-028,Unprocessed red meat (non-ruminants),"Q18: pork, frog, or dog",Male,74.98,68.81,80.27,% of adults 15+ on the previous day,547,13 Nov to 12 Dec 2021,no,APR-36; BRD-01; BRD-02; BRD-03,VN-direct,Medium,revealed,"Weighted estimate; Gallup World Poll, mobile telephone, n = 1,007, design effect 2.56."
DQV-029,Unprocessed red meat (non-ruminants),"Q18: pork, frog, or dog",Urban,68.23,62.55,73.42,% of adults 15+ on the previous day,768,13 Nov to 12 Dec 2021,no,APR-36; BRD-01; BRD-02; BRD-03,VN-direct,Medium,revealed,"Weighted estimate; Gallup World Poll, mobile telephone, n = 1,007, design effect 2.56."
DQV-030,Unprocessed red meat (non-ruminants),"Q18: pork, frog, or dog",Rural,75.75,67.22,82.63,% of adults 15+ on the previous day,238,13 Nov to 12 Dec 2021,no,APR-36; BRD-01; BRD-02; BRD-03,VN-direct,Low,revealed,"Weighted estimate; Gallup World Poll, mobile telephone, n = 1,007, design effect 2.56."
DQV-031,Unprocessed red meat (ruminants),"Q17: beef, goat, sheep, or buffalo meat",All,32.6,28.19,37.18,% of adults 15+ on the previous day,1007,13 Nov to 12 Dec 2021,no,APR-36; BRD-01; BRD-02; BRD-03,VN-direct,Medium,revealed,"Weighted estimate; Gallup World Poll, mobile telephone, n = 1,007, design effect 2.56."
DQV-032,Unprocessed red meat (ruminants),"Q17: beef, goat, sheep, or buffalo meat",Female,26.69,21.11,33.12,% of adults 15+ on the previous day,460,13 Nov to 12 Dec 2021,no,APR-36; BRD-01; BRD-02; BRD-03,VN-direct,Medium,revealed,"Weighted estimate; Gallup World Poll, mobile telephone, n = 1,007, design effect 2.56."
DQV-033,Unprocessed red meat (ruminants),"Q17: beef, goat, sheep, or buffalo meat",Male,38.55,32.22,45.29,% of adults 15+ on the previous day,547,13 Nov to 12 Dec 2021,no,APR-36; BRD-01; BRD-02; BRD-03,VN-direct,Medium,revealed,"Weighted estimate; Gallup World Poll, mobile telephone, n = 1,007, design effect 2.56."
DQV-034,Unprocessed red meat (ruminants),"Q17: beef, goat, sheep, or buffalo meat",Urban,33.75,28.73,39.17,% of adults 15+ on the previous day,768,13 Nov to 12 Dec 2021,no,APR-36; BRD-01; BRD-02; BRD-03,VN-direct,Medium,revealed,"Weighted estimate; Gallup World Poll, mobile telephone, n = 1,007, design effect 2.56."
DQV-035,Unprocessed red meat (ruminants),"Q17: beef, goat, sheep, or buffalo meat",Rural,30.33,22.6,39.36,% of adults 15+ on the previous day,238,13 Nov to 12 Dec 2021,no,APR-36; BRD-01; BRD-02; BRD-03,VN-direct,Low,revealed,"Weighted estimate; Gallup World Poll, mobile telephone, n = 1,007, design effect 2.56."
DQV-036,Poultry,"Q19: chicken, duck, goose, quail, or pigeon",All,39.23,34.52,44.05,% of adults 15+ on the previous day,1007,13 Nov to 12 Dec 2021,no,APR-36; BRD-01; BRD-02; BRD-03,VN-direct,Medium,revealed,"Weighted estimate; Gallup World Poll, mobile telephone, n = 1,007, design effect 2.56."
DQV-037,Poultry,"Q19: chicken, duck, goose, quail, or pigeon",Female,37.81,31.18,44.94,% of adults 15+ on the previous day,460,13 Nov to 12 Dec 2021,no,APR-36; BRD-01; BRD-02; BRD-03,VN-direct,Medium,revealed,"Weighted estimate; Gallup World Poll, mobile telephone, n = 1,007, design effect 2.56."
DQV-038,Poultry,"Q19: chicken, duck, goose, quail, or pigeon",Male,40.66,34.21,47.44,% of adults 15+ on the previous day,547,13 Nov to 12 Dec 2021,no,APR-36; BRD-01; BRD-02; BRD-03,VN-direct,Medium,revealed,"Weighted estimate; Gallup World Poll, mobile telephone, n = 1,007, design effect 2.56."
DQV-039,Poultry,"Q19: chicken, duck, goose, quail, or pigeon",Urban,38.81,33.37,44.55,% of adults 15+ on the previous day,768,13 Nov to 12 Dec 2021,no,APR-36; BRD-01; BRD-02; BRD-03,VN-direct,Medium,revealed,"Weighted estimate; Gallup World Poll, mobile telephone, n = 1,007, design effect 2.56."
DQV-040,Poultry,"Q19: chicken, duck, goose, quail, or pigeon",Rural,40.09,31.5,49.34,% of adults 15+ on the previous day,238,13 Nov to 12 Dec 2021,no,APR-36; BRD-01; BRD-02; BRD-03,VN-direct,Low,revealed,"Weighted estimate; Gallup World Poll, mobile telephone, n = 1,007, design effect 2.56."
DQV-041,Fish or seafood,"Q20: fish, seafood, or aqua products",All,58.16,53.19,63.05,% of adults 15+ on the previous day,1007,13 Nov to 12 Dec 2021,no,APR-36; BRD-01; BRD-02; BRD-03,VN-direct,Medium,revealed,"Weighted estimate; Gallup World Poll, mobile telephone, n = 1,007, design effect 2.56."
DQV-042,Fish or seafood,"Q20: fish, seafood, or aqua products",Female,54.95,47.68,62.01,% of adults 15+ on the previous day,460,13 Nov to 12 Dec 2021,no,APR-36; BRD-01; BRD-02; BRD-03,VN-direct,Medium,revealed,"Weighted estimate; Gallup World Poll, mobile telephone, n = 1,007, design effect 2.56."
DQV-043,Fish or seafood,"Q20: fish, seafood, or aqua products",Male,61.39,54.51,67.85,% of adults 15+ on the previous day,547,13 Nov to 12 Dec 2021,no,APR-36; BRD-01; BRD-02; BRD-03,VN-direct,Medium,revealed,"Weighted estimate; Gallup World Poll, mobile telephone, n = 1,007, design effect 2.56."
DQV-044,Fish or seafood,"Q20: fish, seafood, or aqua products",Urban,55.84,49.97,61.55,% of adults 15+ on the previous day,768,13 Nov to 12 Dec 2021,no,APR-36; BRD-01; BRD-02; BRD-03,VN-direct,Medium,revealed,"Weighted estimate; Gallup World Poll, mobile telephone, n = 1,007, design effect 2.56."
DQV-045,Fish or seafood,"Q20: fish, seafood, or aqua products",Rural,62.81,53.31,71.42,% of adults 15+ on the previous day,238,13 Nov to 12 Dec 2021,no,APR-36; BRD-01; BRD-02; BRD-03,VN-direct,Low,revealed,"Weighted estimate; Gallup World Poll, mobile telephone, n = 1,007, design effect 2.56."
DQV-046,Eggs,"Q13: chicken, duck or quail eggs",All,65.12,60.29,69.81,% of adults 15+ on the previous day,1007,13 Nov to 12 Dec 2021,no,APR-36; BRD-01; BRD-02; BRD-03,VN-direct,Medium,revealed,"Weighted estimate; Gallup World Poll, mobile telephone, n = 1,007, design effect 2.56."
DQV-047,Eggs,"Q13: chicken, duck or quail eggs",Female,66.39,59.27,72.83,% of adults 15+ on the previous day,460,13 Nov to 12 Dec 2021,no,APR-36; BRD-01; BRD-02; BRD-03,VN-direct,Medium,revealed,"Weighted estimate; Gallup World Poll, mobile telephone, n = 1,007, design effect 2.56."
DQV-048,Eggs,"Q13: chicken, duck or quail eggs",Male,63.85,56.94,70.24,% of adults 15+ on the previous day,547,13 Nov to 12 Dec 2021,no,APR-36; BRD-01; BRD-02; BRD-03,VN-direct,Medium,revealed,"Weighted estimate; Gallup World Poll, mobile telephone, n = 1,007, design effect 2.56."
DQV-049,Eggs,"Q13: chicken, duck or quail eggs",Urban,66.02,60.33,71.28,% of adults 15+ on the previous day,768,13 Nov to 12 Dec 2021,no,APR-36; BRD-01; BRD-02; BRD-03,VN-direct,Medium,revealed,"Weighted estimate; Gallup World Poll, mobile telephone, n = 1,007, design effect 2.56."
DQV-050,Eggs,"Q13: chicken, duck or quail eggs",Rural,63.37,53.89,71.91,% of adults 15+ on the previous day,238,13 Nov to 12 Dec 2021,no,APR-36; BRD-01; BRD-02; BRD-03,VN-direct,Low,revealed,"Weighted estimate; Gallup World Poll, mobile telephone, n = 1,007, design effect 2.56."
DQV-051,Dairy,"Q14, Q15 or Q25 (cheese, yogurt, fresh or powdered milk)",All,45.83,40.92,50.78,% of adults 15+ on the previous day,1007,13 Nov to 12 Dec 2021,no,APR-36; BRD-01; BRD-02; BRD-03,VN-direct,Medium,revealed,"Weighted estimate; Gallup World Poll, mobile telephone, n = 1,007, design effect 2.56."
DQV-052,Dairy,"Q14, Q15 or Q25 (cheese, yogurt, fresh or powdered milk)",Female,58.67,51.59,65.41,% of adults 15+ on the previous day,460,13 Nov to 12 Dec 2021,no,APR-36; BRD-01; BRD-02; BRD-03,VN-direct,Medium,revealed,"Weighted estimate; Gallup World Poll, mobile telephone, n = 1,007, design effect 2.56."
DQV-053,Dairy,"Q14, Q15 or Q25 (cheese, yogurt, fresh or powdered milk)",Male,32.91,27.11,39.29,% of adults 15+ on the previous day,547,13 Nov to 12 Dec 2021,no,APR-36; BRD-01; BRD-02; BRD-03,VN-direct,Medium,revealed,"Weighted estimate; Gallup World Poll, mobile telephone, n = 1,007, design effect 2.56."
DQV-054,Dairy,"Q14, Q15 or Q25 (cheese, yogurt, fresh or powdered milk)",Urban,49.25,43.47,55.04,% of adults 15+ on the previous day,768,13 Nov to 12 Dec 2021,no,APR-36; BRD-01; BRD-02; BRD-03,VN-direct,Medium,revealed,"Weighted estimate; Gallup World Poll, mobile telephone, n = 1,007, design effect 2.56."
DQV-055,Dairy,"Q14, Q15 or Q25 (cheese, yogurt, fresh or powdered milk)",Rural,38.98,30.34,48.37,% of adults 15+ on the previous day,238,13 Nov to 12 Dec 2021,no,APR-36; BRD-01; BRD-02; BRD-03,VN-direct,Low,revealed,"Weighted estimate; Gallup World Poll, mobile telephone, n = 1,007, design effect 2.56."
DQV-056,Milk,Q25: fresh milk or powdered milk,All,32.35,27.76,37.11,% of adults 15+ on the previous day,1007,13 Nov to 12 Dec 2021,no,APR-36; BRD-01; BRD-02; BRD-03,VN-direct,Medium,revealed,"Weighted estimate; Gallup World Poll, mobile telephone, n = 1,007, design effect 2.56."
DQV-057,Milk,Q25: fresh milk or powdered milk,Female,41.18,34.26,48.46,% of adults 15+ on the previous day,460,13 Nov to 12 Dec 2021,no,APR-36; BRD-01; BRD-02; BRD-03,VN-direct,Medium,revealed,"Weighted estimate; Gallup World Poll, mobile telephone, n = 1,007, design effect 2.56."
DQV-058,Milk,Q25: fresh milk or powdered milk,Male,23.47,18.35,29.5,% of adults 15+ on the previous day,547,13 Nov to 12 Dec 2021,no,APR-36; BRD-01; BRD-02; BRD-03,VN-direct,Medium,revealed,"Weighted estimate; Gallup World Poll, mobile telephone, n = 1,007, design effect 2.56."
DQV-059,Milk,Q25: fresh milk or powdered milk,Urban,33.56,28.2,39.37,% of adults 15+ on the previous day,768,13 Nov to 12 Dec 2021,no,APR-36; BRD-01; BRD-02; BRD-03,VN-direct,Medium,revealed,"Weighted estimate; Gallup World Poll, mobile telephone, n = 1,007, design effect 2.56."
DQV-060,Milk,Q25: fresh milk or powdered milk,Rural,29.9,22.12,39.04,% of adults 15+ on the previous day,238,13 Nov to 12 Dec 2021,no,APR-36; BRD-01; BRD-02; BRD-03,VN-direct,Low,revealed,"Weighted estimate; Gallup World Poll, mobile telephone, n = 1,007, design effect 2.56."
DQV-061,"Meat, poultry, or fish",Q16 to Q20,All,92.12,89.05,94.73,% of adults 15+ on the previous day,1007,13 Nov to 12 Dec 2021,no,APR-36; BRD-01; BRD-02; BRD-03,VN-direct,Medium,revealed,"Weighted estimate; Gallup World Poll, mobile telephone, n = 1,007, design effect 2.56."
DQV-062,"Meat, poultry, or fish",Q16 to Q20,Female,90.94,85.47,94.48,% of adults 15+ on the previous day,460,13 Nov to 12 Dec 2021,no,APR-36; BRD-01; BRD-02; BRD-03,VN-direct,Medium,revealed,"Weighted estimate; Gallup World Poll, mobile telephone, n = 1,007, design effect 2.56."
DQV-063,"Meat, poultry, or fish",Q16 to Q20,Male,93.32,88.71,96.13,% of adults 15+ on the previous day,547,13 Nov to 12 Dec 2021,no,APR-36; BRD-01; BRD-02; BRD-03,VN-direct,Medium,revealed,"Weighted estimate; Gallup World Poll, mobile telephone, n = 1,007, design effect 2.56."
DQV-064,"Meat, poultry, or fish",Q16 to Q20,Urban,91.42,87.14,94.37,% of adults 15+ on the previous day,768,13 Nov to 12 Dec 2021,no,APR-36; BRD-01; BRD-02; BRD-03,VN-direct,Medium,revealed,"Weighted estimate; Gallup World Poll, mobile telephone, n = 1,007, design effect 2.56."
DQV-065,"Meat, poultry, or fish",Q16 to Q20,Rural,93.57,86.97,96.95,% of adults 15+ on the previous day,238,13 Nov to 12 Dec 2021,no,APR-36; BRD-01; BRD-02; BRD-03,VN-direct,Low,revealed,"Weighted estimate; Gallup World Poll, mobile telephone, n = 1,007, design effect 2.56."
DQV-066,"No meat, poultry or fish (flesh-free day)",Complement of Q16 to Q20,All,7.88,5.27,10.95,% of adults 15+ on the previous day,1007,13 Nov to 12 Dec 2021,yes (100 minus value; our calculation),APR-36; BRD-01,VN-direct,Medium,revealed,"Upper bound on chay-day person-days in a month without festivals: a chay day is flesh-free, but flesh-free days also arise for other reasons."
DQV-067,"No meat, poultry or fish (flesh-free day)",Complement of Q16 to Q20,Female,9.06,5.52,14.53,% of adults 15+ on the previous day,460,13 Nov to 12 Dec 2021,yes (100 minus value; our calculation),APR-36; BRD-01,VN-direct,Medium,revealed,"Upper bound on chay-day person-days in a month without festivals: a chay day is flesh-free, but flesh-free days also arise for other reasons."
DQV-068,"No meat, poultry or fish (flesh-free day)",Complement of Q16 to Q20,Male,6.68,3.87,11.29,% of adults 15+ on the previous day,547,13 Nov to 12 Dec 2021,yes (100 minus value; our calculation),APR-36; BRD-01,VN-direct,Medium,revealed,"Upper bound on chay-day person-days in a month without festivals: a chay day is flesh-free, but flesh-free days also arise for other reasons."
DQV-069,"No meat, poultry or fish (flesh-free day)",Complement of Q16 to Q20,Urban,8.58,5.63,12.86,% of adults 15+ on the previous day,768,13 Nov to 12 Dec 2021,yes (100 minus value; our calculation),APR-36; BRD-01,VN-direct,Medium,revealed,"Upper bound on chay-day person-days in a month without festivals: a chay day is flesh-free, but flesh-free days also arise for other reasons."
DQV-070,"No meat, poultry or fish (flesh-free day)",Complement of Q16 to Q20,Rural,6.43,3.05,13.03,% of adults 15+ on the previous day,238,13 Nov to 12 Dec 2021,yes (100 minus value; our calculation),APR-36; BRD-01,VN-direct,Low,revealed,"Upper bound on chay-day person-days in a month without festivals: a chay day is flesh-free, but flesh-free days also arise for other reasons."
DQV-071,At least one animal-source food,Q13 to Q20 or Q25,All,95.68,93.05,97.71,% of adults 15+ on the previous day,1007,13 Nov to 12 Dec 2021,no,APR-36; BRD-01; BRD-02; BRD-03,VN-direct,Medium,revealed,"Weighted estimate; Gallup World Poll, mobile telephone, n = 1,007, design effect 2.56."
DQV-072,At least one animal-source food,Q13 to Q20 or Q25,Female,96.23,91.31,98.41,% of adults 15+ on the previous day,460,13 Nov to 12 Dec 2021,no,APR-36; BRD-01; BRD-02; BRD-03,VN-direct,Medium,revealed,"Weighted estimate; Gallup World Poll, mobile telephone, n = 1,007, design effect 2.56."
DQV-073,At least one animal-source food,Q13 to Q20 or Q25,Male,95.13,90.38,97.6,% of adults 15+ on the previous day,547,13 Nov to 12 Dec 2021,no,APR-36; BRD-01; BRD-02; BRD-03,VN-direct,Medium,revealed,"Weighted estimate; Gallup World Poll, mobile telephone, n = 1,007, design effect 2.56."
DQV-074,At least one animal-source food,Q13 to Q20 or Q25,Urban,96.24,92.43,98.17,% of adults 15+ on the previous day,768,13 Nov to 12 Dec 2021,no,APR-36; BRD-01; BRD-02; BRD-03,VN-direct,Medium,revealed,"Weighted estimate; Gallup World Poll, mobile telephone, n = 1,007, design effect 2.56."
DQV-075,At least one animal-source food,Q13 to Q20 or Q25,Rural,94.57,87.84,97.67,% of adults 15+ on the previous day,238,13 Nov to 12 Dec 2021,no,APR-36; BRD-01; BRD-02; BRD-03,VN-direct,Low,revealed,"Weighted estimate; Gallup World Poll, mobile telephone, n = 1,007, design effect 2.56."
DQV-076,No animal-source food,Complement of Q13 to Q20 and Q25,All,4.32,2.29,6.95,% of adults 15+ on the previous day,1007,13 Nov to 12 Dec 2021,yes (100 minus value; our calculation),APR-36; BRD-01,VN-direct,Low,revealed,"Plant-only days (no eggs, dairy, meat or fish)."
DQV-077,No animal-source food,Complement of Q13 to Q20 and Q25,Female,3.77,1.59,8.69,% of adults 15+ on the previous day,460,13 Nov to 12 Dec 2021,yes (100 minus value; our calculation),APR-36; BRD-01,VN-direct,Low,revealed,"Plant-only days (no eggs, dairy, meat or fish)."
DQV-078,No animal-source food,Complement of Q13 to Q20 and Q25,Male,4.87,2.40,9.62,% of adults 15+ on the previous day,547,13 Nov to 12 Dec 2021,yes (100 minus value; our calculation),APR-36; BRD-01,VN-direct,Low,revealed,"Plant-only days (no eggs, dairy, meat or fish)."
DQV-079,No animal-source food,Complement of Q13 to Q20 and Q25,Urban,3.76,1.83,7.57,% of adults 15+ on the previous day,768,13 Nov to 12 Dec 2021,yes (100 minus value; our calculation),APR-36; BRD-01,VN-direct,Low,revealed,"Plant-only days (no eggs, dairy, meat or fish)."
