record_id,sku_id,product_name,brand,product_type,protein_g_per_100g,energy_kcal_per_100g,protein_g_per_100kcal,meets_source_per_100g,meets_high_per_100g,meets_source_any_route,meets_high_any_route,claim_on_pack,source_ids,evidence_label,confidence,demand_evidence_type,notes
P021,P021,Chả Giò Chay (vegetarian spring rolls),Vissan,dumpling/spring roll/bun with vegetable filling,4.26,,,no,no,no (per 100 g only),no (per 100 g only),none recorded,FORM-01; LBL-03; LBL-04,VN-direct,Medium,revealed,"Thresholds from TCVN 14429:2025 Table 1 (source 10% of NRV per 100 g or 5% of NRV per 100 kcal; high twice source) with the 50 g protein NRV of TCVN 7088:2025 and Circular 30/2026 (our calculation). Serving route not tested (serving sizes not recorded). No energy value, so only the per 100 g route is tested."
P119,P119,Chả Giò Bánh Tráng Chay,Cầu Tre (CJ Foods Vietnam),dumpling/spring roll/bun with vegetable filling,4.39,149.0,2.95,no,no,yes,no,none recorded,FORM-01; LBL-03; LBL-04,VN-direct,Medium,revealed,Thresholds from TCVN 14429:2025 Table 1 (source 10% of NRV per 100 g or 5% of NRV per 100 kcal; high twice source) with the 50 g protein NRV of TCVN 7088:2025 and Circular 30/2026 (our calculation). Serving route not tested (serving sizes not recorded).
P092,P092,Heo Hầm Chay,Vissan,canned analog,4.5,59.0,7.63,no,no,yes,yes,none recorded,FORM-01; LBL-03; LBL-04,VN-direct,Medium,revealed,Thresholds from TCVN 14429:2025 Table 1 (source 10% of NRV per 100 g or 5% of NRV per 100 kcal; high twice source) with the 50 g protein NRV of TCVN 7088:2025 and Circular 30/2026 (our calculation). Serving route not tested (serving sizes not recorded).
P042,P042,Chả Giò Đa Xốp Chay (crispy multi-layer-wrapper vegetarian spring rolls),Cầu Tre (CJ Foods Vietnam),dumpling/spring roll/bun with vegetable filling,4.59,,,no,no,no (per 100 g only),no (per 100 g only),none recorded,FORM-01; LBL-03; LBL-04,VN-direct,Medium,revealed,"Thresholds from TCVN 14429:2025 Table 1 (source 10% of NRV per 100 g or 5% of NRV per 100 kcal; high twice source) with the 50 g protein NRV of TCVN 7088:2025 and Circular 30/2026 (our calculation). Serving route not tested (serving sizes not recorded). No energy value, so only the per 100 g route is tested."
P111,P111,Chả Giò Bắp,Co.op Select,dumpling/spring roll/bun with vegetable filling,4.6,153.0,3.01,no,no,yes,no,none recorded,FORM-01; LBL-03; LBL-04,VN-direct,Medium,revealed,Thresholds from TCVN 14429:2025 Table 1 (source 10% of NRV per 100 g or 5% of NRV per 100 kcal; high twice source) with the 50 g protein NRV of TCVN 7088:2025 and Circular 30/2026 (our calculation). Serving route not tested (serving sizes not recorded).
P131,P131,Đậu Hũ Trắng,Tafu,tofu,4.71,53.0,8.89,no,no,yes,yes,none recorded,FORM-01; LBL-03; LBL-04,VN-direct,Medium,revealed,Thresholds from TCVN 14429:2025 Table 1 (source 10% of NRV per 100 g or 5% of NRV per 100 kcal; high twice source) with the 50 g protein NRV of TCVN 7088:2025 and Circular 30/2026 (our calculation). Serving route not tested (serving sizes not recorded).
P132,P132,Đậu Hũ Non,Co.op Select,tofu,4.98,52.0,9.58,no,no,yes,yes,none recorded,FORM-01; LBL-03; LBL-04,VN-direct,Medium,revealed,Thresholds from TCVN 14429:2025 Table 1 (source 10% of NRV per 100 g or 5% of NRV per 100 kcal; high twice source) with the 50 g protein NRV of TCVN 7088:2025 and Circular 30/2026 (our calculation). Serving route not tested (serving sizes not recorded).
P104,P104,Bánh Bao Nấm Chay,Co.op Select,dumpling/spring roll/bun with vegetable filling,5.0,212.0,2.36,yes,no,yes,no,none recorded,FORM-01; LBL-03; LBL-04,VN-direct,Medium,revealed,Thresholds from TCVN 14429:2025 Table 1 (source 10% of NRV per 100 g or 5% of NRV per 100 kcal; high twice source) with the 50 g protein NRV of TCVN 7088:2025 and Circular 30/2026 (our calculation). Serving route not tested (serving sizes not recorded).
P110,P110,Hoành Thánh Chay,Top.V (Agrex Saigon),dumpling/spring roll/bun with vegetable filling,5.37,133.0,4.04,yes,no,yes,no,none recorded,FORM-01; LBL-03; LBL-04,VN-direct,Medium,revealed,Thresholds from TCVN 14429:2025 Table 1 (source 10% of NRV per 100 g or 5% of NRV per 100 kcal; high twice source) with the 50 g protein NRV of TCVN 7088:2025 and Circular 30/2026 (our calculation). Serving route not tested (serving sizes not recorded).
P112,P112,Chả Giò Khoai Mỡ,Co.op Select,dumpling/spring roll/bun with vegetable filling,5.7,160.0,3.56,yes,no,yes,no,none recorded,FORM-01; LBL-03; LBL-04,VN-direct,Medium,revealed,Thresholds from TCVN 14429:2025 Table 1 (source 10% of NRV per 100 g or 5% of NRV per 100 kcal; high twice source) with the 50 g protein NRV of TCVN 7088:2025 and Circular 30/2026 (our calculation). Serving route not tested (serving sizes not recorded).
P106,P106,Bánh Bao Chay,Cholimex,dumpling/spring roll/bun with vegetable filling,5.74,204.0,2.81,yes,no,yes,no,none recorded,FORM-01; LBL-03; LBL-04,VN-direct,Medium,revealed,Thresholds from TCVN 14429:2025 Table 1 (source 10% of NRV per 100 g or 5% of NRV per 100 kcal; high twice source) with the 50 g protein NRV of TCVN 7088:2025 and Circular 30/2026 (our calculation). Serving route not tested (serving sizes not recorded).
P121,P121,Bánh Bao Chay Mè Đen,MANI,dumpling/spring roll/bun with vegetable filling,6.3,223.0,2.83,yes,no,yes,no,none recorded,FORM-01; LBL-03; LBL-04,VN-direct,Medium,revealed,Thresholds from TCVN 14429:2025 Table 1 (source 10% of NRV per 100 g or 5% of NRV per 100 kcal; high twice source) with the 50 g protein NRV of TCVN 7088:2025 and Circular 30/2026 (our calculation). Serving route not tested (serving sizes not recorded).
P150,P150,Plain Allium-less Vegetable Bun,unbranded/illegible,dumpling/spring roll/bun with vegetable filling,6.3,198.0,3.18,yes,no,yes,no,none recorded,FORM-01; LBL-03; LBL-04,VN-direct,Medium,revealed,Thresholds from TCVN 14429:2025 Table 1 (source 10% of NRV per 100 g or 5% of NRV per 100 kcal; high twice source) with the 50 g protein NRV of TCVN 7088:2025 and Circular 30/2026 (our calculation). Serving route not tested (serving sizes not recorded).
P160,P160,Cashew Cream Cheese Classic,Deep Blue Island,vegan cheese/spread,8.03,261.0,3.08,yes,no,yes,no,none recorded,FORM-01; LBL-03; LBL-04,VN-direct,Medium,revealed,Thresholds from TCVN 14429:2025 Table 1 (source 10% of NRV per 100 g or 5% of NRV per 100 kcal; high twice source) with the 50 g protein NRV of TCVN 7088:2025 and Circular 30/2026 (our calculation). Serving route not tested (serving sizes not recorded).
P129,P129,Đậu Hũ Momen,Ichiban,tofu,8.92,102.0,8.75,yes,no,yes,yes,none recorded,FORM-01; LBL-03; LBL-04,VN-direct,Medium,revealed,Thresholds from TCVN 14429:2025 Table 1 (source 10% of NRV per 100 g or 5% of NRV per 100 kcal; high twice source) with the 50 g protein NRV of TCVN 7088:2025 and Circular 30/2026 (our calculation). Serving route not tested (serving sizes not recorded).
P151,P151,Falafel Burgur,Maris,other,9.0,212.0,4.25,yes,no,yes,no,none recorded,FORM-01; LBL-03; LBL-04,VN-direct,Medium,revealed,Thresholds from TCVN 14429:2025 Table 1 (source 10% of NRV per 100 g or 5% of NRV per 100 kcal; high twice source) with the 50 g protein NRV of TCVN 7088:2025 and Circular 30/2026 (our calculation). Serving route not tested (serving sizes not recorded).
P152,P152,Falafel Nugget,Maris,other,9.0,212.0,4.25,yes,no,yes,no,none recorded,FORM-01; LBL-03; LBL-04,VN-direct,Medium,revealed,Thresholds from TCVN 14429:2025 Table 1 (source 10% of NRV per 100 g or 5% of NRV per 100 kcal; high twice source) with the 50 g protein NRV of TCVN 7088:2025 and Circular 30/2026 (our calculation). Serving route not tested (serving sizes not recorded).
P144,P144,Thịt Nguội Chay Đậu Nành - Original,Ông Chà Và / NOSAFOOD,canned analog,9.08,183.0,4.96,yes,no,yes,no,none recorded,FORM-01; LBL-03; LBL-04,VN-direct,Medium,revealed,Thresholds from TCVN 14429:2025 Table 1 (source 10% of NRV per 100 g or 5% of NRV per 100 kcal; high twice source) with the 50 g protein NRV of TCVN 7088:2025 and Circular 30/2026 (our calculation). Serving route not tested (serving sizes not recorded).
P130,P130,Đậu Hũ Trắng,Co.op Select,tofu,9.3,109.0,8.53,yes,no,yes,yes,none recorded,FORM-01; LBL-03; LBL-04,VN-direct,Medium,revealed,Thresholds from TCVN 14429:2025 Table 1 (source 10% of NRV per 100 g or 5% of NRV per 100 kcal; high twice source) with the 50 g protein NRV of TCVN 7088:2025 and Circular 30/2026 (our calculation). Serving route not tested (serving sizes not recorded).
P159,P159,Cashew Cream Cheese Smoked Paprika,Deep Blue Island,vegan cheese/spread,9.7,342.0,2.84,yes,no,yes,no,none recorded,FORM-01; LBL-03; LBL-04,VN-direct,Medium,revealed,Thresholds from TCVN 14429:2025 Table 1 (source 10% of NRV per 100 g or 5% of NRV per 100 kcal; high twice source) with the 50 g protein NRV of TCVN 7088:2025 and Circular 30/2026 (our calculation). Serving route not tested (serving sizes not recorded).
P095,P095,Cá Kèo Chay (Vegan Spiny Goby),An Nhiên,frozen meat/seafood analog,12.0,180.0,6.67,yes,yes,yes,yes,none recorded,FORM-01; LBL-03; LBL-04,VN-direct,Medium,revealed,Thresholds from TCVN 14429:2025 Table 1 (source 10% of NRV per 100 g or 5% of NRV per 100 kcal; high twice source) with the 50 g protein NRV of TCVN 7088:2025 and Circular 30/2026 (our calculation). Serving route not tested (serving sizes not recorded).
P153,P153,Plant Based Burger,Unconventional,frozen meat/seafood analog,15.0,210.0,7.14,yes,yes,yes,yes,none recorded,FORM-01; LBL-03; LBL-04,VN-direct,Medium,revealed,Thresholds from TCVN 14429:2025 Table 1 (source 10% of NRV per 100 g or 5% of NRV per 100 kcal; high twice source) with the 50 g protein NRV of TCVN 7088:2025 and Circular 30/2026 (our calculation). Serving route not tested (serving sizes not recorded).
P154,P154,Plant Based Sausages,Unconventional,frozen meat/seafood analog,16.0,210.0,7.62,yes,yes,yes,yes,none recorded,FORM-01; LBL-03; LBL-04,VN-direct,Medium,revealed,Thresholds from TCVN 14429:2025 Table 1 (source 10% of NRV per 100 g or 5% of NRV per 100 kcal; high twice source) with the 50 g protein NRV of TCVN 7088:2025 and Circular 30/2026 (our calculation). Serving route not tested (serving sizes not recorded).
P097,P097,Giò Thủ Chay,An Nhiên,frozen meat/seafood analog,18.8,219.0,8.58,yes,yes,yes,yes,none recorded,FORM-01; LBL-03; LBL-04,VN-direct,Medium,revealed,Thresholds from TCVN 14429:2025 Table 1 (source 10% of NRV per 100 g or 5% of NRV per 100 kcal; high twice source) with the 50 g protein NRV of TCVN 7088:2025 and Circular 30/2026 (our calculation). Serving route not tested (serving sizes not recorded).
P139,P139,Phi Lê Cá Hồi Chay (Vegan Fish Fillet),An Nhiên,frozen meat/seafood analog,19.0,220.0,8.64,yes,yes,yes,yes,none recorded,FORM-01; LBL-03; LBL-04,VN-direct,Medium,revealed,Thresholds from TCVN 14429:2025 Table 1 (source 10% of NRV per 100 g or 5% of NRV per 100 kcal; high twice source) with the 50 g protein NRV of TCVN 7088:2025 and Circular 30/2026 (our calculation). Serving route not tested (serving sizes not recorded).
P096,P096,Chả Cá Chay,An Nhiên,frozen meat/seafood analog,19.7,246.0,8.01,yes,yes,yes,yes,none recorded,FORM-01; LBL-03; LBL-04,VN-direct,Medium,revealed,Thresholds from TCVN 14429:2025 Table 1 (source 10% of NRV per 100 g or 5% of NRV per 100 kcal; high twice source) with the 50 g protein NRV of TCVN 7088:2025 and Circular 30/2026 (our calculation). Serving route not tested (serving sizes not recorded).
P102,P102,Chả Khoanh Chay,Âu Lạc (Anlac Vegan Food),frozen meat/seafood analog,25.1,179.0,14.02,yes,yes,yes,yes,none recorded,FORM-01; LBL-03; LBL-04,VN-direct,Medium,revealed,Thresholds from TCVN 14429:2025 Table 1 (source 10% of NRV per 100 g or 5% of NRV per 100 kcal; high twice source) with the 50 g protein NRV of TCVN 7088:2025 and Circular 30/2026 (our calculation). Serving route not tested (serving sizes not recorded).
