record_id,brand,owner,ownership_country,manufacturer,plant_location_current_province,product_types,main_protein_inputs,n_skus_in_audit,public_scale_info,source_ids,evidence_label,confidence,notes
BR-022,SG Food,"Saigon Food JSC (Công ty CP Sài Gòn Food), tax code 0302994301",Vietnam (shareholders not verified),Saigon Food JSC,"Ho Chi Minh City, Vĩnh Lộc Industrial Park, Vĩnh Lộc commune (former Bình Chánh district)",chay fried rice; chay Thai hotpot kit,"brown rice; small amounts of analog pieces (fish ball 2.8%, sausage 2%)",3,"Collector OSINT: est. 2003, about 2,000 staff (claim); long Japanese partnerships (company site)",FORM-01; FORM-31; FORM-32,VN-direct,Medium,Chay is a small line in a ready-meal and seafood business.
BR-023,Tartine,Not verified,Vietnam (per log),Not verified,Not verified,"hummus, pesto","chickpea; none (basil, olive oil)",2,,FORM-01,VN-direct,Low,Minor brand in this audit; not researched in depth.
BR-024,Unconventional,Italian brand (believed Gruppo Veronesi; unverified),Italy,Imported,Italy,frozen burger and sausage,"soy protein concentrate, isolate, textured soy",2,,FORM-01,VN-direct,Low,"The only extruded high-moisture-style ""modern"" analog in the audit, and it is imported."
BR-025,Vifon,Vifon JSC,Vietnam,Not verified,Not verified,instant noodles,wheat flour (instant noodle),2,,FORM-01,VN-direct,Low,Minor brand in this audit; not researched in depth.
BR-026,TH true NUT,TH Group (TH true milk),Vietnam,TH,Not verified (TH dairy complex is in Nghệ An; not verified for nut milks),nut milks,"walnut, macadamia, almond, oat; fresh cow milk in walnut variant",2,,FORM-01,VN-direct,Medium,Walnut variant contains cow milk: not vegan.
BR-027,Orgain,Orgain (US),United States,Imported,Not verified,plant protein powder,pea protein,2,,FORM-01,VN-direct,Low,Minor brand in this audit; not researched in depth.
BR-028,Pulmuone,Pulmuone (South Korea),South Korea (VN manufacture not verified),Not verified,Not verified,tofu,soybean (tofu),2,,FORM-01,VN-direct,Low,Minor brand in this audit; not researched in depth.
BR-029,P.G.P,Not identified,Vietnam (per log),Not verified,Not verified,chay sausage / fish cake,unknown,2,,FORM-01,VN-direct,Low,Minor brand in this audit; not researched in depth.
BR-030,Ichiban,Not verified,Vietnam (per log),Not verified,Not verified,"tofu, chilled soy milk",soybean; soybean (tofu),2,,FORM-01,VN-direct,Low,Minor brand in this audit; not researched in depth.
BR-031,Maris,Not verified,Vietnam (per log),Not verified,Not verified,falafel patties and nuggets,chickpea,2,,FORM-01,VN-direct,Low,
BR-032,Alternative Dairy Co,Not verified,Australia,Imported,Not verified,oat milk,oat,1,,FORM-01,VN-direct,Low,Minor brand in this audit; not researched in depth.
BR-033,Almond Breeze,Blue Diamond Growers,United States,Imported,Not verified,almond milk,nuts (almond),1,,FORM-01,VN-direct,Low,Minor brand in this audit; not researched in depth.
BR-034,Flora,Upfield (believed),Imported,Imported,Not verified,plant spread,none (plant oils),1,,FORM-01,VN-direct,Low,Minor brand in this audit; not researched in depth.
BR-035,Dragon Superfoods,Not verified,Imported (log: Bulgaria),Imported,Not verified,hemp protein,hemp,1,,FORM-01,VN-direct,Low,Minor brand in this audit; not researched in depth.
BR-036,Diet Food,Not verified,Imported (log: Lithuania),Imported,Not verified,hemp protein,hemp,1,,FORM-01,VN-direct,Low,Minor brand in this audit; not researched in depth.
BR-037,Bragg,Bragg Live Food Products,United States,Imported,Not verified,nutritional yeast,yeast (nutritional yeast),1,,FORM-01,VN-direct,Low,Minor brand in this audit; not researched in depth.
BR-038,MANI,Not verified,Vietnam (per log),Not verified,Not verified,buns,wheat flour (bun),1,,FORM-01,VN-direct,Low,Minor brand in this audit; not researched in depth.
BR-039,LC Foods,"LC Foods JSC, tax code 3702777811",Vietnam,LC Foods JSC,"Ho Chi Minh City, Rạch Bắp Industrial Park, Tây Nam ward (former Bình Dương province, Bến Cát)",frozen spring rolls,mung bean; textured soy protein granules 4-7 mm,1,,FORM-01; FORM-28,VN-direct,Medium,"Explicitly specifies ""soya TVP granule 4-7 mm"": a standard imported extrudate size."
BR-040,Homesoy,Not verified,Not verified (log: Vietnam),Not verified,Not verified,soy milk,soybean,1,,FORM-01,VN-direct,Low,Minor brand in this audit; not researched in depth.
BR-041,Hue One Food,Not verified,Vietnam (per log),Not verified,Not verified,tapioca dumplings,"none (tapioca, vegetables)",1,,FORM-01,VN-direct,Low,Minor brand in this audit; not researched in depth.
BR-042,Samui,Not verified,Thailand,Imported,Not verified,condensed coconut milk,coconut,1,,FORM-01,VN-direct,Low,Minor brand in this audit; not researched in depth.
BR-043,Saky Foods,Not verified,Vietnam (per log),Not verified,Not verified,samosa,wheat flour (pastry),1,,FORM-01,VN-direct,Low,Minor brand in this audit; not researched in depth.
BR-044,Nhu Ý,Not verified,Vietnam,Not verified,Not verified,instant rice noodles,rice (rice noodle),1,,FORM-01,VN-direct,Low,Minor brand in this audit; not researched in depth.
BR-045,Miliket,Miliket (Colusa-Miliket),Vietnam,Not verified,Not verified,instant noodles,rice (rice noodle),1,,FORM-01,VN-direct,Low,Minor brand in this audit; not researched in depth.
BR-046,Sông Hương Foods,Sông Hương Foods,Vietnam,Not verified,Not verified,dumplings,tofu (21.8%),1,,FORM-01,VN-direct,Low,Minor brand in this audit; not researched in depth.
BR-047,Spring Home,Not verified,Imported (log: China),Imported,Not verified,samosa,wheat flour (pastry),1,,FORM-01,VN-direct,Low,Minor brand in this audit; not researched in depth.
BR-048,Song Long,Not verified,Vietnam (per log),Not verified,Not verified,tofu,soybean (tofu),1,,FORM-01,VN-direct,Low,Minor brand in this audit; not researched in depth.
BR-049,So Good,Not verified,Australia/Indonesia (log: Indonesia),Not verified,Not verified,oat milk,oat,1,,FORM-01,VN-direct,Low,Minor brand in this audit; not researched in depth.
BR-050,Top.V (Agrex Saigon),Agrex Saigon,Vietnam,Not verified,Not verified,wonton,"wheat flour (wonton wrapper, inferred)",1,,FORM-01,VN-direct,Low,Minor brand in this audit; not researched in depth.
BR-051,Tafu,Not verified,Vietnam (per log),Not verified,Not verified,tofu,soybean (tofu),1,,FORM-01,VN-direct,Low,Minor brand in this audit; not researched in depth.
BR-052,Xuân Hồng,Not verified (brand site unreachable),Vietnam (assumed),Not verified,Not verified,dried TVP (sườn non chay),"soy protein, soy flour, wheat gluten, wheat flour",1,none found,FORM-01,VN-direct,Low,Label shows 65.2 g protein/100 g dry. Ownership and plant are open questions.
BR-053,Âu Lạc (Anlac Vegan Food),"Au Lac Pure Vegetarian Trade Manufacturing Co., Ltd (Công ty TNHH SX & KD Thực phẩm Chay Âu Lạc), reg. 0302824243",Vietnam,Âu Lạc (own production claimed),"Ho Chi Minh City, 735-737 Nguyễn Kiệm, Hạnh Thông ward (former Gò Vấp district)","frozen and chilled analogs; dried, canned, sterilised, seasonings, bakery, drinks (8 lines)",not disclosed; one SKU at 25.1 g protein/100 g implies gluten or soy protein base,1,"Aggregator claims 25+ years and exports to USA, Canada, Australia, Germany, UK (unverified)",FORM-01; FORM-20; FORM-21,VN-direct,Medium,Only 1 SKU captured; under-represented relative to its likely scale in dedicated chay shops (not audited).
