record_id,firm_id,firm,home_base,founded,category,firm_type,vietnam_link,first_channel,first_channel_class,revenue_model_2026,funding_disclosed,funding_usd_m,status_2026,status_basis,reason_given,last_evidence,in_startup_base_rate,package_link,source_ids,evidence_label,confidence,demand_evidence_type,notes
FO-11,FO-11,Oatside,Singapore (made in Indonesia),2021,plant milk (oat),scale-up,"Entered Vietnam (cafes, Nov to Dec 2022)","Speciality coffee shops (about 100 cafes by Aug 2023), then modern retail and e-commerce",foodservice,b2c_brand plus foodservice,not retrieved,,active,On premium shelves in the Sept 2026 audit; Vietnam campaign April 2026,none given,2026-04,yes,launches_exits.csv LE-16; companies.csv CO-055,ECO-47; ECO-48; FORM-01,VN-direct,Medium,revealed,"Plant milk, the category Part III says has revealed demand."
FO-12,FO-12,TiNDLE Foods (Next Gen Foods),Singapore,2020,plant-based chicken analogue,scale-up,none,"Foodservice: 11 Singapore restaurants (March 2021), then Hong Kong and UK restaurants; retail from Jan 2023 (Germany) and Nov 2023 (US)",foodservice,oem_private_label,USD 100 million Series A (2022); more than half unspent in 2025,100,pivoted,Private label only from 2026; US business divested; UK physical presence cut (Nov 2025),The plant-based category has become increasingly price-driven; no real underlying consumer demand to shift away from meat; still 50% more expensive than meat,2025-11,yes,not in package data (ch13.7 benchmarks),AIS-28; AIS-29; BRD-14,general,Medium,revealed,"Brand first through restaurants, then retail, then private label: the full arc in five years."
FO-13,FO-13,Green Rebel Foods,Indonesia (Singapore holding),about 2020,plant-based meat analogue for regional dishes,startup,none,"Foodservice partners (Starbucks, IKEA, Domino's) plus retail",foodservice,foodservice plus b2c_brand,"USD 12.5 million (PPTI) or USD 10.5 million (DealStreetAsia) from existing backers, early 2026",10.5 to 12.5,active,New round early 2026,Foodservice partnerships central to expansion,2026-02,yes,not in package data,AIS-30; AIS-31; AIS-32,VN-adjacent,Medium,revealed,Two reported amounts disagree; both kept.
FO-14,FO-14,Growthwell Foods (HAPPIEE!),"Singapore and Johor, Malaysia",1989 (Growth Well Industry); relaunched as plant-based brand about 2020,vegetarian and plant-based meat and seafood,small maker turned scale-up,none,Traditional vegetarian manufacturer with own brands and supply to chefs and F&B makers,mixed,b2c_brand plus b2b supply,"USD 8 million (2020, Temasek-led) and USD 22 million Series A (2021), per trade-press headlines",30,active,"About page live in 2026; markets Singapore, Malaysia, Australia, Indonesia; UK retail listings (2023)",none given,2026,yes,not in package data,AIS-33; BRD-11,VN-adjacent,Low,revealed,Funding from search-listing snippets only (Low). Closest regional analogue of a Vietnamese chay maker.
FO-15,FO-15,Karana,Singapore,2018 to 2019,jackfruit-based meat analogue,startup,none,"Foodservice: restaurants in Singapore (Feb 2021), Hong Kong (May 2021), San Francisco (2022); later a retail collaboration",foodservice,unknown,USD 1.7 million seed (2020),1.7,dormant,No trade-press item after April 2023 in the archive we searched; karanafoods.com did not respond (25 Sep 2026),none found,2023-04,yes,not in package data,BRD-08,VN-adjacent,Low,revealed,April 2023 claim of ten-fold growth over two years (company).
FO-16,FO-16,Float Foods (OnlyEg),Singapore,about 2019,plant-based whole egg,startup,none,Restaurants and meal kits in Singapore and Hong Kong,foodservice,unknown,SGD 2.2 million (about USD 1.6 million) seed (2021) plus a Temasek Foundation grant,1.6,dormant,No trade-press item after Jan 2023 in the archive we searched; website live but footer dated 2021,none found,2023-01,yes,not in package data,BRD-09; BRD-19,VN-adjacent,Low,revealed,
FO-17,FO-17,Phuture Foods,Malaysia,about 2019,plant-based pork and chicken analogue,startup,none,"Singapore restaurants (2020), then Malaysian chains, a hotel and a convenience chain (2022)",foodservice,unknown,USD 1.5 million (reported 2022),1.5,dormant,No trade-press item after June 2022 in the archive we searched; site did not respond,none found,2022-06,yes,not in package data,BRD-10,VN-adjacent,Low,revealed,
FO-18,FO-18,Meatiply,Singapore,about 2021,cultivated meat and functional ingredients,startup,none,B2B co-development with food manufacturers rather than own brand,b2b_ingredient,unknown,USD 3.75 million (Dec 2023),3.75,dormant,No news after the Dec 2023 round in the archives we searched; website live but undated,none found,2023-12,yes,not in package data,AIS-46; BRD-16; BRD-19,VN-adjacent,Low,revealed,
FO-19,FO-19,Sophie's Bionutrients,"Singapore, production moved to the Netherlands",about 2017,microalgae protein ingredient,startup,none,"B2B ingredient with branded prototypes (burger patty, milk, cheese)",b2b_ingredient,unknown,not retrieved,,dormant,Production moved from Singapore to the Netherlands (2021); no trade-press item after Sept 2022 in the archive we searched,Relocation reasons discussed in a 2021 interview (not read),2022-09,yes,not in package data,BRD-12,VN-adjacent,Low,revealed,Left Southeast Asia as a production base.
FO-20,FO-20,Eat Just (GOOD Meat),USA; Singapore production,2011 (Eat Just); GOOD Meat Singapore sales Dec 2020,cultivated chicken,scale-up,none,Foodservice: one Singapore restaurant (Dec 2020),foodservice,b2c retail blend (3% cultivated),"GOOD Meat raised USD 170 million (2021, headline)",170,pivoted,"Restaurant sales paused Dec 2023; third-party production never continuous; relaunched as a 3% cultivated retail product (May 2024); more than 2,000 servings in total",Production pause explained by company (2024); SFA cited weaker-than-expected consumer acceptance (Nov 2025),2024-05,yes,ch14.1,NOV-10; NOV-12; NOV-22; BRD-17,VN-adjacent,Medium,revealed,"Pivot is to a low-inclusion blend, not to B2B."
FO-21,FO-21,Vow,Australia,2019,cultivated quail,startup,none,Foodservice: Singapore restaurants from April 2024; Australian retail 2025,foodservice,co-manufacturing and new verticals,not retrieved,,pivoted,"Shift from in-house food production to co-manufacturing; layoffs 2024, 2025 (30%) and May 2026; new CEO June 2026",we shifted from in-house food production to co-manufacturing,2026-06,yes,ch14.1,AIS-37; NOV-14; NOV-15; NOV-16,VN-adjacent,Medium,revealed,"More than 25,000 dishes served in Singapore (company, Apr 2024 to Aug 2025)."
FO-22,FO-22,Avant (Avant Meats),Hong Kong; Singapore unit,2018,cultivated fish and cell-derived skincare,startup,Vinh Hoan minority stake (2021),B2B: cell-derived skincare ingredient alongside cultivated fish development,b2b_ingredient,non-food ingredient (skincare),USD 3.1 million seed (Dec 2020),3.1,exited,Singapore unit declared voluntary winding-up on 26 Jan 2026 citing liabilities; Hong Kong parent still registered and selling skincare peptides,"As the cultivated meat industry has evolved, so have we",2026-02,yes,ch14.1; ch14.6; companies.csv CO-078,AIS-34; ECO-58; NOV-75,VN-adjacent,Medium,revealed,Exited Singapore; parent pivoted to skincare.
FO-23,FO-23,Shiok Meats,Singapore,2018,cultivated crustaceans,startup,Vinh Hoan co-investor (2021); Minh Phu MOU (2022),B2B development with seafood partners; no product sold,b2b_ingredient,absorbed,About USD 30 million raised by 2021,30,exited,Merged into UMAMI Bioworks by stock deal (March 2024); Minh Phu MOU dormant,consolidation (no reason quoted),2024-03,yes,companies.csv CO-075; deals.csv DL-008,ECO-63; ECO-61; CAP-17,VN-adjacent,Medium,revealed,
FO-24,FO-24,UMAMI Bioworks,Singapore,2020,cultivated seafood,startup,"Holds Shiok assets (Vinh Hoan, Minh Phu links)",B2B cell-line and ingredient development,b2b_ingredient,pet food and skincare ingredients,not retrieved,,pivoted,Cultivated seafood pet food launched with a pet-food brand (2025); skincare and supplements partnership in Japan (end 2025),none quoted,2026-01,yes,companies.csv CO-076,AIS-35; AIS-36; ECO-63,VN-adjacent,Medium,revealed,
FO-25,FO-25,Beyond Meat (Vietnam entry),USA (listed company),2009,plant-based meat analogue,corporate brand,Entered Vietnam 2019,"Restaurants (BiaCraft, 3 venues, Aug 2019), then gourmet retail and e-commerce",foodservice,not in Vietnam,listed company,,exited,Absent from all 11 audited stores (Sept 2026) and no current distributor found; China operations suspended in 2025,China: to reduce operational expenses,2022 (Vietnam retail),no (corporate; Vietnam lens only),launches_exits.csv LE-01,ECO-16; ECO-15; FORM-01; AIS-45,VN-direct,Medium,revealed,Exit from Vietnam inferred from absence; not announced.
FO-26,FO-26,Heura (Vietnam entry),Spain,2017,plant-based meat analogue,scale-up,Entered Vietnam 2022,Gourmet retail and e-commerce in Vietnam,b2c_brand,not in Vietnam,not retrieved,,exited,Absent from the Sept 2026 audit; firm status in Europe not checked,none found,2022,no (Vietnam lens only; firm status not checked),launches_exits.csv LE-04,ECO-15; FORM-01,VN-direct,Low,revealed,
FO-27,FO-27,Verdino (imported by Bewina),Romania,not found,plant-based meat analogue,corporate brand,Entered Vietnam by 2022,"Modern and gourmet retail (AEON Citimart, K-Market, Nam An)",b2c_brand,not in Vietnam,n/a,,exited,Absent from the Sept 2026 audit,none found,2022,no (Vietnam lens only),companies.csv CO-013; CO-021,ECO-15; ECO-19; FORM-01,VN-direct,Low,revealed,Absence in an 11-store audit is not proof of exit.
FO-28,FO-28,Unconventional (Granarolo),Italy,not found,plant-based meat analogue,corporate brand,On Vietnamese shelves,Gourmet retail,b2c_brand,b2c_brand,n/a,,active,On shelf in one gourmet store (Sept 2026),none given,2026-09,no (Vietnam lens only),launches_exits.csv LE-10,FORM-01,VN-direct,High,revealed,
FO-29,FO-29,CP Meat Zero (Vietnam),Thailand (CP Foods),2021,plant-based meat sold as chay,corporate brand,Listed in Vietnam,"B2B HoReCa supply platform (Kamereo), labelled chay, 1 kg packs",foodservice,foodservice supply,n/a,,active,Seven SKUs listed on Kamereo (page metadata; date and stock not visible),none given,2026-09,no (Vietnam lens only),launches_exits.csv LE-09 (records not found),AIS-25; AIS-26,VN-direct,Low,revealed,Contradicts LE-09.
FO-30,FO-30,Entobel,Singapore holding; plants in Dong Nai and Ho Chi Minh City,2014,insect meal for feed (benchmark only),scale-up,Vietnam production,B2B feed ingredient with an anchor buyer (Vinh Hoan); Skretting shrimp feed from Nov 2025,b2b_ingredient,b2b_ingredient,"Series B 2022: Mekong Capital USD 25 million, Dragon Capital USD 5 million; IFC USD 2.5 million (2023)",32.5,active,Active; output undisclosed,none given,2025-11,no (insect benchmark),companies.csv CO-080,AIS-19; ECO-01; VCO-28,VN-direct,Medium,revealed,"Insect protein is a benchmark only in this package, never a recommendation."
FO-31,FO-31,Cricket One,Vietnam (Dong Nai),about 2016,insect protein (benchmark only),startup,Vietnam production,B2B ingredient exports (cricket powder),b2b_ingredient,unknown,"Pre-Series A and Series A, both seven-figure USD (2020, 2023)",,dormant,Last evidence Oct 2024; site did not load (package),none found,2024-10,no (insect benchmark),companies.csv CO-081,ECO-07; ECO-11,VN-direct,Low,revealed,Benchmark only.
