record_id,parameter,scenario,year,value,unit,basis,source_ids,confidence,notes
DMA-011,r1_domestic_share,D-DRIFT,2035,0.05,share of the food plant-protein ingredient pool supplied by domestic or novel protein,"scenario assumption: what-if, not a forecast",our judgement,Low,Chay makers are the most switchable buyers (BUY segment ranking).
DMA-012,r1_domestic_share,D-DRIFT,2040,0.07,share of the food plant-protein ingredient pool supplied by domestic or novel protein,"scenario assumption: what-if, not a forecast",our judgement,Low,Chay makers are the most switchable buyers (BUY segment ranking).
DMA-013,r1_domestic_share,D-DRIFT,2050,0.1,share of the food plant-protein ingredient pool supplied by domestic or novel protein,"scenario assumption: what-if, not a forecast",our judgement,Low,Chay makers are the most switchable buyers (BUY segment ranking).
DMA-014,r1_domestic_share,D-BENCH,2025,0,share of the food plant-protein ingredient pool supplied by domestic or novel protein,"scenario assumption: what-if, not a forecast",our judgement,Low,Chay makers are the most switchable buyers (BUY segment ranking).
DMA-015,r1_domestic_share,D-BENCH,2030,0.1,share of the food plant-protein ingredient pool supplied by domestic or novel protein,"scenario assumption: what-if, not a forecast",our judgement,Low,Chay makers are the most switchable buyers (BUY segment ranking).
DMA-016,r1_domestic_share,D-BENCH,2035,0.25,share of the food plant-protein ingredient pool supplied by domestic or novel protein,"scenario assumption: what-if, not a forecast",our judgement,Low,Chay makers are the most switchable buyers (BUY segment ranking).
DMA-017,r1_domestic_share,D-BENCH,2040,0.33,share of the food plant-protein ingredient pool supplied by domestic or novel protein,"scenario assumption: what-if, not a forecast",our judgement,Low,Chay makers are the most switchable buyers (BUY segment ranking).
DMA-018,r1_domestic_share,D-BENCH,2050,0.4,share of the food plant-protein ingredient pool supplied by domestic or novel protein,"scenario assumption: what-if, not a forecast",our judgement,Low,Chay makers are the most switchable buyers (BUY segment ranking).
DMA-019,r1_domestic_share,D-STRETCH,2025,0,share of the food plant-protein ingredient pool supplied by domestic or novel protein,"scenario assumption: what-if, not a forecast",our judgement,Low,Chay makers are the most switchable buyers (BUY segment ranking).
DMA-020,r1_domestic_share,D-STRETCH,2030,0.2,share of the food plant-protein ingredient pool supplied by domestic or novel protein,"scenario assumption: what-if, not a forecast",our judgement,Low,Chay makers are the most switchable buyers (BUY segment ranking).
DMA-021,r1_domestic_share,D-STRETCH,2035,0.45,share of the food plant-protein ingredient pool supplied by domestic or novel protein,"scenario assumption: what-if, not a forecast",our judgement,Low,Chay makers are the most switchable buyers (BUY segment ranking).
DMA-022,r1_domestic_share,D-STRETCH,2040,0.52,share of the food plant-protein ingredient pool supplied by domestic or novel protein,"scenario assumption: what-if, not a forecast",our judgement,Low,Chay makers are the most switchable buyers (BUY segment ranking).
DMA-023,r1_domestic_share,D-STRETCH,2050,0.6,share of the food plant-protein ingredient pool supplied by domestic or novel protein,"scenario assumption: what-if, not a forecast",our judgement,Low,Chay makers are the most switchable buyers (BUY segment ranking).
DMA-024,r2_keeper_share,ALL,ALL,0.3,share of people who keep lunar chay days,assumption: unmeasured; illustrative range 20 to 50% (CHY stream); Pew finds 38% of adults Buddhist,CHY-06; CHY-09,Low,"No probability survey asks about chay. The Diet Quality Questionnaire (Gallup, 1,007 adults, 13 Nov to 12 Dec 2021) found 7.9% (5.3 to 11.0%) ate no meat, poultry or fish on the previous day, a ceiling for chay-day person-days (APR-36; BRD-01; BRD-03). Version 0.4: corrected from ""no probability survey asks about diet""."
DMA-025,r2_days_per_month,ALL,ALL,2.5,chay days a month among keepers,assumption: 2 (1st and 15th) to 4 days; whole-month observers ignored,CHY-09; CHY-10,Low,
DMA-026,r2_protein_component_g,ALL,ALL,12,"g protein a chay day from tofu, mock meat, mushrooms and legumes",assumption: chay foods have a median of 4.7 g protein per 100 g (FORM-01); no intake data,FORM-01,Low,
DMA-027,r2_upgraded_protein_g,ALL,ALL,20,g protein a chay day when upgraded products are used,design target (10 to 12 g per 100 g products),FORM-01,Low,
DMA-028,r2_upgrade_share,D-DRIFT,2025,0,share of chay days served with upgraded or novel protein products,scenario assumption,our judgement,Low,
DMA-029,r2_upgrade_share,D-DRIFT,2030,0.01,share of chay days served with upgraded or novel protein products,scenario assumption,our judgement,Low,
DMA-030,r2_upgrade_share,D-DRIFT,2035,0.02,share of chay days served with upgraded or novel protein products,scenario assumption,our judgement,Low,
DMA-031,r2_upgrade_share,D-DRIFT,2040,0.03,share of chay days served with upgraded or novel protein products,scenario assumption,our judgement,Low,
DMA-032,r2_upgrade_share,D-DRIFT,2050,0.05,share of chay days served with upgraded or novel protein products,scenario assumption,our judgement,Low,
DMA-033,r2_upgrade_share,D-BENCH,2025,0,share of chay days served with upgraded or novel protein products,scenario assumption,our judgement,Low,
DMA-034,r2_upgrade_share,D-BENCH,2030,0.03,share of chay days served with upgraded or novel protein products,scenario assumption,our judgement,Low,
DMA-035,r2_upgrade_share,D-BENCH,2035,0.08,share of chay days served with upgraded or novel protein products,scenario assumption,our judgement,Low,
DMA-036,r2_upgrade_share,D-BENCH,2040,0.11,share of chay days served with upgraded or novel protein products,scenario assumption,our judgement,Low,
DMA-037,r2_upgrade_share,D-BENCH,2050,0.15,share of chay days served with upgraded or novel protein products,scenario assumption,our judgement,Low,
DMA-038,r2_upgrade_share,D-STRETCH,2025,0,share of chay days served with upgraded or novel protein products,scenario assumption,our judgement,Low,
DMA-039,r2_upgrade_share,D-STRETCH,2030,0.06,share of chay days served with upgraded or novel protein products,scenario assumption,our judgement,Low,
DMA-040,r2_upgrade_share,D-STRETCH,2035,0.15,share of chay days served with upgraded or novel protein products,scenario assumption,our judgement,Low,
DMA-041,r2_upgrade_share,D-STRETCH,2040,0.22,share of chay days served with upgraded or novel protein products,scenario assumption,our judgement,Low,
DMA-042,r2_upgrade_share,D-STRETCH,2050,0.3,share of chay days served with upgraded or novel protein products,scenario assumption,our judgement,Low,
DMA-043,r2_added_days,D-DRIFT,2025,0,extra chay days a month among keepers,scenario assumption: more chay occasions (for example canteen chay days),our judgement,Low,Only added days can displace meat; existing chay days are already in the meat baseline.
DMA-044,r2_added_days,D-DRIFT,2030,0,extra chay days a month among keepers,scenario assumption: more chay occasions (for example canteen chay days),our judgement,Low,Only added days can displace meat; existing chay days are already in the meat baseline.
DMA-045,r2_added_days,D-DRIFT,2035,0,extra chay days a month among keepers,scenario assumption: more chay occasions (for example canteen chay days),our judgement,Low,Only added days can displace meat; existing chay days are already in the meat baseline.
DMA-046,r2_added_days,D-DRIFT,2040,0,extra chay days a month among keepers,scenario assumption: more chay occasions (for example canteen chay days),our judgement,Low,Only added days can displace meat; existing chay days are already in the meat baseline.
DMA-047,r2_added_days,D-DRIFT,2050,0,extra chay days a month among keepers,scenario assumption: more chay occasions (for example canteen chay days),our judgement,Low,Only added days can displace meat; existing chay days are already in the meat baseline.
DMA-048,r2_added_days,D-BENCH,2025,0,extra chay days a month among keepers,scenario assumption: more chay occasions (for example canteen chay days),our judgement,Low,Only added days can displace meat; existing chay days are already in the meat baseline.
DMA-049,r2_added_days,D-BENCH,2030,0,extra chay days a month among keepers,scenario assumption: more chay occasions (for example canteen chay days),our judgement,Low,Only added days can displace meat; existing chay days are already in the meat baseline.
DMA-050,r2_added_days,D-BENCH,2035,0.1,extra chay days a month among keepers,scenario assumption: more chay occasions (for example canteen chay days),our judgement,Low,Only added days can displace meat; existing chay days are already in the meat baseline.
DMA-051,r2_added_days,D-BENCH,2040,0.15,extra chay days a month among keepers,scenario assumption: more chay occasions (for example canteen chay days),our judgement,Low,Only added days can displace meat; existing chay days are already in the meat baseline.
DMA-052,r2_added_days,D-BENCH,2050,0.2,extra chay days a month among keepers,scenario assumption: more chay occasions (for example canteen chay days),our judgement,Low,Only added days can displace meat; existing chay days are already in the meat baseline.
DMA-053,r2_added_days,D-STRETCH,2025,0,extra chay days a month among keepers,scenario assumption: more chay occasions (for example canteen chay days),our judgement,Low,Only added days can displace meat; existing chay days are already in the meat baseline.
DMA-054,r2_added_days,D-STRETCH,2030,0.2,extra chay days a month among keepers,scenario assumption: more chay occasions (for example canteen chay days),our judgement,Low,Only added days can displace meat; existing chay days are already in the meat baseline.
DMA-055,r2_added_days,D-STRETCH,2035,0.5,extra chay days a month among keepers,scenario assumption: more chay occasions (for example canteen chay days),our judgement,Low,Only added days can displace meat; existing chay days are already in the meat baseline.
DMA-056,r2_added_days,D-STRETCH,2040,0.75,extra chay days a month among keepers,scenario assumption: more chay occasions (for example canteen chay days),our judgement,Low,Only added days can displace meat; existing chay days are already in the meat baseline.
DMA-057,r2_added_days,D-STRETCH,2050,1.0,extra chay days a month among keepers,scenario assumption: more chay occasions (for example canteen chay days),our judgement,Low,Only added days can displace meat; existing chay days are already in the meat baseline.
DMA-058,r2_compensation,ALL,ALL,0.3,share of meat protein not eaten on an added chay day that is eaten on other days,assumption: no Vietnamese evidence (open question),GLB-35,Low,Cambridge cafeteria evidence found no rebound within the day; longer-run rebound unmeasured.
DMA-059,r3_processed_share,ALL,ALL,0.05,share of meat consumption (carcass weight) eaten as processed meat products,"assumption: no national figure found; range 3 to 8% (giò, chả, xúc xích, ham, canned, dumpling fillings)",BUY-04; BUY-05,Low,"Vissan alone made 18,547 t of processed food in 2025. Version 0.4: national diet surveillance counts processed-meat days (18.1%) but omits giò and chả, so it cannot test this assumption (APR-36; BRD-01)."
DMA-060,r3_hybrid_adoption,D-DRIFT,2025,0,share of processed meat volume sold as hybrids,"scenario assumption (v0.4: adoption is limited by product identity, sensory ceilings, labelling and trust, not cost)",our judgement,Low,"19 of 61 Vissan formulations already list soy protein as a functional binder (not counted here). Version 0.4: soy extension saves 14 to 16% of raw-material cost at 20% replacement at every hog price since 2019, so the D-STRETCH price-parity condition does not apply to R3 (DIE-25; HXE-04). No Vietnamese brand sells a declared meat and plant-protein blend and 2026 is a processed-meat trust crisis; adoption is most plausible inside industrial xúc xích and fillings under ingredient names, and D-STRETCH assumes a positive blend frame not yet observed (TRU-03; TRU-22). Value unchanged."
DMA-061,r3_hybrid_adoption,D-DRIFT,2030,0.005,share of processed meat volume sold as hybrids,"scenario assumption (v0.4: adoption is limited by product identity, sensory ceilings, labelling and trust, not cost)",our judgement,Low,"19 of 61 Vissan formulations already list soy protein as a functional binder (not counted here). Version 0.4: soy extension saves 14 to 16% of raw-material cost at 20% replacement at every hog price since 2019, so the D-STRETCH price-parity condition does not apply to R3 (DIE-25; HXE-04). No Vietnamese brand sells a declared meat and plant-protein blend and 2026 is a processed-meat trust crisis; adoption is most plausible inside industrial xúc xích and fillings under ingredient names, and D-STRETCH assumes a positive blend frame not yet observed (TRU-03; TRU-22). Value unchanged."
DMA-062,r3_hybrid_adoption,D-DRIFT,2035,0.01,share of processed meat volume sold as hybrids,"scenario assumption (v0.4: adoption is limited by product identity, sensory ceilings, labelling and trust, not cost)",our judgement,Low,"19 of 61 Vissan formulations already list soy protein as a functional binder (not counted here). Version 0.4: soy extension saves 14 to 16% of raw-material cost at 20% replacement at every hog price since 2019, so the D-STRETCH price-parity condition does not apply to R3 (DIE-25; HXE-04). No Vietnamese brand sells a declared meat and plant-protein blend and 2026 is a processed-meat trust crisis; adoption is most plausible inside industrial xúc xích and fillings under ingredient names, and D-STRETCH assumes a positive blend frame not yet observed (TRU-03; TRU-22). Value unchanged."
DMA-063,r3_hybrid_adoption,D-DRIFT,2040,0.015,share of processed meat volume sold as hybrids,"scenario assumption (v0.4: adoption is limited by product identity, sensory ceilings, labelling and trust, not cost)",our judgement,Low,"19 of 61 Vissan formulations already list soy protein as a functional binder (not counted here). Version 0.4: soy extension saves 14 to 16% of raw-material cost at 20% replacement at every hog price since 2019, so the D-STRETCH price-parity condition does not apply to R3 (DIE-25; HXE-04). No Vietnamese brand sells a declared meat and plant-protein blend and 2026 is a processed-meat trust crisis; adoption is most plausible inside industrial xúc xích and fillings under ingredient names, and D-STRETCH assumes a positive blend frame not yet observed (TRU-03; TRU-22). Value unchanged."
DMA-064,r3_hybrid_adoption,D-DRIFT,2050,0.02,share of processed meat volume sold as hybrids,"scenario assumption (v0.4: adoption is limited by product identity, sensory ceilings, labelling and trust, not cost)",our judgement,Low,"19 of 61 Vissan formulations already list soy protein as a functional binder (not counted here). Version 0.4: soy extension saves 14 to 16% of raw-material cost at 20% replacement at every hog price since 2019, so the D-STRETCH price-parity condition does not apply to R3 (DIE-25; HXE-04). No Vietnamese brand sells a declared meat and plant-protein blend and 2026 is a processed-meat trust crisis; adoption is most plausible inside industrial xúc xích and fillings under ingredient names, and D-STRETCH assumes a positive blend frame not yet observed (TRU-03; TRU-22). Value unchanged."
DMA-065,r3_hybrid_adoption,D-BENCH,2025,0,share of processed meat volume sold as hybrids,"scenario assumption (v0.4: adoption is limited by product identity, sensory ceilings, labelling and trust, not cost)",our judgement,Low,"19 of 61 Vissan formulations already list soy protein as a functional binder (not counted here). Version 0.4: soy extension saves 14 to 16% of raw-material cost at 20% replacement at every hog price since 2019, so the D-STRETCH price-parity condition does not apply to R3 (DIE-25; HXE-04). No Vietnamese brand sells a declared meat and plant-protein blend and 2026 is a processed-meat trust crisis; adoption is most plausible inside industrial xúc xích and fillings under ingredient names, and D-STRETCH assumes a positive blend frame not yet observed (TRU-03; TRU-22). Value unchanged."
DMA-066,r3_hybrid_adoption,D-BENCH,2030,0.02,share of processed meat volume sold as hybrids,"scenario assumption (v0.4: adoption is limited by product identity, sensory ceilings, labelling and trust, not cost)",our judgement,Low,"19 of 61 Vissan formulations already list soy protein as a functional binder (not counted here). Version 0.4: soy extension saves 14 to 16% of raw-material cost at 20% replacement at every hog price since 2019, so the D-STRETCH price-parity condition does not apply to R3 (DIE-25; HXE-04). No Vietnamese brand sells a declared meat and plant-protein blend and 2026 is a processed-meat trust crisis; adoption is most plausible inside industrial xúc xích and fillings under ingredient names, and D-STRETCH assumes a positive blend frame not yet observed (TRU-03; TRU-22). Value unchanged."
DMA-067,r3_hybrid_adoption,D-BENCH,2035,0.06,share of processed meat volume sold as hybrids,"scenario assumption (v0.4: adoption is limited by product identity, sensory ceilings, labelling and trust, not cost)",our judgement,Low,"19 of 61 Vissan formulations already list soy protein as a functional binder (not counted here). Version 0.4: soy extension saves 14 to 16% of raw-material cost at 20% replacement at every hog price since 2019, so the D-STRETCH price-parity condition does not apply to R3 (DIE-25; HXE-04). No Vietnamese brand sells a declared meat and plant-protein blend and 2026 is a processed-meat trust crisis; adoption is most plausible inside industrial xúc xích and fillings under ingredient names, and D-STRETCH assumes a positive blend frame not yet observed (TRU-03; TRU-22). Value unchanged."
DMA-068,r3_hybrid_adoption,D-BENCH,2040,0.1,share of processed meat volume sold as hybrids,"scenario assumption (v0.4: adoption is limited by product identity, sensory ceilings, labelling and trust, not cost)",our judgement,Low,"19 of 61 Vissan formulations already list soy protein as a functional binder (not counted here). Version 0.4: soy extension saves 14 to 16% of raw-material cost at 20% replacement at every hog price since 2019, so the D-STRETCH price-parity condition does not apply to R3 (DIE-25; HXE-04). No Vietnamese brand sells a declared meat and plant-protein blend and 2026 is a processed-meat trust crisis; adoption is most plausible inside industrial xúc xích and fillings under ingredient names, and D-STRETCH assumes a positive blend frame not yet observed (TRU-03; TRU-22). Value unchanged."
DMA-069,r3_hybrid_adoption,D-BENCH,2050,0.15,share of processed meat volume sold as hybrids,"scenario assumption (v0.4: adoption is limited by product identity, sensory ceilings, labelling and trust, not cost)",our judgement,Low,"19 of 61 Vissan formulations already list soy protein as a functional binder (not counted here). Version 0.4: soy extension saves 14 to 16% of raw-material cost at 20% replacement at every hog price since 2019, so the D-STRETCH price-parity condition does not apply to R3 (DIE-25; HXE-04). No Vietnamese brand sells a declared meat and plant-protein blend and 2026 is a processed-meat trust crisis; adoption is most plausible inside industrial xúc xích and fillings under ingredient names, and D-STRETCH assumes a positive blend frame not yet observed (TRU-03; TRU-22). Value unchanged."
DMA-070,r3_hybrid_adoption,D-STRETCH,2025,0,share of processed meat volume sold as hybrids,"scenario assumption (v0.4: adoption is limited by product identity, sensory ceilings, labelling and trust, not cost)",our judgement,Low,"19 of 61 Vissan formulations already list soy protein as a functional binder (not counted here). Version 0.4: soy extension saves 14 to 16% of raw-material cost at 20% replacement at every hog price since 2019, so the D-STRETCH price-parity condition does not apply to R3 (DIE-25; HXE-04). No Vietnamese brand sells a declared meat and plant-protein blend and 2026 is a processed-meat trust crisis; adoption is most plausible inside industrial xúc xích and fillings under ingredient names, and D-STRETCH assumes a positive blend frame not yet observed (TRU-03; TRU-22). Value unchanged."
DMA-071,r3_hybrid_adoption,D-STRETCH,2030,0.05,share of processed meat volume sold as hybrids,"scenario assumption (v0.4: adoption is limited by product identity, sensory ceilings, labelling and trust, not cost)",our judgement,Low,"19 of 61 Vissan formulations already list soy protein as a functional binder (not counted here). Version 0.4: soy extension saves 14 to 16% of raw-material cost at 20% replacement at every hog price since 2019, so the D-STRETCH price-parity condition does not apply to R3 (DIE-25; HXE-04). No Vietnamese brand sells a declared meat and plant-protein blend and 2026 is a processed-meat trust crisis; adoption is most plausible inside industrial xúc xích and fillings under ingredient names, and D-STRETCH assumes a positive blend frame not yet observed (TRU-03; TRU-22). Value unchanged."
DMA-072,r3_hybrid_adoption,D-STRETCH,2035,0.15,share of processed meat volume sold as hybrids,"scenario assumption (v0.4: adoption is limited by product identity, sensory ceilings, labelling and trust, not cost)",our judgement,Low,"19 of 61 Vissan formulations already list soy protein as a functional binder (not counted here). Version 0.4: soy extension saves 14 to 16% of raw-material cost at 20% replacement at every hog price since 2019, so the D-STRETCH price-parity condition does not apply to R3 (DIE-25; HXE-04). No Vietnamese brand sells a declared meat and plant-protein blend and 2026 is a processed-meat trust crisis; adoption is most plausible inside industrial xúc xích and fillings under ingredient names, and D-STRETCH assumes a positive blend frame not yet observed (TRU-03; TRU-22). Value unchanged."
DMA-073,r3_hybrid_adoption,D-STRETCH,2040,0.25,share of processed meat volume sold as hybrids,"scenario assumption (v0.4: adoption is limited by product identity, sensory ceilings, labelling and trust, not cost)",our judgement,Low,"19 of 61 Vissan formulations already list soy protein as a functional binder (not counted here). Version 0.4: soy extension saves 14 to 16% of raw-material cost at 20% replacement at every hog price since 2019, so the D-STRETCH price-parity condition does not apply to R3 (DIE-25; HXE-04). No Vietnamese brand sells a declared meat and plant-protein blend and 2026 is a processed-meat trust crisis; adoption is most plausible inside industrial xúc xích and fillings under ingredient names, and D-STRETCH assumes a positive blend frame not yet observed (TRU-03; TRU-22). Value unchanged."
DMA-074,r3_hybrid_adoption,D-STRETCH,2050,0.35,share of processed meat volume sold as hybrids,"scenario assumption (v0.4: adoption is limited by product identity, sensory ceilings, labelling and trust, not cost)",our judgement,Low,"19 of 61 Vissan formulations already list soy protein as a functional binder (not counted here). Version 0.4: soy extension saves 14 to 16% of raw-material cost at 20% replacement at every hog price since 2019, so the D-STRETCH price-parity condition does not apply to R3 (DIE-25; HXE-04). No Vietnamese brand sells a declared meat and plant-protein blend and 2026 is a processed-meat trust crisis; adoption is most plausible inside industrial xúc xích and fillings under ingredient names, and D-STRETCH assumes a positive blend frame not yet observed (TRU-03; TRU-22). Value unchanged."
DMA-075,r3_replacement,D-DRIFT,ALL,0.1,share of meat protein in a hybrid product replaced by plant or fungal protein,"Singapore blind test: most tasters preferred about 75% animal; blends with 30 to 50% plant matched meat; v0.4: 30% is the evidence ceiling (10 to 20% in fine emulsions, up to 30% in coarse mince; HXE-04; HXE-09)",NOV-37; NOV-40,Low,Version 0.4: value unchanged.
DMA-076,r3_replacement,D-BENCH,ALL,0.2,share of meat protein in a hybrid product replaced by plant or fungal protein,"Singapore blind test: most tasters preferred about 75% animal; blends with 30 to 50% plant matched meat; v0.4: 30% is the evidence ceiling (10 to 20% in fine emulsions, up to 30% in coarse mince; HXE-04; HXE-09)",NOV-37; NOV-40,Low,Version 0.4: value unchanged.
DMA-077,r3_replacement,D-STRETCH,ALL,0.3,share of meat protein in a hybrid product replaced by plant or fungal protein,"Singapore blind test: most tasters preferred about 75% animal; blends with 30 to 50% plant matched meat; v0.4: 30% is the evidence ceiling (10 to 20% in fine emulsions, up to 30% in coarse mince; HXE-04; HXE-09)",NOV-37; NOV-40,Low,Version 0.4: value unchanged.
DMA-078,r3_net_displacement,ALL,ALL,0.9,meat protein removed per unit of protein replaced,assumption: the processor buys less meat; small consumer compensation,our judgement,Low,Sensitivity 0.7 to 1.0.
DMA-079,r4_canteen_meals_bn,ALL,2025,1.0,billion factory shift meals a year,our estimate: 4.15 million industrial-park workers x about 300 meal days = 1.2 billion upper bound; some firms pay cash,CHN-37; CHN-39,Low,
DMA-080,r4_canteen_growth,ALL,ALL,0.02,a year,assumption: industrial employment growth; working-age population peaks 2035 to 2040,CHN-37,Low,
DMA-081,r4_school_meals_bn,ALL,2025,0.8,billion school lunches a year,our estimate: Hanoi subsidises 100 to 150 million primary lunches a year; national count of bán trú pupils unknown,CHN-29; CHN-31,Low,Range 0.5 to 1.2 billion.
DMA-082,r4_school_growth,ALL,ALL,0.0,a year,assumption: pupil numbers flat,DIE-36,Low,
DMA-083,r4_protein_per_meal_g,ALL,ALL,20,g protein in the protein dish of a meal,assumption: no national portion standard; observed caterer portions are consistent (v0.4),CHN-39,Low,"Version 0.4: kept at 20 g: caterer portions of 85 to 95 g raw meat, 67 to 70 g fish or 80 g tofu per dish; Haseca main dishes 90 to 120 g; school lunches carry about 31.8 g of protein including rice, 17.5 g animal (PMR-22; PMR-24; PMR-26; UPL-32). For children the school variant is 10 to 15 g per serving."
DMA-084,r4_canteen_adoption,D-DRIFT,2025,0,share of canteen meal protein supplied by plant or novel protein,scenario assumption,our judgement,Low,Defaults and more meat-free options change served meals by 41 to 79% or more (GLB-35; GLB-37).
DMA-085,r4_canteen_adoption,D-DRIFT,2030,0.002,share of canteen meal protein supplied by plant or novel protein,scenario assumption,our judgement,Low,Defaults and more meat-free options change served meals by 41 to 79% or more (GLB-35; GLB-37).
DMA-086,r4_canteen_adoption,D-DRIFT,2035,0.005,share of canteen meal protein supplied by plant or novel protein,scenario assumption,our judgement,Low,Defaults and more meat-free options change served meals by 41 to 79% or more (GLB-35; GLB-37).
DMA-087,r4_canteen_adoption,D-DRIFT,2040,0.007,share of canteen meal protein supplied by plant or novel protein,scenario assumption,our judgement,Low,Defaults and more meat-free options change served meals by 41 to 79% or more (GLB-35; GLB-37).
DMA-088,r4_canteen_adoption,D-DRIFT,2050,0.01,share of canteen meal protein supplied by plant or novel protein,scenario assumption,our judgement,Low,Defaults and more meat-free options change served meals by 41 to 79% or more (GLB-35; GLB-37).
DMA-089,r4_canteen_adoption,D-BENCH,2025,0,share of canteen meal protein supplied by plant or novel protein,scenario assumption,our judgement,Low,Defaults and more meat-free options change served meals by 41 to 79% or more (GLB-35; GLB-37).
DMA-090,r4_canteen_adoption,D-BENCH,2030,0.01,share of canteen meal protein supplied by plant or novel protein,scenario assumption,our judgement,Low,Defaults and more meat-free options change served meals by 41 to 79% or more (GLB-35; GLB-37).
DMA-091,r4_canteen_adoption,D-BENCH,2035,0.03,share of canteen meal protein supplied by plant or novel protein,scenario assumption,our judgement,Low,Defaults and more meat-free options change served meals by 41 to 79% or more (GLB-35; GLB-37).
DMA-092,r4_canteen_adoption,D-BENCH,2040,0.045,share of canteen meal protein supplied by plant or novel protein,scenario assumption,our judgement,Low,Defaults and more meat-free options change served meals by 41 to 79% or more (GLB-35; GLB-37).
DMA-093,r4_canteen_adoption,D-BENCH,2050,0.06,share of canteen meal protein supplied by plant or novel protein,scenario assumption,our judgement,Low,Defaults and more meat-free options change served meals by 41 to 79% or more (GLB-35; GLB-37).
DMA-094,r4_canteen_adoption,D-STRETCH,2025,0,share of canteen meal protein supplied by plant or novel protein,scenario assumption,our judgement,Low,Defaults and more meat-free options change served meals by 41 to 79% or more (GLB-35; GLB-37).
DMA-095,r4_canteen_adoption,D-STRETCH,2030,0.03,share of canteen meal protein supplied by plant or novel protein,scenario assumption,our judgement,Low,Defaults and more meat-free options change served meals by 41 to 79% or more (GLB-35; GLB-37).
DMA-096,r4_canteen_adoption,D-STRETCH,2035,0.08,share of canteen meal protein supplied by plant or novel protein,scenario assumption,our judgement,Low,Defaults and more meat-free options change served meals by 41 to 79% or more (GLB-35; GLB-37).
DMA-097,r4_canteen_adoption,D-STRETCH,2040,0.11,share of canteen meal protein supplied by plant or novel protein,scenario assumption,our judgement,Low,Defaults and more meat-free options change served meals by 41 to 79% or more (GLB-35; GLB-37).
DMA-098,r4_canteen_adoption,D-STRETCH,2050,0.15,share of canteen meal protein supplied by plant or novel protein,scenario assumption,our judgement,Low,Defaults and more meat-free options change served meals by 41 to 79% or more (GLB-35; GLB-37).
DMA-099,r4_school_adoption,D-DRIFT,2025,0,share of school lunch protein supplied by plant or novel protein,"scenario assumption: later and lower than canteens. Version 0.4: Decision 1340's animal-protein target ended in 2020; Decision 3958/QĐ-BYT (2025) sets no animal share and asks for plant protein at least twice a week, but audited menus meet it in only 9 of 48 school-weeks and fill it with tofu beside meat, and the menu software prints an animal-protein floor of 48% (AIB-39; PMR-26)",CHN-33; CHN-36,Low,"Version 0.4: caveat, value unchanged: school protein sold into the plant slot replaces tofu, not meat; applying zero displacement to it would lower D-BENCH 2035 displacement from 2.35 to about 2.29 kt. Only blends in minced-meat and fish-cake dishes (28.5% of audited days) remove meat."
