record_id,new_unit,name_vi,type,admin_centre,centre_in_former_unit,former_units,n_former_units,area_km2,population,res202_clause,notes,source_ids,evidence_label,confidence
PRV-011,Quang Ngai,Quảng Ngãi,province,Cam Thanh ward (former Quang Ngai),Quang Ngai,Kon Tum; Quang Ngai,2,14832.55,2161755,Art 1(11),"Area and population as stated in Resolution 202/2025/QH15 (government dossier figures, reference date not stated in the resolution text); centre former-unit per Resolution 60-NQ/TW (12 Apr 2025); ward name per Wikipedia (not in resolution text)",GT-01; GT-02; GT-03,VN-direct,High
PRV-012,Gia Lai,Gia Lai,province,Quy Nhon ward (former Binh Dinh),Binh Dinh,Binh Dinh; Gia Lai,2,21576.53,3583693,Art 1(12),"Name kept from one former unit but centre placed in another former unit (Binh Dinh). Area and population as stated in Resolution 202/2025/QH15 (government dossier figures, reference date not stated in the resolution text); centre former-unit per Resolution 60-NQ/TW (12 Apr 2025); ward name per Wikipedia (not in resolution text)",GT-01; GT-02; GT-03,VN-direct,High
PRV-013,Khanh Hoa,Khánh Hòa,province,Nha Trang ward (former Khanh Hoa),Khanh Hoa,Ninh Thuan; Khanh Hoa,2,8555.86,2243554,Art 1(13),"Area and population as stated in Resolution 202/2025/QH15 (government dossier figures, reference date not stated in the resolution text); centre former-unit per Resolution 60-NQ/TW (12 Apr 2025); ward name per Wikipedia (not in resolution text)",GT-01; GT-02; GT-03,VN-direct,High
PRV-014,Lam Dong,Lâm Đồng,province,Xuan Huong-Da Lat ward (former Lam Dong),Lam Dong,Dak Nong; Binh Thuan; Lam Dong,3,24233.07,3872999,Art 1(14),"Area and population as stated in Resolution 202/2025/QH15 (government dossier figures, reference date not stated in the resolution text); centre former-unit per Resolution 60-NQ/TW (12 Apr 2025); ward name per Wikipedia (not in resolution text)",GT-01; GT-02; GT-03,VN-direct,High
PRV-015,Dak Lak,Đắk Lắk,province,Buon Ma Thuot ward (former Dak Lak),Dak Lak,Phu Yen; Dak Lak,2,18096.4,3346853,Art 1(15),"Area and population as stated in Resolution 202/2025/QH15 (government dossier figures, reference date not stated in the resolution text); centre former-unit per Resolution 60-NQ/TW (12 Apr 2025); ward name per Wikipedia (not in resolution text)",GT-01; GT-02; GT-03,VN-direct,High
PRV-016,Ho Chi Minh City,Thành phố Hồ Chí Minh,centrally governed city,Sai Gon ward (former HCMC),HCMC,Ho Chi Minh City; Ba Ria-Vung Tau; Binh Duong,3,6772.59,14002598,Art 1(16),"Area and population as stated in Resolution 202/2025/QH15 (government dossier figures, reference date not stated in the resolution text); centre former-unit per Resolution 60-NQ/TW (12 Apr 2025); ward name per Wikipedia (not in resolution text)",GT-01; GT-02; GT-03,VN-direct,High
PRV-017,Dong Nai,Đồng Nai,province,"Tran Bien ward (former Bien Hoa, Dong Nai)",Dong Nai,Binh Phuoc; Dong Nai,2,12737.18,4491408,Art 1(17),"Area and population as stated in Resolution 202/2025/QH15 (government dossier figures, reference date not stated in the resolution text); centre former-unit per Resolution 60-NQ/TW (12 Apr 2025); ward name per Wikipedia (not in resolution text)",GT-01; GT-02; GT-03,VN-direct,High
PRV-018,Tay Ninh,Tây Ninh,province,"Long An ward (former Tan An, Long An)",Long An,Long An; Tay Ninh,2,8536.44,3254170,Art 1(18),"Name kept from one former unit but centre placed in another former unit (Long An). Area and population as stated in Resolution 202/2025/QH15 (government dossier figures, reference date not stated in the resolution text); centre former-unit per Resolution 60-NQ/TW (12 Apr 2025); ward name per Wikipedia (not in resolution text)",GT-01; GT-02; GT-03,VN-direct,High
PRV-019,Can Tho,Cần Thơ,centrally governed city,Ninh Kieu ward (former Can Tho),Can Tho,Can Tho (city); Soc Trang; Hau Giang,3,6360.83,4199824,Art 1(19),"Area and population as stated in Resolution 202/2025/QH15 (government dossier figures, reference date not stated in the resolution text); centre former-unit per Resolution 60-NQ/TW (12 Apr 2025); ward name per Wikipedia (not in resolution text)",GT-01; GT-02; GT-03,VN-direct,High
PRV-020,Vinh Long,Vĩnh Long,province,Long Chau ward (former Vinh Long),Vinh Long,Ben Tre; Tra Vinh; Vinh Long,3,6296.2,4257581,Art 1(20),"Area and population as stated in Resolution 202/2025/QH15 (government dossier figures, reference date not stated in the resolution text); centre former-unit per Resolution 60-NQ/TW (12 Apr 2025); ward name per Wikipedia (not in resolution text)",GT-01; GT-02; GT-03,VN-direct,High
PRV-021,Dong Thap,Đồng Tháp,province,My Tho ward (former Tien Giang),Tien Giang,Tien Giang; Dong Thap,2,5938.64,4370046,Art 1(21),"Name kept from one former unit but centre placed in another former unit (Tien Giang). Area and population as stated in Resolution 202/2025/QH15 (government dossier figures, reference date not stated in the resolution text); centre former-unit per Resolution 60-NQ/TW (12 Apr 2025); ward name per Wikipedia (not in resolution text)",GT-01; GT-02; GT-03,VN-direct,High
PRV-022,Ca Mau,Cà Mau,province,Tan Thanh ward (former Ca Mau),Ca Mau,Bac Lieu; Ca Mau,2,7942.39,2606672,Art 1(22),"Area and population as stated in Resolution 202/2025/QH15 (government dossier figures, reference date not stated in the resolution text); centre former-unit per Resolution 60-NQ/TW (12 Apr 2025); ward name per Wikipedia (not in resolution text)",GT-01; GT-02; GT-03,VN-direct,High
PRV-023,An Giang,An Giang,province,Rach Gia ward (former Kien Giang),Kien Giang,Kien Giang; An Giang,2,9888.91,4952238,Art 1(23),"Name kept from one former unit but centre placed in another former unit (Kien Giang). Area and population as stated in Resolution 202/2025/QH15 (government dossier figures, reference date not stated in the resolution text); centre former-unit per Resolution 60-NQ/TW (12 Apr 2025); ward name per Wikipedia (not in resolution text)",GT-01; GT-02; GT-03,VN-direct,High
PRV-024,Ha Noi,Hà Nội,centrally governed city,Hoan Kiem ward,Ha Noi,Ha Noi,1,,,Art 1(24),Not reorganised at provincial level; communes still reorganised; centre former-unit per Resolution 60-NQ/TW (12 Apr 2025); ward name per Wikipedia (not in resolution text),GT-01; GT-03,VN-direct,High
PRV-025,Hue,Huế,centrally governed city,Thuan Hoa ward,Hue,Hue,1,,,Art 1(24),Not reorganised at provincial level; communes still reorganised; centre former-unit per Resolution 60-NQ/TW (12 Apr 2025); ward name per Wikipedia (not in resolution text),GT-01; GT-03,VN-direct,High
PRV-026,Cao Bang,Cao Bằng,province,Thuc Phan ward,Cao Bang,Cao Bang,1,,,Art 1(24),Not reorganised at provincial level; communes still reorganised; centre former-unit per Resolution 60-NQ/TW (12 Apr 2025); ward name per Wikipedia (not in resolution text),GT-01; GT-03,VN-direct,High
PRV-027,Dien Bien,Điện Biên,province,Dien Bien Phu ward,Dien Bien,Dien Bien,1,,,Art 1(24),Not reorganised at provincial level; communes still reorganised; centre former-unit per Resolution 60-NQ/TW (12 Apr 2025); ward name per Wikipedia (not in resolution text),GT-01; GT-03,VN-direct,High
PRV-028,Ha Tinh,Hà Tĩnh,province,Thanh Sen ward,Ha Tinh,Ha Tinh,1,,,Art 1(24),Not reorganised at provincial level; communes still reorganised; centre former-unit per Resolution 60-NQ/TW (12 Apr 2025); ward name per Wikipedia (not in resolution text),GT-01; GT-03,VN-direct,High
PRV-029,Lai Chau,Lai Châu,province,Tan Phong ward,Lai Chau,Lai Chau,1,,,Art 1(24),Not reorganised at provincial level; communes still reorganised; centre former-unit per Resolution 60-NQ/TW (12 Apr 2025); ward name per Wikipedia (not in resolution text),GT-01; GT-03,VN-direct,High
PRV-030,Lang Son,Lạng Sơn,province,Luong Van Tri ward,Lang Son,Lang Son,1,,,Art 1(24),Not reorganised at provincial level; communes still reorganised; centre former-unit per Resolution 60-NQ/TW (12 Apr 2025); ward name per Wikipedia (not in resolution text),GT-01; GT-03,VN-direct,High
PRV-031,Nghe An,Nghệ An,province,Truong Vinh ward,Nghe An,Nghe An,1,,,Art 1(24),Not reorganised at provincial level; communes still reorganised; centre former-unit per Resolution 60-NQ/TW (12 Apr 2025); ward name per Wikipedia (not in resolution text),GT-01; GT-03,VN-direct,High
PRV-032,Quang Ninh,Quảng Ninh,province,Ha Long ward,Quang Ninh,Quang Ninh,1,,,Art 1(24),Not reorganised at provincial level; communes still reorganised; centre former-unit per Resolution 60-NQ/TW (12 Apr 2025); ward name per Wikipedia (not in resolution text),GT-01; GT-03,VN-direct,High
PRV-033,Thanh Hoa,Thanh Hóa,province,Hac Thanh ward,Thanh Hoa,Thanh Hoa,1,,,Art 1(24),Not reorganised at provincial level; communes still reorganised; centre former-unit per Resolution 60-NQ/TW (12 Apr 2025); ward name per Wikipedia (not in resolution text),GT-01; GT-03,VN-direct,High
PRV-034,Son La,Sơn La,province,Chieng Coi ward,Son La,Son La,1,,,Art 1(24),Not reorganised at provincial level; communes still reorganised; centre former-unit per Resolution 60-NQ/TW (12 Apr 2025); ward name per Wikipedia (not in resolution text),GT-01; GT-03,VN-direct,High
