record_id,indicator,value,unit,year,model,scenario,base_year,source_ids,evidence_label,confidence,foresight_type,notes
BLP-014,Beef and veal production,372.4,kt carcass weight,2035,"OECD-FAO Agricultural Outlook 2026-2035 (Aglink-Cosimo), read via OECD SDMX API",Baseline,historical to 2025 (base period not re-checked),QNT-01,VN-direct,Medium,projection,"2025: 321.5 kt, about 51.5% of NSO beef plus buffalo live weight."
BLP-015,Beef and veal food use per person,4.31,kg per person,2030,"OECD-FAO Agricultural Outlook 2026-2035 (Aglink-Cosimo), read via OECD SDMX API",Baseline,historical to 2025 (base period not re-checked),QNT-01,VN-direct,Medium,projection,2025: 3.99 kg.
BLP-016,Beef and veal food use per person,4.6,kg per person,2035,"OECD-FAO Agricultural Outlook 2026-2035 (Aglink-Cosimo), read via OECD SDMX API",Baseline,historical to 2025 (base period not re-checked),QNT-01,VN-direct,Medium,projection,2025: 3.99 kg.
BLP-017,"Pig, poultry and beef food use per person (sum)",61.9,kg per person,2035,"OECD-FAO Agricultural Outlook 2026-2035 (Aglink-Cosimo), read via OECD SDMX API",Baseline,historical to 2025 (base period not re-checked),QNT-01,VN-direct,Medium,projection,"Our sum; Korea 59.2, China 48.5, Malaysia 46.1 in 2035 (same outlook)."
BLP-018,Aquaculture production,6123.4,kt live weight,2030,"OECD-FAO Agricultural Outlook 2026-2035 (Aglink-Cosimo), read via OECD SDMX API",Baseline,historical to 2025 (base period not re-checked),QNT-01,VN-direct,Medium,projection,"2025: 5,691.7 kt, below NSO 6,116.8 kt (different base). +1.8% a year."
BLP-019,Aquaculture production,6826.9,kt live weight,2035,"OECD-FAO Agricultural Outlook 2026-2035 (Aglink-Cosimo), read via OECD SDMX API",Baseline,historical to 2025 (base period not re-checked),QNT-01,VN-direct,Medium,projection,"2025: 5,691.7 kt, below NSO 6,116.8 kt (different base). +1.8% a year."
BLP-020,Capture fisheries production,3501.1,kt live weight,2030,"OECD-FAO Agricultural Outlook 2026-2035 (Aglink-Cosimo), read via OECD SDMX API",Baseline,historical to 2025 (base period not re-checked),QNT-01,VN-direct,Medium,projection,"2025: 3,451.0 kt."
BLP-021,Capture fisheries production,3497.4,kt live weight,2035,"OECD-FAO Agricultural Outlook 2026-2035 (Aglink-Cosimo), read via OECD SDMX API",Baseline,historical to 2025 (base period not re-checked),QNT-01,VN-direct,Medium,projection,"2025: 3,451.0 kt."
BLP-022,Fish exports,4387.1,kt live-weight equivalent,2030,"OECD-FAO Agricultural Outlook 2026-2035 (Aglink-Cosimo), read via OECD SDMX API",Baseline,historical to 2025 (base period not re-checked),QNT-01,VN-direct,Medium,projection,"2025: 4,634.9 kt; includes capture and re-exports."
BLP-023,Fish exports,5000.5,kt live-weight equivalent,2035,"OECD-FAO Agricultural Outlook 2026-2035 (Aglink-Cosimo), read via OECD SDMX API",Baseline,historical to 2025 (base period not re-checked),QNT-01,VN-direct,Medium,projection,"2025: 4,634.9 kt; includes capture and re-exports."
BLP-024,Fish food use per person,46.41,kg per person,2030,"OECD-FAO Agricultural Outlook 2026-2035 (Aglink-Cosimo), read via OECD SDMX API",Baseline,historical to 2025 (base period not re-checked),QNT-01,VN-direct,Medium,projection,2025: 42.40 kg.
BLP-025,Fish food use per person,46.79,kg per person,2035,"OECD-FAO Agricultural Outlook 2026-2035 (Aglink-Cosimo), read via OECD SDMX API",Baseline,historical to 2025 (base period not re-checked),QNT-01,VN-direct,Medium,projection,2025: 42.40 kg.
BLP-026,Protein meal feed use,11058.4,kt product,2030,"OECD-FAO Agricultural Outlook 2026-2035 (Aglink-Cosimo), read via OECD SDMX API",Baseline,historical to 2025 (base period not re-checked),QNT-01,VN-direct,Medium,projection,"2025: 9,530.4 kt (soybean meal plus other oilseed meals). +3.1% a year."
BLP-027,Protein meal feed use,12928.2,kt product,2035,"OECD-FAO Agricultural Outlook 2026-2035 (Aglink-Cosimo), read via OECD SDMX API",Baseline,historical to 2025 (base period not re-checked),QNT-01,VN-direct,Medium,projection,"2025: 9,530.4 kt (soybean meal plus other oilseed meals). +3.1% a year."
BLP-028,Protein meal imports,8597.3,kt product,2030,"OECD-FAO Agricultural Outlook 2026-2035 (Aglink-Cosimo), read via OECD SDMX API",Baseline,historical to 2025 (base period not re-checked),QNT-01,VN-direct,Medium,projection,"2025: 7,370 kt."
BLP-029,Protein meal imports,10288.3,kt product,2035,"OECD-FAO Agricultural Outlook 2026-2035 (Aglink-Cosimo), read via OECD SDMX API",Baseline,historical to 2025 (base period not re-checked),QNT-01,VN-direct,Medium,projection,"2025: 7,370 kt."
BLP-030,Protein meal production (domestic crush),2565.9,kt product,2030,"OECD-FAO Agricultural Outlook 2026-2035 (Aglink-Cosimo), read via OECD SDMX API",Baseline,historical to 2025 (base period not re-checked),QNT-01,VN-direct,Medium,projection,"2025: 2,283.4 kt, from imported oilseeds."
BLP-031,Protein meal production (domestic crush),2732.3,kt product,2035,"OECD-FAO Agricultural Outlook 2026-2035 (Aglink-Cosimo), read via OECD SDMX API",Baseline,historical to 2025 (base period not re-checked),QNT-01,VN-direct,Medium,projection,"2025: 2,283.4 kt, from imported oilseeds."
BLP-032,Fishmeal feed use,309.0,kt,2030,"OECD-FAO Agricultural Outlook 2026-2035 (Aglink-Cosimo), read via OECD SDMX API",Baseline,historical to 2025 (base period not re-checked),QNT-01,VN-direct,Medium,projection,2025: 220.8 kt. +4.4% a year.
BLP-033,Fishmeal feed use,338.7,kt,2035,"OECD-FAO Agricultural Outlook 2026-2035 (Aglink-Cosimo), read via OECD SDMX API",Baseline,historical to 2025 (base period not re-checked),QNT-01,VN-direct,Medium,projection,2025: 220.8 kt. +4.4% a year.
BLP-034,Fishmeal exports,247.9,kt,2030,"OECD-FAO Agricultural Outlook 2026-2035 (Aglink-Cosimo), read via OECD SDMX API",Baseline,historical to 2025 (base period not re-checked),QNT-01,VN-direct,Medium,projection,2025: 259.6 kt.
BLP-035,Fishmeal exports,248.9,kt,2035,"OECD-FAO Agricultural Outlook 2026-2035 (Aglink-Cosimo), read via OECD SDMX API",Baseline,historical to 2025 (base period not re-checked),QNT-01,VN-direct,Medium,projection,2025: 259.6 kt.
BLP-036,Fishmeal imports,167.8,kt,2030,"OECD-FAO Agricultural Outlook 2026-2035 (Aglink-Cosimo), read via OECD SDMX API",Baseline,historical to 2025 (base period not re-checked),QNT-01,VN-direct,Medium,projection,2025: 155.7 kt.
BLP-037,Fishmeal imports,167.7,kt,2035,"OECD-FAO Agricultural Outlook 2026-2035 (Aglink-Cosimo), read via OECD SDMX API",Baseline,historical to 2025 (base period not re-checked),QNT-01,VN-direct,Medium,projection,2025: 155.7 kt.
BLP-038,Maize imports,13965.9,kt,2030,"OECD-FAO Agricultural Outlook 2026-2035 (Aglink-Cosimo), read via OECD SDMX API",Baseline,historical to 2025 (base period not re-checked),QNT-01,VN-direct,Medium,projection,"2025: 12,000 kt. +3.3% a year."
BLP-039,Maize imports,16642.0,kt,2035,"OECD-FAO Agricultural Outlook 2026-2035 (Aglink-Cosimo), read via OECD SDMX API",Baseline,historical to 2025 (base period not re-checked),QNT-01,VN-direct,Medium,projection,"2025: 12,000 kt. +3.3% a year."
BLP-040,Maize feed use,14334.0,kt,2030,"OECD-FAO Agricultural Outlook 2026-2035 (Aglink-Cosimo), read via OECD SDMX API",Baseline,historical to 2025 (base period not re-checked),QNT-01,VN-direct,Medium,projection,"2025: 12,339.6 kt. 2030 value read from a run of annual values (small reading risk)."
BLP-041,Maize feed use,16769.3,kt,2035,"OECD-FAO Agricultural Outlook 2026-2035 (Aglink-Cosimo), read via OECD SDMX API",Baseline,historical to 2025 (base period not re-checked),QNT-01,VN-direct,Medium,projection,"2025: 12,339.6 kt. 2030 value read from a run of annual values (small reading risk)."
BLP-042,Maize production,4714.6,kt,2030,"OECD-FAO Agricultural Outlook 2026-2035 (Aglink-Cosimo), read via OECD SDMX API",Baseline,historical to 2025 (base period not re-checked),QNT-01,VN-direct,Medium,projection,"2025: 4,300 kt. Rising, unlike the recent area trend."
BLP-043,Maize production,4921.8,kt,2035,"OECD-FAO Agricultural Outlook 2026-2035 (Aglink-Cosimo), read via OECD SDMX API",Baseline,historical to 2025 (base period not re-checked),QNT-01,VN-direct,Medium,projection,"2025: 4,300 kt. Rising, unlike the recent area trend."
BLP-044,Soybean imports,2909.8,kt,2030,"OECD-FAO Agricultural Outlook 2026-2035 (Aglink-Cosimo), read via OECD SDMX API",Baseline,historical to 2025 (base period not re-checked),QNT-01,VN-direct,Medium,projection,"2025: 2,600 kt."
BLP-045,Soybean imports,3114.7,kt,2035,"OECD-FAO Agricultural Outlook 2026-2035 (Aglink-Cosimo), read via OECD SDMX API",Baseline,historical to 2025 (base period not re-checked),QNT-01,VN-direct,Medium,projection,"2025: 2,600 kt."
BLP-046,Soybean crush,2940.7,kt,2030,"OECD-FAO Agricultural Outlook 2026-2035 (Aglink-Cosimo), read via OECD SDMX API",Baseline,historical to 2025 (base period not re-checked),QNT-01,VN-direct,Medium,projection,"2025: 2,591 kt."
BLP-047,Soybean crush,3143.8,kt,2035,"OECD-FAO Agricultural Outlook 2026-2035 (Aglink-Cosimo), read via OECD SDMX API",Baseline,historical to 2025 (base period not re-checked),QNT-01,VN-direct,Medium,projection,"2025: 2,591 kt."
BLP-048,Milk production,1648.8,kt,2030,"OECD-FAO Agricultural Outlook 2026-2035 (Aglink-Cosimo), read via OECD SDMX API",Baseline,historical to 2025 (base period not re-checked),QNT-01,VN-direct,Medium,projection,"2025: 1,341.1 kt."
BLP-049,Milk production,2009.5,kt,2035,"OECD-FAO Agricultural Outlook 2026-2035 (Aglink-Cosimo), read via OECD SDMX API",Baseline,historical to 2025 (base period not re-checked),QNT-01,VN-direct,Medium,projection,"2025: 1,341.1 kt."
BLP-050,"Soybean yield, Argentina",3.0,t per ha,2030,"OECD-FAO Agricultural Outlook 2026-2035 (Aglink-Cosimo), read via OECD SDMX API",Baseline,historical to 2025 (base period not re-checked),QNT-01,general,Medium,projection,2025: 2.91. Labels swapped in the fetch summary; assigned by magnitude.
BLP-051,"Soybean yield, Argentina",3.11,t per ha,2035,"OECD-FAO Agricultural Outlook 2026-2035 (Aglink-Cosimo), read via OECD SDMX API",Baseline,historical to 2025 (base period not re-checked),QNT-01,general,Medium,projection,2025: 2.91. Labels swapped in the fetch summary; assigned by magnitude.
BLP-052,"Soybean yield, Brazil",3.64,t per ha,2030,"OECD-FAO Agricultural Outlook 2026-2035 (Aglink-Cosimo), read via OECD SDMX API",Baseline,historical to 2025 (base period not re-checked),QNT-01,general,Medium,projection,2025: 3.62.
BLP-053,"Soybean yield, Brazil",3.76,t per ha,2035,"OECD-FAO Agricultural Outlook 2026-2035 (Aglink-Cosimo), read via OECD SDMX API",Baseline,historical to 2025 (base period not re-checked),QNT-01,general,Medium,projection,2025: 3.62.
BLP-054,"Soybean yield, United States",3.67,t per ha,2030,"OECD-FAO Agricultural Outlook 2026-2035 (Aglink-Cosimo), read via OECD SDMX API",Baseline,historical to 2025 (base period not re-checked),QNT-01,general,Medium,projection,2025: 3.56.
BLP-055,"Soybean yield, United States",3.78,t per ha,2035,"OECD-FAO Agricultural Outlook 2026-2035 (Aglink-Cosimo), read via OECD SDMX API",Baseline,historical to 2025 (base period not re-checked),QNT-01,general,Medium,projection,2025: 3.56.
BLP-056,"Maize yield, Argentina",7.37,t per ha,2030,"OECD-FAO Agricultural Outlook 2026-2035 (Aglink-Cosimo), read via OECD SDMX API",Baseline,historical to 2025 (base period not re-checked),QNT-01,general,Medium,projection,2025: 7.69.
BLP-057,"Maize yield, Argentina",7.62,t per ha,2035,"OECD-FAO Agricultural Outlook 2026-2035 (Aglink-Cosimo), read via OECD SDMX API",Baseline,historical to 2025 (base period not re-checked),QNT-01,general,Medium,projection,2025: 7.69.
BLP-058,"Maize yield, Brazil",6.17,t per ha,2030,"OECD-FAO Agricultural Outlook 2026-2035 (Aglink-Cosimo), read via OECD SDMX API",Baseline,historical to 2025 (base period not re-checked),QNT-01,general,Medium,projection,2025: 6.11.
BLP-059,"Maize yield, Brazil",6.58,t per ha,2035,"OECD-FAO Agricultural Outlook 2026-2035 (Aglink-Cosimo), read via OECD SDMX API",Baseline,historical to 2025 (base period not re-checked),QNT-01,general,Medium,projection,2025: 6.11.
BLP-060,"Maize yield, United States",11.54,t per ha,2030,"OECD-FAO Agricultural Outlook 2026-2035 (Aglink-Cosimo), read via OECD SDMX API",Baseline,historical to 2025 (base period not re-checked),QNT-01,general,Medium,projection,2025: 11.68.
BLP-061,"Maize yield, United States",11.78,t per ha,2035,"OECD-FAO Agricultural Outlook 2026-2035 (Aglink-Cosimo), read via OECD SDMX API",Baseline,historical to 2025 (base period not re-checked),QNT-01,general,Medium,projection,2025: 11.68.
BLP-062,Total feed demand (livestock plus aquafeed),29.5,Mt,2026,USDA FAS Post (GAIN) forecast,Post forecast,2025,MAC-01; MAC-03; MAC-04,VN-direct,Medium,projection,Livestock 22.77 plus aquafeed 6.73.
BLP-063,Total feed demand (livestock plus aquafeed),30.6,Mt,2027,USDA FAS Post (GAIN) forecast,Post forecast,2025,MAC-01; MAC-03; MAC-04,VN-direct,Medium,projection,Livestock 23.48 plus aquafeed 7.12.
BLP-064,Soybean meal feed use,7.4,Mt,2026,USDA FAS Post (GAIN) forecast,Post forecast,2025,MAC-01; MAC-03; MAC-04,VN-direct,Medium,projection,
BLP-065,Soybean meal feed use,7.8,Mt,2027,USDA FAS Post (GAIN) forecast,Post forecast,2025,MAC-01; MAC-03; MAC-04,VN-direct,Medium,projection,
BLP-066,Corn imports,15.0,Mt,2027,USDA FAS Post (GAIN) forecast,Post forecast,2025,MAC-01; MAC-03; MAC-04,VN-direct,Medium,projection,MY2026/27.
BLP-067,Soybean imports,3.5,Mt,2027,USDA Oilseeds: World Markets and Trade (Sep 2026),Official USDA forecast,2025,QNT-07,VN-direct,Medium,projection,MY2026/27.
BLP-068,Soybean meal imports,6.85,Mt,2027,USDA Oilseeds: World Markets and Trade (Sep 2026),Official USDA forecast,2025,QNT-07,VN-direct,Medium,projection,"MY2026/27. With 3.5 Mt of beans this implies about 9 Mt of meal supply, above USDA's 7.8 Mt feed use for 2027."
BLP-069,"Real GDP growth, average 2026 to 2035",5.7,% a year,2035,USDA Agricultural Projections to 2035 (OCE-2026-1),USDA baseline macro assumption,2025,QNT-02,VN-direct,Medium,projection,6.4% in 2026. Used as the BASE income path in our S-HIGH multiplier.
BLP-070,GDP growth assumption,10.0,% a year,2030,Revised PDP8 (Decision 768/QD-TTg),Planning assumption 2026 to 2030,2024,GT-11,VN-direct,High,projection,7.5% a year 2031 to 2050. Used as the S-HIGH income path.
BLP-071,GDP growth assumption,7.5,% a year,2050,Revised PDP8 (Decision 768/QD-TTg),Planning assumption 2031 to 2050,2024,GT-11,VN-direct,High,projection,
BLP-072,Commercial electricity,1306,TWh,2050,Revised PDP8 (Decision 768/QD-TTg),"Plan range 1,237.7 to 1,375.1",2024,GT-11,VN-direct,High,projection,Midpoint shown; compare with S-ALT electricity need.
BLP-073,Power-sector emissions,198,Mt CO2e,2030,Revised PDP8 (Decision 768/QD-TTg),Plan range 197 to 199,2024,GT-11,VN-direct,High,projection,About 27 Mt by 2050. Used to derive our grid factor path.
BLP-074,Population,104.25,million,2030,UN World Population Prospects 2024,Medium variant,2023,GT-12,VN-direct,Medium,projection,Peak 110.02 M in 2049.
BLP-075,Population,106.53,million,2035,UN World Population Prospects 2024,Medium variant,2023,GT-12,VN-direct,Medium,projection,Peak 110.02 M in 2049.
BLP-076,Population,108.44,million,2040,UN World Population Prospects 2024,Medium variant,2023,GT-12,VN-direct,Medium,projection,Peak 110.02 M in 2049.
BLP-077,Population,110.01,million,2050,UN World Population Prospects 2024,Medium variant,2023,GT-12,VN-direct,Medium,projection,Peak 110.02 M in 2049.
BLP-078,Industrial feed output,30 to 32,Mt,2030,Official target,Target,2020,MAC-23; REG-54,VN-direct,High,projection (official target),Decision 1520/QD-TTg. Scope (with or without aquafeed) not stated in the texts read.
BLP-079,"Meat output, carcass weight",6.0 to 6.5,Mt,2030,Official target,Target,2020,MAC-23; REG-54,VN-direct,High,projection (official target),Decision 1520/QD-TTg. Our 2025 carcass estimate (6.04 Mt) is already inside this range.
BLP-080,Meat per person,58 to 62,kg per person,2030,Official target,Target,2020,MAC-23; REG-54,VN-direct,High,projection (official target),Decision 1520/QD-TTg. 2025 production per person on our basis: 59.4 kg.
BLP-081,Eggs per person,220 to 225,eggs per person,2030,Official target,Target,2020,MAC-23; REG-54,VN-direct,High,projection (official target),Decision 1520/QD-TTg. 2025: 209 to 211.
BLP-082,Aquaculture output,7.0,Mt,2030,Official target,Target,2021,QNT-06,VN-direct,High,projection (official target),Decision 339/QD-TTg (11 Mar 2021).
BLP-083,Capture fisheries output,2.8,Mt,2030,Official target,Target,2021,QNT-06,VN-direct,High,projection (official target),Decision 339/QD-TTg. 2025 actual 3.83 Mt.
BLP-084,Seafood exports,14 to 16,USD bn,2030,Official target,Target,2021,QNT-06,VN-direct,High,projection (official target),Decision 339/QD-TTg. 2025 actual USD 11.3 bn.
BLP-085,"Global per-person protein demand from red meat, poultry, dairy and eggs",14,% change 2020 to 2050,2050,IFPRI IMPACT (Komarek et al. 2021),SSP2 mid-range,2020,QNT-12,general,High,projection,Total +38%; South Asia +49% per person; sub-Saharan Africa +55%. No Vietnam value read.
BLP-086,Global total food demand,50 to 60,% change 2019 to 2050,2050,"Falcon, Naylor and Shankar 2022",Authors' projection,2019,QNT-05,general,Medium,projection,Continued shift to poultry. Abstract only.
