record_id,platform,item_id,search_query,category,subcategory,plant_or_animal,product_name_vi,product_name_en,brand,seller_name,seller_type,official_or_mall_badge,qty_per_sold_unit_l_or_kg,listed_price_vnd,vnd_per_l_or_kg,units_sold_counter,counter_precision,rating,review_count,protein_claim,protein_g_per_100,protein_basis,vnd_per_20g_protein,volume_sold_l_or_kg,url,source_ids,evidence_label,confidence,demand_evidence_type,notes
MKT-L11,Lazada,2891374242,sữa yến mạch,plant milk,oat milk,plant,Sữa yến mạch OATSIDE vị nguyên bản Barista Blend 1L,"Oatside Barista Blend oat milk, 1 L",OATSIDE,OATSIDE,brand official store (LazMall badge),yes,1.0,50000,50000,1200,"rounded to nearest 100 above 1,000 (displayed 1.2K)",5.0,180,no,0.7 to 1.1,borrowed audit range for oat milks (FORM-01); no value on the listing,90909 to 142857,1200.0,https://www.lazada.vn/products/pdp-i2891374242.html,MKT-03; FORM-01,VN-direct,Low,revealed,Cumulative counter; start date not shown.
MKT-L12,Lazada,2891173887,sữa yến mạch,plant milk,oat milk,plant,Sữa yến mạch OATSIDE vị nguyên bản Original lốc 180ml x 24,"Oatside Original oat milk, 24 x 180 ml",OATSIDE,OATSIDE,brand official store (LazMall badge),yes,4.32,239000,55324,449,exact as displayed,5.0,108,no,0.7 to 1.1,borrowed audit range for oat milks (FORM-01); no value on the listing,100589 to 158069,1939.7,https://www.lazada.vn/products/pdp-i2891173887.html,MKT-03; FORM-01,VN-direct,Low,revealed,Cumulative counter; start date not shown.
MKT-L13,Lazada,3190101238,sữa yến mạch,plant milk,oat milk,plant,Thùng 24 Hộp Sữa Hạt Yến Mạch Vinamilk 180ml,"Vinamilk oat milk, 24 x 180 ml",Vinamilk,Vinamilk - Shop & More,brand official store (LazMall badge),yes,4.32,228614,52920,439,exact as displayed,5.0,123,no,0.7 to 1.1,borrowed audit range for oat milks (FORM-01); no value on the listing,96218 to 151200,1896.5,https://www.lazada.vn/products/pdp-i3190101238.html,MKT-03; FORM-01,VN-direct,Low,revealed,Cumulative counter; start date not shown.
MKT-L14,Lazada,3104138496,sữa yến mạch,plant milk,oat milk,plant,Sữa yến mạch hạnh nhân Barista The Alternative Dairy Co Australia 1L,The Alternative Dairy Co. barista oat and almond milk (Australia) 1 L,The Alternative Dairy Co,MiniJapan,third-party shop,no,1.0,84000,84000,250,exact as displayed,4.9,45,no,0.7 to 1.1,borrowed audit range for oat milks (FORM-01); no value on the listing,152727 to 240000,250.0,https://www.lazada.vn/products/pdp-i3104138496.html,MKT-03; FORM-01,VN-direct,Low,revealed,Cumulative counter; start date not shown.
MKT-L15,Lazada,304122784,sữa đậu nành,plant milk,"soy milk, flavoured",plant,Thùng 48 hộp Sữa đậu nành Vinamilk hạt Óc chó,"Vinamilk walnut soy milk, 48 x 180 ml",Vinamilk,Vinamilk - Shop & More,brand official store (LazMall badge),yes,8.64,337841,39102,14800,"rounded to nearest 100 above 1,000 (displayed 14.8K)",5.0,4413,no,2.0,"label value for Vinamilk walnut soy milk 180 ml in the retail audit (FORM-01, SKU-079)",39102,127872.0,https://www.lazada.vn/products/pdp-i304122784.html,MKT-03; FORM-01,VN-direct,Low,revealed,Cumulative counter; start date not shown. Pack size 180 ml from the Tiki listing of the same product.
MKT-L16,Lazada,304140089,sữa đậu nành,plant milk,"soy milk, flavoured",plant,Thùng 48 hộp Sữa đậu nành Vinamilk hạt hạnh nhân,"Vinamilk almond soy milk, 48 x 180 ml",Vinamilk,Vinamilk - Shop & More,brand official store (LazMall badge),yes,8.64,337841,39102,6400,"rounded to nearest 100 above 1,000 (displayed 6.4K)",5.0,2117,no,,,,55296.0,https://www.lazada.vn/products/pdp-i304140089.html,MKT-03,VN-direct,Low,revealed,Cumulative counter; start date not shown.
MKT-L17,Lazada,304120791,sữa đậu nành,plant milk,"soy milk, flavoured",plant,Thùng 48 hộp Sữa đậu nành Vinamilk hạt đậu đỏ,"Vinamilk red bean soy milk, 48 x 180 ml",Vinamilk,Vinamilk - Shop & More,brand official store (LazMall badge),yes,8.64,337841,39102,4500,"rounded to nearest 100 above 1,000 (displayed 4.5K)",5.0,1632,no,,,,38880.0,https://www.lazada.vn/products/pdp-i304120791.html,MKT-03,VN-direct,Low,revealed,Cumulative counter; start date not shown.
MKT-L18,Lazada,136018027,sữa đậu nành,plant milk,"soy milk, standard",plant,Thùng Sữa đậu nành SữaTươi Ít Đường Vinamilk 180ml - 48 hộp/Thùng,"Vinamilk fresh soy milk, reduced sugar, 48 x 180 ml",Vinamilk,Vinamilk - Shop & More,brand official store (LazMall badge),yes,8.64,269256,31164,4000,"rounded to nearest 100 above 1,000 (displayed 4.0K)",5.0,1232,no,,,,34560.0,https://www.lazada.vn/products/pdp-i136018027.html,MKT-03,VN-direct,Low,revealed,Cumulative counter; start date not shown.
MKT-L19,Lazada,239324030,sữa đậu nành,plant milk,"soy milk, standard",plant,Bộ 2 thùng (96 bịch) sữa đậu nành Vinamilk gấp đôi canxi 220ml,"Vinamilk double-calcium soy milk, 96 x 220 ml bags",Vinamilk,Vinamilk - Shop & More,brand official store (LazMall badge),yes,21.12,467389,22130,5800,"rounded to nearest 100 above 1,000 (displayed 5.8K)",4.9,2098,no (calcium claim),,,,122496.0,https://www.lazada.vn/products/pdp-i239324030.html,MKT-03,VN-direct,Low,revealed,Cumulative counter; start date not shown.
MKT-L20,Lazada,304116929,sữa đậu nành,plant milk,"soy milk, high protein",plant,Thùng 12 Hộp Sữa đậu nành GoldSoy không đường 1L (Hộp giấy),"Vinamilk GoldSoy unsweetened soy milk, 12 x 1 L",Vinamilk,Vinamilk - Shop & More,brand official store (LazMall badge),yes,12.0,286403,23867,3100,"rounded to nearest 100 above 1,000 (displayed 3.1K)",4.9,739,yes: up to 3.2 g protein per 100 ml on page (not in name),3.2,"""up to 3.2 g protein per 100 ml"" on the Lazada product page (MKT-04)",14917,37200.0,https://www.lazada.vn/products/pdp-i304116929.html,MKT-03; MKT-04; MKT-04,VN-direct,Low,revealed,Cumulative counter; start date not shown. GoldSoy is a Vinamilk brand; sold on Kamereo as GoldSoy giau dam (ECR-06).
MKT-L21,Lazada,304140104,sữa đậu nành,plant milk,"soy milk, standard",plant,Thùng 12 Hộp Sữa đậu nành GoldSoy có đường 1L,"Vinamilk GoldSoy sweetened soy milk, 12 x 1 L",Vinamilk,Vinamilk - Shop & More,brand official store (LazMall badge),yes,12.0,286403,23867,613,exact as displayed,4.9,154,not read,,,,7356.0,https://www.lazada.vn/products/pdp-i304140104.html,MKT-03,VN-direct,Low,revealed,Cumulative counter; start date not shown. Product page not read; protein value unknown.
MKT-L22,Lazada,1894327959,sữa đậu nành,plant milk,"soy milk, standard",plant,Thùng sữa đậu nành Fami Nguyên Chất vị Sữa dừa (36 hộp x 200ml),"Vinasoy Fami soy milk, coconut flavour, 36 x 200 ml",Vinasoy,Vinasoy Store,brand official store (LazMall badge),yes,7.2,160100,22236,1600,"rounded to nearest 100 above 1,000 (displayed 1.6K)",5.0,610,no,,,,11520.0,https://www.lazada.vn/products/pdp-i1894327959.html,MKT-03,VN-direct,Low,revealed,Cumulative counter; start date not shown. Highest Vinasoy counter on Lazada page 1.
MKT-L23,Lazada,2584893319,sữa đậu nành,plant milk,"soy milk, standard",plant,Thùng sữa đậu nành Fami Green Soy không bổ sung đường (36 hộp x 180ml),"Vinasoy Fami Green Soy, no added sugar, 36 x 180 ml",Vinasoy,Vinasoy Store,brand official store (LazMall badge),yes,6.48,189000,29167,580,exact as displayed,5.0,200,no,2.5,"label value for Fami Canxi It Duong, Fami Nguyen Chat It Duong or Fami Green Soy in the retail audit (FORM-01, SKU-125, SKU-126, SKU-146)",23333,3758.4,https://www.lazada.vn/products/pdp-i2584893319.html,MKT-03; FORM-01,VN-direct,Low,revealed,Cumulative counter; start date not shown.
MKT-L24,Lazada,2058727649,sữa đậu nành,plant milk,"soy milk, standard",plant,Thùng 36 Hộp Sữa đậu nành Nuti Nguyên Chất Hộp 200ml,"Nutifood Nuti soy milk, 36 x 200 ml",Nutifood,SUA CHUA NUTIMILK,brand official store (LazMall badge),yes,7.2,233199,32389,68,exact as displayed,5.0,46,no,,,,489.6,https://www.lazada.vn/products/pdp-i2058727649.html,MKT-03,VN-direct,Low,revealed,Cumulative counter; start date not shown.
MKT-L25,Lazada,272416967,sữa tươi tiệt trùng,dairy milk (comparator),UHT milk,animal,Thùng 48 hộp Sữa Tươi Tiệt Trùng Vinamilk 100% Green Farm Organic 180ml,"Vinamilk Green Farm organic UHT milk, 48 x 180 ml",Vinamilk,Vinamilk - Shop & More,brand official store (LazMall badge),yes,8.64,599477,69384,71000,"rounded to nearest 100 above 1,000 (displayed 71.0K)",4.9,17771,no,3.9,"food composition table value for fresh milk (DIE-12), as used by wave 8 (ECR-06); UHT labels may read lower",35581,613440.0,https://www.lazada.vn/products/pdp-i272416967.html,MKT-03; DIE-12,VN-direct,Low,revealed,Cumulative counter; start date not shown. Highest dairy counter read.
MKT-L26,Lazada,206184112,sữa tươi tiệt trùng,dairy milk (comparator),UHT milk,animal,Thùng 12 hộp Sữa tươi tiệt trùng Vinamilk 100% ít đường Hộp giấy 1L,"Vinamilk 100% UHT milk, reduced sugar, 12 x 1 L",Vinamilk,Vinamilk - Shop & More,brand official store (LazMall badge),yes,12.0,468024,39002,53600,"rounded to nearest 100 above 1,000 (displayed 53.6K)",5.0,16140,no,3.9,"food composition table value for fresh milk (DIE-12), as used by wave 8 (ECR-06); UHT labels may read lower",20001,643200.0,https://www.lazada.vn/products/pdp-i206184112.html,MKT-03; DIE-12,VN-direct,Low,revealed,Cumulative counter; start date not shown.
MKT-L27,Lazada,304140076,sữa tươi tiệt trùng,dairy milk (comparator),UHT milk,animal,Thùng 48 hộp Sữa Tươi Tiệt Trùng Vinamilk Green Farm rất ít đường 110ml,"Vinamilk Green Farm UHT milk, very low sugar, 48 x 110 ml",Vinamilk,Vinamilk - Shop & More,brand official store (LazMall badge),yes,5.28,309899,58693,36300,"rounded to nearest 100 above 1,000 (displayed 36.3K)",5.0,9253,no,3.9,"food composition table value for fresh milk (DIE-12), as used by wave 8 (ECR-06); UHT labels may read lower",30099,191664.0,https://www.lazada.vn/products/pdp-i304140076.html,MKT-03; DIE-12,VN-direct,Low,revealed,Cumulative counter; start date not shown.
MKT-L28,Lazada,2205181016,sữa tươi tiệt trùng,dairy milk (comparator),UHT milk,animal,"Thùng 12 Hộp Sữa Tươi Tiệt Trùng Mlekovita Nguyên Kem, Không Đường 1L","Mlekovita whole UHT milk (Poland), 12 x 1 L",Mlekovita,Green Food Store,retailer store with LazMall badge,yes,12.0,425000,35417,5800,"rounded to nearest 100 above 1,000 (displayed 5.8K)",5.0,2436,no,3.9,"food composition table value for fresh milk (DIE-12), as used by wave 8 (ECR-06); UHT labels may read lower",18162,69600.0,https://www.lazada.vn/products/pdp-i2205181016.html,MKT-03; DIE-12,VN-direct,Low,revealed,Cumulative counter; start date not shown.
MKT-L29,Lazada,1663022858,sữa tươi tiệt trùng,dairy milk (comparator),UHT milk,animal,Thùng 48 hộp sữa tươi tiệt trùng Dalatmilk vị tự nhiên 180 ml,"Dalat Milk UHT milk, natural taste, 48 x 180 ml",Dalatmilk (TH),TH true mart,brand official store (LazMall badge),yes,8.64,529338,61266,4300,"rounded to nearest 100 above 1,000 (displayed 4.3K)",5.0,1005,no,3.9,"food composition table value for fresh milk (DIE-12), as used by wave 8 (ECR-06); UHT labels may read lower",31418,37152.0,https://www.lazada.vn/products/pdp-i1663022858.html,MKT-03; DIE-12,VN-direct,Low,revealed,Cumulative counter; start date not shown.
MKT-L30,Lazada,2782583693,sữa tươi tiệt trùng,dairy milk (comparator),"UHT milk, protein claim",animal,Thùng 24 Bịch Sữa Tươi Tiệt Trùng Ít Đường Dutch Lady Canxi & Protein 180ml,"Dutch Lady calcium and protein UHT milk, 24 x 180 ml bags",Dutch Lady,HEALTHY CENTER - EAT CLEAN FOOD,third-party shop,no,4.32,230000,53241,54,exact as displayed,4.8,18,yes: Protein in name,,,,233.3,https://www.lazada.vn/products/pdp-i2782583693.html,MKT-03,VN-direct,Low,revealed,Cumulative counter; start date not shown. Third-party reseller; not comparable with official-store counters.
MKT-L31,Lazada,2019564464,whey protein,protein powder,whey,animal,Sữa Bột Tăng Cơ Cao Cấp ON GOLD STANDARD 100% WHEY 5lbs,"Optimum Nutrition Gold Standard 100% Whey, 5 lb",Optimum Nutrition,Muscle Master 1,third-party shop,no,2.27,3090000,1361233,2500,"rounded to nearest 100 above 1,000 (displayed 2.5K)",4.9,603,yes (protein product),,,,5675.0,https://www.lazada.vn/products/pdp-i2019564464.html,MKT-03; MKT-04,VN-direct,Low,revealed,Cumulative counter; start date not shown. Highest whey counter read. Protein per serving not captured from the page.
MKT-L32,Lazada,3154800181,whey protein,protein powder,whey,animal,[Chính Hãng] ON Gold Standard 100% Whey Protein - ShapeyourBody,Optimum Nutrition Gold Standard 100% Whey (size not in name),Optimum Nutrition,WheyFitness,third-party shop,no,,588900,,526,exact as displayed,4.7,173,yes (protein product),,,,,https://www.lazada.vn/products/pdp-i3154800181.html,MKT-03,VN-direct,Low,revealed,Cumulative counter; start date not shown.
MKT-L33,Lazada,3326267977,whey protein,protein powder,whey,animal,Bột Sữa Whey Protein Isolate Blend Musaking Tăng Cơ Giảm Mỡ,Musaking whey isolate blend,Musaking,MUSAKING PROTEIN,third-party shop,no,,637000,,1100,"rounded to nearest 100 above 1,000 (displayed 1.1K)",4.9,145,yes (protein product),,,,,https://www.lazada.vn/products/pdp-i3326267977.html,MKT-03,VN-direct,Low,revealed,Cumulative counter; start date not shown.
MKT-L34,Lazada,2126595433,whey protein,protein powder,whey,animal,Whey Protein Concentrate NZMP Bổ Sung Protein Whey 80%,NZMP whey protein concentrate 80%,NZMP,WheyFitness,third-party shop,no,,951300,,579,exact as displayed,4.6,171,yes (protein product),,,,,https://www.lazada.vn/products/pdp-i2126595433.html,MKT-03,VN-direct,Low,revealed,Cumulative counter; start date not shown.
MKT-L35,Lazada,1216428873,whey protein,protein powder,whey,animal,Sữa tăng cơ Impact Whey Protein Myprotein 1kg,Myprotein Impact Whey 1 kg,MyProtein,ALL ABOUT SUPPLEMENTS,third-party shop,no,1.0,1300000,1300000,548,exact as displayed,4.8,91,yes (protein product),,,,548.0,https://www.lazada.vn/products/pdp-i1216428873.html,MKT-03,VN-direct,Low,revealed,Cumulative counter; start date not shown.
MKT-L36,Lazada,2582378529,whey protein,protein powder,whey,animal,Whey Protein Isolate California Gold Nutrition 907g,California Gold Nutrition whey isolate 907 g,California Gold Nutrition,Usa Nutri,third-party shop,no,0.907,1600000,1764057,202,exact as displayed,4.9,45,yes (protein product),,,,183.2,https://www.lazada.vn/products/pdp-i2582378529.html,MKT-03,VN-direct,Low,revealed,Cumulative counter; start date not shown.
MKT-L37,Lazada,3076777438,protein thực vật,protein powder,plant,plant,Sữa Whey Thực Vật Tăng Cơ Giảm Mỡ AFIT PROTEIN 1 Kg,"AFIT vegan protein (pea and nuts, made in Vietnam) 1 kg",AFIT Nutrition,AFIT-PROTEIN,third-party shop,no,1.0,384000,384000,2000,"rounded to nearest 100 above 1,000 (displayed 2.0K)",4.8,317,yes (protein product; 21 g per serving),52.5,"21 g protein per scoop of about 40 g, 25 servings per 1 kg, on the Lazada product page (MKT-04)",14629,2000.0,https://www.lazada.vn/products/pdp-i3076777438.html,MKT-03; MKT-04; MKT-04,VN-direct,Low,revealed,Cumulative counter; start date not shown. Highest plant-powder counter read; store panel 10.4K sold in all.
MKT-L38,Lazada,3073569554,plant protein,protein powder,plant,plant,Sữa Tăng Cơ Giảm Mỡ Vegan Protein AFit Nutrition 1 Kg,AFit Nutrition vegan protein 1 kg (second store),AFIT Nutrition,AFIT.Store Protein,third-party shop,no,1.0,384000,384000,1400,"rounded to nearest 100 above 1,000 (displayed 1.4K)",4.8,260,yes (protein product),52.5,"21 g protein per scoop of about 40 g, 25 servings per 1 kg, on the Lazada product page (MKT-04)",14629,1400.0,https://www.lazada.vn/products/pdp-i3073569554.html,MKT-03; MKT-04,VN-direct,Low,revealed,Cumulative counter; start date not shown. Protein assumed equal to MKT-L37 (same product name and price).
MKT-L39,Lazada,1126508895,protein thực vật,protein powder,plant,plant,Bột đạm thực vật hữu cơ Orgain Organic Protein Plant Based Protein Powder,Orgain Organic Protein plant powder (USA),Orgain,Lucimart,third-party shop,no,,1350000,,1300,"rounded to nearest 100 above 1,000 (displayed 1.3K)",5.0,232,yes (protein product),,,,,https://www.lazada.vn/products/pdp-i1126508895.html,MKT-03,VN-direct,Low,revealed,Cumulative counter; start date not shown. Pack size not in the truncated name.
MKT-L40,Lazada,2453678681,plant protein,protein powder,plant,plant,Whey Protein thực vật Plant Protein Sữa Tăng Cân Tăng Cơ,Energy Nutrition plant protein,No brand,ENERGY NUTRITION,third-party shop,no,,270000,,1200,"rounded to nearest 100 above 1,000 (displayed 1.2K)",5.0,102,yes (protein product),,,,,https://www.lazada.vn/products/pdp-i2453678681.html,MKT-03,VN-direct,Low,revealed,Cumulative counter; start date not shown.
MKT-L41,Lazada,3326443053,protein thực vật,protein powder,plant,plant,Bột Protein Thực Vật True Plant Superfoods Musaking túi 1kg,Musaking True Plant protein 1 kg,Musaking,MUSAKING PROTEIN,third-party shop,no,1.0,378000,378000,853,exact as displayed,4.9,72,yes (protein product),,,,853.0,https://www.lazada.vn/products/pdp-i3326443053.html,MKT-03,VN-direct,Low,revealed,Cumulative counter; start date not shown.
MKT-L42,Lazada,2631097902,protein thực vật,protein powder,plant,plant,Bột Protein HealthyBean hỗ trợ Tăng Cân - Tăng Cơ - Đốt Mỡ Lon 1kg,"HealthyBean protein powder (Healthy Farm, Vietnam) 1 kg",Healthy Farm,Bột Protein thực vật Healthybean,third-party shop,no,1.0,276000,276000,521,exact as displayed,4.9,136,yes (protein product),,,,521.0,https://www.lazada.vn/products/pdp-i2631097902.html,MKT-03,VN-direct,Low,revealed,Cumulative counter; start date not shown.
MKT-L43,Lazada,13355860469,sữa đậu nành giàu đạm,protein powder,plant (soy isolate),plant,MUSAKING Soy Protein Isolate 1000G - 28G Protein,Musaking soy protein isolate 1 kg,Musaking,Whey Ken Gym,third-party shop,no,1.0,418000,418000,20,exact as displayed,5.0,3,yes (protein product),,,,20.0,https://www.lazada.vn/products/pdp-i13355860469.html,MKT-03,VN-direct,Low,revealed,Cumulative counter; start date not shown.
MKT-L44,Lazada,1373157709,sườn non chay,chay food,dry textured soy and gluten pieces,plant,1KG SƯỜN NON CHAY TÂM PHÁT (1 kg/2 túi Loại dày),"Tam Phat dry vegetarian ribs (soy protein and wheat gluten), thick, 1 kg",Tam Phat,Thực phẩm Chay Tâm Phát,third-party shop,no,1.0,99000,99000,19200,"rounded to nearest 100 above 1,000 (displayed 19.2K)",5.0,5230,no,53.3 to 66.7,"borrowed label range of An Nhien dry soy and wheat pieces (FORM-01, via CPC-12); product pages give ingredients but no protein figure",2969 to 3715,19200.0,https://www.lazada.vn/products/pdp-i1373157709.html,MKT-03; MKT-04; FORM-01; CPC-12,VN-direct,Low,revealed,"Cumulative counter; start date not shown. Ingredients on page: soy protein, water, vital wheat gluten, corn starch, wheat fibre, salt; soak before use. Highest chay counter read."
MKT-L45,Lazada,1373124807,sườn non chay,chay food,dry textured soy and gluten pieces,plant,1KG SƯỜN CHAY (2 túi/Loại mỏng) Chay Tâm Phát,"Tam Phat dry vegetarian ribs, thin, 1 kg",Tam Phat,Thực phẩm Chay Tâm Phát,third-party shop,no,1.0,98000,98000,3700,"rounded to nearest 100 above 1,000 (displayed 3.7K)",5.0,943,no,53.3 to 66.7,"borrowed label range of An Nhien dry soy and wheat pieces (FORM-01, via CPC-12); product pages give ingredients but no protein figure",2939 to 3677,3700.0,https://www.lazada.vn/products/pdp-i1373124807.html,MKT-03; FORM-01; CPC-12,VN-direct,Low,revealed,Cumulative counter; start date not shown.
MKT-L46,Lazada,1136440111,sườn non chay,chay food,dry textured soy and gluten pieces,plant,3 KG SƯỜN NON CHAY TÂM PHÁT,"Tam Phat dry vegetarian ribs, 3 x 1 kg",Tam Phat,Thực phẩm Chay Tâm Phát,third-party shop,no,3.0,284000,94667,2300,"rounded to nearest 100 above 1,000 (displayed 2.3K)",4.9,741,no,53.3 to 66.7,"borrowed label range of An Nhien dry soy and wheat pieces (FORM-01, via CPC-12); product pages give ingredients but no protein figure",2839 to 3552,6900.0,https://www.lazada.vn/products/pdp-i1136440111.html,MKT-03; FORM-01; CPC-12,VN-direct,Low,revealed,Cumulative counter; start date not shown.
