record_id,metric,value,query_or_oql,source_ids,evidence_label,confidence,notes
VRP-011,"Top institution, adjacent set rank 1","Vietnam Academy of Science and Technology (VAST, all units): 37 works","CORE terms plus OR ""spirulina"" OR ""Arthrospira"" OR ""Pichia pastoris"" OR ""Komagataella"" OR ""duckweed"" OR ""Lemna"" OR ""Wolffia"" OR ""protein isolate"" OR ""protein concentrate"" OR ""yeast protein"" OR ""Aspergillus oryzae""; country VN; 2015 to 2026-09-24; article or review; title and abstract; retracted excluded",HSC-01,VN-direct,Medium,"Raw OpenAlex institution count (lineage), not screened. Includes Graduate University of Science and Technology (12) and institutes such as IBT; mostly microalgae, Pichia and enzyme work."
VRP-012,"Top institution, adjacent set rank 2",Vietnam National University Ho Chi Minh City (all member units): 36 works,"CORE terms plus OR ""spirulina"" OR ""Arthrospira"" OR ""Pichia pastoris"" OR ""Komagataella"" OR ""duckweed"" OR ""Lemna"" OR ""Wolffia"" OR ""protein isolate"" OR ""protein concentrate"" OR ""yeast protein"" OR ""Aspergillus oryzae""; country VN; 2015 to 2026-09-24; article or review; title and abstract; retracted excluded",HSC-01,VN-direct,Medium,"Raw OpenAlex institution count (lineage), not screened. Umbrella: HCMUT 21, HCMUS 11, HCMIU and others counted inside."
VRP-013,"Top institution, adjacent set rank 3",Ho Chi Minh City University of Technology (HCMUT): 21 works,"CORE terms plus OR ""spirulina"" OR ""Arthrospira"" OR ""Pichia pastoris"" OR ""Komagataella"" OR ""duckweed"" OR ""Lemna"" OR ""Wolffia"" OR ""protein isolate"" OR ""protein concentrate"" OR ""yeast protein"" OR ""Aspergillus oryzae""; country VN; 2015 to 2026-09-24; article or review; title and abstract; retracted excluded",HSC-01,VN-direct,Medium,"Raw OpenAlex institution count (lineage), not screened. Member of VNU-HCM; rice protein, spirulina, soy burger."
VRP-014,"Top institution, adjacent set rank 4",Hanoi University of Science and Technology (HUST): 20 works,"CORE terms plus OR ""spirulina"" OR ""Arthrospira"" OR ""Pichia pastoris"" OR ""Komagataella"" OR ""duckweed"" OR ""Lemna"" OR ""Wolffia"" OR ""protein isolate"" OR ""protein concentrate"" OR ""yeast protein"" OR ""Aspergillus oryzae""; country VN; 2015 to 2026-09-24; article or review; title and abstract; retracted excluded",HSC-01,VN-direct,Medium,"Raw OpenAlex institution count (lineage), not screened. Side-stream protein (rice distillers' grain, spent yeast), consumer study."
VRP-015,"Top institution, adjacent set rank 5",Duy Tan University: 17 works,"CORE terms plus OR ""spirulina"" OR ""Arthrospira"" OR ""Pichia pastoris"" OR ""Komagataella"" OR ""duckweed"" OR ""Lemna"" OR ""Wolffia"" OR ""protein isolate"" OR ""protein concentrate"" OR ""yeast protein"" OR ""Aspergillus oryzae""; country VN; 2015 to 2026-09-24; article or review; title and abstract; retracted excluded",HSC-01,VN-direct,Medium,"Raw OpenAlex institution count (lineage), not screened. Mostly reviews by internationally recruited researchers; weak signal of domestic lab capacity."
VRP-016,"Top institution, adjacent set rank 6",Can Tho University: 17 works,"CORE terms plus OR ""spirulina"" OR ""Arthrospira"" OR ""Pichia pastoris"" OR ""Komagataella"" OR ""duckweed"" OR ""Lemna"" OR ""Wolffia"" OR ""protein isolate"" OR ""protein concentrate"" OR ""yeast protein"" OR ""Aspergillus oryzae""; country VN; 2015 to 2026-09-24; article or review; title and abstract; retracted excluded",HSC-01,VN-direct,Medium,"Raw OpenAlex institution count (lineage), not screened. Aquafeed replacement trials; duckweed survey; seaweed."
VRP-017,"Top institution, adjacent set rank 7",Research Institute for Aquaculture No.1 (RIA1): 17 works,"CORE terms plus OR ""spirulina"" OR ""Arthrospira"" OR ""Pichia pastoris"" OR ""Komagataella"" OR ""duckweed"" OR ""Lemna"" OR ""Wolffia"" OR ""protein isolate"" OR ""protein concentrate"" OR ""yeast protein"" OR ""Aspergillus oryzae""; country VN; 2015 to 2026-09-24; article or review; title and abstract; retracted excluded",HSC-01,VN-direct,Low,"Raw OpenAlex institution count (lineage), not screened. Inflated by OpenAlex mis-mapping of Indian authors; genuine core is Australian-partnered barramundi and kingfish trials."
VRP-018,"Top institution, adjacent set rank 8",Industrial University of Ho Chi Minh City (IUH): 15 works,"CORE terms plus OR ""spirulina"" OR ""Arthrospira"" OR ""Pichia pastoris"" OR ""Komagataella"" OR ""duckweed"" OR ""Lemna"" OR ""Wolffia"" OR ""protein isolate"" OR ""protein concentrate"" OR ""yeast protein"" OR ""Aspergillus oryzae""; country VN; 2015 to 2026-09-24; article or review; title and abstract; retracted excluded",HSC-01,VN-direct,Medium,"Raw OpenAlex institution count (lineage), not screened. New entrant 2025 to 2026: jackfruit meat analogue, high-moisture meat analogue with jackfruit fibre; also insect food papers."
VRP-019,"Top institution, adjacent set rank 9",Vietnam National University Hanoi (all member units): 14 works,"CORE terms plus OR ""spirulina"" OR ""Arthrospira"" OR ""Pichia pastoris"" OR ""Komagataella"" OR ""duckweed"" OR ""Lemna"" OR ""Wolffia"" OR ""protein isolate"" OR ""protein concentrate"" OR ""yeast protein"" OR ""Aspergillus oryzae""; country VN; 2015 to 2026-09-24; article or review; title and abstract; retracted excluded",HSC-01,VN-direct,Medium,"Raw OpenAlex institution count (lineage), not screened. Includes VNU University of Science (13): A. oryzae tools, methanotroph isolation."
VRP-020,"Top institution, adjacent set rank 10",Nong Lam University Ho Chi Minh City: 14 works,"CORE terms plus OR ""spirulina"" OR ""Arthrospira"" OR ""Pichia pastoris"" OR ""Komagataella"" OR ""duckweed"" OR ""Lemna"" OR ""Wolffia"" OR ""protein isolate"" OR ""protein concentrate"" OR ""yeast protein"" OR ""Aspergillus oryzae""; country VN; 2015 to 2026-09-24; article or review; title and abstract; retracted excluded",HSC-01,VN-direct,Medium,"Raw OpenAlex institution count (lineage), not screened. Shrimp fishmeal replacement; animal science."
VRP-021,"Top institution, adjacent set rank 11",Nguyen Tat Thanh University: 13 works,"CORE terms plus OR ""spirulina"" OR ""Arthrospira"" OR ""Pichia pastoris"" OR ""Komagataella"" OR ""duckweed"" OR ""Lemna"" OR ""Wolffia"" OR ""protein isolate"" OR ""protein concentrate"" OR ""yeast protein"" OR ""Aspergillus oryzae""; country VN; 2015 to 2026-09-24; article or review; title and abstract; retracted excluded",HSC-01,VN-direct,Medium,"Raw OpenAlex institution count (lineage), not screened. Mixed; several off-topic matches."
VRP-022,"Top institution, adjacent set rank 12",Nha Trang University: 12 works,"CORE terms plus OR ""spirulina"" OR ""Arthrospira"" OR ""Pichia pastoris"" OR ""Komagataella"" OR ""duckweed"" OR ""Lemna"" OR ""Wolffia"" OR ""protein isolate"" OR ""protein concentrate"" OR ""yeast protein"" OR ""Aspergillus oryzae""; country VN; 2015 to 2026-09-24; article or review; title and abstract; retracted excluded",HSC-01,VN-direct,Medium,"Raw OpenAlex institution count (lineage), not screened. Fish hydrolysates as feed and food protein; pompano and trevally trials."
VRP-023,"Top institution, adjacent set rank 13",Dalat University: 11 works,"CORE terms plus OR ""spirulina"" OR ""Arthrospira"" OR ""Pichia pastoris"" OR ""Komagataella"" OR ""duckweed"" OR ""Lemna"" OR ""Wolffia"" OR ""protein isolate"" OR ""protein concentrate"" OR ""yeast protein"" OR ""Aspergillus oryzae""; country VN; 2015 to 2026-09-24; article or review; title and abstract; retracted excluded",HSC-01,VN-direct,Medium,"Raw OpenAlex institution count (lineage), not screened. Duckweed germplasm, genomics and preservation (Lemna aequinoctialis), with IPK Gatersleben and Salk Institute."
VRP-024,"Top institution, adjacent set rank 14",Ho Chi Minh City University of Industry and Trade (HUIT): 7 works,"CORE terms plus OR ""spirulina"" OR ""Arthrospira"" OR ""Pichia pastoris"" OR ""Komagataella"" OR ""duckweed"" OR ""Lemna"" OR ""Wolffia"" OR ""protein isolate"" OR ""protein concentrate"" OR ""yeast protein"" OR ""Aspergillus oryzae""; country VN; 2015 to 2026-09-24; article or review; title and abstract; retracted excluded",HSC-01,VN-direct,Medium,"Raw OpenAlex institution count (lineage), not screened. Spirulina protein extraction and seasoning; gac seed protein concentrate (2026)."
VRP-025,"Top institution, adjacent set rank 15",Ho Chi Minh City University of Technology and Engineering (HCMUTE): 8 works,"CORE terms plus OR ""spirulina"" OR ""Arthrospira"" OR ""Pichia pastoris"" OR ""Komagataella"" OR ""duckweed"" OR ""Lemna"" OR ""Wolffia"" OR ""protein isolate"" OR ""protein concentrate"" OR ""yeast protein"" OR ""Aspergillus oryzae""; country VN; 2015 to 2026-09-24; article or review; title and abstract; retracted excluded",HSC-01,VN-direct,Medium,"Raw OpenAlex institution count (lineage), not screened. Hot-melt extruded alternative proteins (2026)."
VRP-026,"Top institution, screened core set",Research Institute for Aquaculture No.1: 6 works,"works where institution country is (VN) and retracted is (false) and year >= (2015) and year <= (2026) and title/abstract has (stemmed ""algal protein"" or stemmed ""alternative protein"" or stemmed ""alternative proteins"" or stemmed ""cell-based meat"" or stemmed ""cultivated meat"" or stemmed ""cultured meat"" or stemmed ""fish meal replacement"" or stemmed ""fishmeal replacement"" or stemmed ""lab-grown meat"" or stemmed ""meat alternative"" or stemmed ""meat analog"" or stemmed ""meat analogue"" or stemmed ""meat substitute"" or stemmed ""microalgae protein"" or stemmed ""microalgal protein"" or stemmed ""microbial protein"" or stemmed ""molecular farming"" or stemmed ""mycelial protein"" or mycoprotein or stemmed ""novel protein"" or stemmed ""plant-based meat"" or stemmed ""precision fermentation"" or stemmed ""replace fish meal"" or stemmed ""replace fishmeal"" or stemmed ""replacing fish meal"" or stemmed ""replacing fishmeal"" or stemmed ""single cell protein"" or stemmed ""single-cell protein"" or stemmed ""spirulina protein"" or stemmed ""textured vegetable protein"") and type is (article or review)",HSC-01,VN-direct,Medium,"Screened: lupin, spirulina, peanut meal, single-cell protein and black soldier fly trials with Australian partners; red seaweed in mudskipper with CTU (2026)."
VRP-027,"Top institution, screened core set",Nha Trang University: 5 works,"works where institution country is (VN) and retracted is (false) and year >= (2015) and year <= (2026) and title/abstract has (stemmed ""algal protein"" or stemmed ""alternative protein"" or stemmed ""alternative proteins"" or stemmed ""cell-based meat"" or stemmed ""cultivated meat"" or stemmed ""cultured meat"" or stemmed ""fish meal replacement"" or stemmed ""fishmeal replacement"" or stemmed ""lab-grown meat"" or stemmed ""meat alternative"" or stemmed ""meat analog"" or stemmed ""meat analogue"" or stemmed ""meat substitute"" or stemmed ""microalgae protein"" or stemmed ""microalgal protein"" or stemmed ""microbial protein"" or stemmed ""molecular farming"" or stemmed ""mycelial protein"" or mycoprotein or stemmed ""novel protein"" or stemmed ""plant-based meat"" or stemmed ""precision fermentation"" or stemmed ""replace fish meal"" or stemmed ""replace fishmeal"" or stemmed ""replacing fish meal"" or stemmed ""replacing fishmeal"" or stemmed ""single cell protein"" or stemmed ""single-cell protein"" or stemmed ""spirulina protein"" or stemmed ""textured vegetable protein"") and type is (article or review)",HSC-01,VN-direct,Medium,Screened: fish hydrolysates in pompano and trevally diets; tuna viscera protein.
VRP-028,"Top institution, screened core set",Can Tho University: 4 works,"works where institution country is (VN) and retracted is (false) and year >= (2015) and year <= (2026) and title/abstract has (stemmed ""algal protein"" or stemmed ""alternative protein"" or stemmed ""alternative proteins"" or stemmed ""cell-based meat"" or stemmed ""cultivated meat"" or stemmed ""cultured meat"" or stemmed ""fish meal replacement"" or stemmed ""fishmeal replacement"" or stemmed ""lab-grown meat"" or stemmed ""meat alternative"" or stemmed ""meat analog"" or stemmed ""meat analogue"" or stemmed ""meat substitute"" or stemmed ""microalgae protein"" or stemmed ""microalgal protein"" or stemmed ""microbial protein"" or stemmed ""molecular farming"" or stemmed ""mycelial protein"" or mycoprotein or stemmed ""novel protein"" or stemmed ""plant-based meat"" or stemmed ""precision fermentation"" or stemmed ""replace fish meal"" or stemmed ""replace fishmeal"" or stemmed ""replacing fish meal"" or stemmed ""replacing fishmeal"" or stemmed ""single cell protein"" or stemmed ""single-cell protein"" or stemmed ""spirulina protein"" or stemmed ""textured vegetable protein"") and type is (article or review)",HSC-01,VN-direct,Medium,Screened: soy protein concentrate and soybean meal in snakehead; catfish hydrolysate in pig feed; red seaweed in mudskipper.
VRP-029,"Top institution, screened core set",Duy Tan University: 3 works,"works where institution country is (VN) and retracted is (false) and year >= (2015) and year <= (2026) and title/abstract has (stemmed ""algal protein"" or stemmed ""alternative protein"" or stemmed ""alternative proteins"" or stemmed ""cell-based meat"" or stemmed ""cultivated meat"" or stemmed ""cultured meat"" or stemmed ""fish meal replacement"" or stemmed ""fishmeal replacement"" or stemmed ""lab-grown meat"" or stemmed ""meat alternative"" or stemmed ""meat analog"" or stemmed ""meat analogue"" or stemmed ""meat substitute"" or stemmed ""microalgae protein"" or stemmed ""microalgal protein"" or stemmed ""microbial protein"" or stemmed ""molecular farming"" or stemmed ""mycelial protein"" or mycoprotein or stemmed ""novel protein"" or stemmed ""plant-based meat"" or stemmed ""precision fermentation"" or stemmed ""replace fish meal"" or stemmed ""replace fishmeal"" or stemmed ""replacing fish meal"" or stemmed ""replacing fishmeal"" or stemmed ""single cell protein"" or stemmed ""single-cell protein"" or stemmed ""spirulina protein"" or stemmed ""textured vegetable protein"") and type is (article or review)",HSC-01,VN-direct,Medium,"Screened: plant-based fish analogue review, soy protein crosslinking review, protein isolation with natural solvents."
VRP-030,"Top institution, screened core set",Ho Chi Minh City University of Industry and Trade (HUIT): 3 works,"works where institution country is (VN) and retracted is (false) and year >= (2015) and year <= (2026) and title/abstract has (stemmed ""algal protein"" or stemmed ""alternative protein"" or stemmed ""alternative proteins"" or stemmed ""cell-based meat"" or stemmed ""cultivated meat"" or stemmed ""cultured meat"" or stemmed ""fish meal replacement"" or stemmed ""fishmeal replacement"" or stemmed ""lab-grown meat"" or stemmed ""meat alternative"" or stemmed ""meat analog"" or stemmed ""meat analogue"" or stemmed ""meat substitute"" or stemmed ""microalgae protein"" or stemmed ""microalgal protein"" or stemmed ""microbial protein"" or stemmed ""molecular farming"" or stemmed ""mycelial protein"" or mycoprotein or stemmed ""novel protein"" or stemmed ""plant-based meat"" or stemmed ""precision fermentation"" or stemmed ""replace fish meal"" or stemmed ""replace fishmeal"" or stemmed ""replacing fish meal"" or stemmed ""replacing fishmeal"" or stemmed ""single cell protein"" or stemmed ""single-cell protein"" or stemmed ""spirulina protein"" or stemmed ""textured vegetable protein"") and type is (article or review)",HSC-01,VN-direct,Medium,"Screened: spirulina protein extraction (2022), spirulina seasoning (2026), gac seed protein concentrate (2026)."
VRP-031,"Top institution, screened core set",Industrial University of Ho Chi Minh City (IUH): 2 works,"works where institution country is (VN) and retracted is (false) and year >= (2015) and year <= (2026) and title/abstract has (stemmed ""algal protein"" or stemmed ""alternative protein"" or stemmed ""alternative proteins"" or stemmed ""cell-based meat"" or stemmed ""cultivated meat"" or stemmed ""cultured meat"" or stemmed ""fish meal replacement"" or stemmed ""fishmeal replacement"" or stemmed ""lab-grown meat"" or stemmed ""meat alternative"" or stemmed ""meat analog"" or stemmed ""meat analogue"" or stemmed ""meat substitute"" or stemmed ""microalgae protein"" or stemmed ""microalgal protein"" or stemmed ""microbial protein"" or stemmed ""molecular farming"" or stemmed ""mycelial protein"" or mycoprotein or stemmed ""novel protein"" or stemmed ""plant-based meat"" or stemmed ""precision fermentation"" or stemmed ""replace fish meal"" or stemmed ""replace fishmeal"" or stemmed ""replacing fish meal"" or stemmed ""replacing fishmeal"" or stemmed ""single cell protein"" or stemmed ""single-cell protein"" or stemmed ""spirulina protein"" or stemmed ""textured vegetable protein"") and type is (article or review)",HSC-01,VN-direct,Medium,Screened: jackfruit meat analogue and high-moisture meat analogue (2026). Also 3 insect-food papers not counted.
VRP-032,"Top institution, screened core set",Tra Vinh University: 2 works,"works where institution country is (VN) and retracted is (false) and year >= (2015) and year <= (2026) and title/abstract has (stemmed ""algal protein"" or stemmed ""alternative protein"" or stemmed ""alternative proteins"" or stemmed ""cell-based meat"" or stemmed ""cultivated meat"" or stemmed ""cultured meat"" or stemmed ""fish meal replacement"" or stemmed ""fishmeal replacement"" or stemmed ""lab-grown meat"" or stemmed ""meat alternative"" or stemmed ""meat analog"" or stemmed ""meat analogue"" or stemmed ""meat substitute"" or stemmed ""microalgae protein"" or stemmed ""microalgal protein"" or stemmed ""microbial protein"" or stemmed ""molecular farming"" or stemmed ""mycelial protein"" or mycoprotein or stemmed ""novel protein"" or stemmed ""plant-based meat"" or stemmed ""precision fermentation"" or stemmed ""replace fish meal"" or stemmed ""replace fishmeal"" or stemmed ""replacing fish meal"" or stemmed ""replacing fishmeal"" or stemmed ""single cell protein"" or stemmed ""single-cell protein"" or stemmed ""spirulina protein"" or stemmed ""textured vegetable protein"") and type is (article or review)",HSC-01,VN-direct,Medium,Screened: Leucaena leaf replacing fishmeal in whiteleg shrimp (2023; v0.1 wrongly flagged this as a doubtful VN tag); yeast in poultry review.
