record_id,type,move,who,indicative_cost,why_it_matters,timing,source_ids,who_would_pay
DMV-11,measurement,"Request quotes for one vegetable and one plant-protein wrapped SKU from three EU importers of Asian frozen foods and two brand owners already sourcing wrapped foods from Vietnam, with their certification (IFS or BRCGS) and origin requirements; retailer protein targets need no survey, since they are published",Trade promotion bodies; exporters of wrapped foods,Low,Tests export demand through the buyers who already take Vietnamese wrapped foods (stuffed pasta exports USD 128.2 million in 2023) where Vietnam has a tariff edge,2027,XBA-07; XBA-12; XBA-20; XBA-29,Industry and trade bodies (no external payer found)
DMV-12,public good,Feed carbon-footprint benchmark for Vietnamese shrimp and pangasius feed,Feed mills; ASC; researchers,Medium,Helps ASC-certified mills meet GHG reporting (ASC Feed Standard 1.21.4 and 1.21.5); will not by itself create demand for microbial ingredients,2027 to 2028,EXP-29; FBA-01,"No full fit. Partial: ADB Ventures, IFC, ACIAR, World Bank or ADB technical assistance. Otherwise industry (ASC-certified mills)"
DMV-13,policy,"Ask MOH or VFA to state that an unqualified chay or thuần chay claim means the vegan criteria of TCVN 13625:2023, that egg or milk must be named in a qualifier, and that allium-free stays voluntary; enforce the existing goods-label rules against false chay claims, paired with DMV-07 testing",MOH; Vietnam Food Administration,Low,"TCVN 13625:2023 already defines vegetarian and vegan claims but counts egg, milk and honey as vegetarian and says nothing on alliums; false chay claims are already unlawful, so the need is guidance and enforcement, not a new rule",2026 to 2027,LBL-15; LBL-06; LBL-09; CHY-52,No full fit. Partial: Nova Vista (policy outcome); ACE Movement Grants for a small Vietnamese organisation (policy work only)
DMV-14,policy,"A voluntary industry code for generic product names (giò lụa, xúc xích, hotdog) that states the meat share when a plant or fungal protein replaces 10% or more of the meat. Percentage labelling of a named meat is already law (Decree 37/2026, carrying Decree 43/2017 Art 13(4))","Meat processors (Vissan, Masan MEATLife, C.P. Vietnam); a processors' association; MOIT",Low,"Defensive: proof against a độn (filler) accusation. Declared percentages are already enforced criminally, and the fraud frame lives in unlabelled market giò and exempt small businesses, which a label rule does not reach",2026 to 2027,LBL-06; LBL-09; BUY-05; TRU-09; TRU-03,"Industry (processors); for the policy side only partial fits (Nova Vista, ACE Movement Grants)"
DMV-15,policy,"Defend the permissive naming regime in the new Food Safety Law decree (no rule reserves thịt, sữa or phô mai; names must only not mislead, and practice already qualifies meat words, as in Heo hầm chay) and aim vocabulary guidance at state and media use, which has used thịt nhân tạo for cultivated meat",MOH; Vietnam Food Administration; provincial science departments,Low,Keeps qualified meat and milk words usable and removes a naming penalty before the first new products arrive,2026 to 2027,LBL-06; LBL-16; LBL-20; LBL-21; NOV-69,"Nova Vista (fits: fair naming and novel-food pathways); ACE Movement Grants for a small Vietnamese organisation (policy work only, USD 100,000 or less, deadline 18 October 2026)"
DMV-16,policy,"Ask MAE and VFA whether a recombinant protein identical to the native protein is a detectable product of the modified gene under Joint Circular 45/2015 Art 1(2)(a), and whether a product containing one below 5% of ingredients may still claim non-GMO",MAE and MOH (joint note; policy option in chapter 27),Low,"The GMO label applies only above 5% of ingredients, so lactoferrin-type uses (about 0.08%) are not caught; what remains open is high-inclusion uses and the voluntary non-GMO claims the likely Vietnamese buyers make",2026 to 2027,LBL-10; REG-02; LBL-25; NOV-08,"Nova Vista (fits: novel-food pathways); ACE Movement Grants for a small Vietnamese organisation (policy work only, deadline 18 October 2026)"
DMV-17,policy,"National school guidance (Decision 3958/QĐ-BYT) already has no animal share. Ask MOET, NIN and Ajinomoto to replace the menu software's 'animal protein at least 48%' default with protein-quality, zinc and iron targets per lunch (by absorption band) and a sodium limit, and to add textured soy and legume products, with phytate data, to the software food list; write both into the MOET bán trú circular due in 2026 and the digital menu tools due in 2027 to 2028 (Decision 973/QĐ-TTg). A second version: a procurement standard for innovative protein in public and state-enterprise canteens",MOET; MOH and NIN; Ajinomoto Vietnam (menu software); provinces,Low,"The software default, not national guidance, prints the animal floor on school menus; guidance already asks for animal protein on 4 to 5 days a week and plant protein at least twice; supplier documents are now set by Directive 33/CT-TTg. The gain is protein quality, zinc and cost per gram, not meat displacement, since the plant slot is filled with tofu",2026 to 2028,AIB-39; PMR-26; PMR-01; PMR-02; APR-04,"No full fit. As protein quality in school food it fits UNICEF Viet Nam's 2027 to 2031 programme (school food standards); as a canteen procurement standard it fits Nova Vista's procurement lever. Other partial fits: Bezos Centre, Humane World, World Bank or ADB"
DMV-18,policy,"Create national eight-digit customs subheadings for soy isolate, pea protein and textured protein",MOF,Low,Makes business-to-business demand visible every year,2027,BUY-01,No full fit. Partial: Nova Vista; World Bank or ADB technical assistance. Otherwise MOF's own budget
DMV-19,policy,"Publish an origin note for wrapped-food exporters on the EU 20% cap on non-originating flour, starch and rice and on the 10% tolerance for imported textured soy in 2106 foods (by weight or value), and on claiming CPTPP for the UK; imported soy protein is not the main constraint. Keep the EU, UK, Japanese and Canadian preferences usable",MOIT (origin office); VCCI; exporters,Low,Keeps a 6 to 17.5 point export edge usable (Japan charges 3.8% on Vietnamese dumplings against 21.3% for China and Thailand),2026 to 2027,ORG-01; ORG-05; EXP-23; EXP-24,Industry and trade bodies (no external payer found; World Bank or ADB technical assistance partial)
DMV-20,policy,"Obtain a written Ministry of Finance ruling on whether soy milk (TCVN 12443:2018), nut and cereal milks above 5 g total sugar per 100 ml are nước giải khát (soft drinks) under the sugary-drink excise, before 1 January 2027","MOF (tax department); plant-milk makers (Vinasoy, Vinamilk, TH, Nutifood) and their association",Low,"The excise is 8% from 2027 and 10% from 2028 above 5 g sugar per 100 ml, and dairy is exempt; core Fami soy milks carry 6.5 to 9.3 g; plant-milk design and the host drink for T10 depend on the answer",2026 (before 1 January 2027),FTR-01; FTR-02; FTR-05; FTR-13,Industry (plant-milk makers and their association); no external payer found
DMV-21,measurement,"Publish a price sheet of five delivered quotes for food-grade, low-temperature defatted soy flour and three for Chinese plain textured soy, with the T1 breakeven (flour below about USD 700 to 940 per t for a 1 t/h line at 70% utilisation)","A would-be T1 owner (chay maker, co-packer or distributor); AltProtein Vietnam",Very low (tens of hours),Delivered flour is 63 to 85% of the cost of domestic textured soy and sets the sign of the T1 margin; the sheet decides the T1 kill test,2026 to 2027,TIC-12; TIC-13,Industry (the would-be owner or its lender); no external payer needed
