fact_id,topic,claim,value,unit,year_of_data,scope,source_ids,evidence,confidence,quote,notes
C-F11,market,In October 2025 Beyond Meat swapped USD 1.11 billion of convertible notes due 2027 for USD 209 million of new secured notes due 2030 plus about 316 million new shares.,1114.6; 208.7; 316.2,USD million; USD million; million shares,2025,company (global),PRC-07; PRC-06,general,High,"$1,114,603,000 in aggregate principal amount of the Existing Convertible Notes were validly tendered","96.92% of the notes were tendered; early settlement 15 Oct 2025, completion 30 Oct 2025 (PRC-06). Beyond Meat booked a USD 548.7 million non-cash gain, so its reported 2025 net income (USD 219.9 million) is not an operating profit."
C-F12,market,"In the United States, retail sales of plant-based meat and seafood fell from USD 1.4 billion in 2021 to USD 1.0 billion in 2025, and the share of households buying it fell from 19% to 11%.",1.4; 1.0; 19; 11,USD billion; percent,2021; 2025,United States,GLB-01; GLB-02,general,High,package app-ag AG.1: retail dollar sales 1.4 USD billion (2021) and 1.0 USD billion (2025); household penetration 19 and 11 percent,Reused from app-ag (SPINS and Circana data via GFI). Unit sales fell from 281 million to 173 million.
C-F13,market,"Global retail sales of plant-based foods were about USD 28.9 billion in 2025, up 3% on 2024; plant-based meat and seafood were USD 6.6 billion of this.",28.9; 6.6,USD billion,2025,global,GLB-06; GLB-07; GLB-05,general,Medium,"Global retail sales of plant-based meat, seafood, milk, yogurt, ice cream, and cheese reached an estimated $28.9 billion in 2025",Euromonitor data via GFI. About 83% of plant-based meat and seafood sales are in Europe and North America (GLB-05).
C-F14,market,"Plant-based dairy is the largest plant-based category, at about USD 22.7 billion of global retail sales in 2025, and Asia-Pacific accounts for over a third of it.",22.7; over 33,USD billion; percent,2025,global; Asia-Pacific,GLB-49,VN-adjacent,Medium,APAC was estimated to account for over one-third of plant-based dairy sales,"GFI APAC via Euromonitor. Caution: 22.7 (dairy) plus 6.6 (meat and seafood) exceeds the 28.9 headline, so category scopes differ between GFI publications; do not add them."
C-F15,market,"The exceptions to the fade were familiar products: plant milk took 13% of US milk dollar sales in 2025 (16% in 2021) and 9.9% of German milk and dairy drink sales value in 2024, while German sales volume of tofu, tempeh and seitan rose 16.7% in 2024.",13; 16; 9.9; 16.7,percent,2021; 2024; 2025,United States; Germany,GLB-01; GLB-02; GLB-09,general,High,"package app-ag AG.1: plant-based milk share of total milk dollar sales 13 percent (2025); tofu, tempeh and seitan sales volume change 16.7 percent (2024)",Reused from app-ag. By contrast US plant-based meat was 0.7% of meat dollar sales in 2025 and German plant-based meat volume fell 1.7% in 2025 (GLB-08).
C-F16,market,"Oatly's revenue grew 4.7% to USD 862.5 million in 2025, its first full year of positive adjusted EBITDA, although it still made a net loss of USD 152.8 million.",862.5; 6.8; -152.8,USD million,2025,company (global),PRC-10,general,High,I am proud to report that we drove profitable growth in both the fourth quarter and the full year.,"Constant-currency growth 2.2%. 'Profitability' refers to adjusted EBITDA (USD 6.8 million), not net profit."
C-F17,market,"Several cultivated meat firms closed in 2024 and 2025 because they could not raise more capital, including SCiFi Foods (2024), Upstream Foods, CellRev and Meatable (2025), and Believer Meats, which filed for bankruptcy weeks after US approval of a plant that had cost USD 154 million.",5 named closures; 154,companies; USD million (Believer plant cost),2024 to 2025,US; UK; Netherlands,HSC-08; FTB-24; FTB-45,general,Medium,"their facility costs had grown to $154 million, about 11% over initial projections",GFI counted 142 cultivated companies in 2025 against 155 in 2024 (mergers plus 'a handful of closures'). GFI dates Believer's USDA grant of inspection to October in one passage and November in another; FoodNavigator says the plant 'shuttered in December 2025'. Vow (Australia) cut about 30% of staff in 2025 (NOV-16).
C-F18,market,"Although 10 safety evaluations of cultivated meat products had been completed by 2025, only three companies (Wildtype, GOOD Meat and Vow) had consistently sustained sales that year.",10; 3,evaluations; companies,2025,global,FTB-24,general,Medium,"only three companies (WildType, GOOD Meat, and Vow) had consistently sustained sales in 2025","GFI (advocacy). No sales volumes are published. The largest reported cultivated production run is 20,000 L (Vow, Sydney)."
C-F19,market,"Meati, a US mycoprotein company, went bankrupt in 2025 despite commercial production, and its fermentation assets, valued at USD 15 to 20 million, sold for USD 75,000 in 2026.",75000,USD,2025 to 2026,United States,FTB-17; FTB-38,general,Medium,"Meati's bankruptcy in 2025, despite commercial production",The asset buyers (Ayana Bio and Zenfold) are moving the equipment to India (FTB-38). Gas-fermentation start-ups NovoNutrients and Arkeon also closed in 2025 (FTG-10; FTG-11).
C-F20,market,"Market forecasts made during the boom overshot: Barclays forecast in 2019 an alternative meat market of USD 140 billion by 2029, against USD 6.6 billion of plant-based meat and seafood retail sales in 2025.",140; 6.6,USD billion,2019 forecast; 2025 actual,global,GLB-44; GLB-05,general,Medium,"package app-ag AG.5: Barclays 2019, USD 140 billion, about 10% of a USD 1.4 trillion meat market","Reused from app-ag. Cited only as an example of a forecast that overshot, not as a finding."
C-F21,regulation,"Singapore had approved 18 novel foods by August 2026, including six cultivated products, from the world's first cultivated chicken (dated 26 November 2020) to the first cultivated beef (Aleph Farms, 22 July 2026).",18; 6,approvals,2019 to 2026,Singapore,RGN-04; RGN-29,VN-adjacent,High,"Singapore has approved 18 novel foods, including the world's first cultivated duck and beef",Reused from app-n (SFA list dated 14 August 2026). The Aleph Farms approval was announced on 4 August 2026.
C-F22,regulation,"The United States has cleared five cultivated products (UPSIDE Foods chicken 2022, GOOD Meat chicken 2023, and Mission Barns pork fat, Wildtype salmon and Believer Meats chicken in 2025); worldwide seven companies are cleared for human food, in Singapore, the US, Australia and New Zealand, and Israel.",5; 7,products; companies,2022 to 2025,United States; global,RGN-03; FTB-24; RGN-18,general,High,a total of seven companies have received regulatory clearance,"US meat and poultry also need USDA inspection; seafood is FDA only. Israel approved Aleph Farms' beef around January 2024 (RGN-18, secondary). Australia and New Zealand approved Vow's quail in 2025."
C-F23,regulation,The first applications to authorise cultivated meat in the European Union came from Gourmey (now PARIMA) for duck foie gras on 29 July 2024 and from Mosa Meat for cultivated beef fat in January 2025.,29 Jul 2024; Jan 2025,date,2024; 2025,European Union,PRC-11; PRC-12,general,Medium,This is the first time a company has sought novel food approval for cultivated food from the European Commission.,"Gourmey filed in parallel in the US, UK, Switzerland and Singapore and merged with Vital Meat to form PARIMA in 2025 (FTB-24). Mosa Meat date to recheck: our page read showed 22 January 2024, but trade press on the same news is dated 22 January 2025."
C-F24,regulation,"Europe's first cultivated meat application was made in Switzerland (Aleph Farms with Migros, July 2023), but no cultivated meat had been authorised in the European Union or Switzerland by September 2026.",0,authorisations,2023; status Sep 2026,European Union; Switzerland,PRC-15; FTB-45; FTB-24; HSC-12,general,Medium,the First-ever Submission for Cultivated Meat in Europe,"Gourmey also filed in Switzerland in July 2024. Absence of authorisation rests on FoodNavigator (February 2026), GFI (April 2026) and approvals news to 1 September 2026 (HSC-12): absence of evidence, not a registry check."
C-F25,regulation,"The European Union authorised its first mycelium (fungal biomass) protein, The Protein Brewery's Fermotein, in June 2026, after a positive EFSA opinion in December 2025.",Jun 2026,date,2025 to 2026,European Union,FTB-17; HSC-12,general,Medium,received the EU's first positive European Food Safety Authority scientific opinion for a new mycoprotein ingredient,The June 2026 authorisation is from a trade press headline dated 17 June 2026 (HSC-12); the implementing regulation was not read.
C-F26,regulation,"In the UK, Meatly's cultivated chicken was approved for pet food in July 2024 and went on sale on 7 February 2025 in a dog treat at a Pets at Home store in London, the first pet food with cultivated meat sold anywhere.",7 Feb 2025,date,2024 to 2025,United Kingdom,PRC-14; PRC-13,general,High,the first retailer to sell pet food made from cultivated meat globally,"Pet food route, not human food. Share of cultivated chicken in the product not stated."
C-F27,regulation,"The UK Food Standards Agency launched a GBP 1.6 million, two-year regulatory sandbox for cell-cultivated products in March 2025 with eight companies, aiming to complete two safety assessments by 2027.",1.6; 8; 2,GBP million; companies; assessments,2025 to 2027,United Kingdom,PRC-13; FTB-24,general,Medium,We're confident the programme will meet all its objectives by 2027.,"Participants: Hoxton Farms, Roslin Technologies, Uncommon Bio, Mosa Meat, Gourmey, Vital Meat, BlueNalu, Vow. In July 2025 the FSA validated PARIMA's foie gras application, the first UK cultivated application to reach full risk assessment; validation is not authorisation (FTB-24)."
C-F28,regulation,"US regulators sent 10 'no questions' letters for fermentation-made food ingredients in 2025 (8 precision-fermented, 2 biomass), three of them to Chinese companies.",10,FDA GRAS 'no questions' letters,2025,United States,FTB-17,general,High,Fermentation GRAS 'no questions' letters in 2025 (GFI table from the FDA GRAS Notices Inventory),Includes one supplemental letter (Oobli). No all-years count found. The FDA proposed a rule to tighten GRAS oversight on 10 Aug 2026 (EXP-45).
C-F29,regulation,"China's National Health Commission approved a Fusarium mycoprotein and its first ingredient from a genetically modified microorganism in 2025; by July 2025 it had accepted 26 novel food applications, but none for cultivated meat.",26,applications accepted,2025,China,HSC-11; FTB-17; FTB-24,VN-adjacent,Medium,"As of July 2025, the NHC had accepted 26 novel food applications",GFI says the NHC is working on cultivated meat guidelines but had 'not yet accepted any applications for product approvals'.
C-F30,restrictions,"Italy's Law 172 of 1 December 2023, in force from 16 December 2023, bans producing and marketing food and feed made from vertebrate cell cultures and bans meat names for processed plant-protein products.",172,law number,2023,Italy,PRC-18; NOV-81; FTB-24,general,High,"divieto di produzione e di immissione sul mercato di alimenti e mangimi costituiti, isolati o prodotti a partire da colture cellulari","Title and dates from the Gazzetta Ufficiale; article text not read. Trade press describes it as banning 'production, sale and import' (PRC-19); import is not in the title."
C-F31,restrictions,"Hungary's parliament voted in November 2025 to ban cultivated meat (140 for, 10 against, 18 abstentions), the EU's second national ban after Italy, despite the European Commission finding such a ban unjustified.",140; 10; 18,votes,2025,Hungary,PRC-19; FTB-24,general,Medium,"The motion passed with 140 in support, 10 against, and 18 abstentions",Commission view via the EU TRIS notification process (FTB-24). Austria's 2025 coalition agreement also commits to opposing EU approval of cultivated meat (FTB-24). Exact vote and entry-into-force dates not found.
C-F32,restrictions,"By the end of 2025 seven US states had banned or paused cultivated meat sales: Florida and Alabama (bans, 2024); Mississippi, Montana and Nebraska (bans, 2025); Indiana (moratorium to 30 June 2027) and Texas (two-year ban to 1 September 2027), both 2025.",7,states,2024 to 2025,United States,HSC-35; FTB-24; PRC-16,general,High,seven states had temporary or indefinite cultivated meat bans in place by the end of 2025,"Our read of the NALC compilation (HSC-35) listed Florida and Alabama under 2025; GFI and CSG Midwest date them to 2024, which is the enactment year. Lawsuits by UPSIDE Foods (Florida) and by UPSIDE Foods and Wildtype (Texas) are ongoing."
C-F33,restrictions,"South Dakota became the eighth US state to restrict cultivated meat, with a temporary sales ban from 1 July 2026; Mississippi also banned cultivated dairy from the same date, and 21 states have alternative protein labelling laws.",8; 21,states,2026,United States,PRC-16; PRC-17; HSC-35,general,Medium,"Temporarily prohibits the manufacture, sale, or distribution of any product containing cell-cultured protein","End date differs: 30 June 2031 (CSG Midwest, PRC-16) or 30 June 2030 (NALC, PRC-17); give both. Labelling count as of 7 April 2026 (HSC-35). Other 2026 state laws outside the Midwest were not searched exhaustively."
C-F34,restrictions,"The EU's 'veggie burger' debate ended with Regulation (EU) 2026/1739, which reserves 31 meat terms such as 'steak', 'bacon' and 'chicken' for animal products from 19 August 2029 but still allows 'burger', 'sausage' and 'nuggets'.",31,reserved terms,2026 (applies 2029),European Union,PRC-21; PRC-20; PRC-22; FTB-17,general,High,"Its meat-designation provisions apply from August 19, 2029.","Parliament voted 355 to 247 in October 2025 for a wider ban; trilogue deal 5 March 2026 (PRC-20; PRC-22 says February); published 29 July 2026, in force 18 August 2026 (PRC-21; PRC-22 says 19 August). Terms also apply to fermentation-made and cultivated products (PRC-20; FTB-17). In July 2026 some MEPs tabled amendments to extend the ban to 'burger', 'sausage' and 'nugget' in the post-2027 farm market reform; committee vote expected 1 December 2026, plenary in 2027 (PRC-21; PRC-22)."
C-F35,public funding,"Denmark's Action Plan for Plant-based Foods (October 2023) set up a Plant-based Food Grant of DKK 675 million for 2023 to 2030, which was made permanent in 2024.",675,DKK million,2023 to 2030,Denmark,VIS-01; VIS-04; VIS-02,general,Medium,"Plant-based Food Grant DKK 675 M, 2023 to 2030 (about DKK 84 M a year); made permanent (2024)",Quote is the package's wording (vision benchmarks working paper) of the plan. A secondary source reports DKK 812 million after top-ups (VIS-02); the plan has no KPIs. Denmark also plans a livestock emissions tax from 2030.
C-F36,public funding,"The Netherlands' National Growth Fund granted EUR 60 million in April 2022 to a cellular agriculture consortium (cultivated meat and precision fermentation), for a programme running 2023 to 2031.",60,EUR million,2022 (programme 2023 to 2031),Netherlands,PRC-24; PRC-23,general,High,grants conditional funding of 60 million euros to the Cellular Agriculture consortium,Conditional in April 2022; the Growth Fund page lists it as an active project.
C-F37,public funding,"In the UK, the Bezos Earth Fund put USD 30 million into a Bezos Centre for Sustainable Protein at Imperial College London (June 2024), and UKRI put GBP 15 million into a National Alternative Protein Innovation Centre led by Leeds (August 2024).",30; 15,USD million; GBP million,2024,United Kingdom,PRC-27; PRC-25; PRC-26,general,High,"£15 million from UKRI (BBSRC and Innovate UK), plus £19.3 million in co-investment from over 100 stakeholders","Trade press gives NAPIC as GBP 38 million in total. The Bezos centre is private philanthropy, not public money; a sister centre opened in Singapore (NUS, AFN-15). The UK also allocated an initial GBP 184 million to engineering biology scale-up in 2025 (FTB-24)."
C-F38,public funding,"The United States launched a National Biotechnology and Biomanufacturing Initiative by Executive Order 14081 in September 2022, but that order was revoked in March 2025.",14081,executive order number,2022; 2025,United States,PRC-28,general,High,"(k) Executive Order 14081 of September 12, 2022 (Advancing Biotechnology and Biomanufacturing Innovation...)",Revocation published in the Federal Register on 20 March 2025 (90 FR 13037). Whether any NBBI programmes continue under other authorities was not checked.
C-F39,public funding,"China's 2025 No. 1 Central Document calls for a 'diversified food supply system', including to 'cultivate and develop biological agriculture and open up new types of food resources'.",n/a,policy text,2025,China,PRC-29,VN-adjacent,High,践行大农业观、大食物观，全方位多途径开发食物资源。培育发展生物农业，开拓新型食品资源。,"Section (8) of the document dated 1 January 2025, released 23 February 2025. English wording is our translation. The 15th Five-Year Plan wording on 'new types of food' is in app-n (RGN-24; RGN-43; ECF-29)."
C-F40,public funding,"China's state investor SDIC committed over CNY 4 billion (about USD 555 million) to biomanufacturing in May 2025, with a novel protein centre at Jiangnan University.",4; 555,CNY billion; USD million,2025,China,FTB-17; RGN-43,VN-adjacent,Medium,a commitment of over CNY 4 billion ($555 million) toward advancing biomanufacturing infrastructure,"Disagreement: GFI's global policy report gives about USD 1 billion from SDIC (RGN-43, used in app-n). Not all of it is for food. Give both."
C-F41,public funding,"Israel's Innovation Authority put about NIS 49.5 million (USD 15.5 million) into alternative protein in 2025, taking its cumulative alternative protein investment to about NIS 325 million (USD 100 million).",49.5; 325,NIS million,2025,Israel,FTB-24; VIS-22,general,Medium,cumulative investments from the IIA in alternative proteins reached approximately NIS 325 million ($100 million),Figures supplied by the Authority to GFI Israel. Its 2023 release cited over NIS 140 million of alternative protein grants over a decade (VIS-22).
C-F42,feed,"China issued its first new feed ingredient certificate in August 2021 for a bacterial protein made from steel-mill carbon monoxide (Clostridium autoethanogenum protein), produced at 10,000-tonne scale.",(2021) 01,certificate number,2021,China,PRC-30; RGN-57,VN-adjacent,High,该证书由农业农村部于2021年8月颁发，新饲证字（2021）01号,"Producer: Beijing Shougang LanzaTech. The Caofeidian plant makes 5,000 t of protein a year per the same source."
C-F43,feed,"Methane-fed single-cell protein for feed is fragile at scale: Calysseo's 20,000 tonne a year plant in Chongqing, Asia's largest, halted production in 2026, while Unibio plans a 50,000 tonne a year plant in Saudi Arabia for 2028.",20000; 50000,tonnes per year (nameplate; planned),2026; 2028,China; Saudi Arabia,FTG-06; FTG-07,VN-adjacent,Medium,a severe shortage of working capital,"Calysseo 2025 revenue USD 0.71 million, net loss USD 15.5 million (unaudited); full Chinese feed approval received 2024. Unibio's plant is a plan with a state-linked partner (SIIG); Unibio names Asia as an export market."
C-F44,feed,India's String Bio makes a methane-derived feed protein of about 70% protein that an expert panel judged safe (self-determined GRAS) for US shrimp feed in 2024; no production scale was published.,70,percent protein,2024,India; United States,PRC-31; PRC-32,VN-adjacent,Low,approximately 70 percent protein derived from methanotrophic bacteria,Self-determined GRAS is not an FDA letter; the source says crustacean feed. BioMar validated it in salmon feed trials in 2022 (PRC-32).
C-F45,feed,"Insect meal, used here only as a benchmark, has struggled in Europe: Ynsect, Agronutris, Enorm and Inseco failed or restructured, and a major feed maker says insects must beat vegetable proteins on cost and performance.",4,named firms,2024 to 2025,Europe,AIS-21,general,Medium,"BioMar: insects 'must outperform vegetable proteins' in cost, performance and sustainability","Quote as recorded in the package source notes. Benchmark only; insect protein is not recommended in this package. Vietnam's Entobel plant has 11,000 t a year design capacity (ECO-01)."
C-F46,feed,"About 34% of the world's fishmeal was made from fish processing by-products in 2024, and fishmeal made up about 5.8% of fed aquaculture feed on average in 2017.",34; 5.8,percent,2024; 2017,global,AQF-04; FM-44,general,Medium,2024: 34% of fishmeal and 54% of fish oil from by-products,Reused from the package (IFFO; Boyd et al. 2022). By-products supplied 54% of fish oil in 2024.
C-F47,feed,"Fishmeal supply tightened in 2026: Peru's first-season anchovy quota was 1.9 million tonnes, 36% below 2025, and world fishmeal output fell 26% in January to April 2026.",1.9; 36; 26,million tonnes; percent,2026,global; Peru,HSC-29; HSC-30,general,Medium,"Peru's 2026 first-season quota was 1.9 Mt, 36% below 2025 and the lowest in a decade.",Quote is the package horizon-scan wording of HSC-29. Only about a quarter of the quota was landed before the season closed on 21 August 2026.
C-F48,asia,"Singapore, the first country to approve cultivated meat, dropped its '30 by 30' food production goal in November 2025 and left alternative protein out of its 2035 local production targets.",2035,target year,2025,Singapore,RGN-08; RGN-09,VN-adjacent,High,exclude alternative protein 'given the nascency of the sector',Reused from app-n. Singapore still approved cultivated duck (April 2026) and beef (July 2026).
C-F49,asia,Thailand's Biotechnology Industry Development Framework 2026 to 2035 names future food and alternative proteins as one of four target sub-industries and plans a shared precision-fermentation pilot plant.,500,million baht a year for 10 years (synthetic biology research),2025 (framework),Thailand,RGN-35,VN-adjacent,Medium,'future food and alternative proteins' is one of four target sub-industries,"Reused from app-n. Thailand's first cultivated meat application (Aleph Farms, December 2024) was still unapproved in September 2026 (RGN-32)."
C-F50,asia,"South Korea's Food Tech Industry Promotion Act took effect in December 2025 and Korea overtook Singapore as Asia-Pacific's leading base for cultivated meat start-ups, but neither Korea nor Japan (draft guidance only) had approved a cultivated product by September 2026.",0,cultivated approvals,2025 to 2026,South Korea; Japan,RGN-21; GLB-49; FTB-24; RGN-33,VN-adjacent,Medium,Korea ranked fourth-largest cultivated meat ecosystem in the world,"Korean applications open since February 2024 (RGN-34); MFDS standards for cell-cultured processed foods June 2026 (FTB-20). Japan: GFI dates draft guidelines to December 2025, app-n records draft safety checkpoints of 28 May 2026 (RGN-33); possibly two stages of one process."
C-F51,public funding,"GFI, an advocacy group, counts at least USD 2.5 billion of cumulative government investment in alternative proteins worldwide since 2021.",2.5,"USD billion (global, cumulative)",2021 to 2025,global; Asia-Pacific,PRC-05; GLB-49; FTB-17; FTB-24,general,Low,Cumulative government investment in alternative proteins has reached at least $2.5 billion globally since 2021,"Advocacy tally; method not read. GFI APAC words it as 'more than $2.5 billion' in 2025 'up from $700 million in 2021', which reads as cumulative. Do not add to private investment or to the national amounts above."
