stream,vn_name,annual_volume,unit,year,main_regions_current,main_regions_former,n_sites_or_key_companies,current_use,price,price_unit,price_date,protein_pct_dm,moisture_pct,seasonality,source_ids,evidence_label,confidence,notes
Broken rice,tấm gạo,0.87 (100% broken exports only); total not established,Mt,2025,Mekong Delta mills,,Rice millers and exporters,"Export (Africa), feed, rice flour/noodles, beer adjunct",8500-8600,"VND/kg (fragrant broken 3-4, An Giang)",2026-09-19,,,Year-round,FS-23;FS-26,VN-direct,Medium,"Export of 100% broken 872,576 t in 2025 (USDA). FOB 100% broken USD 368-372/t (19 Sep 2026). Total broken output and split by use not found; prior lead 1.5-2.5 Mt remains unverified."
Rice husk,trấu,~8.7 (derived),Mt,2025,Mekong Delta,,Mills,"Boiler fuel, pellets, ash",,,,,,Year-round,FS-27;FS-25,VN-direct,Low,"DERIVED: 20% of paddy (FS-27: 8.8 Mt husk per 44 Mt paddy). Energy, not protein. Rice straw volume not established this wave (prior lead 43-47 Mt is ratio-based)."
Sugarcane (crushed),mía ép,13.3,Mt cane,2025/26 crop,Gia Lai; Dak Lak; Thanh Hoa; Tay Ninh; Nghe An,Gia Lai (+Binh Dinh); Phu Yen (now Dak Lak); Thanh Hoa; Tay Ninh; Nghe An,"25 mills, design 124,000 t cane/day (2023/24); TTC AgriS, QNS (An Khe)",Sugar 1.298 Mt; molasses; bagasse power,~16500 (refined sugar),VND/kg,2026-06,,,Crush Nov to Jun,FS-31;FS-32;FS-33;FS-34;FS-35,VN-direct,High,"2024/25: 12.4 Mt cane, 1.3 Mt sugar. Gia Lai >40,000 ha cane; Phu Yen >26,000 ha (2023/24). Sugar prices at 3-year lows; HFCS imports 111,839 t H1 2026. Only Gia Lai and Phu Yen are sourced as main areas; others are regional knowledge."
Sugarcane molasses,rỉ đường / rỉ mật,0.55-0.72 (derived),Mt,2025/26 crop,Mill sites (see sugarcane),,~25 sugar mills,"MSG and yeast fermentation, alcohol, feed; QNS plans molasses ethanol (60 M L/yr)",~10000 (retail 35-kg can; not bulk),VND/kg,2023-12,,,Produced Nov to Jun; stores in tanks,FS-37;FS-31;FS-36;FS-35,general,Low,"DERIVED: 13.3 Mt cane x (10-13 L alcohol per t cane from molasses / 240 L per t molasses) = 42-54 kg molasses per t cane (Indian ratios, Sharma 2015). 2024/25: 0.52-0.67 Mt. No bulk mill-gate price found. Prior lead says VN is a net molasses importer (2022); not verified."
Brewer's spent grain,bã bia,"0.80-0.88 (derived, upper bound)",Mt wet (~80% moisture); 160-176 kt DM,2022-2025,HCMC; Hanoi; Bac Ninh; Dong Nai; Hai Phong; Hung Yen and other brewery sites,,"Heineken 43%, Sabeco 33.9%, Carlsberg 9.2%, Habeco 7.5% of market (2023); 98 active breweries incl. micro","Cattle and pig farms; feed traders; BSF insect farms (Entobel claimed, unverified)","6000-6500 (retail, Hanoi; see notes)",VND/kg,2026-03,~20,~80,"Year-round, peak before Tet and in hot season; fresh BSG spoils in 2-3 days",FS-38;FS-39;FS-40;FS-41;FS-42;FS-43,VN-adjacent,Low,"DERIVED: 4.0-4.4 bn L beer x 20 kg wet BSG per 100 L. Beer volume: >4 bn L (VIRAC 2022) and 4.4 bn L (2019); 2024-2025 volume not found. Upper bound because VN lagers use rice adjunct, which lowers BSG per litre. Protein ~20% and fibre ~70% of DM. Price quote is from one Hanoi retailer and looks high for wet BSG (rice bran costs 7,300 VND/kg dry)."
Soybean (domestic),đậu tương / đậu nành,42 kt,t,MY2024/25,Northern uplands and Central Highlands (not sourced),,Smallholders,"Food (tofu, soymilk)",,,,"~36-40 (general, not sourced)",,Mainly spring and autumn crops,FS-24,VN-direct,High,"26,000 ha harvested; forecast 41 kt (MY2025/26) and 40 kt (MY2026/27) as farmers shift to fruit/vegetables."
Soybean imports and crush,đậu tương nhập khẩu,2.61 (imports 2025); crush 2.5 (MY2025/26),Mt,2025-2026,Crush plants in north and south (names not given by USDA),,Crushers expanding lines in Q1 2026 (unnamed),Crush for meal/oil; 550 kt food use,,,,,,Continuous,FS-24,VN-direct,High,"Imports: Brazil 45.8%, US 43.5%. Import forecast 3.2 Mt (MY2025/26), 3.8 Mt (MY2026/27). SBM feed demand 7.4 Mt; SBM imports ~5.7 Mt. Food-use soy 550 kt (MY2025/26) -> 570 kt (MY2026/27)."
Okara (tofu/soymilk residue),bã đậu nành,<=605-660 (derived upper bound),kt wet (~80% moisture); ~120-130 kt DM,2025/26,Tofu villages and soymilk plants nationwide,,"Vinasoy (QNS), Vinamilk, TH, thousands of tofu makers (capacities not verified)","Pig and cattle feed, fish feed, discarded",,,,25-40 (general),~80,Year-round; spoils within 1-2 days unless dried,FS-24;FS-44;FS-45,VN-adjacent,Low,"DERIVED: 550 kt food soy x 1.1-1.2 kg wet okara per kg dry soybean. Upper bound because not all food soy goes to tofu/soymilk (also sprouts, sauce, roasted). No VN okara price found."
Peanut,lạc / đậu phộng,380,kt,MY2025/26 forecast,Nghe An; Ha Tinh; Tay Ninh (not sourced),,Households; crush only 35 kt,Food; small household oil pressing,,,,,,Two crops,FS-24,VN-direct,High,"Crush 35 kt/yr; peanut oil USD 4-5/L retail. Peanut meal volume small (<~20 kt, not sourced)."
Coconut,dừa,1.728,Mt nuts (USDA unit),MY2025/26,"Vinh Long (commonly cited, not verified)",Ben Tre; Tra Vinh,Coconut processors (names not verified),"Food, oil, desiccated coconut, copra (31 kt crush)",,,,,,Year-round,FS-24,VN-direct,Medium,"Copra crush 31 kt; coconut oil exports 10,000 t in first 7 months MY2024/25 (+68%); copra meal imports 70 kt. Coconut water and paring residues not quantified."
Coffee pulp/husk,vỏ cà phê / thịt quả,~450 (2016 basis),kt dried pulp,2016,Dak Lak; Lam Dong; Gia Lai,Dak Lak; Lam Dong (+Dak Nong); Gia Lai,Many dry-processing sites,"Fuel for dryers, organic fertiliser",,,,,5-8 after drying,Harvest Oct to Jan,FS-46,VN-direct,Low,"Do and Le (2020): VN produces ~450,000 t dried coffee pulp/yr (2016 coffee output 1.64 Mt); pulp ~28% of dry berry weight. Current coffee output not verified this wave. Caffeine 0.5-1.3% limits feed use."
Cashew apple,quả điều (táo điều),not established,t,,Dong Nai; Lam Dong; Dak Lak (not sourced),Binh Phuoc; Dak Nong; Binh Thuan,Cashew farms,Mostly left in field,,,,,,Mar to May harvest,FS-47,general,Low,"Cashew apple weighs 6-7 times the nut (Dheeraj 2023). Domestic raw nut production not verified; imported raw nuts arrive without apples, so only domestic harvest counts."
Seafood processing by-products,phụ phẩm chế biến thủy sản,not established (prior lead ~1 Mt),Mt,2025,Can Tho; Dong Thap; An Giang; Vinh Long; Ca Mau; Khanh Hoa,Can Tho; Dong Thap; An Giang; Ben Tre; Soc Trang; Ca Mau,Pangasius and shrimp processors (Vinh Hoan etc.),"Fishmeal, fish oil, collagen/gelatin (pangasius skin), shrimp head meal, chitin",,,,shrimp head up to 65; seafood discards avg 60,,Year-round,FS-25;FS-48;FS-49;FS-50,VN-adjacent,Low,"Aquaculture 6.12 Mt and capture 3.83 Mt in 2025 (NSO). Ratios: pangasius needs 3.1 kg fish per kg fillet in VN (so ~68% by-product); shrimp side stream 45-50% of shrimp weight. Pangasius and shrimp harvest volumes not verified this wave, so total not derived."
Seaweed (farmed and wild),"rong biển (rong sụn, rong câu, rong nho, rong mơ)",not established,t,,Khanh Hoa; other central coast,Khanh Hoa; Ninh Thuan,Small farms,"Carrageenan (Kappaphycus), agar (Gracilaria), food (Caulerpa sea grapes), Sargassum wild harvest",,,,,,,FS-51,VN-direct,Low,"827 seaweed species recorded; Caulerpa, Sargassum, Gracilaria, Ulva and Kappaphycus are the economically important, cultivated or harvested genera (Ninh Thuan, Khanh Hoa). No production volume found this wave."
Spirulina,tảo xoắn spirulina,not established,t,,Lam Dong (former Binh Thuan); Hue,Binh Thuan; Thua Thien Hue,Vinh Hao (prior lead); others unverified,Supplements,,,,,,,"none (prior lead 00-prior-leads.md, unverified)",VN-direct,Low,"Prior lead only (Vinh Hao 5,000 m2 on mineral water). Not verified this wave."
Duckweed / Wolffia,bèo tấm / bèo trứng (rau bèo),not established,t,,Mekong Delta (research),,No commercial grower found,"Research feed trials (poultry, pigs, fish)",,,,,,,FS-54,VN-adjacent,Low,One South Vietnam poultry trial replaced 7% of diet with Lemna minor. Wolffia is sold as food in Thailand. No VN commercial cultivation evidence found.
Mushroom spent substrate,bã nấm / phôi nấm,not established,t,,Red River Delta; Mekong Delta (straw mushroom),,Smallholders and farms,"Compost, reuse as substrate",,,,,,,FS-55,general,Low,About 3 kg spent substrate per kg mushrooms (general ratio). VN mushroom output not verified (prior lead 250-270 kt).
Maize (domestic),ngô / bắp,4.4 (NSO) or 4.1 (USDA),Mt,2025,Son La; Northern uplands; Central Highlands (not sourced),,Smallholders,"Feed (1.7 Mt local corn in feed CY2025), silage",6000-8000,"VND/kg (ground corn, cattle-feed reference)",2026-07,,,,FS-25;FS-23;FS-30,VN-direct,Medium,"USDA: 810,000 ha, 4.1 Mt MY2025/26, falling to 4.0 Mt MY2026/27. Corn imports forecast 13.3 Mt MY2026/27."
DDGS (imported),DDGS,1.55,Mt,CY2025,Feed mills,,Feed mills,Feed,,,,,,,FS-23,VN-direct,High,USDA feed ingredient table. Domestic distillers grains from cassava ethanol not quantified.
