record_id,layer,item,province_current,province_former,status,capacity_or_size,horizon_year,foresight_type,source_ids,evidence_label,confidence,notes
HL-014,hydrogen,Bac Lieu green hydrogen project,Ca Mau,Bac Lieu,planned,70 kt H2 a year (two phases),2029 (phase 1); 2032 (phase 2) (stated),signal,HUB-04; FTG-17,VN-direct,Low,FTG-17 gives about 30 kt; see disagreements.
HL-015,hydrogen,Tien Giang green hydrogen project,Dong Thap,Tien Giang,planned,"5,294 t H2 a year",Sep 2028 (stated),signal,HUB-04; FTG-17,VN-direct,Low,FTG-17 gives about 30 kt; see disagreements.
HL-016,hydrogen,Binh Dinh hydrogen project,Gia Lai,Binh Dinh,proposed,20 kt H2 a year,not set,signal,HUB-04; FTG-17,VN-direct,Low,
HL-017,hydrogen,Long An hydrogen project,Tay Ninh,Long An,proposed,249 t H2 a year,not set,signal,HUB-04; FTG-17,VN-direct,Low,Pilot scale.
HL-018,hydrogen,Hydrogen studies (no capacity),Khanh Hoa; Quang Tri; Can Tho; Ho Chi Minh City,Ninh Thuan; Quang Binh; Quang Tri; Soc Trang; Ho Chi Minh City,proposed,not stated,not set,signal,HUB-04; FTG-17,VN-direct,Low,
HL-019,hydrogen,National clean hydrogen production target,national,n/a,planned,100 to 500 kt (2030); 10 to 20 Mt (2050),2030; 2050,projection,FTG-16; NT-080,VN-direct,High,No hub locations and no food or feed use named in Decision 165/QD-TTg.
HL-020,co2,Dung Quat steel complex (Hoa Phat),Quang Ngai,Quang Ngai,operating,about 17 Mt CO2 a year (derived),current,estimate,FTG-20,VN-direct,Low,Dilute blast-furnace gas and CO-rich BOF gas; BOF gas is the stream used by Chinese acetogen protein plants.
HL-021,co2,Hai Duong (Kinh Mon) steel complex (Hoa Phat),Hai Phong,Hai Duong,operating,about 5.6 Mt CO2 a year (derived),current,estimate,FTG-20,VN-direct,Low,
HL-022,co2,Formosa Ha Tinh Steel,Ha Tinh,Ha Tinh,operating,not found,current,trend,none,VN-direct,Low,Large emitter; no verified figure.
HL-023,co2,Phu My fertiliser plant (PVFCCo),Ho Chi Minh City,Ba Ria-Vung Tau,operating,not found,current,trend,FTG-21,VN-direct,Low,High-purity CO2 largely consumed in urea; next to Cai Mep Ha FTZ and VAL crusher.
HL-024,co2,Ca Mau fertiliser plant (PVCFC),Ca Mau,Ca Mau,operating,not found,current,trend,FTG-21,VN-direct,Low,Same province as the shrimp belt and C.P. Ca Mau aquafeed plant.
HL-025,co2,Ha Bac fertiliser plant (coal-based),Bac Ninh,Bac Giang,operating,not found,current,trend,FTG-21,VN-direct,Low,"Possible surplus of pure CO2 (inference, not verified)."
HL-026,co2,Ninh Binh fertiliser plant (coal gasification),Ninh Binh,Ninh Binh,operating,not found,current,trend,FTG-21,VN-direct,Low,"Possible surplus of pure CO2 (inference, not verified)."
HL-027,co2,Dung Quat refinery (hydrogen unit),Quang Ngai,Quang Ngai,operating,not found,current,trend,FTG-21,VN-direct,Low,Concentrated SMR CO2; BSR researching low-carbon methanol.
HL-028,co2,Nghi Son refinery,Thanh Hoa,Thanh Hoa,operating,not found,current,trend,FTG-21,VN-direct,Low,
HL-029,co2,Dung Quat bioethanol plant (fermentation CO2),Quang Ngai,Quang Ngai,operating,about 82 kt CO2 a year (estimate),current,estimate,FTG co2_point_sources_vn.csv; FS-09 (edition 1.0),VN-direct,Low,Enough CO2 for about 28 kt protein a year on the hydrogen route (hub_calc.py).
HL-030,co2,Dai Tan ethanol plant (fermentation CO2),Da Nang,Quang Nam,operating,about 75 kt CO2 a year (estimate),current,estimate,FTG co2_point_sources_vn.csv; FS-09 (edition 1.0),VN-direct,Low,About 25 kt protein-equivalent.
HL-031,co2,Tung Lam ethanol plant (fermentation CO2),Dong Nai,Dong Nai,operating,about 50 kt CO2 a year (estimate),current,estimate,FTG co2_point_sources_vn.csv; FS-09 (edition 1.0),VN-direct,Low,About 17 kt protein-equivalent; inside the HCMC and Dong Nai fermentation belt.
HL-032,co2,"An Khe ethanol plant (QNS, molasses)",Gia Lai,Gia Lai,planned,about 50 kt CO2 a year if built (estimate),2028,estimate,FTG co2_point_sources_vn.csv; FS-09 (edition 1.0),VN-direct,Low,Planned Q1 2028; next to sugar area.
HL-033,co2,High-CO2 offshore gas fields (Ca Voi Xanh; Block B; others),offshore (landfall not verified),n/a,planned,not found,not set,signal,FTG-21; HUB-24,VN-direct,Low,Ca Voi Xanh first-gas timing undetermined (Jul 2026). Would create concentrated CO2 at landfall.
HL-034,bio_zone,"Saigon Hi-Tech Park (SHTP), incubator SHTP-IC and SHTP Labs",Ho Chi Minh City,Ho Chi Minh City,operating,913 ha; 165 projects; USD 14.08 bn registered,current,trend,IND-57 (edition 1.0); INF-06,VN-direct,High,Biotech for agriculture is an encouraged sector; no food fermentation tenant identified.
HL-035,bio_zone,Hoa Lac Hi-Tech Park,Hanoi,Hanoi,operating,941.79 ha of listed zones incl. 263.15 ha R&D,current,trend,INF-25; INF-08,VN-direct,Medium,Viettel AI compute site (FTB-16). No biotech or food tenant named.
HL-036,bio_zone,Hanoi Biotechnology Hi-Tech Park,Hanoi,Hanoi (former Bac Tu Liem district),planned,199.03 ha; density cap 30%; 1 to 8 floors,after 2026,signal,HUB-19; HUB-20,VN-direct,High,"Decision 1054/QD-TTg (29 Sep 2024); zoning approved Jun 2025. Urban R&D park, not a production site."
HL-037,bio_zone,Da Nang Hi-Tech Park,Da Nang,Da Nang,operating,not verified,current,trend,INF-29,VN-direct,Low,
HL-038,bio_zone,Bac Lieu shrimp hi-tech agriculture zone,Ca Mau,Bac Lieu,operating,about 418 ha; infrastructure over VND 330 bn,2026 (fix target Q3 2026),signal,HUB-11; HUB-12,VN-direct,Medium,Decision 694/QD-TTg (2017). Scope includes feed processing and biological products (2023). Investors withdrew; land procedures unresolved (May 2026).
HL-039,bio_zone,Hau Giang hi-tech agriculture zone,Can Tho,Hau Giang,operating,"5,200 ha (central 415 ha)",current,trend,HUB-12,VN-direct,Medium,Est. 2012; slow take-up (10 ha cleared in phase 1).
HL-040,bio_zone,Quang Ninh hi-tech agriculture zone,Quang Ninh,Quang Ninh,operating,not read,current,trend,INF-22,VN-direct,Medium,Decision 2263/QD-TTg (2021).
HL-041,bio_zone,Thai Nguyen hi-tech agriculture zone,Thai Nguyen,Thai Nguyen,operating,not read,current,trend,INF-22,VN-direct,Medium,Decision 70/QD-TTg (2021).
HL-042,bio_zone,Phu Yen hi-tech agriculture zone,Dak Lak,Phu Yen,planned,not read,not set,signal,INF-22,VN-direct,Low,Investment procedures Decision 1734/QD-UBND (5 Jun 2026).
HL-043,bio_zone,Seven provincial hi-tech agriculture zones,Dong Nai,Binh Phuoc,operating,not read,current,trend,INF-22,VN-direct,Medium,Near cassava and cashew.
HL-044,bio_zone,Decree 263/2026/ND-CP: provinces may establish hi-tech agriculture zones,all 34 units,n/a,operating,"functions: research, trials, pilot production, incubation; 70% interest support capped at 8% a year; infrastructure land exempt",2026 onward,signal,HUB-26; INF-23,VN-direct,Medium,In force 1 Jul 2026. Whether full-scale feed or fermentation plants qualify is not clear from the extraction.
HL-045,bio_zone,MAE biotechnology clusters (Directive 13/CT-TTg),not published,n/a,planned,not published,Dec 2026,signal,FTB-50; NT-085; HUB-09,VN-direct,Medium,No locations published as of 24 Sep 2026: open window to add a feed-protein or fermentation cluster.
HL-046,bio_zone,"MAE innovation centres, at least 5 in 2026 to 2030",not published,n/a,planned,at least 5 centres; at least 50 firms supported,2030,projection,HUB-10,VN-direct,Medium,Locations and fields not named.
HL-047,bio_zone,Cai Mep Ha Free Trade Zone,Ho Chi Minh City,Ba Ria-Vung Tau,operating,"4,174.35 ha incl. industrial-urban-service 850.67 ha, logistics 906.07 ha, south Cai Mep industrial park 272.45 ha",2026 onward,signal,HUB-06,VN-direct,High,"Decision 4560/QD-UBND (23 Jul 2026); Tan Phuoc and Tan Hai wards. Focus digital, green, circular; biotech not named."
HL-048,bio_zone,Da Nang Free Trade Zone (Lien Chieu port),Da Nang,Da Nang,planned,not stated,2026 (MOF expectation),signal,HUB-07; HUB-08,VN-direct,Low,Status in Sep 2026 not verified.
HL-049,bio_zone,Hai Phong Free Trade Zone,Hai Phong,Hai Phong,planned,not stated,2026 (MOF expectation),signal,HUB-07,VN-direct,Low,Location and status not verified.
HL-050,bio_zone,Dinh An Economic Zone,Vinh Long,Tra Vinh,operating,not read,current,trend,HUB-05,VN-direct,Medium,Hosts the Tra Vinh hydrogen site; coastal Mekong economic zone.
HL-051,bio_zone,Dung Quat Economic Zone (proposed national refining and energy centre),Quang Ngai,Quang Ngai,operating,not read,not set,signal,HUB-25,VN-direct,Medium,"Steel, refinery, ethanol and planned gas power in one zone."
HL-052,carbohydrate,Cassava starch cluster (68 factories),Tay Ninh,Tay Ninh,operating,"about 61,000 ha cassava; 6.4 Mt a year root capacity",current,trend,FS-03 (edition 1.0),VN-direct,Medium,"Largest single cluster. Industrial occupancy in Tay Ninh 60.9% (Q2 2026, COST-21): most vacant land in the south."
HL-053,carbohydrate,Other cassava areas,Gia Lai; Dak Lak; Quang Ngai; Dong Nai; Son La; Thanh Hoa,Gia Lai; Binh Dinh; Dak Lak; Phu Yen; Kon Tum; Binh Phuoc; Son La; Thanh Hoa,operating,"national harvest 10.24 Mt roots on 499,100 ha (2025)",current,trend,FS-01; FS-11 (edition 1.0),VN-direct,High,Provincial shares not sourced.
HL-054,carbohydrate,Imported cassava roots and chips (border provinces),Tay Ninh; Gia Lai; Dak Lak; Quang Tri,Tay Ninh; Long An; Gia Lai; Dak Lak; Quang Tri; Quang Binh,operating,about 8 Mt fresh-root equivalent (2025),current,trend,FS-14; FS-15 (edition 1.0),VN-direct,Medium,Cambodian supply near exhaustion in early 2026; border provinces inferred.
HL-055,carbohydrate,Vedan Phuoc Thai glucose syrup and starch lines,Dong Nai,Dong Nai,operating,"glucose syrup 140 kt/yr (nameplate); starch 72 kt, modified starch 40 kt",current,trend,IND-01; IND-04 (edition 1.0),VN-direct,Medium,Sells glucose syrup to third parties; own port.
HL-056,carbohydrate,Vedan Phuoc Long tapioca starch plant,Dong Nai,Binh Phuoc,operating,72 kt/yr native starch (nameplate),current,trend,IND-04 (edition 1.0),VN-direct,Medium,
HL-057,carbohydrate,Sugarcane and sugar mills,Gia Lai; Dak Lak; Thanh Hoa; Tay Ninh; Nghe An,Gia Lai; Binh Dinh; Phu Yen; Thanh Hoa; Tay Ninh; Nghe An,operating,"13.3 Mt cane (2025/26); Gia Lai over 40,000 ha; Phu Yen over 26,000 ha",current,trend,FS-31; FS-32 (edition 1.0),VN-direct,High,Only Gia Lai and Phu Yen sourced as main areas; mill list not compiled.
HL-058,carbohydrate,Molasses at sugar mills,Gia Lai; Dak Lak; Thanh Hoa; Tay Ninh; Nghe An,as sugarcane,operating,0.55 to 0.72 Mt (derived),current,estimate,FS-37 (edition 1.0),VN-direct,Low,
HL-059,carbohydrate,"Rice paddy, broken rice and bran",An Giang; Dong Thap; Can Tho; Vinh Long; Tay Ninh; Ca Mau,An Giang; Kien Giang; Dong Thap; Tien Giang; Can Tho; Soc Trang; Hau Giang; Long An,operating,43.5 Mt paddy; bran about 4.35 Mt (derived) (2025),current,trend,FS-25; FS-27 (edition 1.0),VN-direct,Medium,"Rice land falls to 3,252.63 thousand ha by 2030 (NT-059): some delta land moves to aquaculture and fruit."
HL-060,carbohydrate,Fuel ethanol plants (compete for cassava and maize),Quang Ngai; Da Nang; Dong Nai,Quang Ngai; Quang Nam; Dong Nai,operating,"about 277,000 m3/yr capacity (3 plants)",current,trend,FS-09; FS-10 (edition 1.0),VN-direct,High,E10 demand competes with fermentation sugar.
HL-061,residue,Rice straw (Mekong Delta leads),An Giang; Dong Thap; Can Tho; Ca Mau; Vinh Long,Kien Giang; An Giang; Dong Thap; and other delta units,operating,"national about 54 Mt (2019), about 50% surplus; Mekong 55%; power potential Kien Giang 245 MW, An Giang 225 MW, Dong Thap 190 MW",current,trend,HUB-27; HUB-28,VN-direct,Medium,"Current An Giang = 470 MW, about 18% of the 2,565 MW national potential (our sum). Baling cost USD 12 to 18 per t. Target 100% straw collection on 1 million ha by 2030 (NT-092)."
HL-062,residue,Cassava pulp,Tay Ninh; Gia Lai; Dak Lak; Quang Ngai; Dong Nai; Son La,Tay Ninh; Gia Lai; Dak Lak; Kon Tum; Binh Phuoc; Son La,operating,"about 6.2 Mt wet (range 4 to 8); about 1.3 Mt dry matter (derived, 2025)",current,estimate,FS-05; FS-06 (edition 1.0),VN-adjacent,Low,Largest cluster Tay Ninh; seasonal Nov to May; self-ensiles.
HL-063,residue,Cassava-starch wastewater biogas (methane source),Tay Ninh; Gia Lai; Dak Lak; Dong Nai; Son La; Thanh Hoa,as cassava,operating,about 2 m3 wastewater per t roots; national total not published,current,trend,FS-04; FS-06 (edition 1.0),VN-direct,Low,Feedstock option for methanotroph protein.
HL-064,residue,Brewer's spent grain,Ho Chi Minh City; Hanoi; Dong Nai; Hai Phong; Hung Yen; Hue; Can Tho; Dong Thap; Da Nang,various,operating,0.80 to 0.88 Mt wet (derived upper bound),current,estimate,FS-38; IND-25; IND-27 (edition 1.0),VN-direct,Low,"Largest single site: Heineken Vung Tau 1.1 bn L/yr, approved 1.6 bn L (HCMC, former Ba Ria-Vung Tau)."
HL-065,residue,Seafood processing by-products (pangasius 62 to 67% of fish; shrimp heads and shells 45 to 50%),Can Tho; Dong Thap; An Giang; Vinh Long; Ca Mau; Khanh Hoa,Can Tho; Dong Thap; An Giang; Ben Tre; Soc Trang; Ca Mau; Khanh Hoa,operating,not established nationally (prior lead about 1 Mt),current,trend,FS-48; FS-49; FS-50 (edition 1.0); MAC-45,VN-direct,Low,Follows pangasius and shrimp processing.
HL-066,residue,Okara and soy processing,Quang Ngai; Bac Ninh; Ho Chi Minh City; Hung Yen,Quang Ngai; Bac Ninh; Binh Duong; Hung Yen,operating,"up to 605 to 660 kt wet (derived upper bound, national)",current,estimate,FS-44; FS-45 (edition 1.0); IND-49,VN-direct,Low,Vinasoy plants and tofu villages.
HL-067,residue,Coffee pulp and husk,Dak Lak; Lam Dong; Gia Lai,Dak Lak; Lam Dong; Dak Nong; Gia Lai,operating,about 450 kt dried (2016 basis),current,trend,FS-46 (edition 1.0),VN-direct,Low,Caffeine limits feed use.
HL-068,buyer,Shrimp farming (national leader),Ca Mau,Ca Mau; Bac Lieu,operating,"594,851 t (2025); over 435,000 ha (about 40% of national area); nearly 50% of shrimp export value",current,trend,HUB-15; HUB-16,VN-direct,Medium,"About 46% of national farmed shrimp output (our calc vs 1,291 kt, MAC-15). VnExpress gives 577,000 t: see disagreements."
HL-069,buyer,Pangasius farming (national),Dong Thap; An Giang; Can Tho; Tay Ninh; Vinh Long,Dong Thap; Tien Giang; An Giang; Can Tho; Hau Giang; Long An; Ben Tre; Vinh Long,operating,"about 5,500 ha; about 1.74 Mt (2025)",current,trend,HUB-13,VN-direct,Medium,"2026 to 2030 public investment for seed and concentrated farming in Dong Thap, An Giang, Can Tho, Tay Ninh."
HL-070,buyer,"Pangasius farming, Dong Thap",Dong Thap,Dong Thap; Tien Giang,operating,"about 2,500 ha; about 35% of national output (about 0.61 Mt, our calc)",current,trend,HUB-14,VN-direct,Medium,"Implied feed demand 0.91 to 1.04 Mt at FCR 1.5 to 1.7 (our estimate, Low)."
HL-071,buyer,Shrimp postlarvae hatcheries,Khanh Hoa,Ninh Thuan,operating,"over 30% of national postlarvae; over 45 bn PL (2024); 460 hatcheries; zones An Hai 168 ha, Nhon Hai 130 ha, Son Hai 37.7 ha",current,trend,HUB-23,VN-direct,Medium,"Premium buyers of larval feeds (microalgae, artemia, specialty diets)."
HL-072,buyer,C.P. Vietnam Ca Mau aquafeed plant (Khanh An Industrial Zone),Ca Mau,Ca Mau,operating,"124.8 kt/yr; about 18 ha; VND 1,725 bn; C.P. aquafeed total over 650 kt/yr",2026,trend,HUB-17; IND-42 (edition 1.0),VN-direct,Medium,Opened Aug 2026.
HL-073,buyer,De Heus Vinh Long 4 marine and cold-water fish feed plant,Vinh Long,Vinh Long,operating,168 kt/yr (company figure),2026,trend,IND-45; VCO-10 (edition 1.0),VN-direct,Medium,
HL-074,buyer,De Heus Can Tho aquafeed plant,Can Tho,Can Tho,operating,240 kt/yr catfish feed,current,trend,IND-47 (edition 1.0); HUB-18,VN-direct,Medium,
HL-075,buyer,Haid / Thang Long (Sheng Long) complex,Vinh Long,Vinh Long,operating,"650 kt/yr (2023); output 830 kt (2025, trade press)",current,trend,IND-46; IND-43 (edition 1.0),VN-direct,Medium,Largest single aquafeed site found.
HL-076,buyer,Sunjin Vina Hau Giang feed plant,Can Tho,Hau Giang,operating,126 kt/yr,current,trend,IND-46 (edition 1.0),VN-direct,Low,Operating status not verified.
HL-077,buyer,Uni-President Vietnam aquafeed sites,Ho Chi Minh City; Dong Thap; Khanh Hoa; Da Nang,Binh Duong; Tien Giang; Ninh Thuan; Quang Nam,operating,not published,current,trend,VCO-29; IND-43 (edition 1.0),VN-direct,Low,
HL-078,buyer,Haid Hai Duong feed plant,Hai Phong,Hai Duong,operating,700 kt/yr (claimed),current,trend,IND-43; IND-46 (edition 1.0),VN-direct,Low,Northern feed anchor next to the northern renewable centre.
HL-079,buyer,Cargill livestock feed mill footprint (11 mills; exit reported),Hung Yen; Ninh Binh; Nghe An; Gia Lai; Dong Nai; Ho Chi Minh City; Tay Ninh; Dong Thap; Can Tho,Hung Yen; Ha Nam; Nghe An; Binh Dinh; Dong Nai; Binh Duong; Long An; Tien Giang; Dong Thap; Can Tho,operating,11 mills,current,trend,HUB-18; IND-47 (edition 1.0),VN-direct,Low,Shows livestock feed mills follow consumption belts north and south.
HL-080,buyer,National feed mill base,national,n/a,operating,"269 industrial feed mills, 43.2 Mt design capacity (2022); aquafeed up to 5.5 Mt",current,trend,IND-39; IND-40; IND-41 (edition 1.0),VN-direct,Medium,No provincial capacity table found: gap.
HL-081,buyer,"Amino-acid, yeast and MSG fermenters (sugar buyers and tolling hosts)",Dong Nai; Tay Ninh; Phu Tho,Dong Nai; Long An; Phu Tho,operating,"Vedan Phuoc Thai (700 m3 tanks; lysine 15 kt), Ajinomoto Bien Hoa (150 kt) and Long Thanh, AB Mauri La Nga (6 kt yeast), Saf-Viet (Lesaffre), Daesang Viet Tri (35 kt)",current,trend,IND-01; IND-04; IND-08; IND-15; IND-17 (edition 1.0),VN-direct,Medium,Core of the HCMC and Dong Nai fermentation belt.
HL-082,buyer,VAL Phu My soybean crushing plant (incumbent protein-meal supplier),Ho Chi Minh City,Ba Ria-Vung Tau,operating,2.6 Mt soybeans; nearly 2 Mt soybean meal a year,2026,trend,VCO-16 (edition 1.0),VN-direct,Medium,"Not a buyer: the incumbent that any novel feed protein competes with, next to Cai Mep Ha FTZ."
HL-083,research,"Can Tho University (aquaculture, food technology, biotechnology)",Can Tho,Can Tho,operating,860 places a year in 3 programmes (2026); top Vietnamese publisher on alternative aquafeed proteins,current,trend,INF-15; RD-10 (wave 1),VN-direct,High,
HL-084,research,"Aquatic Products Trial, Testing and Inspection Centre, Region I sub-centre",Can Tho,Can Tho,operating,official aquafeed trials,current,trend,INF-28,VN-direct,High,Region II in Ho Chi Minh City (INF-19).
HL-085,research,Central Livestock and Veterinary Trial and Testing Centre I,Hanoi,Hanoi,operating,official feed trials from 1 Oct 2026,2026,trend,INF-18,VN-direct,High,
HL-086,research,"FIRI (pilot centre, NACEFA lab, industrial microbiology centre and culture collection)",Hanoi,Hanoi,operating,pilot scale not published,current,trend,INF-01; INF-02; INF-03,VN-direct,Medium,NACEFA is MAE-designated for imported feed ingredients.
HL-087,research,National Institute for Food Control,Hanoi,Hanoi,operating,ISO/IEC 17025; OECD GLP,current,trend,INF-09; INF-10,VN-direct,High,
HL-088,research,Viettel NVIDIA DGX B200 AI system at Hoa Lac,Hanoi,Hanoi,operating,up to 1.5 EFLOPS FP8 (vendor peak),2026,trend,FTB-16,VN-direct,Medium,Compute for protein design; no biofoundry in Vietnam (FTB).
HL-089,research,"VNUA, HUST, IBT-VAST",Hanoi,Hanoi,operating,university and institute labs,current,trend,RD-01; RD-20; RD-21; RD-23 (wave 1),VN-direct,Medium,
HL-090,research,HCMC Biotechnology Center; SHTP Labs; Nong Lam University; ShrimpVet,Ho Chi Minh City,Ho Chi Minh City,operating,pilot fermenter sizes not published,current,trend,INF-04; INF-06; INF-20,VN-direct,Medium,No public food-grade contract fermentation found in Vietnam (INF).
HL-091,research,QUATEST 3 Dong Nai branch (Tran Bien ward),Dong Nai,Dong Nai,operating,accredited state testing,2026,trend,INF-13,VN-direct,Medium,"Opened 14 Sep 2026, next to Vedan and Ajinomoto."
HL-092,research,Nha Trang University; RIA3; Pasteur Institute Nha Trang; IVAC Suoi Dau,Khanh Hoa,Khanh Hoa,operating,lab and tank scale,current,trend,RD-01; RD-46 (wave 1); IND-36 (edition 1.0),VN-direct,Medium,Fisheries and biologics research base for the south-central coast.
