item,value,unit,date_or_year,location,basis,source_ids,evidence_label,confidence,notes
"Electricity: manufacturing tariff <6 kV, off-peak",1300,VND/kWh excl. VAT,2025-05-10 onward,Vietnam,Decision 1279/QD-BCT,COST-01; COST-03,VN-direct,High,Official tariff.
"Electricity: manufacturing tariff <6 kV, peak",3640,VND/kWh excl. VAT,2025-05-10 onward,Vietnam,Decision 1279/QD-BCT,COST-01; COST-03,VN-direct,High,Official tariff.
"Electricity: business (commercial) tariff <6 kV, normal hours",3152,VND/kWh excl. VAT,2025-05-10 onward,Vietnam,Decision 1279/QD-BCT as reported,COST-03,VN-direct,Medium,"Off-peak 1,918; peak 5,422. Relevant only if a pilot facility is classed as business, not manufacturing."
Electricity: new time-of-use windows,Peak 17:30-22:30 Mon-Sat (5 h); off-peak 00:00-06:00 daily (6 h); normal all other hours,time windows,effective 2026-04-22,Vietnam,MOIT Decision 963 (2026) as reported,COST-03,VN-direct,Medium,"Peak moved to the evening. A 24/7 plant now has 30 peak, 42 off-peak and 96 normal hours per week. Decision text not read directly."
"Electricity: blended 24/7 manufacturing price, >=110 kV (calculated)",1905,VND/kWh excl. VAT,"2026 (tariff of May 2025, windows of Apr 2026)",Vietnam,Calculation: (30 x peak + 42 x off-peak + 96 x normal)/168,COST-01; COST-03,VN-direct,High,"Estimate from official tariff; about USD 0.073/kWh at 26,000 VND/USD. Excludes VAT and any future capacity charge."
"Electricity: blended 24/7 manufacturing price, 22 to <110 kV (calculated)",1952,VND/kWh excl. VAT,2026,Vietnam,Same calculation,COST-01; COST-03,VN-direct,High,About USD 0.075/kWh. Use as base case for a continuous fermentation plant at 22 kV.
"Electricity: blended 24/7 manufacturing price, 6 to <22 kV (calculated)",2020,VND/kWh excl. VAT,2026,Vietnam,Same calculation,COST-01; COST-03,VN-direct,High,About USD 0.078/kWh.
"Electricity: blended 24/7 manufacturing price, <6 kV (calculated)",2110,VND/kWh excl. VAT,2026,Vietnam,Same calculation,COST-01; COST-03,VN-direct,High,About USD 0.081/kWh.
Electricity: price adjustment rule,EVN may adjust average price itself for changes of 2% to <5% after MOIT review; larger changes need higher approval,rule,"Decree 278/2026/ND-CP, effective ~2026-07-09",Vietnam,Decree as reported by press,COST-04,VN-direct,Medium,"Decree text not read directly. Signals more frequent, smaller tariff moves."
Electricity: two-part tariff (capacity + energy) pilot,"Shadow billing only in 2026; customers >=200,000 kWh/month at >=22 kV",scope,2026-01-01 to 2026-12-31,Vietnam,Electricity Law 2024 Art. 50; Decree 146/2025/ND-CP,COST-05,VN-direct,Medium,Actual bills in 2026 still use the single-part tariff. A capacity charge from 2027 could raise costs for plants with high peak demand. No VND/kW values published in the source.
DPPA: large-consumer eligibility threshold,200000,kWh per month (12-month average),2025,Vietnam,Decree 57/2025/ND-CP; Circular 16/2025/TT-BCT (as summarised),COST-06,VN-direct,Medium,"Secondary source (consultancy). A 10 kt/yr fermentation plant (~1.5-3 kWh/kg) would use roughly 1.3-2.5 GWh per month, well above the threshold."
DPPA: EVN grid service charge (CDPPA) in synthetic DPPA,420,VND/kWh,2025 reference,Vietnam,Consultancy summary of Decree 57/2025 cost formula,COST-06,VN-direct,Low,"Covers transmission, distribution, system and market operation. Set annually by MOIT. Not verified in the MOIT decision."
"DPPA: indicative delivered price, synthetic DPPA worked example",1895,VND/kWh,2026 (April 2026 rates),Binh Duong area (now HCMC),"Consultancy worked example: spot ~1,100 + CDPPA ~420 + CfD clearing ~180 + 10% top-up at retail",COST-06,VN-direct,Low,"Modelled, one source. Claimed saving about 11% versus ~2,128 VND/kWh EVN 22 kV blended (source figure; our own blended 22 kV figure is 1,952). Saving may shrink once a capacity charge applies."
DPPA: amendment,Decree 243/2026/ND-CP amends Decree 57/2025; removes price caps on physical (private-wire) DPPA; widens participants,rule,issued 2026-06-26,Vietnam,Law-firm summary,COST-07,VN-direct,Medium,Decree text not read directly.
"Grid emission factor (official, latest)",0.6592,tCO2/MWh,2023 data; announced 2024-12-03,Vietnam national grid,"Official Letter 1726/BDKH-PTCBT, Department of Climate Change (then MONRE, now MAE)",COST-08,VN-direct,High,Official. Use for Scope 2 location-based accounting.
Grid emission factor (unofficial estimates),0.6811 (2024); 0.6235 (2025),tCO2/MWh,estimates published Jan 2026,Vietnam national grid,Researcher estimates reported by QUACERT; no official 2024 or 2025 value as of Jan 2026,COST-09,VN-direct,Medium,"Estimated, not official. Check MAE for a 2024 or 2025 figure before publication."
"Industrial water: HCMC production units, base price",12100,VND/m3 excl. VAT and fees,2026 (unchanged from 2025),Ho Chi Minh City (Ben Thanh Water area),Water company notice 3698/TB-CNBT-KDDVKH (2025) as reproduced,COST-10,VN-direct,Medium,"All-in 16,625 VND/m3 (about USD 0.64) incl. 5% VAT, drainage and wastewater service charge 3,630 and 8% tax on that service. Business units 21,300 base."
"Industrial water: HCMC production units, all-in",16625,VND/m3,2026,Ho Chi Minh City,Same,COST-10,VN-direct,Medium,About USD 0.64/m3.
Industrial water: Hanoi production (san xuat vat chat),16000,VND/m3,from 2024-01-01,Hanoi,Decision 3541/QD-UBND (2023),COST-11,VN-direct,Medium,"No later Hanoi increase found (search budget limited). Business services 29,000 VND/m3. VAT and fees not included."
Industrial water: BIWASE retail for manufacturing,13800,VND/m3 excl. VAT and wastewater fee,2022 onward (still listed 2026),HCMC (former Binh Duong),BIWASE published tariff,COST-12,VN-direct,Medium,"Industrial-park wholesale at master meter 13,100 VND/m3."
Industrial water: Dong Nai,not found,VND/m3,n/a,Dong Nai (incl. former Binh Phuoc),n/a,,VN-direct,Low,"Gap. Ask Dong Nai Water (DNW) or park operators (e.g., Amata, Long Thanh IP)."
Industrial park water price (broker listing),0.5,USD/m3,undated (likely 2023-2025),"VSIP II (HCMC, former Binh Duong); Nam Thang Long (Hanoi)",Broker website listing,COST-13; COST-14,VN-direct,Low,"Single broker source, no date."
Industrial park wastewater treatment fee (broker listing),0.28 to 0.40,USD/m3,undated (likely 2023-2025),"VSIP II (0.28); Nam Thang Long, Hanoi (0.40)",Broker website listing,COST-13; COST-14,VN-direct,Low,Parks apply a pollution coefficient K by COD; high-COD fermentation effluent can pay a multiple of the base rate or need on-site pre-treatment.
LPG: 45 kg industrial cylinder retail,2212000,VND per cylinder incl. VAT,September 2026,Ho Chi Minh City,Retail price report,COST-15,VN-direct,Medium,"= about 49,000 VND/kg (USD 1.89/kg). Hanoi 2,115,072 VND. Bulk contracts are cheaper."
LPG: Saudi Aramco contract price (CP),642.5,USD/t,September 2026,International benchmark,Retail price report,COST-15,general,Medium,Up from 630 in August 2026.
"Rice husk pellets (vien nen trau), boiler fuel",2190,VND/kg (unit inferred),price page updated 2025-12-19,"Vietnam (supplier, likely south)",Supplier list price,COST-16,VN-direct,Low,"Unit not stated on page; per-kg is most plausible. Gross calorific value 3,200-3,900 kcal/kg. Wood pellets 3,090; wood shavings/sawdust 2,790 on same page."
Wood pellets: export FOB,120 to 145,USD/t,Q1 2025,Vietnam export,Supplier blog,COST-17,VN-direct,Low,Domestic delivered prices not given.
Steam cost from biomass boiler (supplier claim),830 to 870,VND per kg steam,2025,Vietnam,Supplier blog; boiler efficiency 85-87%,COST-17,VN-direct,Low,"Claimed. Our fuel-only calculation from rice husk pellets gives 420-585 VND/kg steam; the gap is O&M, capital and labour."
"Steam, fuel-only cost from rice husk pellets (calculated)",420 to 585,VND per kg steam,2025-2026,Vietnam,"640 kcal per kg steam; 3,200-3,900 kcal/kg fuel; 75-85% boiler efficiency; 2,190 VND/kg fuel",COST-16,VN-direct,Low,Estimate. Industrial-park steam tariffs not found.
Natural gas / CNG for industry,not published,USD/MMBtu,2025-2026,South-east Vietnam,"Priced per customer, indexed to fuel oil or LPG",COST-18,VN-direct,Low,Gap. Ask PV GAS D or Gas South for an indicative quote.
"Minimum wage 2026, Region I",5310000,VND/month,from 2026-01-01,"Region I (urban HCMC, Hanoi, Bien Hoa area of Dong Nai, etc.)",Decree 293/2025/ND-CP of 10 Nov 2025,COST-19,VN-direct,High,"About USD 204. Hourly 25,500 VND. Prior leads used 4.96 M VND, which was the 2024-2025 level."
"Minimum wage 2026, Region II",4730000,VND/month,from 2026-01-01,Region II,Decree 293/2025/ND-CP,COST-19,VN-direct,High,"Hourly 22,700 VND."
"Minimum wage 2026, Region III",4140000,VND/month,from 2026-01-01,Region III,Decree 293/2025/ND-CP,COST-19,VN-direct,High,"Hourly 20,000 VND."
"Minimum wage 2026, Region IV",3700000,VND/month,from 2026-01-01,Region IV,Decree 293/2025/ND-CP,COST-19,VN-direct,High,"Hourly 17,800 VND."
Average monthly income of employees,9.0,million VND/month,Q2 2026 and H1 2026,Vietnam (all sectors),NSO quarterly socio-economic report (labour force survey),COST-20,VN-direct,High,About USD 346. +0.72 M VND year on year. Manufacturing breakdown not in the English summary; see NSO Vietnamese labour report.
Employer statutory contributions,17.5% social insurance + 3% health + 1% unemployment + 2% trade-union fee = 23.5% of insured salary,% of salary,2025-2026,Vietnam,Social Insurance Law 2024 (effective 2025-07-01) and related laws,,VN-direct,Medium,Not re-read in this wave (search budget exhausted). Employee pays 10.5%. Verify with the law/regulation agent.
Salaries for food/biotech engineers and QA staff,not found,VND/month,2025-2026,Vietnam,n/a,,VN-direct,Low,"Gap. Cheapest fix: Navigos Group, Talentnet-Mercer or Adecco Vietnam 2026 salary guides."
"Industrial land rent, southern key economic zone (average asking)",186.4,USD/m2 for remaining lease term,Q2 2026,"South: HCMC, Dong Nai, Tay Ninh (post-merger)",Cushman & Wakefield MarketBeat,COST-21,VN-direct,Medium,"HCMC 187.5; Dong Nai 189.6; Tay Ninh (incl. former Long An) 179.6. Occupancy HCMC 86.1%, Dong Nai 73.1%, Tay Ninh 60.9%."
"Ready-built factory rent, south (average)",4.9,USD/m2/month,Q2 2026,South: HCMC 5.1; Dong Nai 4.9; Tay Ninh 4.6,Cushman & Wakefield MarketBeat,COST-21,VN-direct,Medium,RBF occupancy 89.7-94.3%. Ready-built warehouse 4.6 USD/m2/month.
"Industrial land rent, northern key economic zone (average asking)",137.7,USD/m2 for remaining lease term,Q2 2026,"North: Hanoi, Bac Ninh, Hung Yen, Hai Phong, Phu Tho, Ninh Binh (post-merger)",Cushman & Wakefield MarketBeat,COST-22,VN-direct,Medium,Hanoi near full.
"Ready-built factory rent, north (average)",5.0,USD/m2/month,Q2 2026,North,Cushman & Wakefield MarketBeat,COST-22,VN-direct,Medium,RBF occupancy about 86%. Ready-built warehouse 4.9 USD/m2/month.
Factory construction cost per m2,not extracted,VND/m2,Q4 2024 price basis,Vietnam,MOC Decision 409/QD-BXD (11 Apr 2025) publishes investment rates incl. industrial buildings,COST-23,VN-direct,Low,"Gap: industrial chapter not readable in this wave. Next: read Decision 409 Part 2 Chapter II, or Arcadis/RLB/Cushman Asia construction cost guides."
VAT: animal feed and aquafeed,Not subject to VAT (non-taxable),status,from 2025-07-01,Vietnam,"Law on VAT 48/2024/QH15, Art. 5(3)",COST-24,VN-direct,High,"Non-taxable means the feed producer cannot reclaim input VAT on equipment, energy and inputs. This adds roughly 5-10% to taxed input costs of a feed-protein plant (estimate)."
VAT: standard rate,10,%,from 2025-07-01,Vietnam,"Law 48/2024/QH15, Art. 9(3)",COST-24,VN-direct,High,"5% applies to clean water, fertiliser and unprocessed farm products at commercial stage (Art. 9(2)). Processed food ingredients are generally at the standard rate."
VAT: temporary reduction,10% to 8% for many goods,%,"from 2025-07-01 (end date to verify, expected 2026-12-31)",Vietnam,Resolution 204/2025/QH15; Decree 174/2025/ND-CP,COST-25,VN-direct,Medium,End date and exclusions not read in this wave.
Corporate income tax and incentives,"Standard 20%; preferential rates (e.g., 10%) and holidays for encouraged sectors/areas",%,"Law 67/2025/QH15, effective 2025-10-01 (per prior leads)",Vietnam,Link only; covered by regulation agent,,VN-direct,Medium,Not read in this wave.
Import duty exemption for machinery of incentivised projects,Exempt for imported fixed-asset goods of projects in incentivised sectors/areas,rule,in force,Vietnam,Decree 134/2016/ND-CP Art. 14 as amended by Decree 18/2021/ND-CP (link only),,VN-direct,Medium,Not read in this wave; confirm with regulation agent.
Logistics cost shock,International logistics +20-30%; domestic +15-20%,% change,March-April 2026,Vietnam,Press report linking to Middle East conflict and oil prices,COST-33,VN-direct,Low,No per tonne-km trucking cost or container rates found (search budget exhausted). Gap.
Trucking cost per tonne-km; container rates VN to Singapore/China; cold chain,not found,USD,2025-2026,Vietnam,n/a,,VN-direct,Low,Gap. Cheapest fix: Vietnam Logistics Business Association (VLA) or a forwarder quote; Drewry/Freightos for container spot rates.
Exchange rate USD,25800 buy / 26210 sell,VND per USD,2026-09-23,Vietnam,Vietcombank rate table,COST-26,VN-direct,High,"This file uses 26,000 VND/USD for conversions. EUR sell 30,550.52 VND."
