record_id,market,tariff_line,product,mfn_rate_2026,vietnam_rate_2026,vietnam_route,china_rate,thailand_rate,recipe_condition_for_vietnam_rate,duty_at_stake_if_origin_fails,source_ids,evidence_label,confidence,demand_evidence_type,notes
TAS-11,United Kingdom,1902 20 30 99 (more than 20% meat),Meat dumpling,GBP 45.00 per 100 kg,GBP 5.60 per 100 kg (UKVFTA); 0% (CPTPP),UK-CPTPP,UK Global Tariff,UK Global Tariff,CPTPP change of chapter,0 (CPTPP route),ORG-03,VN-direct,High,"n/a (rule or tariff, not demand)",UK animal-health rules for meat products not checked.
TAS-12,United Kingdom,2106 90 98 30 and 2106 90 98 69,Chay food preparation,8%,"0% (UKVFTA); 1.60% (CPTPP, 2026)",UKVFTA; CPTPP fallback,UK Global Tariff,UK Global Tariff,UKVFTA as TAS-05; CPTPP change of subheading lets imported textured soy through,USD 0.07 to 0.14 per kg at USD 4.27 to 8.44 per kg if UKVFTA origin fails and CPTPP is used (our calculation),ORG-03; XBA-28,VN-direct,High,"n/a (rule or tariff, not demand)","UK CIF unit value of stuffed pasta from Viet Nam 2025: USD 8.44 per kg (XBA-28, our calculation)."
TAS-13,Japan,"1902.20-220 (stuffed pasta, other, no added sugar)","Vegetable, plant-protein, pork or chicken dumpling",25% general; 21.3% WTO,"3.8% (CPTPP, FY2026); no Japan-Viet Nam EPA concession",CPTPP,21.3% (no RCEP concession),21.3% (no Japan-Thailand EPA concession; ASEAN rate 21.3%),CPTPP change of chapter,n/a (recipe does not bind),ORG-05,VN-direct,High,"n/a (rule or tariff, not demand)",Edge over China and Thailand: 17.5 points (our calculation).
TAS-14,Japan,"1902.20-210 (more than 20% meat or seafood, prawn predominating)",Prawn dumpling,6% general; 5.1% WTO,0.9% (CPTPP),CPTPP,5.1%,5.1%,CPTPP change of chapter,n/a,ORG-05,VN-direct,High,"n/a (rule or tariff, not demand)",
TAS-15,Japan,2106.90-299 (other food preparations),Chay food preparation,25% general; 15% WTO,Free (CPTPP); no Japan-Viet Nam EPA concession,CPTPP,15% (no RCEP concession),13.5%,CPTPP change of subheading or regional value content,n/a (recipe does not bind),EXP-41,VN-direct,Medium,"n/a (rule or tariff, not demand)",Line assignment of a given chay product not verified.
TAS-16,Canada,1902.20.00,Stuffed pasta,11%,Free (CPTPT),CPTPP,11% or GPT 10% (eligibility not checked),11% or GPT 10% (eligibility not checked),CPTPP change of chapter,n/a,ORG-07,VN-direct,High,"n/a (rule or tariff, not demand)",
TAS-17,Canada,2106.90.99,Food preparations n.e.s.,10.5%,Free (CPTPT),CPTPP,10.5% or GPT 5% (eligibility not checked),10.5% or GPT 5% (eligibility not checked),CPTPP change of subheading or regional value content,n/a,ORG-07,VN-direct,High,"n/a (rule or tariff, not demand)",
TAS-18,Australia,1902.20,Stuffed pasta,"5% (applied, 2023)",not read,"CPTPP, AANZFTA or RCEP",not read,not read,CPTPP and RCEP change of chapter,n/a,ORG-08; ORG-06,VN-direct,Medium,"n/a (rule or tariff, not demand)",China and Thailand also have agreements with Australia; their rates were not checked.
TAS-19,Korea,1902.20,Stuffed pasta,"5% (applied, 2023)",not read,"Korea-Viet Nam FTA, AKFTA or RCEP",not read,not read,RCEP change of chapter,n/a,ORG-08; ORG-06,VN-direct,Medium,"n/a (rule or tariff, not demand)",Korean preferential rates not reached.
TAS-20,United States,1902.20.00,Stuffed pasta,6.4%,6.4% plus Section 301 surcharge (MA-15),none,6.4% plus other US measures (not checked),6.4% plus Section 301 surcharge,none,n/a (no preference),ORG-09; EXP-22,VN-direct,High,"n/a (rule or tariff, not demand)","Largest market for Vietnamese stuffed pasta (USD 48.1 million, 2025, XBA-28)."
