record_id,market,product_type,hs_code,rule,requirement,mfn_tariff,vietnam_tariff,competitor_tariff,legal_basis,source_ids,evidence_label,confidence,demand_evidence_type,notes
MA-11,UK,Textured protein; food preparations; plant drinks; prepared nuts; stuffed pasta; rice noodles; soy sauce,2106 10 20; 2106 90 92 85; 2106 90 98 30; 2202 99 11 to 19; 2008 19 12 80; 2008 19 92 80; 1902 20 99 20; 1902 30 10 20; 2103 10,Tariff,Import duty,12%; 12%; 8%; 8%; 6%; 8%; 8% + GBP 14 per 100 kg; 6% + GBP 20 per 100 kg; 6%,0% on all lines checked,Thailand and China pay UK Global Tariff; Malaysia may use CPTPP (not checked),UKVFTA,EXP-24,VN-direct,High,"n/a (rule or tariff, not demand)",
MA-12,Japan,Textured vegetable protein (other than retail protein concentrates),2106.10-222,Tariff,Import duty,10.6% (WTO),Free (Japan-Viet Nam EPA; also CPTPP free),Thailand free; China 6.6% (RCEP); Korea no RCEP concession,"JVEPA, AJCEP, CPTPP, RCEP",EXP-41,VN-direct,Medium,"n/a (rule or tariff, not demand)",Parsed from customs schedule table; verify line with Japan Customs before use.
MA-13,Japan,Non-alcoholic beverages without added sugar (plant drinks),2202.99-200,Tariff,Import duty,9.6% (WTO),Free,Thailand free; RCEP ASEAN 6%; China no RCEP concession listed,"JVEPA, CPTPP",EXP-41,VN-direct,Medium,"n/a (rule or tariff, not demand)",Parsed from customs schedule table.
MA-14,Japan,Roasted cashew nuts,2008.19-191,Tariff,Import duty,"11% (WTO, heading A)",Free,Thailand free; China 5% (RCEP),"JVEPA, CPTPP",EXP-41,VN-direct,Medium,"n/a (rule or tariff, not demand)",Parsed from customs schedule table.
MA-15,US,"All Vietnamese goods except exempt list (incl. plant-based foods, instant noodles, shrimp)",all,Tariff,Additional Section 301 duty from 24 Jul 2026,MFN (varies),MFN + 12.5%,"Thailand +12.5%; Malaysia, Indonesia, India, Ecuador +10%; EU and Taiwan capped at 10% total; Japan and Korea capped at 12.5% total",Section 301 (forced labour import prohibition investigations),EXP-22,VN-direct,High,"n/a (rule or tariff, not demand)","Annex II Part A exempts cashews (0801.31, 0801.32) and coconuts (0801.11 to 0801.19) for all investigated economies."
MA-16,US,All imports (2026 history),all,Tariff,IEEPA tariffs struck down 20 Feb 2026; Section 122 10% surcharge 24 Feb to 24 Jul 2026,n/a,n/a,n/a,Learning Resources v. Trump; Proclamation 11012,EXP-21,general,High,"n/a (rule or tariff, not demand)",CIT ruled Section 122 tariffs unlawful for three plaintiffs on 7 May 2026.
MA-17,EU,Plant-based meat products (and future cultivated meat),n/a,Labelling,"32 terms restricted: meat, beef, veal, pork, poultry, chicken, turkey, duck, goose, lamb, mutton, ovine, goat, drumstick, tenderloin, sirloin, flank, loin, steak, ribs, shoulder, shank, chop, wing, breast, liver, thigh, brisket, ribeye, T-bone, rump, bacon",n/a,n/a,Applies to all products sold in the EU (inferred),"Targeted CMO revision (March 2026 trilogue), effective 19 Aug 2026",EXP-25,general,High,"n/a (rule or tariff, not demand)","Burger, sausage and nuggets allowed as of September 2026; new amendments to restrict them and blended products: AGRI vote December 2026, plenary early 2027. Seafood terms not on the list."
MA-18,EU,Plant-based dairy alternatives,n/a,Labelling,"Dairy designations (milk, cream, butter, cheese, yoghurt) reserved for milk products",n/a,n/a,Applies to all,"CJEU C-422/16 TofuTown, 14 Jun 2017",EXP-26; EXP-25,general,Medium,"n/a (rule or tariff, not demand)",Exception list for traditional names (Decision 2010/791) not retrieved; whether coconut milk can use the name in each language should be checked.
MA-19,EU,"Mycoprotein from new strains, precision-fermented proteins, cultivated meat, microalgae new to EU",n/a,Novel food,Pre-market authorisation if not consumed to a significant degree in the EU before 15 May 1997; consultation procedure to check status,n/a,n/a,Same for all origins,Regulation (EU) 2015/2283; Implementing Regulation (EU) 2018/456,EXP-46,general,High,"n/a (rule or tariff, not demand)","Plant-based products made from conventional ingredients (soy, gluten, cashew, coconut, rice) need no authorisation (inferred)."
MA-20,Singapore,Novel foods incl. cultivated meat and precision-fermentation proteins,n/a,Novel food,Pre-market safety assessment for foods without at least 20 years of safe use,n/a,n/a,Same for all origins,SFA novel food framework (page updated 27 Aug 2026),EXP-34,general,High,"n/a (rule or tariff, not demand)",SFA approved novel food list dated 14 Aug 2026.
MA-21,US,New food ingredients,n/a,Food additive or GRAS,"GRAS via scientific procedures or history of use; FDA proposed rule to enhance oversight of GRAS uses, 10 Aug 2026",n/a,n/a,Same for all origins,"FD&C Act 201(s), 409; 21 CFR 170.30; docket FDA-2025-N-3262",EXP-45,general,High,"n/a (rule or tariff, not demand)",Tightening of self-affirmed GRAS would lengthen US entry for novel proteins.
MA-22,EU,Soy and derived products listed in EUDR Annex I,Annex I (not retrieved),Deforestation due diligence,"Due diligence, geolocation and deforestation-free proof",n/a,n/a,Same for all origins,Regulation (EU) 2023/1115 as amended Dec 2024 and Dec 2025; Delegated Regulation (EU) 2026/2102,EXP-27; EXP-28,general,Medium,"n/a (rule or tariff, not demand)","Applies 30 Dec 2026 (large, medium) and 30 Jun 2027 (micro, small). July 2026 update did not add soy protein or food preparations; whether textured soy protein is outside Annex I should be confirmed."
MA-23,Aquaculture buyers (ASC-certified supply chains),Aquafeed for ASC-certified shrimp and pangasius,n/a,Private standard,"Feed mill commitment to deforestation- and conversion-free soy and palm (cutoff no later than 31 Dec 2020); marine ingredient improvement; GHG per tonne of feed, species-specific disclosure",n/a,n/a,Same for all origins,ASC Feed Standard v1.1 (text read); v1.2 mandatory from 2 Feb 2026,EXP-29; EXP-30,general,High,"n/a (rule or tariff, not demand)","20 Vietnamese feed mills in ASC programme, 13 certified (EXP-32)."
MA-24,UK retail,"Products containing or raised on soy, incl. farmed seafood feed",n/a,Private commitment,"Deforestation- and conversion-free soy (cutoff 2020 or earlier), fully implemented by end 2025, incl. soy embedded in aquaculture feed",n/a,n/a,Same for all origins,UK Soy Manifesto,EXP-33,general,High,"n/a (rule or tariff, not demand)","Signatories include Tesco, Sainsbury's, M&S, Waitrose, Morrisons, Co-op, Aldi, Lidl, Iceland, Ocado, Seafresh, Lyons Seafoods."
MA-25,"Muslim-majority markets (GCC, Malaysia, Indonesia)",Plant-based and cultivated foods,n/a,Halal certification,Importer-recognised halal certification,n/a,n/a,Malaysia declared cultivated meat halal (Dec 2025),National halal schemes (not retrieved),EXP-11; EXP-38,general,Low,"n/a (rule or tariff, not demand)",Au Lac and An Nhien claim halal certification; Vietnam's national halal scheme and GCC recognition not verified.
MA-26,"Korea, China",Plant-based foods and ingredients,2106.10; 2106.90; 2202.99,Tariff,"Preferential duty under VKFTA, ACFTA, RCEP",not verified,not verified,not verified,VKFTA; ACFTA; RCEP,,VN-direct,Low,"n/a (rule or tariff, not demand)",Not checked in this stream; open question.
