topic,doi,title,year,cited_by,institutions,notes,source_ids,evidence_label,confidence
T07 Single cell protein,10.1186/s40104-024-01146-w,Exploring single cell microbial protein as a sustainable fishmeal alternative in yellowtail kingfish ...,2025,15,not verified (likely international-led),Most-cited VN-tagged SCP paper; species not farmed in VN. Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23.,BIB-01,[VN-direct],Medium
T07 Single cell protein,10.15625/1811-4989/14/3/9876,Isolation of a methane-oxidizing bacterium for the study of single cell protein,2016,1,VNU Hanoi IMBT (wave 1),No follow-up found. Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23.,BIB-01; BIB-06,[VN-direct],Medium
T07 Single cell protein,10.1051/e3sconf/202342009003,RETRACTED: Bamboo cellulose based single cell protein and nanocellulose ...,2023,0,not verified,RETRACTED. A duplicate record (10.60692/0q29a-9j360) also exists. Exclude from any capability count. Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23.,BIB-01,[VN-direct],High
T08 Aspergillus oryzae,10.1007/s11274-017-2275-9,A new and efficient approach for construction of uridine/uracil auxotrophic mutants ... (A. oryzae),2017,43,"VNU Hanoi HUS (probable, wave 1)",Fungal genetic tools. Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23.,BIB-01; BIB-06,[VN-direct],Medium
T08 Aspergillus oryzae,10.1007/s11274-016-2168-3,The construction and use of versatile binary vectors carrying pyrG auxotrophic marker ...,2016,41,"VNU Hanoi HUS (probable, wave 1)",Fungal genetic tools. Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23.,BIB-01; BIB-06,[VN-direct],Medium
T08 Aspergillus oryzae,10.1007/s11274-021-03060-z,Development of a new Agrobacterium-mediated transformation system based on a dual auxotrophic approach ...,2021,13,VNU Hanoi HUS (wave 1),Matches wave 1. Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23.,BIB-01; BIB-06,[VN-direct],Medium
T08 Aspergillus oryzae,10.1007/s12649-022-01724-x,Valorization of cassava bagasse using co-culture of Aspergillus ...,2022,8,not verified,Closest item to cassava-residue fermentation; check if protein enrichment is an endpoint. Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23.,BIB-01,[VN-direct],Medium
T11 Pichia pastoris,10.1186/s13104-017-2471-6,Pichia pastoris versus Saccharomyces cerevisiae: a case study ...,2017,42,not verified,Expression-host comparison. Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23.,BIB-01,[VN-direct],Medium
T11 Pichia pastoris,10.1007/s00253-021-11493-7,Yeast cell surface displaying VP28 antigen ...,2021,16,not verified,Shrimp WSSV vaccine; aquaculture link. Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23.,BIB-01,[VN-direct],Medium
T11 Pichia pastoris,10.1016/j.jbiosc.2015.06.009,Characterization of a novel manganese dependent endoglucanase ...,2016,17,not verified,Enzyme. Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23.,BIB-01,[VN-direct],Medium
T12 Cultivated meat,10.2478/vjls-2024-0013,From Lab to Table: Food Safety Regulations for (cultivated meat) ...,2024,0,not verified,"Only VN cultivated meat item; legal, not technical. Matches wave 1 RD-43. Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23.",BIB-01,[VN-direct],High
T14 Spirulina,10.1016/j.envpol.2021.117492,Perspective of Spirulina culture with wastewater into a sustainable circular bioeconomy,2021,120,not verified,Most-cited VN-tagged spirulina item; environmental angle. Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23.,BIB-01,[VN-direct],Medium
T14 Spirulina,10.1016/j.biortech.2019.121519,Liquid biphasic flotation for the purification of ...,2019,85,not verified,Downstream purification (Malaysia-led network likely). Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23.,BIB-01,[VN-direct],Medium
T14 Spirulina,10.1016/j.fuel.2020.117645,Performance and emission analysis of a diesel engine ... (spirulina biodiesel),2020,108,not verified,"Illustrates that top-cited VN spirulina work is energy, not protein. Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23.",BIB-01,[VN-direct],Medium
T14 Spirulina,10.54644/jte.70b.2022.1213,Protein extraction from Spirulina platensis with the cellulase ...,2022,5,HCMC University of Technology and Education (journal publisher; affiliation not verified),Only spirulina protein-as-ingredient item surfaced. Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23.,BIB-01,[VN-direct],Low
T15 Microalgae protein,10.1016/j.fshw.2019.03.001,Microalgae: A potential alternative to health supplementation for humans,2019,821,VNU Hanoi co-author likely (network paper); not verified,"Very highly cited review; VN is a co-author node, not the lead lab. Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23.",BIB-01,[VN-direct],Low
T15 Microalgae protein,10.3389/fbioe.2019.00396,Microalgal protein extraction from Chlorella vulgaris FSP-E ...,2019,88,not verified (likely Malaysia-led),Protein extraction method. Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23.,BIB-01,[VN-direct],Medium
T16 Seaweed protein,10.1007/s10811-018-1457-7,Effects of partial replacement of fishmeal protein with Cladophora ... in Penaeus monodon postlarvae,2018,25,Can Tho University (wave 1),Matches wave 1. Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23.,BIB-01; BIB-06,[VN-direct],Medium
T17 Duckweed,10.1111/tpj.14049,Generating a high-confidence reference genome map of the duckweed Spirodela polyrhiza,2018,74,not verified (IPK Gatersleben network),"Genomics, not protein. Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23.",BIB-01,[VN-direct],Medium
T17 Duckweed,10.1038/s41598-020-75728-9,Chromosome-scale genome assembly for the duckweed Spirodela intermedia ...,2020,37,VN authors with IPK Gatersleben (wave 1),Matches wave 1. Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23.,BIB-01; BIB-06,[VN-direct],Medium
T18 Black soldier fly,10.1016/j.jtice.2018.01.035,Direct transesterification of black soldier fly larvae ...,2018,99,not verified (Taiwan-based network),"Biodiesel, not feed. Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23.",BIB-01,[VN-direct],Medium
T18 Black soldier fly,10.3390/ani10101876,Partially defatted Hermetia illucens larva meal in diet ...,2020,61,not verified,Feed trial. Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23.,BIB-01,[VN-direct],Medium
T19 Fishmeal replacement,10.1371/journal.pone.0232278,Growth and health of juvenile barramundi challenged with DO hypoxia after feeding various inclusions ...,2020,29,"Nha Trang University with Deakin (probable, wave 1)",Aquafeed. Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23.,BIB-01; BIB-06,[VN-direct],Medium
T19 Fishmeal replacement,10.1111/are.13147,Effects of replacing fish meal with soya protein concentrate ... snakehead,2016,23,Can Tho University (wave 1),SPC replaced 40% of fishmeal protein (wave 1 RD-46). Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23.,BIB-01; BIB-06,[VN-direct],High
T19 Fishmeal replacement,10.1016/j.aqrep.2021.100875,Enzymatic tuna hydrolysate supplementation modulates growth ...,2021,18,not verified,By-product protein. Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23.,BIB-01,[VN-direct],Medium
T19 Fishmeal replacement,10.4314/sajas.v46i3.1,Effects of replacing marine fishmeal with graded levels of Tra catfish by-product protein hydrolysate ...,2016,4,not verified,Pangasius by-product protein. Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23.,BIB-01,[VN-direct],Medium
T19 Fishmeal replacement,10.46989/001c.156390,Red seaweed (Gracilaria tenuistipitata) meal as partial substitute for fishmeal protein ...,2026,0,not verified,Newest item. Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23.,BIB-01,[VN-direct],Medium
T20 Alternative protein,10.3390/ani9040155,Potential of insect meals as protein sources ...,2019,33,not verified,Feed. Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23.,BIB-01,[VN-direct],Medium
T20 Alternative protein,10.1016/j.aquaculture.2020.735383,Complete replacement of fishmeal by soybean and poultry ...,2020,32,not verified,Feed. Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23.,BIB-01,[VN-direct],Medium
T20 Alternative protein,10.1016/j.appet.2025.107974,Consumer alternative protein choice in climate change ...,2025,4,not verified,Demand side. Title truncated as returned by the API summary; cited_by = OpenAIRE citationCount on 2026-09-23.,BIB-01,[VN-direct],Medium
