topic,year,count,complete_set,source_ids,evidence_label,confidence,notes
T09 Tempeh OR mycoprotein,2019,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T09 Tempeh OR mycoprotein,2020,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T09 Tempeh OR mycoprotein,2021,1,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T09 Tempeh OR mycoprotein,2022,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T09 Tempeh OR mycoprotein,2023,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T09 Tempeh OR mycoprotein,2024,1,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T09 Tempeh OR mycoprotein,2025,1,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T09 Tempeh OR mycoprotein,2026,1,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T12 Cultivated meat,2015,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T12 Cultivated meat,2016,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T12 Cultivated meat,2017,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T12 Cultivated meat,2018,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T12 Cultivated meat,2019,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T12 Cultivated meat,2020,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T12 Cultivated meat,2021,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T12 Cultivated meat,2022,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T12 Cultivated meat,2023,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T12 Cultivated meat,2024,1,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T12 Cultivated meat,2025,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T12 Cultivated meat,2026,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T15 Microalgae protein,2015,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T15 Microalgae protein,2016,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T15 Microalgae protein,2017,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T15 Microalgae protein,2018,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T15 Microalgae protein,2019,2,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T15 Microalgae protein,2020,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T15 Microalgae protein,2021,1,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T15 Microalgae protein,2022,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T15 Microalgae protein,2023,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T15 Microalgae protein,2024,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T15 Microalgae protein,2025,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T15 Microalgae protein,2026,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T16 Seaweed protein,2015,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T16 Seaweed protein,2016,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T16 Seaweed protein,2017,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T16 Seaweed protein,2018,1,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T16 Seaweed protein,2019,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T16 Seaweed protein,2020,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T16 Seaweed protein,2021,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T16 Seaweed protein,2022,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T16 Seaweed protein,2023,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T16 Seaweed protein,2024,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T16 Seaweed protein,2025,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T16 Seaweed protein,2026,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T19 Fishmeal replacement,2015,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T19 Fishmeal replacement,2016,2,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T19 Fishmeal replacement,2017,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T19 Fishmeal replacement,2018,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T19 Fishmeal replacement,2019,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T19 Fishmeal replacement,2020,2,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T19 Fishmeal replacement,2021,1,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T19 Fishmeal replacement,2022,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T19 Fishmeal replacement,2023,3,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T19 Fishmeal replacement,2024,0,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T19 Fishmeal replacement,2025,1,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
T19 Fishmeal replacement,2026,1,yes (all records listed and read),BIB-01,[VN-direct],Medium,Raw OpenAIRE records incl. false positives; see biblio_counts.csv notes
"UNION of complete sets above (deduplicated by DOI, n=42)",2015,0,yes,BIB-01,[VN-direct],Medium,"Excludes large sets (Pichia 25, A. oryzae 23, duckweed 23, BSF 34, spirulina 87, 'alternative protein' 20) whose year split was not retrievable"
"UNION of complete sets above (deduplicated by DOI, n=42)",2016,3,yes,BIB-01,[VN-direct],Medium,"Excludes large sets (Pichia 25, A. oryzae 23, duckweed 23, BSF 34, spirulina 87, 'alternative protein' 20) whose year split was not retrievable"
"UNION of complete sets above (deduplicated by DOI, n=42)",2017,0,yes,BIB-01,[VN-direct],Medium,"Excludes large sets (Pichia 25, A. oryzae 23, duckweed 23, BSF 34, spirulina 87, 'alternative protein' 20) whose year split was not retrievable"
"UNION of complete sets above (deduplicated by DOI, n=42)",2018,2,yes,BIB-01,[VN-direct],Medium,"Excludes large sets (Pichia 25, A. oryzae 23, duckweed 23, BSF 34, spirulina 87, 'alternative protein' 20) whose year split was not retrievable"
"UNION of complete sets above (deduplicated by DOI, n=42)",2019,2,yes,BIB-01,[VN-direct],Medium,"Excludes large sets (Pichia 25, A. oryzae 23, duckweed 23, BSF 34, spirulina 87, 'alternative protein' 20) whose year split was not retrievable"
"UNION of complete sets above (deduplicated by DOI, n=42)",2020,4,yes,BIB-01,[VN-direct],Medium,"Excludes large sets (Pichia 25, A. oryzae 23, duckweed 23, BSF 34, spirulina 87, 'alternative protein' 20) whose year split was not retrievable"
"UNION of complete sets above (deduplicated by DOI, n=42)",2021,5,yes,BIB-01,[VN-direct],Medium,"Excludes large sets (Pichia 25, A. oryzae 23, duckweed 23, BSF 34, spirulina 87, 'alternative protein' 20) whose year split was not retrievable"
"UNION of complete sets above (deduplicated by DOI, n=42)",2022,5,yes,BIB-01,[VN-direct],Medium,"Excludes large sets (Pichia 25, A. oryzae 23, duckweed 23, BSF 34, spirulina 87, 'alternative protein' 20) whose year split was not retrievable"
"UNION of complete sets above (deduplicated by DOI, n=42)",2023,6,yes,BIB-01,[VN-direct],Medium,"Excludes large sets (Pichia 25, A. oryzae 23, duckweed 23, BSF 34, spirulina 87, 'alternative protein' 20) whose year split was not retrievable"
"UNION of complete sets above (deduplicated by DOI, n=42)",2024,5,yes,BIB-01,[VN-direct],Medium,"Excludes large sets (Pichia 25, A. oryzae 23, duckweed 23, BSF 34, spirulina 87, 'alternative protein' 20) whose year split was not retrievable"
"UNION of complete sets above (deduplicated by DOI, n=42)",2025,6,yes,BIB-01,[VN-direct],Medium,"Excludes large sets (Pichia 25, A. oryzae 23, duckweed 23, BSF 34, spirulina 87, 'alternative protein' 20) whose year split was not retrievable"
"UNION of complete sets above (deduplicated by DOI, n=42)",2026,4,yes,BIB-01,[VN-direct],Medium,"Excludes large sets (Pichia 25, A. oryzae 23, duckweed 23, BSF 34, spirulina 87, 'alternative protein' 20) whose year split was not retrievable"
