fact_id,topic,claim,value,unit,year_of_data,scope,source_ids,evidence,confidence,quote,notes
PB-17,for: GHG per protein,"Per 100 g of protein, the global average footprint of beef from beef herds is about 50 kg CO2e, lamb about 20, farmed prawns about 18, cheese about 11, pork 7.6, farmed fish 6.0, poultry 5.7, eggs 4.2, tofu 2.0, peas 0.44 and nuts 0.26.",49.89; 19.85; 18.19; 10.82; 7.61; 5.98; 5.70; 4.21; 1.98; 0.44; 0.26,kg CO2e per 100 g protein (global mean),about 2010,"world, farm to retail",FUF-07,general,High,Beef (beef herd): 49.889668 ... Peas: 0.4410441 ... Tofu: 1.975 (OWID grapher CSV),"These are the global MEANS that Our World in Data publishes (its metadata calls them 'global average'), not medians. Means are pulled up by a few high-impact producers. Nuts are low because tree planting stores carbon in some systems. Full table in data_protein_footprints.csv."
PB-18,for: GHG per protein,"Using medians instead of means, the typical footprint per 100 g of protein is about 25 kg CO2e for beef, 20 for lamb, 10 for farmed prawns, 8.4 for cheese, 6.5 for pork, 4.3 for poultry, 3.8 for eggs, 3.5 for farmed fish, 1.6 for tofu, 0.8 for nuts and 0.4 for peas.",25; 20; 10; 8.4; 6.5; 4.3; 3.8; 3.5; 1.6; 0.8; 0.4,kg CO2e per 100 g protein (global median),about 2010,world,PRB-03; PRB-01,general,Medium,The median footprint for beef is 25 kgCO2eq.,"Global medians from Poore and Nemecek as reported by Our World in Data (Ritchie 2020). Beef 25 is in the body text; lamb ('around 20'), prawns ('about 10') and the others were read from the article's chart description, so they are rounded. The paper's own Figure 1 values could not be extracted as text. Medians and means differ a lot (beef 25 vs 50); report both, never average."
PB-19,for: GHG per protein,"Footprints vary widely within each food, yet even low-impact animal products usually emit more than plant proteins: the lowest-impact 10% of beef emits about 9 kg CO2e per 100 g protein and lamb 12, while the highest-impact peas emit 0.8, nuts 2.4 and tofu 3.5.",9; 12; 0.8; 2.4; 3.5,kg CO2e per 100 g protein (10th or 90th percentile),about 2010,world,PRB-03; PRB-01,general,Medium,All are several times less than the lowest impact lamb (12 kgCO2eq) and beef (9 kgCO2eq).,"Paper's wording: 'the impacts of the lowest-impact animal products exceed average impacts of substitute vegetable proteins'. At the top end, 90th-percentile beef is 105 kg CO2e and 370 m2 of land per 100 g protein (PRB-01). Low-impact poultry, eggs and farmed fish overlap with high-impact tofu."
PB-20,for: land per protein,"Per 100 g of protein, beef from beef herds uses on average about 164 m2 of land for a year and lamb about 185 m2, against about 40 for cheese, 11 for pork, 7 for poultry, 6 for eggs, 4 for farmed fish, 2 for farmed prawns, 3 for peas and 2 for tofu.",163.6; 184.8; 39.8; 10.7; 7.1; 5.7; 3.7; 2.0; 3.4; 2.2; 7.9,m2 x year per 100 g protein (global mean),about 2010,world,PRB-02,general,High,Beef (beef herd): 163.5958 ... Lamb & Mutton: 184.81259 ... Tofu: 2.2 (OWID grapher CSV),Global means; land use counts area times years occupied and includes grazing land that often cannot grow crops (see Mottet et al.). Farmed prawns and fish look low on land because much of their feed and pond area is not counted as agricultural land in this dataset. Nuts 7.9.
PB-21,for: climate,"Food systems, from farm to plate, emitted about 18 Gt CO2e in 2015, about 34% of all human-caused greenhouse gas emissions, with 71% of that from farming and land-use change.",18; 34; 71,Gt CO2e; percent of global GHG; percent of food-system GHG,2015,"world, all foods",PRB-09,general,High,"In 2015, food-system emissions amounted to 18 Gt CO2 equivalent per year globally, representing 34% of total GHG emissions.","Covers all food, plant and animal. Scite indexes this paper under wrong author names; the correct authors are Crippa, Solazzo, Guizzardi, Monforti-Ferrario, Tubiello and Leip (checked on nature.com)."
PB-22,for: climate,"FAO's latest estimate is that livestock supply chains emitted about 6.2 Gt CO2e in 2015, around 12% of human-caused emissions, with cattle responsible for 62%.",6.2; 12; 62,Gt CO2e; percent of anthropogenic GHG; percent from cattle,2015,world livestock agrifood systems,PRB-07,general,High,"accounted for approximately 6.2 billion tonnes of CO2 equivalent emissions (GtCO2eq) per year, equal to around 12 percent of all anthropogenic GHG emissions","Second quote: 'cattle...contribute around 3.8 GtCO2 equivalent per year, or 62 percent of the livestock total'. FAO press release 8 Dec 2023 for the report 'Pathways towards lower emissions' (report PDF blocked to fetching)."
PB-23,for: climate,"FAO's earlier and still widely quoted estimate was 7.1 Gt CO2e, or 14.5% of human-caused emissions, for the reference year 2005.",7.1; 14.5,Gt CO2e; percent of anthropogenic GHG,2005,world livestock supply chains,PRB-08,general,High,"With emissions estimated at 7.1 gigatonnes CO2-eq per annum, representing 14.5 percent of human-induced GHG emissions","Reference year 2005 ('the year with the most recent complete set of data'). Cattle 4.6 Gt, 65%. Why 14.5% and 12% differ: different reference years (2005 vs 2015) and model versions (GLEAM 3 uses 2015, per FAO's GLEAM page), so the fall is not evidence that emissions went down. FAO's own stated reasons were not found in the release; updated emission factors, warming potentials and a larger world total are likely but unverified. Give both with their years; do not average."
PB-24,for: climate,"Without further action, FAO expects livestock emissions to reach nearly 9.1 Gt CO2e by 2050 if demand grows as projected.",9.1,Gt CO2e,2050,world livestock,PRB-07,general,Medium,"Without interventions and productivity gains, meeting increased demand is likely to bring global livestock emissions to nearly 9.1 GtCO2eq by 2050","Projection. FAO's own report argues mainly for productivity and on-farm mitigation, with diet change as one lever among several."
PB-25,for: public health,"Farm animals were given an estimated 99,500 tonnes of antimicrobials in 2020, projected to rise 8% to about 107,500 tonnes by 2030.","99,502; 107,472; 8",tonnes of active ingredient; percent,2020; 2030,"world, cattle, sheep, chickens, pigs",GEO-25,general,High,"global AMU (tonnes) for cattle, sheep, chicken, and pigs was estimated at 99,502 tonnes of active ingredient","95% CI very wide: 68,535 to 193,052 t in the results text (the abstract prints 198,052; a typo in one place). Six of the ten largest meat producers, Vietnam included, do not publish use data, so the figure is modelled."
PB-26,for: public health,"Animals accounted for about 73% of all antimicrobials used worldwide in 2017, and Asia used 59% of the animal total in 2020.",73; 59,percent of global antimicrobial use; percent of animal use in Asia,2017; 2020,world,GEO-25,general,Medium,"In 2017, antimicrobial use (AMU) in animals represented 73% of all antimicrobials used worldwide","The 73% is cited by Mulchandani et al. from earlier work (Tiseo et al. 2020); not re-derived here. Asia 58,377 t (59%), China alone 32,776 t."
PB-27,for: public health,In Vietnam about 71.7% of antimicrobials used in 2015 went to animals.,71.7,percent of national antimicrobial use,2015,Vietnam,MAC-36,VN-direct,Medium,About 71.7% of antimicrobials used in Vietnam in 2015 went to animals (package app-x X.2.3),Reused from package. Vietnam banned growth promoters from 2018 and allows antibiotics only to treat diagnosed disease from 1 Jan 2026 (GEO-24).
PB-28,context: public health,"About 60% of the 335 new human infectious diseases that emerged between 1940 and 2004 came from animals, but about 72% of those came from wild animals rather than farm animals.",60.3; 71.8,percent of emerging infectious disease events; percent of zoonotic events from wildlife,1940 to 2004,world,PRB-12,general,High,EID events are dominated by zoonoses (60.3% of EIDs): the majority of these (71.8%) originate in wildlife,"Important for balance: the zoonosis argument applies to livestock mainly as a bridge or amplifier host (for example pigs for Nipah, poultry for H5N1), not as the main source. Counts events, not deaths."
PB-29,for: public health,"A 2020 UN Environment Programme and ILRI report named rising demand for animal protein and intensive, unsustainable farming among seven drivers of new zoonotic diseases, and said neglected zoonoses kill about two million people a year.",2,million deaths a year (neglected zoonoses),2020,world,PRB-13,general,Medium,increased demand for animal protein,"Second quote: 'Every year, some two million people, mostly in low- and middle-income countries, die from neglected zoonotic diseases.' Read via the UN country-team copy of the press release; the UNEP page returned 404. No numeric attribution of risk to livestock."
PB-30,for: public health,The WHO cancer agency (IARC) classifies processed meat as carcinogenic to humans (Group 1) and red meat as probably carcinogenic (Group 2A); each 50 g of processed meat eaten daily raises colorectal cancer risk by about 18%.,18,percent higher colorectal cancer risk per 50 g/day processed meat,2015 (IARC evaluation),world,PRB-14,general,High,every 50 gram portion of processed meat eaten daily increases the risk of colorectal cancer by about 18%,"WHO stresses the groups describe strength of evidence (hazard), not size of risk, and that 'Meat can be part of a healthy diet'. For red meat, 17% per 100 g a day only if causal. Relevant to processed alternatives too: the classification concerns the meat, not processing in general."
PB-31,for: animal welfare,"About 86 billion land animals were slaughtered for meat in 2024, of which about 78.5 billion (91%) were chickens; pigs numbered about 1.5 billion and cattle about 305 million.",86.3; 78.5; 91; 1.49; 0.305,billion animals; percent chickens,2024,"world, seven species",PRB-15,general,High,"World,OWID_WRL,2024,304744672,563722560,78533920000,504128000,1493796992,703861376,4227882000","Our sum of FAOSTAT counts via Our World in Data for cattle, goats, chickens, turkeys, pigs, sheep and ducks (4.2 billion ducks). Excludes geese, rabbits, buffalo and others, so it is a floor. Motivation held by some actors (package framing)."
PB-32,for: animal welfare,Estimates for fish are far larger and far less certain: roughly 1.1 to 2.2 trillion wild fish caught a year (2000 to 2019 average) and 78 to 171 billion farmed fish killed in 2019.,1.1 to 2.2; 78 to 171,trillion wild fish a year; billion farmed fish,2000 to 2019; 2019,world,PRB-16,general,Low,"1.1-2.2 trillion wild fishes were caught annually, on average, during 2000-2019",Second quote: '124 billion farmed fishes were killed for food in 2019 (range 78-171 billion)'. Also 250 to 600 billion farmed crustaceans (2017). Fishcount.org.uk is an animal-welfare advocacy project; estimates derive FAO tonnage divided by assumed weights. Label Low.
PB-33,for: economic opportunity,"The United States launched a national biotechnology and biomanufacturing initiative by executive order in September 2022, directing the agriculture department to assess biotech for food and farming.",,,2022,United States,PRB-25,general,High,The economic activity derived from biotechnology and biomanufacturing is referred to as 'the bioeconomy.',"EO 14081, 12 Sep 2022. Also: USDA to assess 'how to use biotechnology and biomanufacturing for food and agriculture innovation'. Whether the order remains in force after the 2025 change of administration was not verified. US federal alternative-protein funding was about USD 11 M in 2025, down from about USD 115 M in 2024 (ECF-43, advocacy). A 2025 congressional commission recommended USD 15 billion for biotechnology but gave agriculture limited attention (ECF-42)."
PB-34,for: economic opportunity,China's first bioeconomy plan (May 2022) set a goal of 22 trillion yuan of bioeconomy output by 2025 and called for research on new foods such as 'artificial protein'.,22,"trillion yuan (target, 2025)",2022 (plan); 2025 (target),China,PRB-26,VN-adjacent,Medium,new food like artificial protein to lower the environmental and resources pressure arising from traditional breeding industries,"Read via Global Times (state-owned press), not the NDRC text. Whether 22 trillion is in the plan itself or a press gloss was not checked. China's 15th Five-Year Plan (2026 to 2030) names biomanufacturing a future industry (ECF-29)."
PB-35,for: economic opportunity,"Other governments frame alternative protein as part of a wider bioeconomy: India targets a USD 300 billion bioeconomy by 2030 (from USD 165.7 billion in 2024) with 'smart proteins' a named area, and Japan targets a JPY 100 trillion bioeconomy market by 2030.",300; 165.7; 100,USD billion (India); JPY trillion (Japan),2024; 2030,India; Japan,ECF-31; ECF-32,VN-adjacent,Medium,Bioeconomy USD 165.7 bn (2024) to USD 300 bn (2030); smart proteins a named area (package bioeconomy_strategies BES-013),"Government targets, not measured outcomes or forecasts with a published method. Reused from the package."
PB-36,for: economic opportunity,"Governments committed at least USD 2.5 billion of public money to alternative protein in 2021 to 2025, across 33 countries, according to an advocacy group.",2.5; 33,USD billion cumulative; countries,2021 to 2025,world,ECF-43,general,Low,At least USD 2.5 bn cumulative (2021 to 2025) vs about USD 0.7 bn (2021); 33 countries engaged vs 16 (package BES-023),GFI is an advocacy group; totals depend on what it counts as protein diversification. Reused from package.
PB-37,against: livelihoods,FAO says livestock supports the livelihoods of at least 1.3 billion people and makes up about 20% of agricultural output in developing countries and 40% in developed ones.,1.3; 20; 40,billion people; percent of agricultural output,undated web page (accessed 2026),world,PRB-17,general,Medium,supporting the livelihoods of at least 1.3 billion people worldwide,"FAO web page, undated; the 1.3 billion figure is long-standing and its method is not given on the page. Same page: 'Thirty-four percent of global food protein supply comes from livestock.'"
PB-38,against: nutrition,"FAO's 2023 review concludes that meat, eggs and milk supply high-quality protein and hard-to-get nutrients such as iron, zinc, vitamin B12 and calcium, which matter most for young children and pregnant women.",,,2023,world,PRB-18,general,High,"High quality protein, a number of essential fatty-acids - together with iron, calcium, zinc, selenium, Vitamin B12, choline and bioactive compounds","UN News report, 25 Apr 2023, of FAO 'Contribution of terrestrial animal source food to healthy diets'. The same report warns that even low intakes of processed red meat raise chronic disease risk."
PB-39,against: nutrition,"More than half of the world's preschool children (about 372 million) and 1.2 billion women of child-bearing age lack at least one of three key micronutrients, three quarters of the children in South and East Asia, the Pacific and sub-Saharan Africa.",372; 1.2,million children; billion women,2023 (report),world,PRB-18,VN-adjacent,High,More than one in two preschool children (some 372 million) and 1.2 billion women of child-bearing age,"The three micronutrients are iron, zinc and vitamin A in FAO's framing (not verified beyond the UN News text). Argument against cutting animal foods where diets are poor; not an argument about rich-country diets."
PB-40,against: nutrition,"In low-income countries people eat on average only 143 kcal a day of animal-source food, and OECD-FAO project this will not rise by 2034, well below the 300 kcal FAO uses as a healthy-diet benchmark.",143; 300,kcal per person per day,2034,low-income countries,PRB-04; PRB-05,general,High,"In low-income countries, average daily per capita intake of animal-source foods is projected at 143 kcal, well below the 300-kcal benchmark","Supports the view that some populations need more, not less, animal-source food. Vietnam is lower-middle income."
PB-41,against: feed-food competition,"Most of what livestock eat is not human food: 86% of global livestock feed (by dry matter) is grass, leaves, crop residues and by-products that people cannot eat.",86,percent of livestock feed intake not edible by humans,about 2010 (GLEAM model; not re-checked),world,PRB-11,general,High,86% is made of materials that are currently not eaten by humans,"Mottet et al. 2017 (FAO authors). Same abstract: livestock consume 6 billion t of feed dry matter a year and use about 2.5 billion ha. Still, livestock eat about one third of global cereals and need on average 2.8 kg (ruminants) and 3.2 kg (pigs and poultry) of human-edible feed per kg of boneless meat. Both this and Cassidy et al. are true: they measure different things (dry matter of all feed vs calories of crops)."
PB-42,against: processing and health,"In a study of 118,397 UK adults, each extra 10% of daily energy from plant-based ultra-processed foods was linked to a 12% higher risk of dying from heart disease, while unprocessed plant foods were linked to 13% lower risk.",1.12; 0.87,hazard ratio per 10% of energy,2024 (publication),United Kingdom adults,PRB-19,general,Medium,plant-sourced UPF contribution was associated with a higher risk of mortality for all CVD (adjusted HR for 10% increase 1.12,"Observational; association not proof. 'Plant-sourced UPF' here is mostly packaged bread, pastries, biscuits, crisps and drinks, not mainly meat analogues. Widely reported in Vietnam as a finding about 'fake meat' (TRU-13). 95% CI 1.05 to 1.20 for the 1.12; non-UPF HR 0.87 (0.80 to 0.94)."
PB-43,for: processing and health,"In a small randomised trial (36 US adults, 8 weeks each), eating plant-based meat instead of red meat lowered LDL cholesterol (110 vs 121 mg/dL) and TMAO, a marker linked to heart disease.",109.9; 120.7,mg/dL LDL cholesterol (plant vs animal phase),2020,"United States, generally healthy adults",PRB-20,general,Medium,"the Plant products improved several cardiovascular disease risk factors, including TMAO; there were no adverse effects on risk factors","Small, short, no washout, and a significant order effect for TMAO. Funding source not verified here (reported elsewhere as an unrestricted gift from a plant-based meat company). Pair with the observational study above: trial and cohort evidence point different ways."
PB-44,against: processing and health,"Compared with the meat they imitate, plant-based meat products generally contain less protein, zinc and vitamin B12 and are often high in sodium, though they offer more fibre, less saturated fat and similar iron.",,,2022,United States products,PRB-21,general,Medium,"plant-based meat alternative products generally contain less protein, zinc, and vitamin B12 than animal meats. Most also contain sodium in high amounts","Narrative review built on a US audit of plant-based ground beef products. Iron in plants is non-heme and less absorbed, so 'similar iron' on the label overstates what the body gets (package app-j on phytate)."
PB-45,context: processing and health,"A survey of 274 plant-based meat products in Hong Kong found them lower in energy, fat, saturated fat, protein and salt than the 151 meat products compared, but most were medium to high in fat and sugar by front-of-pack criteria.",274; 151,products compared,Oct 2022,Hong Kong retail,PRB-22,VN-adjacent,Medium,"PBM had relatively lower energy density, total fat, saturated fat, protein, and salt compared to meat","Nutritional verdicts depend on the comparator: against processed meat products, analogues look better on salt; against fresh meat (US study), worse. Give both."
PB-46,against: cultivated meat,"A peer-reviewed life-cycle assessment found near-term cultivated meat could emit 12 to 1,508 kg CO2e per kg; with pharmaceutical-grade purified growth media, 246 to 1,508 kg, which is 4 to 25 times the median for retail beef.","12 to 1,508; 246 to 1,508; 4 to 25",kg CO2e per kg; times beef,2024,modelled near-term production,FTB-26,general,High,which is 4 to 25 times greater than the median GWP of retail beef,"Full sentence: all purified scenarios ranged from 246 to 1508 kg CO2e per kg; all scenarios 12 to 1508. Risner et al. 2024, the peer-reviewed version of the 2023 UC Davis preprint. Beef median about 60 kg CO2e per kg in their comparison. The low end (12 kg, food-grade media) is about 80% below median beef. The result turns on how refined the media must be, which is unresolved. Same paper: 1% of world meat would need about 30 times the 2021 world culture capacity (package app-v)."
PB-47,against: cultivated meat,"Because cultivated meat's emissions are mostly long-lived carbon dioxide while cattle emit mostly short-lived methane, a 2019 climate-model study found cultivated meat is 'not prima facie climatically superior' to cattle; its advantage depends on clean energy.",,,2019,"modelled scenarios to 1,000 years",PRB-23,general,High,We conclude that cultured meat is not prima facie climatically superior to cattle production,"Lynch and Pierrehumbert 2019. In their high-energy case (about 360 MJ per kg), 25 kg per person a year for 10 billion people would need about 90 EJ, 22.9% of 2015 world energy use. Optimistic footprints remain better than cattle even over 1,000 years."
PB-48,for: cultivated meat,"An industry-informed life-cycle study for 2030 found that with renewable energy cultivated meat would have a lower carbon footprint than beef and pork, similar to efficient chicken, and use far less farmland.",,,2030 (ex-ante),"commercial-scale, Europe benchmarks",PRB-24,general,Medium,"Using renewable energy, the carbon footprint is lower than beef and pork and comparable to the ambitious benchmark of chicken","Sinke et al. 2023 (CE Delft), with data from over 15 companies; a correction was published in June 2023. One co-author (E. Swartz) is, to our knowledge, at GFI (advocacy); funding not re-checked. The same paper: without renewables the footprint 'may be higher than pork'."
PB-49,against: cultivated meat,"The leading independent cost model found cultivated meat would cost about USD 37 per kg of wet cells in fed-batch plants and USD 51 in perfusion plants, and concluded its economics 'would likely preclude' affordability as food.",37; 51,USD per kg wet cell mass,2021,"modelled plant, 6.8 to 6.9 kt a year",SCI-14; COST-47,general,High,"would likely preclude (package app-j J science, quoting Humbird 2021)","Humbird 2021, commissioned by Open Philanthropy. USD 663 million capital for 6.9 kt a year. Growth factor cost assumption is the main swing factor (package DG-104)."
PB-50,against: consumer uptake,"In the United States, the most studied market, plant-based meat sales fell from USD 1.4 billion in 2021 to USD 1.0 billion in 2025 and its share of meat sales halved to about 0.7%, while plant milk kept about 13% of milk sales.",1.4; 1.0; 0.7; 13,USD billion; percent of meat dollar sales; percent of milk dollar sales,2021; 2025,United States retail,GLB-01; GLB-02,general,High,US plant-based meat sales fell from USD 1.4 billion (2021) to USD 1.0 billion (2025) (package ch23-consumers),"Reused from package (app-ag AG.1, ch23). Plant milk share was 16% in 2021, so it dipped rather than held perfectly steady. GFI is an advocacy group; the data are licensed SPINS scans."
