hog_scenario,live_hog_vnd_per_kg,lean_price_basis,lean_multiple_of_live,lean_trim_vnd_per_kg,extender,extender_protein_share_dry,breakeven_dry_vnd_per_kg,breakeven_dry_usd_per_kg,extender_price_used_usd_per_kg,headroom_multiple,source_ids,evidence_label,confidence,demand_evidence_type,notes
"median (2019 to 2024 annual, FAOSTAT)",58576,low,1.5,87863,fungal biomass at egg white parity,0.45,219658,8.45,3.3,2.6,BUY-02 (ch26.2 break-even); DIE-25; AIB-15; DPP-001; BLA-030,VN-direct,Low,inferred,Our calculation: break-even dry price = lean trimming price x kg hydrated extender per kg dry (hydrated to 18% protein). Raw-material basis only.
"median (2019 to 2024 annual, FAOSTAT)",58576,low,1.5,87863,fungal biomass at casein or whey parity,0.45,219658,8.45,4.25,2.0,BUY-02 (ch26.2 break-even); DIE-25; AIB-15; DPP-001; BLA-030,VN-direct,Low,inferred,Our calculation: break-even dry price = lean trimming price x kg hydrated extender per kg dry (hydrated to 18% protein). Raw-material basis only.
"median (2019 to 2024 annual, FAOSTAT)",58576,central,1.8,105436,domestic textured soy (T1 cost),0.5,292878,11.26,1.03,10.9,TIC-12; TIC-13; DIE-25; AIB-15; DPP-001; BLA-030,VN-direct,Low,inferred,Our calculation: break-even dry price = lean trimming price x kg hydrated extender per kg dry (hydrated to 18% protein). Raw-material basis only.
"median (2019 to 2024 annual, FAOSTAT)",58576,central,1.8,105436,"Chinese textured soy, landed 0% duty",0.5,292878,11.26,1.365,8.3,TIC-12; BUY-02; FTR-32; DIE-25; AIB-15; DPP-001; BLA-030,VN-direct,Low,inferred,Our calculation: break-even dry price = lean trimming price x kg hydrated extender per kg dry (hydrated to 18% protein). Raw-material basis only.
"median (2019 to 2024 annual, FAOSTAT)",58576,central,1.8,105436,"Chinese soy protein isolate, landed",0.9,527180,20.28,2.22,9.1,BUY-07; FTR-32 (our landing add-on); DIE-25; AIB-15; DPP-001; BLA-030,VN-direct,Low,inferred,Our calculation: break-even dry price = lean trimming price x kg hydrated extender per kg dry (hydrated to 18% protein). Raw-material basis only.
"median (2019 to 2024 annual, FAOSTAT)",58576,central,1.8,105436,fungal biomass at soy isolate protein parity,0.45,263590,10.14,1.0,10.1,BUY-02 (ch26.2 break-even); DIE-25; AIB-15; DPP-001; BLA-030,VN-direct,Low,inferred,Our calculation: break-even dry price = lean trimming price x kg hydrated extender per kg dry (hydrated to 18% protein). Raw-material basis only.
"median (2019 to 2024 annual, FAOSTAT)",58576,central,1.8,105436,fungal biomass at egg white parity,0.45,263590,10.14,3.3,3.1,BUY-02 (ch26.2 break-even); DIE-25; AIB-15; DPP-001; BLA-030,VN-direct,Low,inferred,Our calculation: break-even dry price = lean trimming price x kg hydrated extender per kg dry (hydrated to 18% protein). Raw-material basis only.
"median (2019 to 2024 annual, FAOSTAT)",58576,central,1.8,105436,fungal biomass at casein or whey parity,0.45,263590,10.14,4.25,2.4,BUY-02 (ch26.2 break-even); DIE-25; AIB-15; DPP-001; BLA-030,VN-direct,Low,inferred,Our calculation: break-even dry price = lean trimming price x kg hydrated extender per kg dry (hydrated to 18% protein). Raw-material basis only.
"median (2019 to 2024 annual, FAOSTAT)",58576,high,2.2,128866,domestic textured soy (T1 cost),0.5,357961,13.77,1.03,13.4,TIC-12; TIC-13; DIE-25; AIB-15; DPP-001; BLA-030,VN-direct,Low,inferred,Our calculation: break-even dry price = lean trimming price x kg hydrated extender per kg dry (hydrated to 18% protein). Raw-material basis only.
"median (2019 to 2024 annual, FAOSTAT)",58576,high,2.2,128866,"Chinese textured soy, landed 0% duty",0.5,357961,13.77,1.365,10.1,TIC-12; BUY-02; FTR-32; DIE-25; AIB-15; DPP-001; BLA-030,VN-direct,Low,inferred,Our calculation: break-even dry price = lean trimming price x kg hydrated extender per kg dry (hydrated to 18% protein). Raw-material basis only.
"median (2019 to 2024 annual, FAOSTAT)",58576,high,2.2,128866,"Chinese soy protein isolate, landed",0.9,644330,24.78,2.22,11.2,BUY-07; FTR-32 (our landing add-on); DIE-25; AIB-15; DPP-001; BLA-030,VN-direct,Low,inferred,Our calculation: break-even dry price = lean trimming price x kg hydrated extender per kg dry (hydrated to 18% protein). Raw-material basis only.
"median (2019 to 2024 annual, FAOSTAT)",58576,high,2.2,128866,fungal biomass at soy isolate protein parity,0.45,322165,12.39,1.0,12.4,BUY-02 (ch26.2 break-even); DIE-25; AIB-15; DPP-001; BLA-030,VN-direct,Low,inferred,Our calculation: break-even dry price = lean trimming price x kg hydrated extender per kg dry (hydrated to 18% protein). Raw-material basis only.
"median (2019 to 2024 annual, FAOSTAT)",58576,high,2.2,128866,fungal biomass at egg white parity,0.45,322165,12.39,3.3,3.8,BUY-02 (ch26.2 break-even); DIE-25; AIB-15; DPP-001; BLA-030,VN-direct,Low,inferred,Our calculation: break-even dry price = lean trimming price x kg hydrated extender per kg dry (hydrated to 18% protein). Raw-material basis only.
"median (2019 to 2024 annual, FAOSTAT)",58576,high,2.2,128866,fungal biomass at casein or whey parity,0.45,322165,12.39,4.25,2.9,BUY-02 (ch26.2 break-even); DIE-25; AIB-15; DPP-001; BLA-030,VN-direct,Low,inferred,Our calculation: break-even dry price = lean trimming price x kg hydrated extender per kg dry (hydrated to 18% protein). Raw-material basis only.
"high (2020 annual, FAOSTAT)",78138,low,1.5,117207,domestic textured soy (T1 cost),0.5,325575,12.52,1.03,12.2,TIC-12; TIC-13; DIE-25; AIB-15; DPP-001; BLA-030,VN-direct,Low,inferred,Our calculation: break-even dry price = lean trimming price x kg hydrated extender per kg dry (hydrated to 18% protein). Raw-material basis only.
"high (2020 annual, FAOSTAT)",78138,low,1.5,117207,"Chinese textured soy, landed 0% duty",0.5,325575,12.52,1.365,9.2,TIC-12; BUY-02; FTR-32; DIE-25; AIB-15; DPP-001; BLA-030,VN-direct,Low,inferred,Our calculation: break-even dry price = lean trimming price x kg hydrated extender per kg dry (hydrated to 18% protein). Raw-material basis only.
"high (2020 annual, FAOSTAT)",78138,low,1.5,117207,"Chinese soy protein isolate, landed",0.9,586035,22.54,2.22,10.2,BUY-07; FTR-32 (our landing add-on); DIE-25; AIB-15; DPP-001; BLA-030,VN-direct,Low,inferred,Our calculation: break-even dry price = lean trimming price x kg hydrated extender per kg dry (hydrated to 18% protein). Raw-material basis only.
"high (2020 annual, FAOSTAT)",78138,low,1.5,117207,fungal biomass at soy isolate protein parity,0.45,293018,11.27,1.0,11.3,BUY-02 (ch26.2 break-even); DIE-25; AIB-15; DPP-001; BLA-030,VN-direct,Low,inferred,Our calculation: break-even dry price = lean trimming price x kg hydrated extender per kg dry (hydrated to 18% protein). Raw-material basis only.
"high (2020 annual, FAOSTAT)",78138,low,1.5,117207,fungal biomass at egg white parity,0.45,293018,11.27,3.3,3.4,BUY-02 (ch26.2 break-even); DIE-25; AIB-15; DPP-001; BLA-030,VN-direct,Low,inferred,Our calculation: break-even dry price = lean trimming price x kg hydrated extender per kg dry (hydrated to 18% protein). Raw-material basis only.
"high (2020 annual, FAOSTAT)",78138,low,1.5,117207,fungal biomass at casein or whey parity,0.45,293018,11.27,4.25,2.7,BUY-02 (ch26.2 break-even); DIE-25; AIB-15; DPP-001; BLA-030,VN-direct,Low,inferred,Our calculation: break-even dry price = lean trimming price x kg hydrated extender per kg dry (hydrated to 18% protein). Raw-material basis only.
"high (2020 annual, FAOSTAT)",78138,central,1.8,140648,domestic textured soy (T1 cost),0.5,390690,15.03,1.03,14.6,TIC-12; TIC-13; DIE-25; AIB-15; DPP-001; BLA-030,VN-direct,Low,inferred,Our calculation: break-even dry price = lean trimming price x kg hydrated extender per kg dry (hydrated to 18% protein). Raw-material basis only.
"high (2020 annual, FAOSTAT)",78138,central,1.8,140648,"Chinese textured soy, landed 0% duty",0.5,390690,15.03,1.365,11.0,TIC-12; BUY-02; FTR-32; DIE-25; AIB-15; DPP-001; BLA-030,VN-direct,Low,inferred,Our calculation: break-even dry price = lean trimming price x kg hydrated extender per kg dry (hydrated to 18% protein). Raw-material basis only.
"high (2020 annual, FAOSTAT)",78138,central,1.8,140648,"Chinese soy protein isolate, landed",0.9,703242,27.05,2.22,12.2,BUY-07; FTR-32 (our landing add-on); DIE-25; AIB-15; DPP-001; BLA-030,VN-direct,Low,inferred,Our calculation: break-even dry price = lean trimming price x kg hydrated extender per kg dry (hydrated to 18% protein). Raw-material basis only.
"high (2020 annual, FAOSTAT)",78138,central,1.8,140648,fungal biomass at soy isolate protein parity,0.45,351621,13.52,1.0,13.5,BUY-02 (ch26.2 break-even); DIE-25; AIB-15; DPP-001; BLA-030,VN-direct,Low,inferred,Our calculation: break-even dry price = lean trimming price x kg hydrated extender per kg dry (hydrated to 18% protein). Raw-material basis only.
"high (2020 annual, FAOSTAT)",78138,central,1.8,140648,fungal biomass at egg white parity,0.45,351621,13.52,3.3,4.1,BUY-02 (ch26.2 break-even); DIE-25; AIB-15; DPP-001; BLA-030,VN-direct,Low,inferred,Our calculation: break-even dry price = lean trimming price x kg hydrated extender per kg dry (hydrated to 18% protein). Raw-material basis only.
"high (2020 annual, FAOSTAT)",78138,central,1.8,140648,fungal biomass at casein or whey parity,0.45,351621,13.52,4.25,3.2,BUY-02 (ch26.2 break-even); DIE-25; AIB-15; DPP-001; BLA-030,VN-direct,Low,inferred,Our calculation: break-even dry price = lean trimming price x kg hydrated extender per kg dry (hydrated to 18% protein). Raw-material basis only.
"high (2020 annual, FAOSTAT)",78138,high,2.2,171904,domestic textured soy (T1 cost),0.5,477510,18.37,1.03,17.8,TIC-12; TIC-13; DIE-25; AIB-15; DPP-001; BLA-030,VN-direct,Low,inferred,Our calculation: break-even dry price = lean trimming price x kg hydrated extender per kg dry (hydrated to 18% protein). Raw-material basis only.
"high (2020 annual, FAOSTAT)",78138,high,2.2,171904,"Chinese textured soy, landed 0% duty",0.5,477510,18.37,1.365,13.5,TIC-12; BUY-02; FTR-32; DIE-25; AIB-15; DPP-001; BLA-030,VN-direct,Low,inferred,Our calculation: break-even dry price = lean trimming price x kg hydrated extender per kg dry (hydrated to 18% protein). Raw-material basis only.
"high (2020 annual, FAOSTAT)",78138,high,2.2,171904,"Chinese soy protein isolate, landed",0.9,859518,33.06,2.22,14.9,BUY-07; FTR-32 (our landing add-on); DIE-25; AIB-15; DPP-001; BLA-030,VN-direct,Low,inferred,Our calculation: break-even dry price = lean trimming price x kg hydrated extender per kg dry (hydrated to 18% protein). Raw-material basis only.
"high (2020 annual, FAOSTAT)",78138,high,2.2,171904,fungal biomass at soy isolate protein parity,0.45,429759,16.53,1.0,16.5,BUY-02 (ch26.2 break-even); DIE-25; AIB-15; DPP-001; BLA-030,VN-direct,Low,inferred,Our calculation: break-even dry price = lean trimming price x kg hydrated extender per kg dry (hydrated to 18% protein). Raw-material basis only.
"high (2020 annual, FAOSTAT)",78138,high,2.2,171904,fungal biomass at egg white parity,0.45,429759,16.53,3.3,5.0,BUY-02 (ch26.2 break-even); DIE-25; AIB-15; DPP-001; BLA-030,VN-direct,Low,inferred,Our calculation: break-even dry price = lean trimming price x kg hydrated extender per kg dry (hydrated to 18% protein). Raw-material basis only.
"high (2020 annual, FAOSTAT)",78138,high,2.2,171904,fungal biomass at casein or whey parity,0.45,429759,16.53,4.25,3.9,BUY-02 (ch26.2 break-even); DIE-25; AIB-15; DPP-001; BLA-030,VN-direct,Low,inferred,Our calculation: break-even dry price = lean trimming price x kg hydrated extender per kg dry (hydrated to 18% protein). Raw-material basis only.
"Q1 2026 (Vissan AGM, midpoint)",72500,low,1.5,108750,domestic textured soy (T1 cost),0.5,302083,11.62,1.03,11.3,TIC-12; TIC-13; DIE-25; AIB-15; DPP-001; BLA-030,VN-direct,Low,inferred,Our calculation: break-even dry price = lean trimming price x kg hydrated extender per kg dry (hydrated to 18% protein). Raw-material basis only.
"Q1 2026 (Vissan AGM, midpoint)",72500,low,1.5,108750,"Chinese textured soy, landed 0% duty",0.5,302083,11.62,1.365,8.5,TIC-12; BUY-02; FTR-32; DIE-25; AIB-15; DPP-001; BLA-030,VN-direct,Low,inferred,Our calculation: break-even dry price = lean trimming price x kg hydrated extender per kg dry (hydrated to 18% protein). Raw-material basis only.
"Q1 2026 (Vissan AGM, midpoint)",72500,low,1.5,108750,"Chinese soy protein isolate, landed",0.9,543750,20.91,2.22,9.4,BUY-07; FTR-32 (our landing add-on); DIE-25; AIB-15; DPP-001; BLA-030,VN-direct,Low,inferred,Our calculation: break-even dry price = lean trimming price x kg hydrated extender per kg dry (hydrated to 18% protein). Raw-material basis only.
"Q1 2026 (Vissan AGM, midpoint)",72500,low,1.5,108750,fungal biomass at soy isolate protein parity,0.45,271875,10.46,1.0,10.5,BUY-02 (ch26.2 break-even); DIE-25; AIB-15; DPP-001; BLA-030,VN-direct,Low,inferred,Our calculation: break-even dry price = lean trimming price x kg hydrated extender per kg dry (hydrated to 18% protein). Raw-material basis only.
"Q1 2026 (Vissan AGM, midpoint)",72500,low,1.5,108750,fungal biomass at egg white parity,0.45,271875,10.46,3.3,3.2,BUY-02 (ch26.2 break-even); DIE-25; AIB-15; DPP-001; BLA-030,VN-direct,Low,inferred,Our calculation: break-even dry price = lean trimming price x kg hydrated extender per kg dry (hydrated to 18% protein). Raw-material basis only.
"Q1 2026 (Vissan AGM, midpoint)",72500,low,1.5,108750,fungal biomass at casein or whey parity,0.45,271875,10.46,4.25,2.5,BUY-02 (ch26.2 break-even); DIE-25; AIB-15; DPP-001; BLA-030,VN-direct,Low,inferred,Our calculation: break-even dry price = lean trimming price x kg hydrated extender per kg dry (hydrated to 18% protein). Raw-material basis only.
"Q1 2026 (Vissan AGM, midpoint)",72500,central,1.8,130500,domestic textured soy (T1 cost),0.5,362500,13.94,1.03,13.5,TIC-12; TIC-13; DIE-25; AIB-15; DPP-001; BLA-030,VN-direct,Low,inferred,Our calculation: break-even dry price = lean trimming price x kg hydrated extender per kg dry (hydrated to 18% protein). Raw-material basis only.
"Q1 2026 (Vissan AGM, midpoint)",72500,central,1.8,130500,"Chinese textured soy, landed 0% duty",0.5,362500,13.94,1.365,10.2,TIC-12; BUY-02; FTR-32; DIE-25; AIB-15; DPP-001; BLA-030,VN-direct,Low,inferred,Our calculation: break-even dry price = lean trimming price x kg hydrated extender per kg dry (hydrated to 18% protein). Raw-material basis only.
"Q1 2026 (Vissan AGM, midpoint)",72500,central,1.8,130500,"Chinese soy protein isolate, landed",0.9,652500,25.1,2.22,11.3,BUY-07; FTR-32 (our landing add-on); DIE-25; AIB-15; DPP-001; BLA-030,VN-direct,Low,inferred,Our calculation: break-even dry price = lean trimming price x kg hydrated extender per kg dry (hydrated to 18% protein). Raw-material basis only.
"Q1 2026 (Vissan AGM, midpoint)",72500,central,1.8,130500,fungal biomass at soy isolate protein parity,0.45,326250,12.55,1.0,12.5,BUY-02 (ch26.2 break-even); DIE-25; AIB-15; DPP-001; BLA-030,VN-direct,Low,inferred,Our calculation: break-even dry price = lean trimming price x kg hydrated extender per kg dry (hydrated to 18% protein). Raw-material basis only.
"Q1 2026 (Vissan AGM, midpoint)",72500,central,1.8,130500,fungal biomass at egg white parity,0.45,326250,12.55,3.3,3.8,BUY-02 (ch26.2 break-even); DIE-25; AIB-15; DPP-001; BLA-030,VN-direct,Low,inferred,Our calculation: break-even dry price = lean trimming price x kg hydrated extender per kg dry (hydrated to 18% protein). Raw-material basis only.
"Q1 2026 (Vissan AGM, midpoint)",72500,central,1.8,130500,fungal biomass at casein or whey parity,0.45,326250,12.55,4.25,3.0,BUY-02 (ch26.2 break-even); DIE-25; AIB-15; DPP-001; BLA-030,VN-direct,Low,inferred,Our calculation: break-even dry price = lean trimming price x kg hydrated extender per kg dry (hydrated to 18% protein). Raw-material basis only.
"Q1 2026 (Vissan AGM, midpoint)",72500,high,2.2,159500,domestic textured soy (T1 cost),0.5,443056,17.04,1.03,16.5,TIC-12; TIC-13; DIE-25; AIB-15; DPP-001; BLA-030,VN-direct,Low,inferred,Our calculation: break-even dry price = lean trimming price x kg hydrated extender per kg dry (hydrated to 18% protein). Raw-material basis only.
"Q1 2026 (Vissan AGM, midpoint)",72500,high,2.2,159500,"Chinese textured soy, landed 0% duty",0.5,443056,17.04,1.365,12.5,TIC-12; BUY-02; FTR-32; DIE-25; AIB-15; DPP-001; BLA-030,VN-direct,Low,inferred,Our calculation: break-even dry price = lean trimming price x kg hydrated extender per kg dry (hydrated to 18% protein). Raw-material basis only.
"Q1 2026 (Vissan AGM, midpoint)",72500,high,2.2,159500,"Chinese soy protein isolate, landed",0.9,797500,30.67,2.22,13.8,BUY-07; FTR-32 (our landing add-on); DIE-25; AIB-15; DPP-001; BLA-030,VN-direct,Low,inferred,Our calculation: break-even dry price = lean trimming price x kg hydrated extender per kg dry (hydrated to 18% protein). Raw-material basis only.
"Q1 2026 (Vissan AGM, midpoint)",72500,high,2.2,159500,fungal biomass at soy isolate protein parity,0.45,398750,15.34,1.0,15.3,BUY-02 (ch26.2 break-even); DIE-25; AIB-15; DPP-001; BLA-030,VN-direct,Low,inferred,Our calculation: break-even dry price = lean trimming price x kg hydrated extender per kg dry (hydrated to 18% protein). Raw-material basis only.
"Q1 2026 (Vissan AGM, midpoint)",72500,high,2.2,159500,fungal biomass at egg white parity,0.45,398750,15.34,3.3,4.6,BUY-02 (ch26.2 break-even); DIE-25; AIB-15; DPP-001; BLA-030,VN-direct,Low,inferred,Our calculation: break-even dry price = lean trimming price x kg hydrated extender per kg dry (hydrated to 18% protein). Raw-material basis only.
"Q1 2026 (Vissan AGM, midpoint)",72500,high,2.2,159500,fungal biomass at casein or whey parity,0.45,398750,15.34,4.25,3.6,BUY-02 (ch26.2 break-even); DIE-25; AIB-15; DPP-001; BLA-030,VN-direct,Low,inferred,Our calculation: break-even dry price = lean trimming price x kg hydrated extender per kg dry (hydrated to 18% protein). Raw-material basis only.
